name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"7,038,000,000","1,872,000,000","1,757,000,000","1,716,000,000","1,693,000,000","1,783,000,000","1,632,000,000","1,661,000,000","1,414,000,000","1,575,000,000","1,579,000,000","1,558,000,000","1,468,000,000","1,430,000,000","1,552,000,000","1,594,000,000","1,504,000,000","1,542,000,000","1,491,000,000","1,581,000,000","1,449,000,000","1,478,000,000","1,253,000,000","1,030,000,000","994,000,000","1,043,000,000","1,021,000,000","1,030,000,000","975,000,000","1,034,000,000","956,000,000","987,000,000","957,000,000","994,000,000","1,000,000,000","973,000,000","973,000,000","874,000,000","1,116,000,000","1,023,000,000","1,025,000,000","785,000,000","1,032,000,000","1,018,000,000","1,054,000,000","979,000,000","1,126,000,000","1,109,000,000","1,075,000,000","915,000,000","974,000,000","1,307,000,000","1,106,000,000","896,000,000","1,087,000,000","913,000,000","1,241,000,000","1,081,000,000","1,132,000,000","1,335,000,000","1,333,000,000","1,043,000,000","1,273,000,000","1,277,000,000","1,209,000,000","1,279,000,000","1,224,000,000","1,179,000,000","1,148,000,000","1,115,000,000","1,094,000,000","1,082,000,000","1,092,000,000","1,137,000,000","1,140,000,000","1,130,000,000","1,078,000,000","1,158,000,000","1,132,000,000","1,131,000,000","1,097,000,000","1,118,000,000","1,178,000,000","1,111,000,000","1,143,000,000","1,210,000,000","1,089,000,000","1,148,000,000","1,477,000,000","1,375,000,000","1,189,000,000","1,223,000,000","1,294,000,000","1,152,000,000","1,092,000,000","1,060,000,000","1,020,000,000","1,071,000,000","1,097,000,000","984,000,000","948,000,000","968,000,000","972,000,000","946,000,000","918,000,000","964,600,000","901,100,000","889,200,000","814,800,000","870,500,000","902,900,000","907,800,000","894,600,000","411,300,000","465,000,000","418,400,000","414,200,000","398,600,000","405,700,000","421,800,000","404,400,000","37,100,000","334,500,000","286,100,000","254,200,000","225,400,000","216,300,000","211,200,000","209,900,000",,,,,,,,,,,,,,,,,,
	OperatingRevenue,"7,038,000,000","1,872,000,000","1,757,000,000","1,716,000,000","1,693,000,000","1,783,000,000","1,632,000,000","1,661,000,000","1,414,000,000","1,575,000,000","1,579,000,000","1,558,000,000","1,468,000,000","1,430,000,000","1,552,000,000","1,594,000,000","1,504,000,000","1,542,000,000","1,491,000,000","1,581,000,000","1,449,000,000","1,478,000,000","1,253,000,000","1,030,000,000","994,000,000","1,043,000,000","1,021,000,000","1,030,000,000","975,000,000","1,034,000,000","956,000,000","987,000,000","957,000,000","994,000,000","1,000,000,000","973,000,000","973,000,000","874,000,000","1,116,000,000","1,023,000,000","1,025,000,000","785,000,000","1,032,000,000","1,018,000,000","1,054,000,000","979,000,000","1,126,000,000","1,109,000,000","1,075,000,000","915,000,000","974,000,000","1,307,000,000","1,106,000,000","896,000,000","1,087,000,000","913,000,000","1,241,000,000","1,081,000,000","1,132,000,000","1,335,000,000","1,333,000,000","1,043,000,000","1,273,000,000","1,277,000,000","1,209,000,000","1,279,000,000","1,224,000,000","1,179,000,000","1,148,000,000","1,115,000,000","1,094,000,000","1,082,000,000","1,092,000,000","1,137,000,000","1,140,000,000","1,130,000,000","1,078,000,000","1,158,000,000","1,132,000,000","1,131,000,000","1,097,000,000","1,118,000,000","1,178,000,000","1,111,000,000","1,143,000,000","1,210,000,000","1,089,000,000","1,148,000,000","1,477,000,000","1,375,000,000","1,189,000,000","1,223,000,000","1,294,000,000","1,152,000,000","1,092,000,000","1,060,000,000","1,020,000,000","1,071,000,000","1,097,000,000","984,000,000","948,000,000","968,000,000","972,000,000","946,000,000","918,000,000","964,600,000","901,100,000","889,200,000","814,800,000","870,500,000","902,900,000","907,800,000","894,600,000","411,300,000","465,000,000","418,400,000","414,200,000","398,600,000","405,700,000","421,800,000","404,400,000","37,100,000","334,500,000","286,100,000","254,200,000","225,400,000","216,300,000","211,200,000","209,900,000",,,,,,,,,,,,,,,,,,
PretaxIncome,"3,254,000,000","768,000,000","808,000,000","913,000,000","765,000,000","689,000,000","484,000,000","215,000,000","168,000,000","541,000,000","483,000,000","510,000,000","488,000,000","574,000,000","569,000,000","582,000,000","478,000,000","447,000,000","497,000,000","565,000,000","419,000,000","270,000,000","188,000,000","267,000,000","243,000,000","306,000,000","292,000,000","320,000,000","304,000,000","346,000,000","267,000,000","329,000,000","330,000,000","305,000,000","293,000,000","271,000,000","272,000,000","254,000,000","273,000,000","288,000,000","280,000,000","276,000,000","330,000,000","346,000,000","393,000,000","508,000,000","296,000,000","112,000,000","-123,000,000","-528,000,000","-660,000,000","-413,000,000","-742,000,000","-859,000,000","-82,000,000","-515,000,000","322,000,000","-61,000,000","310,000,000","467,000,000","505,000,000","372,000,000","434,000,000","437,000,000","400,000,000","409,000,000","400,000,000","406,000,000","373,000,000","354,000,000","353,000,000","329,000,000","352,000,000","316,000,000","318,000,000","317,000,000","291,000,000","343,000,000","338,000,000","331,000,000","300,000,000","-307,000,000","379,000,000","-148,000,000","335,000,000","397,000,000","171,000,000","382,000,000","567,000,000","409,000,000","410,000,000","430,000,000","435,000,000","390,000,000","374,000,000","372,000,000","343,000,000","365,000,000","347,000,000","327,000,000","306,000,000","211,000,000","308,000,000","320,000,000","304,000,000","308,700,000","313,200,000","300,300,000","235,500,000","288,800,000","345,600,000","334,100,000","315,000,000","86,800,000","163,100,000","143,300,000","141,500,000","126,500,000","122,100,000","128,000,000","62,000,000","35,800,000","79,000,000","63,500,000","55,700,000","34,700,000","39,400,000","45,900,000","42,200,000",,,,,,,,,,,,,,,,,,
TaxProvision,"642,000,000","141,000,000","165,000,000","189,000,000","147,000,000","114,000,000","60,000,000","30,000,000","23,000,000","75,000,000","70,000,000","87,000,000","82,000,000","92,000,000","87,000,000","103,000,000","62,000,000","251,000,000","134,000,000","158,000,000","94,000,000","38,000,000","16,000,000","69,000,000","56,000,000","73,000,000","72,000,000","84,000,000","74,000,000","94,000,000","64,000,000","76,000,000","92,000,000","70,000,000","59,000,000","72,000,000","70,000,000","55,000,000","52,000,000","57,000,000","75,000,000","69,000,000","95,000,000","94,000,000","111,000,000","172,000,000","85,000,000","11,000,000","-82,000,000","-347,000,000","-274,000,000","-180,000,000","-244,000,000","-335,000,000","-46,000,000","611,000,000","104,000,000","-83,000,000","86,000,000","130,000,000","147,000,000","83,000,000","122,000,000","129,000,000","116,000,000","113,000,000","122,000,000","115,000,000","109,000,000","141,000,000","101,000,000","90,000,000","102,000,000","82,000,000","91,000,000","92,000,000","74,000,000","98,000,000","93,000,000","85,000,000","60,000,000","-133,000,000","130,000,000","-12,000,000","117,000,000","131,000,000","50,000,000","134,000,000","200,000,000","145,000,000","140,000,000","150,000,000","142,000,000","130,000,000","122,000,000","123,000,000","108,000,000","117,000,000","111,000,000","104,000,000","94,000,000","60,000,000","101,000,000","103,000,000","96,000,000","102,000,000","103,600,000","101,300,000","61,600,000","95,000,000","116,300,000","112,300,000","106,400,000","29,700,000","64,900,000","46,400,000","46,500,000","40,000,000","39,300,000","40,300,000","17,800,000","7,800,000","26,900,000","19,500,000","16,800,000","-3,000,000","-500,000","6,000,000","4,600,000",,,,,,,,,,,,,,,,,,
NetIncomeCommonStockholders,"2,519,000,000","603,000,000","618,000,000","703,000,000","595,000,000","556,000,000","401,000,000","161,000,000","119,000,000","442,000,000","386,000,000","405,000,000","387,000,000","466,000,000","468,000,000","467,000,000","402,000,000","182,000,000","350,000,000","398,000,000","296,000,000","209,000,000","166,000,000","196,000,000","183,000,000","220,000,000","213,000,000","233,000,000","227,000,000","248,000,000","180,000,000","214,000,000","236,000,000","224,000,000","266,000,000","198,000,000","199,000,000","197,000,000","214,000,000","231,000,000","194,000,000","194,000,000","212,000,000","234,000,000","173,000,000","279,000,000","178,000,000","70,000,000","-55,000,000","-518,000,000","-397,000,000","-226,000,000","-536,000,000","-566,000,000","-36,000,000","-1,126,000,000","218,000,000","25,000,000","210,000,000","334,000,000","350,000,000","146,000,000","312,000,000","308,000,000","289,000,000","296,000,000","278,000,000","291,000,000","264,000,000","213,000,000","252,000,000","239,000,000","250,000,000","234,000,000","227,000,000","225,000,000","217,000,000","245,000,000","245,000,000","246,000,000","240,000,000","-174,000,000","249,000,000","-160,000,000","217,000,000","266,000,000","121,000,000","248,000,000","367,000,000","264,000,000","270,000,000","280,000,000","293,000,000","260,000,000","252,000,000","249,000,000","235,000,000","248,000,000","236,000,000","223,000,000","212,000,000","143,000,000","207,000,000","213,000,000","204,000,000","198,700,000","209,600,000","195,000,000","205,700,000","193,800,000","229,300,000","221,800,000","208,600,000","-3,100,000","98,200,000","95,300,000","94,000,000","86,500,000","82,800,000","87,700,000","42,600,000","27,500,000","51,600,000","43,500,000","38,400,000","37,700,000","39,900,000","39,900,000","39,800,000",,,,,,,,,,,,,,,,,,
	NetIncome,"2,625,000,000","629,000,000","645,000,000","729,000,000","622,000,000","582,000,000","428,000,000","187,000,000","146,000,000","469,000,000","416,000,000","425,000,000","407,000,000","484,000,000","482,000,000","482,000,000","418,000,000","196,000,000","364,000,000","412,000,000","324,000,000","229,000,000","172,000,000","202,000,000","188,000,000","226,000,000","219,000,000","238,000,000","233,000,000","253,000,000","186,000,000","219,000,000","242,000,000","230,000,000","272,000,000","204,000,000","204,000,000","203,000,000","219,000,000","236,000,000","200,000,000","200,000,000","217,000,000","240,000,000","263,000,000","320,000,000","219,000,000","70,000,000","-55,000,000","-224,000,000","-397,000,000","-226,000,000","-536,000,000","-524,000,000","-36,000,000","-1,126,000,000","218,000,000","25,000,000","210,000,000","334,000,000","350,000,000","146,000,000","312,000,000","308,000,000","289,000,000","296,000,000","278,000,000","291,000,000","264,000,000","213,000,000","252,000,000","239,000,000","250,000,000","234,000,000","227,000,000","225,000,000","217,000,000","245,000,000","245,000,000","246,000,000","240,000,000","-174,000,000","249,000,000","-160,000,000","217,000,000","266,000,000","121,000,000","248,000,000","367,000,000","264,000,000","270,000,000","280,000,000","293,000,000","260,000,000","252,000,000","249,000,000","235,000,000","248,000,000","236,000,000","223,000,000","212,000,000","151,000,000","207,000,000","217,000,000","208,000,000","206,700,000","209,600,000","199,000,000","209,700,000","193,800,000","229,300,000","221,800,000","208,600,000","57,100,000","98,200,000","96,900,000","95,000,000","86,500,000","82,800,000","87,700,000","44,200,000","28,000,000","52,100,000","44,000,000","38,900,000","37,700,000","39,900,000","39,900,000","40,300,000",,,,,,,,,,,,,,,,,,
		NetIncomeIncludingNoncontrollingInterests,"2,625,000,000","629,000,000","645,000,000","729,000,000","622,000,000","582,000,000","428,000,000","187,000,000","146,000,000","469,000,000","416,000,000","425,000,000","407,000,000","484,000,000","482,000,000","482,000,000","418,000,000","197,000,000","364,000,000","412,000,000","325,000,000","228,000,000","173,000,000","201,000,000","188,000,000","229,000,000","217,000,000","239,000,000","235,000,000","254,000,000","186,000,000","225,000,000","242,000,000","230,000,000","271,000,000","204,000,000","205,000,000","203,000,000","221,000,000","241,000,000","200,000,000","200,000,000","218,000,000","243,000,000","271,000,000","323,000,000","226,000,000","74,000,000","-39,000,000","-188,000,000","-402,000,000","-223,000,000","-526,000,000","-524,000,000","-36,000,000","-1,126,000,000","218,000,000","25,000,000","210,000,000","334,000,000","350,000,000","141,000,000","312,000,000","308,000,000","289,000,000","296,000,000","278,000,000","291,000,000","264,000,000","213,000,000","252,000,000","239,000,000","250,000,000","234,000,000","227,000,000","225,000,000","217,000,000","245,000,000","245,000,000","246,000,000","240,000,000","-174,000,000","249,000,000","-160,000,000","217,000,000","266,000,000","121,000,000","248,000,000","367,000,000","264,000,000","270,000,000","280,000,000","293,000,000","260,000,000","252,000,000","249,000,000","235,000,000","248,000,000","236,000,000","223,000,000","212,000,000","151,000,000","207,000,000","217,000,000","208,000,000","206,700,000","209,600,000","199,000,000","209,700,000","193,800,000","229,300,000","221,800,000","208,600,000","57,100,000","98,200,000","96,900,000","95,000,000","86,500,000","82,800,000","87,700,000","44,200,000","28,000,000","52,100,000","44,000,000","38,900,000","37,700,000","39,900,000","39,900,000","40,300,000","26,200,000","27,700,000","28,700,000","27,400,000","25,900,000","26,500,000","24,700,000","23,000,000","22,500,000","24,200,000","21,500,000","22,600,000","21,300,000","21,500,000","21,000,000","20,300,000","22,200,000","14,300,000"
			NetIncomeContinuousOperations,"2,612,000,000","627,000,000","643,000,000","724,000,000","618,000,000","575,000,000","424,000,000","185,000,000","145,000,000","466,000,000","413,000,000","423,000,000","406,000,000","482,000,000","482,000,000","479,000,000","416,000,000","196,000,000","363,000,000","407,000,000","325,000,000","232,000,000","172,000,000","198,000,000","187,000,000","233,000,000","220,000,000","236,000,000","230,000,000","252,000,000","203,000,000","253,000,000","238,000,000","235,000,000","234,000,000","199,000,000","202,000,000","199,000,000","221,000,000","231,000,000","205,000,000","207,000,000","235,000,000","252,000,000","282,000,000","336,000,000","211,000,000","101,000,000","-41,000,000","-181,000,000","-386,000,000","-233,000,000","-526,000,000","-524,000,000","-36,000,000","-1,126,000,000","218,000,000","22,000,000","224,000,000","337,000,000","358,000,000","289,000,000","312,000,000","308,000,000","284,000,000","296,000,000","278,000,000","291,000,000","264,000,000","213,000,000","252,000,000","239,000,000","250,000,000","234,000,000","227,000,000","225,000,000","217,000,000","245,000,000","245,000,000","246,000,000","240,000,000","-174,000,000","249,000,000","-136,000,000","218,000,000","266,000,000","121,000,000","248,000,000","367,000,000","264,000,000","270,000,000","280,000,000","293,000,000","260,000,000","252,000,000","249,000,000","235,000,000","248,000,000","236,000,000","223,000,000","212,000,000","151,000,000","207,000,000","217,000,000","208,000,000","206,700,000","209,600,000","199,000,000","173,900,000","193,800,000","229,300,000","221,800,000","208,600,000","57,100,000","98,200,000","96,900,000","95,000,000","86,500,000","82,800,000","87,700,000","44,200,000","28,000,000","52,100,000","44,000,000","38,900,000","37,700,000","39,900,000","39,900,000","37,600,000","26,200,000","27,700,000","28,700,000","27,400,000","25,900,000","26,500,000","24,700,000","23,000,000","22,500,000","24,200,000","21,500,000","22,600,000","21,300,000","21,500,000","21,000,000","20,300,000","22,200,000","14,300,000"
			NetIncomeDiscontinuousOperations,"13,000,000","2,000,000","2,000,000","5,000,000","4,000,000","7,000,000","4,000,000","2,000,000","1,000,000","3,000,000","3,000,000","2,000,000","1,000,000","2,000,000","0","3,000,000","2,000,000","1,000,000","1,000,000","5,000,000","0","-4,000,000","1,000,000","3,000,000","1,000,000","-4,000,000","-3,000,000","3,000,000","5,000,000","2,000,000","-17,000,000","-28,000,000","4,000,000","-5,000,000","37,000,000","5,000,000","3,000,000","4,000,000","0","10,000,000","-5,000,000","-7,000,000","-17,000,000","-9,000,000","-11,000,000","-13,000,000","15,000,000","-27,000,000","2,000,000","-7,000,000","-16,000,000","10,000,000",,"0",,,,"3,000,000","-14,000,000","-3,000,000","-8,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NetIncomeExtraordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"5,000,000",,,,,,,,,,,,,,,,,"0",,"-24,000,000","-1,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"2,700,000",,,,,,,,,,,,,,,,,,
