name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,10/31/1991,07/31/1991
TotalRevenue,"1,364,585,000","424,654,000","368,607,000","289,016,000","282,308,000","269,441,000","259,792,000","238,916,000","289,744,000","296,130,000","282,871,000","284,873,000","295,010,000","284,201,000","283,080,000","293,403,000","304,078,000","315,225,000","294,845,000","297,176,000","293,588,000","297,026,000","285,076,000","291,488,000","297,202,000","300,870,000","288,382,000","294,061,000","283,456,000","243,761,000","262,046,000","260,249,000","246,878,000","230,130,000","241,497,000","246,128,000","241,178,000","234,749,000","231,878,000","235,419,000","231,356,000","260,811,000","216,078,000","219,236,000","224,021,000","263,917,000","210,520,000","227,743,000","239,518,000","227,248,000","205,806,000","189,285,000","215,866,000","195,323,000","190,503,000","184,135,000","228,115,000","179,726,000","173,712,000","170,785,000","158,277,000","147,802,000","153,789,000","151,502,000","142,705,000","134,368,000","130,441,000","128,137,000","132,043,000","124,748,000","123,274,000","131,026,000","139,927,000","122,030,000","120,259,000","118,335,000","124,062,000","110,200,000","111,101,000","115,478,000","115,991,000","114,852,000","114,295,000","117,867,000","121,601,000","116,458,000","115,726,000","114,867,000","112,356,000","89,980,000","114,800,000","112,300,000","116,700,000","96,097,629","102,700,000","72,900,000","67,100,000","47,429,403","54,200,000","49,000,000","48,300,000","33,444,419","45,300,000","45,600,000","43,700,000","38,200,000","38,500,000","37,500,000","35,800,000","33,900,000","32,700,000","32,300,000","31,400,000","29,400,000","26,000,000","27,500,000","23,800,000","21,600,000","20,700,000","20,100,000","20,100,000","16,400,000","21,500,000"
	OperatingRevenue,"1,364,585,000","424,654,000","368,607,000","289,016,000","282,308,000","269,441,000","259,792,000","238,916,000","289,744,000","296,130,000","282,871,000","284,873,000","295,010,000","220,749,000","225,073,000","232,197,000","240,362,000","315,225,000","294,845,000","297,176,000","293,588,000","297,026,000","285,076,000","291,488,000","297,202,000","300,870,000","288,382,000","294,061,000","283,456,000","243,761,000","262,046,000","260,249,000","246,878,000","230,130,000","241,497,000","246,128,000","241,178,000","234,749,000","231,878,000","235,419,000","231,356,000","260,811,000","216,078,000","219,236,000","224,021,000","263,917,000","210,520,000","227,743,000","239,518,000","227,248,000","205,806,000","189,285,000","215,866,000","261,322,000","190,503,000","184,135,000","228,115,000","179,726,000","173,712,000","170,785,000","158,277,000","147,802,000","153,789,000","151,502,000","142,705,000","134,368,000","130,441,000","128,137,000","132,043,000","124,748,000","123,274,000","131,026,000","139,927,000","122,030,000","120,259,000","118,335,000","124,062,000","110,200,000","111,101,000","115,478,000","115,991,000","1,953,000","1,608,000","2,072,000","2,165,000","1,818,000","1,404,000","1,388,000","1,520,000","-338,809,000","114,800,000","112,300,000","116,700,000","110,900,000","102,700,000","72,900,000","67,100,000","-148,223,848","54,200,000","49,000,000","48,300,000","-131,252,423","45,300,000","45,600,000","43,700,000","38,200,000","38,500,000","37,500,000","35,800,000","33,900,000","32,700,000","32,300,000","31,400,000","29,400,000","26,000,000","27,500,000","23,800,000","21,600,000","20,700,000","20,100,000","20,100,000","16,400,000","21,500,000"
CostOfRevenue,"195,029,000","56,199,000","54,272,000","42,587,000","41,971,000","41,769,000","43,170,000","41,505,000","42,487,000","42,647,000","40,355,000","39,929,000","42,039,000","40,433,000","40,564,000","40,016,000","43,252,000","44,650,000","41,127,000","41,512,000","41,052,000","41,368,000","40,431,000","38,519,000","37,290,000","40,675,000","39,484,000","39,712,000","39,626,000","36,145,000","35,112,000","36,019,000","34,612,000","32,116,000","34,219,000","32,238,000","33,180,000","-51,609,000","60,665,000","61,544,000","61,271,000","65,117,000","62,450,000","61,232,000","68,513,000","64,475,000","61,660,000","63,673,000","67,872,000","64,595,000","58,224,000","54,916,000","58,809,000","57,610,000","54,156,000","50,455,000","54,333,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"1,169,556,000","368,455,000","314,335,000","246,429,000","240,337,000","227,672,000","216,622,000","197,411,000","247,257,000","253,483,000","242,516,000","244,944,000","252,971,000","243,768,000","242,516,000","253,387,000","260,826,000","270,575,000","253,718,000","255,664,000","252,536,000","255,658,000","244,645,000","252,969,000","259,912,000","260,195,000","248,898,000","254,349,000","243,830,000","207,616,000","226,934,000","224,230,000","212,266,000","198,014,000","207,278,000","213,890,000","207,998,000","286,358,000","171,213,000","173,875,000","170,085,000","195,694,000","153,628,000","158,004,000","155,508,000","199,442,000","148,860,000","164,070,000","171,646,000","162,653,000","147,582,000","134,369,000","157,057,000","137,713,000","136,347,000","133,680,000","173,782,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"722,323,000","240,020,000","192,205,000","144,224,000","145,874,000","145,042,000","143,343,000","135,003,000","132,822,000","141,195,000","132,464,000","134,855,000","138,288,000","136,343,000","136,974,000","146,165,000","149,242,000","158,438,000","150,929,000","160,034,000","158,282,000","158,701,000","158,492,000","147,089,000","154,813,000","160,313,000","167,853,000","146,678,000","143,473,000","123,947,000","130,997,000","128,085,000","129,839,000","124,303,000","123,784,000","129,540,000","127,666,000","216,484,000","95,588,000","94,097,000","98,529,000","116,058,000","82,504,000","82,718,000","95,999,000","88,457,000","89,386,000","86,678,000","89,761,000","86,365,000","83,561,000","67,784,000","86,063,000","118,435,000","66,289,000","49,212,000","73,431,000","132,245,000","123,490,000","70,438,000","42,583,000","41,561,000","41,463,000","40,668,000","38,311,000","35,173,000","33,346,000","33,162,000","36,969,000","32,526,000","31,394,000","33,593,000","36,548,000","30,720,000","31,113,000","31,829,000","34,769,000","-26,854,000","49,216,000","51,312,000","50,784,000","47,478,000","46,483,000","47,239,000","51,417,000","46,368,000","45,307,000","46,102,000","45,317,000","314,830,000","-43,900,000","-43,900,000","-47,900,000","240,734,342","-41,500,000","-29,200,000","-27,400,000","141,866,227","-21,400,000","-18,400,000","-18,600,000","122,659,400","-16,300,000","-18,000,000","-18,500,000","-16,000,000","-15,900,000","-16,000,000","-15,400,000","-35,900,000","-14,900,000","-15,200,000","-14,500,000","-17,700,000","-15,500,000","-15,300,000","-14,900,000","-14,400,000","-13,600,000","-14,200,000","-14,500,000","-17,400,000","-17,700,000"
	SellingGeneralAndAdministration,"104,121,000","28,985,000","25,904,000","24,754,000","24,478,000","20,901,000","28,795,000","22,504,000","21,017,000","24,646,000","23,832,000","22,633,000","25,831,000","20,022,000","21,348,000","24,029,000","22,398,000","32,060,000","28,588,000","27,233,000","30,574,000","27,462,000","27,983,000","29,928,000","31,929,000","33,413,000","27,310,000","29,307,000","32,705,000","27,519,000","28,674,000","28,827,000","37,219,000","31,457,000","30,961,000","31,420,000","34,119,000","29,163,000","29,957,000","30,973,000","34,431,000","55,520,000","22,132,000","21,197,000","29,756,000","26,166,000","28,463,000","26,446,000","28,184,000","26,642,000","27,965,000","26,604,000","29,923,000","36,437,000","30,992,000","25,690,000","24,750,000","26,840,000","29,552,000","24,810,000","22,698,000","21,760,000","22,624,000","16,567,000","16,733,000","17,966,000","14,084,000","12,750,000","12,004,000","12,951,000","11,034,000","10,395,000","10,231,000","9,931,000","11,234,000","8,900,000","8,615,000","8,781,000","7,933,000","7,660,000","7,532,000","7,497,000","7,056,000","6,636,000","7,791,000","6,624,000","6,405,000","6,440,000","6,221,000","6,033,000","6,000,000","5,900,000","6,000,000","6,082,817","5,500,000","3,800,000","3,200,000","3,151,341","3,000,000","2,800,000","2,800,000","2,833,924","2,600,000","2,500,000","2,400,000","2,300,000","2,200,000","2,200,000","2,100,000","2,000,000","2,200,000","2,200,000","2,100,000","2,000,000","2,000,000","2,000,000","1,900,000","1,900,000","1,800,000","1,600,000","1,600,000","1,500,000","1,700,000"
		GeneralAndAdministrativeExpense,"104,121,000","28,985,000","25,904,000","24,754,000","24,478,000","20,901,000","28,795,000","22,504,000","21,017,000","24,646,000","23,832,000","22,633,000","25,831,000","20,022,000","21,348,000","24,029,000","22,398,000","32,060,000","28,588,000","27,233,000","30,574,000","27,462,000","27,983,000","29,928,000","31,929,000","33,413,000","27,310,000","29,307,000","32,705,000","27,519,000","28,674,000","28,827,000","37,219,000","31,457,000","30,961,000","31,420,000","34,119,000","29,166,000",,,,,,,,,,,,,,,,,"30,992,000",,,"26,840,000","29,552,000","24,810,000","22,698,000","21,760,000","22,624,000","16,567,000","16,733,000","17,966,000","14,084,000","12,750,000","12,004,000","12,951,000","11,034,000","10,395,000","10,231,000","9,931,000","11,234,000","8,900,000","8,615,000","8,781,000","7,933,000","7,660,000","7,532,000","7,497,000","7,056,000","6,636,000","7,791,000","6,624,000","6,405,000","6,440,000","6,221,000","6,033,000","6,000,000","5,900,000","6,000,000","6,082,817","5,500,000","3,800,000","3,200,000","3,151,341","3,000,000","2,800,000","2,800,000","2,833,924","2,600,000","2,500,000","2,400,000","2,300,000","2,200,000","2,200,000","2,100,000","2,000,000","2,200,000","2,200,000","2,100,000","2,000,000","2,000,000","2,000,000","1,900,000","1,900,000","1,800,000","1,600,000","1,600,000","1,500,000","1,700,000"
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,840,000","29,552,000","24,810,000","22,698,000","21,760,000","22,624,000","16,567,000","16,733,000","17,966,000","14,084,000","12,750,000","12,004,000","12,951,000","11,034,000","10,395,000","10,231,000","9,931,000","11,234,000","8,900,000","8,615,000","8,781,000","7,933,000","7,660,000","7,532,000","7,497,000","7,056,000","6,636,000","7,791,000","6,624,000","6,405,000","6,440,000","6,221,000","6,000,000","6,000,000","5,900,000","6,000,000","6,100,000","5,500,000","3,800,000","3,200,000","3,200,000","3,000,000","2,800,000","2,800,000","2,800,000","2,600,000","2,500,000","2,400,000","2,300,000","2,200,000","2,200,000","2,100,000","2,000,000","2,200,000","2,200,000","2,100,000","2,000,000","2,000,000","2,000,000","1,900,000","1,900,000","1,800,000","1,600,000","1,600,000","1,500,000","1,700,000"
			RentAndLandingFees,,,,,,,,,"2,835,000","2,859,000","2,836,000","2,924,000","2,692,000","2,667,000","2,702,000","2,742,000","2,818,000","2,833,000","2,764,000","2,765,000","2,783,000","2,719,000","2,728,000","2,728,000","2,818,000","2,868,000","2,913,000","3,012,000","3,554,000","3,888,000","3,559,000","3,498,000","3,305,000","3,323,000","3,319,000","3,380,000","3,325,000","3,304,000",,,,,,,,,,,,,,,,,"3,320,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"104,121,000","28,985,000","25,904,000","24,754,000","24,478,000","20,901,000","28,795,000","22,504,000","21,017,000","24,646,000","23,832,000","22,633,000","25,831,000","20,022,000","21,348,000","24,029,000","22,398,000","32,060,000","28,588,000","27,233,000","30,574,000","27,462,000","27,983,000","29,928,000","31,929,000","33,413,000","27,310,000","29,307,000","32,705,000","27,519,000","28,674,000","28,827,000","37,219,000","31,457,000","30,961,000","31,420,000","34,119,000","29,166,000",,,,,,,,,,,,,,,,,"27,672,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
