name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"19,440,000,000","4,965,000,000","5,010,000,000","4,722,000,000","4,743,000,000","4,836,000,000","4,683,000,000","4,612,000,000","5,009,000,000","4,583,000,000","4,640,000,000","4,594,000,000","4,633,000,000","4,569,000,000","4,582,000,000","4,604,000,000","4,731,000,000","4,582,000,000","4,640,000,000","4,554,000,000","4,483,000,000","4,544,000,000","4,594,000,000","4,588,000,000","4,476,000,000","4,539,000,000","4,718,000,000","4,643,000,000","4,691,000,000","3,661,000,000","5,442,000,000","5,343,000,000","5,278,000,000","5,305,000,000","5,262,000,000","5,267,000,000","5,318,000,000","5,307,000,000","5,246,000,000","5,269,000,000","5,241,000,000","5,176,000,000","5,382,000,000","5,259,000,000","5,029,000,000","5,075,000,000","4,979,000,000","4,857,000,000","4,835,000,000","4,982,000,000","4,913,000,000","4,727,000,000","4,493,000,000","4,597,900,000","4,998,200,000","5,006,200,000","4,812,700,000","4,758,100,000","4,620,600,000","4,502,000,000","4,385,300,000","4,307,200,000","4,210,400,000","4,161,400,000","4,067,900,000","4,008,900,000","4,000,800,000","3,987,100,000","3,905,800,000","3,642,100,000","3,866,300,000","3,775,700,000","3,799,100,000","3,702,100,000","3,641,600,000","3,544,600,000","3,459,700,000","3,339,800,000","3,486,700,000","3,408,900,000","3,330,900,000","3,671,800,000","3,710,000,000","3,534,200,000","3,608,400,000","3,600,800,000","3,529,500,000","3,464,500,000","3,387,200,000","3,425,500,000","3,307,500,000","3,148,600,000","3,125,200,000","3,108,200,000","3,099,700,000","3,041,300,000","3,048,600,000","3,089,400,000","3,095,300,000","3,124,300,000","3,237,600,000","3,323,600,000","3,275,700,000","3,347,700,000","3,288,800,000","7,409,700,000","2,212,300,000","2,152,000,000","2,014,600,000","1,920,800,000","1,836,800,000","1,830,100,000","1,776,500,000","1,764,000,000","1,781,000,000","1,725,900,000","1,702,000,000","1,809,300,000","1,793,500,000","1,748,600,000","1,739,700,000","1,726,900,000","1,694,600,000","1,687,800,000","1,667,600,000","1,646,200,000","1,575,100,000","1,612,700,000","1,573,300,000","1,463,100,000","1,452,700,000","1,396,000,000","1,421,800,000","1,391,100,000","1,367,700,000","1,340,700,000","1,294,000,000","1,253,900,000","1,223,200,000","1,224,400,000","1,183,200,000","1,113,200,000","1,065,000,000","1,087,700,000","1,037,200,000","1,050,600,000","1,015,400,000"
	OperatingRevenue,"19,440,000,000","4,965,000,000","5,010,000,000","4,722,000,000","4,743,000,000","4,836,000,000","4,683,000,000","4,612,000,000","5,009,000,000","4,583,000,000","4,640,000,000","4,594,000,000","4,633,000,000","4,569,000,000","4,582,000,000","4,604,000,000","4,731,000,000","4,582,000,000","4,640,000,000","4,554,000,000","4,483,000,000","4,544,000,000","4,594,000,000","4,588,000,000","4,476,000,000","4,539,000,000","4,718,000,000","4,643,000,000","4,691,000,000","3,661,000,000","5,442,000,000","5,343,000,000","5,278,000,000","5,305,000,000","5,262,000,000","5,267,000,000","5,318,000,000","5,307,000,000","5,246,000,000","5,269,000,000","5,241,000,000","5,176,000,000","5,382,000,000","5,259,000,000","5,029,000,000","5,075,000,000","4,979,000,000","4,857,000,000","4,835,000,000","4,982,000,000","4,913,000,000","4,727,000,000","4,493,000,000","4,597,900,000","4,998,200,000","5,006,200,000","4,812,700,000","4,758,100,000","4,620,600,000","4,502,000,000","4,385,300,000","4,307,200,000","4,210,400,000","4,161,400,000","4,067,900,000","4,008,900,000","4,000,800,000","3,987,100,000","3,905,800,000","3,642,100,000","3,866,300,000","3,775,700,000","3,799,100,000","3,702,100,000","3,641,600,000","3,544,600,000","3,459,700,000","3,339,800,000","3,486,700,000","3,408,900,000","3,330,900,000","3,671,800,000","3,710,000,000","3,534,200,000","3,608,400,000","3,600,800,000","3,529,500,000","3,464,500,000","3,387,200,000","3,425,500,000","3,307,500,000","3,148,600,000","3,125,200,000","3,108,200,000","3,099,700,000","3,041,300,000","3,048,600,000","3,089,400,000","3,095,300,000","3,124,300,000","3,237,600,000","3,323,600,000","3,275,700,000","3,347,700,000","3,288,800,000","7,409,700,000","2,212,300,000","2,152,000,000","2,014,600,000","1,920,800,000","1,836,800,000","1,830,100,000","1,776,500,000","1,764,000,000","1,781,000,000","1,725,900,000","1,702,000,000","1,809,300,000","1,793,500,000","1,748,600,000","1,739,700,000","1,726,900,000","1,694,600,000","1,687,800,000","1,667,600,000","1,646,200,000","1,575,100,000","1,612,700,000","1,573,300,000","1,463,100,000","1,452,700,000","1,396,000,000","1,421,800,000","1,391,100,000","1,367,700,000","1,340,700,000","1,294,000,000","1,253,900,000","1,223,200,000","1,224,400,000","1,183,200,000","1,113,200,000","1,065,000,000","1,087,700,000","1,037,200,000","1,050,600,000","1,015,400,000"
CostOfRevenue,"13,452,000,000","3,529,000,000","3,527,000,000","3,242,000,000","3,154,000,000","3,172,000,000","3,093,000,000","2,835,000,000","3,218,000,000","3,017,000,000","3,085,000,000","3,108,000,000","3,205,000,000","3,167,000,000","3,166,000,000","3,149,000,000","3,407,000,000","2,984,000,000","2,981,000,000","2,910,000,000","2,831,000,000","2,866,000,000","2,924,000,000","2,924,000,000","2,837,000,000","2,913,000,000","3,036,000,000","2,986,000,000","3,032,000,000","2,513,000,000","3,541,000,000","3,534,000,000","3,453,000,000","3,492,000,000","3,457,000,000","3,467,000,000","3,496,000,000","3,783,000,000","3,480,000,000","3,514,000,000","3,537,000,000","3,632,000,000","3,794,000,000","3,702,000,000","3,566,000,000","3,430,000,000","3,365,000,000","3,213,000,000","3,188,000,000","3,316,000,000","3,186,000,000","3,154,000,000","3,039,000,000","3,143,300,000","3,535,000,000","3,521,700,000","3,357,000,000","3,296,000,000","3,177,100,000","3,056,000,000","3,033,000,000","2,941,300,000","2,934,900,000","2,873,800,000","2,914,800,000","2,719,300,000","2,844,400,000","2,664,500,000","2,599,200,000","2,410,400,000","2,601,800,000","2,491,000,000","2,511,500,000","2,427,900,000","2,426,700,000","2,337,400,000","2,256,100,000","2,219,600,000","2,246,500,000","2,166,100,000","2,118,500,000","2,199,000,000","2,161,800,000","2,103,700,000","2,151,000,000","1,970,000,000","1,953,900,000","1,885,100,000","1,827,800,000","1,868,400,000","1,808,600,000","1,696,300,000","1,703,600,000","1,839,300,000","1,766,000,000","1,722,800,000","1,760,500,000","1,977,800,000","1,817,200,000","1,811,000,000","1,875,700,000","1,950,400,000","1,881,700,000","1,953,300,000","1,895,000,000","4,301,700,000","1,355,400,000","1,326,900,000","1,262,400,000","1,210,800,000","1,166,200,000","1,128,700,000","1,092,100,000","1,086,900,000","1,121,200,000","1,049,900,000","1,029,800,000","1,109,900,000","1,071,900,000","971,500,000","1,025,100,000","1,040,200,000","1,009,600,000","1,014,600,000","1,002,500,000","1,019,800,000","963,000,000","1,009,200,000","991,600,000","737,200,000","921,500,000","896,800,000",,,,,,,,,,,,,,,
GrossProfit,"5,988,000,000","1,436,000,000","1,483,000,000","1,480,000,000","1,589,000,000","1,664,000,000","1,590,000,000","1,777,000,000","1,791,000,000","1,566,000,000","1,555,000,000","1,486,000,000","1,428,000,000","1,402,000,000","1,416,000,000","1,455,000,000","1,324,000,000","1,598,000,000","1,659,000,000","1,644,000,000","1,652,000,000","1,678,000,000","1,670,000,000","1,664,000,000","1,639,000,000","1,626,000,000","1,682,000,000","1,657,000,000","1,659,000,000","1,148,000,000","1,901,000,000","1,809,000,000","1,825,000,000","1,813,000,000","1,805,000,000","1,800,000,000","1,822,000,000","1,524,000,000","1,766,000,000","1,755,000,000","1,704,000,000","1,544,000,000","1,588,000,000","1,557,000,000","1,463,000,000","1,645,000,000","1,614,000,000","1,644,000,000","1,647,000,000","1,666,000,000","1,727,000,000","1,573,000,000","1,454,000,000","1,454,600,000","1,463,200,000","1,484,500,000","1,455,700,000","1,462,100,000","1,443,500,000","1,446,000,000","1,352,300,000","1,365,900,000","1,275,500,000","1,287,600,000","1,153,100,000","1,289,600,000","1,156,400,000","1,322,600,000","1,306,600,000","1,231,700,000","1,264,500,000","1,284,700,000","1,287,600,000","1,274,200,000","1,214,900,000","1,207,200,000","1,203,600,000","1,120,200,000","1,240,200,000","1,242,800,000","1,212,400,000","1,472,800,000","1,548,200,000","1,430,500,000","1,457,400,000","1,630,800,000","1,575,600,000","1,579,400,000","1,559,400,000","1,557,100,000","1,498,900,000","1,452,300,000","1,421,600,000","1,268,900,000","1,333,700,000","1,318,500,000","1,288,100,000","1,111,600,000","1,278,100,000","1,313,300,000","1,361,900,000","1,373,200,000","1,394,000,000","1,394,400,000","1,393,800,000","3,108,000,000","856,900,000","825,100,000","752,200,000","710,000,000","670,600,000","701,400,000","684,400,000","677,100,000","659,800,000","676,000,000","672,200,000","699,400,000","721,600,000","777,100,000","714,600,000","686,700,000","685,000,000","673,200,000","665,100,000","626,400,000","612,100,000","603,500,000","581,700,000","725,900,000","531,200,000","499,200,000",,,,,,,,,,,,,,,
OperatingExpense,"3,427,000,000","915,000,000","826,000,000","867,000,000","819,000,000","915,000,000","924,000,000","852,000,000","887,000,000","815,000,000","640,000,000","816,000,000","773,000,000","763,000,000","747,000,000","781,000,000","1,077,000,000","786,000,000","805,000,000","845,000,000","818,000,000","839,000,000","834,000,000","826,000,000","835,000,000","996,000,000","903,000,000","2,201,000,000","911,000,000","1,121,000,000","994,000,000","1,019,000,000","1,028,000,000","991,000,000","998,000,000","1,004,000,000","1,039,000,000","1,075,000,000","983,000,000","1,001,000,000","1,004,000,000","933,000,000","926,000,000","932,000,000","919,000,000","946,000,000","916,000,000","933,000,000","982,000,000","949,000,000","856,000,000","964,000,000","826,000,000","831,300,000","853,700,000","834,400,000","791,600,000","793,200,000","760,800,000","797,300,000","736,200,000","755,300,000","749,100,000","12,331,900,000","732,700,000","717,400,000","691,800,000","686,400,000","-5,069,400,000","648,900,000","633,900,000","640,000,000","639,300,000","652,000,000","610,900,000","600,300,000","624,300,000","590,400,000","595,400,000","618,500,000","547,500,000","985,400,000","919,100,000","839,900,000","826,300,000","971,800,000","922,400,000","953,500,000","967,900,000","961,600,000","960,600,000","912,100,000","847,300,000","839,500,000","912,700,000","849,800,000","829,600,000","832,500,000","811,600,000","818,900,000","817,600,000","846,800,000","848,200,000","906,200,000","900,500,000","2,216,200,000","576,500,000","567,600,000","528,900,000","501,600,000","488,200,000","485,300,000","472,200,000","460,800,000","470,200,000","484,400,000","476,200,000","782,400,000","510,400,000","572,500,000","504,300,000","511,500,000","493,800,000","489,100,000","473,800,000","455,900,000","415,600,000","408,000,000","390,600,000","556,700,000","353,600,000","344,300,000",,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"3,399,000,000","911,000,000","819,000,000","854,000,000","815,000,000","996,000,000","919,000,000","844,000,000","873,000,000","859,000,000","815,000,000","811,000,000","769,000,000","768,000,000","749,000,000","771,000,000","1,079,000,000","759,000,000","813,000,000","842,000,000","813,000,000","821,000,000","833,000,000","847,000,000","825,000,000","857,000,000","868,000,000","869,000,000","849,000,000","695,000,000","1,011,000,000","1,032,000,000","971,000,000","999,000,000","990,000,000","1,012,000,000","1,027,000,000","1,066,000,000","988,000,000","1,019,000,000","996,000,000","957,000,000","943,000,000","940,000,000","921,000,000","954,000,000","909,000,000","929,000,000","881,000,000","974,000,000","852,000,000","923,000,000","749,000,000","816,300,000","849,000,000","827,300,000","798,400,000","792,000,000","783,700,000","797,600,000","732,600,000","744,700,000","749,200,000","741,900,000","712,500,000","715,900,000","679,500,000","688,100,000","653,900,000","635,200,000","625,400,000","625,500,000","624,800,000","617,600,000","589,600,000","579,500,000","588,900,000","545,900,000","579,100,000","587,300,000","566,200,000","827,400,000","805,100,000","736,200,000","733,600,000","722,900,000","689,200,000","717,400,000","735,300,000","728,700,000","734,800,000","684,400,000","655,900,000","612,300,000","728,600,000","670,300,000","653,100,000","641,600,000","640,800,000","647,500,000","648,000,000","702,900,000","710,200,000","766,100,000","761,500,000","1,908,700,000","481,700,000","475,400,000","441,700,000","415,800,000","406,900,000","404,100,000","393,200,000","380,500,000","398,300,000","412,500,000","406,700,000","710,300,000","434,000,000","501,600,000","434,700,000","441,200,000","426,900,000","425,300,000","409,300,000","395,300,000","355,700,000","348,000,000","332,100,000","501,500,000","301,700,000","293,200,000",,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"216,700,000","189,000,000","183,700,000","178,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"216,700,000","189,000,000","183,700,000","178,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"988,000,000","1,019,000,000","996,000,000","957,000,000","943,000,000","940,000,000","921,000,000","954,000,000","909,000,000","929,000,000","881,000,000","974,000,000","852,000,000","923,000,000","749,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"610,700,000","616,100,000","552,500,000","555,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"79,500,000","73,900,000","73,200,000","68,700,000","80,400,000","67,400,000","68,400,000","61,200,000","70,600,000","62,200,000","62,200,000","54,800,000","62,900,000","54,200,000","54,800,000","52,900,000","61,800,000","51,000,000","50,300,000","48,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
