name,ttm,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,11/30/2016,08/31/2016,05/31/2016,02/29/2016,11/30/2015,08/31/2015,05/31/2015,02/28/2015,11/30/2014,08/31/2014,05/31/2014,02/28/2014,11/30/2013,08/31/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005,11/30/2004,08/31/2004,05/31/2004,02/29/2004,11/30/2003,08/31/2003,05/31/2003,02/28/2003,11/30/2002,08/31/2002,05/31/2002,02/28/2002,11/30/2001,08/31/2001,05/31/2001,02/28/2001,11/30/2000,08/31/2000,05/31/2000,02/29/2000,11/30/1999,08/31/1999,05/31/1999,02/28/1999,11/30/1998,08/31/1998,05/31/1998,02/28/1998,11/30/1997,08/31/1997,05/31/1997
TotalRevenue,"29,377,974,000","8,527,759,000","7,988,359,000","7,697,599,000","5,164,257,000","5,184,944,000","5,372,166,000","3,228,782,000","4,962,490,000","4,790,028,000","5,201,151,000","5,366,318,000","4,318,602,000","4,295,871,000","4,766,035,000","4,792,592,000","4,084,218,000","4,107,017,000","4,386,640,000","4,542,334,000","4,049,960,000","3,701,524,000","3,997,248,000","4,126,386,000","3,705,805,000","3,544,069,000","3,884,913,000","4,014,888,000","3,514,092,000","3,405,234,000","3,599,194,000","3,750,196,000","3,076,283,000","2,941,407,000","3,245,552,000","3,311,057,000","2,827,948,000","2,602,446,000","2,758,004,000","2,774,420,000","2,475,849,000","2,260,514,000","2,587,819,000","2,679,417,000","2,252,633,000","2,119,129,000","2,341,880,000","2,261,912,000","1,833,245,000","1,725,977,000","2,076,671,000","1,834,300,000","1,470,517,000","1,455,632,000","1,839,054,000","2,208,763,000","2,044,607,000","1,885,300,000","2,122,530,000","2,147,134,000","1,882,828,000","1,768,147,000","1,929,542,000","1,885,139,000","1,623,774,000","1,423,980,000","1,633,853,000","1,578,360,000","1,396,054,000","1,215,711,000","1,323,507,000","1,324,990,000","1,116,865,000","1,071,534,000","1,236,457,000","1,172,835,000","946,640,000","936,819,000","1,076,083,000","1,001,564,000","779,158,000","774,324,000","851,363,000","796,820,000","639,996,000","561,693,000","673,561,000","625,741,000","504,284,000","489,000,000","535,700,000","486,100,000","374,000,000","345,900,000","400,000,000","346,400,000","263,100,000","227,100,000","206,400,000","177,600,000"
	OperatingRevenue,"28,702,369,000","8,357,873,000","7,805,938,000","7,531,701,000","5,006,857,000","5,038,110,000","5,208,315,000","3,129,054,000","4,802,023,000","4,639,794,000","5,024,581,000","5,203,106,000","4,172,199,000","4,151,509,000","4,603,358,000","4,638,698,000","3,956,492,000","3,978,294,000","4,241,967,000","4,396,763,000","3,916,197,000","3,578,998,000","3,861,216,000","3,996,715,000","3,430,800,000","3,465,050,000","3,802,487,000","3,929,331,000","3,437,151,000","3,330,752,000","3,520,379,000","3,675,375,000","3,038,259,000","2,884,185,000","3,174,432,000","3,244,841,000","2,579,376,000","2,602,446,000","2,758,004,000","2,774,420,000","2,475,849,000","2,260,514,000","2,587,819,000","2,679,417,000","2,252,633,000","2,119,129,000","2,341,880,000","2,261,912,000","1,833,245,000","1,725,977,000","2,076,671,000","1,834,300,000","1,470,517,000","1,455,632,000","1,839,054,000","2,208,763,000","2,044,607,000","1,885,300,000","2,122,530,000","2,147,134,000","1,882,828,000","1,768,147,000","1,929,542,000","1,885,139,000","1,623,774,000","1,423,980,000","1,633,853,000","1,578,360,000","1,396,054,000","1,215,711,000","1,323,507,000","1,324,990,000","1,116,865,000","1,071,534,000","1,236,457,000","1,172,835,000","946,640,000","936,819,000","1,076,083,000","1,001,564,000","779,158,000","774,324,000","851,363,000","796,820,000","639,996,000","561,693,000","673,561,000","625,741,000","504,284,000","489,000,000","535,700,000","486,100,000","374,000,000","345,900,000","400,000,000","346,400,000","263,100,000","227,100,000","206,400,000","177,600,000"
CostOfRevenue,"26,160,052,000","7,691,199,000","7,172,875,000","6,773,090,000","4,522,888,000","4,553,514,000","4,620,023,000","2,874,599,000","4,289,633,000","4,176,381,000","4,507,698,000","4,623,935,000","3,719,224,000","3,726,634,000","4,115,399,000","4,131,252,000","3,547,490,000","3,567,829,000","3,782,635,000","3,893,396,000","3,487,800,000","3,198,389,000","3,451,886,000","3,553,749,000","3,216,540,000","3,079,738,000","3,363,543,000","3,471,094,000","3,038,255,000","2,958,614,000","3,135,855,000","3,248,465,000","2,692,142,000","2,559,686,000","2,810,809,000","2,862,961,000","2,458,713,000","2,257,227,000","2,390,011,000","2,392,505,000","2,137,677,000","1,957,295,000","2,233,544,000","2,296,322,000","1,931,981,000","1,821,219,000","1,992,762,000","1,928,364,000","1,568,024,000","1,483,114,000","1,762,122,000","1,558,063,000","1,240,210,000","1,256,396,000","1,583,141,000","1,926,049,000","1,787,480,000","1,642,417,000","1,834,336,000","1,862,913,000","1,641,995,000","1,539,538,000","1,676,177,000","1,636,884,000","1,416,576,000","1,246,807,000","1,425,269,000","1,380,601,000","1,221,734,000","1,070,265,000","1,160,307,000","1,157,760,000","983,095,000","945,292,000","1,073,352,000","1,025,064,000","836,295,000","829,879,000","951,870,000","883,661,000","678,967,000","683,298,000","742,837,000","688,167,000","553,861,000","485,110,000","578,442,000","535,703,000","438,378,000","431,800,000","467,700,000","421,400,000","324,200,000","303,800,000","351,600,000","304,400,000","239,300,000","210,200,000","186,600,000","160,000,000"
GrossProfit,"3,217,922,000","836,560,000","815,484,000","924,509,000","641,369,000","631,430,000","752,143,000","354,183,000","672,857,000","613,647,000","693,453,000","742,383,000","599,378,000","569,237,000","650,636,000","661,340,000","536,728,000","539,188,000","604,005,000","648,938,000","562,160,000","503,135,000","545,362,000","572,637,000","489,265,000","464,331,000","521,370,000","543,794,000","475,837,000","446,620,000","463,339,000","501,731,000","384,141,000","381,721,000","434,743,000","448,096,000","369,235,000","345,219,000","367,993,000","381,915,000","338,172,000","303,219,000","354,275,000","383,095,000","320,652,000","297,910,000","349,118,000","333,548,000","265,221,000","242,863,000","314,549,000","276,237,000","230,307,000","199,236,000","255,913,000","282,714,000","257,127,000","242,883,000","288,194,000","284,221,000","240,833,000","228,609,000","253,365,000","248,255,000","207,198,000","177,173,000","208,584,000","197,759,000","174,320,000","145,446,000","163,200,000","167,230,000","133,770,000","126,242,000","163,105,000","147,771,000","110,345,000","106,940,000","124,213,000","117,903,000","100,191,000","91,026,000","108,526,000","108,653,000","86,135,000","76,583,000","95,119,000","90,038,000","65,906,000","57,200,000","68,000,000","64,700,000","49,800,000","42,100,000","48,400,000","42,000,000","23,800,000","16,900,000","19,800,000","17,600,000"
OperatingExpense,"2,561,081,000","721,628,000","675,175,000","603,959,000","572,500,000","498,600,000","527,600,000","373,716,000","320,800,000","544,600,000","480,831,000","489,660,000","288,700,000","459,700,000","453,554,000","438,234,000","283,651,000","446,100,000","405,100,000","403,500,000","258,300,000","406,100,000","366,100,000","380,200,000","242,600,000","375,500,000","330,800,000","349,800,000","250,900,000","347,000,000","297,600,000","313,400,000","-922,344,800","309,700,000","283,200,000","290,200,000","265,441,000","257,282,000","254,674,000","253,603,000","223,842,000","232,304,000","236,435,000","248,205,000","233,456,000","219,707,000","225,236,000","226,692,000","378,541,000","192,140,000","218,122,000","206,225,000","196,744,000","217,482,000","225,148,000","242,984,000","219,854,000","210,508,000","214,196,000","213,814,000","201,835,000","187,318,000","200,049,000","186,966,000","165,752,000","161,727,000","165,274,000","159,235,000","143,993,000","137,170,000","134,737,000","130,688,000","117,825,000","114,282,000","121,174,000","115,553,000","99,573,000","101,810,000","70,836,000","68,550,000","70,262,000","61,215,000","62,262,000","63,243,000","70,632,000","61,713,000","65,918,000","64,020,000","65,441,000","59,400,000","60,100,000","58,500,000","63,000,000","52,400,000","51,900,000","47,000,000","59,400,000","31,500,000","22,400,000","19,100,000"
	SellingGeneralAndAdministration,"2,455,000,000","588,600,000","586,686,000","554,069,000","567,900,000","490,400,000","501,600,000","373,716,000","453,500,000","495,600,000","480,831,000","489,660,000","400,400,000","418,900,000","453,554,000","438,234,000","382,651,000","408,600,000","405,100,000","403,500,000","362,500,000","364,200,000","366,100,000","380,200,000","312,800,000","344,600,000","330,800,000","349,800,000","311,200,000","322,900,000","297,600,000","313,400,000","-873,344,800","290,000,000","283,200,000","290,200,000","265,441,000","257,282,000","254,674,000","253,603,000","223,842,000","232,304,000","236,435,000","248,205,000","233,456,000","219,707,000","225,236,000","226,692,000","202,204,000","192,140,000","218,122,000","206,225,000","196,744,000","217,482,000","225,148,000","242,984,000","219,854,000","210,508,000","214,196,000","213,814,000","201,835,000","187,318,000","200,049,000","186,966,000","165,752,000","161,727,000","165,274,000","159,235,000","143,993,000","137,170,000","134,737,000","130,688,000","117,825,000","114,282,000","121,174,000","115,553,000","99,573,000","101,810,000","70,836,000","68,550,000","70,262,000","61,215,000","62,262,000","58,550,000","66,566,000","56,809,000","61,348,000","59,444,000","61,400,000","55,000,000","55,900,000","55,900,000","59,700,000","50,000,000","49,700,000","44,900,000","58,200,000","30,000,000","21,400,000","18,200,000"
		GeneralAndAdministrativeExpense,"2,147,700,000","512,500,000","586,686,000","481,600,000","494,200,000","431,600,000","451,100,000",,"402,800,000","443,800,000","434,000,000","447,800,000","356,500,000","381,500,000","406,900,000","399,700,000",,"372,100,000","365,500,000","365,300,000","322,400,000","329,400,000","331,600,000","345,400,000","278,200,000","307,100,000","296,000,000","316,100,000","276,800,000","294,600,000","268,200,000","282,700,000","-796,457,000","266,600,000","256,700,000","263,100,000","235,900,000","234,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,"1,333,300,000","354,300,000","12,400,000","322,600,000","303,300,000","253,100,000","285,000,000",,"217,600,000","254,300,000","249,400,000","270,900,000","191,500,000","213,900,000","238,900,000","241,500,000",,"218,700,000","218,200,000","222,500,000","182,900,000","189,700,000","199,300,000","216,600,000","157,600,000","184,000,000","180,300,000","201,800,000","171,500,000","185,900,000","181,500,000","178,900,000","-510,443,300","167,000,000","160,900,000","172,100,000","154,800,000","144,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			RentAndLandingFees,"411,700,000","59,300,000","55,100,000","50,600,000","101,600,000","101,800,000","101,100,000",,"102,200,000","98,000,000","96,700,000","96,600,000","90,200,000","90,300,000","90,800,000","87,800,000",,"86,000,000","85,200,000","79,700,000","78,200,000","75,800,000","75,100,000","71,700,000","71,600,000","70,100,000","68,600,000","65,300,000","63,400,000","61,900,000","60,000,000","58,300,000","-160,683,200","53,900,000","54,500,000","52,500,000","50,100,000","51,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"402,700,000","98,900,000","574,286,000","108,400,000","89,300,000","76,700,000","65,000,000",,"83,000,000","91,500,000","87,900,000","80,300,000","74,800,000","77,300,000","77,200,000","70,400,000",,"67,400,000","62,100,000","63,100,000","61,300,000","63,900,000","57,200,000","57,100,000","49,000,000","53,000,000","47,100,000","49,000,000","41,900,000","46,800,000","26,700,000","45,500,000","-125,330,500","45,700,000","41,300,000","38,500,000","31,000,000","39,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
