name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"38,655,000,000","9,464,000,000","10,042,000,000","10,129,000,000","9,020,000,000","8,611,000,000","8,652,000,000","7,150,000,000","8,601,000,000","9,068,000,000","9,507,000,000","9,997,000,000","8,020,000,000","7,058,000,000","8,245,000,000","8,927,000,000","7,626,000,000","7,512,000,000","9,078,000,000","9,702,000,000","9,118,000,000","9,409,000,000","10,633,000,000","11,539,000,000","10,282,000,000","10,000,000,000","11,427,000,000","12,156,000,000","10,711,000,000","10,872,000,000","11,976,000,000","12,574,000,000","10,576,000,000","11,040,000,000","12,030,000,000","12,749,000,000","11,035,000,000","11,455,000,000","12,340,000,000","13,085,000,000","11,137,000,000","11,040,000,000","12,248,000,000","12,737,000,000","10,517,000,000","10,494,000,000","8,426,000,000","8,674,000,000","7,525,000,000","7,510,000,000","8,044,000,000","8,267,000,000","7,169,000,000","7,126,000,000","8,393,000,000","9,046,000,000","7,379,000,000","7,331,000,000","7,690,000,000","7,733,000,000","6,103,000,000","5,932,000,000","6,454,000,000","6,476,000,000","5,226,000,000","5,551,000,000","6,037,000,000","6,310,000,000","5,266,000,000","5,257,000,000","5,662,000,000","5,965,000,000","5,078,000,000","5,193,000,000","5,662,000,000","5,691,000,000","4,498,000,000","4,795,000,000","5,322,000,000","5,368,000,000","4,079,000,000","4,923,000,000","5,397,000,000","5,293,000,000","4,479,000,000","4,903,000,000","5,543,000,000","5,621,000,000","4,391,000,000","4,803,000,000","5,195,000,000","5,379,000,000","4,428,000,000","4,458,000,000","4,747,000,000","5,151,000,000","4,457,000,000","4,701,000,000","4,954,000,000","5,075,000,000","4,138,000,000","4,443,000,000","4,656,000,000","5,253,000,000","4,194,000,000","4,333,000,000","4,895,000,000","4,936,000,000","3,854,000,000","4,017,000,000","4,461,000,000","4,342,000,000","3,352,000,000","3,373,000,000","3,629,000,000","3,899,000,000","3,056,000,000","3,244,100,000","3,507,500,000","3,550,400,000","2,771,900,000","2,879,000,000","3,172,100,000","3,039,500,000","2,481,000,000","2,556,100,000","2,792,800,000","2,739,300,000","2,148,300,000","2,248,900,000","2,302,600,000","2,429,100,000","1,985,200,000","2,026,800,000","2,128,300,000","2,313,600,000","1,869,100,000","1,991,700,000","2,014,400,000","2,104,400,000","1,547,800,000","2,155,000,000","2,533,800,000","2,245,000,000","1,734,800,000","1,936,900,000","2,172,700,000"
	OperatingRevenue,"38,655,000,000","9,464,000,000","10,042,000,000","10,129,000,000","9,020,000,000","8,611,000,000","8,652,000,000","7,150,000,000","8,601,000,000","9,068,000,000","9,507,000,000","9,997,000,000","8,020,000,000","7,058,000,000","8,245,000,000","8,927,000,000","7,626,000,000","7,512,000,000","9,078,000,000","9,702,000,000","9,118,000,000","9,409,000,000","10,633,000,000","11,539,000,000","10,282,000,000","10,000,000,000","11,427,000,000","12,156,000,000","10,711,000,000","10,872,000,000","11,976,000,000","12,574,000,000","10,576,000,000","11,040,000,000","12,030,000,000","12,749,000,000","11,035,000,000","11,455,000,000","12,340,000,000","13,085,000,000","11,137,000,000","11,040,000,000","12,248,000,000","12,737,000,000","10,517,000,000","10,494,000,000","8,426,000,000","8,674,000,000","7,525,000,000","7,510,000,000","8,044,000,000","8,267,000,000","7,169,000,000","7,126,000,000","8,393,000,000","9,046,000,000","7,379,000,000","7,331,000,000","7,690,000,000","7,733,000,000","6,103,000,000","5,932,000,000","6,454,000,000","6,476,000,000","5,226,000,000","5,551,000,000","6,037,000,000","6,310,000,000","5,266,000,000","5,257,000,000","5,662,000,000","5,965,000,000","5,078,000,000","5,193,000,000","5,662,000,000","5,691,000,000","4,498,000,000","4,795,000,000","5,322,000,000","5,368,000,000","4,079,000,000","4,923,000,000","5,397,000,000","5,293,000,000","4,479,000,000","4,903,000,000","5,543,000,000","5,621,000,000","4,391,000,000","4,803,000,000","5,195,000,000","5,379,000,000","4,428,000,000","4,458,000,000","4,747,000,000","5,151,000,000","4,457,000,000","4,701,000,000","4,954,000,000","5,075,000,000","4,138,000,000","4,443,000,000","4,656,000,000","5,253,000,000","4,194,000,000","4,333,000,000","4,895,000,000","4,936,000,000","3,854,000,000","4,017,000,000","4,461,000,000","4,342,000,000","3,352,000,000","3,373,000,000","3,629,000,000","3,899,000,000","3,056,000,000","3,244,100,000","3,507,500,000","3,550,400,000","2,771,900,000","2,879,000,000","3,172,100,000","3,039,500,000","2,481,000,000","2,556,100,000","2,792,800,000","2,739,300,000","2,148,300,000","2,248,900,000","2,302,600,000","2,429,100,000","1,985,200,000","2,026,800,000","2,128,300,000","2,313,600,000","1,869,100,000","1,991,700,000","2,014,400,000","2,104,400,000","1,547,800,000","2,155,000,000","2,533,800,000","2,245,000,000","1,734,800,000","1,936,900,000","2,172,700,000"
CostOfRevenue,"15,357,000,000","4,088,000,000","3,977,000,000","3,787,000,000","3,505,000,000","3,578,000,000","3,471,000,000","3,013,000,000","3,371,000,000","3,566,000,000","3,767,000,000","3,921,000,000","2,990,000,000","2,721,000,000","3,059,000,000","3,252,000,000","2,738,000,000","2,689,000,000","3,395,000,000","3,659,000,000","3,513,000,000","3,794,000,000","4,131,000,000","4,471,000,000","4,069,000,000","4,054,000,000","4,577,000,000","4,748,000,000","4,103,000,000","4,357,000,000","4,630,000,000","4,819,000,000","4,083,000,000","4,315,000,000","4,793,000,000","4,989,000,000","4,324,000,000","4,628,000,000","4,853,000,000","5,224,000,000","4,348,000,000","4,403,000,000","4,875,000,000","4,989,000,000","3,949,000,000","4,279,000,000","2,918,000,000","2,955,000,000","2,541,000,000","2,651,000,000","2,934,000,000","2,913,000,000","2,590,000,000","2,568,000,000","3,020,000,000","3,162,000,000","2,624,000,000","2,641,000,000","2,884,000,000","2,736,000,000","2,145,000,000","2,063,000,000","2,265,000,000","2,110,000,000","1,771,000,000","1,996,000,000","2,235,000,000","2,146,000,000","1,809,000,000","1,803,000,000","2,052,000,000","2,030,000,000","1,753,000,000","1,897,000,000","2,150,000,000","2,113,000,000","1,602,000,000","1,701,000,000","2,083,000,000","1,927,000,000","1,394,000,000","1,428,000,000","1,692,000,000","1,579,000,000","1,345,000,000","1,965,000,000","1,607,000,000","1,451,000,000","1,181,000,000","1,153,000,000","1,497,000,000","1,421,000,000","1,146,000,000","1,125,000,000","1,295,000,000","1,331,000,000","1,166,000,000","1,276,000,000","1,510,000,000","1,446,000,000","1,157,000,000","1,369,000,000","1,689,000,000","1,783,000,000","1,418,000,000","1,553,000,000","1,831,000,000","1,767,000,000","1,335,000,000","1,378,000,000","1,662,000,000","1,565,000,000","1,151,000,000","1,163,000,000","1,165,000,000","1,379,000,000","1,005,000,000","1,190,900,000","1,296,300,000","1,287,100,000","958,100,000","1,175,300,000","1,231,100,000","1,114,200,000","866,400,000","1,002,600,000","1,110,200,000","1,044,100,000","805,100,000","968,500,000","950,900,000","1,001,900,000","788,000,000",,,,,,,,,,,,,,
GrossProfit,"23,298,000,000","5,376,000,000","6,065,000,000","6,342,000,000","5,515,000,000","5,033,000,000","5,181,000,000","4,137,000,000","5,230,000,000","5,502,000,000","5,740,000,000","6,076,000,000","5,030,000,000","4,337,000,000","5,186,000,000","5,675,000,000","4,888,000,000","4,823,000,000","5,683,000,000","6,043,000,000","5,605,000,000","5,615,000,000","6,502,000,000","7,068,000,000","6,213,000,000","5,946,000,000","6,850,000,000","7,408,000,000","6,608,000,000","6,515,000,000","7,346,000,000","7,755,000,000","6,493,000,000","6,725,000,000","7,237,000,000","7,760,000,000","6,711,000,000","6,827,000,000","7,487,000,000","7,861,000,000","6,789,000,000","6,637,000,000","7,373,000,000","7,748,000,000","6,568,000,000","6,215,000,000","5,508,000,000","5,719,000,000","4,984,000,000","4,859,000,000","5,110,000,000","5,354,000,000","4,579,000,000","4,558,000,000","5,373,000,000","5,884,000,000","4,755,000,000","4,690,000,000","4,806,000,000","4,997,000,000","3,958,000,000","3,869,000,000","4,189,000,000","4,366,000,000","3,455,000,000","3,555,000,000","3,802,000,000","4,164,000,000","3,457,000,000","3,454,000,000","3,610,000,000","3,935,000,000","3,325,000,000","3,296,000,000","3,512,000,000","3,578,000,000","2,896,000,000","3,094,000,000","3,239,000,000","3,441,000,000","2,685,000,000","3,495,000,000","3,705,000,000","3,714,000,000","3,134,000,000","2,938,000,000","3,936,000,000","4,170,000,000","3,210,000,000","3,650,000,000","3,698,000,000","3,958,000,000","3,282,000,000","3,333,000,000","3,452,000,000","3,820,000,000","3,291,000,000","3,425,000,000","3,444,000,000","3,629,000,000","2,981,000,000","3,074,000,000","2,967,000,000","3,470,000,000","2,776,000,000","2,780,000,000","3,064,000,000","3,169,000,000","2,519,000,000","2,639,000,000","2,799,000,000","2,777,000,000","2,201,000,000","2,210,000,000","2,464,000,000","2,520,000,000","2,051,000,000","2,053,200,000","2,211,200,000","2,263,300,000","1,813,800,000","1,703,700,000","1,941,000,000","1,925,300,000","1,614,600,000","1,553,500,000","1,682,600,000","1,695,200,000","1,343,200,000","1,280,400,000","1,351,700,000","1,427,200,000","1,197,200,000",,,,,,,,,,,,,,
OperatingExpense,"12,259,000,000","2,973,000,000","3,167,000,000","3,039,000,000","2,687,000,000","1,967,000,000","2,883,000,000","2,156,000,000","2,850,000,000","3,155,000,000","3,241,000,000","3,088,000,000","2,694,000,000","2,060,000,000","2,660,000,000","2,948,000,000","3,077,000,000","2,001,000,000","3,563,000,000","3,965,000,000","3,623,000,000","4,260,000,000","4,231,000,000","4,209,000,000","4,072,000,000","4,428,000,000","4,471,000,000","4,873,000,000","4,169,000,000","5,064,000,000","4,635,000,000","4,585,000,000","4,117,000,000","4,620,000,000","4,765,000,000","4,517,000,000","4,303,000,000","4,644,000,000","4,694,000,000","4,567,000,000","4,280,000,000","4,686,000,000","4,623,000,000","4,574,000,000","4,289,000,000","5,056,000,000","3,164,000,000","2,956,000,000","2,801,000,000","3,079,000,000","2,960,000,000","2,916,000,000","2,716,000,000","2,852,000,000","3,186,000,000","3,205,000,000","2,881,000,000","3,164,000,000","2,977,000,000","2,727,000,000","2,331,000,000","2,657,000,000","2,527,000,000","2,327,000,000","2,105,000,000","2,293,000,000","2,310,000,000","2,192,000,000","2,098,000,000","2,107,000,000","2,513,000,000","2,132,000,000","1,874,000,000","2,204,000,000","2,061,000,000","1,976,000,000","1,820,000,000","2,086,000,000","1,694,000,000","1,789,000,000","1,432,000,000","2,247,000,000","2,394,000,000","2,201,000,000","1,854,000,000","2,099,000,000","2,609,000,000","2,885,000,000","2,970,000,000","3,301,000,000","2,599,000,000","2,568,000,000","2,138,000,000","2,396,000,000","2,215,000,000","2,309,000,000","2,009,000,000","2,252,000,000","2,201,000,000","2,186,000,000","1,839,000,000","2,028,000,000","2,513,000,000","2,088,000,000","1,743,000,000","1,831,000,000","2,058,000,000","1,911,000,000","1,640,000,000","1,773,000,000","1,799,000,000","1,707,000,000","1,429,000,000","1,573,000,000","1,635,000,000","1,561,000,000","1,374,000,000","1,469,900,000","1,440,200,000","1,426,800,000","1,234,400,000","1,216,600,000","1,296,300,000","1,232,100,000","1,120,600,000","1,132,000,000","1,170,100,000","1,115,500,000","905,200,000","898,600,000","893,300,000","928,400,000","810,200,000",,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"12,144,000,000","3,336,000,000","3,122,000,000","3,017,000,000","2,669,000,000","2,589,000,000","2,511,000,000","1,983,000,000","2,648,000,000","3,224,000,000","3,116,000,000","2,996,000,000","2,567,000,000","2,538,000,000","2,505,000,000","2,723,000,000","2,541,000,000","2,836,000,000","3,203,000,000","3,142,000,000","3,315,000,000","3,580,000,000","4,009,000,000","3,912,000,000","3,761,000,000","3,937,000,000","4,207,000,000","4,204,000,000","4,079,000,000","4,338,000,000","4,507,000,000","4,384,000,000","3,989,000,000","4,319,000,000","4,424,000,000","4,385,000,000","4,182,000,000","4,430,000,000","4,630,000,000","4,497,000,000","4,181,000,000","4,411,000,000","4,527,000,000","4,422,000,000","4,080,000,000","4,511,000,000","3,064,000,000","2,878,000,000","2,705,000,000","2,978,000,000","2,912,000,000","2,844,000,000","2,624,000,000","2,502,000,000","3,186,000,000","3,205,000,000","2,881,000,000","3,293,000,000","2,896,000,000","2,685,000,000","2,325,000,000","2,657,000,000","2,527,000,000","2,327,000,000","2,060,000,000","2,293,000,000","2,310,000,000","2,192,000,000","2,098,000,000","2,107,000,000","2,513,000,000","2,132,000,000","1,874,000,000","2,204,000,000","2,061,000,000","1,976,000,000","1,820,000,000","2,086,000,000","1,694,000,000","1,789,000,000","1,432,000,000","2,247,000,000","2,394,000,000","2,201,000,000","1,854,000,000","2,671,000,000","2,480,000,000","2,659,000,000","2,753,000,000","3,118,000,000","2,390,000,000","2,353,000,000","1,953,000,000","2,222,000,000","2,064,000,000","2,141,000,000","1,857,000,000","2,076,000,000","2,052,000,000","2,023,000,000","1,701,000,000","1,909,000,000","2,388,000,000","1,965,000,000","1,631,000,000","1,714,000,000","1,940,000,000","1,802,000,000","1,530,000,000","1,653,000,000","1,701,000,000","1,605,000,000","1,338,000,000","1,476,000,000","1,457,000,000","1,476,000,000","1,286,000,000","1,396,900,000","1,351,200,000","1,340,300,000","1,161,000,000","1,200,600,000","1,220,200,000","1,160,500,000","1,022,900,000","1,059,300,000","1,113,000,000","1,059,700,000","843,800,000","849,900,000","848,300,000","883,900,000","765,700,000",,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"5,472,000,000","1,696,000,000","1,343,000,000","1,283,000,000","1,150,000,000","1,218,000,000","1,006,000,000","1,044,000,000","1,048,000,000","1,545,000,000","1,182,000,000","1,118,000,000","1,059,000,000","1,395,000,000","906,000,000","1,064,000,000","1,128,000,000","1,235,000,000","1,391,000,000","1,319,000,000","1,336,000,000","1,465,000,000","1,599,000,000","1,555,000,000","1,462,000,000","1,630,000,000","1,604,000,000","1,544,000,000","1,648,000,000","1,425,000,000","1,370,000,000","1,334,000,000","1,209,000,000","1,598,000,000","1,355,000,000","1,341,000,000","1,240,000,000",,,,"1,244,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,"337,000,000","101,000,000","88,000,000","90,000,000","58,000,000","38,000,000","52,000,000","41,000,000","-5,000,000","55,000,000","58,000,000","48,000,000","40,000,000","58,000,000","46,000,000","49,000,000","72,000,000","52,000,000","53,000,000","59,000,000","55,000,000","67,000,000","72,000,000","50,000,000","69,000,000","65,000,000","54,000,000","57,000,000","60,000,000","66,000,000","31,000,000","73,000,000","39,000,000","72,000,000","63,000,000","45,000,000","47,000,000",,,,"77,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"5,135,000,000","1,595,000,000","1,255,000,000","1,193,000,000","1,092,000,000","1,180,000,000","954,000,000","1,003,000,000","1,053,000,000","1,490,000,000","1,124,000,000","1,070,000,000","1,019,000,000","1,337,000,000","860,000,000","1,015,000,000","1,056,000,000","1,183,000,000","1,338,000,000","1,260,000,000","1,281,000,000","1,398,000,000","1,527,000,000","1,505,000,000","1,393,000,000","1,565,000,000","1,550,000,000","1,487,000,000","1,588,000,000","1,359,000,000","1,339,000,000","1,261,000,000","1,170,000,000","1,526,000,000","1,292,000,000","1,296,000,000","1,193,000,000",,,,"1,167,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"6,672,000,000","1,640,000,000","1,779,000,000","1,734,000,000","1,519,000,000","1,371,000,000","1,505,000,000","939,000,000","1,600,000,000","1,679,000,000","1,934,000,000","1,878,000,000","1,508,000,000","1,143,000,000","1,599,000,000","1,659,000,000","1,413,000,000","1,601,000,000","1,812,000,000","1,823,000,000","1,979,000,000","2,115,000,000","2,410,000,000","2,357,000,000","2,299,000,000","2,307,000,000","2,603,000,000","2,660,000,000","2,431,000,000","2,913,000,000","3,137,000,000","3,050,000,000","2,780,000,000","2,721,000,000","3,069,000,000","3,044,000,000","2,942,000,000",,,,"2,937,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
