name,ttm,01/31/2022,10/31/2021,07/31/2021,05/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"137,888,000,000","33,048,000,000","31,860,000,000","31,682,000,000","41,298,000,000","41,298,000,000","30,737,000,000","29,723,000,000","30,489,000,000","41,549,000,000","28,893,000,000","27,974,000,000","28,168,000,000","37,251,000,000","28,091,000,000","27,672,000,000","27,869,000,000","37,530,000,000","31,031,000,000","27,749,000,000","27,597,000,000","36,285,000,000","27,611,000,000","26,557,000,000","26,565,000,000","34,604,000,000","26,165,000,000","25,075,000,000","25,539,000,000","33,051,000,000","25,207,000,000","24,987,000,000","25,310,000,000","32,961,000,000","23,105,000,000","22,505,000,000","22,722,000,000","30,043,000,000","24,153,000,000","21,807,000,000","21,726,000,000","29,065,000,000","21,405,000,000","20,594,000,000","20,913,000,000","27,461,000,000","19,931,000,000","18,698,000,000","18,796,000,000","24,764,000,000","18,530,000,000","17,669,000,000","17,735,000,000","22,799,000,000","17,260,000,000","17,580,000,000","18,053,000,000","23,107,000,000","17,235,000,000","16,135,000,000","16,139,000,000","20,726,000,000","16,859,000,000","14,699,000,000","15,138,000,000","19,415,000,000","14,720,000,000","14,020,000,000","13,865,000,000","17,948,000,000","13,695,000,000","12,854,000,000","12,980,000,000","16,905,000,000","13,034,000,000","12,141,000,000","12,351,000,000","16,266,000,000","12,470,000,000","11,696,000,000","11,927,000,000","15,667,000,000","12,129,000,000","11,382,000,000","11,485,000,000","15,102,000,000","12,692,000,000","10,962,000,000","11,017,000,000","14,329,000,000","11,241,000,000","10,329,000,000","10,289,000,000","8,789,000,000","7,349,000,000","8,023,900,000","6,441,600,000","6,388,800,000","6,509,500,000","7,686,600,000","6,231,800,000","6,139,400,000","6,199,100,000","7,343,100,000","5,844,400,000","5,784,300,000","5,860,700,000","6,959,200,000","5,652,900,000","5,465,000,000","5,585,800,000","6,650,300,000","5,394,200,000","5,328,800,000","5,402,400,000","6,478,600,000","5,329,400,000","5,174,000,000","5,700,800,000","6,333,100,000","5,072,200,000","5,038,500,000","5,128,600,000","6,228,400,000","5,086,400,000","4,907,100,000","4,985,500,000","5,974,300,000","4,742,400,000","4,558,800,000","4,653,100,000","5,533,900,000","4,425,900,000","4,490,800,000","4,647,900,000","5,584,500,000","4,504,700,000","4,315,900,000","4,408,300,000","5,152,900,000","4,142,600,000","3,955,900,000","4,376,200,000","4,928,400,000","4,280,800,000","4,173,100,000","4,247,800,000","5,061,000,000"
	OperatingRevenue,"137,888,000,000","33,048,000,000","31,860,000,000","31,682,000,000","41,298,000,000","41,298,000,000","30,737,000,000","29,723,000,000","30,489,000,000","41,549,000,000","28,893,000,000","27,974,000,000","28,168,000,000","37,251,000,000","28,091,000,000","27,672,000,000","27,869,000,000","37,530,000,000","31,031,000,000","27,749,000,000","27,597,000,000","36,285,000,000","27,611,000,000","26,557,000,000","26,565,000,000","34,604,000,000","26,165,000,000","25,075,000,000","25,539,000,000","33,051,000,000","25,207,000,000","24,987,000,000","25,310,000,000","32,961,000,000","23,105,000,000","22,505,000,000","22,722,000,000","30,043,000,000","24,153,000,000","21,807,000,000","21,726,000,000","29,065,000,000","21,405,000,000","20,594,000,000","20,913,000,000","27,461,000,000","19,931,000,000","18,698,000,000","18,796,000,000","24,764,000,000","18,530,000,000","17,669,000,000","17,735,000,000","22,799,000,000","17,260,000,000","17,580,000,000","18,053,000,000","23,107,000,000","17,235,000,000","16,135,000,000","16,139,000,000","20,726,000,000","16,859,000,000","14,699,000,000","15,138,000,000","19,415,000,000","14,720,000,000","14,020,000,000","13,865,000,000","17,948,000,000","13,695,000,000","12,854,000,000","12,980,000,000","16,905,000,000","13,034,000,000","12,141,000,000","12,351,000,000","16,266,000,000","12,470,000,000","11,696,000,000","11,927,000,000","15,667,000,000","12,129,000,000","11,382,000,000","11,485,000,000","15,102,000,000","12,692,000,000","10,962,000,000","11,017,000,000","14,329,000,000","11,241,000,000","10,329,000,000","10,289,000,000","8,789,000,000","7,349,000,000","8,023,900,000","6,441,600,000","6,388,800,000","6,509,500,000","7,686,600,000","6,231,800,000","6,139,400,000","6,199,100,000","7,343,100,000","5,844,400,000","5,784,300,000","5,860,700,000","6,959,200,000","5,652,900,000","5,465,000,000","5,585,800,000","6,650,300,000","5,394,200,000","5,328,800,000","5,402,400,000","6,478,600,000","5,329,400,000","5,174,000,000","5,700,800,000","6,333,100,000","5,072,200,000","5,038,500,000","5,128,600,000","6,228,400,000","5,086,400,000","4,907,100,000","4,985,500,000","5,974,300,000","4,742,400,000","4,558,800,000","4,653,100,000","5,533,900,000","4,425,900,000","4,490,800,000","4,647,900,000","5,584,500,000","4,504,700,000","4,315,900,000","4,408,300,000","5,152,900,000","4,142,600,000","3,955,900,000","4,376,200,000","4,928,400,000","4,280,800,000","4,173,100,000","4,247,800,000","5,061,000,000"
CostOfRevenue,"107,539,000,000","25,719,000,000","24,959,000,000","24,914,000,000","31,947,000,000","31,947,000,000","23,691,000,000","22,901,000,000","23,551,000,000","31,454,000,000","22,507,000,000","21,798,000,000","22,007,000,000","28,983,000,000","21,903,000,000","21,699,000,000","21,930,000,000","29,362,000,000","24,240,000,000","21,532,000,000","21,609,000,000","28,281,000,000","21,483,000,000","20,653,000,000","20,697,000,000","26,669,000,000","20,193,000,000","19,478,000,000","20,065,000,000","25,760,000,000","19,547,000,000","19,764,000,000","20,136,000,000","26,065,000,000","18,306,000,000","17,889,000,000","18,087,000,000","23,856,000,000","19,101,000,000","17,383,000,000","17,278,000,000","23,095,000,000","16,955,000,000","16,358,000,000","16,555,000,000","21,624,000,000","15,611,000,000","14,571,000,000","14,577,000,000","19,168,000,000","14,375,000,000","13,666,000,000","13,650,000,000","17,267,000,000","13,088,000,000","13,552,000,000","14,072,000,000","17,852,000,000","13,228,000,000","12,402,000,000","12,315,000,000","15,834,000,000","12,728,000,000","11,131,000,000","11,598,000,000","14,659,000,000","11,062,000,000","10,596,000,000","10,464,000,000","13,437,000,000","10,274,000,000","9,632,000,000","9,716,000,000","12,518,000,000","9,589,000,000","9,016,000,000","9,102,000,000","11,930,000,000","9,148,000,000","8,485,000,000","8,738,000,000","11,438,000,000","8,769,000,000","8,265,000,000","8,331,000,000","11,035,000,000","9,201,000,000","8,050,000,000","8,053,000,000","10,502,000,000","8,173,000,000","7,762,000,000","7,446,000,000","6,644,000,000","5,556,500,000","6,087,100,000","4,908,800,000","4,863,700,000","4,894,900,000","5,787,000,000","4,677,400,000","4,623,200,000","4,676,500,000","5,578,300,000","4,409,200,000","4,364,500,000","4,413,400,000","5,280,900,000","4,264,400,000","4,126,100,000","4,202,500,000","5,053,000,000","4,081,200,000","4,049,000,000","4,022,300,000","4,968,600,000","4,048,800,000","3,939,700,000","4,364,600,000","4,905,100,000","3,925,300,000","3,883,800,000","3,955,800,000","4,812,900,000","3,922,800,000","3,789,100,000","3,826,100,000","4,637,300,000","3,654,800,000","3,551,500,000","3,692,800,000","4,288,100,000","3,399,900,000",,,,,,,,,,,,,,,
GrossProfit,"30,349,000,000","7,329,000,000","6,901,000,000","6,768,000,000","9,351,000,000","9,351,000,000","7,046,000,000","6,822,000,000","6,938,000,000","10,095,000,000","6,386,000,000","6,176,000,000","6,161,000,000","8,268,000,000","6,188,000,000","5,973,000,000","5,939,000,000","8,168,000,000","6,791,000,000","6,217,000,000","5,988,000,000","8,004,000,000","6,128,000,000","5,904,000,000","5,868,000,000","7,935,000,000","5,972,000,000","5,597,000,000","5,474,000,000","7,291,000,000","5,660,000,000","5,223,000,000","5,174,000,000","6,896,000,000","4,799,000,000","4,616,000,000","4,635,000,000","6,187,000,000","5,052,000,000","4,424,000,000","4,448,000,000","5,970,000,000","4,450,000,000","4,236,000,000","4,358,000,000","5,837,000,000","4,320,000,000","4,127,000,000","4,219,000,000","5,596,000,000","4,155,000,000","4,003,000,000","4,085,000,000","5,532,000,000","4,172,000,000","4,028,000,000","3,981,000,000","5,255,000,000","4,007,000,000","3,733,000,000","3,824,000,000","4,892,000,000","4,131,000,000","3,568,000,000","3,540,000,000","4,756,000,000","3,658,000,000","3,424,000,000","3,401,000,000","4,511,000,000","3,421,000,000","3,222,000,000","3,264,000,000","4,387,000,000","3,445,000,000","3,125,000,000","3,249,000,000","4,336,000,000","3,322,000,000","3,211,000,000","3,189,000,000","4,229,000,000","3,360,000,000","3,117,000,000","3,154,000,000","4,067,000,000","3,491,000,000","2,912,000,000","2,964,000,000","3,827,000,000","3,068,000,000","2,567,000,000","2,843,000,000","2,145,000,000","1,792,500,000","1,936,800,000","1,532,800,000","1,525,100,000","1,614,600,000","1,899,600,000","1,554,400,000","1,516,200,000","1,522,600,000","1,764,800,000","1,435,200,000","1,419,800,000","1,447,300,000","1,678,300,000","1,388,500,000","1,338,900,000","1,383,300,000","1,597,300,000","1,313,000,000","1,279,800,000","1,380,100,000","1,510,000,000","1,280,600,000","1,234,300,000","1,336,200,000","1,428,000,000","1,146,900,000","1,154,700,000","1,172,800,000","1,415,500,000","1,163,600,000","1,118,000,000","1,159,400,000","1,337,000,000","1,087,600,000","1,007,300,000","960,300,000","1,245,800,000","1,026,000,000",,,,,,,,,,,,,,,
OperatingExpense,"26,872,000,000","6,364,000,000","6,033,000,000","5,929,000,000","8,546,000,000","8,546,000,000","7,204,000,000","6,030,000,000","6,118,000,000","8,769,000,000","5,849,000,000","5,922,000,000","5,602,000,000","7,367,000,000","5,799,000,000","5,326,000,000","5,390,000,000","7,139,000,000","6,747,000,000","5,477,000,000","5,310,000,000","7,382,000,000","5,270,000,000","5,191,000,000","5,203,000,000","6,735,000,000","5,044,000,000","4,825,000,000","4,700,000,000","6,189,000,000","4,748,000,000","4,572,000,000","4,530,000,000","5,966,000,000","4,081,000,000","4,082,000,000","4,040,000,000","5,308,000,000","4,232,000,000","3,828,000,000","3,913,000,000","5,156,000,000","4,875,000,000","3,831,000,000","3,870,000,000","5,026,000,000","3,743,000,000","3,721,000,000","3,725,000,000","4,873,000,000","3,649,000,000","3,648,000,000","3,586,000,000","4,688,000,000","3,513,000,000","3,549,000,000","3,433,000,000","4,490,000,000","3,378,000,000","3,288,000,000","3,287,000,000","4,202,000,000","3,437,000,000","3,119,000,000","3,092,000,000","4,112,000,000","3,090,000,000","3,009,000,000","2,967,000,000","3,893,000,000","3,881,000,000","2,886,000,000","2,883,000,000","3,798,000,000","3,590,000,000","2,801,000,000","2,807,000,000","3,583,000,000","2,663,000,000","2,669,000,000","2,614,000,000","3,415,000,000","2,611,000,000","2,653,000,000","2,581,000,000","3,361,000,000","2,710,000,000","2,415,000,000","2,432,000,000","3,245,000,000","2,396,000,000","2,110,000,000","2,389,000,000","1,788,000,000","1,453,000,000","1,659,300,000","1,317,600,000","1,287,800,000","1,323,600,000","1,656,100,000","1,310,300,000","1,296,400,000","1,257,800,000","1,555,300,000","1,237,200,000","1,224,700,000","1,213,400,000","1,482,800,000","1,176,800,000","1,157,800,000","1,163,800,000","1,424,500,000","1,123,800,000","1,112,600,000","1,146,600,000","1,340,400,000","1,110,900,000","1,087,600,000","1,111,800,000","1,274,700,000","1,024,400,000","1,006,700,000","982,100,000","1,226,600,000","989,400,000","972,100,000","950,300,000","1,163,800,000","916,400,000","887,300,000","791,000,000","1,085,400,000","872,000,000",,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"24,048,000,000","5,708,000,000","5,374,000,000","5,282,000,000","7,685,000,000","7,685,000,000","6,530,000,000","5,399,000,000","5,501,000,000","7,944,000,000","5,194,000,000","5,298,000,000","5,011,000,000","6,588,000,000","5,218,000,000","4,756,000,000","4,816,000,000","6,398,000,000","6,182,000,000","4,904,000,000","4,748,000,000","6,646,000,000","4,698,000,000","4,642,000,000","4,678,000,000","6,041,000,000","4,536,000,000","4,341,000,000","4,223,000,000","5,569,000,000","4,281,000,000","4,116,000,000","4,086,000,000","5,385,000,000","3,679,000,000","3,687,000,000","3,653,000,000","4,789,000,000","3,845,000,000","3,446,000,000","3,530,000,000","4,655,000,000","4,483,000,000","3,459,000,000","3,496,000,000","4,527,000,000","3,357,000,000","3,353,000,000","3,357,000,000","4,395,000,000","3,281,000,000","3,292,000,000","3,238,000,000","4,235,000,000","3,165,000,000","3,214,000,000","3,106,000,000","4,058,000,000","3,052,000,000","2,973,000,000","2,976,000,000","3,798,000,000","3,138,000,000","2,824,000,000","2,802,000,000","3,724,000,000","2,794,000,000","2,722,000,000","2,673,000,000","3,504,000,000","2,675,000,000","2,598,000,000","2,593,000,000","3,426,000,000","2,721,000,000","2,521,000,000","2,538,000,000","3,228,000,000","2,396,000,000","2,420,000,000","2,367,000,000","3,092,000,000","2,355,000,000","2,399,000,000","2,335,000,000","3,042,000,000","2,477,000,000","2,181,000,000","2,198,000,000","2,938,000,000","2,158,000,000","1,889,000,000","2,024,000,000","1,651,000,000","1,331,100,000","1,531,000,000","1,216,500,000","1,192,000,000","1,226,200,000","1,541,200,000","1,217,100,000","1,207,800,000","1,168,400,000","1,450,400,000","1,153,800,000","1,145,600,000","1,130,400,000","1,390,300,000","1,100,000,000","1,085,600,000","1,080,000,000","1,341,900,000","1,059,400,000","1,046,400,000","1,004,400,000","1,262,400,000","1,025,300,000","999,900,000","1,050,900,000","1,200,500,000","965,300,000","949,100,000","922,500,000","1,156,500,000","932,400,000","916,800,000","891,200,000","1,093,800,000","859,300,000","828,800,000","814,600,000","997,100,000","790,500,000",,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"24,048,000,000","5,708,000,000","5,374,000,000","5,282,000,000","7,685,000,000","7,685,000,000","6,530,000,000","5,399,000,000","5,501,000,000","7,944,000,000","5,194,000,000","5,298,000,000","5,011,000,000","6,588,000,000","5,218,000,000","4,756,000,000","4,816,000,000","6,398,000,000","6,182,000,000","4,904,000,000","4,748,000,000","6,646,000,000","4,698,000,000","4,642,000,000","4,678,000,000","6,041,000,000","4,536,000,000","4,341,000,000","4,223,000,000","5,569,000,000","4,281,000,000","4,116,000,000","4,086,000,000","5,385,000,000","3,679,000,000","3,687,000,000","3,653,000,000","4,789,000,000","3,845,000,000","3,446,000,000","3,530,000,000","4,655,000,000","4,483,000,000","3,459,000,000","3,496,000,000","4,527,000,000","3,357,000,000","3,353,000,000","3,357,000,000","4,395,000,000","3,281,000,000","3,292,000,000","3,238,000,000","4,235,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,"-30,000,000",,,,,,,"-9,000,000","-8,000,000","-11,000,000","-2,000,000","1,000,000","4,000,000","-3,000,000","7,000,000","6,000,000","4,000,000","10,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			RentAndLandingFees,"845,000,000","197,000,000","197,000,000","191,000,000","261,000,000","261,000,000","192,000,000","205,000,000","204,000,000","273,000,000","209,000,000","201,000,000","200,000,000","274,000,000","204,000,000","200,000,000","204,000,000","276,000,000","220,000,000","196,000,000","225,000,000","270,000,000","215,000,000","199,000,000","205,000,000","262,000,000","181,000,000","172,000,000","155,000,000","215,000,000","162,000,000","162,000,000","166,000,000","217,000,000","147,000,000","138,000,000","139,000,000","189,000,000","157,000,000","141,000,000","139,000,000","191,000,000","126,000,000","146,000,000","148,000,000","200,000,000","148,000,000","154,000,000","149,000,000","200,000,000","146,000,000","152,000,000","150,000,000","200,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"23,203,000,000","5,511,000,000","5,177,000,000","5,091,000,000","7,424,000,000","7,424,000,000","6,338,000,000","5,194,000,000","5,297,000,000","7,671,000,000","4,985,000,000","5,097,000,000","4,811,000,000","6,314,000,000","5,014,000,000","4,556,000,000","4,612,000,000","6,122,000,000","5,962,000,000","4,708,000,000","4,523,000,000","6,376,000,000","4,483,000,000","4,443,000,000","4,473,000,000","5,779,000,000","4,355,000,000","4,169,000,000","4,068,000,000","5,354,000,000","4,119,000,000","3,954,000,000","3,920,000,000","5,168,000,000","3,532,000,000","3,549,000,000","3,514,000,000","4,600,000,000","3,688,000,000","3,305,000,000","3,391,000,000","4,464,000,000","4,357,000,000","3,313,000,000","3,348,000,000","4,327,000,000","3,209,000,000","3,199,000,000","3,208,000,000","4,195,000,000","3,135,000,000","3,140,000,000","3,088,000,000","4,035,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
