name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"14,181,000,000","3,420,000,000","3,622,000,000","3,555,000,000","3,584,000,000","3,464,000,000","3,429,000,000","3,465,000,000","3,412,000,000","3,223,000,000","3,372,000,000","3,461,000,000","3,522,000,000","3,317,000,000","3,469,000,000","3,360,000,000","3,401,000,000","3,209,000,000","3,273,000,000","3,187,000,000","3,254,000,000","3,097,000,000","3,254,000,000","3,268,000,000","3,395,000,000","3,142,000,000","3,329,000,000","3,498,000,000","3,556,000,000","3,514,000,000","3,639,000,000","3,685,000,000","3,742,000,000","3,501,000,000","3,716,000,000","3,714,000,000","3,861,000,000","3,563,000,000","3,720,000,000","3,474,000,000","3,440,000,000","3,015,000,000","3,312,000,000","3,386,000,000","3,485,000,000","2,860,000,000","3,157,000,000","3,062,000,000","3,318,000,000","2,900,000,000","3,277,000,000","3,229,000,000","3,169,000,000","2,933,000,000","3,288,000,000","3,343,000,000","3,258,000,000","2,794,000,000","3,004,000,000","3,015,000,000","2,963,000,000","2,583,900,000","2,822,400,000","2,773,900,000","2,726,500,000","2,394,300,000","2,623,400,000","2,587,200,000","2,572,300,000","2,390,800,000","2,445,300,000","2,387,300,000","2,390,500,000","2,135,000,000","2,281,600,000","2,247,400,000","2,147,500,000","1,980,700,000","2,136,500,000","2,125,100,000","2,061,800,000","2,213,000,000","2,590,100,000","2,342,900,000","1,707,300,000","1,556,000,000","1,845,700,000","1,801,100,000","1,751,900,000","1,586,100,000","1,868,400,000","1,784,400,000","1,745,300,000","1,599,800,000","1,805,800,000","1,713,500,000","1,642,900,000","1,617,700,000","1,803,800,000","1,719,700,000","1,688,900,000","1,557,700,000","1,681,600,000","1,651,400,000","1,785,900,000","1,662,900,000","1,844,700,000","1,780,100,000","1,716,000,000","1,592,000,000","1,741,900,000","1,616,900,000","1,611,200,000","1,566,200,000","1,669,200,000","1,541,600,000","1,518,400,000","1,420,800,000","1,670,700,000","1,584,000,000","1,515,100,000","1,445,300,000","1,506,300,000","1,413,700,000","1,421,300,000","1,363,400,000","1,351,600,000","1,257,600,000","1,208,800,000","1,088,200,000","1,195,400,000","1,234,000,000","1,134,100,000","1,092,000,000","1,140,300,000","1,086,700,000","1,029,800,000","965,000,000","1,008,900,000","923,100,000","896,000,000","809,300,000","866,200,000","867,200,000","798,000,000","718,000,000","794,900,000"
	OperatingRevenue,"14,181,000,000","3,420,000,000","3,622,000,000","3,555,000,000","3,584,000,000","3,464,000,000","3,429,000,000","3,465,000,000","3,412,000,000","3,223,000,000","3,372,000,000","3,461,000,000","3,522,000,000","3,317,000,000","3,469,000,000","3,360,000,000","3,401,000,000","3,209,000,000","3,273,000,000","3,187,000,000","3,254,000,000","3,097,000,000","3,254,000,000","3,268,000,000","3,395,000,000","3,142,000,000","3,329,000,000","3,498,000,000","3,556,000,000","3,514,000,000","3,639,000,000","3,685,000,000","3,742,000,000","3,501,000,000","3,716,000,000","3,714,000,000","3,861,000,000","3,563,000,000","3,720,000,000","3,474,000,000","3,440,000,000","3,015,000,000","3,312,000,000","3,386,000,000","3,485,000,000","2,860,000,000","3,157,000,000","3,062,000,000","3,318,000,000","2,900,000,000","3,277,000,000","3,229,000,000","3,169,000,000","2,933,000,000","3,288,000,000","3,343,000,000","3,258,000,000","2,794,000,000","3,004,000,000","3,015,000,000","2,963,000,000","2,583,900,000","2,822,400,000","2,773,900,000","2,726,500,000","2,394,300,000","2,623,400,000","2,587,200,000","2,572,300,000","2,390,800,000","2,445,300,000","2,387,300,000","2,390,500,000","2,135,000,000","2,281,600,000","2,247,400,000","2,147,500,000","1,980,700,000","2,136,500,000","2,125,100,000","2,061,800,000","2,213,000,000","2,590,100,000","2,342,900,000","1,707,300,000","1,556,000,000","1,845,700,000","1,801,100,000","1,751,900,000","1,586,100,000","1,868,400,000","1,784,400,000","1,745,300,000","1,599,800,000","1,805,800,000","1,713,500,000","1,642,900,000","1,617,700,000","1,803,800,000","1,719,700,000","1,688,900,000","1,557,700,000","1,681,600,000","1,651,400,000","1,785,900,000","1,662,900,000","1,844,700,000","1,780,100,000","1,716,000,000","1,592,000,000","1,741,900,000","1,616,900,000","1,611,200,000","1,566,200,000","1,669,200,000","1,541,600,000","1,518,400,000","1,420,800,000","1,670,700,000","1,584,000,000","1,515,100,000","1,445,300,000","1,506,300,000","1,413,700,000","1,421,300,000","1,363,400,000","1,351,600,000","1,257,600,000","1,208,800,000","1,088,200,000","1,195,400,000","1,234,000,000","1,134,100,000","1,092,000,000","1,140,300,000","1,086,700,000","1,029,800,000","965,000,000","1,008,900,000","923,100,000","896,000,000","809,300,000","866,200,000","867,200,000","798,000,000","718,000,000","794,900,000"
CostOfRevenue,"9,621,000,000","2,415,000,000","2,457,000,000","2,331,000,000","2,418,000,000","2,279,000,000","2,228,000,000","2,268,000,000","2,268,000,000","2,135,000,000","2,372,000,000","2,275,000,000","2,415,000,000","2,228,000,000","2,293,000,000","2,151,000,000","2,149,000,000","1,888,000,000","2,041,000,000","1,922,000,000","2,050,000,000","2,121,000,000","1,990,000,000","1,998,000,000","2,150,000,000","2,180,000,000","2,096,000,000","2,257,000,000","2,311,000,000","2,658,000,000","2,347,000,000","2,274,000,000","2,238,000,000","1,718,000,000","2,266,000,000","2,237,000,000","2,468,000,000","2,356,000,000","2,278,000,000","2,060,000,000","2,069,000,000","1,781,000,000","1,962,000,000","1,943,000,000","2,064,000,000","1,670,000,000","1,788,000,000","1,757,000,000","1,893,000,000","1,655,000,000","1,837,000,000","1,825,000,000","1,867,000,000","1,777,000,000","1,885,000,000","1,899,000,000","1,894,000,000","1,598,000,000","1,662,000,000","1,638,000,000","1,699,000,000","1,464,200,000","1,549,100,000","1,538,400,000","1,529,800,000","1,349,200,000","1,437,400,000","1,388,600,000","1,436,400,000","1,317,000,000","1,319,100,000","1,307,100,000","1,355,500,000","1,188,100,000","1,247,600,000","1,232,100,000","1,231,100,000","1,066,900,000","1,163,400,000","1,161,500,000","1,177,200,000","1,022,500,000","1,180,700,000","1,101,500,000","823,800,000","982,200,000","801,600,000","775,200,000","768,000,000","693,900,000","809,100,000","765,700,000","768,400,000","739,500,000","799,400,000","751,600,000","714,500,000","694,300,000","790,400,000","738,500,000","759,600,000","675,300,000","756,500,000","713,000,000","726,600,000","699,700,000","767,200,000","749,900,000","702,100,000","477,700,000","756,200,000","728,700,000","732,000,000","654,600,000","710,700,000","693,700,000","660,200,000","681,000,000","731,100,000","682,000,000","662,100,000","660,300,000","677,300,000","626,400,000","642,500,000","662,500,000","631,200,000","607,500,000","578,400,000","567,100,000","571,900,000","567,700,000","543,900,000",,,,,,,,,,,,,,
GrossProfit,"4,560,000,000","1,005,000,000","1,165,000,000","1,224,000,000","1,166,000,000","1,185,000,000","1,201,000,000","1,197,000,000","1,144,000,000","1,088,000,000","1,000,000,000","1,186,000,000","1,107,000,000","1,089,000,000","1,176,000,000","1,209,000,000","1,252,000,000","1,321,000,000","1,232,000,000","1,265,000,000","1,204,000,000","976,000,000","1,264,000,000","1,270,000,000","1,245,000,000","962,000,000","1,233,000,000","1,241,000,000","1,245,000,000","856,000,000","1,292,000,000","1,411,000,000","1,504,000,000","1,783,000,000","1,450,000,000","1,477,000,000","1,393,000,000","1,207,000,000","1,442,000,000","1,414,000,000","1,371,000,000","1,234,000,000","1,350,000,000","1,443,000,000","1,421,000,000","1,190,000,000","1,369,000,000","1,305,000,000","1,425,000,000","1,245,000,000","1,440,000,000","1,404,000,000","1,302,000,000","1,156,000,000","1,403,000,000","1,444,000,000","1,364,000,000","1,196,000,000","1,342,000,000","1,377,000,000","1,264,000,000","1,119,700,000","1,273,300,000","1,235,500,000","1,196,700,000","1,045,100,000","1,186,000,000","1,198,600,000","1,135,900,000","1,073,800,000","1,126,200,000","1,080,200,000","1,035,000,000","946,900,000","1,034,000,000","1,015,300,000","916,400,000","913,800,000","973,100,000","963,600,000","884,600,000","1,190,500,000","1,409,400,000","1,241,400,000","883,500,000","573,800,000","1,044,100,000","1,025,900,000","983,900,000","892,200,000","1,059,300,000","1,018,700,000","976,900,000","860,300,000","1,006,400,000","961,900,000","928,400,000","923,400,000","1,013,400,000","981,200,000","929,300,000","882,400,000","925,100,000","938,400,000","1,059,300,000","963,200,000","1,077,500,000","1,030,200,000","1,013,900,000","1,114,300,000","985,700,000","888,200,000","879,200,000","911,600,000","958,500,000","847,900,000","858,200,000","739,800,000","939,600,000","902,000,000","853,000,000","785,000,000","829,000,000","787,300,000","778,800,000","700,900,000","720,400,000","650,100,000","630,400,000","521,100,000","623,500,000","666,300,000","590,200,000",,,,,,,,,,,,,,
OperatingExpense,"2,808,000,000","676,000,000","718,000,000","720,000,000","694,000,000","800,000,000","790,000,000","691,000,000","685,000,000","728,000,000","737,000,000","789,000,000","726,000,000","763,000,000","780,000,000","735,000,000","742,000,000","652,000,000","768,000,000","812,000,000","844,000,000","878,000,000","854,000,000","821,000,000","807,000,000","1,001,000,000","899,000,000","829,000,000","861,000,000","1,278,000,000","927,000,000","944,000,000","890,000,000","523,000,000","946,000,000","907,000,000","890,000,000","1,144,000,000","963,000,000","929,000,000","836,000,000","837,000,000","886,000,000","900,000,000","849,000,000","861,000,000","828,000,000","822,000,000","788,000,000","893,000,000","873,000,000","851,000,000","773,000,000","811,000,000","870,000,000","914,000,000","819,000,000","837,000,000","850,000,000","859,000,000","765,000,000","775,200,000","785,700,000","774,300,000","724,200,000","700,800,000","720,300,000","726,100,000","668,100,000","708,100,000","669,400,000","641,800,000","614,800,000","595,100,000","603,200,000","601,200,000","569,000,000","520,000,000","558,300,000","591,200,000","557,500,000","893,100,000","1,062,400,000","940,100,000","628,000,000","370,700,000","736,000,000","746,000,000","698,700,000","646,500,000","762,400,000","747,400,000","717,400,000","684,600,000","760,500,000","717,300,000","629,600,000","655,400,000","656,800,000","689,800,000","652,100,000","606,700,000","621,800,000","770,700,000","711,000,000","686,900,000","701,700,000","745,800,000","691,100,000","871,000,000","626,600,000","627,100,000","580,100,000","673,200,000","622,600,000","624,300,000","587,200,000","547,700,000","617,800,000","633,700,000","572,400,000","584,300,000","549,500,000","526,400,000","492,000,000","491,500,000","443,100,000","429,400,000","451,800,000","408,700,000","414,700,000","438,800,000","406,400,000",,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"2,808,000,000","676,000,000","718,000,000","720,000,000","694,000,000","800,000,000","790,000,000","691,000,000","685,000,000","728,000,000","737,000,000","789,000,000","726,000,000","763,000,000","780,000,000","735,000,000","742,000,000","652,000,000","768,000,000","812,000,000","844,000,000","878,000,000","854,000,000","821,000,000","807,000,000","1,001,000,000","899,000,000","829,000,000","861,000,000","1,278,000,000","927,000,000","944,000,000","890,000,000","523,000,000","946,000,000","907,000,000","890,000,000","1,144,000,000","963,000,000","929,000,000","836,000,000","837,000,000","886,000,000","900,000,000","849,000,000","861,000,000","828,000,000","822,000,000","788,000,000","893,000,000","873,000,000","851,000,000","773,000,000","811,000,000","870,000,000","914,000,000","819,000,000","837,000,000","850,000,000","859,000,000","765,000,000","775,200,000","785,700,000","774,300,000","724,200,000","700,800,000","720,300,000","726,100,000","668,100,000","708,100,000","669,400,000","641,800,000","614,800,000","595,100,000","603,200,000","601,200,000","569,000,000","520,000,000","558,300,000","591,200,000","557,500,000","893,100,000","1,062,400,000","940,100,000","628,000,000","588,000,000","661,900,000","671,700,000","629,800,000","573,700,000","687,800,000","674,800,000","649,400,000","611,400,000","691,000,000","649,300,000","562,300,000","577,800,000","587,800,000","617,500,000","583,700,000","540,700,000","562,300,000","708,500,000","647,200,000","633,500,000","633,300,000","676,000,000","623,900,000","614,900,000","626,600,000","627,100,000","580,100,000","591,600,000","561,400,000","562,100,000","522,400,000","490,100,000","558,000,000","576,200,000","515,800,000","525,500,000","494,900,000","473,300,000","436,300,000","434,400,000","395,400,000","382,800,000","406,200,000","360,800,000","374,800,000","400,300,000","369,500,000",,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"74,100,000","74,300,000","68,900,000","72,800,000","74,600,000","72,600,000","68,000,000","73,200,000","69,500,000","68,000,000","67,300,000","77,600,000","69,000,000","72,300,000","68,400,000","66,000,000","59,500,000","62,200,000","63,800,000","53,400,000","68,400,000","69,800,000","67,200,000",,,,,"81,600,000","61,200,000","62,200,000","64,800,000","57,600,000","59,800,000","57,500,000","56,600,000","58,800,000","54,600,000","53,100,000","55,700,000","57,100,000","47,700,000","46,600,000","45,600,000","47,900,000","39,900,000","38,500,000","36,900,000",,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"74,100,000","74,300,000","68,900,000","72,800,000","74,600,000","72,600,000","68,000,000","73,200,000","69,500,000","68,000,000","67,300,000","77,600,000","69,000,000","72,300,000","68,400,000","66,000,000","59,500,000","62,200,000","63,800,000","53,400,000","68,400,000","69,800,000","67,200,000",,,,,"81,600,000","61,200,000","62,200,000","64,800,000","57,600,000","59,800,000","57,500,000","56,600,000","58,800,000","54,600,000","53,100,000","55,700,000","57,100,000","47,700,000","46,600,000","45,600,000","47,900,000","39,900,000","38,500,000","36,900,000",,,,,,,,,,,,,,
OperatingIncome,"1,752,000,000","329,000,000","447,000,000","504,000,000","472,000,000","385,000,000","411,000,000","506,000,000","459,000,000","360,000,000","263,000,000","397,000,000","381,000,000","326,000,000","396,000,000","474,000,000","510,000,000","669,000,000","464,000,000","453,000,000","360,000,000","98,000,000","410,000,000","449,000,000","438,000,000","-39,000,000","334,000,000","412,000,000","384,000,000","-422,000,000","365,000,000","467,000,000","614,000,000","1,260,000,000","504,000,000","570,000,000","503,000,000","63,000,000","479,000,000","485,000,000","535,000,000","397,000,000","464,000,000","543,000,000","572,000,000","329,000,000","541,000,000","483,000,000","637,000,000","352,000,000","567,000,000","553,000,000","529,000,000","345,000,000","533,000,000","530,000,000","545,000,000","359,000,000","492,000,000","518,000,000","499,000,000","344,500,000","487,600,000","461,200,000","472,500,000","344,300,000","465,700,000","472,500,000","467,800,000","365,700,000","456,800,000","438,400,000","420,200,000","351,800,000","430,800,000","414,100,000","347,400,000","393,800,000","414,800,000","372,400,000","327,100,000","297,400,000","347,000,000","301,300,000","255,500,000","203,100,000","308,100,000","279,900,000","285,200,000","245,700,000","296,900,000","271,300,000","259,500,000","175,700,000","245,900,000","244,600,000","298,800,000","268,000,000","356,600,000","291,400,000","277,200,000","275,700,000","303,300,000","167,700,000","348,300,000","276,300,000","375,800,000","284,400,000","322,800,000","243,300,000","359,100,000","261,100,000","299,100,000","238,400,000","335,900,000","223,600,000","271,000,000","192,100,000","321,800,000","268,300,000","280,600,000","200,700,000","279,500,000","260,900,000","286,800,000","209,400,000","277,300,000","220,700,000","178,600,000","112,400,000","208,800,000","227,500,000","183,800,000","-2,462,700,000","1,140,300,000","1,086,700,000","1,029,800,000","-2,136,800,000","1,008,900,000","923,100,000","896,000,000","-1,884,000,000","866,200,000","867,200,000","798,000,000","-1,653,700,000","794,900,000"
NetNonOperatingInterestIncomeExpense,"-223,000,000","-51,000,000","-55,000,000","-58,000,000","-59,000,000","-85,000,000","-63,000,000","-69,000,000","-64,000,000","-63,000,000","-72,000,000","-75,000,000","-74,000,000","-74,000,000","-72,000,000","-72,000,000","-69,000,000","-68,000,000","-64,000,000","-63,000,000","-61,000,000","-63,000,000","-58,000,000","-68,000,000","-217,000,000","-59,000,000","-56,000,000","-58,000,000","-54,000,000","-53,000,000","-54,000,000","-50,000,000","-52,000,000","-58,000,000","-56,000,000","-61,000,000","-60,000,000","-66,000,000","-73,000,000","-89,000,000","-33,000,000","-55,000,000","-58,000,000","-53,000,000","-67,000,000","-60,000,000","-62,000,000","-61,000,000","-65,000,000","-96,000,000","-65,000,000","-67,000,000","-67,000,000",,,,"-82,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
