name,ttm,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,11/30/2016,08/31/2016,05/31/2016,02/29/2016,11/30/2015,08/31/2015,05/31/2015,02/28/2015,11/30/2014,08/31/2014,05/31/2014,02/28/2014,11/30/2013,08/31/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005,11/30/2004,08/31/2004,05/31/2004,02/29/2004,11/30/2003,08/31/2003,05/31/2003,02/28/2003,11/30/2002,08/31/2002,05/31/2002,02/28/2002,11/30/2001,08/31/2001,05/31/2001,02/28/2001,11/30/2000,08/31/2000,05/31/2000,02/29/2000,11/30/1999,08/31/1999,05/31/1999,02/28/1999,11/30/1998,08/31/1998,05/31/1998,02/28/1998,11/30/1997,08/31/1997,05/31/1997,02/28/1997,11/30/1996,08/31/1996,05/31/1996,02/29/1996,11/30/1995,08/31/1995,05/31/1995,02/28/1995,11/30/1994,08/31/1994,05/31/1994,02/28/1994,11/30/1993,08/31/1993,05/31/1993,02/28/1993,11/30/1992,08/31/1992,05/31/1992,02/29/1992,11/30/1991,08/31/1991,05/31/1991,02/28/1991,11/30/1990,08/31/1990,05/31/1990,02/28/1990,11/30/1989,08/31/1989,05/31/1989,02/28/1989,11/30/1988,08/31/1988,05/31/1988,02/29/1988,11/30/1987,08/31/1987,05/31/1987,02/28/1987,11/30/1986,08/31/1986,05/31/1986,02/28/1986,11/30/1985,08/31/1985
TotalRevenue,"28,008,724,000","6,203,516,000","8,433,560,000","6,941,403,000","6,430,245,000","5,325,468,000","6,825,890,000","5,870,254,000","5,287,373,000","4,505,337,000","6,971,531,000","5,857,058,000","5,562,890,000","3,868,082,000","6,459,210,000","5,672,569,000","5,459,061,000","2,980,791,000","3,785,569,000","3,261,476,000","3,261,892,000","2,337,428,000","3,376,626,000","2,833,894,000","2,745,815,000","1,993,664,000","2,945,567,000","2,491,698,000","2,392,604,000","1,644,139,000","2,583,938,000","2,014,034,000","1,818,745,000","1,363,095,000","1,916,953,000","1,602,072,000","1,426,124,000","989,946,000","1,349,937,000","1,099,758,000","930,155,000","724,856,000","952,654,000","820,193,000","764,493,000","558,045,000","860,124,000","824,975,000","814,481,000","574,442,000","913,741,000","720,730,000","891,853,000","593,063,000","1,278,048,000","1,106,540,000","1,127,916,000","1,062,913,000","2,176,905,000","2,341,853,000","2,875,943,000","2,792,080,000","4,266,065,000","4,182,435,000","4,577,503,000","3,240,659,000","5,029,934,000","3,498,332,000","2,932,974,000","2,407,312,000","3,550,747,000","2,748,360,000","2,342,885,000","1,862,907,000","2,936,199,000","2,267,842,000","2,121,168,000","1,616,870,000","2,639,638,000","1,860,803,000","1,571,617,000","1,247,744,000","1,956,098,000","1,577,628,000","1,391,533,000","1,104,042,000","1,722,206,000","1,376,215,000","968,180,000","640,367,000","970,000,000","819,500,000","738,400,000","590,600,000","823,100,000","620,900,000","532,100,000","440,700,000","367,800,000","364,300,000","310,700,000","272,200,000","376,300,000","320,100,000","258,300,000","226,500,000","274,100,000","204,700,000","210,500,000","181,200,000","217,300,000","200,300,000","208,000,000","192,300,000","240,400,000","167,100,000","142,000,000","117,500,000","125,000,000","125,000,000","94,500,000","84,900,000","99,300,000","80,500,000","73,500,000","72,300,000","95,300,000","87,600,000","86,500,000","81,400,000","174,400,000","98,900,000","94,000,000","73,000,000","117,600,000","96,400,000","90,000,000","76,500,000","94,700,000","89,100,000","83,500,000","64,100,000","75,300,000","55,800,000","47,400,000","44,000,000","67,100,000","66,200,000"
	OperatingRevenue,"28,008,724,000","6,203,516,000","8,433,560,000","6,941,403,000","6,430,245,000","5,325,468,000","6,825,890,000","5,870,254,000","5,287,373,000","4,505,337,000","6,971,531,000","5,857,058,000","5,562,890,000","3,868,082,000","6,459,210,000","5,672,569,000","5,459,061,000","2,980,791,000","3,785,569,000","3,261,476,000","3,261,892,000","2,337,428,000","3,376,626,000","2,833,894,000","2,745,815,000","1,993,664,000","2,945,567,000","2,491,698,000","2,392,604,000","1,644,139,000","2,583,938,000","2,014,034,000","1,818,745,000","1,363,095,000","1,916,953,000","1,602,072,000","1,426,124,000","989,946,000","1,349,937,000","1,099,758,000","930,155,000","724,856,000","952,654,000","820,193,000","764,493,000","558,045,000","860,124,000","824,975,000","814,481,000","574,442,000","913,741,000","720,730,000","891,853,000","593,063,000","1,278,048,000","1,106,540,000","1,127,916,000","1,062,913,000","2,176,905,000","2,341,853,000","2,875,943,000","2,792,080,000","4,266,065,000","4,182,435,000","4,577,503,000","3,240,659,000","5,029,934,000","3,498,332,000","2,932,974,000","2,407,312,000","3,550,747,000","2,748,360,000","2,342,885,000","1,862,907,000","2,936,199,000","2,267,842,000","2,121,168,000","1,616,870,000","2,639,638,000","1,860,803,000","1,571,617,000","1,247,744,000","1,956,098,000","1,577,628,000","1,391,533,000","1,104,042,000","1,722,206,000","1,376,215,000","968,180,000","640,367,000","970,000,000","819,500,000","738,400,000","590,600,000","823,100,000","620,900,000","532,100,000","440,700,000","367,800,000","364,300,000","310,700,000","272,200,000","376,300,000","320,100,000","258,300,000","226,500,000","274,100,000","204,700,000","210,500,000","181,200,000","217,300,000","200,300,000","208,000,000","192,300,000","240,400,000","167,100,000","142,000,000","117,500,000","125,000,000","125,000,000","94,500,000","84,900,000","99,300,000","80,500,000","73,500,000","72,300,000","95,300,000","87,600,000","86,500,000","81,400,000","174,400,000","98,900,000","94,000,000","73,000,000","117,600,000","96,400,000","90,000,000","76,500,000","94,700,000","89,100,000","83,500,000","64,100,000","75,300,000","55,800,000","47,400,000","44,000,000","67,100,000","66,200,000"
CostOfRevenue,"22,239,540,000","4,996,952,000","6,557,176,000","5,503,807,000","5,181,605,000","4,351,449,000","5,583,592,000","4,895,995,000","4,546,087,000","3,989,072,000","5,988,038,000","5,116,086,000","4,887,168,000","3,465,974,000","5,576,954,000","4,993,486,000","4,968,942,000","2,698,064,000","3,257,563,000","2,813,523,000","2,861,893,000","2,088,502,000","2,871,821,000","2,448,536,000","2,367,560,000","1,767,157,000","2,500,462,000","2,142,989,000","2,071,080,000","1,457,217,000","2,164,069,000","1,727,680,000","1,590,519,000","1,198,345,000","1,617,226,000","1,368,951,000","1,226,799,000","890,223,000","1,166,188,000","978,269,000","832,655,000","678,080,000","1,161,121,000","654,578,000","719,911,000","532,642,000","809,178,000","751,831,000","737,086,000","557,634,000","1,109,729,000","770,321,000","909,360,000","670,096,000","1,385,508,000","1,157,425,000","1,204,939,000","1,137,378,000","3,660,005,000","2,995,054,000","3,173,220,000","2,811,207,000","4,490,528,000","3,818,359,000","4,030,125,000","2,832,372,000","4,126,147,000","2,924,611,000","2,495,589,000","2,089,919,000","2,966,402,000","2,372,317,000","2,020,741,000","1,633,844,000","2,487,914,000","1,946,459,000","1,801,641,000","1,394,212,000","2,196,911,000","1,573,058,000","1,351,014,000","1,091,585,000","1,633,437,000","1,353,914,000","1,186,047,000","981,146,000","1,469,031,000","1,219,117,000","864,707,000","571,191,000","833,900,000","707,900,000","640,500,000","516,600,000","681,200,000","535,200,000","467,600,000","391,800,000","359,500,000","301,900,000","260,700,000","228,000,000","313,800,000","266,400,000","214,600,000","186,400,000","229,100,000","169,300,000","168,400,000","147,100,000","186,500,000","159,700,000","168,000,000","157,900,000","197,500,000","138,400,000","116,400,000","94,500,000","100,000,000","103,500,000","75,700,000","66,000,000","84,200,000","66,200,000","59,200,000","58,600,000","82,400,000","75,900,000","74,400,000","70,400,000",,"82,500,000",,,,,,,,,,,,,,,,
GrossProfit,"5,769,184,000","1,206,564,000","1,876,384,000","1,437,596,000","1,248,640,000","974,019,000","1,242,298,000","974,259,000","741,286,000","516,265,000","983,493,000","740,972,000","675,722,000","402,108,000","882,256,000","679,083,000","490,119,000","282,727,000","528,006,000","447,953,000","399,999,000","248,926,000","504,805,000","385,358,000","378,255,000","226,507,000","445,105,000","348,709,000","321,524,000","186,922,000","419,869,000","286,354,000","228,226,000","164,750,000","299,727,000","233,121,000","199,325,000","99,723,000","183,749,000","121,489,000","97,500,000","46,776,000","-208,467,000","165,615,000","44,582,000","25,403,000","50,946,000","73,144,000","77,395,000","16,808,000","-195,988,000","-49,591,000","-17,507,000","-77,033,000","-107,460,000","-50,885,000","-77,023,000","-74,465,000","-1,483,100,000","-653,201,000","-297,277,000","-19,127,000","-224,463,000","364,076,000","547,378,000","408,287,000","903,787,000","573,721,000","437,385,000","317,393,000","584,345,000","376,043,000","322,144,000","229,063,000","448,285,000","321,383,000","319,527,000","222,658,000","442,727,000","287,745,000","220,603,000","156,159,000","322,661,000","223,714,000","205,486,000","122,896,000","253,175,000","157,098,000","103,473,000","69,176,000","136,100,000","111,600,000","97,900,000","74,000,000","141,900,000","85,700,000","64,500,000","48,900,000","8,300,000","62,400,000","50,000,000","44,200,000","62,500,000","53,700,000","43,700,000","40,100,000","45,000,000","35,400,000","42,100,000","34,100,000","30,800,000","40,600,000","40,000,000","34,400,000","42,900,000","28,700,000","25,600,000","23,000,000","25,000,000","21,500,000","18,800,000","18,900,000","15,100,000","14,300,000","14,300,000","13,700,000","12,900,000","11,700,000","12,100,000","11,000,000",,"16,400,000",,,,,,,,,,,,,,,,
OperatingExpense,"401,511,000","113,661,000","102,191,000","94,942,000","90,717,000","97,556,000","78,614,000","104,448,000","83,451,000","86,847,000","93,043,000","92,615,000","76,113,000","79,343,000","94,863,000","96,346,000","84,915,000","67,810,000","85,556,000","72,860,000","66,774,000","60,699,000","67,928,000","61,164,000","55,802,000","47,668,000","65,889,000","56,494,000","50,207,000","43,654,000","57,660,000","43,072,000","38,317,000","38,112,000","43,318,000","37,619,000","33,853,000","31,270,000","39,042,000","32,286,000","29,168,000","26,842,000","28,530,000","22,776,000","20,598,000","23,352,000","25,058,000","23,994,000","22,234,000","22,640,000","33,770,000","28,053,000","30,239,000","28,031,000","31,299,000","34,047,000","29,584,000","34,822,000","35,766,000","44,700,000","45,817,000","46,919,000","34,023,000","50,861,000","56,532,000","51,891,000","63,526,000","45,744,000","40,827,000","37,160,000","47,609,000","34,184,000","31,251,000","28,678,000","36,609,000","27,488,000","25,727,000","21,664,000","29,979,000","19,575,000","19,780,000","16,624,000","22,111,000","19,545,000","18,387,000","15,788,000","32,658,000","29,258,000","23,974,000","22,796,000","22,500,000","22,900,000","21,400,000","18,400,000","18,800,000","13,900,000","9,400,000","11,300,000","8,100,000","6,100,000","5,200,000","5,600,000","5,700,000","6,500,000","6,200,000","6,000,000","5,200,000","4,900,000","5,600,000","5,300,000","-12,400,000","10,400,000","10,500,000","10,200,000","11,300,000","9,400,000","8,700,000","8,800,000","9,500,000","8,800,000","6,600,000","6,000,000","6,300,000","6,100,000","6,400,000","5,800,000","7,500,000","6,600,000","6,500,000","6,100,000","377,800,000","6,800,000",,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"401,511,000","113,661,000","102,191,000","94,942,000","90,717,000","110,531,000","95,459,000","92,661,000","83,451,000","86,847,000","93,043,000","92,615,000","76,113,000","79,343,000","94,863,000","96,346,000","84,915,000","67,810,000","85,556,000","72,860,000","66,774,000","60,699,000","67,928,000","61,164,000","55,802,000","47,668,000","65,889,000","56,494,000","50,207,000","43,654,000","57,660,000","43,072,000","38,317,000","38,112,000","43,318,000","37,619,000","33,853,000","31,270,000","39,042,000","32,286,000","29,168,000","26,842,000","28,530,000","22,776,000","20,598,000","23,352,000","25,058,000","23,994,000","22,234,000","22,640,000","33,770,000","28,053,000","30,239,000","28,031,000","31,299,000","34,047,000","29,584,000","34,822,000","35,766,000","44,700,000","45,817,000","46,919,000","34,023,000","50,861,000","56,532,000","51,891,000","63,526,000","45,744,000","40,827,000","37,160,000","47,609,000","34,184,000","31,251,000","28,678,000","36,609,000","27,488,000","25,727,000","21,664,000","29,979,000","19,575,000","19,780,000","16,624,000","22,111,000","19,545,000","18,387,000","15,788,000","16,275,000","13,554,000","11,269,000","9,057,000","10,300,000","9,900,000","8,800,000","8,500,000","7,900,000","8,300,000","6,500,000","6,300,000","5,600,000","3,700,000","3,300,000","3,400,000","3,100,000","3,300,000","3,000,000","3,000,000","2,900,000","2,300,000","2,800,000","2,500,000","-13,900,000","7,800,000","8,300,000","8,100,000","8,800,000","6,500,000","6,600,000","6,200,000","6,500,000","5,400,000","4,500,000","3,900,000","4,300,000","4,500,000","4,200,000","4,300,000","5,800,000","4,800,000","5,100,000","4,800,000",,"5,300,000",,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"401,511,000","113,661,000","102,191,000","94,942,000","90,717,000","110,531,000","95,459,000","92,661,000","83,451,000","86,847,000","93,043,000","92,615,000","76,113,000","79,343,000","94,863,000","96,346,000","84,915,000","67,810,000","85,556,000","72,860,000","66,774,000","60,699,000","67,928,000","61,164,000","55,802,000","47,668,000","65,889,000","56,494,000","50,207,000","43,654,000","57,660,000","43,072,000","38,317,000","38,112,000","43,318,000","37,619,000","33,853,000","31,270,000","169,115,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"401,511,000","113,661,000","102,191,000","94,942,000","90,717,000","110,531,000","95,459,000","92,661,000","83,451,000","86,847,000","93,043,000","92,615,000","76,113,000","79,343,000","94,863,000","96,346,000","84,915,000","67,810,000","85,556,000","72,860,000","66,774,000","60,699,000","67,928,000","61,164,000","55,802,000","47,668,000","65,889,000","56,494,000","50,207,000","43,654,000","57,660,000","43,072,000","38,317,000","38,112,000","43,318,000","37,619,000","33,853,000","31,270,000","169,115,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,383,000","15,704,000","12,705,000","13,739,000","12,200,000","13,000,000","12,600,000","9,900,000","10,900,000","5,600,000","2,900,000","5,000,000","2,500,000","2,400,000","1,900,000","2,200,000","2,600,000","3,200,000","3,200,000","3,000,000","2,300,000","2,600,000","2,800,000","2,800,000","1,500,000","2,600,000","2,200,000","2,100,000","2,500,000","2,900,000","2,100,000","2,600,000","3,000,000","3,400,000","2,100,000","2,100,000","2,000,000","1,600,000","2,200,000","1,500,000","1,700,000","1,800,000","1,400,000","1,300,000",,"1,500,000",,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,383,000","15,704,000","12,705,000","13,739,000","12,200,000","13,000,000","12,600,000","9,900,000","10,900,000","5,600,000","2,900,000","5,000,000","2,500,000","2,400,000","1,900,000","2,200,000","2,600,000","3,200,000","3,200,000","3,000,000","2,300,000","2,600,000","2,800,000","2,800,000","1,500,000","2,600,000","2,200,000","2,100,000","2,500,000","2,900,000","2,100,000","2,600,000","3,000,000","3,400,000","2,100,000","2,100,000","2,000,000","1,600,000","2,200,000","1,500,000","1,700,000","1,800,000","1,400,000","1,300,000",,"1,500,000",,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,"-12,975,000",,"11,787,000","6,652,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
