name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988
TotalRevenue,"16,120,900,000","4,056,100,000","4,062,600,000","3,840,700,000","4,161,500,000","4,489,800,000","3,896,100,000","2,768,800,000","2,823,800,000","2,953,400,000","2,928,500,000","2,881,700,000","2,791,200,000","2,787,500,000","2,831,300,000","2,866,300,000","2,848,300,000","2,796,300,000","2,655,200,000","2,542,900,000","2,447,000,000","2,428,400,000","2,414,700,000","2,430,700,000","2,368,000,000","2,300,500,000","2,317,300,000","2,269,100,000","1,793,200,000","1,512,700,000","1,551,800,000","1,516,400,000","1,430,700,000","1,437,000,000","1,462,200,000","1,468,200,000","1,440,900,000","1,405,300,000","1,419,400,000","1,423,400,000","1,423,300,000","1,366,100,000","1,404,500,000","1,403,300,000","1,368,400,000","1,295,400,000","1,276,500,000","1,238,400,000","1,193,600,000","1,165,100,000","1,185,100,000","1,188,800,000","1,155,700,000","1,119,100,000","1,135,100,000","1,147,800,000","1,103,200,000","1,005,800,000","1,020,600,000","1,043,100,000","998,700,000","898,600,000","909,900,000","903,700,000","878,500,000","822,300,000","852,900,000","853,300,000","799,100,000","766,500,000","781,500,000","784,300,000","752,500,000","731,500,000","752,000,000","743,700,000","712,200,000","650,100,000","655,200,000","612,400,000","590,000,000","563,800,000","560,900,000","549,700,000","525,400,000","486,000,000","488,100,000","482,400,000","462,700,000","422,700,000","428,600,000","429,500,000","417,900,000","455,200,000","398,300,000","386,100,000","373,000,000","361,400,000","376,500,000","389,600,000","391,500,000","391,200,000","402,600,000","410,000,000","403,900,000","403,400,000","417,500,000","367,300,000","243,800,000","234,900,000","248,700,000","203,900,000","185,000,000","168,900,000","194,800,000","197,000,000","199,800,000","180,300,000","183,600,000","181,100,000","176,400,000","154,300,000","153,600,000","154,100,000","141,900,000","126,400,000","126,000,000","127,400,000","122,100,000","107,700,000","100,900,000","99,900,000","93,900,000","79,000,000","78,300,000","78,300,000","78,300,000"
	OperatingRevenue,"16,120,900,000","4,056,100,000","4,062,600,000","3,840,700,000","4,161,500,000","4,489,800,000","3,896,100,000","2,768,800,000","2,823,800,000","2,953,400,000","2,928,500,000","2,881,700,000","2,791,200,000","2,798,000,000","2,831,300,000","2,866,300,000","2,848,300,000","2,701,500,000","2,597,900,000","2,498,400,000","2,408,100,000","2,387,300,000","2,372,700,000","2,382,000,000","2,295,200,000","2,244,800,000","2,269,900,000","2,218,700,000","1,772,300,000","1,512,700,000","1,551,800,000","1,516,400,000","1,430,700,000","1,437,000,000","1,462,200,000","1,468,200,000","1,440,900,000","1,405,300,000","1,419,400,000","1,423,400,000","1,423,300,000","1,366,100,000","1,404,500,000","1,403,300,000","1,368,400,000","1,295,400,000","1,276,500,000","1,238,400,000","1,193,600,000","1,165,100,000","1,185,100,000","1,188,800,000","1,155,700,000","1,119,100,000","1,135,100,000","1,147,800,000","1,103,200,000","1,005,800,000","1,020,600,000","1,043,100,000","998,700,000","898,600,000","909,900,000","903,700,000","878,500,000","822,300,000","852,900,000","853,300,000","799,100,000","766,500,000","781,500,000","784,300,000","752,500,000","731,500,000","752,000,000","743,700,000","712,200,000","650,100,000","655,200,000","612,400,000","590,000,000","563,800,000","560,900,000","549,700,000","525,400,000","486,000,000","488,100,000","482,400,000","462,700,000","422,700,000","428,600,000","429,500,000","417,900,000","455,200,000","398,300,000","386,100,000","373,000,000","361,400,000","376,500,000","389,600,000","391,500,000","391,200,000","402,600,000","410,000,000","403,900,000","403,400,000","417,500,000","367,300,000","243,800,000","234,900,000","248,700,000","203,900,000","185,000,000","168,900,000","194,800,000","197,000,000","199,800,000","180,300,000","183,600,000","181,100,000","176,400,000","154,300,000","153,600,000","154,100,000","141,900,000","126,400,000","126,000,000","127,400,000","122,100,000","107,700,000","100,900,000","99,900,000","93,900,000","79,000,000","78,300,000","78,300,000","78,300,000"
CostOfRevenue,"10,496,600,000","2,681,100,000","2,677,100,000","2,575,900,000","2,562,500,000","2,584,900,000","2,336,700,000","2,008,300,000","2,095,800,000","2,132,700,000","2,111,200,000","2,056,900,000","2,001,500,000","2,015,100,000","2,041,400,000","2,031,200,000","2,069,300,000","1,880,500,000","1,772,400,000","1,681,100,000","1,643,400,000","1,640,400,000","1,626,300,000","1,603,900,000","1,590,700,000","1,559,900,000","1,554,400,000","1,494,500,000","1,197,200,000","966,200,000","980,600,000","947,800,000","913,900,000","910,900,000","914,600,000","890,900,000","868,700,000","867,300,000","863,300,000","843,900,000","847,200,000","816,500,000","836,000,000","815,100,000","800,000,000","765,800,000","748,800,000","704,800,000","686,700,000","689,100,000","687,000,000","681,400,000","666,300,000","669,200,000","673,500,000","656,000,000","632,700,000","600,400,000","598,500,000","601,100,000","577,000,000","519,600,000","525,000,000","510,900,000","505,800,000","489,800,000","498,300,000","488,400,000","460,800,000","460,400,000","455,600,000","444,600,000","434,900,000","430,800,000","441,100,000","427,200,000","415,700,000","396,200,000","381,900,000","336,100,000","331,600,000","338,700,000","322,900,000","308,800,000","303,800,000","288,500,000","276,200,000","266,100,000","265,400,000","259,100,000","252,500,000","251,600,000","253,200,000","252,000,000","257,800,000","243,900,000","242,000,000","254,600,000","249,300,000","257,500,000","262,900,000","266,300,000","286,500,000","286,400,000","289,800,000","289,400,000","288,000,000","246,600,000","154,900,000","153,200,000","159,800,000","129,900,000","126,000,000","115,300,000","102,600,000","101,100,000","102,400,000","102,900,000","101,000,000","92,800,000","89,600,000","74,100,000","81,600,000","80,500,000","74,300,000","60,600,000","68,300,000","67,200,000","64,800,000","52,800,000","55,700,000","53,100,000","49,700,000",,,,
GrossProfit,"5,624,300,000","1,375,000,000","1,385,500,000","1,264,800,000","1,599,000,000","1,904,900,000","1,559,400,000","760,500,000","728,000,000","820,700,000","817,300,000","824,800,000","789,700,000","772,400,000","789,900,000","835,100,000","779,000,000","915,800,000","882,800,000","861,800,000","803,600,000","788,000,000","788,400,000","826,800,000","777,300,000","740,600,000","762,900,000","774,600,000","596,000,000","546,500,000","571,200,000","568,600,000","516,800,000","526,100,000","547,600,000","577,300,000","572,200,000","538,000,000","556,100,000","579,500,000","576,100,000","549,600,000","568,500,000","588,200,000","568,400,000","529,600,000","527,700,000","533,600,000","506,900,000","476,000,000","498,100,000","507,400,000","489,400,000","449,900,000","461,600,000","491,800,000","470,500,000","405,400,000","422,100,000","442,000,000","421,700,000","379,000,000","384,900,000","392,800,000","372,700,000","332,500,000","354,600,000","364,900,000","338,300,000","306,100,000","325,900,000","339,700,000","317,600,000","300,700,000","310,900,000","316,500,000","296,500,000","253,900,000","273,300,000","276,300,000","258,400,000","225,100,000","238,000,000","240,900,000","221,600,000","197,500,000","211,900,000","216,300,000","197,300,000","163,600,000","176,100,000","177,900,000","164,700,000","203,200,000","140,500,000","142,200,000","131,000,000","106,800,000","127,200,000","132,100,000","128,600,000","124,900,000","116,100,000","123,600,000","114,100,000","114,000,000","129,500,000","120,700,000","88,900,000","81,700,000","88,900,000","74,000,000","59,000,000","53,600,000","92,200,000","95,900,000","97,400,000","77,400,000","82,600,000","88,300,000","86,800,000","80,200,000","72,000,000","73,600,000","67,600,000","65,800,000","57,700,000","60,200,000","57,300,000","54,900,000","45,200,000","46,800,000","44,200,000",,,,
OperatingExpense,"2,321,700,000","636,600,000","612,100,000","551,100,000","521,900,000","608,800,000","481,700,000","456,400,000","457,800,000","478,100,000","463,200,000","475,500,000","450,900,000","453,100,000","436,500,000","453,700,000","459,300,000","555,300,000","519,900,000","486,700,000","467,000,000","454,800,000","441,600,000","453,300,000","456,200,000","443,200,000","429,600,000","439,000,000","446,500,000","325,100,000","324,000,000","319,900,000","305,900,000","307,100,000","299,300,000","301,400,000","302,700,000","302,000,000","306,200,000","300,100,000","292,600,000","291,500,000","305,000,000","344,200,000","304,700,000","292,000,000","288,500,000","263,100,000","263,400,000","256,900,000","263,200,000","252,500,000","248,900,000","241,300,000","241,700,000","280,600,000","229,400,000","210,900,000","211,900,000","222,500,000","218,300,000","216,300,000","207,900,000","203,200,000","203,900,000","189,800,000","193,000,000","191,800,000","180,700,000","169,900,000","173,100,000","175,500,000","173,300,000","171,800,000","172,200,000","173,600,000","171,800,000","165,600,000","159,600,000","142,200,000","142,000,000","147,700,000","137,700,000","138,300,000","134,300,000","145,400,000","142,600,000","145,000,000","139,900,000","130,500,000","136,000,000","135,800,000","130,300,000","176,600,000","106,200,000","104,800,000","101,600,000","284,100,000","100,500,000","101,200,000","100,800,000","288,200,000","96,500,000","103,500,000","86,300,000","171,500,000","86,300,000","75,900,000","52,200,000","55,400,000","54,400,000","43,500,000","40,400,000","36,400,000","38,500,000","38,600,000","40,100,000","34,900,000","30,500,000","36,200,000","35,500,000","30,900,000","30,500,000","30,200,000","28,300,000","25,000,000","25,600,000","25,500,000","24,500,000","21,800,000","20,400,000","18,400,000","17,700,000",,,,
	SellingGeneralAndAdministration,"1,952,100,000","543,700,000","519,900,000","458,700,000","429,800,000","518,000,000","419,500,000","396,300,000","395,500,000","413,900,000","401,500,000","415,300,000","393,800,000","396,900,000","381,800,000","395,200,000","397,000,000","492,400,000","465,300,000","435,300,000","419,400,000","406,000,000","400,500,000","408,000,000","411,900,000","404,900,000","382,500,000","392,400,000","415,100,000","309,700,000","305,700,000","297,900,000","284,900,000","285,700,000","279,000,000","280,900,000","283,200,000","278,800,000","285,100,000","279,500,000","271,200,000","270,300,000","283,800,000","322,700,000","282,800,000","272,400,000","270,500,000","245,400,000","246,000,000","240,500,000","247,300,000","237,300,000","233,800,000","226,400,000","227,100,000","266,000,000","215,600,000","196,600,000","198,000,000","209,100,000","205,000,000","203,100,000","194,900,000","190,200,000","190,900,000","176,700,000","179,900,000","178,700,000","168,600,000","158,900,000","162,200,000","165,000,000","163,000,000","161,700,000","162,700,000","164,100,000","163,300,000","158,200,000","153,400,000","137,000,000","136,900,000","136,100,000","128,000,000","127,400,000","125,000,000","123,700,000","118,700,000","122,100,000","118,400,000","109,000,000","115,600,000","114,400,000","109,100,000","155,300,000","86,000,000","83,400,000","80,300,000","262,200,000","79,400,000","79,300,000","78,900,000","267,000,000","75,600,000","81,900,000","65,500,000","151,200,000","66,900,000","57,400,000","38,000,000","43,700,000","41,100,000","33,500,000","31,000,000","31,000,000","29,300,000","29,800,000","31,300,000","29,500,000","30,500,000","29,300,000","28,600,000","24,800,000","25,100,000","25,000,000","23,000,000","21,100,000","20,800,000","20,600,000","19,700,000","18,100,000","16,500,000","15,500,000","14,900,000",,,,
	DepreciationAmortizationDepletionIncomeStatement,"369,600,000","92,900,000","92,200,000","92,400,000","92,100,000","90,800,000","62,200,000","60,100,000","62,300,000","64,200,000","61,700,000","60,200,000","57,100,000","56,200,000","54,700,000","58,500,000","62,300,000","62,900,000","54,600,000","51,400,000","47,600,000","48,800,000","41,100,000","45,300,000","44,300,000","38,300,000","47,100,000","46,600,000","31,400,000","15,400,000","18,300,000","22,000,000","21,000,000","21,400,000","20,300,000","20,500,000","19,500,000","23,200,000","21,100,000","20,600,000","21,400,000","21,200,000","21,200,000","21,500,000","21,900,000","19,600,000","18,000,000","17,700,000","17,400,000","16,400,000","15,900,000","15,200,000","15,100,000","14,900,000","14,600,000","14,600,000","13,800,000","14,300,000","13,900,000","13,400,000","13,300,000","13,200,000","13,000,000","13,000,000","13,000,000","13,100,000","13,100,000","13,100,000","12,100,000","11,000,000","10,900,000","10,500,000","10,300,000","10,100,000","9,500,000","9,500,000","8,500,000","7,400,000","6,200,000","5,200,000","5,100,000","11,600,000","9,700,000","10,900,000","9,300,000","21,700,000","23,900,000","22,900,000","21,500,000","21,500,000","20,400,000","21,400,000","21,200,000","21,300,000","20,200,000","21,400,000","21,300,000","21,900,000","21,100,000","21,900,000","21,900,000","21,200,000","20,900,000","21,600,000","20,800,000","20,300,000","19,400,000","18,500,000","14,200,000","11,700,000","13,300,000","10,000,000","9,400,000","5,400,000","9,200,000","8,800,000","8,800,000","5,400,000",,"6,900,000","6,900,000","6,100,000","5,400,000","5,200,000","5,300,000","3,900,000","4,800,000","4,900,000","4,800,000","3,700,000","3,900,000","2,900,000","2,800,000",,,,
		DepreciationAndAmortizationInIncomeStatement,"369,600,000","92,900,000","92,200,000","92,400,000","92,100,000","90,800,000","62,200,000","60,100,000","62,300,000","64,200,000","61,700,000","60,200,000","57,100,000","56,200,000","54,700,000","58,500,000","62,300,000","62,900,000","54,600,000","51,400,000","47,600,000","48,800,000","41,100,000","45,300,000","44,300,000","38,300,000","47,100,000","46,600,000","31,400,000","15,400,000","18,300,000","22,000,000","21,000,000","21,400,000","20,300,000","20,500,000","19,500,000","23,200,000","21,100,000","20,600,000","21,400,000","21,200,000","21,200,000","21,500,000","21,900,000","19,600,000","18,000,000","17,700,000","17,400,000","16,400,000","15,900,000","15,200,000","15,100,000","14,900,000","14,600,000","14,600,000","13,800,000","14,300,000","13,900,000","13,400,000","13,300,000","13,200,000","13,000,000","13,000,000","13,000,000","13,100,000","13,100,000","13,100,000","12,100,000","11,000,000","10,900,000","10,500,000","10,300,000","10,100,000","9,500,000","9,500,000","8,500,000","7,400,000","6,200,000","5,200,000","5,100,000","11,600,000","9,700,000","10,900,000","9,300,000","21,700,000","23,900,000","22,900,000","21,500,000","21,500,000","20,400,000","21,400,000","21,200,000","21,300,000","20,200,000","21,400,000","21,300,000","21,900,000","21,100,000","21,900,000","21,900,000","21,200,000","20,900,000","21,600,000","20,800,000","20,300,000","19,400,000","18,500,000","14,200,000","11,700,000","13,300,000","10,000,000","9,400,000","5,400,000","9,200,000","8,800,000","8,800,000","5,400,000",,"6,900,000","6,900,000","6,100,000","5,400,000","5,200,000","5,300,000","3,900,000","4,800,000","4,900,000","4,800,000","3,700,000","3,900,000","2,900,000","2,800,000",,,,
			Amortization,"369,600,000","92,900,000","92,200,000","92,400,000","92,100,000","90,800,000","62,200,000","60,100,000","62,300,000","64,200,000","61,700,000","60,200,000","57,100,000","56,200,000","54,700,000","58,500,000","62,300,000","62,900,000","54,600,000","51,400,000","47,600,000","48,800,000","41,100,000","45,300,000","44,300,000","38,300,000","47,100,000","46,600,000","31,400,000","15,400,000","18,300,000","22,000,000","21,000,000","21,400,000","20,300,000","20,500,000","19,500,000","23,200,000","21,100,000","20,600,000","21,400,000","21,200,000","21,200,000","21,500,000","21,900,000","19,600,000","18,000,000","17,700,000","17,400,000","16,400,000","15,900,000","15,200,000","15,100,000","14,900,000","14,600,000","14,600,000","13,800,000","14,300,000","13,900,000","13,400,000","13,300,000","13,200,000","13,000,000","13,000,000","13,000,000","13,100,000","13,100,000","13,100,000","12,100,000","11,000,000","10,900,000","10,500,000","10,300,000","10,100,000","9,500,000","9,500,000","8,500,000","7,400,000","6,200,000","5,200,000","5,100,000","11,600,000","9,700,000","10,900,000","9,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,"369,600,000","92,900,000","92,200,000","92,400,000","92,100,000","90,800,000","62,200,000","60,100,000","62,300,000","64,200,000","61,700,000","60,200,000","57,100,000","56,200,000","54,700,000","58,500,000","62,300,000","62,900,000","54,600,000","51,400,000","47,600,000","48,800,000","41,100,000","45,300,000","44,300,000","38,300,000","47,100,000","46,600,000","31,400,000","15,400,000","18,300,000","22,000,000","21,000,000","21,400,000","20,300,000","20,500,000","19,500,000","23,200,000","21,100,000","20,600,000","21,400,000","21,200,000","21,200,000","21,500,000","21,900,000","19,600,000","18,000,000","17,700,000","17,400,000","16,400,000","15,900,000","15,200,000","15,100,000","14,900,000","14,600,000","14,600,000","13,800,000","14,300,000","13,900,000","13,400,000","13,300,000","13,200,000","13,000,000","13,000,000","13,000,000","13,100,000","13,100,000","13,100,000","12,100,000","11,000,000","10,900,000","10,500,000","10,300,000","10,100,000","9,500,000","9,500,000","8,500,000","7,400,000","6,200,000","5,200,000","5,100,000","11,600,000","9,700,000","10,900,000","9,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
