name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003
TotalRevenue,"13,088,504,000","3,185,993,000","3,296,611,000","3,435,114,000","3,170,786,000","2,953,888,000","3,047,684,000","2,626,323,000","3,000,935,000","3,009,860,000","3,147,773,000","3,248,173,000","3,100,303,000","3,002,781,000","3,122,378,000","3,030,751,000","2,720,764,000","2,469,855,000","2,465,800,000","2,458,411,000","2,342,843,000","1,825,032,000","2,386,830,000","2,450,693,000","1,921,476,000","1,748,919,000","1,831,732,000","1,838,070,000","1,773,912,000","1,684,131,000","1,721,024,000","1,709,132,000","1,625,777,000","1,316,689,000","1,298,094,000","1,251,748,000","1,195,997,000","1,067,915,000","1,016,707,000","1,006,531,000","1,031,777,000","939,632,000","783,898,000","759,684,000","786,648,000","674,063,000","607,621,000","584,681,000","603,516,000","555,905,000","494,812,000","492,754,000","517,989,000","470,300,000","490,701,000","484,392,000","491,908,000","414,734,000","243,495,000","233,278,000","235,318,000","204,546,000","197,659,000","195,037,000","192,139,000","143,922,000","133,640,000","136,023,000","133,807,000","113,759,673","106,045,357","104,878,203","100,072,767","84,228,460","83,472,462","80,136,537","80,136,537"
	OperatingRevenue,"12,140,516,000","2,238,005,000","3,296,611,000","3,178,271,000","2,931,766,000","2,762,109,000","2,885,729,000","2,503,158,000","2,812,717,000","2,856,056,000","2,985,998,000","3,086,697,000","2,949,095,000","2,854,070,000","2,961,981,000","2,857,051,000","2,560,305,000","2,336,053,000","2,333,757,000","2,325,883,000","2,212,941,000","1,719,008,000","2,275,323,000","2,331,989,000","1,818,325,000","1,655,996,000","1,708,691,000","1,704,348,000","1,644,916,000","1,533,007,000","1,543,338,000","1,540,861,000","1,469,553,000","1,169,890,000","1,143,336,000","1,093,962,000","1,022,392,000","508,861,000","1,016,707,000","1,006,531,000","1,031,777,000","939,632,000","783,898,000","759,684,000","786,648,000","674,063,000","607,621,000","584,681,000","603,516,000","555,905,000","494,812,000","492,754,000","517,989,000","470,300,000","490,701,000","484,392,000","491,908,000","414,734,000","243,495,000","233,278,000","235,318,000","204,546,000","197,659,000","195,037,000","192,139,000","143,922,000","133,640,000","136,023,000","133,807,000","113,759,646","106,045,357","104,878,203","100,072,767","84,228,460","83,472,462","80,136,537","80,136,537"
CostOfRevenue,"7,766,069,000","1,916,373,000","1,953,219,000","2,019,405,000","1,877,072,000","1,784,039,000","1,849,142,000","1,615,319,000","1,787,059,000","1,813,846,000","1,947,444,000","2,000,986,000","1,892,039,000","1,840,972,000","1,925,180,000","1,868,872,000","1,666,793,000","1,522,210,000","1,508,924,000","1,493,402,000","1,412,750,000","1,039,125,000","1,503,418,000","1,528,746,000","1,161,039,000","1,051,592,000","1,118,953,000","1,114,126,000","1,074,433,000","1,019,572,000","1,056,613,000","1,038,073,000","973,893,000","771,016,000","780,187,000","741,875,000","694,048,000","622,794,000","607,002,000","584,600,000","584,394,000","547,843,000","449,576,000","437,448,000","443,002,000","386,563,000","346,197,000","323,415,000","320,226,000","303,015,000","269,708,000","269,272,000","285,039,000","272,568,000","274,786,000","264,684,000","268,594,000","229,621,000","135,038,000","128,195,000","128,222,000","112,960,000","108,222,000","106,921,000","103,728,000","76,390,000","70,696,000","71,531,000","71,171,000","61,264,254","57,361,745","55,437,060","53,077,136","45,330,854","44,431,543",,
GrossProfit,"5,322,435,000","1,269,620,000","1,343,392,000","1,415,709,000","1,293,714,000","1,169,849,000","1,198,542,000","1,011,004,000","1,213,876,000","1,196,014,000","1,200,329,000","1,247,187,000","1,208,264,000","1,161,809,000","1,197,198,000","1,161,879,000","1,053,971,000","947,645,000","956,876,000","965,009,000","930,093,000","785,907,000","883,412,000","921,947,000","760,437,000","697,327,000","712,779,000","723,944,000","699,479,000","664,559,000","664,411,000","671,059,000","651,884,000","545,673,000","517,907,000","509,873,000","501,949,000","445,121,000","409,705,000","421,931,000","447,383,000","391,789,000","334,322,000","322,236,000","343,646,000","287,500,000","261,424,000","261,266,000","283,290,000","252,890,000","225,104,000","223,482,000","232,950,000","197,732,000","215,915,000","219,708,000","223,314,000","185,113,000","108,457,000","105,083,000","107,096,000","91,586,000","89,437,000","88,116,000","88,411,000","67,532,000","62,944,000","64,492,000","62,636,000","52,495,419","48,683,612","49,441,143","46,995,631","38,897,606","39,040,919",,
OperatingExpense,"3,827,724,000","984,904,000","961,891,000","966,563,000","914,366,000","887,387,000","882,548,000","803,116,000","965,306,000","970,697,000","963,637,000","969,202,000","967,534,000","958,537,000","955,851,000","889,207,000","823,349,000","770,390,000","752,855,000","717,915,000","691,473,000","648,904,000","672,002,000","669,683,000","559,954,000","538,874,000","541,456,000","521,996,000","507,065,000","516,319,000","504,629,000","491,562,000","474,729,000","409,072,000","392,306,000","374,815,000","358,856,000","340,584,000","318,155,000","311,169,000","313,528,000","299,394,000","245,924,000","241,373,000","236,229,000","214,293,000","195,994,000","191,367,000","193,281,000","192,521,000","168,207,000","167,831,000","170,769,000","168,050,000","163,557,000","158,145,000","160,632,000","141,563,000","82,866,000","78,441,000","79,834,000","73,228,000","71,572,000","67,518,000","68,066,000","54,261,000","51,479,000","50,682,000","48,240,000","44,575,664","40,708,265","40,290,913","37,133,931","33,763,280","32,479,416",,
	SellingGeneralAndAdministration,"3,567,732,000","919,604,000","897,896,000","901,667,000","848,565,000","814,992,000","813,893,000","737,369,000","899,811,000","893,276,000","892,124,000","898,368,000","896,532,000","880,646,000","879,150,000","826,044,000","766,891,000","495,864,000","493,464,000","473,334,000","453,037,000","425,109,000","435,938,000","438,484,000","370,661,000","363,785,000","366,655,000","355,835,000","344,955,000","344,440,000","340,801,000","333,129,000","321,859,000","272,352,000","263,139,000","252,595,000","240,913,000","-24,465,000","301,440,000","295,816,000","298,635,000","284,365,000","233,610,000","229,626,000","225,390,000","204,237,000","186,445,000","182,205,000","184,052,000","183,301,000","159,834,000","159,402,000","162,316,000","159,385,000","156,044,000","150,887,000","153,374,000","135,013,000","79,098,000","74,977,000","76,517,000","70,169,000","68,436,000","64,625,000","65,330,000","51,776,000","49,419,000","48,619,000","46,274,000","42,721,112","38,912,801","38,574,301","35,628,701","32,387,687","31,154,110",,
		GeneralAndAdministrativeExpense,"3,567,732,000","919,604,000","897,896,000","901,667,000","848,565,000",,"813,893,000","737,369,000","899,811,000","893,276,000","892,124,000",,,"880,646,000","879,150,000","826,044,000","766,891,000","294,410,000","290,635,000","278,942,000","267,227,000","250,537,000","263,372,000","254,153,000","218,318,000","211,409,000","207,887,000","205,796,000","203,241,000","199,544,000","192,229,000","186,585,000","184,530,000","160,438,000","153,546,000","146,012,000","137,056,000","131,130,000",,"203,890,000","206,822,000","200,039,000","165,169,000","160,578,000","159,579,000","145,659,000","134,662,000","131,037,000","132,863,000","133,990,000","114,230,000","116,485,000","117,774,000",,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"3,567,732,000","919,604,000","897,896,000","901,667,000","848,565,000",,"813,893,000","737,369,000","899,811,000","893,276,000","892,124,000",,,"880,646,000","879,150,000","826,044,000","766,891,000","294,410,000","290,635,000","278,942,000","267,227,000","250,537,000","263,372,000","254,153,000","218,318,000","211,409,000","207,887,000","205,796,000","203,241,000","199,544,000","192,229,000","186,585,000","184,530,000","160,438,000","153,546,000","146,012,000","137,056,000","131,130,000",,"203,890,000","206,822,000","200,039,000","165,169,000","160,578,000","159,579,000","145,659,000","134,662,000","131,037,000","132,863,000","133,990,000","114,230,000","116,485,000","117,774,000",,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,,,,,,,,,,,,,,,,,,"201,454,000","202,829,000","194,392,000","185,810,000","174,572,000","172,566,000","184,331,000","152,343,000","152,376,000","158,768,000","150,039,000","141,714,000","144,896,000","148,572,000","146,544,000","137,329,000","111,914,000","109,593,000","106,583,000","103,857,000","98,444,000",,"91,926,000","91,813,000","84,326,000","68,441,000","69,048,000","65,811,000","58,578,000","51,783,000","51,168,000","51,189,000","49,311,000","45,604,000","42,917,000","44,542,000",,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"259,992,000","65,300,000","63,995,000","64,896,000","65,801,000","72,395,000","68,655,000","65,747,000","65,495,000","77,421,000","71,513,000","70,834,000","71,002,000","77,891,000","76,701,000","63,163,000","56,458,000","60,368,000","56,877,000","53,645,000","48,656,000","54,200,000","53,016,000","52,529,000","31,688,000","32,002,000","30,883,000","29,782,000","29,453,000","33,583,000","30,498,000","29,927,000","26,711,000","23,119,000","20,818,000","19,335,000","17,697,000","17,132,000","16,715,000","15,353,000","14,893,000","15,029,000","12,314,000","11,747,000","10,839,000","10,056,000","9,549,000","9,162,000","9,229,000","9,220,000","8,373,000","8,429,000","8,453,000","8,665,000","7,513,000","7,258,000","7,258,000","6,550,000","3,768,000","3,464,000","3,317,000","3,059,000","3,136,000","2,893,000","2,736,000","2,485,000","2,060,000","2,063,000","1,966,000","1,854,552","1,795,464","1,716,612","1,505,230","1,375,593","1,325,306",,
