name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"28,318,400,000","7,999,900,000","6,772,800,000","6,740,100,000","6,805,600,000","7,440,000,000","5,740,600,000","5,499,400,000","5,859,800,000","6,114,000,000","5,476,600,000","5,636,700,000","5,092,200,000","6,438,600,000","6,061,900,000","6,355,200,000","5,700,000,000","6,160,700,000","5,658,000,000","5,824,300,000","5,228,300,000","5,760,500,000","5,191,700,000","5,404,800,000","4,865,100,000","5,375,600,000","4,959,700,000","4,978,700,000","4,644,700,000","5,121,300,000","4,875,600,000","4,935,600,000","4,683,100,000","5,808,800,000","5,772,600,000","5,929,700,000","5,602,000,000","5,957,400,000","5,443,300,000","5,600,700,000","5,602,000,000","6,046,600,000","6,147,900,000","6,252,800,000","5,839,200,000","6,187,000,000","5,654,800,000","5,748,700,000","5,485,500,000","5,934,200,000","5,562,000,000","5,292,800,000","5,047,000,000","5,210,500,000","5,209,500,000","5,150,400,000","4,807,600,000","5,189,600,000","4,586,800,000","4,631,000,000","4,226,100,000","4,245,300,000","3,864,100,000","3,866,900,000","3,714,700,000","3,879,100,000","3,601,100,000","3,667,700,000","3,497,400,000","3,644,300,000","3,280,400,000","3,556,300,000","3,376,900,000","3,465,500,000","3,139,400,000","3,088,200,000","2,889,400,000","2,955,600,000","2,785,600,000","2,775,200,000","2,561,100,000","2,828,900,000","2,874,400,000","3,033,500,000","2,805,700,000","2,977,700,000","2,811,900,000","2,621,500,000","2,451,100,000","2,820,500,000","2,585,200,000","2,341,600,000","2,255,600,000","2,053,800,000","2,573,200,000","2,340,700,000","2,269,100,000","2,415,800,000","2,160,100,000","1,988,700,000","1,953,000,000","2,061,100,000","1,803,900,000","1,698,300,000","1,783,300,000","1,799,800,000","1,631,900,000","1,614,800,000","1,717,300,000","578,700,000","1,817,400,000","1,678,500,000","1,637,000,000","1,800,800,000","1,530,600,000","1,561,000,000","1,560,000,000","1,655,400,000","1,476,500,000","1,478,300,000","1,557,100,000","1,572,600,000","1,341,300,000","1,376,300,000","1,435,500,000","1,443,800,000","1,281,800,000","1,225,400,000","1,240,600,000","784,000,000","1,045,100,000","1,121,500,000","1,225,000,000","1,042,300,000","940,600,000","1,014,700,000","1,072,100,000","609,500,000","957,700,000","1,017,600,000","1,059,000,000","969,400,000","883,400,000","879,300,000","988,300,000","817,000,000","787,900,000"
	OperatingRevenue,"28,318,400,000","7,999,900,000","6,772,800,000","6,740,100,000","6,805,600,000","7,440,000,000","5,740,600,000","5,499,400,000","5,859,800,000","6,114,000,000","5,476,600,000","5,636,700,000","5,092,200,000","6,438,600,000","6,061,900,000","6,355,200,000","5,700,000,000","6,160,700,000","5,658,000,000","5,824,300,000","5,228,300,000","5,760,500,000","5,191,700,000","5,404,800,000","4,865,100,000","5,375,600,000","4,959,700,000","4,978,700,000","4,644,700,000","5,121,300,000","4,875,600,000","4,935,600,000","4,683,100,000","5,808,800,000","5,772,600,000","5,929,700,000","5,602,000,000","5,957,400,000","5,443,300,000","5,600,700,000","5,602,000,000","6,046,600,000","6,147,900,000","6,252,800,000","5,839,200,000","6,187,000,000","5,654,800,000","5,748,700,000","5,485,500,000","5,934,200,000","5,562,000,000","5,292,800,000","5,047,000,000","5,210,500,000","5,209,500,000","5,150,400,000","4,807,600,000","5,189,600,000","4,586,800,000","4,631,000,000","4,226,100,000","4,245,300,000","3,864,100,000","3,866,900,000","3,714,700,000","3,879,100,000","3,601,100,000","3,667,700,000","3,497,400,000","3,644,300,000","3,280,400,000","3,556,300,000","3,376,900,000","3,465,500,000","3,139,400,000","3,088,200,000","2,889,400,000","2,955,600,000","2,785,600,000","2,775,200,000","2,561,100,000","2,828,900,000","2,874,400,000","3,033,500,000","2,805,700,000","2,977,700,000","2,811,900,000","2,621,500,000","2,451,100,000","2,820,500,000","2,585,200,000","2,341,600,000","2,255,600,000","2,053,800,000","2,573,200,000","2,340,700,000","2,269,100,000","2,415,800,000","2,160,100,000","1,988,700,000","1,953,000,000","2,061,100,000","1,803,900,000","1,698,300,000","1,783,300,000","1,799,800,000","1,631,900,000","1,614,800,000","1,717,300,000","578,700,000","1,817,400,000","1,678,500,000","1,637,000,000","1,800,800,000","1,530,600,000","1,561,000,000","1,560,000,000","1,655,400,000","1,476,500,000","1,478,300,000","1,557,100,000","1,572,600,000","1,341,300,000","1,376,300,000","1,435,500,000","1,443,800,000","1,281,800,000","1,225,400,000","1,240,600,000","784,000,000","1,045,100,000","1,121,500,000","1,225,000,000","1,042,300,000","940,600,000","1,014,700,000","1,072,100,000","609,500,000","957,700,000","1,017,600,000","1,059,000,000","969,400,000","883,400,000","879,300,000","988,300,000","817,000,000","787,900,000"
CostOfRevenue,"7,312,800,000","2,050,200,000","1,430,800,000","1,953,200,000","1,878,600,000","1,719,800,000","1,326,400,000","1,222,000,000","1,215,100,000","1,282,600,000","1,175,000,000","1,124,900,000","1,138,700,000","1,593,700,000","1,562,300,000","1,702,700,000","1,571,300,000","1,624,800,000","1,566,100,000","1,551,600,000","1,327,700,000","1,466,000,000","1,400,900,000","1,465,000,000","1,323,000,000","1,389,200,000","1,236,900,000","1,218,400,000","1,192,700,000","1,253,100,000","1,267,000,000","1,189,700,000","1,222,700,000","1,386,500,000","1,198,100,000","1,165,200,000","1,158,300,000","1,248,300,000","1,203,600,000","1,146,700,000","1,197,900,000","1,321,700,000","1,338,100,000","1,228,000,000","1,180,100,000","1,232,200,000","987,600,000","1,023,900,000","1,122,500,000","1,431,300,000","1,051,900,000","947,400,000","816,400,000","915,400,000","1,155,200,000","1,200,900,000","1,111,300,000","1,272,800,000","1,054,600,000","998,900,000","922,500,000","1,019,000,000","860,400,000","860,600,000","806,500,000","898,200,000","845,700,000","871,300,000","859,000,000","865,700,000","810,100,000","796,400,000","751,700,000","731,500,000","679,300,000","643,000,000","621,300,000","567,800,000","553,700,000","524,900,000","530,100,000","566,700,000","549,000,000","522,200,000","522,300,000","925,100,000","367,600,000","370,500,000","392,500,000","465,900,000","432,200,000","379,100,000","381,100,000","-12,000,000","544,900,000","508,900,000","482,900,000","575,000,000","463,000,000","412,800,000","402,300,000","453,700,000","367,000,000","368,900,000","385,300,000","360,200,000","279,200,000","320,200,000","372,400,000","-373,000,000","578,100,000","524,500,000","517,900,000","177,200,000","467,400,000","469,500,000","446,600,000","115,700,000","532,500,000","445,600,000","435,100,000","184,700,000","392,300,000","388,200,000","389,500,000","186,900,000","378,400,000","366,700,000","343,800,000","-60,500,000","338,700,000","361,300,000",,,,,,,,,,,,,,,
GrossProfit,"21,005,600,000","5,949,700,000","5,342,000,000","4,786,900,000","4,927,000,000","5,720,200,000","4,414,200,000","4,277,400,000","4,644,700,000","4,831,400,000","4,301,600,000","4,511,800,000","3,953,500,000","4,844,900,000","4,499,600,000","4,652,500,000","4,128,700,000","4,535,900,000","4,091,900,000","4,272,700,000","3,900,600,000","4,294,500,000","3,790,800,000","3,939,800,000","3,542,100,000","3,986,400,000","3,722,800,000","3,760,300,000","3,452,000,000","3,868,200,000","3,608,600,000","3,745,900,000","3,460,400,000","4,422,300,000","4,574,500,000","4,764,500,000","4,443,700,000","4,709,100,000","4,239,700,000","4,454,000,000","4,404,100,000","4,724,900,000","4,809,800,000","5,024,800,000","4,659,100,000","4,954,800,000","4,667,200,000","4,724,800,000","4,363,000,000","4,502,900,000","4,510,100,000","4,345,400,000","4,230,600,000","4,295,100,000","4,054,300,000","3,949,500,000","3,696,300,000","3,916,800,000","3,532,200,000","3,632,100,000","3,303,600,000","3,226,300,000","3,003,700,000","3,006,300,000","2,908,200,000","2,980,900,000","2,755,400,000","2,796,400,000","2,638,400,000","2,778,600,000","2,470,300,000","2,759,900,000","2,625,200,000","2,734,000,000","2,460,100,000","2,445,200,000","2,268,100,000","2,387,800,000","2,231,900,000","2,250,300,000","2,031,000,000","2,262,200,000","2,325,400,000","2,511,300,000","2,283,400,000","2,052,600,000","2,444,300,000","2,251,000,000","2,058,600,000","2,354,600,000","2,153,000,000","1,962,500,000","1,874,500,000","2,065,800,000","2,028,300,000","1,831,800,000","1,786,200,000","1,840,800,000","1,697,100,000","1,575,900,000","1,550,700,000","1,607,400,000","1,436,900,000","1,329,400,000","1,398,000,000","1,439,600,000","1,352,700,000","1,294,600,000","1,344,900,000","951,700,000","1,239,300,000","1,154,000,000","1,119,100,000","1,623,600,000","1,063,200,000","1,091,500,000","1,113,400,000","1,539,700,000","944,000,000","1,032,700,000","1,122,000,000","1,387,900,000","949,000,000","988,100,000","1,046,000,000","1,256,900,000","903,400,000","858,700,000","896,800,000","844,500,000","706,400,000","760,200,000",,,,,,,,,,,,,,,
OperatingExpense,"13,457,500,000","3,551,400,000","3,286,800,000","3,358,500,000","3,260,800,000","3,391,900,000","3,034,500,000","2,838,800,000","2,941,700,000","3,279,500,000","2,793,200,000","2,988,500,000","2,747,600,000","3,315,300,000","2,959,900,000","2,986,800,000","2,676,900,000","3,767,400,000","2,874,900,000","2,958,300,000","2,783,000,000","3,240,700,000","2,801,800,000","2,958,500,000","2,694,900,000","3,242,600,000","2,719,100,000","2,804,900,000","2,562,800,000","2,985,600,000","2,915,300,000","2,859,300,000","2,594,200,000","3,429,000,000","3,029,800,000","3,198,000,000","3,000,100,000","3,440,600,000","3,100,200,000","3,251,800,000","2,999,000,000","3,488,700,000","3,198,700,000","3,303,600,000","2,909,700,000","3,426,800,000","2,914,700,000","2,942,600,000","2,653,500,000","3,170,000,000","2,823,900,000","2,748,600,000","2,476,500,000","2,785,900,000","2,602,200,000","2,651,600,000","2,427,600,000","2,709,400,000","2,322,300,000","2,379,100,000","2,171,000,000","2,168,800,000","1,953,900,000","2,012,700,000","1,883,700,000","1,999,500,000","1,821,900,000","1,908,500,000","1,792,600,000","1,803,700,000","1,606,700,000","1,854,400,000","1,710,500,000","1,844,200,000","1,531,500,000","1,585,800,000","1,444,100,000","1,495,100,000","1,337,400,000","1,460,700,000","1,280,100,000","1,472,600,000","1,431,900,000","1,463,600,000","1,284,400,000","1,129,500,000","1,428,900,000","1,425,400,000","1,263,000,000","1,385,100,000","1,255,300,000","1,222,100,000","1,118,400,000","1,403,200,000","1,244,500,000","1,190,000,000","1,049,900,000","1,201,500,000","1,057,400,000","1,035,400,000","911,900,000","1,067,900,000","899,700,000","888,600,000","868,700,000","984,800,000","845,200,000","836,000,000","784,000,000","673,200,000","715,800,000","678,900,000","601,300,000","2,349,100,000","650,100,000","634,800,000","605,100,000","1,094,400,000","1,251,400,000","595,200,000","541,900,000","954,700,000","540,000,000","557,800,000","550,200,000","871,600,000","537,000,000","501,100,000","466,700,000","633,200,000","455,200,000","459,200,000",,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"6,431,600,000","1,592,000,000","1,577,900,000","1,685,700,000","1,576,000,000","1,553,900,000","1,569,100,000","1,448,600,000","1,549,600,000","1,698,100,000","1,412,300,000","1,586,300,000","1,517,100,000","1,861,500,000","1,616,600,000","1,653,700,000","1,500,000,000","2,294,200,000","1,555,500,000","1,707,400,000","1,544,700,000","1,790,100,000","1,565,400,000","1,622,600,000","1,473,900,000","1,798,400,000","1,575,700,000","1,635,400,000","1,523,500,000","1,799,900,000","1,672,100,000","1,663,900,000","1,484,900,000","1,953,600,000","1,652,400,000","1,867,600,000","1,652,000,000","1,977,500,000","1,757,400,000","1,931,100,000","1,847,500,000","2,133,400,000","1,917,800,000","2,043,000,000","1,785,700,000","1,988,700,000","1,694,900,000","1,755,400,000","1,614,400,000","1,953,300,000","1,701,800,000","1,708,200,000","1,529,200,000","1,726,600,000","1,649,200,000","1,700,100,000","1,550,500,000","1,755,800,000","1,477,800,000","1,524,700,000","1,336,800,000","1,310,800,000","1,198,200,000","1,237,900,000","1,142,900,000","1,189,600,000","1,070,900,000","1,146,100,000","1,090,400,000","1,098,200,000","951,900,000","1,170,200,000","1,063,900,000","1,134,200,000","963,400,000","1,043,300,000","914,500,000","920,800,000","810,700,000","915,200,000","777,300,000","882,700,000","865,900,000","899,900,000","768,900,000","944,300,000","800,300,000","795,400,000","688,300,000","818,700,000","696,400,000","649,600,000","592,900,000","757,700,000","680,500,000","654,100,000","566,000,000","682,800,000","587,200,000","572,700,000","471,700,000","579,800,000","473,100,000","479,000,000","460,000,000","566,400,000","444,100,000","436,300,000","407,200,000","140,700,000","455,200,000","428,300,000","374,100,000","1,950,800,000","650,100,000","634,800,000","605,100,000","726,300,000","1,251,400,000","595,200,000","541,900,000","655,200,000","540,000,000","557,800,000","550,200,000","624,100,000","537,000,000","501,100,000","466,700,000","403,900,000","455,200,000","459,200,000",,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"6,431,600,000",,,,,"1,553,900,000","1,569,100,000","1,448,600,000","1,549,600,000","1,698,100,000","1,412,300,000","1,586,300,000","1,517,100,000","1,861,500,000","1,616,600,000","1,653,700,000","1,500,000,000","2,294,200,000","1,555,500,000","1,707,400,000","1,544,700,000","1,790,100,000","1,565,400,000","1,622,600,000","1,473,900,000","1,798,400,000","1,575,700,000","1,635,400,000","1,523,500,000","1,799,900,000","1,672,100,000","1,663,900,000","1,484,900,000","1,953,600,000","1,652,400,000","1,867,600,000","1,652,000,000","1,977,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,,,"52,000,000","52,200,000","49,800,000","55,900,000","67,900,000","62,900,000","54,900,000","56,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"6,431,600,000",,,,,"1,553,900,000","1,569,100,000","1,448,600,000","1,549,600,000","1,698,100,000","1,412,300,000","1,586,300,000","1,517,100,000","1,861,500,000","1,616,600,000","1,653,700,000","1,500,000,000","1,780,500,000","1,555,500,000","1,707,400,000","1,544,700,000","1,790,100,000","1,565,400,000","1,622,600,000","1,473,900,000","1,798,400,000","1,575,700,000","1,635,400,000","1,523,500,000","1,799,900,000","1,672,100,000","1,663,900,000","1,484,900,000","1,953,600,000","1,652,400,000","1,867,600,000","1,652,000,000","1,977,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,,,,,,,,"1,448,600,000","1,549,600,000","1,698,100,000","1,412,300,000","1,586,300,000","1,517,100,000","1,861,500,000","1,616,600,000","1,653,700,000","1,500,000,000","1,780,500,000","1,555,500,000","1,707,400,000","1,544,700,000","1,790,100,000","1,565,400,000","1,622,600,000","1,473,900,000","1,798,400,000","1,575,700,000","1,635,400,000","1,523,500,000","1,799,900,000","1,672,100,000","1,663,900,000","1,484,900,000","1,953,600,000","1,652,400,000","1,867,600,000","1,652,000,000","1,977,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
