name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"19,116,000,000","4,560,000,000","5,203,000,000","4,843,000,000","4,534,000,000","4,253,000,000","5,361,000,000","3,517,000,000","4,425,000,000","4,345,000,000","4,638,000,000","4,310,000,000","3,965,000,000","4,531,000,000","4,264,000,000","4,020,000,000","3,609,000,000","3,669,000,000","3,511,000,000","3,577,000,000","3,500,000,000","3,254,000,000","3,525,000,000","3,307,000,000","3,243,000,000","3,172,000,000","3,716,000,000","3,381,000,000","3,304,000,000","3,685,000,000","3,411,000,000","3,282,000,000","3,176,000,000","3,122,000,000","3,009,000,000","2,999,000,000","2,844,000,000","2,964,000,000","2,954,000,000","2,899,000,000","2,714,000,000","2,571,000,000","2,548,000,000","2,804,000,000","2,714,000,000","2,662,000,000","2,613,000,000","2,605,000,000","2,527,000,000","2,399,000,000","2,081,000,000","1,952,000,000","2,245,000,000","2,273,000,000","2,436,000,000","2,582,000,000","2,524,000,000","2,502,000,000","2,681,000,000","2,740,000,000","2,670,000,000","2,658,000,000","2,487,000,000","2,496,000,000","1,417,000,000","1,388,422,000","1,413,100,000","1,373,176,000","1,313,239,000","1,347,466,000","1,406,058,000","1,358,719,000","1,259,030,000","1,702,553,000","1,268,849,000","1,213,153,000","1,099,327,000","1,223,083,000","1,140,958,000","1,144,980,000","1,126,440,000","1,473,588,000","1,609,262,000","1,598,992,000","1,698,795,000","1,773,522,000","1,716,097,000","1,692,663,000","1,669,225,000","1,807,900,000","1,642,100,000","1,678,300,000","1,675,400,000","1,713,963,000","1,417,600,000","1,507,500,000","1,448,000,000","1,305,279,000","1,267,000,000","1,128,100,000","1,700,800,000","1,751,970,000","1,684,900,000","1,643,900,000","1,640,500,000","1,834,856,000","1,668,500,000","1,646,200,000","1,483,700,000","1,871,350,000","1,561,700,000","1,544,400,000","2,006,800,000","2,121,500,000","2,327,400,000","1,901,900,000","2,003,100,000","2,028,200,000","2,137,600,000","1,943,400,000","1,924,900,000","2,570,300,000","2,237,800,000","2,232,100,000","2,128,800,000","2,499,400,000","2,004,800,000","2,014,900,000","1,970,500,000","2,486,400,000","1,870,000,000","1,939,500,000","1,785,200,000","2,233,200,000","1,791,300,000","1,710,000,000","1,577,800,000","1,913,400,000","1,525,500,000","1,733,500,000","1,787,700,000","1,858,400,000","1,425,700,000","1,408,600,000","1,330,300,000","1,423,400,000","1,317,800,000"
	OperatingRevenue,"19,116,000,000","4,560,000,000","5,203,000,000","4,843,000,000","4,534,000,000","4,253,000,000","5,361,000,000","3,517,000,000","4,425,000,000","4,345,000,000","4,638,000,000","4,310,000,000","3,965,000,000","4,531,000,000","4,264,000,000","4,020,000,000","3,609,000,000","3,669,000,000","3,511,000,000","3,577,000,000","3,500,000,000","3,254,000,000","3,525,000,000","3,307,000,000","3,243,000,000","3,172,000,000","3,716,000,000","3,381,000,000","3,304,000,000","3,685,000,000","3,411,000,000","3,282,000,000","3,176,000,000","3,122,000,000","3,009,000,000","2,999,000,000","2,844,000,000","2,964,000,000","2,954,000,000","2,899,000,000","2,714,000,000","2,571,000,000","2,548,000,000","2,804,000,000","2,714,000,000","2,662,000,000","2,613,000,000","2,605,000,000","2,527,000,000","2,399,000,000","2,081,000,000","1,952,000,000","2,245,000,000","2,273,000,000","2,436,000,000","2,582,000,000","2,524,000,000","2,502,000,000","2,681,000,000","2,740,000,000","2,670,000,000","2,658,000,000","2,487,000,000","2,496,000,000","1,417,000,000","1,388,422,000","1,413,100,000","1,373,176,000","1,313,239,000","1,347,466,000","1,406,058,000","1,358,719,000","1,259,030,000","1,702,553,000","1,268,849,000","1,213,153,000","1,099,327,000","1,223,083,000","1,140,958,000","1,144,980,000","1,126,440,000","1,473,588,000","1,609,262,000","1,598,992,000","1,698,795,000","1,773,522,000","1,716,097,000","1,692,663,000","1,669,225,000","1,807,900,000","1,642,100,000","1,678,300,000","1,675,400,000","1,713,963,000","1,417,600,000","1,507,500,000","1,448,000,000","1,305,279,000","1,267,000,000","1,128,100,000","1,700,800,000","1,751,970,000","1,684,900,000","1,643,900,000","1,640,500,000","1,834,856,000","1,668,500,000","1,646,200,000","1,483,700,000","1,871,350,000","1,561,700,000","1,544,400,000","2,006,800,000","2,121,500,000","2,327,400,000","1,901,900,000","2,003,100,000","2,028,200,000","2,137,600,000","1,943,400,000","1,924,900,000","2,570,300,000","2,237,800,000","2,232,100,000","2,128,800,000","2,499,400,000","2,004,800,000","2,014,900,000","1,970,500,000","2,486,400,000","1,870,000,000","1,939,500,000","1,785,200,000","2,233,200,000","1,791,300,000","1,710,000,000","1,577,800,000","1,913,400,000","1,525,500,000","1,733,500,000","1,787,700,000","1,858,400,000","1,425,700,000","1,408,600,000","1,330,300,000","1,423,400,000","1,317,800,000"
NetNonOperatingInterestIncomeExpense,"-372,000,000","-168,000,000","-73,000,000","-65,000,000","-65,000,000","-160,000,000","-66,000,000","-84,000,000","-68,000,000","-160,000,000","-113,000,000","-70,000,000","-71,000,000","-153,000,000","-69,000,000","-68,000,000","-91,000,000","-150,000,000","-63,000,000","-63,000,000","-64,000,000","-209,000,000","-66,000,000","-68,000,000","-68,000,000","-141,000,000","-67,000,000","-69,000,000","-68,000,000","-134,000,000","-67,000,000","-67,000,000","-67,000,000","-133,000,000","-67,000,000","-65,000,000","-64,000,000","-126,000,000","-68,000,000","-68,000,000","-68,000,000","-71,000,000","-79,000,000","-72,000,000","-72,000,000","-79,000,000","-74,000,000","-69,000,000","-68,000,000","-67,000,000","-68,000,000","-61,000,000","0","-72,000,000","-69,000,000","-65,000,000","-510,000,000","-80,000,000","-69,000,000","-73,000,000","-61,000,000","-71,000,000","-67,000,000","-65,000,000","-22,000,000","-22,438,000","-21,692,000","-22,089,000","-22,433,000","-28,569,000",,"-24,662,000","-22,812,000","-22,179,000","-26,621,000","-22,966,000","-23,335,000","-23,470,000","-23,688,000","-24,649,000","-24,806,000","-24,966,000","-29,565,000","-32,040,000","-34,447,000","-33,409,000","-34,409,000","-35,381,000","-36,339,000","-34,697,000","-33,300,000","-32,600,000","-33,100,000","-33,451,000","-32,500,000","-27,700,000","-23,400,000","-22,524,000","-24,500,000","-23,200,000","-22,300,000","-24,020,000","-23,500,000","-18,700,000","-18,500,000","-19,116,000","-19,500,000","-20,000,000","-14,000,000","-14,620,000","-12,100,000","-11,500,000","-11,300,000","-11,500,000","-10,900,000","-10,800,000","-11,100,000","-15,000,000","-10,900,000","-13,300,000","-14,600,000","-16,400,000","-17,900,000","-17,900,000","-19,000,000","-17,100,000","-17,800,000","-17,600,000","-19,800,000","-20,100,000","-22,400,000",,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"270,000,000","66,000,000","73,000,000","65,000,000","65,000,000","66,000,000","66,000,000","84,000,000","68,000,000","72,000,000","113,000,000","70,000,000","71,000,000","69,000,000","69,000,000","68,000,000","91,000,000","63,000,000","63,000,000","63,000,000","64,000,000","129,000,000","66,000,000","68,000,000","68,000,000","68,000,000","67,000,000","69,000,000","68,000,000","66,000,000","67,000,000","67,000,000","67,000,000","69,000,000","67,000,000","65,000,000","64,000,000","70,000,000","68,000,000","68,000,000","68,000,000","71,000,000","79,000,000","72,000,000","72,000,000","79,000,000","74,000,000","69,000,000","68,000,000","67,000,000","68,000,000","61,000,000",,"72,000,000","69,000,000","65,000,000","510,000,000","80,000,000","69,000,000","73,000,000","61,000,000","71,000,000","67,000,000","65,000,000","22,000,000","22,438,000","21,692,000","22,089,000","22,433,000","28,569,000",,"24,662,000","22,812,000","22,179,000","26,621,000","22,966,000","23,335,000","23,470,000","23,688,000","24,649,000","24,806,000","24,966,000","29,565,000","32,040,000","34,447,000","33,409,000","34,409,000","35,381,000","36,339,000","34,697,000","33,300,000","32,600,000","33,100,000","33,451,000","32,500,000","27,700,000","23,400,000","22,524,000","24,500,000","23,200,000","22,300,000","24,020,000","23,500,000","18,700,000","18,500,000","19,116,000","19,500,000","20,000,000","14,000,000","14,620,000","12,100,000","11,500,000","11,300,000","11,500,000","10,900,000","10,800,000","11,100,000","15,000,000","10,900,000","13,300,000","14,600,000","16,400,000","17,900,000","17,900,000","19,000,000","17,100,000","17,800,000","17,600,000","19,800,000","20,100,000","22,400,000",,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,"102,000,000"
OtherIncomeExpense,"46,000,000","-552,000,000","190,000,000","9,000,000","207,000,000","667,000,000","11,000,000","11,000,000","11,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000",,,,"1,000,000",,"4,000,000","18,000,000","18,000,000","18,000,000","18,000,000","18,000,000","19,000,000","18,000,000","18,000,000","18,000,000","19,000,000","18,000,000","18,000,000","19,000,000","18,000,000","19,000,000","19,000,000","19,000,000","-292,000,000","123,000,000","124,000,000","118,000,000","116,000,000","118,000,000","123,000,000","120,000,000","121,000,000","112,000,000","117,000,000","108,000,000","112,000,000","103,000,000","125,000,000","102,000,000","112,000,000","140,000,000","146,000,000","1,085,000,000","-2,658,000,000","1,125,000,000","1,086,000,000","1,095,000,000","9,028,000,000","963,000,000","979,000,000","662,000,000","6,662,207,000","655,387,000","606,158,000","571,677,000","6,748,368,000","588,848,000","598,168,000","521,781,000","910,143,000","515,997,000","486,946,000","376,382,000","511,411,000","468,736,000","498,033,000","504,538,000","558,818,000","519,991,000","493,935,000","518,073,000","615,816,000","586,174,000","537,745,000","569,456,000","-1,597,282,000","1,228,700,000","1,244,000,000","1,236,300,000","-1,499,006,000","1,031,100,000","1,133,500,000","1,100,400,000","-1,413,290,000","913,900,000","854,700,000","928,700,000","-1,544,903,000","874,200,000","850,800,000","865,100,000","-1,595,081,000","868,200,000","861,000,000","744,000,000","-1,230,329,000","586,200,000","576,700,000","621,200,000","572,500,000","723,900,000","605,100,000","625,200,000","965,600,000","655,500,000","541,000,000","573,100,000","823,000,000","547,700,000","560,500,000","507,600,000","574,200,000","523,800,000","573,900,000","489,100,000","587,900,000","528,700,000",,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"-14,000,000",,,,,,,,,,,,,"0","0","0","0","-905,000,000",,,,,,,,,,,,,,,,,,,,"0",,"0",,,,,,"0","0","0","0","-129,000,000","1,000,000","1,000,000","-603,000,000","-218,000,000","0","-173,000,000","-15,000,000",,"-29,000,000","-9,000,000",,,,,,"-15,938,000","-2,700,000",,"-1,900,000","-134,470,000",,"18,759,000","-11,500,000","-15,000,000","-19,800,000","-13,500,000","-5,500,000","1,700,000","2,100,000","-1,600,000",,"-31,100,000",,"-5,900,000","-1,000,000","-47,200,000","-53,500,000","-4,100,000",,"-5,500,000","-4,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		RestructuringAndMergernAcquisition,"14,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,000,000",,"29,000,000","9,000,000",,,,,,"15,938,000","2,700,000",,"1,900,000","-91,670,000",,"18,759,000","11,500,000","15,000,000","19,800,000","13,500,000","5,500,000","1,700,000","2,100,000","1,600,000",,"31,100,000",,"5,900,000","1,000,000","47,200,000","53,500,000","4,100,000",,"5,500,000","4,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,,,,,,,,,,,,,,"0","0","0","0","905,000,000",,,,,,,,,,,,,,,,,,,,"0",,"0",,,,,,,"0","0","0","129,000,000","-1,000,000","-1,000,000","603,000,000","218,000,000","0","173,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-37,518,000",,,,,,"-3,400,000","-4,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
