name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"3,669,000,000","927,000,000","1,024,000,000","817,000,000","901,000,000","817,000,000","920,000,000","763,100,000","915,700,000","880,100,000","990,200,000","790,200,000","987,200,000","873,500,000","928,600,000","816,100,000","916,300,000","856,100,000","906,900,000","765,300,000","853,900,000","797,000,000","924,600,000","754,600,000","843,800,000","740,100,000","898,900,000","717,200,000","897,400,000","804,100,000","843,100,000","750,300,000","952,800,000","832,600,000","866,600,000","718,000,000","859,600,000","750,900,000","887,600,000","690,300,000","765,700,000","879,200,000","1,021,600,000","819,500,000","945,000,000","832,600,000","951,700,000","741,600,000","891,300,000","854,900,000","885,700,000","742,300,000","949,900,000","882,000,000","980,300,000","827,400,000","992,000,000","871,400,000","907,300,000","746,200,000","912,700,000","841,300,000","890,400,000","696,800,000","930,900,000","906,800,000","874,200,000","699,900,000","838,400,000","783,565,000","730,672,000","662,138,000","891,006,000","826,553,000","759,552,000","646,292,000","895,790,000","595,941,000","761,419,000","615,215,000","636,237,000","646,521,000","666,265,000","611,841,000","852,713,000","553,147,000","658,422,000","572,565,000","620,850,000","566,663,000","598,300,000","486,200,000","546,800,000","528,200,000","555,400,000","491,000,000","222,500,000","236,400,000","214,500,000","206,600,000","261,700,000","251,500,000","212,200,000","208,300,000","260,800,000","197,800,000","201,400,000","183,200,000","224,900,000","206,900,000","193,700,000","181,300,000","234,100,000","226,900,000","173,900,000","168,500,000","203,800,000","182,100,000","151,400,000","140,200,000","178,000,000","171,600,000","152,200,000","147,900,000","177,100,000","163,300,000","144,400,000","137,700,000","173,100,000","156,200,000","138,500,000","131,900,000","178,200,000","155,700,000","140,700,000","132,600,000","171,900,000","141,400,000","127,300,000","123,300,000","157,400,000","149,000,000","126,200,000","123,800,000","170,200,000","165,900,000","127,400,000"
	OperatingRevenue,"3,586,000,000","904,000,000","1,002,000,000","796,000,000","884,000,000","800,000,000","904,000,000","744,200,000","894,100,000","859,100,000","968,600,000","767,300,000","970,300,000","863,500,000","918,300,000","805,600,000","907,500,000","846,900,000","897,600,000","755,000,000","843,600,000","786,700,000","913,200,000","745,300,000","834,300,000","729,400,000","887,200,000","706,900,000","886,100,000","790,900,000","830,600,000","736,400,000","939,300,000","818,800,000","855,300,000","703,300,000","847,700,000","698,700,000","887,600,000","690,300,000","765,700,000","879,200,000","1,021,600,000","819,500,000","945,000,000","832,600,000","951,700,000","741,600,000","891,300,000","854,900,000","885,700,000","742,300,000","949,900,000","882,000,000","980,300,000","827,400,000","992,000,000","871,400,000","907,300,000","746,200,000","912,700,000","841,300,000","890,400,000","696,800,000","930,900,000","906,800,000","874,200,000","699,900,000","838,400,000","783,565,000","730,672,000","662,138,000","891,006,000","826,553,000","759,552,000","646,292,000","895,790,000","595,941,000","761,419,000","615,215,000","636,237,000","646,521,000","666,265,000","611,841,000","852,713,000","553,147,000","658,422,000","572,565,000","620,850,000","566,663,000","598,300,000","486,200,000","546,800,000","528,200,000","555,400,000","491,000,000","222,500,000","236,400,000","214,500,000","206,600,000","261,700,000","251,500,000","212,200,000","208,300,000","260,800,000","197,800,000","201,400,000","183,200,000","224,900,000","206,900,000","193,700,000","181,300,000","234,100,000","226,900,000","173,900,000","168,500,000","203,800,000","182,100,000","151,400,000","140,200,000","178,000,000","171,600,000","152,200,000","147,900,000","177,100,000","163,300,000","144,400,000","137,700,000","173,100,000","156,200,000","138,500,000","131,900,000","178,200,000","155,700,000","140,700,000","132,600,000","171,900,000","141,400,000","127,300,000","123,300,000","157,400,000","149,000,000","126,200,000","123,800,000","170,200,000","165,900,000","127,400,000"
CostOfRevenue,"2,113,000,000","606,000,000","544,000,000","450,000,000","513,000,000","518,000,000","465,000,000","415,800,000","553,500,000","538,100,000","532,500,000","473,200,000","648,200,000","596,900,000","518,200,000","515,700,000","605,600,000","580,800,000","527,700,000","475,300,000","577,600,000","569,100,000","545,600,000","498,900,000","569,100,000","534,400,000","538,100,000","481,300,000","617,800,000","587,800,000","525,600,000","527,100,000","677,000,000","605,200,000","548,200,000","498,800,000","620,200,000","980,800,000","418,200,000","337,600,000","407,600,000","391,900,000","404,200,000","362,800,000","481,800,000","402,800,000","421,700,000","365,500,000","492,400,000","410,300,000","405,300,000","350,000,000","580,200,000","434,700,000","317,200,000","305,200,000","301,500,000","-18,800,000","375,500,000","292,900,000","280,300,000","395,200,000","436,700,000","328,700,000","528,500,000","754,000,000","307,800,000","300,600,000","388,400,000","316,756,000","224,132,000","220,646,000","382,766,000","548,205,000","200,416,000","175,281,000","201,730,000","148,655,000","216,695,000","165,829,000","134,947,000","147,791,000","203,071,000","189,076,000","173,917,000","146,759,000","166,158,000","138,905,000","131,617,000","181,470,000","169,600,000","148,500,000","198,800,000","182,300,000","167,500,000","166,800,000","88,200,000","84,800,000","69,900,000","75,900,000","110,400,000","92,600,000","59,000,000","59,400,000","89,300,000","63,200,000","58,200,000","51,500,000","71,700,000","60,400,000","52,200,000","53,900,000","83,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"1,556,000,000","321,000,000","480,000,000","367,000,000","388,000,000","299,000,000","455,000,000","347,300,000","362,200,000","342,000,000","457,700,000","317,000,000","339,000,000","276,600,000","410,400,000","300,400,000","310,700,000","275,300,000","379,200,000","290,000,000","276,300,000","227,900,000","379,000,000","255,700,000","274,700,000","205,700,000","360,800,000","235,900,000","279,600,000","216,300,000","317,500,000","223,200,000","275,800,000","227,400,000","318,400,000","219,200,000","239,400,000","-229,900,000","469,400,000","352,700,000","358,100,000","487,300,000","617,400,000","456,700,000","463,200,000","429,800,000","530,000,000","376,100,000","398,900,000","444,600,000","480,400,000","392,300,000","369,700,000","447,300,000","663,100,000","522,200,000","690,500,000","890,200,000","531,800,000","453,300,000","632,400,000","446,100,000","453,700,000","368,100,000","402,400,000","152,800,000","566,400,000","399,300,000","450,000,000","466,809,000","506,540,000","441,492,000","508,240,000","278,348,000","559,136,000","471,011,000","694,060,000","447,286,000","544,724,000","449,386,000","501,290,000","498,730,000","463,194,000","422,765,000","678,796,000","406,388,000","492,264,000","433,660,000","489,233,000","385,193,000","428,700,000","337,700,000","348,000,000","345,900,000","387,900,000","324,200,000","134,300,000","151,600,000","144,600,000","130,700,000","151,300,000","158,900,000","153,200,000","148,900,000","171,500,000","134,600,000","143,200,000","131,700,000","153,200,000","146,500,000","141,500,000","127,400,000","150,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"761,000,000","189,000,000","191,000,000","191,000,000","190,000,000","187,000,000","183,000,000","179,200,000","173,900,000","170,100,000","171,200,000","170,500,000","166,200,000","156,800,000","155,900,000","151,200,000","147,400,000","145,600,000","147,700,000","140,700,000","133,400,000","128,000,000","130,000,000","127,100,000","128,800,000","126,500,000","124,900,000","126,900,000","126,700,000","125,000,000","122,700,000","119,900,000","121,600,000","118,800,000","117,000,000","116,000,000","118,700,000","-331,500,000","255,700,000","243,900,000","262,500,000","393,800,000","432,300,000","384,700,000","335,400,000","330,000,000","283,400,000","275,400,000","289,700,000","343,800,000","320,500,000","329,500,000","296,000,000","356,300,000","472,600,000","440,200,000","565,400,000","548,500,000","328,200,000","356,300,000","511,600,000","340,800,000","283,200,000","270,200,000","282,600,000","199,900,000","436,100,000","414,000,000","393,400,000","372,340,000","343,596,000","403,927,000","429,401,000","188,494,000","393,103,000","414,069,000","612,019,000","402,555,000","400,024,000","385,599,000","438,857,000","419,726,000","329,468,000","354,747,000","589,520,000","313,910,000","352,243,000","373,493,000","400,843,000","292,658,000","298,000,000","277,400,000","255,000,000","291,400,000","265,700,000","291,800,000","102,900,000","115,500,000","112,600,000","111,000,000","110,600,000","131,400,000","124,300,000","117,700,000","117,500,000","90,200,000","102,300,000","111,700,000","109,100,000","118,200,000","108,000,000","106,500,000","103,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"657,000,000","163,000,000","165,000,000","165,000,000","164,000,000","161,000,000","156,000,000","152,100,000","146,300,000","143,600,000","143,800,000","142,900,000","136,900,000","130,500,000","129,000,000","127,000,000","120,400,000","119,100,000","120,700,000","115,000,000","107,000,000","102,900,000","104,100,000","102,100,000","102,500,000","101,400,000","99,300,000","100,400,000","100,200,000","99,700,000","97,100,000","95,800,000","95,500,000","93,500,000","92,100,000","92,700,000","92,600,000","85,000,000","83,600,000","80,800,000","83,000,000","81,500,000","81,300,000","82,200,000","78,800,000","76,400,000","75,400,000","65,100,000","74,900,000","73,900,000","69,900,000","66,700,000","65,100,000","60,700,000","57,900,000","61,700,000","61,600,000","65,400,000","65,300,000","66,000,000","66,000,000","65,500,000","64,400,000","64,500,000","67,000,000","78,600,000","80,400,000","81,800,000","83,800,000","83,815,000","83,300,000","83,034,000","83,258,000","66,792,000","80,698,000","77,985,000","81,972,000","50,177,000","88,131,000","85,577,000","86,732,000","77,871,000","85,502,000","86,154,000","84,622,000","55,856,000","112,597,000","77,970,000","75,911,000","69,817,000","85,700,000","80,000,000","86,500,000","77,100,000","80,200,000","73,600,000","32,200,000","32,900,000","29,400,000","27,200,000","26,200,000","24,300,000","23,900,000","23,200,000","25,300,000","22,700,000","24,500,000","23,100,000","23,800,000","25,800,000","20,600,000","20,500,000","23,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"657,000,000","163,000,000","165,000,000","165,000,000","164,000,000","161,000,000","156,000,000","152,100,000","146,300,000","143,600,000","143,800,000","142,900,000","136,900,000","130,500,000","129,000,000","127,000,000","120,400,000","119,100,000","120,700,000","115,000,000","107,000,000","102,900,000","104,100,000","102,100,000","102,500,000","101,400,000","99,300,000","100,400,000","100,200,000","99,700,000","97,100,000","95,800,000","95,500,000","93,500,000","92,100,000","92,700,000","92,600,000","85,000,000",,,,,,,,"76,400,000","75,400,000","65,100,000","74,900,000","73,900,000","69,900,000","66,700,000","65,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherTaxes,"104,000,000","26,000,000","26,000,000","26,000,000","26,000,000","26,000,000","27,000,000","27,100,000","27,600,000","26,500,000","27,400,000","27,600,000","29,300,000","26,300,000","26,900,000","24,200,000","27,000,000","26,500,000","27,000,000","25,700,000","26,400,000","25,100,000","25,900,000","25,000,000","26,300,000","25,100,000","25,600,000","26,500,000","26,500,000","25,300,000","25,600,000","24,100,000","26,100,000","25,300,000","24,900,000","23,300,000","26,100,000","24,700,000","23,700,000","24,500,000","25,300,000","24,200,000","25,400,000","25,600,000","26,100,000","24,700,000","24,200,000","25,000,000","25,700,000","23,900,000","24,900,000","25,500,000","25,900,000","24,700,000","25,800,000","26,200,000","26,100,000","27,100,000","26,800,000","27,000,000","27,800,000","27,800,000","26,500,000","27,100,000","26,800,000","25,900,000","25,400,000","23,300,000","26,500,000","24,649,000","24,081,000","25,686,000","26,301,000","21,411,000","21,170,000","20,785,000","26,076,000","17,694,000","29,352,000","27,624,000","29,566,000","27,040,000","25,643,000","29,541,000","28,444,000","25,575,000","26,206,000","26,612,000","26,353,000","24,169,000","26,800,000","26,700,000","27,200,000","25,800,000","26,200,000","26,600,000","9,000,000","8,000,000","8,900,000","9,200,000","8,800,000","8,200,000","8,300,000","8,900,000","9,200,000","7,300,000","8,200,000","9,300,000","9,300,000","7,900,000","8,200,000","8,700,000","9,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"276,900,000",,"228,900,000","183,800,000","185,300,000","189,100,000","246,000,000","225,700,000","237,300,000","205,000,000","270,900,000","388,900,000","352,300,000","477,700,000","456,000,000","236,100,000","263,300,000","417,800,000","247,500,000","192,300,000","178,600,000","188,800,000","95,400,000","330,300,000","308,900,000","283,100,000","263,876,000","236,215,000","295,207,000","319,842,000","100,291,000","291,235,000","315,299,000","503,971,000","334,684,000","282,541,000","272,398,000","322,559,000","314,815,000","218,323,000","239,052,000","476,454,000","232,479,000","213,440,000","268,911,000","298,579,000","198,672,000","185,500,000","170,700,000","141,300,000","188,500,000","159,300,000","191,600,000","61,700,000","74,600,000","74,300,000","74,600,000","75,600,000","98,900,000","92,100,000","85,600,000","83,000,000","60,200,000","69,600,000","79,300,000","76,000,000","84,500,000","79,200,000","77,300,000","71,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"795,000,000","132,000,000","289,000,000","176,000,000","198,000,000","112,000,000","272,000,000","168,100,000","188,300,000","171,900,000","286,500,000","146,500,000","172,800,000","119,800,000","254,500,000","149,200,000","163,300,000","129,700,000","231,500,000","149,300,000","142,900,000","99,900,000","249,000,000","128,600,000","145,900,000","79,200,000","235,900,000","109,000,000","152,900,000","91,300,000","194,800,000","103,300,000","154,200,000","108,600,000","201,400,000","103,200,000","120,700,000","101,600,000","213,700,000","108,800,000","95,600,000","93,500,000","185,100,000","72,000,000","127,800,000","99,800,000","246,600,000","100,700,000","109,200,000","100,800,000","159,900,000","62,800,000","73,700,000","91,000,000","190,500,000","82,000,000","125,100,000","341,700,000","203,600,000","97,000,000","120,800,000","105,300,000","170,500,000","97,900,000","119,800,000","-47,100,000","130,300,000","-14,700,000","56,600,000","94,469,000","162,944,000","37,565,000","78,839,000","89,854,000","166,033,000","56,942,000","82,041,000","44,731,000","144,700,000","63,787,000","62,433,000","79,004,000","133,726,000","68,018,000","89,276,000","92,478,000","140,021,000","60,167,000","88,390,000","92,535,000","130,700,000","60,300,000","93,000,000","54,500,000","122,200,000","32,400,000","31,400,000","36,100,000","32,000,000","19,700,000","40,700,000","27,500,000","28,900,000","31,200,000","54,000,000","44,400,000","40,900,000","20,000,000","44,100,000","28,300,000","33,500,000","20,900,000","47,100,000","226,900,000","173,900,000","168,500,000","203,800,000","182,100,000","151,400,000","140,200,000","178,000,000","171,600,000","152,200,000","147,900,000","177,100,000","163,300,000","144,400,000","137,700,000","173,100,000","156,200,000","138,500,000","131,900,000","178,200,000","155,700,000","140,700,000","132,600,000","171,900,000","141,400,000","127,300,000","123,300,000","157,400,000","149,000,000","126,200,000","123,800,000","170,200,000","165,900,000","127,400,000"
