name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"16,523,902,000","4,226,604,000","4,304,465,000","4,145,179,000","3,847,654,000","3,456,237,000","3,177,080,000","2,791,864,000","2,503,625,000","2,583,501,000","2,165,746,000","2,361,147,000","2,439,048,000","2,522,673,000","2,330,691,000","3,125,928,000","2,892,115,000","2,580,815,000","2,478,140,000","2,344,907,000","2,153,995,000","1,882,299,000","1,632,419,000","1,546,261,000","1,314,055,000","1,425,534,000","1,600,043,000","1,481,370,000","1,393,333,000","1,232,241,000","1,152,368,000","1,248,797,000","1,227,392,000","1,116,061,000","1,015,059,000","986,214,000","844,928,000","860,886,000","906,888,000","741,814,000","658,961,000","583,981,000","680,436,000","752,018,000","809,087,000","870,714,000","805,874,000","695,289,000","632,763,000","487,176,000","318,548,000","217,764,000","174,412,000","283,409,000","440,361,000","566,160,000","613,810,000","610,320,000","684,621,000","678,519,000","650,270,000","633,400,000","604,387,000","525,596,000","437,423,000","358,245,000","320,907,000","353,767,000","349,337,000","379,800,000","419,549,000","329,572,000","231,128,000","191,508,000","183,738,000","186,086,000","187,059,000","184,569,000","197,520,000","180,256,000","164,105,000","259,173,000","339,580,000","171,891,000","421,525,000","494,332,000","432,041,000","374,216,000","326,349,000","288,620,000","241,582,000","210,885,000","152,976,000","141,895,000","142,199,000","230,586,000","240,018,000","292,056,000","289,926,000","262,687,000","215,602,000","241,356,000","282,759,000","369,793,000","342,335,000","284,195,000","257,747,000","244,909,000","219,000,000","172,700,000","161,500,000","146,200,000","125,800,000","113,900,000","100,900,000","82,800,000","69,200,000","59,400,000","49,100,000","44,400,000","40,100,000","41,700,000","39,400,000","36,700,000","34,800,000","33,100,000","33,400,000","29,200,000","34,900,000","35,700,000","37,400,000","34,200,000","33,600,000","31,800,000","26,400,000","24,400,000","17,800,000","11,800,000","10,500,000","8,200,000","7,100,000","5,700,000","4,600,000","8,000,000","9,500,000","8,900,000","8,000,000"
	OperatingRevenue,"16,523,902,000","4,226,604,000","4,304,465,000","4,145,179,000","3,847,654,000","3,456,237,000","3,177,080,000","2,791,864,000","2,503,625,000","2,583,501,000","2,165,746,000","2,361,147,000","2,439,048,000","2,522,673,000","2,330,691,000","3,125,928,000","2,892,115,000","2,580,815,000","2,478,140,000","2,344,907,000","2,153,995,000","1,882,299,000","1,632,419,000","1,546,261,000","1,314,055,000","1,425,534,000","1,600,043,000","1,481,370,000","1,393,333,000","1,232,241,000","1,152,368,000","1,248,797,000","1,227,392,000","1,116,061,000","1,015,059,000","986,214,000","844,928,000","860,886,000","906,888,000","741,814,000","658,961,000","583,981,000","680,436,000","752,018,000","809,087,000","870,714,000","805,874,000","695,289,000","632,763,000","487,176,000","318,548,000","217,764,000","174,412,000","283,409,000","440,361,000","566,160,000","613,810,000","610,320,000","684,621,000","678,519,000","650,270,000","633,400,000","604,387,000","525,596,000","437,423,000","358,245,000","320,907,000","353,767,000","349,337,000","379,800,000","419,549,000","329,572,000","231,128,000","191,508,000","183,738,000","186,086,000","187,059,000","184,569,000","197,520,000","180,256,000","164,105,000","259,173,000","339,580,000","171,891,000","421,525,000","494,332,000","432,041,000","374,216,000","326,349,000","288,620,000","241,582,000","210,885,000","152,976,000","141,895,000","142,137,000","230,357,000","239,487,000","291,291,000","289,392,000","261,958,000","214,938,000","236,646,000","276,200,000","369,793,000","342,335,000","284,195,000","257,747,000","244,909,000","219,000,000","172,700,000","161,500,000","146,200,000","125,800,000","113,900,000","100,900,000","82,800,000","69,200,000","59,400,000","49,100,000","44,400,000","40,100,000","41,700,000","39,400,000","36,700,000","34,800,000","33,100,000","33,400,000","29,200,000","34,900,000","35,700,000","37,400,000","34,200,000","33,600,000","31,800,000","26,400,000","24,400,000","17,800,000","11,800,000","10,500,000","8,200,000","7,100,000","5,700,000","4,600,000","8,000,000","9,500,000","8,900,000","8,000,000"
CostOfRevenue,"8,873,900,000","2,248,688,000","2,327,711,000","2,229,978,000","2,067,523,000","1,852,442,000","1,670,901,000","1,511,532,000","1,336,618,000","1,403,857,000","1,184,036,000","1,280,256,000","1,364,711,000","1,377,640,000","1,272,493,000","1,646,520,000","1,561,401,000","1,375,248,000","1,328,797,000","1,275,946,000","1,182,591,000","1,035,502,000","916,222,000","847,477,000","742,790,000","799,024,000","877,680,000","839,832,000","792,731,000","695,584,000","646,829,000","691,761,000","696,594,000","628,272,000","583,201,000","572,287,000","505,096,000","545,472,000","573,002,000","443,601,000","391,814,000","349,155,000","396,553,000","413,564,000","435,068,000","463,281,000","428,548,000","378,199,000","339,892,000","263,972,000","181,778,000","150,007,000","137,897,000","182,057,000","257,251,000","331,510,000","326,602,000","302,659,000","340,734,000","335,790,000","324,025,000","310,484,000","291,223,000","251,445,000","217,769,000","180,735,000","164,828,000","177,908,000","174,767,000","180,898,000","204,788,000","170,369,000","125,015,000","104,293,000","105,220,000","108,962,000","111,838,000","112,079,000","118,526,000","160,293,000","109,118,000","193,745,000","213,869,000","117,574,000","248,541,000","263,411,000","232,795,000","205,234,000","182,212,000","162,944,000","140,771,000","129,071,000","98,674,000","94,803,000","92,043,000","138,135,000","152,476,000","178,960,000","176,940,000","164,414,000","204,160,000","153,232,000","167,653,000","201,298,000","178,669,000","148,507,000","134,707,000","148,618,000","106,400,000","84,000,000","79,800,000","73,700,000","65,700,000","58,000,000","49,800,000","40,600,000","33,000,000","30,600,000","23,100,000","19,300,000","17,800,000","20,500,000","19,300,000","17,700,000","17,200,000","17,900,000","18,000,000","14,100,000","18,200,000","18,300,000","19,700,000",,,,,,,,,,,,,,,,
GrossProfit,"7,650,002,000","1,977,916,000","1,976,754,000","1,915,201,000","1,780,131,000","1,603,795,000","1,506,179,000","1,280,332,000","1,167,007,000","1,179,644,000","981,710,000","1,080,891,000","1,074,337,000","1,145,033,000","1,058,198,000","1,479,408,000","1,330,714,000","1,205,567,000","1,149,343,000","1,068,961,000","971,404,000","846,797,000","716,197,000","698,784,000","571,265,000","626,510,000","722,363,000","641,538,000","600,602,000","536,657,000","505,539,000","557,036,000","530,798,000","487,789,000","431,858,000","413,927,000","339,832,000","315,414,000","333,886,000","298,213,000","267,147,000","234,826,000","283,883,000","338,454,000","374,019,000","407,433,000","377,326,000","317,090,000","292,871,000","223,204,000","136,770,000","67,757,000","36,515,000","101,352,000","183,110,000","234,650,000","287,208,000","307,661,000","343,887,000","342,729,000","326,245,000","322,916,000","313,164,000","274,151,000","219,654,000","177,510,000","156,079,000","175,859,000","174,570,000","198,902,000","214,761,000","159,203,000","106,113,000","87,215,000","78,518,000","77,124,000","75,221,000","72,490,000","78,994,000","19,963,000","54,987,000","65,428,000","125,711,000","54,317,000","172,984,000","230,921,000","199,246,000","168,982,000","144,137,000","125,676,000","100,811,000","81,814,000","54,302,000","47,092,000","50,156,000","92,451,000","87,542,000","113,096,000","112,986,000","98,273,000","11,442,000","88,124,000","115,106,000","168,495,000","163,666,000","135,688,000","123,040,000","96,291,000","112,600,000","88,700,000","81,700,000","72,500,000","60,100,000","55,900,000","51,100,000","42,200,000","36,200,000","28,800,000","26,000,000","25,100,000","22,300,000","21,200,000","20,100,000","19,000,000","17,600,000","15,200,000","15,400,000","15,100,000","16,700,000","17,400,000","17,700,000",,,,,,,,,,,,,,,,
OperatingExpense,"2,428,395,000","639,777,000","604,521,000","599,274,000","584,823,000","594,071,000","545,115,000","524,610,000","472,893,000","493,133,000","444,255,000","463,806,000","508,820,000","454,654,000","466,447,000","524,213,000","503,203,000","468,196,000","456,121,000","461,022,000","432,986,000","406,969,000","400,250,000","389,543,000","380,512,000","387,676,000","386,935,000","371,059,000","360,637,000","347,916,000","337,241,000","341,186,000","338,861,000","323,315,000","326,450,000","326,637,000","329,013,000","310,351,000","317,174,000","265,543,000","209,029,000","187,280,000","182,759,000","179,521,000","177,023,000","166,329,000","158,495,000","148,071,000","143,778,000","125,937,000","105,425,000","120,368,000","129,595,000","128,623,000","150,623,000","164,356,000","198,851,000","146,327,000","146,001,000","158,214,000","137,272,000","128,411,000","118,331,000","114,745,000","109,386,000","100,601,000","96,397,000","93,328,000","81,744,000","90,332,000","93,485,000","90,672,000","80,132,000","73,219,000","72,519,000","74,892,000","72,226,000","71,454,000","74,741,000","83,623,000","77,401,000","93,258,000","86,795,000","97,865,000","113,958,000","120,883,000","109,472,000","100,568,000","87,877,000","78,284,000","73,764,000","70,747,000","68,926,000","71,570,000","76,950,000","84,273,000","76,840,000","107,929,000","107,381,000","100,833,000","91,941,000","84,532,000","90,407,000","108,663,000","105,911,000","85,310,000","78,070,000","62,699,000","77,100,000","61,800,000","59,300,000","57,100,000","47,000,000","44,400,000","37,700,000","34,300,000","29,500,000","24,200,000","21,600,000","22,300,000","19,600,000","19,300,000","18,100,000","17,500,000","16,900,000","15,100,000","14,300,000","33,500,000","15,500,000","14,900,000","15,100,000",,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"879,555,000","236,133,000","222,194,000","217,525,000","203,703,000","218,899,000","189,748,000","185,800,000","164,979,000","174,272,000","157,428,000","168,228,000","190,306,000","169,098,000","174,775,000","196,500,000","197,791,000","186,885,000","181,043,000","175,310,000","167,000,000","160,165,000","165,010,000","152,288,000","159,018,000","166,922,000","152,726,000","149,384,000","142,772,000","151,148,000","148,307,000","155,737,000","152,883,000","148,838,000","155,883,000","146,417,000","154,807,000","144,400,000","153,863,000","141,015,000","95,581,000","83,256,000","80,200,000","79,938,000","80,143,000","75,852,000","72,142,000","28,189,000","61,933,000","43,766,000","34,226,000","51,895,000","58,515,000","59,842,000","69,060,000","33,920,000","118,275,000","66,084,000","69,713,000","62,779,000","62,208,000","59,351,000","56,708,000","53,921,000","48,303,000","44,859,000","45,155,000","43,854,000","34,518,000","43,275,000","43,127,000","40,711,000","37,218,000","34,141,000","33,993,000","34,501,000","33,245,000","31,715,000","33,359,000","34,322,000","36,849,000","43,524,000","47,165,000","48,650,000","55,167,000","62,161,000","52,941,000","47,702,000","41,147,000","38,000,000","34,500,000","33,109,000","33,175,000","37,578,000","41,836,000","47,704,000","47,537,000","53,455,000","53,204,000","54,425,000","48,096,000","45,686,000","48,882,000","64,239,000","63,354,000","52,578,000","47,584,000","46,707,000","39,600,000","30,100,000","29,100,000","27,500,000","23,500,000","40,600,000","33,800,000","30,400,000","26,300,000","21,400,000","18,900,000","19,900,000","17,500,000","17,300,000","16,300,000","16,800,000","15,600,000","13,800,000","13,000,000","14,200,000","14,400,000","13,800,000","14,000,000",,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52,119,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			InsuranceAndClaims,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52,119,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"1,548,840,000","403,644,000","382,327,000","381,749,000","381,120,000","375,172,000","355,367,000","338,810,000","307,914,000","318,861,000","286,827,000","295,578,000","318,514,000","285,556,000","291,672,000","327,713,000","305,412,000","281,311,000","275,078,000","285,712,000","265,986,000","246,804,000","235,240,000","237,255,000","221,494,000","220,754,000","234,209,000","221,675,000","217,865,000","196,768,000","188,934,000","185,449,000","185,978,000","174,477,000","170,567,000","180,220,000","174,206,000","165,951,000","163,311,000","124,528,000","113,448,000","104,024,000","102,559,000","99,583,000","96,880,000","90,477,000","86,353,000","85,644,000","81,845,000","82,171,000","71,199,000","67,491,000","70,434,000","68,781,000","81,563,000","86,652,000","80,576,000","80,243,000","76,288,000","79,601,000","75,064,000","69,060,000","61,623,000","60,824,000","61,083,000","55,742,000","51,242,000","49,474,000","47,226,000","47,057,000","50,358,000","49,961,000","42,914,000","39,078,000","38,526,000","40,391,000","38,981,000","39,739,000","41,382,000","41,701,000","40,552,000","49,734,000","47,230,000","53,204,000","58,791,000","58,722,000","56,531,000","51,466,000","45,881,000","40,284,000","39,264,000","37,638,000","35,751,000","33,992,000","35,114,000","48,949,000","48,856,000","54,474,000","54,177,000","46,408,000","43,845,000","38,846,000","41,525,000","51,115,000","46,861,000","39,054,000","35,983,000","43,740,000","31,900,000","26,800,000","25,300,000","22,200,000","19,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
