name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"15,790,000,000","5,051,000,000","4,679,000,000","4,008,000,000","2,052,000,000","2,013,000,000","1,793,000,000","1,008,000,000","4,234,000,000","5,730,000,000","5,639,000,000","5,909,000,000","5,149,000,000","5,704,000,000","5,575,000,000","5,742,000,000","4,944,000,000","5,274,000,000","5,271,000,000","5,744,000,000","4,883,000,000","5,075,000,000","5,139,000,000","5,384,000,000","4,826,000,000","4,977,000,000","5,318,000,000","5,111,000,000","4,414,000,000","4,628,000,000","4,800,000,000","5,011,000,000","4,166,000,000","4,428,000,000","4,545,000,000","4,643,000,000","4,084,000,000","4,173,000,000","4,309,000,000","4,616,000,000","3,991,000,000","4,108,000,000","4,311,000,000","4,136,000,000","3,103,000,000","3,114,000,000","3,192,000,000","3,168,000,000","2,630,000,000","2,712,000,000","2,666,000,000","2,616,000,000","2,357,000,000","2,734,000,000","2,891,000,000","2,869,000,000","2,530,000,000","2,492,000,000","2,588,000,000","2,583,000,000","2,198,000,000","2,276,000,000","2,342,000,000","2,449,000,000","2,019,000,000","1,988,000,000","1,989,000,000","1,944,000,000","1,663,000,000","1,655,000,000","1,674,000,000","1,716,000,000","1,484,000,000","1,517,000,000","1,553,000,000","1,515,000,000","1,351,000,000","1,400,539,000","1,391,191,000","1,472,798,000","1,257,243,000","1,237,647,000","1,335,125,000","1,553,785,000","1,428,617,000","1,467,404,000","1,478,834,000","1,460,675,000","1,242,647,000","1,204,387,000","1,235,200,000","1,220,500,000","1,075,600,000","1,047,680,000","1,094,900,000","1,078,800,000","942,600,000","975,521,000","997,200,000","956,900,000","887,100,000","831,870,000","891,500,000","910,300,000","772,500,000","748,551,000","765,000,000","738,200,000","621,000,000","626,133,000","685,300,000","661,100,000","619,400,000","768,100,000","554,400,000","520,500,000","453,800,000","447,200,000","447,300,000","416,800,000","373,900,000","350,900,000","355,300,000","324,700,000","282,800,000","301,600,000","316,400,000","308,200,000","260,600,000","255,700,000","266,400,000","263,600,000","229,400,000","225,800,000","239,100,000","216,900,000","178,600,000","180,700,000","200,700,000","205,300,000","178,400,000","181,100,000","207,600,000","193,900,000","173,300,000","178,700,000","199,500,000"
	OperatingRevenue,"14,253,000,000","4,605,000,000","4,274,000,000","3,619,000,000","1,755,000,000","1,705,000,000","1,495,000,000","742,000,000","3,884,000,000","5,357,000,000","5,272,000,000","5,531,000,000","4,787,000,000","5,363,000,000","5,237,000,000","5,402,000,000","4,627,000,000","4,783,000,000","4,787,000,000","5,277,000,000","4,466,000,000","4,665,000,000","4,711,000,000","4,950,000,000","4,440,000,000","4,598,000,000","4,760,000,000","4,898,000,000","4,222,000,000","4,456,000,000","4,609,000,000","4,796,000,000","3,973,000,000","4,238,000,000","4,347,000,000","4,423,000,000","3,877,000,000","3,338,000,000","4,309,000,000","4,616,000,000","3,991,000,000","4,108,000,000","4,311,000,000","4,136,000,000","3,103,000,000","3,114,000,000","3,192,000,000","3,168,000,000","2,630,000,000","2,712,000,000","2,666,000,000","2,616,000,000","2,357,000,000","2,734,000,000","2,891,000,000","2,869,000,000","2,530,000,000","2,492,000,000","2,588,000,000","2,583,000,000","2,198,000,000","2,276,000,000","2,342,000,000","2,449,000,000","2,019,000,000","1,988,000,000","1,989,000,000","1,944,000,000","1,663,000,000","1,655,000,000","1,674,000,000","1,716,000,000","1,484,000,000","1,517,000,000","1,553,000,000","1,515,000,000","1,351,000,000","1,400,539,000","1,391,191,000","1,472,798,000","1,257,243,000","1,237,647,000","1,335,125,000","1,553,785,000","1,428,617,000","1,467,404,000","1,478,834,000","1,460,675,000","1,242,647,000","1,204,400,000","1,235,200,000","1,220,500,000","1,075,600,000","1,047,700,000","1,094,900,000","1,078,800,000","942,600,000","975,600,000","997,200,000","956,900,000","887,100,000","831,800,000","891,500,000","910,300,000","772,500,000","748,600,000","765,000,000","738,200,000","621,000,000","626,100,000","685,300,000","661,100,000","619,400,000","768,100,000","554,400,000","520,500,000","453,800,000","447,200,000","447,300,000","416,800,000","373,900,000","350,900,000","355,300,000","324,700,000","282,800,000","301,600,000","316,400,000","308,200,000","260,600,000","255,700,000","266,400,000","263,600,000","229,400,000","225,800,000","239,100,000","216,900,000","178,600,000","180,700,000","200,700,000","205,300,000","178,400,000","181,100,000","207,600,000","193,900,000","173,300,000","178,700,000","199,500,000"
CostOfRevenue,"11,675,000,000","4,172,000,000","3,284,000,000","2,828,000,000","1,390,000,000","2,660,000,000","2,716,000,000","1,915,000,000","3,646,000,000","4,299,000,000","4,058,000,000","4,173,000,000","3,914,000,000","4,128,000,000","4,038,000,000","4,039,000,000","3,703,000,000","3,834,000,000","3,738,000,000","3,812,000,000","3,583,000,000","3,570,000,000","3,786,000,000","3,489,000,000","3,304,000,000","3,334,000,000","3,515,000,000","3,460,000,000","3,114,000,000","3,383,000,000","3,595,000,000","3,665,000,000","3,407,000,000","3,452,000,000","3,595,000,000","3,665,000,000","3,500,000,000","7,705,000,000","2,198,000,000","2,218,000,000","2,124,000,000","2,080,000,000","2,205,000,000","2,099,000,000","1,484,000,000","2,862,000,000","869,000,000","876,000,000","750,000,000","729,000,000","771,000,000","690,000,000","671,000,000","1,061,000,000","985,000,000","888,000,000","1,706,000,000","1,599,000,000","1,548,000,000","1,484,000,000","1,387,000,000","1,349,000,000","1,346,000,000","1,299,000,000","1,241,000,000","1,152,000,000","1,056,000,000","1,040,000,000","961,000,000","950,000,000","912,000,000","933,000,000","892,000,000","870,000,000","847,000,000","817,000,000","819,000,000","820,653,000","818,628,000","815,231,000","778,115,000","761,530,000","800,991,000","806,619,000","780,906,000","773,388,000","747,943,000","728,042,000","716,202,000","687,600,000","662,300,000","608,400,000","576,900,000","564,303,000","561,900,000","558,800,000","543,400,000","559,100,000","565,100,000","531,800,000","548,000,000","549,600,000","547,800,000","517,600,000","492,300,000","469,400,000","442,700,000","429,600,000","406,100,000","417,700,000","383,600,000","364,100,000","298,400,000","402,600,000","245,800,000","234,500,000","215,800,000","207,500,000","208,800,000","198,100,000","178,700,000","176,700,000","172,900,000","165,200,000","160,500,000","179,600,000","147,700,000","135,300,000","133,400,000","130,900,000","121,800,000","125,500,000","104,500,000",,,,,,,,,,,,,,
GrossProfit,"4,115,000,000","879,000,000","1,395,000,000","1,180,000,000","662,000,000","-647,000,000","-923,000,000","-907,000,000","588,000,000","1,431,000,000","1,581,000,000","1,736,000,000","1,235,000,000","1,576,000,000","1,537,000,000","1,703,000,000","1,241,000,000","1,440,000,000","1,533,000,000","1,932,000,000","1,300,000,000","1,505,000,000","1,353,000,000","1,895,000,000","1,522,000,000","1,643,000,000","1,803,000,000","1,651,000,000","1,300,000,000","1,245,000,000","1,205,000,000","1,346,000,000","759,000,000","976,000,000","950,000,000","978,000,000","584,000,000","-3,532,000,000","2,111,000,000","2,398,000,000","1,867,000,000","2,028,000,000","2,106,000,000","2,037,000,000","1,619,000,000","252,000,000","2,323,000,000","2,292,000,000","1,880,000,000","1,983,000,000","1,895,000,000","1,926,000,000","1,686,000,000","1,673,000,000","1,906,000,000","1,981,000,000","824,000,000","893,000,000","1,040,000,000","1,099,000,000","811,000,000","927,000,000","996,000,000","1,150,000,000","778,000,000","836,000,000","933,000,000","904,000,000","702,000,000","705,000,000","762,000,000","783,000,000","592,000,000","647,000,000","706,000,000","698,000,000","532,000,000","579,886,000","572,563,000","657,567,000","479,128,000","476,117,000","534,134,000","747,166,000","647,711,000","694,016,000","730,891,000","732,633,000","526,445,000","516,787,000","572,900,000","612,100,000","498,700,000","483,377,000","533,000,000","520,000,000","399,200,000","416,421,000","432,100,000","425,100,000","339,100,000","282,270,000","343,700,000","392,700,000","280,200,000","279,151,000","322,300,000","308,600,000","214,900,000","208,433,000","301,700,000","297,000,000","321,000,000","365,500,000","308,600,000","286,000,000","238,000,000","239,700,000","238,500,000","218,700,000","195,200,000","174,200,000","182,400,000","159,500,000","122,300,000","122,000,000","168,700,000","172,900,000","127,200,000","124,800,000","144,600,000","138,100,000","124,900,000",,,,,,,,,,,,,,
OperatingExpense,"2,394,000,000","684,000,000","662,000,000","586,000,000","463,000,000","521,000,000","488,000,000","220,000,000","698,000,000","766,000,000","762,000,000","768,000,000","730,000,000","756,000,000","739,000,000","731,000,000","625,000,000","667,000,000","699,000,000","682,000,000","642,000,000","660,000,000","658,000,000","619,000,000","578,000,000","610,000,000","572,000,000","563,000,000","497,000,000","577,000,000","568,000,000","533,000,000","526,000,000","571,000,000","532,000,000","519,000,000","501,000,000","-3,638,000,000","1,915,000,000","1,927,000,000","1,832,000,000","1,844,000,000","1,859,000,000","1,772,000,000","1,505,000,000","1,518,000,000","1,462,000,000","1,427,000,000","1,352,000,000","1,362,000,000","1,395,000,000","1,351,000,000","1,314,000,000","1,196,000,000","1,410,000,000","1,382,000,000","2,651,000,000","2,543,000,000","2,520,000,000","2,435,000,000","2,289,000,000","2,262,000,000","2,248,000,000","2,212,000,000","2,081,000,000","1,975,000,000","1,870,000,000","1,823,000,000","1,713,000,000","1,683,000,000","1,632,000,000","1,662,000,000","1,586,000,000","1,932,000,000","1,509,000,000","1,512,000,000","1,440,000,000","1,446,207,000","1,433,225,000","1,418,160,000","1,338,493,000","1,332,998,000","1,369,700,000","1,387,958,000","1,336,523,000","1,330,367,000","1,297,755,000","1,260,122,000","1,201,605,000","2,098,011,000","785,900,000","778,000,000","733,800,000","1,823,469,000","717,000,000","698,900,000","658,000,000","1,808,785,000","654,000,000","626,900,000","608,600,000","1,707,235,000","591,900,000","585,600,000","549,000,000","1,429,820,000","503,000,000","493,300,000","462,700,000","1,243,224,000","452,600,000","442,000,000","245,000,000","279,700,000","221,800,000","211,200,000","193,400,000","187,400,000","184,600,000","173,300,000","164,000,000","152,400,000","151,200,000","139,000,000","132,800,000","126,200,000","132,000,000","131,600,000","119,000,000","110,400,000","112,000,000","109,400,000","103,000,000",,,,,,,,,,,,,,
	SellingGeneralAndAdministration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,698,000,000","1,725,000,000","1,631,000,000","1,145,000,000","1,146,000,000","1,596,000,000","1,350,000,000","956,000,000","938,000,000","946,000,000","864,000,000","861,000,000","909,000,000","863,000,000","836,000,000","846,000,000","856,000,000","839,000,000","1,009,000,000","978,000,000","1,015,000,000","994,000,000","942,000,000","939,000,000","938,000,000","951,000,000","876,000,000","853,000,000","847,000,000","823,000,000","796,000,000","769,000,000","761,000,000","765,000,000","737,000,000","757,000,000","695,000,000","724,000,000","651,000,000","652,978,000","643,281,000","635,613,000","592,265,000","604,536,000","591,308,000","598,077,000","565,494,000","557,210,000","555,806,000","577,562,000","495,855,000","359,637,000","527,000,000","519,400,000","490,900,000","474,200,000","482,100,000","466,700,000","437,600,000","279,442,000","435,300,000","425,200,000","402,300,000","383,300,000","389,100,000","387,000,000","359,600,000","337,900,000","341,200,000","330,000,000","312,000,000","302,100,000","304,900,000","297,500,000","212,500,000","243,600,000","192,300,000","183,700,000","167,200,000","160,300,000","157,500,000","148,700,000","141,700,000","129,000,000","129,500,000","118,100,000","112,500,000","105,900,000","111,900,000","111,800,000","99,900,000","91,400,000","93,400,000","91,600,000","86,100,000",,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,698,000,000","1,725,000,000","1,631,000,000","1,145,000,000","1,146,000,000","1,596,000,000","1,350,000,000","956,000,000","938,000,000","946,000,000","864,000,000","861,000,000","909,000,000","863,000,000","836,000,000","846,000,000","856,000,000","839,000,000","1,009,000,000","978,000,000","1,015,000,000","994,000,000","942,000,000","939,000,000","938,000,000","951,000,000","876,000,000","853,000,000","847,000,000","823,000,000","796,000,000","769,000,000","761,000,000","765,000,000","739,000,000","769,000,000","706,000,000","737,000,000","663,000,000","665,937,000","655,732,000","650,739,000","606,398,000","623,732,000","614,548,000","628,161,000","595,988,000","596,468,000","597,331,000","618,872,000","533,071,000","397,537,000","566,200,000","559,600,000","530,000,000","511,900,000","522,200,000","508,200,000","476,000,000","319,042,000","475,200,000","465,800,000","439,400,000","417,700,000","426,200,000","424,600,000","391,400,000","368,900,000","372,800,000","361,200,000","341,500,000","336,300,000","343,400,000","337,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,189,000,000","1,222,000,000","1,141,000,000","1,145,000,000","1,146,000,000","1,125,000,000","954,000,000","956,000,000","938,000,000","946,000,000","864,000,000","861,000,000","909,000,000","863,000,000","836,000,000","846,000,000","856,000,000","839,000,000","-800,000,000","-800,000,000","-832,000,000","-814,000,000","-767,000,000","-779,000,000","-771,000,000","-786,000,000","-716,000,000","-702,000,000","-693,000,000","-667,000,000","-640,000,000","-620,000,000","-612,000,000","-622,000,000","-589,000,000","-567,000,000","-554,000,000","-587,000,000","-516,000,000","-519,477,000","-510,106,000","-501,252,000","-461,650,000","-472,068,000","-463,747,000","-473,042,000","-447,431,000","-443,177,000","-436,776,000","-422,247,000","-381,489,000","-367,100,000","-375,500,000","-368,600,000","-344,000,000","-331,500,000","-335,700,000","-320,500,000","-298,200,000","-295,000,000","-293,000,000","-282,600,000","-265,800,000","-249,500,000","-254,800,000","-258,100,000","-237,400,000","-223,600,000","-223,600,000","-217,300,000","-203,600,000","-192,400,000","-195,800,000","-189,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			RentAndLandingFees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"370,000,000","350,000,000","342,000,000",,"347,000,000","326,000,000","247,000,000",,"253,000,000","251,000,000","237,000,000","227,000,000","239,000,000","226,000,000","211,000,000","204,000,000","205,000,000","197,000,000","-209,000,000","-178,000,000","-183,000,000","-180,000,000","-175,000,000","-160,000,000","-167,000,000","-165,000,000","-160,000,000","-151,000,000","-154,000,000","-156,000,000","-156,000,000","-147,000,000","-149,000,000","-143,000,000","-148,000,000","-142,000,000","-141,000,000","-137,000,000","-135,000,000","-133,501,000","-133,175,000","-134,361,000","-130,615,000","-132,468,000","-127,561,000","-125,035,000","-118,063,000","-114,033,000","-119,030,000","-114,005,000","-114,366,000","-111,000,000","-112,300,000","-110,600,000","-107,800,000","-105,000,000","-106,300,000","-104,700,000","-101,000,000","-102,000,000","-102,400,000","-102,000,000","-99,400,000","-99,400,000","-97,200,000","-91,300,000","-90,400,000","-83,300,000","-86,000,000","-81,500,000","-78,900,000","-75,500,000","-70,600,000","-68,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"509,000,000","503,000,000","490,000,000",,"-347,000,000","471,000,000","396,000,000",,"-253,000,000","-251,000,000","-237,000,000","-227,000,000","-239,000,000","-226,000,000","-211,000,000","-204,000,000","-205,000,000","-197,000,000","2,018,000,000","1,956,000,000","2,030,000,000","1,988,000,000","1,884,000,000","1,878,000,000","1,876,000,000","1,902,000,000","1,752,000,000","1,706,000,000","1,694,000,000","1,646,000,000","1,592,000,000","1,536,000,000","1,522,000,000","1,530,000,000","1,476,000,000","1,478,000,000","1,401,000,000","1,461,000,000","1,314,000,000","1,318,915,000","1,299,013,000","1,286,352,000","1,198,663,000","1,228,268,000","1,205,856,000","1,226,238,000","1,161,482,000","1,153,678,000","1,153,137,000","1,155,124,000","1,028,926,000","875,637,000","1,054,000,000","1,038,800,000","981,800,000","948,400,000","964,200,000","933,400,000","875,200,000","716,042,000","870,600,000","850,400,000","804,600,000","766,600,000","778,200,000","774,000,000","719,200,000","675,800,000","682,400,000","660,000,000","624,000,000","604,200,000","609,800,000","595,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
