name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004
TotalRevenue,"4,234,000,000","1,008,000,000","857,000,000","1,173,000,000","1,196,000,000","1,146,000,000","586,000,000","98,000,000","1,782,000,000","3,509,000,000","3,250,000,000","3,334,000,000","3,646,000,000","3,475,000,000","3,372,000,000","3,303,000,000","3,579,000,000","3,436,000,000","3,199,000,000","3,141,000,000","3,106,000,000","3,075,137,000","2,968,542,000","2,650,081,000","2,716,240,000","2,861,735,000","2,893,683,000","2,921,421,000","3,011,622,000","3,415,993,000","3,533,122,000","3,624,350,000","4,010,384,000","3,655,685,000","3,568,540,000","3,242,941,000","3,302,719,000","3,077,002,000","2,709,482,000","2,581,906,000","2,762,742,000","2,544,355,000","2,409,375,000","2,345,096,000","2,111,919,000","2,015,046,000","1,908,772,000","1,594,476,000","1,334,888,000","1,284,199,000","1,141,144,000","1,058,700,000","1,079,062,000","1,093,375,000","1,105,434,000","1,112,114,000","1,079,023,000","1,048,473,000","660,950,000","612,926,000","628,218,000","636,260,000","553,228,000","517,007,000","530,364,000","500,675,000","437,622,000","398,821,000","403,794,000","347,577,000","343,636,000","266,657,000","239,186,000"
	OperatingRevenue,"4,234,000,000","1,008,000,000","857,000,000","1,173,000,000","1,196,000,000","1,146,000,000","586,000,000","98,000,000","1,782,000,000","3,509,000,000","3,250,000,000","3,334,000,000","3,646,000,000","3,475,000,000","3,372,000,000","3,303,000,000","3,579,000,000","3,662,000,000","3,408,000,000","3,337,000,000","3,314,000,000","3,297,096,000","3,180,713,000","2,823,645,000","2,894,546,000","3,042,077,000","3,080,839,000","3,091,971,000","3,199,463,000","3,628,325,000","3,748,958,000","3,827,024,000","4,221,481,000","3,872,816,000","3,759,126,000","3,404,573,000","3,457,921,000","3,230,881,000","2,851,925,000","2,713,053,000","2,888,810,000","2,544,355,000","2,409,375,000","2,345,096,000","2,111,919,000","2,015,046,000","1,908,772,000","1,594,476,000","1,334,888,000","1,284,199,000","1,141,144,000","1,058,700,000","1,079,062,000","1,093,375,000","1,105,434,000","1,112,114,000","1,079,023,000","1,048,473,000","660,950,000","612,926,000","628,218,000","636,260,000","553,228,000","517,007,000","530,364,000","500,675,000","437,622,000","398,821,000","403,794,000","347,577,000","343,636,000","266,657,000","239,186,000"
CostOfRevenue,"2,626,000,000","603,000,000","584,000,000","711,000,000","728,000,000","722,000,000","503,000,000","372,000,000","1,011,000,000","1,717,000,000","1,602,000,000","1,689,000,000","1,824,000,000","1,792,000,000","1,722,000,000","1,706,000,000","1,754,000,000","1,720,000,000","1,612,000,000","1,561,000,000","1,592,000,000","1,574,469,000","1,447,381,000","1,355,562,000","1,459,588,000","1,472,244,000","1,499,334,000","1,562,251,000","1,583,261,000","1,779,114,000","1,883,875,000","1,942,556,000","2,139,875,000","2,043,650,000","1,912,059,000","1,772,941,000","1,787,807,000","1,710,613,000","1,498,354,000","1,426,145,000","1,434,463,000","1,372,554,000","1,217,881,000","1,203,305,000","1,128,937,000","1,069,494,000","1,040,553,000","938,144,000","826,996,000","2,876,873,000","0","0","684,549,000","711,040,000","732,239,000","679,717,000","645,756,000","635,662,000","416,973,000","350,923,000","342,285,000","327,488,000","291,297,000","277,781,000","267,549,000","258,405,000","228,263,000","198,375,000","188,409,000",,,,
GrossProfit,"1,608,000,000","405,000,000","273,000,000","462,000,000","468,000,000","424,000,000","83,000,000","-274,000,000","771,000,000","1,792,000,000","1,648,000,000","1,645,000,000","1,822,000,000","1,683,000,000","1,650,000,000","1,597,000,000","1,825,000,000","1,716,000,000","1,587,000,000","1,580,000,000","1,514,000,000","1,500,668,000","1,521,161,000","1,294,519,000","1,256,652,000","1,389,491,000","1,394,349,000","1,359,170,000","1,428,361,000","1,636,879,000","1,649,247,000","1,681,794,000","1,870,509,000","1,612,035,000","1,656,481,000","1,470,000,000","1,514,912,000","1,366,389,000","1,211,128,000","1,155,761,000","1,328,279,000","1,171,801,000","1,191,494,000","1,141,791,000","982,982,000","945,552,000","868,219,000","656,332,000","507,892,000","-1,592,674,000","1,141,144,000","1,058,700,000","394,513,000","382,335,000","373,195,000","432,397,000","433,267,000","412,811,000","243,977,000","262,003,000","285,933,000","308,772,000","261,931,000","239,226,000","262,815,000","242,270,000","209,359,000","200,446,000","215,385,000",,,,
OperatingExpense,"2,270,000,000","534,000,000","585,000,000","590,000,000","561,000,000","623,000,000","635,000,000","643,000,000","711,000,000","786,000,000","738,000,000","751,000,000","844,000,000","773,000,000","724,000,000","695,000,000","662,000,000","696,000,000","710,000,000","761,000,000","748,000,000","768,001,000","795,963,000","765,402,000","671,634,000","670,868,000","654,571,000","667,302,000","701,923,000","612,425,000","677,025,000","716,738,000","726,159,000","724,239,000","738,916,000","684,597,000","686,277,000","693,373,000","676,879,000","656,770,000","577,239,000","508,519,000","558,938,000","526,226,000","497,055,000","456,866,000","468,857,000","489,557,000","366,072,000","-1,654,911,000","1,078,762,000","1,078,870,000","358,234,000","416,714,000","345,000,000","359,115,000","336,702,000","279,246,000","264,771,000","175,770,000","154,927,000","142,448,000","128,453,000","113,811,000","113,935,000","100,782,000","100,875,000","86,303,000","90,049,000","-283,640,000","392,047,000","228,430,000","156,890,000"
	SellingGeneralAndAdministration,"1,042,000,000","206,000,000","287,000,000","275,000,000","274,000,000","272,000,000","296,000,000","315,000,000","378,000,000","444,000,000","423,000,000","427,000,000","521,000,000","462,000,000","421,000,000","401,000,000","401,000,000","403,000,000","409,000,000","397,000,000","380,000,000","401,200,000","369,222,000","423,750,000","345,828,000","362,111,000","351,605,000","360,167,000","369,701,000","288,847,000","384,205,000","372,655,000","387,176,000","398,906,000","419,333,000","354,350,000","346,686,000","225,411,000","363,321,000","361,102,000","319,131,000","246,303,000","320,669,000","294,149,000","270,688,000","249,137,000","241,455,000","261,797,000","195,892,000","230,269,000","180,254,000","237,814,000","197,590,000","235,028,000","211,655,000","233,652,000","212,276,000","194,854,000","206,554,000","138,728,000","121,171,000","130,146,000","95,359,000","81,066,000","78,681,000","74,356,000","72,631,000","65,364,000","68,921,000","231,574,000","45,040,000","39,799,000","36,393,000"
		GeneralAndAdministrativeExpense,"1,042,000,000","206,000,000","287,000,000","275,000,000","274,000,000","272,000,000","296,000,000","315,000,000","378,000,000","444,000,000","423,000,000","427,000,000","521,000,000","462,000,000","421,000,000","401,000,000","401,000,000","403,000,000","409,000,000","397,000,000","380,000,000","401,200,000","369,222,000","423,750,000","345,828,000","362,111,000","351,605,000","360,167,000","369,701,000","288,847,000","384,205,000","372,655,000","387,176,000","398,906,000","419,333,000","354,350,000","346,686,000","2,126,762,000",,,,"246,303,000","320,669,000","294,149,000","270,688,000","249,137,000","241,455,000","261,797,000","195,892,000","230,269,000","180,254,000","237,814,000","197,590,000",,,,,,,,,,,,,,,,,,,,
			RentAndLandingFees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,033,000","10,143,000","10,034,000","13,156,000","10,612,000","9,186,000","12,806,000","8,698,000","7,402,000","6,691,000","7,877,000","7,929,000",,,,,,,,,,,,,,,,,,,,
			OtherGandA,"1,042,000,000","206,000,000","287,000,000","275,000,000","274,000,000","272,000,000","296,000,000","315,000,000","378,000,000","444,000,000","423,000,000","427,000,000","521,000,000","462,000,000","421,000,000","401,000,000","401,000,000","403,000,000","409,000,000","397,000,000","380,000,000","401,200,000","369,222,000","423,750,000","345,828,000","362,111,000","351,605,000","360,167,000","369,701,000","288,847,000","384,205,000","372,655,000","387,176,000","398,906,000","419,333,000","354,350,000","346,686,000","2,126,762,000",,,,"236,270,000","310,526,000","284,115,000","257,532,000","238,525,000","232,269,000","248,991,000","187,194,000","222,867,000","173,563,000","229,937,000","189,661,000",,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"109,000,000","50,000,000","13,000,000","37,000,000","9,000,000","0","3,000,000","9,000,000","6,000,000","11,000,000","4,000,000","4,000,000","5,000,000","3,000,000","4,000,000","2,000,000","3,000,000","5,000,000","3,000,000","2,000,000","3,000,000","2,242,000","2,371,000","2,010,000","2,377,000","3,344,000","3,147,000","2,348,000","1,533,000","5,373,000","3,043,000","4,217,000","1,692,000","969,000","3,487,000","6,002,000","5,351,000","7,762,000","4,201,000","6,797,000","1,198,000","5,008,000","3,308,000","2,420,000","573,000","525,000","425,000","676,000","157,000","189,000","80,000","10,000","254,000","1,285,000","1,153,000","4,459,000","5,892,000","2,501,000","3,621,000","1,260,000","2,346,000",,"5,968,000","7,861,000","9,168,000",,,,,,"4,567,000","2,226,000","536,000"
	DepreciationAmortizationDepletionIncomeStatement,"1,097,000,000","280,000,000","276,000,000","272,000,000","269,000,000","307,000,000","306,000,000","298,000,000","304,000,000","305,000,000","298,000,000","303,000,000","310,000,000","298,000,000","292,000,000","283,000,000","273,000,000","267,000,000","274,000,000","336,000,000","331,000,000","327,879,000","287,479,000","264,219,000","269,423,000","258,292,000","257,435,000","258,077,000","263,760,000","265,970,000","261,088,000","274,056,000","271,073,000","264,993,000","258,947,000","261,156,000","262,724,000","290,486,000","226,538,000","220,440,000","194,747,000","197,935,000","200,071,000","206,161,000","190,237,000","184,450,000","186,738,000","170,694,000","153,089,000","154,482,000","148,677,000","143,633,000","139,249,000","142,233,000","132,239,000","119,101,000","113,413,000","81,295,000","54,309,000","35,721,000","31,232,000","34,595,000","26,743,000","24,428,000","25,005,000","26,512,000","27,722,000","21,097,000","19,965,000","17,703,000","19,346,000","16,856,000","15,527,000"
		DepreciationAndAmortizationInIncomeStatement,"1,097,000,000","280,000,000","276,000,000","272,000,000","269,000,000","307,000,000","306,000,000","298,000,000","304,000,000","305,000,000","298,000,000","303,000,000","310,000,000","298,000,000","292,000,000","283,000,000","273,000,000","267,000,000","274,000,000","336,000,000","331,000,000","327,879,000","287,479,000","264,219,000","269,423,000","258,292,000","257,435,000","258,077,000","263,760,000","265,970,000","261,088,000","274,056,000","271,073,000","264,993,000","258,947,000","261,156,000","262,724,000","290,486,000","226,538,000","220,440,000","194,747,000","197,935,000","200,071,000","206,161,000","190,237,000","184,450,000","186,738,000","170,694,000","153,089,000","154,482,000","148,677,000","143,633,000","139,249,000","142,233,000","132,239,000","119,101,000","113,413,000","81,295,000","54,309,000","35,721,000","31,232,000","34,595,000","26,743,000","24,428,000","25,005,000","26,512,000","27,722,000","21,097,000","19,965,000","17,703,000","19,346,000","16,856,000","15,527,000"
			DepreciationIncomeStatement,"1,097,000,000","280,000,000","276,000,000","272,000,000","269,000,000","307,000,000","306,000,000","298,000,000","304,000,000","305,000,000","298,000,000","303,000,000","310,000,000","298,000,000","292,000,000","283,000,000","273,000,000","267,000,000","274,000,000","336,000,000","331,000,000","327,879,000","287,479,000","264,219,000","269,423,000","258,292,000","257,435,000","258,077,000","263,760,000","265,970,000","261,088,000","274,056,000","271,073,000","264,993,000","258,947,000","261,156,000","262,724,000","260,470,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ProvisionForDoubtfulAccounts,"3,000,000","-6,000,000","3,000,000","2,000,000","4,000,000","39,000,000","25,000,000","17,000,000","18,000,000","15,000,000","4,000,000","7,000,000","4,000,000","9,000,000","5,000,000","7,000,000","-16,000,000","19,000,000","23,000,000","22,000,000","32,000,000","34,380,000","51,030,000","42,193,000","45,397,000","29,472,000","32,757,000","36,056,000","57,350,000","44,032,000","31,103,000","49,669,000","61,918,000","55,678,000","55,371,000","62,058,000","64,679,000","55,935,000","72,805,000","58,374,000","52,218,000","57,949,000","33,953,000","23,496,000","35,058,000","24,776,000","37,833,000","18,711,000","16,442,000","32,813,000","29,272,000","20,707,000","21,010,000",,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,"19,000,000","4,000,000","6,000,000","4,000,000","5,000,000","5,000,000","5,000,000","4,000,000","5,000,000","11,000,000","9,000,000","10,000,000","4,000,000","1,000,000","2,000,000","2,000,000","1,000,000","2,000,000","1,000,000","4,000,000","2,000,000","2,300,000","85,861,000","33,230,000","8,609,000","17,649,000","9,627,000","10,654,000","9,579,000","8,203,000","-2,414,000","16,141,000","4,300,000","3,693,000","1,778,000","1,031,000","6,837,000","113,779,000","10,014,000","10,057,000","9,945,000","1,324,000","937,000","7,443,000","499,000","-2,022,000","2,406,000","37,679,000","492,000","-2,072,664,000","720,479,000","676,706,000","131,000","38,168,000","-47,000","1,903,000","5,121,000","596,000","287,000","61,000","178,000","704,000","383,000","456,000","1,081,000","-86,000","522,000","-158,000","1,163,000","-525,588,000","323,094,000","169,549,000","104,434,000"
OperatingIncome,"-662,000,000","-129,000,000","-312,000,000","-128,000,000","-93,000,000","-199,000,000","-552,000,000","-917,000,000","60,000,000","1,006,000,000","910,000,000","894,000,000","978,000,000","910,000,000","926,000,000","902,000,000","1,163,000,000","1,020,000,000","877,000,000","819,000,000","766,000,000","732,667,000","725,198,000","529,117,000","585,018,000","718,623,000","739,778,000","691,868,000","726,438,000","1,024,454,000","972,222,000","965,056,000","1,144,350,000","887,796,000","917,565,000","785,403,000","828,635,000","673,016,000","534,249,000","498,991,000","751,040,000","663,282,000","632,556,000","615,565,000","485,927,000","488,686,000","399,362,000","166,775,000","141,820,000","62,237,000","62,382,000","-20,170,000","36,279,000","-34,379,000","28,195,000","73,282,000","96,565,000","133,565,000","-20,794,000","86,233,000","131,006,000","166,324,000","133,478,000","125,415,000","148,880,000","141,488,000","108,484,000","114,143,000","125,336,000","89,496,000","-48,411,000","38,227,000","82,296,000"
NetNonOperatingInterestIncomeExpense,"-617,000,000","-151,000,000","-156,000,000","-157,000,000","-153,000,000","-149,000,000","-134,000,000","-114,000,000","-118,000,000","-117,000,000","-117,000,000","-126,000,000","-121,000,000","-115,000,000","-104,000,000","-84,000,000","-84,000,000","-82,000,000","-79,000,000","-75,000,000","-75,000,000","-72,454,000","-62,890,000","-62,035,000","-66,621,000","-63,715,000","-64,804,000","-61,739,000","-59,877,000","-58,152,000","-61,170,000","-63,893,000","-65,323,000","-61,597,000","-63,098,000","-65,140,000","-65,039,000","-60,531,000","-58,116,000","-57,641,000","-59,024,000","-62,061,000","-68,392,000","-66,564,000","-71,538,000","-72,358,000","-74,062,000","-74,914,000","-76,532,000","-96,085,000","-86,915,000","-62,179,000","-65,569,000",,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"4,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","3,000,000","4,000,000","13,000,000","17,000,000","20,000,000","17,000,000","20,000,000","23,000,000","22,000,000","9,000,000","5,000,000","5,000,000","4,000,000","4,000,000","3,000,000","3,672,000","2,299,000","2,002,000","2,027,000","2,487,000","2,158,000","4,062,000","6,378,000","8,534,000","5,609,000","5,697,000","5,803,000","5,489,000","3,819,000","3,236,000","3,793,000","6,536,000","4,176,000","6,892,000","5,648,000","5,950,000","2,369,000","4,028,000","2,047,000","2,580,000","2,661,000","2,073,000","1,633,000","1,282,000","1,599,000","2,692,000","5,549,000",,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"621,000,000","152,000,000","157,000,000","158,000,000","154,000,000","150,000,000","137,000,000","118,000,000","131,000,000","134,000,000","137,000,000","143,000,000","141,000,000","138,000,000","126,000,000","93,000,000","89,000,000","87,000,000","83,000,000","79,000,000","78,000,000","76,126,000","65,189,000","64,037,000","68,648,000","66,202,000","66,962,000","65,801,000","66,255,000","66,686,000","66,779,000","69,590,000","71,126,000","67,086,000","66,917,000","68,376,000","68,832,000","67,067,000","62,292,000","64,533,000","64,672,000","68,011,000","70,761,000","70,592,000","73,585,000","74,938,000","76,723,000","76,987,000","78,165,000","97,367,000","88,514,000","64,871,000","71,118,000",,,,,,,,,,,,,,,,,,,,
