name,ttm,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,11/30/2016,08/31/2016,05/31/2016,02/29/2016,11/30/2015,08/31/2015,05/31/2015
TotalRevenue,"3,953,300,000","955,000,000","1,006,600,000","984,200,000","1,007,500,000","895,800,000","896,100,000","871,500,000","846,900,000","937,300,000","1,019,200,000","989,000,000","1,003,400,000","926,800,000","911,400,000","914,900,000","918,200,000","863,400,000","824,600,000","817,500,000","832,500,000","768,500,000","790,700,000","776,300,000","777,000,000","728,700,000","740,300,000","747,800,000","820,300,000"
	OperatingRevenue,"3,953,300,000","955,000,000","1,006,600,000","984,200,000","1,007,500,000","895,800,000","896,100,000","871,500,000","846,900,000","937,300,000","1,019,200,000","989,000,000","1,003,400,000","926,800,000","911,400,000","914,900,000","918,200,000","863,400,000","824,600,000","817,500,000","832,500,000","768,500,000","790,700,000","776,300,000","777,000,000","728,700,000","740,300,000","747,800,000","820,300,000"
CostOfRevenue,"3,177,500,000","734,000,000","801,100,000","832,900,000","809,500,000","699,100,000","672,600,000","657,700,000","735,800,000","686,900,000","734,100,000","740,400,000","752,900,000","653,400,000","662,400,000","684,300,000","688,500,000","619,500,000","615,400,000","620,800,000","632,500,000","561,500,000","591,800,000","595,700,000","594,600,000","546,800,000","578,500,000","606,500,000","648,700,000"
GrossProfit,"775,800,000","221,000,000","205,500,000","151,300,000","198,000,000","196,700,000","223,500,000","213,800,000","111,100,000","250,400,000","285,100,000","248,600,000","250,500,000","273,400,000","249,000,000","230,600,000","229,700,000","243,900,000","209,200,000","196,700,000","200,000,000","207,000,000","198,900,000","180,600,000","182,400,000","181,900,000","161,800,000","141,300,000","171,600,000"
OperatingExpense,"368,500,000","87,200,000","91,100,000","91,100,000","99,100,000","96,100,000","83,900,000","78,100,000","80,200,000","87,900,000","91,600,000","78,600,000","102,500,000","79,600,000","75,000,000","78,000,000","96,200,000","74,700,000","69,400,000","59,100,000","77,400,000","61,800,000","73,400,000","55,600,000","130,500,000","54,600,000","52,300,000","56,700,000","57,900,000"
	SellingGeneralAndAdministration,"368,500,000","87,200,000","91,100,000","91,100,000","99,100,000","96,100,000","83,900,000","78,100,000","80,200,000","87,900,000","91,600,000","78,600,000","102,500,000","79,600,000","75,000,000","78,000,000","96,200,000","74,700,000","69,400,000","59,100,000","77,400,000","61,800,000","73,400,000","55,600,000","130,500,000","54,600,000","52,300,000","56,700,000","57,900,000"
OperatingIncome,"407,300,000","133,800,000","114,400,000","60,200,000","98,900,000","100,600,000","139,600,000","135,700,000","30,900,000","162,500,000","193,500,000","170,000,000","148,000,000","193,800,000","174,000,000","152,600,000","133,500,000","169,200,000","139,800,000","137,600,000","122,600,000","145,200,000","125,500,000","125,000,000","51,900,000","127,300,000","109,500,000","84,600,000","113,700,000"
NetNonOperatingInterestIncomeExpense,"-164,800,000","-25,800,000","-82,400,000","-27,900,000","-28,700,000","-29,300,000","-30,000,000","-30,300,000","-29,200,000","-25,200,000","-25,400,000","-28,200,000","-27,100,000","-27,000,000","-26,200,000","-26,800,000","-27,700,000","-28,500,000","-27,400,000","-25,200,000","-26,700,000","-26,300,000","-6,800,000","-1,500,000","-1,600,000","-1,500,000","-1,500,000","-1,300,000","-1,500,000"
	InterestIncomeNonOperating,,,,,,,,,,,,,,,,,,,,,,,,"100,000","100,000",,,"100,000",
	InterestExpenseNonOperating,"164,800,000","25,800,000","82,400,000","27,900,000","28,700,000","29,300,000","30,000,000","30,300,000","29,200,000","25,200,000","25,400,000","28,200,000","27,100,000","27,000,000","26,200,000","26,800,000","27,700,000","28,500,000","27,400,000","25,200,000","26,700,000","26,300,000","6,800,000","1,600,000","1,700,000","1,500,000","1,500,000","1,400,000","1,300,000"
