name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"13,742,000,000","3,571,000,000","3,282,000,000","3,314,000,000","3,622,000,000","4,819,000,000","3,394,000,000","3,521,000,000","3,099,000,000","3,876,000,000","3,675,000,000","3,623,000,000","3,757,000,000","3,287,000,000","3,608,000,000","3,590,000,000","3,581,000,000","3,555,000,000","3,521,000,000","3,359,000,000","3,300,000,000","3,338,000,000","3,287,000,000","3,307,000,000","3,173,000,000","3,333,000,000","3,169,000,000","3,435,000,000","3,478,000,000","3,521,000,000","3,523,000,000","3,593,000,000","3,743,000,000","3,890,000,000","3,704,000,000","3,725,000,000","3,734,000,000","3,705,000,000","3,715,000,000","3,388,000,000","3,744,000,000","3,479,000,000","3,438,000,000","3,542,000,000","3,668,000,000","3,715,000,000","3,701,000,000","3,486,000,000","3,713,000,000","3,822,000,000","3,738,000,000","3,534,000,000","3,023,000,000","2,743,000,000","2,970,000,000","3,922,000,000","4,543,000,000","4,429,700,000","4,653,300,000","4,637,300,000","4,659,700,000","4,882,000,000","4,507,200,000","4,277,300,000","4,244,500,000","4,108,000,000","4,137,900,000","4,030,700,000","3,741,200,000","4,051,200,000","3,785,400,000","3,914,500,000","3,491,200,000","4,335,700,000","3,940,000,000","4,250,300,000","3,949,200,000","3,982,900,000","4,077,500,000","4,648,600,000","4,786,400,000","5,153,800,000","4,840,900,000","4,318,500,000","5,104,000,000","5,555,700,000","5,776,400,000","5,331,900,000","4,673,800,000","4,859,200,000","5,430,500,000","5,648,600,000","5,559,100,000","5,056,500,000","5,951,900,000","5,404,800,000","4,795,100,000","5,339,200,000","5,111,400,000","4,749,100,000","4,939,100,000","5,137,000,000","5,216,300,000","5,044,600,000","5,044,500,000","5,495,200,000","4,959,600,000","4,519,400,000","3,703,200,000","3,371,401,000","3,545,300,000","3,393,400,000","3,205,100,000","3,350,700,000","3,416,800,000","3,375,100,000","3,543,100,000","3,433,500,000","3,419,000,000","3,442,600,000","3,396,900,000","3,597,400,000","3,360,600,000","3,450,500,000","3,211,800,000","3,276,500,000","3,285,500,000","3,091,200,000","2,983,700,000","3,032,700,000","2,795,100,000","2,987,200,000","2,621,700,000","2,960,200,000","2,615,700,000","2,792,500,000","2,496,900,000","2,583,700,000","2,230,000,000","2,406,000,000","2,109,800,000","2,332,500,000","2,093,500,000","2,200,000,000","2,000,000,000","1,441,200,000","1,693,200,000"
	OperatingRevenue,"13,742,000,000","3,571,000,000","3,282,000,000","3,314,000,000","3,622,000,000","4,819,000,000","3,394,000,000","3,521,000,000","3,099,000,000","3,876,000,000","3,675,000,000","3,623,000,000","3,757,000,000","3,287,000,000","3,608,000,000","3,590,000,000","3,581,000,000","3,555,000,000","3,521,000,000","3,359,000,000","3,300,000,000","3,338,000,000","3,287,000,000","3,307,000,000","3,173,000,000","3,333,000,000","3,169,000,000","3,435,000,000","3,478,000,000","3,521,000,000","3,523,000,000","3,593,000,000","3,743,000,000","3,890,000,000","3,704,000,000","3,725,000,000","3,734,000,000","3,705,000,000","3,715,000,000","3,388,000,000","3,744,000,000","3,479,000,000","3,438,000,000","3,542,000,000","3,668,000,000","3,715,000,000","3,701,000,000","3,486,000,000","3,713,000,000","3,822,000,000","3,738,000,000","3,534,000,000","3,023,000,000","2,743,000,000","2,970,000,000","3,922,000,000","4,543,000,000","4,429,700,000","4,653,300,000","4,637,300,000","4,659,700,000","4,882,000,000","4,507,200,000","4,277,300,000","4,244,500,000","4,108,000,000","4,137,900,000","4,030,700,000","3,741,200,000","4,051,200,000","3,785,400,000","3,914,500,000","3,491,200,000","4,335,700,000","3,940,000,000","4,250,300,000","3,949,200,000","3,982,900,000","4,077,500,000","4,648,600,000","4,786,400,000","5,153,800,000","4,840,900,000","4,318,500,000","5,104,000,000","5,555,700,000","5,776,400,000","5,331,900,000","4,673,800,000","4,859,200,000","5,430,500,000","5,648,600,000","5,559,100,000","5,056,500,000","5,951,900,000","5,404,800,000","4,795,100,000","5,339,200,000","5,111,400,000","4,749,100,000","4,939,100,000","5,137,000,000","5,216,300,000","5,044,600,000","5,044,500,000","5,495,200,000","4,959,600,000","4,519,400,000","3,703,200,000","3,371,401,000","3,545,300,000","3,393,400,000","3,205,100,000","3,350,700,000","3,416,800,000","3,375,100,000","3,543,100,000","3,433,500,000","3,419,000,000","3,442,600,000","3,396,900,000","3,597,400,000","3,360,600,000","3,450,500,000","3,211,800,000","3,276,500,000","3,285,500,000","3,091,200,000","2,983,700,000","3,032,700,000","2,795,100,000","2,987,200,000","2,621,700,000","2,960,200,000","2,615,700,000","2,792,500,000","2,496,900,000","2,583,700,000","2,230,000,000","2,406,000,000","2,109,800,000","2,332,500,000","2,093,500,000","2,200,000,000","2,000,000,000","1,441,200,000","1,693,200,000"
NetNonOperatingInterestIncomeExpense,"-424,000,000","-100,000,000","-99,000,000","-100,000,000","-125,000,000","-111,000,000","-137,000,000","-123,000,000","-144,000,000","-142,000,000","-144,000,000","-164,000,000","-141,000,000","-144,000,000","-146,000,000","-143,000,000","-141,000,000","-142,000,000","-223,000,000","-139,000,000","-142,000,000","-133,000,000","-130,000,000","-130,000,000","-143,000,000","-127,000,000","-128,000,000","-134,000,000","-131,000,000","-129,000,000","-121,000,000","-126,000,000","-124,000,000","-113,000,000","-109,000,000","-112,000,000","-108,000,000","-109,000,000","-109,000,000","-111,000,000","-111,000,000","-116,000,000","-126,000,000","-129,000,000","-151,000,000","-133,000,000","-127,000,000","-127,000,000","-130,000,000","-127,000,000","-117,000,000","-110,000,000","-94,000,000",,,"-88,000,000","-90,000,000","-84,100,000","-82,200,000","-73,100,000","-78,600,000","-80,100,000","-78,700,000","-70,700,000","-74,600,000","-74,700,000","-73,900,000","-85,800,000","-129,800,000","-78,200,000","-73,300,000","-73,500,000","-99,100,000","-78,100,000","-80,900,000","-75,700,000","-73,700,000","-77,800,000","-77,100,000","-78,200,000","-76,500,000","-75,900,000","-77,100,000","-92,700,000","-86,300,000","-90,400,000","-92,900,000","-85,200,000","-88,400,000","-67,600,000","-91,100,000","-81,900,000","-113,700,000","-86,900,000","-89,300,000","-99,200,000","-93,800,000","-84,000,000","-88,300,000","-76,300,000","-74,800,000","-77,700,000","-79,700,000","-69,800,000","-90,800,000","-87,100,000","-89,600,000","-62,700,000","-43,100,000","-42,400,000","-42,400,000","-45,400,000","-44,400,000","-47,900,000","-33,700,000","-42,300,000","-38,400,000","-35,800,000","-37,400,000","-36,000,000","-39,600,000","-40,000,000","-40,300,000","-40,600,000","-42,700,000","-47,200,000","-38,400,000","-43,100,000","-42,800,000","-36,200,000","-30,900,000",,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"424,000,000","100,000,000","99,000,000","100,000,000","125,000,000","111,000,000","137,000,000","123,000,000","144,000,000","142,000,000","144,000,000","164,000,000","141,000,000","144,000,000","146,000,000","143,000,000","141,000,000","142,000,000","223,000,000","139,000,000","142,000,000","133,000,000","130,000,000","130,000,000","143,000,000","127,000,000","128,000,000","134,000,000","131,000,000","129,000,000","121,000,000","126,000,000","124,000,000","113,000,000","109,000,000","112,000,000","108,000,000","109,000,000","109,000,000","111,000,000","111,000,000","116,000,000","126,000,000","129,000,000","151,000,000","133,000,000","127,000,000","127,000,000","130,000,000","127,000,000","117,000,000","110,000,000","94,000,000",,,"88,000,000","90,000,000","84,100,000","82,200,000","73,100,000","78,600,000","80,100,000","78,700,000","70,700,000","74,600,000","74,700,000","73,900,000","85,800,000","129,800,000","78,200,000","73,300,000","73,500,000","99,100,000","78,100,000","80,900,000","75,700,000","73,700,000","77,800,000","77,100,000","78,200,000","76,500,000","75,900,000","77,100,000","92,700,000","86,300,000","90,400,000","92,900,000","85,200,000","88,400,000","67,600,000","91,100,000","81,900,000","113,700,000","86,900,000","89,300,000","99,200,000","93,800,000","84,000,000","88,300,000","76,300,000","74,800,000","77,700,000","79,700,000","69,800,000","90,800,000","87,100,000","89,600,000","62,700,000","43,100,000","42,400,000","42,400,000","45,400,000","44,400,000","47,900,000","33,700,000","42,300,000","38,400,000","35,800,000","37,400,000","36,000,000","39,600,000","40,000,000","40,300,000","40,600,000","42,700,000","47,200,000","38,400,000","43,100,000","42,800,000","36,200,000","30,900,000",,,,,,,,,,,,,,,,
OtherIncomeExpense,"3,563,000,000","929,000,000","807,000,000","774,000,000","1,053,000,000","1,018,000,000","926,000,000","958,000,000","1,283,000,000","1,335,000,000","1,252,000,000","1,246,000,000","1,266,000,000","1,240,000,000","1,246,000,000","1,227,000,000","1,281,000,000","1,180,000,000","1,142,000,000","1,104,000,000","1,017,000,000","1,013,000,000","914,000,000","989,000,000","1,080,000,000","1,167,000,000","1,147,000,000","1,192,000,000","1,193,000,000","1,209,000,000","1,225,000,000","1,199,000,000","1,318,000,000","1,270,000,000","1,228,000,000","1,360,000,000","1,305,000,000","3,563,000,000","531,000,000","588,000,000","582,000,000","601,000,000","539,000,000","539,000,000","580,000,000","570,000,000","591,000,000","1,341,000,000","1,460,000,000","1,470,000,000","1,405,000,000","1,440,000,000","1,435,000,000","-2,064,000,000","1,466,000,000","1,562,000,000","2,293,000,000","2,019,000,000","2,143,300,000","1,925,500,000","2,053,300,000","1,957,000,000","1,840,800,000","1,837,700,000","1,669,800,000","1,676,300,000","1,596,400,000","1,680,200,000","1,387,900,000","1,374,800,000","1,494,900,000","1,307,500,000","1,324,200,000","1,291,300,000","1,261,900,000","1,635,400,000","1,569,000,000","1,292,400,000","1,392,800,000","1,283,400,000","1,463,700,000","1,571,100,000","1,715,600,000","1,657,000,000","1,573,500,000","1,602,600,000","1,552,300,000","1,577,700,000","1,346,700,000","-321,300,000","2,102,900,000","2,143,700,000","2,121,100,000","-740,300,000","2,654,000,000","1,938,800,000","1,428,100,000","-195,000,000","1,776,300,000","1,402,200,000","1,593,600,000","-1,259,300,000","1,782,200,000","1,725,200,000","1,752,500,000","-1,257,500,000","1,765,000,000","1,652,000,000","1,189,000,000","-239,761,000","1,144,000,000","1,031,700,000","538,300,000","2,148,300,000","847,700,000","768,700,000","638,700,000","-766,700,000","1,237,900,000","1,299,000,000","1,185,300,000","1,369,200,000","1,115,000,000","1,214,400,000","998,500,000","991,900,000","1,217,300,000","1,047,200,000","1,003,900,000","1,110,100,000","866,800,000",,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"540,000,000","0",,"540,000,000",,,,"-1,211,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,071,000,000","-1,001,000,000","-819,000,000",,,"-757,000,000","-685,000,000","0","0","0","0","0","0","0","-1,036,000,000",,,,,"0","0","0",,"-25,800,000","0","12,900,000",,,,,,,,,,,,,,"36,800,000","0","0",,,,,,,,,,,"-297,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		RestructuringAndMergernAcquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0",,"0","0","12,900,000",,,,,,,,,,,,,,"36,800,000","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,071,000,000","1,001,000,000","819,000,000",,,"757,000,000","685,000,000",,"0","0","0","0","0","0","1,036,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,"-540,000,000","0",,"-540,000,000",,,,"1,211,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-25,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"2,182,000,000","459,000,000","304,000,000","1,012,000,000","407,000,000","548,000,000","183,000,000","-1,074,000,000","-1,121,000,000","276,000,000","60,000,000","275,000,000","508,000,000","-232,000,000","354,000,000","307,000,000","405,000,000","461,000,000","264,000,000","347,000,000","510,000,000","461,000,000","556,000,000","-276,000,000","195,000,000","-504,000,000","348,000,000","295,000,000","105,000,000","411,000,000","339,000,000","546,000,000","483,000,000","-184,000,000","520,000,000","581,000,000","512,000,000","35,000,000","409,000,000","214,000,000","741,000,000","481,000,000","439,000,000","551,000,000","761,000,000","945,000,000","258,000,000","803,000,000","896,000,000","883,000,000","958,000,000","757,000,000","-868,000,000","-1,341,000,000","-41,000,000","1,107,000,000","1,134,000,000","933,800,000","1,023,500,000","1,230,400,000","1,387,300,000","1,349,300,000","1,115,400,000","1,022,800,000","984,600,000","204,700,000","451,200,000","638,700,000","551,900,000","785,400,000","402,400,000","556,000,000","0","587,200,000","-2,550,600,000","0","0","1,647,100,000","0","0","0","-813,100,000","0","0","0","3,205,900,000","0","0","0","944,200,000","0","0","0","1,077,400,000","0","0","0","1,593,200,000","0","0","0","2,407,800,000","0","0","0","2,839,300,000","0","0","0","266,148,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,
TaxProvision,"479,000,000","88,000,000","58,000,000","219,000,000","114,000,000","111,000,000","21,000,000","-228,000,000","-77,000,000","65,000,000","21,000,000","50,000,000","112,000,000","-21,000,000","65,000,000","59,000,000","25,000,000","-70,000,000","52,000,000","69,000,000","119,000,000","49,000,000","163,000,000","12,000,000","-4,000,000","-213,000,000","66,000,000","48,000,000","56,000,000","110,000,000","99,000,000","145,000,000","92,000,000","-59,000,000","136,000,000","169,000,000","114,000,000","-48,000,000","99,000,000","16,000,000","222,000,000","72,000,000","124,000,000","144,000,000","196,000,000","276,000,000","84,000,000","262,000,000","273,000,000","277,000,000","266,000,000","197,000,000","-395,000,000","-530,000,000","-56,000,000","-340,000,000","-353,000,000","-305,800,000","-321,400,000","398,500,000","455,300,000","415,700,000","363,600,000","337,200,000","334,200,000","43,800,000","104,600,000","164,700,000","177,300,000","244,400,000","120,800,000","-123,200,000","45,400,000","201,200,000","-916,400,000","87,900,000","92,900,000","128,600,000","157,600,000","124,500,000","171,500,000","-500,400,000","113,800,000","767,400,000","328,600,000","-1,901,100,000","379,100,000","300,900,000","114,200,000","-730,400,000","165,200,000","160,200,000","99,500,000","-886,500,000","384,900,000","168,800,000","-21,700,000","-825,700,000","134,300,000","69,700,000","126,400,000","-1,431,100,000","194,600,000","226,400,000","218,700,000","-1,496,900,000","223,100,000","224,800,000","103,700,000","46,441,000","30,100,000","-10,000,000","-57,600,000","26,900,000","-158,400,000","50,700,000","127,300,000","-455,000,000","-22,600,000","62,000,000","27,000,000","64,000,000","63,300,000","84,800,000","5,400,000","-16,800,000","61,900,000","6,100,000","7,800,000","-68,900,000","-34,900,000",,,,,,,,,,,,,,,,
EarningsFromEquityInterestNetOfTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-174,000,000","-147,000,000","-159,000,000","-936,000,000","-906,000,000","-742,600,000","-789,300,000","-169,600,000","-165,900,000","-163,100,000","-122,400,000","-114,500,000","-104,400,000","128,200,000","-114,100,000","-95,900,000","-81,400,000","-38,200,000","-4,000,000","-271,900,000","89,000,000","-18,600,000","195,500,000","302,700,000","282,900,000","-1,262,100,000","398,000,000","326,400,000","455,400,000","500,800,000","279,500,000","-647,800,000","854,200,000","-4,604,100,000","1,058,700,000","811,500,000","297,800,000","-1,882,400,000","436,500,000","414,500,000","302,800,000","-2,279,700,000","1,002,000,000","416,000,000","-105,400,000","-2,126,000,000","331,900,000","133,500,000","365,700,000","-3,591,100,000","583,200,000","605,100,000","587,500,000","-3,591,100,000","609,500,000","644,600,000","318,200,000","-140,573,000","164,300,000","50,300,000","-63,500,000","165,300,000","-248,000,000","254,300,000","469,000,000","-1,094,600,000","106,000,000","334,700,000","243,600,000","336,200,000","268,700,000","375,500,000","141,400,000","100,100,000","333,100,000","199,000,000","231,400,000","122,100,000","147,700,000",,,,,,,,,,,,,,,,
NetIncomeCommonStockholders,"1,578,000,000","343,000,000","220,000,000","754,000,000","261,000,000","397,000,000","139,000,000","-835,000,000","-632,000,000","217,000,000","72,000,000","249,000,000","394,000,000","-165,000,000","278,000,000","230,000,000","293,000,000","481,000,000","157,000,000","231,000,000","295,000,000","290,000,000","327,000,000","-65,000,000","102,000,000","-201,000,000","182,000,000","170,000,000","109,000,000","208,000,000","208,000,000","116,000,000","59,000,000","-198,000,000","282,000,000","269,000,000","242,000,000","-32,000,000","177,000,000","56,000,000","367,000,000","268,000,000","162,000,000","252,000,000","382,000,000","466,000,000","36,000,000","366,000,000","420,000,000","403,000,000","468,000,000","340,000,000","-647,000,000","-958,000,000","-137,000,000","4,963,000,000","662,000,000","-21,400,000","555,700,000","653,400,000","650,700,000","1,025,800,000","517,200,000","474,900,000","473,400,000","56,500,000","232,500,000","378,100,000","293,200,000","318,300,000","277,600,000","407,300,000","43,600,000","447,800,000","-1,409,700,000","214,800,000","190,000,000","256,400,000","240,400,000","201,900,000","252,900,000","188,100,000","165,700,000","-1,415,200,000","472,300,000","502,900,000","679,600,000","510,600,000","183,600,000","-207,800,000","271,300,000","254,300,000","45,400,000","-315,800,000","617,100,000","247,200,000","-83,700,000","292,900,000","197,600,000","63,800,000","239,300,000","247,800,000","388,600,000","378,700,000","368,800,000","745,100,000","386,400,000","419,800,000","214,500,000","79,134,000","134,200,000","60,300,000","-5,900,000","138,400,000","-89,600,000","203,600,000","341,700,000","-478,800,000","128,600,000","272,700,000","216,600,000","272,200,000","205,400,000","290,700,000","136,000,000","116,900,000","271,200,000","192,900,000","223,600,000","191,000,000","182,600,000","329,000,000","204,500,000","264,100,000","161,000,000","251,900,000","231,500,000","291,500,000","125,400,000","192,200,000","87,100,000","101,600,000","156,700,000","175,600,000","111,600,000","115,100,000","217,700,000"
	NetIncome,"1,578,000,000","343,000,000","220,000,000","754,000,000","261,000,000","397,000,000","139,000,000","-835,000,000","-632,000,000","217,000,000","72,000,000","249,000,000","394,000,000","-165,000,000","278,000,000","230,000,000","293,000,000","481,000,000","157,000,000","231,000,000","295,000,000","290,000,000","327,000,000","-65,000,000","102,000,000","-201,000,000","182,000,000","170,000,000","109,000,000","208,000,000","208,000,000","116,000,000","59,000,000","-198,000,000","282,000,000","269,000,000","242,000,000","-32,000,000","177,000,000","56,000,000","367,000,000","268,000,000","162,000,000","252,000,000","382,000,000","466,000,000","36,000,000","366,000,000","420,000,000","403,000,000","468,000,000","340,000,000","-647,000,000","-958,000,000","-137,000,000","4,963,000,000","662,000,000","511,600,000","555,700,000","653,400,000","768,300,000","746,500,000","635,100,000","568,700,000","541,000,000","138,100,000","300,000,000","433,800,000","339,700,000","502,800,000","277,600,000","407,300,000","43,600,000","367,400,000","-1,382,900,000","214,800,000","190,000,000","256,400,000","240,400,000","201,900,000","252,900,000","188,100,000","165,700,000","-1,415,200,000","472,300,000","502,900,000","679,600,000","510,600,000","183,600,000","-207,800,000","271,300,000","254,300,000","45,400,000","-315,800,000","617,100,000","247,200,000","-83,700,000","292,900,000","197,600,000","63,800,000","239,300,000","247,800,000","388,600,000","378,700,000","368,800,000","745,100,000","386,400,000","419,800,000","214,500,000","79,134,000","134,200,000","60,300,000","-5,900,000","138,400,000","-89,600,000","203,600,000","341,700,000","-478,800,000","128,600,000","272,700,000","216,600,000","272,200,000","205,400,000","290,700,000","136,000,000","116,900,000","271,200,000","192,900,000","223,600,000","191,000,000","182,600,000","329,000,000","204,500,000","264,100,000","161,000,000","251,900,000","231,500,000","291,500,000","125,400,000","192,200,000","87,100,000","101,600,000","156,700,000","175,600,000","111,600,000","115,100,000","217,700,000"
		NetIncomeIncludingNoncontrollingInterests,"1,703,000,000","371,000,000","246,000,000","793,000,000","293,000,000","437,000,000","162,000,000","-846,000,000","-1,044,000,000","211,000,000","39,000,000","225,000,000","396,000,000","-211,000,000","289,000,000","248,000,000","380,000,000","531,000,000","212,000,000","278,000,000","391,000,000","412,000,000","393,000,000","-288,000,000","199,000,000","-291,000,000","282,000,000","247,000,000","49,000,000","294,000,000","269,000,000","215,000,000","184,000,000","-125,000,000","384,000,000","412,000,000","398,000,000","83,000,000","310,000,000","198,000,000","519,000,000","409,000,000","315,000,000","407,000,000","565,000,000","670,000,000","152,000,000","541,000,000","623,000,000","606,000,000","691,000,000","559,000,000","-473,000,000","-811,000,000","22,000,000","4,707,000,000","462,000,000","380,600,000","409,200,000","483,800,000","602,400,000","583,400,000","512,700,000","454,200,000","436,600,000","96,600,000","253,400,000","393,600,000","304,800,000","464,600,000","273,600,000","381,800,000","54,400,000","348,800,000","-1,187,400,000","215,100,000","191,000,000","233,800,000","223,400,000","187,200,000","224,900,000","169,500,000","153,700,000","-1,213,000,000","402,600,000","458,800,000","594,600,000","458,000,000","143,000,000","-178,300,000","240,000,000","196,500,000","-12,600,000","-331,300,000","554,400,000","145,300,000","-161,700,000","201,700,000","113,500,000","-7,800,000","181,900,000","186,400,000","329,800,000","325,400,000","309,800,000","712,900,000","359,000,000","376,900,000","188,700,000","62,979,000","124,300,000","66,000,000","7,100,000","122,200,000","-55,100,000","190,200,000","288,100,000","-323,100,000","127,300,000","246,300,000","196,300,000","229,500,000","187,600,000","263,000,000","114,800,000","105,400,000","249,000,000","176,600,000","205,500,000","180,500,000","153,600,000","329,000,000","204,500,000","264,100,000","161,000,000","251,900,000","231,500,000","291,500,000","125,400,000","192,200,000","87,100,000","101,600,000","156,700,000","175,600,000","111,600,000","115,100,000","217,700,000"
			NetIncomeContinuousOperations,"1,703,000,000","371,000,000","246,000,000","793,000,000","293,000,000","437,000,000","162,000,000","-846,000,000","-1,044,000,000","211,000,000","39,000,000","225,000,000","396,000,000","-211,000,000","289,000,000","248,000,000","380,000,000","531,000,000","212,000,000","278,000,000","391,000,000","412,000,000","393,000,000","-288,000,000","199,000,000","-291,000,000","282,000,000","247,000,000","49,000,000","301,000,000","240,000,000","401,000,000","391,000,000","-125,000,000","384,000,000","412,000,000","398,000,000","83,000,000","310,000,000","198,000,000","519,000,000","409,000,000","315,000,000","407,000,000","565,000,000","669,000,000","174,000,000","541,000,000","623,000,000","606,000,000","692,000,000","560,000,000","-647,000,000","-958,000,000","-144,000,000","511,000,000","581,000,000","497,000,000","555,600,000","662,300,000","766,100,000","770,500,000","629,400,000","571,100,000","546,000,000","289,100,000","232,500,000","378,100,000","293,200,000","502,800,000","277,600,000","407,300,000","43,600,000","367,400,000","-1,438,700,000","214,800,000","190,000,000","256,400,000","240,400,000","201,900,000","283,900,000","188,100,000","165,700,000","-1,415,200,000","525,600,000","502,900,000","679,600,000","510,600,000","183,600,000","-207,800,000","271,300,000","254,300,000","203,300,000","-315,800,000","617,100,000","247,200,000","-83,700,000","292,900,000","197,600,000","63,800,000","239,300,000","247,800,000","388,600,000","378,700,000","368,800,000","745,100,000","386,400,000","419,800,000","214,500,000","79,134,000","134,200,000","60,300,000","-5,900,000","138,400,000","-89,600,000","203,600,000","341,700,000","-639,600,000","128,600,000","272,700,000","216,600,000","272,200,000","205,400,000","290,700,000","136,000,000","116,900,000","271,200,000","192,900,000","223,600,000","191,000,000","182,600,000","329,000,000","204,500,000","264,100,000","161,000,000","251,900,000","213,400,000","251,700,000","125,400,000","192,200,000","87,100,000","101,600,000","156,700,000","175,600,000","111,600,000","114,100,000","145,800,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"-7,000,000","29,000,000","-186,000,000","-207,000,000",,,,,,,,,,,,,"1,000,000","-22,000,000",,,"0","-1,000,000","-1,000,000","0","0","7,000,000","4,452,000,000","81,000,000","14,600,000","100,000","-8,900,000","2,200,000","-24,000,000","5,700,000","-2,400,000","-5,000,000",,,,,"0","0","0","0","-55,400,000","111,600,000","0","0","0","0","0","-31,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"18,100,000",,,,,,,,,"1,000,000","71,900,000"
			NetIncomeExtraordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","-53,300,000","0","0","0","0","0",,,"-157,900,000",,,,,,,,,,,,,,,,,,,,,,,,,"160,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
