name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994
TotalRevenue,"1,778,082,000","463,575,000","452,575,000","436,927,000","425,005,000","423,661,000","423,199,000","413,026,000","418,098,000","416,817,000","415,632,000","407,390,000","401,178,000","398,148,000","397,108,000","390,073,000","386,017,000","382,738,000","384,550,000","382,791,000","378,908,000","307,198,000","276,898,000","272,236,000","269,016,000","263,338,000","261,998,000","258,891,000","257,811,000","252,474,000","248,781,000","244,554,000","243,487,000","236,482,000","136,440,000","134,112,000","133,367,000","132,422,000","127,110,000","123,922,000","119,631,000","115,826,000","115,827,000","110,489,000","107,338,000","104,480,000","101,384,000","98,901,000","97,464,000","95,987,000","94,524,000","94,433,000","93,600,000","94,838,000","93,473,000","92,834,000","92,144,000","91,023,000","90,164,000","86,779,000","84,991,000","84,888,000","82,749,000","80,364,000","78,646,000","77,997,000","75,155,000","72,862,000","71,441,000","68,690,000","67,527,000","66,876,000","66,488,000","64,477,000","60,337,000","58,159,000","57,759,000","62,126,000","58,194,000","56,863,000","55,956,000","56,144,000","57,177,000","58,107,000","56,611,000","56,694,000","56,937,000","55,601,000","55,408,000","55,822,000","57,000,000","52,000,000","61,800,000","55,843,000","56,100,000","52,600,000","51,000,000","42,116,000","34,400,000","32,700,000","29,800,000","27,282,000","28,300,000","29,300,000","27,100,000","26,900,000","26,400,000","21,100,000","20,300,000","18,600,000","14,500,000","10,600,000","7,700,000"
	OperatingRevenue,"1,778,082,000","463,575,000","452,575,000","436,927,000","425,005,000","423,661,000","423,199,000","413,026,000","418,098,000","416,817,000","415,632,000","407,390,000","401,178,000","398,148,000","397,108,000","390,073,000","386,017,000","382,738,000","384,550,000","382,791,000","378,908,000","307,198,000","276,898,000","272,236,000","269,016,000","263,338,000","261,998,000","258,891,000","257,811,000","252,474,000","248,781,000","244,554,000","243,487,000","236,482,000","136,440,000","134,112,000","133,367,000","132,422,000","127,110,000","123,922,000","119,631,000","115,826,000","115,827,000","110,489,000","107,338,000","104,480,000","101,384,000","98,901,000","97,464,000","95,987,000","94,524,000","94,433,000","93,600,000","94,838,000","93,473,000","92,834,000","92,294,000","91,293,000","90,001,000","87,337,000","34,000","85,133,000","82,873,000","80,769,000","78,763,000","77,605,000","76,111,000","103,000","71,919,000","72,485,000","67,968,000","68,766,000","68,157,000","63,899,000","62,412,000","58,870,000","57,838,000","62,086,000","58,066,000","57,364,000","56,020,000","56,144,000","57,177,000","58,102,000","56,780,000","56,694,000","58,056,000","55,601,000","55,408,000","66,000,000","57,000,000","52,000,000","61,800,000","56,200,000","56,100,000","52,600,000","51,000,000","42,100,000","34,400,000","32,700,000","29,800,000","29,500,000","28,300,000","29,300,000","27,100,000","26,900,000","26,400,000","21,100,000","20,300,000","18,600,000","14,500,000","10,600,000","7,700,000"
CostOfRevenue,"1,204,598,000","302,593,000","307,449,000","300,585,000","293,971,000","289,599,000","297,493,000","284,661,000","279,560,000","275,213,000","284,223,000","278,086,000","272,166,000","268,255,000","279,289,000","271,655,000","265,148,000","259,733,000","267,107,000","272,329,000","271,270,000","208,003,000","183,605,000","178,697,000","176,008,000","171,456,000","174,697,000","175,252,000","173,506,000","168,656,000","170,855,000","167,253,000","187,376,000","182,020,000","89,153,000","86,482,000","86,210,000","178,891,000","52,832,000","50,908,000","49,842,000","47,871,000","50,918,000","47,413,000","45,600,000","-31,212,000","71,606,000","67,595,000","66,631,000","137,038,000","41,662,000","62,611,000","61,816,000","130,024,000","40,802,000","38,680,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"573,484,000","160,982,000","145,126,000","136,342,000","131,034,000","134,062,000","125,706,000","128,365,000","138,538,000","141,604,000","131,409,000","129,304,000","129,012,000","129,893,000","117,819,000","118,418,000","120,869,000","123,005,000","117,443,000","110,462,000","107,638,000","99,195,000","93,293,000","93,539,000","93,008,000","91,882,000","87,301,000","83,639,000","84,305,000","83,818,000","77,926,000","77,301,000","56,111,000","54,462,000","47,287,000","47,630,000","47,157,000","-46,469,000","74,278,000","73,014,000","69,789,000","67,955,000","64,909,000","63,076,000","61,738,000","135,692,000","29,778,000","31,306,000","30,833,000","-41,051,000","52,862,000","31,822,000","31,784,000","-35,186,000","52,671,000","54,154,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"108,616,000","29,331,000","26,501,000","26,866,000","25,918,000","24,913,000","24,051,000","22,287,000","27,907,000","24,701,000","25,384,000","24,052,000","26,995,000","21,117,000","17,683,000","20,607,000","23,012,000","21,040,000","18,642,000","20,279,000","23,821,000","17,655,000","14,569,000","15,324,000","15,586,000","14,497,000","13,507,000","13,643,000","15,059,000","12,920,000","13,940,000","14,791,000","11,353,000","12,078,000","9,169,000","8,835,000","8,570,000","-83,761,000","40,971,000","40,581,000","39,544,000","40,169,000","38,243,000","38,654,000","37,495,000","112,272,000","7,504,000","7,589,000","7,088,000","-63,833,000","31,083,000","7,189,000","6,700,000","-59,359,000","29,784,000","29,638,000","59,884,000","58,182,000","59,115,000","64,465,000","63,322,000","38,536,000","61,005,000","52,182,000","50,430,000","51,193,000","51,481,000","48,669,000","47,423,000","46,683,000","46,600,000","44,722,000","44,700,000","47,634,000","45,369,000","42,604,000","41,744,000","45,506,000","41,585,000","39,753,000","39,271,000","38,720,000","38,927,000","39,065,000","38,358,000","38,039,000","39,086,000","37,482,000","50,487,000","246,721,000","-32,300,000","-31,200,000","-31,100,000","225,146,000","-30,400,000","-27,500,000","-27,000,000","134,031,000","-16,700,000","-15,600,000","-14,100,000","135,994,000","-13,600,000","-13,000,000","-12,900,000","-12,900,000","-13,000,000","-9,800,000","-9,600,000",,,,
	SellingGeneralAndAdministration,"108,616,000","29,331,000","26,501,000","26,866,000","25,918,000","24,913,000","24,051,000","22,287,000","27,907,000","24,701,000","25,384,000","24,052,000","26,995,000","21,117,000","17,683,000","20,607,000","23,012,000","21,040,000","18,642,000","20,279,000","23,821,000","17,655,000","14,569,000","15,324,000","15,586,000","14,497,000","13,507,000","13,643,000","15,059,000","12,920,000","13,940,000","14,791,000","11,353,000","12,078,000","9,169,000","8,835,000","8,570,000","8,926,000","8,987,000","9,032,000","8,901,000","9,536,000","8,900,000","10,633,000","9,754,000","8,208,000","7,504,000","7,589,000","7,088,000","7,483,000","7,170,000","7,189,000","6,700,000","7,014,000","7,226,000","7,218,000","2,920,000","3,179,000","2,401,000","2,882,000","2,930,000","3,178,000","2,665,000","2,682,000","3,361,000","3,206,000","2,329,000","2,163,000","2,672,000","2,401,000","1,953,000","2,515,000","2,371,000","1,902,000","1,733,000","1,788,000","1,843,000","2,022,000","1,686,000","1,511,000","1,446,000","1,452,000","1,514,000","1,472,000","1,441,000","3,600,000","3,700,000","3,746,000","3,780,000","-4,621,000","6,300,000","6,300,000","6,500,000","-5,840,000","6,300,000","6,000,000","5,500,000","-8,398,000","5,400,000","5,100,000","4,500,000","-6,946,000","4,500,000","4,200,000","4,400,000","4,100,000","4,000,000","3,200,000","3,200,000",,,,
		GeneralAndAdministrativeExpense,"108,616,000","29,331,000","26,501,000","26,866,000","25,918,000","24,913,000","24,051,000","22,287,000","27,907,000","24,701,000","25,384,000","24,052,000","26,995,000","21,117,000","17,683,000","20,607,000","23,012,000","21,040,000","18,642,000","20,279,000","23,821,000","17,655,000","14,569,000","15,324,000","15,586,000","14,497,000","13,507,000","13,643,000","15,059,000","12,920,000","13,940,000","14,791,000","11,353,000","12,078,000","9,169,000","8,835,000","8,570,000",,,,,,,,,,,,,,,,,,,,"2,920,000","3,179,000","2,401,000","2,882,000","2,930,000","3,178,000","2,665,000","2,682,000","3,361,000","3,206,000","2,329,000","2,163,000","2,672,000","2,401,000","1,953,000","2,515,000","2,371,000","1,902,000","1,733,000","1,788,000","1,843,000","2,022,000","1,686,000","1,511,000","1,446,000","1,452,000","1,514,000","1,472,000","1,441,000","3,600,000","3,700,000","3,746,000","3,780,000","-4,621,000","6,300,000","6,300,000","6,500,000","-5,840,000","6,300,000","6,000,000","5,500,000","-8,398,000","5,400,000","5,100,000","4,500,000","-6,946,000","4,500,000","4,200,000","4,400,000","4,100,000","4,000,000","3,200,000","3,200,000",,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,920,000","-20,630,000","10,952,000","10,099,000","2,930,000","21,678,000","9,774,000","9,437,000","9,108,000","9,377,000","9,322,000","8,715,000","8,357,000","8,404,000","8,341,000","7,932,000","7,744,000","2,334,000","9,014,000","6,686,000","6,442,000","6,581,000","6,673,000","6,528,000","6,485,000","6,270,000","6,275,000","6,117,000","6,042,000","20,917,000","6,319,000","5,989,000","5,869,000","20,600,000","6,300,000","6,300,000","6,500,000","18,200,000","6,300,000","6,000,000","5,500,000","6,200,000","5,400,000","5,100,000","4,500,000","4,800,000","4,500,000","4,200,000","4,400,000","4,100,000","4,000,000","3,200,000","3,200,000",,,,
			OtherGandA,"108,616,000","29,331,000","26,501,000","26,866,000","25,918,000","24,913,000","24,051,000","22,287,000","27,907,000","24,701,000","25,384,000","24,052,000","26,995,000","21,117,000","17,683,000","20,607,000","23,012,000","21,040,000","18,642,000","20,279,000","23,821,000","17,655,000","14,569,000","15,324,000","15,586,000","14,497,000","13,507,000","13,643,000","15,059,000","12,920,000","13,940,000","14,791,000","11,353,000","12,078,000","9,169,000","8,835,000","8,570,000",,,,,,,,,,,,,,,,,,,,,,"-8,551,000","-7,217,000",,"-18,500,000","-7,109,000","-6,755,000","-5,747,000","-6,171,000","-6,993,000","-6,552,000","-5,685,000","-6,003,000","-6,388,000","-5,417,000","-5,373,000","-432,000","-7,281,000","-4,898,000","-4,599,000","-4,559,000","-4,987,000","-5,017,000","-5,039,000","-4,818,000","-4,761,000","-4,645,000","-4,601,000","-17,317,000","-2,619,000","-2,243,000","-2,089,000",,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,"126,388,000","125,426,000","124,684,000","123,944,000","122,789,000","121,541,000","124,549,000","122,925,000","120,744,000","119,423,000","117,928,000","126,360,000","129,997,000","95,129,000","76,959,000","75,742,000","75,127,000","73,914,000","73,098,000","74,396,000","73,112,000","71,945,000","70,222,000","69,631,000","90,013,000","89,096,000","33,000,000","32,730,000","33,433,000","33,449,000","31,984,000","31,549,000","30,643,000","30,633,000","29,343,000","28,021,000","27,741,000",,,,,,"23,913,000",,,,"22,558,000","22,420,000","22,896,000","22,476,000","22,573,000","21,682,000","21,849,000","22,017,000","20,132,000","20,019,000","19,415,000","20,021,000","19,638,000","18,893,000","18,509,000","18,044,000","17,617,000","17,504,000","17,696,000","16,803,000","15,291,000","14,527,000","14,539,000","14,556,000","14,942,000","14,311,000","14,166,000","13,701,000","13,446,000","13,730,000","13,526,000","13,595,000","13,357,000","13,477,000","14,173,000",,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,"126,388,000","125,426,000","124,684,000","123,944,000","122,789,000","121,541,000","124,549,000","122,925,000","120,744,000","119,423,000","117,928,000","126,360,000","129,997,000","95,129,000","76,959,000","75,742,000","75,127,000","73,914,000","73,098,000","74,396,000","73,112,000","71,945,000","70,222,000","69,631,000","90,013,000","89,096,000","33,000,000","32,730,000","33,433,000","33,449,000","31,984,000","31,549,000","30,643,000","30,633,000","29,343,000","28,021,000","27,741,000",,,,,,"23,913,000",,,,"22,558,000","22,420,000","22,896,000","22,476,000","22,573,000","21,682,000","21,849,000","22,017,000","20,132,000","20,019,000","19,415,000","20,021,000","19,638,000","18,893,000","18,509,000","18,044,000","17,617,000","17,504,000","17,696,000","16,803,000","15,291,000","14,527,000","14,539,000","14,556,000","14,942,000","14,311,000","14,166,000","13,701,000","13,446,000","13,730,000","13,526,000","13,595,000","13,357,000","13,477,000","14,173,000",,,,,,,,,,,,,,,,,,,,,,,,
			DepreciationIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,021,000","27,741,000",,,,,,"23,913,000",,,,"22,558,000","22,420,000","22,268,000","21,818,000","21,959,000","21,108,000","21,288,000","21,489,000","19,613,000","19,515,000","18,930,000","19,421,000","19,176,000","18,404,000","18,049,000","17,592,000","17,181,000","17,098,000","17,233,000","16,333,000","14,827,000","14,023,000","13,915,000","13,855,000","14,252,000","13,647,000","13,509,000","13,044,000","12,916,000","13,094,000","12,997,000","12,990,000","12,737,000","12,658,000","13,459,000",,,,,,,,,,,,,,,,,,,,,,,,
			Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"628,000","658,000","614,000","574,000","561,000","528,000","519,000","504,000","485,000","600,000","462,000","489,000","460,000","452,000","436,000","406,000","463,000","470,000","464,000","504,000","624,000","701,000","690,000","664,000","657,000","657,000","530,000","636,000","529,000","605,000","620,000","819,000","714,000",,,,,,,,,,,,,,,,,,,,,,,,
