name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993
TotalRevenue,"6,443,800,000","1,757,500,000","1,649,800,000","1,569,400,000","1,467,100,000","1,352,100,000","1,309,500,000","1,309,700,000","1,326,400,000","1,287,400,000","1,337,800,000","1,322,600,000","1,329,800,000","1,374,700,000","1,432,500,000","1,212,500,000","1,002,315,000","994,205,000","1,012,139,000","972,141,000","902,666,000","834,366,000","871,364,000","799,411,000","557,647,000","540,344,000","541,391,000","533,952,000","543,207,000","528,710,000","546,243,000","528,876,000","493,384,000","482,372,000","492,669,000","462,792,000","430,144,000","416,047,000","383,298,000","352,134,000","338,911,000","329,156,000","340,602,000","374,507,000","379,985,000","367,824,000","382,271,000","320,801,000","278,020,000","250,099,000","226,661,000","192,949,000","173,253,000","192,166,000","269,706,000","268,172,000","260,418,000","252,600,000","258,647,000","264,072,000","258,176,000","251,004,000","267,934,000","262,557,000","247,172,000","234,896,000","227,298,000","218,527,000","208,083,000","205,384,000","220,694,000","212,775,000","191,524,000","177,967,000","168,486,000","161,283,000","150,971,000","170,998,000","169,748,000","159,745,000","148,841,000","141,857,000","141,662,000","138,894,000","205,255,000","176,428,000","176,310,000","157,737,000","140,811,000","129,187,000","118,021,000","107,710,000","103,024,000","100,167,000","103,780,000","99,489,000","93,080,000","103,550,000","103,036,000","97,228,000","93,505,000","87,076,000","79,510,000","74,161,000","72,100,000","78,100,000","71,300,000","64,500,000","58,600,000","54,200,000","50,100,000","45,100,000","41,000,000","37,600,000","33,000,000","27,100,000"
	OperatingRevenue,"6,443,800,000","1,757,500,000","1,649,800,000","1,569,400,000","1,467,100,000","1,352,100,000","1,309,500,000","1,309,700,000","1,326,400,000","1,287,400,000","1,337,800,000","1,322,600,000","1,329,800,000","1,374,700,000","1,432,500,000","1,212,500,000","1,002,315,000","994,205,000","1,012,139,000","972,141,000","902,666,000","834,366,000","871,364,000","799,411,000","557,647,000","540,344,000","541,391,000","533,952,000","543,207,000","528,710,000","546,243,000","528,876,000","493,384,000","482,372,000","492,669,000","462,792,000","430,144,000","416,047,000","383,298,000","352,134,000","338,911,000","329,156,000","340,602,000","374,507,000","379,985,000","367,824,000","382,271,000","320,801,000","278,020,000","250,099,000","226,661,000","192,949,000","173,253,000","192,166,000","269,706,000","268,172,000","260,418,000","252,600,000","258,647,000","264,072,000","258,176,000","251,004,000","267,934,000","262,557,000","247,172,000","234,896,000","227,298,000","218,527,000","208,083,000","205,384,000","220,694,000","212,775,000","191,524,000","177,967,000","168,486,000","161,283,000","150,971,000","170,998,000","169,748,000","159,745,000","148,841,000","141,857,000","141,662,000","138,894,000","205,255,000","176,428,000","176,310,000","157,737,000","140,811,000","129,187,000","118,021,000","107,710,000","103,024,000","100,167,000","103,780,000","99,489,000","93,080,000","103,550,000","103,036,000","97,228,000","93,505,000","87,076,000","79,510,000","74,161,000","72,100,000","78,100,000","71,300,000","64,500,000","58,600,000","54,200,000","50,100,000","45,100,000","41,000,000","37,600,000","33,000,000","27,100,000"
CostOfRevenue,"2,287,800,000","604,200,000","581,500,000","561,800,000","540,300,000","506,300,000","501,600,000","511,400,000","512,500,000","501,900,000","510,300,000","507,400,000","509,400,000","595,100,000","743,200,000","570,500,000","387,207,000","387,146,000","398,045,000","387,702,000","369,840,000","369,107,000","460,743,000","450,921,000","254,868,000","247,626,000","240,441,000","224,935,000","229,575,000","226,751,000","238,789,000","222,357,000","202,798,000","199,652,000","203,806,000","196,218,000","191,105,000","215,619,000","189,103,000","149,055,000","145,038,000","145,377,000","145,608,000","154,759,000","154,394,000","151,427,000","157,266,000","121,358,000","109,549,000","104,103,000","103,321,000","96,514,000","89,286,000","87,379,000","105,553,000","104,575,000","101,784,000","99,553,000","103,935,000","105,527,000","103,575,000","101,294,000","105,973,000","104,073,000","98,626,000","94,626,000","92,742,000","91,022,000","88,732,000","88,596,000","94,317,000","91,316,000","85,299,000","80,948,000","77,292,000","105,762,000","68,069,000","77,071,000","78,239,000","75,848,000","73,519,000","70,718,000","70,793,000","69,488,000","104,642,000","79,052,000","79,149,000","72,173,000","66,032,000","61,754,000","57,244,000","52,955,000","51,511,000","49,525,000","52,307,000","50,231,000","47,062,000","53,746,000","50,895,000","47,835,000","46,521,000","43,562,000","39,722,000","37,525,000","25,300,000","29,900,000","27,600,000","24,900,000","22,700,000","21,900,000","20,500,000","18,700,000","17,500,000","17,600,000","15,900,000","14,400,000"
GrossProfit,"4,156,000,000","1,153,300,000","1,068,300,000","1,007,600,000","926,800,000","845,800,000","807,900,000","798,300,000","813,900,000","785,500,000","827,500,000","815,200,000","820,400,000","779,600,000","689,300,000","642,000,000","615,108,000","607,059,000","614,094,000","584,439,000","532,826,000","465,259,000","410,621,000","348,490,000","302,779,000","292,718,000","300,950,000","309,017,000","313,632,000","301,959,000","307,454,000","306,519,000","290,586,000","282,720,000","288,863,000","266,574,000","239,039,000","200,428,000","194,195,000","203,079,000","193,873,000","183,779,000","194,994,000","219,748,000","225,591,000","216,397,000","225,005,000","199,443,000","168,471,000","145,996,000","123,340,000","96,435,000","83,967,000","104,787,000","164,153,000","163,597,000","158,634,000","153,047,000","154,712,000","158,545,000","154,601,000","149,710,000","161,961,000","158,484,000","148,546,000","140,270,000","134,556,000","127,505,000","119,351,000","116,788,000","126,377,000","121,459,000","106,225,000","97,019,000","91,194,000","55,521,000","82,902,000","93,927,000","91,509,000","83,897,000","75,322,000","71,139,000","70,869,000","69,406,000","100,613,000","97,376,000","97,161,000","85,564,000","74,779,000","67,433,000","60,777,000","54,755,000","51,513,000","50,642,000","51,473,000","49,258,000","46,018,000","49,804,000","52,141,000","49,393,000","46,984,000","43,514,000","39,788,000","36,636,000","46,800,000","48,200,000","43,700,000","39,600,000","35,900,000","32,300,000","29,600,000","26,400,000","23,500,000","20,000,000","17,100,000","12,700,000"
OperatingExpense,"2,534,700,000","638,600,000","641,800,000","628,300,000","626,000,000","595,900,000","577,400,000","579,700,000","636,000,000","636,500,000","640,300,000","635,500,000","559,000,000","586,200,000","568,400,000","469,600,000","370,863,000","361,617,000","368,823,000","365,597,000","332,653,000","326,241,000","338,318,000","385,559,000","222,063,000","221,604,000","219,354,000","186,141,000","202,527,000","202,947,000","205,361,000","190,269,000","164,016,000","165,001,000","171,366,000","166,472,000","175,104,000","180,456,000","163,707,000","106,746,000","98,467,000","96,312,000","97,374,000","102,888,000","101,044,000","98,298,000","101,304,000","92,336,000","79,984,000","73,428,000","70,614,000","65,257,000","58,492,000","64,313,000","76,972,000","76,965,000","50,139,000","73,807,000","99,038,000","73,526,000","69,312,000","68,228,000","70,602,000","68,803,000","59,094,000","55,682,000","55,261,000","54,476,000","51,231,000","51,166,000","51,326,000","71,605,000","46,889,000","43,167,000","43,600,000","45,009,000","43,600,000","44,753,000","86,964,000","43,501,000","41,677,000","41,278,000","40,333,000","40,977,000","78,619,000","41,278,000","41,146,000","37,530,000","33,749,000","31,664,000","29,728,000","27,173,000","48,629,000","25,522,000","26,809,000","31,770,000","26,674,000","32,221,000","26,578,000","25,438,000","24,780,000","22,723,000","21,271,000","19,547,000","28,700,000","28,700,000","25,600,000","23,400,000","21,500,000","19,300,000","17,800,000","16,100,000","15,000,000","12,800,000","11,900,000","9,600,000"
	SellingGeneralAndAdministration,"696,800,000","177,500,000","179,900,000","174,300,000","165,100,000","154,200,000","144,700,000","146,300,000","165,700,000","170,700,000","172,300,000","167,900,000","167,400,000","174,800,000","176,600,000","164,000,000","114,480,000","109,059,000","114,289,000","114,272,000","111,160,000","111,017,000","120,129,000","157,505,000","78,293,000","76,270,000","80,258,000","66,849,000","67,778,000","66,668,000","71,114,000","69,255,000","65,344,000","66,856,000","69,368,000","65,710,000","64,744,000","69,368,000","71,767,000","57,920,000","50,754,000","52,056,000","51,991,000","57,590,000","56,885,000","56,100,000","57,584,000","53,679,000","46,697,000","43,096,000","41,046,000","36,383,000","33,336,000","36,840,000","45,629,000","45,413,000","45,396,000","43,501,000","42,969,000","43,780,000","40,765,000","40,185,000","41,518,000","40,779,000","34,577,000","32,305,000","31,624,000","31,081,000","27,900,000","28,056,000","28,008,000","27,224,000","24,788,000","23,056,000","22,452,000","22,115,000","21,857,000","22,430,000","23,127,000","21,941,000","21,138,000","19,869,000","20,165,000","21,443,000","32,703,000","22,992,000","24,213,000","22,712,000","21,267,000","19,534,000","19,076,000","16,866,000","15,503,000","15,382,000","16,237,000","16,054,000","16,911,000","17,212,000","17,198,000","16,228,000","15,710,000","14,291,000","13,620,000","12,627,000","12,300,000","13,400,000","12,200,000","11,000,000","10,200,000","9,800,000","8,700,000","8,200,000","12,100,000","11,200,000","10,500,000","8,200,000"
	ResearchAndDevelopment,"958,500,000","245,400,000","246,200,000","238,400,000","228,500,000","210,100,000","199,800,000","198,000,000","221,800,000","217,100,000","219,800,000","219,100,000","214,700,000","217,700,000","221,900,000","171,900,000","133,644,000","131,555,000","133,621,000","130,480,000","127,182,000","132,433,000","137,795,000","147,883,000","95,638,000","97,022,000","95,256,000","84,680,000","87,662,000","88,697,000","88,814,000","84,370,000","77,363,000","76,341,000","78,254,000","73,085,000","70,438,000","71,377,000","64,082,000","48,826,000","47,713,000","44,256,000","45,383,000","45,298,000","44,159,000","42,198,000","43,720,000","38,657,000","33,287,000","30,332,000","29,568,000","27,636,000","25,656,000","26,973,000","31,343,000","31,552,000","31,506,000","30,306,000","29,306,000","29,746,000","28,547,000","28,043,000","29,084,000","28,024,000","24,517,000","23,377,000","23,637,000","23,395,000","23,331,000","23,110,000","23,318,000","23,281,000","22,101,000","20,858,000","21,148,000","21,282,000","21,743,000","22,323,000","22,337,000","21,560,000","20,539,000","21,409,000","20,168,000","19,534,000","28,558,000","18,286,000","16,933,000","14,818,000","12,482,000","12,130,000","10,652,000","10,307,000","9,689,000","10,140,000","10,572,000","10,216,000","9,763,000","10,009,000","9,380,000","9,210,000","9,070,000","8,432,000","7,651,000","6,920,000","7,000,000","7,500,000","6,700,000","6,300,000","5,900,000","5,100,000","5,200,000","4,500,000",,,,
	DepreciationAmortizationDepletionIncomeStatement,"879,400,000","215,700,000","215,700,000","215,600,000","232,400,000","231,600,000","232,900,000","235,400,000","248,500,000","248,700,000","248,200,000","248,500,000","176,900,000","193,700,000","169,900,000","133,700,000","122,739,000","121,003,000","120,913,000","120,845,000","94,311,000","82,791,000","80,394,000","80,171,000","48,132,000","48,312,000","43,840,000","34,612,000","47,087,000","47,582,000","45,433,000","36,644,000","21,309,000","21,804,000","23,744,000","27,677,000","39,922,000","39,711,000","27,858,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400,000","7,800,000","6,700,000","6,100,000","5,400,000","4,400,000","3,900,000","3,400,000","2,900,000","1,600,000","1,400,000","1,400,000"
		DepreciationAndAmortizationInIncomeStatement,"879,400,000","215,700,000","215,700,000","215,600,000","232,400,000","231,600,000","232,900,000","235,400,000","248,500,000","248,700,000","248,200,000","248,500,000","176,900,000","193,700,000","169,900,000","133,700,000","122,739,000","121,003,000","120,913,000","120,845,000","94,311,000","82,791,000","80,394,000","80,171,000","48,132,000","48,312,000","43,840,000","34,612,000","47,087,000","47,582,000","45,433,000","36,644,000","21,309,000","21,804,000","23,744,000","27,677,000","39,922,000","39,711,000","27,858,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400,000","7,800,000","6,700,000","6,100,000","5,400,000","4,400,000","3,900,000","3,400,000","2,900,000","1,600,000","1,400,000","1,400,000"
			Amortization,"879,400,000","215,700,000","215,700,000","215,600,000","232,400,000","231,600,000","232,900,000","235,400,000","248,500,000","248,700,000","248,200,000","248,500,000","176,900,000","193,700,000","169,900,000","133,700,000","122,739,000","121,003,000","120,913,000","120,845,000","94,311,000","82,791,000","80,394,000","80,171,000","48,132,000","48,312,000","43,840,000","34,612,000","47,087,000","47,582,000","45,433,000","36,644,000","21,309,000","21,804,000","23,744,000","27,677,000","39,922,000","39,711,000","27,858,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
