name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998
TotalRevenue,"6,218,000,000","1,539,000,000","1,526,000,000","1,553,000,000","1,600,000,000","1,290,000,000","1,356,000,000","1,435,000,000","1,290,000,000","1,232,800,000","1,240,500,000","1,213,600,000","1,142,100,000","1,060,100,000","1,080,800,000","1,175,100,000","1,126,700,000","1,165,500,000","1,062,900,000","1,000,500,000","975,200,000","942,100,000","917,100,000","928,900,000","816,100,000","865,900,000","834,900,000","918,100,000","865,600,000","877,500,000","816,100,000","873,500,000","767,200,000","779,200,000","705,500,000","756,000,000","731,800,000","754,200,000","688,500,000","640,800,000","646,800,000","567,100,000","531,300,000","605,200,000","577,100,000","564,300,000","513,300,000","477,800,000","476,600,000","485,800,000","451,800,000","450,700,000","408,900,000","403,700,000","433,400,000","487,600,000","430,700,000","504,900,000","525,000,000","646,100,000","583,000,000","590,000,000","495,500,000","511,400,000","440,200,000","473,200,000","421,100,000","446,800,000","390,500,000","391,600,000","357,900,000","357,600,000","331,200,000","350,700,000","305,000,000","312,700,000","278,200,000","271,900,000","248,300,000","271,500,000","231,600,000","220,900,000","190,400,000","205,200,000","180,200,000","161,100,000","152,500,000","347,800,000","495,700,000","509,900,000","473,700,000","497,300,000","490,900,000","519,800,000","459,600,000","484,000,000","471,100,000"
	OperatingRevenue,"6,218,000,000","1,539,000,000","1,526,000,000","1,553,000,000","1,600,000,000","1,290,000,000","1,356,000,000","1,435,000,000","1,290,000,000","1,232,800,000","1,240,500,000","1,213,600,000","1,142,100,000","1,060,100,000","1,080,800,000","1,175,100,000","1,126,700,000","1,165,500,000","1,062,900,000","1,000,500,000","975,200,000","942,100,000","917,100,000","928,900,000","816,100,000","865,900,000","834,900,000","918,100,000","865,600,000","877,500,000","816,100,000","873,500,000","767,200,000","779,200,000","705,500,000","756,000,000","731,800,000","754,200,000","688,500,000","640,800,000","646,800,000","567,100,000","531,300,000","605,200,000","577,100,000","564,300,000","513,300,000","477,800,000","476,600,000","485,800,000","451,800,000","450,700,000","408,900,000","403,700,000","433,400,000","487,600,000","430,700,000","504,900,000","525,000,000","646,100,000","583,000,000","590,000,000","495,500,000","511,400,000","440,200,000","473,200,000","421,100,000","446,800,000","390,500,000","391,600,000","357,900,000","357,600,000","331,200,000","350,700,000","305,000,000","312,700,000","278,200,000","271,900,000","248,300,000","271,500,000","231,600,000","220,900,000","190,400,000","205,200,000","180,200,000","161,100,000","152,500,000","347,800,000","495,700,000","509,900,000","473,700,000","497,300,000","490,900,000","519,800,000","459,600,000","484,000,000","471,100,000"
CostOfRevenue,"1,637,000,000","485,000,000","394,000,000","365,000,000","393,000,000","409,000,000","364,000,000","362,000,000","340,000,000","355,200,000","350,200,000","339,900,000","341,700,000","304,100,000","306,300,000","320,200,000","314,900,000","342,400,000","317,200,000","285,800,000","277,400,000","265,300,000","253,200,000","258,900,000","249,200,000","251,900,000","236,100,000","243,900,000","244,400,000","255,500,000","236,700,000","222,100,000","216,000,000","221,000,000","203,500,000","197,100,000","200,800,000","221,600,000","207,300,000","180,600,000","185,500,000","181,200,000","171,000,000","170,500,000","160,800,000","180,900,000","153,700,000","134,300,000","135,900,000","146,900,000","135,100,000","128,000,000","122,400,000","-194,400,000","230,800,000","237,300,000","219,600,000","-220,200,000","262,900,000","273,300,000","268,000,000","-83,000,000","216,900,000","213,000,000",,,,"185,300,000","169,400,000",,,,,,,,,,,,,,,,,,,"132,900,000","146,800,000","132,500,000","129,100,000","151,800,000","146,100,000","148,300,000","130,200,000","145,600,000",
GrossProfit,"4,581,000,000","1,054,000,000","1,132,000,000","1,188,000,000","1,207,000,000","881,000,000","992,000,000","1,073,000,000","950,000,000","877,600,000","890,300,000","873,700,000","800,400,000","756,000,000","774,500,000","854,900,000","811,800,000","823,100,000","745,700,000","714,700,000","697,800,000","676,800,000","663,900,000","670,000,000","566,900,000","614,000,000","598,800,000","674,200,000","621,200,000","622,000,000","579,400,000","651,400,000","551,200,000","558,200,000","502,000,000","558,900,000","531,000,000","532,600,000","481,200,000","460,200,000","461,300,000","385,900,000","360,300,000","434,700,000","416,300,000","383,400,000","359,600,000","343,500,000","340,700,000","338,900,000","316,700,000","322,700,000","286,500,000","598,100,000","202,600,000","250,300,000","211,100,000","725,100,000","262,100,000","372,800,000","315,000,000","673,000,000","278,600,000","298,400,000",,,,"261,500,000","221,100,000",,,,,,,,,,,,,,,,,,,"214,900,000","348,900,000","377,400,000","344,600,000","345,500,000","344,800,000","371,500,000","329,400,000","338,400,000",
OperatingExpense,"1,737,000,000","542,000,000","456,000,000","387,000,000","352,000,000","407,000,000","327,000,000","365,000,000","350,000,000","369,000,000","340,500,000","325,700,000","331,800,000","326,500,000","306,400,000","318,900,000","320,200,000","354,500,000","290,200,000","250,600,000","254,400,000","286,100,000","256,400,000","259,800,000","262,800,000","280,900,000","242,700,000","254,900,000","249,900,000","277,300,000","223,300,000","239,700,000","218,200,000","227,100,000","210,500,000","208,100,000","250,600,000","247,400,000","211,500,000","181,700,000","192,300,000","213,900,000","164,000,000","164,700,000","166,200,000","186,700,000","170,300,000","152,700,000","144,600,000","161,100,000","140,500,000","132,400,000","125,800,000","472,500,000","14,600,000","16,800,000","12,500,000","463,000,000","11,600,000","9,100,000","10,300,000","209,700,000","9,800,000","9,300,000","201,900,000","-222,100,000","189,200,000","8,700,000","8,600,000","-190,000,000","160,100,000","158,100,000","148,300,000","-172,700,000","143,800,000","136,000,000","129,100,000","-142,400,000","120,900,000","124,500,000","96,900,000","-129,700,000","96,700,000","101,200,000","90,400,000","-105,500,000","79,600,000","166,700,000","229,100,000","228,900,000","233,100,000","230,000,000","240,200,000","225,200,000","226,300,000","232,400,000",
	SellingGeneralAndAdministration,"1,480,000,000","465,000,000","395,000,000","327,000,000","293,000,000","350,000,000","271,000,000","307,000,000","301,000,000","318,900,000","291,900,000","274,700,000","281,500,000","278,200,000","260,300,000","270,500,000","271,100,000","304,600,000","247,200,000","217,700,000","221,900,000","253,200,000","225,300,000","228,600,000","232,900,000","252,200,000","220,800,000","227,000,000","221,300,000","250,300,000","206,500,000","217,400,000","195,100,000","223,000,000","187,100,000","185,000,000","227,000,000","236,400,000","187,400,000","159,600,000","168,800,000","193,200,000","145,000,000","142,900,000","148,500,000","169,500,000","152,200,000","137,500,000","128,800,000","144,500,000","124,300,000","116,700,000","110,200,000",,,,,,,,,,,,"192,500,000","-231,200,000","180,400,000",,,"-198,800,000","151,800,000","149,400,000","140,000,000","-181,500,000","135,700,000","128,100,000","121,300,000","-149,600,000","113,800,000","118,300,000","92,800,000","-134,200,000","92,300,000","97,200,000","86,300,000","-109,300,000","75,100,000","140,400,000","195,000,000","193,100,000","199,600,000","193,800,000","204,800,000","188,800,000","192,000,000","197,000,000",
	DepreciationAmortizationDepletionIncomeStatement,"257,000,000","77,000,000","61,000,000","60,000,000","59,000,000","57,000,000","56,000,000","58,000,000","49,000,000","50,100,000","48,600,000","51,000,000","50,300,000","48,300,000","46,100,000","48,400,000","49,100,000","49,900,000","43,000,000","32,900,000","32,500,000","32,900,000","32,700,000","31,200,000","29,900,000","28,700,000","28,300,000","27,900,000","28,600,000","27,000,000","23,200,000","22,300,000","23,100,000","23,300,000","23,400,000","23,100,000","23,600,000","23,800,000","24,100,000","22,100,000","23,500,000","20,700,000","19,000,000","21,800,000","17,700,000","17,200,000","18,100,000","15,200,000","15,800,000","16,600,000","16,200,000","15,700,000","15,600,000","31,200,000","14,600,000","16,800,000","12,500,000","11,900,000","11,600,000","9,100,000","10,300,000","11,000,000","9,800,000","9,300,000","9,400,000","9,100,000","8,800,000","8,700,000","8,600,000","8,800,000","8,300,000","8,700,000","8,300,000","8,800,000","8,100,000","7,900,000","7,800,000","7,200,000","7,100,000","6,200,000","4,100,000","4,500,000","4,400,000","4,000,000","4,100,000","3,800,000","4,500,000","26,300,000","34,100,000","35,800,000","33,500,000","36,200,000","35,400,000","36,400,000","34,300,000","35,400,000",
		DepreciationAndAmortizationInIncomeStatement,"257,000,000","77,000,000","61,000,000","60,000,000","59,000,000","57,000,000","56,000,000","58,000,000","49,000,000","50,100,000","48,600,000","51,000,000","50,300,000","48,300,000","46,100,000","48,400,000","49,100,000","49,900,000","43,000,000","32,900,000","32,500,000","32,900,000","32,700,000","31,200,000","29,900,000","28,700,000","28,300,000","27,900,000","28,600,000","27,000,000","23,200,000","22,300,000","23,100,000","23,300,000","23,400,000","23,100,000","23,600,000","23,800,000","24,100,000","22,100,000","23,500,000","20,700,000","19,000,000","21,800,000","17,700,000","17,200,000","18,100,000","15,200,000","15,800,000","16,600,000","16,200,000","15,700,000","15,600,000","31,200,000","14,600,000","16,800,000","12,500,000","11,900,000","11,600,000","9,100,000","10,300,000","11,000,000","9,800,000","9,300,000","9,400,000","9,100,000","8,800,000","8,700,000","8,600,000","8,800,000","8,300,000","8,700,000","8,300,000","8,800,000","8,100,000","7,900,000","7,800,000","7,200,000","7,100,000","6,200,000","4,100,000","4,500,000","4,400,000","4,000,000","4,100,000","3,800,000","4,500,000","26,300,000","34,100,000","35,800,000","33,500,000","36,200,000","35,400,000","36,400,000","34,300,000","35,400,000",
	OtherTaxes,,,,,,,,,,,,,,,,,,"0","0",,,"0","-1,600,000",,,"0","-6,400,000",,,"0","-6,400,000",,,"-19,200,000","0",,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"2,844,000,000","512,000,000","676,000,000","801,000,000","855,000,000","474,000,000","665,000,000","708,000,000","600,000,000","508,600,000","549,800,000","548,000,000","468,600,000","429,500,000","468,100,000","536,000,000","491,600,000","468,600,000","455,500,000","464,100,000","443,400,000","390,700,000","407,500,000","410,200,000","304,100,000","333,100,000","356,100,000","419,300,000","371,300,000","344,700,000","356,100,000","411,700,000","333,000,000","331,100,000","291,500,000","350,800,000","280,400,000","285,200,000","269,700,000","278,500,000","269,000,000","172,000,000","196,300,000","270,000,000","250,100,000","196,700,000","189,300,000","190,800,000","196,100,000","177,800,000","176,200,000","190,300,000","160,700,000","125,600,000","188,000,000","233,500,000","198,600,000","262,100,000","250,500,000","363,700,000","304,700,000","463,300,000","268,800,000","289,100,000","238,300,000","242,400,000","231,900,000","252,800,000","212,500,000","206,200,000","197,800,000","199,500,000","182,900,000","176,100,000","161,200,000","176,700,000","149,100,000","129,000,000","127,400,000","147,000,000","134,700,000","111,000,000","93,700,000","104,000,000","89,800,000","77,000,000","72,900,000","48,200,000","119,800,000","148,500,000","111,500,000","115,500,000","104,600,000","146,300,000","103,100,000","106,000,000","471,100,000"
