name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001
TotalRevenue,"28,720,000,000","7,658,000,000","7,182,000,000","6,642,000,000","7,238,000,000","7,298,000,000","6,665,000,000","5,911,000,000","6,707,000,000","6,913,000,000","6,355,000,000","6,062,000,000","6,538,000,000","6,773,000,000","6,288,000,000","6,112,000,000","6,765,000,000","6,966,000,000","6,530,000,000","5,986,000,000","6,414,000,000","6,770,000,000","6,396,000,000","6,302,000,000","6,455,000,000","7,364,000,000","6,849,000,000","7,661,000,000","7,762,000,000","8,830,000,000","8,337,000,000","8,436,000,000","8,641,000,000","9,488,000,000","8,472,000,000","8,595,000,000","8,744,000,000","-4,273,000,000","12,909,000,000","13,286,000,000","13,093,000,000","14,688,000,000","13,226,000,000","13,878,000,000","12,573,000,000","13,773,000,000","11,863,000,000","12,253,000,000","11,318,000,000","11,025,000,000","9,803,000,000","10,162,000,000","9,396,000,000","10,767,000,000","10,462,000,000","11,176,000,000","10,372,000,000","10,396,000,000","9,054,000,000","9,205,000,000","8,586,000,000","9,371,000,000","8,243,000,000","8,619,000,000","8,123,000,000","9,663,000,000","8,057,000,000","8,334,000,000","8,059,000,000","8,439,000,000","7,831,000,000","8,205,000,000","7,693,000,000","8,330,000,000","7,480,000,000","7,841,000,000","7,359,000,000","7,847,000,000","7,216,000,000","7,513,000,000","7,147,000,000","8,760,000,000","8,056,000,000","8,692,000,000","8,367,000,000"
	OperatingRevenue,"28,720,000,000","7,658,000,000","7,182,000,000","6,642,000,000","7,238,000,000","7,298,000,000","6,665,000,000","5,911,000,000","6,707,000,000","6,913,000,000","6,355,000,000","6,062,000,000","6,538,000,000","6,773,000,000","6,288,000,000","6,112,000,000","6,765,000,000","6,966,000,000","6,530,000,000","5,986,000,000","6,414,000,000","6,770,000,000","6,396,000,000","6,302,000,000","6,455,000,000","7,364,000,000","6,849,000,000","7,661,000,000","7,762,000,000","8,830,000,000","8,337,000,000","8,436,000,000","8,641,000,000","9,488,000,000","8,472,000,000","8,595,000,000","8,744,000,000","-4,273,000,000","12,909,000,000","13,286,000,000","13,093,000,000","14,688,000,000","13,226,000,000","13,878,000,000","12,573,000,000","13,773,000,000","11,863,000,000","12,253,000,000","11,318,000,000","11,025,000,000","9,803,000,000","10,162,000,000","9,396,000,000","10,767,000,000","10,462,000,000","11,176,000,000","10,372,000,000","10,396,000,000","9,054,000,000","9,205,000,000","8,586,000,000","9,371,000,000","8,243,000,000","8,619,000,000","8,123,000,000","9,663,000,000","8,057,000,000","8,334,000,000","8,059,000,000","8,439,000,000","7,831,000,000","8,205,000,000","7,693,000,000","8,330,000,000","7,480,000,000","7,841,000,000","7,359,000,000","7,847,000,000","7,216,000,000","7,513,000,000","7,147,000,000","8,760,000,000","8,056,000,000","8,692,000,000","8,367,000,000"
CostOfRevenue,"17,466,000,000","4,825,000,000","4,358,000,000","4,011,000,000","4,272,000,000","4,426,000,000","3,873,000,000","3,580,000,000","4,256,000,000","4,154,000,000","3,839,000,000","3,593,000,000","3,945,000,000","4,224,000,000","3,874,000,000","3,572,000,000","3,916,000,000","4,302,000,000","3,978,000,000","3,662,000,000","3,889,000,000","4,181,000,000","3,908,000,000","3,786,000,000","3,920,000,000","4,529,000,000","4,179,000,000","4,595,000,000","4,821,000,000","5,684,000,000","5,195,000,000","5,331,000,000","5,437,000,000","5,995,000,000","5,328,000,000","5,364,000,000","5,502,000,000","-3,094,000,000","8,191,000,000","8,416,000,000","8,426,000,000","9,795,000,000","8,611,000,000","9,007,000,000","7,937,000,000","8,975,000,000","7,542,000,000","7,559,000,000","7,229,000,000","6,896,000,000","6,262,000,000","6,497,000,000","6,131,000,000","7,373,000,000","7,096,000,000","7,132,000,000","6,891,000,000","7,176,000,000","5,995,000,000","5,945,000,000","5,535,000,000","6,071,000,000","5,243,000,000","5,435,000,000","5,191,000,000","6,265,000,000","5,201,000,000","5,275,000,000","5,104,000,000","5,433,000,000","4,927,000,000","5,173,000,000","4,748,000,000","5,225,000,000","4,559,000,000","4,695,000,000","4,349,000,000","4,806,000,000","4,245,000,000","4,386,000,000","4,283,000,000","4,648,000,000","4,224,000,000","4,392,000,000","4,267,000,000"
GrossProfit,"11,254,000,000","2,833,000,000","2,824,000,000","2,631,000,000","2,966,000,000","2,872,000,000","2,792,000,000","2,331,000,000","2,451,000,000","2,759,000,000","2,516,000,000","2,469,000,000","2,593,000,000","2,549,000,000","2,414,000,000","2,540,000,000","2,849,000,000","2,664,000,000","2,552,000,000","2,324,000,000","2,525,000,000","2,589,000,000","2,488,000,000","2,516,000,000","2,535,000,000","2,835,000,000","2,670,000,000","3,066,000,000","2,941,000,000","3,146,000,000","3,142,000,000","3,105,000,000","3,204,000,000","3,493,000,000","3,144,000,000","3,231,000,000","3,242,000,000","-1,179,000,000","4,718,000,000","4,870,000,000","4,667,000,000","4,893,000,000","4,615,000,000","4,871,000,000","4,636,000,000","4,798,000,000","4,321,000,000","4,694,000,000","4,089,000,000","4,129,000,000","3,541,000,000","3,665,000,000","3,265,000,000","3,394,000,000","3,366,000,000","4,044,000,000","3,481,000,000","3,220,000,000","3,059,000,000","3,260,000,000","3,051,000,000","3,300,000,000","3,000,000,000","3,184,000,000","2,932,000,000","3,398,000,000","2,856,000,000","3,059,000,000","2,955,000,000","3,006,000,000","2,904,000,000","3,032,000,000","2,945,000,000","3,105,000,000","2,921,000,000","3,146,000,000","3,010,000,000","3,041,000,000","2,971,000,000","3,127,000,000","2,864,000,000","4,112,000,000","3,832,000,000","4,300,000,000","4,100,000,000"
OperatingExpense,"6,397,000,000","1,702,000,000","1,468,000,000","1,625,000,000","1,602,000,000","1,675,000,000","1,534,000,000","1,503,000,000","1,580,000,000","1,794,000,000","1,509,000,000","1,470,000,000","1,537,000,000","1,580,000,000","1,552,000,000","1,948,000,000","1,571,000,000","1,702,000,000","1,375,000,000","1,493,000,000","1,519,000,000","1,749,000,000","1,596,000,000","1,712,000,000","1,659,000,000","1,946,000,000","1,835,000,000","2,007,000,000","1,970,000,000","2,150,000,000","2,101,000,000","2,093,000,000","2,319,000,000","2,347,000,000","1,839,000,000","2,324,000,000","2,386,000,000","599,000,000","3,009,000,000","2,907,000,000","2,878,000,000","3,386,000,000","2,924,000,000","3,065,000,000","2,990,000,000","3,525,000,000","2,811,000,000","2,993,000,000","2,883,000,000","2,855,000,000","2,122,000,000","2,160,000,000","1,997,000,000","3,093,000,000","2,330,000,000","2,534,000,000","2,298,000,000","2,160,000,000","2,078,000,000","2,072,000,000","1,929,000,000","2,340,000,000","1,640,000,000","1,781,000,000","1,914,000,000","2,201,000,000","1,708,000,000","1,809,000,000","1,798,000,000","1,878,000,000","1,651,000,000","1,790,000,000","1,956,000,000","1,614,000,000","1,511,000,000","1,518,000,000","1,522,000,000","1,268,000,000","1,411,000,000","1,508,000,000","1,560,000,000","2,861,000,000","2,656,000,000","2,935,000,000","3,008,000,000"
	SellingGeneralAndAdministration,"6,263,000,000","1,670,000,000","1,436,000,000","1,593,000,000","1,564,000,000","1,624,000,000","1,484,000,000","1,453,000,000","1,537,000,000","1,750,000,000","1,466,000,000","1,427,000,000","1,493,000,000","1,536,000,000","1,508,000,000","1,904,000,000","1,527,000,000","1,657,000,000","1,330,000,000","1,449,000,000","1,475,000,000","1,705,000,000","1,552,000,000","1,668,000,000","1,615,000,000","1,902,000,000","1,790,000,000","1,961,000,000","1,924,000,000","2,101,000,000","2,053,000,000","2,038,000,000","2,265,000,000","2,294,000,000","1,784,000,000","2,269,000,000","2,332,000,000","545,000,000","2,955,000,000","2,854,000,000","2,822,000,000","3,333,000,000","2,866,000,000","3,008,000,000","2,933,000,000","3,460,000,000","2,758,000,000","2,933,000,000","2,850,000,000","2,861,000,000","2,116,000,000","2,140,000,000","1,991,000,000","2,370,000,000","2,199,000,000","2,353,000,000","2,211,000,000","2,067,000,000","1,901,000,000","1,969,000,000","1,872,000,000","2,007,000,000","1,765,000,000","1,770,000,000","1,707,000,000","1,919,000,000","1,678,000,000","1,777,000,000","1,761,000,000","1,759,000,000","1,596,000,000","1,657,000,000","1,646,000,000","1,639,000,000","1,526,000,000","1,515,000,000","1,520,000,000","1,235,000,000","1,410,000,000","1,506,000,000","1,558,000,000","2,618,000,000","2,417,000,000","2,695,000,000","2,768,000,000"
	DepreciationAmortizationDepletionIncomeStatement,"134,000,000","32,000,000","32,000,000","32,000,000","38,000,000","51,000,000","50,000,000","50,000,000","43,000,000","44,000,000","43,000,000","43,000,000","44,000,000","44,000,000","44,000,000","44,000,000","44,000,000","45,000,000","45,000,000","44,000,000","44,000,000","44,000,000","44,000,000","44,000,000","44,000,000","44,000,000","45,000,000","46,000,000","46,000,000","49,000,000","48,000,000","55,000,000","54,000,000","53,000,000","55,000,000","55,000,000","54,000,000","54,000,000","54,000,000","53,000,000","56,000,000","53,000,000","58,000,000","57,000,000","57,000,000","65,000,000","53,000,000","60,000,000","33,000,000","11,000,000","6,000,000","3,000,000","6,000,000","5,000,000","7,000,000","4,000,000","7,000,000","4,000,000","3,000,000","4,000,000","2,000,000","1,000,000","1,000,000","3,000,000","2,000,000","1,000,000","4,000,000","2,000,000","3,000,000","3,000,000","2,000,000","4,000,000","2,000,000","2,000,000","2,000,000","3,000,000","2,000,000","2,000,000","1,000,000","2,000,000","2,000,000","243,000,000","239,000,000","240,000,000","240,000,000"
		DepreciationAndAmortizationInIncomeStatement,"134,000,000","32,000,000","32,000,000","32,000,000","38,000,000","51,000,000","50,000,000","50,000,000","43,000,000","44,000,000","43,000,000","43,000,000","44,000,000","44,000,000","44,000,000","44,000,000","44,000,000","45,000,000","45,000,000","44,000,000","44,000,000","44,000,000","44,000,000","44,000,000","44,000,000","44,000,000","45,000,000","46,000,000","46,000,000","49,000,000","48,000,000","55,000,000","54,000,000","53,000,000","55,000,000","55,000,000","54,000,000","54,000,000","54,000,000","53,000,000","56,000,000","53,000,000","58,000,000","57,000,000","57,000,000","65,000,000","53,000,000","60,000,000","33,000,000","11,000,000","6,000,000","3,000,000","6,000,000","5,000,000","7,000,000","4,000,000","7,000,000","4,000,000","3,000,000","4,000,000","2,000,000","1,000,000","1,000,000","3,000,000","2,000,000","1,000,000","4,000,000","2,000,000","3,000,000","3,000,000","2,000,000","4,000,000","2,000,000","2,000,000","2,000,000","3,000,000","2,000,000","2,000,000","1,000,000","2,000,000","2,000,000","243,000,000","239,000,000","240,000,000","240,000,000"
			Amortization,"134,000,000","32,000,000","32,000,000","32,000,000","38,000,000","51,000,000","50,000,000","50,000,000","43,000,000","44,000,000","43,000,000","43,000,000","44,000,000","44,000,000","44,000,000","44,000,000","44,000,000","45,000,000","45,000,000","44,000,000","44,000,000","44,000,000","44,000,000","44,000,000","44,000,000","44,000,000","45,000,000","46,000,000","46,000,000","49,000,000","48,000,000","55,000,000","54,000,000","53,000,000","55,000,000","55,000,000","54,000,000","54,000,000","54,000,000","53,000,000","56,000,000","53,000,000","58,000,000","57,000,000","57,000,000","65,000,000","53,000,000","60,000,000","33,000,000","11,000,000","6,000,000","3,000,000","6,000,000","5,000,000","7,000,000","4,000,000","7,000,000","4,000,000","3,000,000","4,000,000","2,000,000","1,000,000","1,000,000","3,000,000","2,000,000","1,000,000","4,000,000","2,000,000","3,000,000","3,000,000","2,000,000","4,000,000","2,000,000","2,000,000","2,000,000","3,000,000","2,000,000","2,000,000","1,000,000","2,000,000","2,000,000","243,000,000","239,000,000","240,000,000","240,000,000"
				AmortizationOfIntangiblesIncomeStatement,"134,000,000","32,000,000","32,000,000","32,000,000","38,000,000","51,000,000","50,000,000","50,000,000","43,000,000","44,000,000","43,000,000","43,000,000","44,000,000","44,000,000","44,000,000","44,000,000","44,000,000","45,000,000","45,000,000","44,000,000","44,000,000","44,000,000","44,000,000","44,000,000","44,000,000","44,000,000","45,000,000","46,000,000","46,000,000","49,000,000","48,000,000","55,000,000","54,000,000","53,000,000","55,000,000","55,000,000","54,000,000","54,000,000","54,000,000","53,000,000","56,000,000","53,000,000","58,000,000","57,000,000","57,000,000","65,000,000","53,000,000","60,000,000","33,000,000","11,000,000","6,000,000","3,000,000","6,000,000","5,000,000","7,000,000","4,000,000","7,000,000","4,000,000","3,000,000","4,000,000","2,000,000","1,000,000","1,000,000","3,000,000","2,000,000","1,000,000","4,000,000","2,000,000","3,000,000","3,000,000","2,000,000","4,000,000","2,000,000","2,000,000","2,000,000","3,000,000","2,000,000","2,000,000","1,000,000","2,000,000","2,000,000","243,000,000","239,000,000","240,000,000","240,000,000"
