name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991
TotalRevenue,"11,200,613,000","2,760,737,000","2,817,017,000","2,953,833,000","2,669,026,000","2,641,764,000","2,574,870,000","2,049,800,000","2,285,763,000","2,424,512,000","2,519,185,000","2,584,485,000","2,442,490,000","2,448,618,000","2,545,800,000","2,577,014,000","2,412,202,000","2,369,097,000","2,448,510,000","2,453,038,000","2,220,645,000","2,182,566,000","2,294,139,000","2,310,336,000","2,172,046,000","1,997,997,000","2,150,656,000","2,041,733,000","1,881,177,000","1,951,446,000","1,990,658,000","2,048,247,000","1,813,095,000","1,924,104,000","1,961,536,000","1,976,299,000","1,486,815,000","1,435,659,000","1,473,493,000","1,469,793,000","1,409,035,000","1,378,297,000","1,442,512,000","1,477,854,000","1,343,595,000","1,262,198,000","1,309,552,000","1,400,086,000","1,347,236,000","1,347,108,000","1,382,565,000","1,406,012,000","1,208,339,000","1,485,172,000","1,763,034,000","1,840,045,000","1,738,097,000","1,807,268,000","1,937,677,000","1,977,210,000","1,863,863,000","1,898,594,000","2,024,019,000","2,058,123,000","1,925,106,000","1,804,551,000","1,697,634,000","1,624,692,000","1,493,222,000","1,471,045,000","1,531,150,000","1,486,916,000","1,391,261,000","1,369,991,000","1,303,166,000","1,247,181,000","1,084,715,000","1,203,476,000","1,224,403,000","1,227,747,000","866,710,000","1,004,248,000","869,666,000","828,348,000","743,683,000","799,441,000","838,514,000","852,808,000","765,083,000","775,600,000","809,900,000","790,800,000","709,200,000","1,056,700,000","576,300,000","546,400,000","459,800,000","516,200,000","500,800,000","479,200,000","412,800,000","465,700,000","471,200,000","474,600,000","383,700,000","415,100,000","425,300,000","429,800,000","379,800,000","362,100,000","377,600,000","370,500,000","327,100,000","219,700,000","216,900,000","156,900,000","140,500,000","132,700,000","77,800,000","78,000,000","64,000,000","75,100,000","75,000,000","75,000,000","75,000,000"
	OperatingRevenue,"11,200,613,000","2,760,737,000","2,817,017,000","2,953,833,000","2,669,026,000","2,641,764,000","2,574,870,000","2,049,800,000","2,285,763,000","2,424,512,000","2,519,185,000","2,584,485,000","2,442,490,000","2,448,618,000","2,545,800,000","2,577,014,000","2,412,202,000","2,369,097,000","2,448,510,000","2,453,038,000","2,220,645,000","2,182,566,000","2,294,139,000","2,310,336,000","2,172,046,000","1,997,997,000","2,150,656,000","2,041,733,000","1,881,177,000","1,951,446,000","1,990,658,000","2,048,247,000","1,813,095,000","1,924,104,000","1,961,536,000","1,976,299,000","1,486,815,000","1,435,659,000","1,473,493,000","1,469,793,000","1,409,035,000","1,378,297,000","1,442,512,000","1,477,854,000","1,343,595,000","1,262,198,000","1,309,552,000","1,400,086,000","1,347,236,000","1,347,108,000","1,382,565,000","1,406,012,000","1,208,339,000","1,485,172,000","1,763,034,000","1,840,045,000","1,738,097,000","1,807,268,000","1,937,677,000","1,977,210,000","1,863,863,000","1,898,594,000","2,024,019,000","2,058,123,000","1,925,106,000","1,804,551,000","1,697,634,000","1,624,692,000","1,493,222,000","1,471,045,000","1,531,150,000","1,486,916,000","1,391,261,000","1,369,991,000","1,303,166,000","1,247,181,000","1,084,715,000","1,203,476,000","1,224,403,000","1,227,747,000","866,710,000","1,004,248,000","869,666,000","828,348,000","743,683,000","799,441,000","838,514,000","852,808,000","765,083,000","775,600,000","809,900,000","790,800,000","709,200,000","1,056,700,000","576,300,000","546,400,000","459,800,000","516,200,000","500,800,000","479,200,000","412,800,000","465,700,000","471,200,000","474,600,000","383,700,000","415,100,000","425,300,000","429,800,000","379,800,000","362,100,000","377,600,000","370,500,000","327,100,000","219,700,000","216,900,000","156,900,000","140,500,000","132,700,000","77,800,000","78,000,000","64,000,000","75,100,000","75,000,000","75,000,000","75,000,000"
CostOfRevenue,"7,931,879,000","2,023,294,000","1,979,702,000","2,051,626,000","1,877,257,000","1,903,680,000","1,868,671,000","1,679,833,000","1,669,323,000","1,801,705,000","1,827,494,000","1,847,867,000","1,817,563,000","1,802,228,000","1,825,367,000","1,810,459,000","1,707,510,000","1,615,473,000","1,665,209,000","1,673,902,000","1,540,292,000","1,491,567,000","1,567,580,000","1,554,748,000","1,532,367,000","1,375,787,000","1,489,252,000","1,426,604,000","1,369,234,000","1,409,843,000","1,434,236,000","1,473,435,000","1,331,740,000","1,411,307,000","1,444,646,000","1,462,243,000","1,109,749,000","1,066,328,000","1,100,656,000","1,081,329,000","1,049,609,000","1,042,880,000","1,084,889,000","1,095,607,000","1,002,003,000","920,532,000","964,620,000","1,025,330,000","1,005,990,000","1,005,414,000","1,013,106,000","1,038,624,000","1,054,650,000","1,129,210,000","1,323,963,000","1,357,153,000","1,278,258,000","1,318,005,000","1,392,294,000","1,420,512,000","1,340,423,000","1,344,516,000","1,455,508,000","1,465,745,000","1,422,096,000","1,349,496,000","1,245,766,000","1,193,183,000","1,108,520,000","1,025,975,000","1,104,340,000","1,093,686,000","1,035,530,000","990,400,000","938,280,000","907,078,000","809,919,000","860,800,000","883,746,000","888,561,000","652,115,000","786,734,000","649,023,000","611,628,000","565,658,000","576,322,000","604,702,000","615,982,000","553,645,000","552,000,000","581,900,000","560,700,000","506,000,000","788,000,000","416,100,000","388,000,000","338,900,000","382,700,000","369,000,000","349,400,000","303,800,000","338,800,000","347,600,000","344,100,000","282,700,000","311,500,000","321,300,000","326,600,000","285,700,000","274,200,000","281,200,000","272,300,000","230,900,000","162,600,000","159,200,000","117,100,000","104,700,000","100,100,000","58,200,000","58,200,000","47,900,000",,,,
GrossProfit,"3,268,734,000","737,443,000","837,315,000","902,207,000","791,769,000","738,084,000","706,199,000","369,967,000","616,440,000","622,807,000","691,691,000","736,618,000","624,927,000","646,390,000","720,433,000","766,555,000","704,692,000","753,624,000","783,301,000","779,136,000","680,353,000","690,999,000","726,559,000","755,588,000","639,679,000","622,210,000","661,404,000","615,129,000","511,943,000","541,603,000","556,422,000","574,812,000","481,355,000","512,797,000","516,890,000","514,056,000","377,066,000","369,331,000","372,837,000","388,464,000","359,426,000","335,417,000","357,623,000","382,247,000","341,592,000","341,666,000","344,932,000","374,756,000","341,246,000","341,694,000","369,459,000","367,388,000","153,689,000","355,962,000","439,071,000","482,892,000","459,839,000","489,263,000","545,383,000","556,698,000","523,440,000","554,078,000","568,511,000","592,378,000","503,010,000","455,055,000","451,868,000","431,509,000","384,702,000","445,070,000","426,810,000","393,230,000","355,731,000","379,591,000","364,886,000","340,103,000","274,796,000","342,676,000","340,657,000","339,186,000","214,595,000","217,514,000","220,643,000","216,720,000","178,025,000","223,119,000","233,812,000","236,826,000","211,438,000","223,600,000","228,000,000","230,100,000","203,200,000","268,700,000","160,200,000","158,400,000","120,900,000","133,500,000","131,800,000","129,800,000","109,000,000","126,900,000","123,600,000","130,500,000","101,000,000","103,600,000","104,000,000","103,200,000","94,100,000","87,900,000","96,400,000","98,200,000","96,200,000","57,100,000","57,700,000","39,800,000","35,800,000","32,600,000","19,600,000","19,800,000","16,100,000",,,,
OperatingExpense,"1,933,723,000","484,345,000","477,341,000","497,783,000","474,254,000","455,350,000","443,455,000","430,925,000","464,957,000","467,993,000","451,471,000","469,758,000","459,597,000","433,014,000","433,189,000","440,248,000","436,293,000","410,158,000","403,203,000","423,311,000","405,569,000","385,727,000","348,252,000","404,896,000","394,007,000","372,968,000","372,670,000","359,313,000","468,169,000","335,483,000","342,729,000","352,564,000","350,620,000","361,809,000","340,987,000","380,858,000","290,224,000","273,471,000","268,883,000","280,746,000","287,450,000","269,123,000","266,159,000","280,547,000","285,508,000","256,026,000","259,750,000","285,030,000","287,625,000","294,829,000","301,388,000","292,710,000","299,573,000","-1,094,020,000","1,740,171,000","336,829,000","335,521,000","308,796,000","344,569,000","358,450,000","352,863,000","324,704,000","345,771,000","369,333,000","352,443,000","289,718,000","274,052,000","271,020,000","261,072,000","272,250,000","233,752,000","242,557,000","236,692,000","205,227,000","205,482,000","210,035,000","196,603,000","179,773,000","197,779,000","200,123,000","140,327,000","119,931,000","128,235,000","133,159,000","124,420,000","147,690,000","146,743,000","147,915,000","145,732,000","149,400,000","144,100,000","149,200,000","147,600,000","181,400,000","100,700,000","101,300,000","90,800,000","90,700,000","89,700,000","89,400,000","87,100,000","95,300,000","90,400,000","93,500,000","82,900,000","111,200,000","84,400,000","83,900,000","77,400,000","69,800,000","68,100,000","70,200,000","72,300,000","39,900,000","42,600,000","29,300,000","29,500,000","21,800,000","11,900,000","13,900,000","14,100,000",,,,
	SellingGeneralAndAdministration,"1,933,723,000","484,345,000","477,341,000","497,783,000","474,254,000","455,350,000","443,455,000","430,925,000","464,957,000","467,993,000","451,471,000","469,758,000","459,597,000","433,014,000","433,189,000","440,248,000","436,293,000","410,158,000","403,203,000","423,311,000","405,569,000","385,727,000","348,252,000","404,896,000","394,007,000","372,968,000","372,670,000","359,313,000","468,169,000","335,483,000","342,729,000","352,564,000","350,620,000","361,809,000","340,987,000","380,858,000","290,224,000","273,471,000","268,883,000","280,746,000","287,450,000","269,123,000","266,159,000","280,547,000","285,508,000","256,026,000","259,750,000","285,030,000","287,625,000","294,829,000","301,388,000","292,710,000","299,573,000","324,892,000","321,259,000","336,829,000","335,521,000","308,796,000","344,569,000","358,450,000","352,863,000","324,704,000","345,771,000","369,333,000","352,443,000","289,718,000","274,052,000","271,020,000","261,072,000","272,250,000","233,752,000","242,557,000","236,692,000","205,227,000","205,482,000","210,035,000","196,603,000","179,773,000","197,779,000","200,123,000","140,327,000","119,931,000","128,235,000","133,159,000","124,420,000","126,755,000","127,151,000","126,971,000","124,857,000","120,200,000","119,300,000","121,400,000","124,100,000","162,100,000","84,700,000","84,600,000","74,800,000","76,700,000","74,400,000","74,500,000","72,000,000","81,500,000","76,100,000","80,200,000","69,100,000","99,600,000","71,700,000","70,500,000","62,500,000","57,100,000","55,800,000","57,900,000","60,300,000","33,100,000","35,200,000","25,100,000","24,800,000","19,200,000","10,200,000","12,300,000","12,300,000",,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,935,000","19,592,000","20,944,000","20,875,000","29,200,000","24,800,000","27,800,000","23,500,000","19,300,000","16,000,000","16,700,000","16,000,000","14,000,000","15,300,000","14,900,000","15,100,000","13,800,000","14,300,000","13,300,000","13,800,000","11,600,000","12,700,000","13,400,000","14,900,000","12,700,000","12,300,000","12,300,000","12,000,000","6,800,000","7,400,000","4,200,000","4,700,000","2,600,000","1,700,000","1,600,000","1,800,000",,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,935,000","19,592,000","20,944,000","20,875,000","29,200,000","24,800,000","27,800,000","23,500,000","19,300,000","16,000,000","16,700,000","16,000,000","14,000,000","15,300,000","14,900,000","15,100,000","13,800,000","14,300,000","13,300,000","13,800,000","11,600,000","12,700,000","13,400,000","14,900,000","12,700,000","12,300,000","12,300,000","12,000,000","6,800,000","7,400,000","4,200,000","4,700,000","2,600,000","1,700,000","1,600,000","1,800,000",,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,418,912,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"1,335,011,000","253,098,000","359,974,000","404,424,000","317,515,000","282,734,000","262,744,000","-60,958,000","151,483,000","154,814,000","240,220,000","266,860,000","165,330,000","213,376,000","287,244,000","326,307,000","268,399,000","343,466,000","380,098,000","355,825,000","274,784,000","305,272,000","378,307,000","350,692,000","245,672,000","249,242,000","288,734,000","255,816,000","43,774,000","206,120,000","213,693,000","222,248,000","130,735,000","150,988,000","175,903,000","133,198,000","86,842,000","95,860,000","103,954,000","107,718,000","71,976,000","66,294,000","91,464,000","101,700,000","56,084,000","85,640,000","85,182,000","89,726,000","53,621,000","46,865,000","68,071,000","74,678,000","-145,884,000","1,449,982,000","-1,301,100,000","146,063,000","124,318,000","180,467,000","200,814,000","198,248,000","170,577,000","229,374,000","222,740,000","223,045,000","150,567,000","165,337,000","177,816,000","160,489,000","123,630,000","172,820,000","193,058,000","150,673,000","119,039,000","174,364,000","159,404,000","130,068,000","78,193,000","162,903,000","142,878,000","139,063,000","74,268,000","97,583,000","92,408,000","83,561,000","53,605,000","75,429,000","87,069,000","88,911,000","65,706,000","74,200,000","83,900,000","80,900,000","55,600,000","87,300,000","59,500,000","57,100,000","30,100,000","42,800,000","42,100,000","40,400,000","21,900,000","31,600,000","33,200,000","37,000,000","18,100,000","-7,600,000","19,600,000","19,300,000","16,700,000","18,100,000","28,300,000","28,000,000","23,900,000","17,200,000","15,100,000","10,500,000","6,300,000","10,800,000","7,700,000","5,900,000","2,000,000","-204,300,000","75,000,000","75,000,000","75,000,000"
