name,ttm,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,11/30/2016,08/31/2016,05/31/2016,02/29/2016,11/30/2015,08/31/2015,05/31/2015,02/28/2015,11/30/2014,08/31/2014,05/31/2014,02/28/2014,11/30/2013,08/31/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005,11/30/2004,08/31/2004,05/31/2004,02/29/2004,11/30/2003,08/31/2003,05/31/2003,02/28/2003,11/30/2002,08/31/2002,05/31/2002,02/28/2002,11/30/2001,08/31/2001,05/31/2001,02/28/2001,11/30/2000,08/31/2000,05/31/2000,02/29/2000,11/30/1999,08/31/1999,05/31/1999,02/28/1999,11/30/1998,08/31/1998,05/31/1998,02/28/1998,11/30/1997,08/31/1997,05/31/1997,02/28/1997,11/30/1996,08/31/1996,05/31/1996,02/29/1996,11/30/1995,08/31/1995,05/31/1995,02/28/1995,11/30/1994,08/31/1994,05/31/1994,02/28/1994,11/30/1993,08/31/1993,05/31/1993,02/28/1993,11/30/1992,08/31/1992,05/31/1992,02/29/1992,11/30/1991,08/31/1991,05/31/1991,02/28/1991,11/30/1990,08/31/1990,05/31/1990,02/28/1990,11/30/1989,08/31/1989,05/31/1989,02/28/1989,11/30/1988,08/31/1988,05/31/1988,02/29/1988,11/30/1987,08/31/1987,05/31/1987,02/28/1987,11/30/1986,08/31/1986,05/31/1986,02/28/1986,11/30/1985,08/31/1985
TotalRevenue,"6,358,800,000","1,522,400,000","1,730,300,000","1,549,400,000","1,556,700,000","1,481,500,000","1,557,900,000","1,430,300,000","1,401,100,000","1,212,000,000","1,484,800,000","1,329,200,000","1,301,900,000","1,231,500,000","1,499,200,000","1,345,300,000","1,327,300,000","1,237,100,000","1,490,900,000","1,185,200,000","1,114,300,000","1,043,700,000","1,227,000,000","1,091,000,000","1,063,300,000","1,030,200,000","1,201,900,000","1,059,900,000","1,024,100,000","1,010,400,000","1,173,600,000","1,042,800,000","1,033,400,000","993,400,000","1,170,000,000","1,016,400,000","1,002,600,000","934,400,000","1,145,800,000","977,700,000","984,000,000","906,700,000","1,110,700,000","920,400,000","883,700,000","782,800,000","979,400,000","794,600,000","798,300,000","764,500,000","924,600,000","791,700,000","757,300,000","718,500,000","906,900,000","781,600,000","764,100,000","723,950,000","860,119,000","716,227,000","687,214,000","652,639,000","803,698,000","663,095,000","639,906,000","609,701,000","737,074,000","622,731,000","628,571,000","603,623,000","744,131,000","613,544,000","596,164,000","572,362,000","698,627,000","557,612,000","596,125,000","555,147,000","703,463,000","545,011,000","552,620,000","518,906,000","701,946,000","570,710,000","567,140,000","533,504,000","679,507,000","495,866,000","485,724,000","462,403,000","620,400,000","476,800,000","468,200,000","441,500,000","585,700,000","444,800,000","435,500,000","415,200,000","557,000,000","422,900,000","413,700,000","407,400,000","537,400,000","405,500,000","435,700,000","431,800,000","556,300,000","432,000,000","445,000,000","425,400,000","508,600,000","422,200,000","396,300,000","367,700,000","460,800,000","394,900,000","361,300,000","339,600,000","452,200,000","360,300,000","336,600,000","322,300,000","429,900,000","341,800,000","332,600,000","323,600,000","399,200,000","321,500,000","301,700,000","300,500,000","361,600,000","314,900,000","291,700,000","277,900,000","349,300,000","285,300,000","277,200,000","272,100,000","324,500,000","261,200,000","260,800,000","232,000,000","293,800,000","235,200,000","223,500,000","223,200,000","267,200,000","205,700,000"
	OperatingRevenue,"6,358,800,000","1,522,400,000","1,730,300,000","1,549,400,000","1,556,700,000","1,481,500,000","1,557,900,000","1,430,300,000","1,401,100,000","1,212,000,000","1,484,800,000","1,329,200,000","1,301,900,000","1,231,500,000","1,499,200,000","1,345,300,000","1,327,300,000","1,237,100,000","1,490,900,000","1,185,200,000","1,114,300,000","1,043,700,000","1,227,000,000","1,091,000,000","1,063,300,000","1,030,200,000","1,201,900,000","1,059,900,000","1,024,100,000","1,010,400,000","1,173,600,000","1,042,800,000","1,033,400,000","993,400,000","1,170,000,000","1,016,400,000","1,002,600,000","934,400,000","1,145,800,000","977,700,000","984,000,000","906,700,000","1,110,700,000","920,400,000","883,700,000","782,800,000","979,400,000","794,600,000","798,300,000","764,500,000","924,600,000","791,700,000","757,300,000","718,500,000","906,900,000","781,600,000","764,100,000","723,950,000","860,119,000","716,227,000","687,214,000","652,639,000","803,698,000","663,095,000","639,906,000","609,701,000","737,074,000","622,731,000","628,571,000","603,623,000","744,131,000","613,544,000","596,164,000","572,362,000","698,627,000","557,612,000","596,125,000","555,147,000","703,463,000","545,011,000","552,620,000","518,906,000","700,946,000","570,710,000","567,140,000","533,504,000","679,507,000","495,866,000","485,724,000","462,403,000","620,400,000","476,800,000","468,200,000","441,500,000","585,700,000","444,800,000","435,500,000","415,200,000","557,000,000","422,900,000","413,700,000","407,400,000","537,400,000","405,500,000","435,700,000","431,800,000","556,300,000","432,000,000","445,000,000","425,400,000","508,600,000","422,200,000","396,300,000","367,700,000","460,800,000","394,900,000","361,300,000","339,600,000","452,200,000","360,300,000","336,600,000","322,300,000","429,900,000","341,800,000","332,600,000","323,600,000","399,200,000","321,500,000","301,700,000","300,500,000","361,600,000","314,900,000","291,700,000","277,900,000","349,300,000","285,300,000","277,200,000","272,100,000","324,500,000","261,200,000","260,800,000","232,000,000","293,800,000","235,200,000","223,500,000","223,200,000","267,200,000","205,700,000"
CostOfRevenue,"3,881,300,000","962,000,000","1,027,400,000","949,800,000","942,100,000","904,000,000","897,200,000","840,000,000","821,600,000","742,100,000","854,800,000","789,300,000","793,400,000","764,600,000","817,700,000","750,400,000","752,100,000","717,100,000","822,700,000","700,800,000","669,700,000","630,700,000","687,000,000","637,100,000","630,500,000","625,200,000","680,200,000","638,000,000","620,100,000","620,700,000","667,500,000","622,700,000","620,900,000","601,900,000","667,800,000","608,800,000","608,200,000","572,700,000","663,400,000","586,000,000","595,600,000","551,400,000","631,600,000","555,900,000","533,000,000","454,600,000","533,400,000","459,800,000","471,600,000","454,300,000","502,900,000","472,700,000","455,100,000","434,300,000","510,800,000","473,200,000","466,200,000","438,200,000","488,800,000","431,898,000","415,414,000","388,287,000","448,025,000","393,818,000","389,342,000","370,616,000","413,325,000","379,394,000","387,225,000","375,455,000","429,002,000","374,385,000","364,238,000","350,676,000","396,413,000","345,131,000","382,750,000","355,307,000","414,696,000","355,124,000","359,925,000","333,655,000","388,599,000","341,765,000","345,627,000","325,009,000","363,329,000","308,635,000","301,329,000","284,107,000","355,100,000","299,000,000","295,500,000","282,600,000","342,300,000","285,000,000","281,100,000","269,000,000","326,100,000","271,500,000","267,500,000","257,900,000","307,300,000","254,000,000","284,900,000","272,700,000","327,900,000","274,400,000","278,100,000","267,500,000","294,900,000","247,200,000","240,200,000","221,900,000","254,900,000","226,900,000","216,400,000","204,700,000","249,200,000","208,400,000","198,000,000","188,600,000","236,200,000","205,100,000","205,700,000","199,000,000","225,600,000","196,700,000","190,800,000","188,500,000",,,,,,,,,,,,,,,,,,
GrossProfit,"2,477,500,000","560,400,000","702,900,000","599,600,000","614,600,000","577,500,000","660,700,000","590,300,000","579,500,000","469,900,000","630,000,000","539,900,000","508,500,000","466,900,000","681,500,000","594,900,000","575,200,000","520,000,000","668,200,000","484,400,000","444,600,000","413,000,000","540,000,000","453,900,000","432,800,000","405,000,000","521,700,000","421,900,000","404,000,000","389,700,000","506,100,000","420,100,000","412,500,000","391,500,000","502,200,000","407,600,000","394,400,000","361,700,000","482,400,000","391,700,000","388,400,000","355,300,000","479,100,000","364,500,000","350,700,000","328,200,000","446,000,000","334,800,000","326,700,000","310,200,000","421,700,000","319,000,000","302,200,000","284,200,000","396,100,000","308,400,000","297,900,000","285,750,000","371,319,000","284,329,000","271,800,000","264,352,000","355,673,000","269,277,000","250,564,000","239,085,000","323,749,000","243,337,000","241,346,000","228,168,000","315,129,000","239,159,000","231,926,000","221,686,000","302,214,000","212,481,000","213,375,000","199,840,000","288,767,000","189,887,000","192,695,000","185,251,000","313,347,000","228,945,000","221,513,000","208,495,000","316,178,000","187,231,000","184,395,000","178,296,000","265,300,000","177,800,000","172,700,000","158,900,000","243,400,000","159,800,000","154,400,000","146,200,000","230,900,000","151,400,000","146,200,000","149,500,000","230,100,000","151,500,000","150,800,000","159,100,000","228,400,000","157,600,000","166,900,000","157,900,000","213,700,000","175,000,000","156,100,000","145,800,000","205,900,000","168,000,000","144,900,000","134,900,000","203,000,000","151,900,000","138,600,000","133,700,000","193,700,000","136,700,000","126,900,000","124,600,000","173,600,000","124,800,000","110,900,000","112,000,000",,,,,,,,,,,,,,,,,,
OperatingExpense,"1,416,100,000","333,300,000","398,900,000","327,300,000","356,600,000","321,300,000","370,500,000","317,200,000","319,200,000","274,700,000","326,900,000","278,700,000","293,300,000","267,900,000","383,800,000","353,000,000","367,300,000","325,400,000","375,800,000","286,500,000","307,300,000","275,200,000","315,000,000","281,800,000","303,900,000","274,300,000","307,100,000","271,500,000","281,200,000","267,600,000","303,800,000","260,500,000","290,800,000","266,900,000","303,100,000","259,200,000","278,400,000","249,700,000","282,100,000","247,500,000","267,100,000","242,800,000","287,100,000","236,100,000","241,400,000","217,600,000","260,600,000","208,800,000","229,200,000","209,400,000","238,300,000","201,500,000","212,900,000","193,900,000","260,000,000","212,900,000","222,000,000","204,725,000","225,213,000","192,596,000","198,452,000","190,637,000","216,048,000","187,576,000","195,866,000","214,792,000","188,259,000","164,437,000","170,194,000","170,210,000","187,536,000","165,158,000","162,204,000","160,302,000","180,832,000","149,752,000","153,394,000","140,958,000","175,871,000","132,683,000","137,193,000","133,153,000","222,695,000","172,506,000","171,943,000","163,556,000","223,107,000","134,779,000","141,712,000","140,402,000","182,700,000","133,800,000","137,000,000","126,300,000","158,400,000","120,800,000","123,300,000","116,100,000","153,000,000","119,000,000","117,500,000","120,800,000","156,200,000","118,300,000","122,500,000","134,000,000","154,700,000","113,900,000","127,200,000","114,000,000","139,300,000","124,500,000","118,500,000","109,600,000","138,200,000","119,300,000","111,900,000","103,800,000","141,600,000","109,200,000","106,300,000","103,000,000","138,700,000","100,000,000","100,700,000","96,900,000","125,200,000","89,500,000","89,800,000","89,800,000",,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"1,416,100,000","333,300,000","398,900,000","327,300,000","356,600,000","321,300,000","370,500,000","317,200,000","319,200,000","274,700,000","326,900,000","278,700,000","293,300,000","267,900,000","383,800,000","353,000,000","367,300,000","325,400,000","375,800,000","286,500,000","307,300,000","275,200,000","315,000,000","281,800,000","303,900,000","274,300,000","307,100,000","271,500,000","281,200,000","267,600,000","303,800,000","260,500,000","290,800,000","266,900,000","303,100,000","259,200,000","278,400,000","249,700,000","282,100,000","247,500,000","267,100,000","242,800,000","287,100,000","236,100,000","241,400,000","217,600,000","260,600,000","208,800,000","229,200,000","209,400,000","238,300,000","201,500,000","212,900,000","193,900,000","231,000,000","212,900,000","222,000,000","204,725,000","225,213,000","192,596,000","198,452,000","190,637,000","216,048,000","187,576,000","187,347,000","181,628,000","177,689,000","164,437,000","170,864,000","168,910,000","183,852,000","164,963,000","168,652,000","160,233,000","177,274,000","148,403,000","152,152,000","140,880,000","172,815,000","129,765,000","135,534,000","132,786,000","211,895,000","172,506,000","171,943,000","163,556,000","204,560,000","120,403,000","127,799,000","125,938,000","167,300,000","120,300,000","122,100,000","112,700,000","143,200,000","107,300,000","110,200,000","103,100,000","141,100,000","106,200,000","105,700,000","108,000,000","140,500,000","103,200,000","105,600,000","117,900,000","136,700,000","99,900,000","111,600,000","97,900,000","121,300,000","107,600,000","104,000,000","96,500,000","125,000,000","106,500,000","99,400,000","91,800,000","129,400,000","98,700,000","95,800,000","92,900,000","127,700,000","89,500,000","91,000,000","87,600,000","115,500,000","80,600,000","80,500,000","81,100,000",,,,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,,,,,,"321,300,000","370,500,000",,,,"326,900,000","278,700,000",,,,"353,000,000",,"325,400,000","375,800,000",,"307,300,000",,"315,000,000","281,800,000","303,900,000","274,300,000","307,100,000","271,500,000",,"267,600,000","303,800,000",,"290,800,000","266,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,,,,,"321,300,000","370,500,000",,,,"326,900,000","278,700,000",,,,"353,000,000",,"325,400,000","375,800,000",,"307,300,000",,"315,000,000","281,800,000","303,900,000","274,300,000","307,100,000","271,500,000",,"267,600,000","303,800,000",,"290,800,000","266,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,547,000","14,376,000","13,913,000","14,464,000","15,400,000","13,500,000","14,900,000","13,600,000","15,200,000","13,500,000","13,100,000","13,000,000","11,900,000","12,800,000","11,800,000","12,800,000","15,700,000","15,100,000","16,900,000","16,100,000","18,000,000","14,000,000","15,600,000","16,100,000","18,000,000","16,900,000","14,500,000","13,100,000","13,200,000","12,800,000","12,500,000","12,000,000","12,200,000","10,500,000","10,500,000","10,100,000","11,000,000","10,500,000","9,700,000","9,300,000","9,700,000","8,900,000","9,300,000","8,700,000",,,,,,,,,,,,,,,,,,
