name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004
TotalRevenue,"698,951,000","165,060,000","162,093,000","176,334,000","195,464,000","171,346,000","164,006,000","184,795,000","168,978,000","129,774,000","131,597,000","125,490,000","124,491,000","112,444,000","101,443,000","108,347,000","115,882,000","99,565,000","96,701,000","97,314,000","103,891,000","94,436,000","90,271,000","96,639,000","88,573,000","76,644,000","74,192,000","75,491,000","76,771,000","70,167,000","64,245,000","64,964,000","63,398,000","60,442,000","61,133,000","65,559,000","55,557,000","50,387,000","48,257,000","48,825,000","50,735,000","45,135,000","46,564,000","45,791,000","43,609,000","38,605,000","37,413,000","35,326,000","34,884,000","33,959,000","30,009,000","25,839,000","24,632,000","21,828,000","22,681,000","25,637,000","22,939,000","22,376,000","22,198,000","25,304,000","23,765,000","22,080,000","20,774,000","20,122,000","20,340,000","18,882,000","19,088,000","19,282,000","21,308,000","19,673,285","18,707,904","18,703,062","19,172,000"
	OperatingRevenue,"698,105,000","164,843,000","161,878,000","176,123,000","195,261,000","171,148,000","163,776,000","184,573,000","168,749,000","129,541,000","131,346,000","125,236,000","124,226,000","112,168,000","101,162,000","108,046,000","115,582,000","101,480,000","95,606,000","96,127,000","102,585,000","93,725,000","89,312,000","95,342,000","87,290,000","76,283,000","73,780,000","74,996,000","76,300,000","69,657,000","63,756,000","64,402,000","62,250,000","59,991,000","60,616,000","64,971,000","54,160,000","47,226,000","48,257,000","48,825,000","50,735,000","45,135,000","46,564,000","45,791,000","43,609,000","34,886,000","37,413,000","35,011,000","34,884,000","103,041,000","4,120,000","25,430,000","20,446,000","14,027,000","1,254,000","25,637,000","22,939,000","22,376,000","22,198,000","25,304,000","23,765,000","22,080,000","20,774,000","20,122,000","20,340,000","18,882,000","19,088,000","19,282,000","21,308,000","19,673,285","18,707,904","18,703,062","18,331,000"
CostOfRevenue,"170,916,000","41,218,000","40,878,000","40,732,000","48,088,000","36,472,000","37,583,000","41,636,000","41,194,000","33,117,000","32,681,000","32,623,000","32,658,000","27,802,000","26,282,000","26,199,000","28,834,000","24,334,000","25,595,000","25,421,000","27,401,000","22,529,000","23,914,000","25,815,000","24,527,000","21,087,000","21,002,000","20,593,000","21,174,000","19,376,000","18,589,000","18,421,000","18,609,000","16,768,000","17,910,000","15,927,000","16,353,000","60,361,000","0","0","0","58,786,000","0","0","0","74,931,000","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,
GrossProfit,"528,035,000","123,842,000","121,215,000","135,602,000","147,376,000","134,874,000","126,423,000","143,159,000","127,784,000","96,657,000","98,916,000","92,867,000","91,833,000","84,642,000","75,161,000","82,148,000","87,048,000","75,231,000","71,106,000","71,893,000","76,490,000","71,907,000","66,357,000","70,824,000","64,046,000","55,557,000","53,190,000","54,898,000","55,597,000","50,791,000","45,656,000","46,543,000","44,789,000","43,674,000","43,223,000","49,632,000","39,204,000","-9,974,000","48,257,000","48,825,000","50,735,000","-13,651,000","46,564,000","45,791,000","43,609,000","-36,326,000","37,413,000","35,326,000","34,884,000","33,959,000","30,009,000","25,839,000","24,632,000","21,828,000","22,681,000",,,,,,,,,,,,,,,,,,
OperatingExpense,"190,800,000","51,261,000","47,212,000","48,425,000","43,902,000","43,177,000","38,616,000","39,024,000","36,695,000","35,806,000","32,951,000","31,990,000","28,644,000","30,677,000","28,749,000","28,731,000","25,707,000","25,860,000","23,889,000","22,320,000","20,883,000","21,580,000","20,003,000","20,273,000","19,676,000","18,571,000","17,837,000","17,839,000","17,095,000","17,302,000","17,388,000","17,472,000","17,081,000","18,875,000","16,835,000","18,121,000","14,891,000","-31,503,000","27,048,000","27,625,000","27,987,000","-32,517,000","24,268,000","25,886,000","25,943,000","-50,771,000","23,889,000","23,470,000","23,799,000","22,920,000","21,466,000","20,103,000","19,901,000","18,816,000","20,583,000","20,878,000","19,975,000","19,276,000","18,555,000","19,265,000","19,296,000","18,491,000","18,544,000","18,736,000","18,941,000","17,250,000","17,347,000","16,467,000","15,935,000","75,604,933","-5,707,977","-6,193,388","16,164,000"
	SellingGeneralAndAdministration,"121,279,000","32,915,000","29,979,000","30,956,000","27,429,000","27,588,000","24,746,000","25,006,000","23,118,000","24,731,000","23,469,000","23,035,000","19,985,000","22,572,000","20,816,000","20,929,000","18,713,000","19,175,000","17,830,000","16,013,000","14,863,000","17,288,000","15,678,000","15,733,000","14,995,000","13,886,000","13,195,000","13,236,000","12,483,000","12,877,000","12,906,000","13,121,000","12,960,000","14,903,000","13,375,000","13,617,000","12,322,000","-33,840,000","24,967,000","25,664,000","26,133,000","-34,310,000","22,469,000","24,259,000","24,381,000","-52,323,000","22,329,000","21,848,000","22,183,000","21,254,000","19,812,000","18,424,000","18,110,000","17,027,000","18,089,000","2,178,000","583,000","-3,441,000","1,962,000","1,850,000","1,534,000","-5,442,000","2,519,000","2,322,000","378,000","7,415,000","503,000","589,000","693,000","-19,969,016","8,920,672","8,876,462","625,000"
		GeneralAndAdministrativeExpense,"112,220,000","30,009,000","28,158,000","27,828,000","26,225,000","25,281,000","23,598,000","23,196,000","20,443,000","21,644,000","20,963,000","19,368,000","17,686,000","19,038,000","17,836,000","17,394,000","16,648,000","16,170,000","15,741,000","13,231,000","12,977,000","14,096,000","13,538,000","13,909,000","13,217,000","11,998,000","11,891,000","11,472,000","11,291,000","11,448,000","11,575,000","11,321,000","11,751,000","13,772,000","12,180,000","12,185,000","11,337,000","-35,064,000","23,900,000","23,932,000","24,686,000","-35,690,000","21,189,000","23,011,000","23,407,000","-53,332,000","21,650,000","21,089,000","21,555,000","20,376,000","19,161,000","17,716,000","17,465,000","16,158,000","17,443,000","1,495,000",,,"1,481,000","1,320,000","1,181,000",,"2,181,000","1,845,000",,,,,,"-20,606,199","8,289,733","8,304,944",
			SalariesAndWages,,,,,,,,,"41,194,000","33,117,000","32,681,000","32,623,000","32,658,000","27,802,000","26,282,000","26,199,000","28,834,000","24,334,000","25,595,000","25,421,000","27,401,000","22,529,000","23,914,000","25,815,000","24,527,000","21,087,000","21,002,000","20,593,000","21,174,000","19,376,000","18,589,000","18,421,000","18,609,000","16,768,000","17,910,000","15,927,000","16,353,000","14,579,000","14,636,000","15,305,000","15,841,000",,"13,707,000","15,104,000","16,268,000",,"14,326,000","14,189,000","13,933,000","13,788,000","13,127,000","11,917,000","11,442,000","10,043,000","11,173,000","11,576,000","11,018,000","10,280,000","10,258,000","11,010,000","11,503,000","10,814,000","10,483,000","10,498,000","10,283,000","8,498,000","9,030,000","8,673,000","9,244,000","8,276,801","8,289,733","8,304,944","8,165,000"
			RentAndLandingFees,"13,320,000","3,438,000","3,265,000","3,300,000","3,317,000","3,220,000","3,445,000","3,286,000","3,474,000","3,090,000","2,802,000","2,798,000","2,949,000","3,844,000","3,528,000","3,467,000","3,337,000","1,504,000","1,795,000","1,422,000","1,404,000","1,075,000","1,220,000","1,225,000","1,161,000","1,215,000","1,246,000","1,232,000","992,000","1,063,000","1,127,000","1,102,000","1,089,000","2,001,000","1,205,000","1,287,000","932,000","764,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"98,900,000","26,571,000","24,893,000","24,528,000","22,908,000","22,061,000","20,153,000","19,910,000","16,969,000","18,554,000","18,161,000","16,570,000","14,737,000","15,194,000","14,308,000","13,927,000","13,311,000","14,666,000","13,946,000","11,809,000","11,573,000","13,021,000","12,318,000","12,684,000","12,056,000","10,783,000","10,645,000","10,240,000","10,299,000","10,385,000","10,448,000","10,219,000","10,662,000","11,771,000","10,975,000","10,898,000","10,405,000","7,706,000","9,264,000","8,627,000","8,845,000","9,389,000","7,482,000","7,907,000","7,139,000","-10,884,000","7,324,000","6,900,000","7,622,000","6,588,000","6,034,000","5,799,000","6,023,000","6,115,000","6,270,000","-10,081,000","-11,018,000","-14,262,000","-8,777,000","-9,690,000","-10,322,000","-16,832,000","-8,302,000","-8,653,000","-10,283,000","-1,880,000","-9,030,000","-8,673,000","-9,244,000",,,,"-8,165,000"
