name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"19,820,000,000","5,137,000,000","4,583,000,000","5,017,000,000","5,083,000,000","4,416,000,000","3,968,000,000","4,189,000,000","4,651,000,000","4,264,000,000","3,968,000,000","4,349,000,000","4,071,000,000","3,712,000,000","3,504,000,000","3,734,000,000","4,000,000,000","3,685,000,000","3,341,000,000","3,495,000,000","3,503,000,000","3,364,000,000","3,135,000,000","3,376,000,000","3,336,000,000","3,338,000,000","3,115,000,000","3,225,000,000","3,215,000,000","3,246,000,000","3,141,000,000","3,300,000,000","3,264,000,000","3,115,000,000","2,932,000,000","3,088,000,000","3,126,000,000","3,002,000,000","2,845,000,000","3,026,000,000","3,051,000,000","2,908,000,000","2,806,000,000","2,928,000,000","2,884,000,000","2,785,000,000","2,524,000,000","2,606,000,000","2,795,000,000","2,732,000,000","2,523,000,000","2,629,000,000","2,629,000,000","2,662,000,000","2,838,000,000","3,048,000,000","3,047,000,000","2,925,000,000","2,794,000,000","2,819,000,000","2,812,000,000","3,032,000,000","2,884,000,000","2,980,000,000","3,025,000,000","2,476,000,000","2,898,000,000","3,096,000,000","3,182,000,000","2,944,000,000","2,969,000,000","3,036,000,000","3,210,000,000","3,034,000,000","2,837,000,000","2,865,000,000","2,852,000,000","2,640,000,000","2,553,000,000","2,612,000,000","2,635,000,000","2,473,000,000","2,371,000,000","2,505,000,000","2,594,000,000","2,476,000,000","2,535,000,000","2,481,000,000","2,665,000,000","2,334,000,000","2,227,000,000","2,245,000,000","2,351,000,000","1,945,000,000","1,719,000,000","1,750,000,000","1,776,000,000","1,894,300,000","1,455,800,000","1,449,800,000","1,208,700,000","1,052,500,000","989,000,000","1,036,800,000","1,070,700,000","958,300,000","921,600,000","935,200,000","955,200,000","857,400,000","826,900,000","840,500,000","910,200,000","779,800,000","766,400,000","783,300,000","833,900,000","705,200,000","730,000,000","733,000,000","768,800,000","665,900,000","679,000,000","690,200,000","744,100,000","668,500,000","681,500,000","677,300,000","695,700,000","592,100,000","606,600,000","606,300,000","622,700,000","544,400,000","562,700,000","570,000,000","595,300,000","514,300,000","533,700,000","539,100,000","560,000,000","444,700,000","461,800,000","453,400,000","444,200,000","361,700,000","350,900,000"
	OperatingRevenue,"19,820,000,000","5,094,000,000","4,595,000,000","5,033,000,000","5,083,000,000","4,505,000,000","3,968,000,000","4,189,000,000","4,651,000,000","4,354,000,000","3,968,000,000","4,349,000,000","4,096,000,000","3,730,000,000","3,519,000,000","3,734,000,000","4,012,000,000","3,701,000,000","3,350,000,000","3,508,000,000","3,515,000,000","3,375,000,000","3,145,000,000","3,389,000,000","3,346,000,000","3,348,000,000","3,124,000,000","3,237,000,000","3,224,000,000","3,257,000,000","3,151,000,000","3,311,000,000","3,271,000,000","3,125,000,000","2,941,000,000","3,088,000,000","3,126,000,000","3,041,000,000","2,845,000,000","3,026,000,000","3,051,000,000","2,908,000,000","2,806,000,000","2,928,000,000","2,884,000,000","2,785,000,000","2,524,000,000","2,606,000,000","2,795,000,000","2,732,000,000","2,523,000,000","2,629,000,000","2,629,000,000","2,662,000,000","2,838,000,000","3,048,000,000","3,047,000,000","2,925,000,000","2,794,000,000","2,819,000,000","2,812,000,000","3,032,000,000","2,884,000,000","2,980,000,000","3,025,000,000","2,449,000,000","2,850,000,000","3,096,000,000","3,182,000,000","2,944,000,000","2,969,000,000","3,036,000,000","3,210,000,000","3,034,000,000","2,837,000,000","2,865,000,000","2,852,000,000","2,640,000,000","2,553,000,000","2,612,000,000","2,635,000,000","2,473,000,000","2,371,000,000","2,505,000,000","2,594,000,000","2,476,000,000","2,535,000,000","2,481,000,000","2,665,000,000","2,334,000,000","2,227,000,000","2,245,000,000","2,351,000,000","1,945,000,000","1,719,000,000","1,750,000,000","1,776,000,000","1,894,300,000","1,455,800,000","1,449,800,000","1,208,700,000","1,052,500,000","989,000,000","1,036,800,000","1,070,700,000","958,300,000","921,600,000","935,200,000","955,200,000","857,400,000","826,900,000","840,500,000","910,200,000","779,800,000","766,400,000","783,300,000","833,900,000","705,200,000","730,000,000","733,000,000","768,800,000","665,900,000","679,000,000","690,200,000","744,100,000","668,500,000","681,500,000","677,300,000","695,700,000","592,100,000","606,600,000","606,300,000","622,700,000","544,400,000","562,700,000","570,000,000","595,300,000","514,300,000","533,700,000","539,100,000","560,000,000","444,700,000","461,800,000","453,400,000","444,200,000","361,700,000","350,900,000"
CostOfRevenue,"11,425,000,000","2,905,000,000","2,853,000,000","2,860,000,000","2,807,000,000","2,650,000,000","2,495,000,000","2,429,000,000","2,555,000,000","2,478,000,000","2,437,000,000","2,537,000,000","2,282,000,000","2,163,000,000","2,083,000,000","2,135,000,000","2,224,000,000","2,098,000,000","1,906,000,000","1,935,000,000","1,945,000,000","1,918,000,000","1,817,000,000","1,872,000,000","1,854,000,000","1,900,000,000","1,878,000,000","1,826,000,000","1,730,000,000","1,896,000,000","1,904,000,000","1,876,000,000","1,839,000,000","1,833,000,000","1,824,000,000","1,766,000,000","1,803,000,000","7,134,000,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,"1,820,000,000","1,742,000,000","1,802,000,000",,"993,000,000","887,000,000","2,790,000,000","2,910,000,000",,"2,841,000,000","2,404,000,000","2,437,000,000","2,447,000,000","2,244,000,000","2,266,000,000","2,135,000,000","2,130,000,000","2,041,000,000","2,047,000,000","1,948,000,000","2,193,000,000","2,059,000,000","1,979,000,000","1,949,000,000","1,746,000,000","1,916,000,000","1,875,000,000","1,953,000,000","2,043,000,000","1,703,000,000","1,810,000,000","1,742,000,000","1,540,000,000","1,324,000,000","1,339,000,000","1,316,000,000","1,885,500,000","1,149,200,000","1,135,700,000","894,300,000","911,300,000","780,000,000","809,200,000","793,300,000","775,100,000","728,600,000","727,200,000","709,400,000","698,100,000","646,900,000","646,200,000","652,900,000","634,700,000","598,100,000","601,100,000","616,800,000","586,800,000","575,800,000","560,600,000","560,800,000","587,700,000","517,800,000","518,300,000","544,200,000","547,400,000","521,200,000","513,500,000","508,600,000",,,"451,900,000",,,,,,,,,,,,,,,
GrossProfit,"8,395,000,000","2,232,000,000","1,730,000,000","2,157,000,000","2,276,000,000","1,766,000,000","1,473,000,000","1,760,000,000","2,096,000,000","1,786,000,000","1,531,000,000","1,812,000,000","1,789,000,000","1,549,000,000","1,421,000,000","1,599,000,000","1,776,000,000","1,587,000,000","1,435,000,000","1,560,000,000","1,558,000,000","1,446,000,000","1,318,000,000","1,504,000,000","1,482,000,000","1,438,000,000","1,237,000,000","1,399,000,000","1,485,000,000","1,350,000,000","1,237,000,000","1,424,000,000","1,425,000,000","1,282,000,000","1,108,000,000","1,322,000,000","1,323,000,000","-4,132,000,000","2,845,000,000","3,026,000,000","3,051,000,000","2,908,000,000","2,806,000,000","2,928,000,000","2,884,000,000","2,785,000,000","2,524,000,000","2,606,000,000","2,795,000,000","2,732,000,000","2,523,000,000","2,629,000,000","2,629,000,000",,,,,,,,,"1,212,000,000","1,142,000,000","1,178,000,000",,"1,483,000,000","2,011,000,000","306,000,000","272,000,000",,"128,000,000","632,000,000","773,000,000","587,000,000","593,000,000","599,000,000","717,000,000","510,000,000","512,000,000","565,000,000","687,000,000","280,000,000","312,000,000","526,000,000","645,000,000","730,000,000","619,000,000","606,000,000","712,000,000","291,000,000","524,000,000","435,000,000","609,000,000","405,000,000","395,000,000","411,000,000","460,000,000","8,800,000","306,600,000","314,100,000","314,400,000","141,200,000","209,000,000","227,600,000","277,400,000","183,200,000","193,000,000","208,000,000","245,800,000","159,300,000","180,000,000","194,300,000","257,300,000","145,100,000","168,300,000","182,200,000","217,100,000","118,400,000","154,200,000","172,400,000","208,000,000","78,200,000","161,200,000","171,900,000","199,900,000","121,100,000","160,300,000","163,800,000","187,100,000",,,"154,400,000",,,,,,,,,,,,,,,
OperatingExpense,"4,083,000,000","1,246,000,000","990,000,000","929,000,000","918,000,000","1,195,000,000","933,000,000","875,000,000","1,026,000,000","1,194,000,000","1,064,000,000","1,132,000,000","851,000,000","928,000,000","880,000,000","908,000,000","868,000,000","901,000,000","838,000,000","796,000,000","749,000,000","813,000,000","746,000,000","778,000,000","749,000,000","844,000,000","776,000,000","770,000,000","750,000,000","814,000,000","792,000,000","777,000,000","752,000,000","793,000,000","704,000,000","745,000,000","716,000,000","-4,538,000,000","2,467,000,000","2,508,000,000","2,524,000,000","2,517,000,000","2,496,000,000","2,463,000,000","2,412,000,000","2,460,000,000","2,285,000,000","2,656,000,000","2,356,000,000","2,742,000,000","2,307,000,000","2,335,000,000","2,298,000,000","2,563,000,000","2,768,000,000","2,866,000,000","3,127,000,000","2,760,000,000","2,600,000,000","2,546,000,000","2,425,000,000","809,000,000","822,000,000","841,000,000","2,627,000,000","1,400,000,000","1,816,000,000",,,,,,,,,,,,,,,,,,,"185,000,000","103,000,000","100,000,000","100,000,000","123,000,000","99,000,000","88,000,000","90,000,000","70,000,000","60,000,000","65,000,000","56,000,000","51,800,000","57,700,000","52,500,000","37,100,000","35,900,000","34,800,000","34,300,000","34,900,000","35,200,000","34,600,000","33,100,000","32,200,000","29,800,000","31,400,000","30,500,000","28,900,000","31,700,000","28,600,000","29,700,000","29,900,000","27,700,000","29,100,000","28,000,000","27,200,000","28,900,000","27,800,000","27,700,000","28,700,000","27,500,000","26,600,000","25,600,000","25,300,000",,,"21,400,000",,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,,,,,,,,"2,429,000,000","2,555,000,000","2,478,000,000","2,437,000,000","2,537,000,000","2,282,000,000","2,163,000,000","2,083,000,000","2,135,000,000","2,224,000,000","2,098,000,000","1,906,000,000","1,935,000,000","1,945,000,000","1,918,000,000","1,817,000,000","1,872,000,000","1,854,000,000","1,900,000,000","1,878,000,000","1,826,000,000","1,730,000,000","1,896,000,000","1,904,000,000","1,876,000,000","1,839,000,000","1,833,000,000","1,824,000,000","1,766,000,000","1,803,000,000","1,802,000,000","1,760,000,000","1,776,000,000","1,796,000,000","1,767,000,000","1,753,000,000","1,728,000,000","1,721,000,000","1,690,000,000","1,586,000,000","1,614,000,000","1,650,000,000","1,703,000,000","1,606,000,000","1,604,000,000","1,578,000,000","2,563,000,000","2,768,000,000","2,751,000,000","2,702,000,000","2,760,000,000","2,600,000,000","2,546,000,000","2,425,000,000","809,000,000","822,000,000","841,000,000","2,627,000,000","1,360,000,000","1,816,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,,,,,,,,"2,429,000,000","2,555,000,000","2,478,000,000","2,437,000,000","2,537,000,000","2,282,000,000","2,163,000,000","2,083,000,000","2,135,000,000","2,224,000,000","2,098,000,000","1,906,000,000","1,935,000,000","1,945,000,000","1,918,000,000","1,817,000,000","1,872,000,000","1,854,000,000","1,900,000,000","1,878,000,000","1,826,000,000","1,730,000,000","1,896,000,000","1,904,000,000","1,876,000,000","1,839,000,000","1,833,000,000","1,824,000,000","1,766,000,000","1,803,000,000","1,802,000,000","1,760,000,000","1,776,000,000","1,796,000,000","1,767,000,000","1,753,000,000","1,728,000,000","1,721,000,000","1,690,000,000","1,586,000,000","1,614,000,000","1,650,000,000","1,703,000,000","1,606,000,000","1,604,000,000","1,578,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,"2,429,000,000","2,555,000,000","2,478,000,000","2,437,000,000","2,537,000,000","2,282,000,000","2,163,000,000","2,083,000,000","2,135,000,000","2,224,000,000","2,098,000,000","1,906,000,000","1,935,000,000","1,945,000,000","1,918,000,000","1,817,000,000","1,872,000,000","1,854,000,000","1,900,000,000","1,878,000,000","1,826,000,000","1,730,000,000","1,896,000,000","1,904,000,000","1,876,000,000","1,839,000,000","1,833,000,000","1,824,000,000","1,766,000,000","1,803,000,000","1,802,000,000","1,760,000,000","1,776,000,000","1,796,000,000","1,767,000,000","1,753,000,000","1,728,000,000","1,721,000,000","1,690,000,000","1,586,000,000","1,614,000,000","1,650,000,000","1,703,000,000","1,606,000,000","1,604,000,000","1,578,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"185,000,000","103,000,000","100,000,000","100,000,000","123,000,000","99,000,000","88,000,000","90,000,000","70,000,000","60,000,000","65,000,000","56,000,000","51,800,000","57,700,000","52,500,000","37,100,000","35,900,000","34,800,000","34,300,000","34,900,000","35,200,000","34,600,000","33,100,000","32,200,000","29,800,000","31,400,000","30,500,000","28,900,000","31,700,000","28,600,000","29,700,000","29,900,000","27,700,000","29,100,000","28,000,000","27,200,000","28,900,000","27,800,000","27,700,000","28,700,000","27,500,000","26,600,000","25,600,000","25,300,000",,,"21,400,000",,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"185,000,000","103,000,000","100,000,000","100,000,000","123,000,000","99,000,000","88,000,000","90,000,000","70,000,000","60,000,000","65,000,000","56,000,000","51,800,000","57,700,000","52,500,000","37,100,000","35,900,000","34,800,000","34,300,000","34,900,000","35,200,000","34,600,000","33,100,000","32,200,000","29,800,000","31,400,000","30,500,000","28,900,000","31,700,000","28,600,000","29,700,000","29,900,000","27,700,000","29,100,000","28,000,000","27,200,000","28,900,000","27,800,000","27,700,000","28,700,000","27,500,000","26,600,000","25,600,000","25,300,000",,,"21,400,000",,,,,,,,,,,,,,,
