name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"35,355,000,000","8,612,000,000","8,942,000,000","8,950,000,000","8,851,000,000","8,583,000,000","8,350,000,000","7,176,000,000","8,075,000,000","8,111,000,000","7,991,000,000","8,171,000,000","7,863,000,000","7,945,000,000","8,152,000,000","8,390,000,000","8,278,000,000","7,990,000,000","8,172,000,000","7,810,000,000","7,685,000,000","7,329,000,000","7,709,000,000","7,662,000,000","7,409,000,000","7,298,000,000","7,712,000,000","7,686,000,000","7,578,000,000","7,719,000,000","8,137,000,000","8,134,000,000","7,831,000,000","7,569,000,000","7,916,000,000","7,752,000,000","7,634,000,000","7,387,000,000","7,497,000,000","7,534,000,000","7,486,000,000","7,089,000,000","7,531,000,000","7,680,000,000","7,311,000,000","6,709,000,000","6,874,000,000","6,731,000,000","6,348,000,000","6,122,000,000","6,193,000,000","5,719,000,000","5,089,000,000","5,509,000,000","6,558,000,000","6,739,000,000","6,463,000,000","6,206,000,000","6,177,000,000","6,142,000,000","5,937,000,000","5,782,000,000","5,858,000,000","5,688,000,000","5,595,000,000","5,325,000,000","5,382,000,000","5,294,000,000","5,166,000,000","5,091,000,000","4,969,000,000","5,012,000,000","4,939,000,000","4,718,000,000","4,616,000,000","4,580,000,000","4,318,000,000","4,138,000,000","4,143,000,000","4,161,000,000","3,890,000,000","3,863,000,000","3,967,000,000","4,079,000,000","4,170,000,000","4,196,000,000","4,252,000,000","4,224,000,000","4,052,000,000","4,023,000,000","3,997,000,000","3,863,000,000","3,776,000,000","3,785,000,000","3,766,000,000","3,770,000,000","3,700,000,000","3,713,000,000","3,826,000,000","3,817,000,000","3,714,000,000","3,623,000,000","3,623,000,000","3,522,000,000","3,468,000,000","1,169,000,000","4,069,000,000","4,135,000,000","4,087,000,000","3,855,000,000","3,820,000,000","3,772,000,000","3,632,000,000","3,482,000,000","3,481,000,000","3,540,000,000","3,517,000,000","3,373,000,000","3,600,000,000","3,504,000,000","3,406,000,000","3,224,000,000","3,378,000,000","3,349,000,000","3,389,000,000","3,280,000,000","3,343,000,000","3,234,000,000","3,164,000,000","2,954,000,000","2,994,000,000","3,025,000,000","3,017,000,000","2,579,000,000","2,689,000,000","2,711,000,000","2,602,000,000","2,375,000,000","2,466,000,000","2,381,000,000","2,207,000,000","2,112,000,000","2,236,000,000","2,185,000,000","2,069,000,000","1,963,000,000","2,023,000,000"
	OperatingRevenue,"35,355,000,000","8,612,000,000","8,942,000,000","8,950,000,000","8,851,000,000","8,583,000,000","8,350,000,000","7,176,000,000","8,075,000,000","8,111,000,000","7,991,000,000","8,171,000,000","7,863,000,000","7,945,000,000","8,152,000,000","8,390,000,000","8,278,000,000","7,990,000,000","8,172,000,000","7,810,000,000","7,685,000,000","7,329,000,000","7,709,000,000","7,662,000,000","7,409,000,000","7,298,000,000","7,712,000,000","7,686,000,000","7,578,000,000","7,719,000,000","8,137,000,000","8,134,000,000","7,831,000,000","7,569,000,000","7,916,000,000","7,752,000,000","7,634,000,000","7,387,000,000","7,497,000,000","7,534,000,000","7,486,000,000","7,089,000,000","7,531,000,000","7,680,000,000","7,311,000,000","6,709,000,000","6,874,000,000","6,731,000,000","6,348,000,000","6,122,000,000","6,193,000,000","5,719,000,000","5,089,000,000","5,509,000,000","6,558,000,000","6,739,000,000","6,463,000,000","6,206,000,000","6,177,000,000","6,142,000,000","5,937,000,000","5,782,000,000","5,858,000,000","5,688,000,000","5,595,000,000","5,325,000,000","5,382,000,000","5,294,000,000","5,166,000,000","5,091,000,000","4,969,000,000","5,012,000,000","4,939,000,000","4,718,000,000","4,616,000,000","4,580,000,000","4,318,000,000","4,138,000,000","4,143,000,000","4,161,000,000","3,890,000,000","3,863,000,000","3,967,000,000","4,079,000,000","4,170,000,000","4,196,000,000","4,252,000,000","4,224,000,000","4,052,000,000","4,023,000,000","3,997,000,000","3,863,000,000","3,776,000,000","3,785,000,000","3,766,000,000","3,770,000,000","3,700,000,000","3,713,000,000","3,826,000,000","3,817,000,000","3,714,000,000","3,623,000,000","3,623,000,000","3,522,000,000","3,468,000,000","1,169,000,000","4,069,000,000","4,135,000,000","4,087,000,000","3,855,000,000","3,820,000,000","3,772,000,000","3,632,000,000","3,482,000,000","3,481,000,000","3,540,000,000","3,517,000,000","3,373,000,000","3,600,000,000","3,504,000,000","3,406,000,000","3,224,000,000","3,378,000,000","3,349,000,000","3,389,000,000","3,280,000,000","3,343,000,000","3,234,000,000","3,164,000,000","2,954,000,000","2,994,000,000","3,025,000,000","3,017,000,000","2,579,000,000","2,689,000,000","2,711,000,000","2,602,000,000","2,375,000,000","2,466,000,000","2,381,000,000","2,207,000,000","2,112,000,000","2,236,000,000","2,185,000,000","2,069,000,000","1,963,000,000","2,023,000,000"
CostOfRevenue,"18,795,000,000","4,698,000,000","4,853,000,000","4,719,000,000","4,525,000,000","4,388,000,000","4,303,000,000","3,805,000,000","4,109,000,000","4,325,000,000","4,188,000,000","4,313,000,000","4,310,000,000","4,060,000,000","4,159,000,000","4,227,000,000","4,236,000,000","4,080,000,000","4,045,000,000","4,007,000,000","3,869,000,000","3,716,000,000","3,847,000,000","3,799,000,000","3,678,000,000","3,827,000,000","3,877,000,000","3,858,000,000","3,821,000,000","4,027,000,000","4,205,000,000","4,184,000,000","4,031,000,000","3,976,000,000","4,148,000,000","4,013,000,000","3,969,000,000","3,991,000,000","3,935,000,000","3,870,000,000","3,889,000,000","3,824,000,000","4,027,000,000","4,040,000,000","3,802,000,000","3,575,000,000","3,583,000,000","3,435,000,000","3,238,000,000","3,189,000,000","3,171,000,000","2,977,000,000","2,772,000,000","3,101,000,000","3,432,000,000","3,510,000,000","3,336,000,000","3,298,000,000","3,240,000,000","3,175,000,000","3,022,000,000","3,162,000,000","2,990,000,000","2,840,000,000","2,721,000,000","2,618,000,000","2,632,000,000","2,594,000,000","2,537,000,000","2,613,000,000","2,457,000,000","2,452,000,000","2,436,000,000","2,429,000,000","2,322,000,000","2,323,000,000","2,211,000,000","2,114,000,000","2,115,000,000","2,231,000,000","2,036,000,000","2,131,000,000","2,156,000,000","2,266,000,000","2,196,000,000","1,663,000,000","2,479,000,000","2,379,000,000","2,266,000,000","2,249,000,000","2,253,000,000","2,188,000,000","2,162,000,000","2,257,000,000","2,190,000,000","2,162,000,000","2,096,000,000","2,162,000,000","2,173,000,000","2,156,000,000","2,089,000,000","2,054,000,000","2,069,000,000","1,986,000,000","1,990,000,000","335,000,000","2,474,000,000","2,492,000,000","2,419,000,000","2,298,000,000","2,282,000,000","2,247,000,000","2,168,000,000","1,822,000,000","1,905,000,000","1,867,000,000","1,859,000,000","1,703,000,000","1,900,000,000","1,843,000,000","1,813,000,000","1,709,000,000","1,823,000,000","1,754,000,000","1,803,000,000","1,839,000,000","1,752,000,000","1,657,000,000","1,627,000,000","1,602,000,000","1,552,000,000",,,,,,,,,,,,,,,,
GrossProfit,"16,560,000,000","3,914,000,000","4,089,000,000","4,231,000,000","4,326,000,000","4,195,000,000","4,047,000,000","3,371,000,000","3,966,000,000","3,786,000,000","3,803,000,000","3,858,000,000","3,553,000,000","3,885,000,000","3,993,000,000","4,163,000,000","4,042,000,000","3,910,000,000","4,127,000,000","3,803,000,000","3,816,000,000","3,613,000,000","3,862,000,000","3,863,000,000","3,731,000,000","3,471,000,000","3,835,000,000","3,828,000,000","3,757,000,000","3,692,000,000","3,932,000,000","3,950,000,000","3,800,000,000","3,593,000,000","3,768,000,000","3,739,000,000","3,665,000,000","3,396,000,000","3,562,000,000","3,664,000,000","3,597,000,000","3,265,000,000","3,504,000,000","3,640,000,000","3,509,000,000","3,134,000,000","3,291,000,000","3,296,000,000","3,110,000,000","2,933,000,000","3,022,000,000","2,742,000,000","2,317,000,000","2,408,000,000","3,126,000,000","3,229,000,000","3,127,000,000","2,908,000,000","2,937,000,000","2,967,000,000","2,915,000,000","2,620,000,000","2,868,000,000","2,848,000,000","2,874,000,000","2,707,000,000","2,750,000,000","2,700,000,000","2,629,000,000","2,478,000,000","2,512,000,000","2,560,000,000","2,503,000,000","2,289,000,000","2,294,000,000","2,257,000,000","2,107,000,000","2,024,000,000","2,028,000,000","1,930,000,000","1,854,000,000","1,732,000,000","1,811,000,000","1,813,000,000","1,974,000,000","2,533,000,000","1,773,000,000","1,845,000,000","1,786,000,000","1,774,000,000","1,744,000,000","1,675,000,000","1,614,000,000","1,528,000,000","1,576,000,000","1,608,000,000","1,604,000,000","1,551,000,000","1,653,000,000","1,661,000,000","1,625,000,000","1,569,000,000","1,554,000,000","1,536,000,000","1,478,000,000","834,000,000","1,595,000,000","1,643,000,000","1,668,000,000","1,557,000,000","1,538,000,000","1,525,000,000","1,464,000,000","1,660,000,000","1,576,000,000","1,673,000,000","1,658,000,000","1,670,000,000","1,700,000,000","1,661,000,000","1,593,000,000","1,515,000,000","1,555,000,000","1,595,000,000","1,586,000,000","1,441,000,000","1,591,000,000","1,577,000,000","1,537,000,000","1,352,000,000","1,442,000,000",,,,,,,,,,,,,,,,
OperatingExpense,"8,894,000,000","2,240,000,000","2,221,000,000","2,180,000,000","2,253,000,000","2,349,000,000","2,119,000,000","2,001,000,000","2,288,000,000","2,466,000,000","1,860,000,000","2,157,000,000","2,389,000,000","2,105,000,000","1,958,000,000","2,247,000,000","3,040,000,000","2,185,000,000","2,086,000,000","2,080,000,000","2,042,000,000","1,948,000,000","1,958,000,000","1,997,000,000","1,943,000,000","1,971,000,000","1,959,000,000","1,988,000,000","2,027,000,000","2,030,000,000","2,031,000,000","2,094,000,000","2,084,000,000","2,014,000,000","2,029,000,000","2,037,000,000","2,019,000,000","1,953,000,000","1,884,000,000","1,936,000,000","1,963,000,000","1,901,000,000","1,923,000,000","1,985,000,000","1,931,000,000","1,833,000,000","1,715,000,000","1,700,000,000","1,665,000,000","1,591,000,000","1,544,000,000","1,551,000,000","1,514,000,000","1,653,000,000","1,613,000,000","1,757,000,000","1,626,000,000","1,633,000,000","1,512,000,000","1,638,000,000","1,600,000,000","1,884,000,000","1,526,000,000","1,673,000,000","1,505,000,000","1,495,000,000","1,460,000,000","1,417,000,000","1,405,000,000","1,386,000,000","1,329,000,000","1,374,000,000","1,386,000,000","1,254,000,000","1,264,000,000","1,297,000,000","1,326,000,000","1,228,000,000","1,177,000,000","1,244,000,000","1,141,000,000","1,150,000,000","1,191,000,000","1,479,000,000","1,237,000,000","1,886,000,000","954,000,000","1,068,000,000","971,000,000","1,034,000,000","1,009,000,000","871,000,000","965,000,000","946,000,000","947,000,000","967,000,000","924,000,000","954,000,000","952,000,000","972,000,000","937,000,000","940,000,000","916,000,000","908,000,000","882,000,000","355,000,000","1,009,000,000","1,054,000,000","1,022,000,000","999,000,000","964,000,000","955,000,000","915,000,000","1,205,000,000","1,121,000,000","1,157,000,000","1,128,000,000","1,215,000,000","1,168,000,000","1,127,000,000","1,120,000,000","1,085,000,000","1,060,000,000","1,071,000,000","1,076,000,000","983,000,000","1,022,000,000","992,000,000","958,000,000","857,000,000","909,000,000",,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"6,900,000,000","1,766,000,000","1,739,000,000","1,666,000,000","1,729,000,000","1,893,000,000","1,658,000,000","1,577,000,000","1,751,000,000","1,945,000,000","1,417,000,000","1,687,000,000","1,912,000,000","1,668,000,000","1,528,000,000","1,779,000,000","2,554,000,000","1,742,000,000","1,623,000,000","1,607,000,000","1,571,000,000","1,527,000,000","1,531,000,000","1,560,000,000","1,493,000,000","1,538,000,000","1,530,000,000","1,550,000,000","1,564,000,000","1,594,000,000","1,597,000,000","1,646,000,000","1,632,000,000","1,576,000,000","1,609,000,000","1,610,000,000","1,589,000,000","1,535,000,000","1,487,000,000","1,528,000,000","1,552,000,000","1,522,000,000","1,534,000,000","1,581,000,000","1,533,000,000","1,445,000,000","1,361,000,000","1,350,000,000","1,323,000,000","1,265,000,000","1,209,000,000","1,242,000,000","1,191,000,000","1,307,000,000","1,269,000,000","1,394,000,000","1,275,000,000","1,274,000,000","1,174,000,000","1,286,000,000","1,281,000,000","1,375,000,000","1,186,000,000","1,322,000,000","1,183,000,000","1,135,000,000","1,165,000,000","1,121,000,000","1,114,000,000","1,097,000,000","1,047,000,000","1,084,000,000","1,104,000,000","1,061,000,000","994,000,000","1,021,000,000","963,000,000","955,000,000","913,000,000","975,000,000","877,000,000","976,000,000","930,000,000","1,196,000,000","959,000,000","801,000,000","1,073,000,000","1,068,000,000","1,021,000,000","1,034,000,000","1,009,000,000","871,000,000","965,000,000","946,000,000","947,000,000","967,000,000","924,000,000","954,000,000","952,000,000","972,000,000","937,000,000","940,000,000","916,000,000","908,000,000","882,000,000","355,000,000","1,009,000,000","1,054,000,000","1,022,000,000","999,000,000","964,000,000","955,000,000","915,000,000","908,000,000","859,000,000","893,000,000","875,000,000","887,000,000","909,000,000","875,000,000","872,000,000","817,000,000","827,000,000","835,000,000","844,000,000","818,000,000","809,000,000","784,000,000","763,000,000","719,000,000","722,000,000",,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"6,900,000,000","1,766,000,000","1,739,000,000","1,666,000,000","1,729,000,000","1,893,000,000","1,658,000,000","1,577,000,000","1,751,000,000","1,945,000,000","1,417,000,000","1,687,000,000","1,912,000,000","1,668,000,000","1,528,000,000","1,779,000,000","2,554,000,000","1,742,000,000","1,623,000,000","1,607,000,000","1,571,000,000","1,527,000,000","1,531,000,000","1,560,000,000","1,493,000,000","1,538,000,000","1,530,000,000","1,550,000,000","1,564,000,000","1,594,000,000","1,597,000,000","1,646,000,000","1,632,000,000","1,576,000,000","1,609,000,000","1,610,000,000","1,589,000,000","1,535,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,"-297,000,000","-58,000,000","-80,000,000","-80,000,000","-79,000,000","3,000,000","-19,000,000","-17,000,000","-17,000,000","5,000,000","-38,000,000","1,000,000","-36,000,000","-14,000,000","-19,000,000","-21,000,000","-19,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"7,197,000,000","1,824,000,000","1,819,000,000","1,746,000,000","1,808,000,000","1,890,000,000","1,677,000,000","1,594,000,000","1,768,000,000","1,940,000,000","1,455,000,000","1,686,000,000","1,948,000,000","1,682,000,000","1,547,000,000","1,800,000,000","2,573,000,000","1,742,000,000","1,623,000,000","1,607,000,000","1,571,000,000","1,527,000,000","1,531,000,000","1,560,000,000","1,493,000,000","1,538,000,000","1,530,000,000","1,550,000,000","1,564,000,000","1,594,000,000","1,597,000,000","1,646,000,000","1,632,000,000","1,576,000,000","1,609,000,000","1,610,000,000","1,589,000,000","1,535,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"1,994,000,000","474,000,000","482,000,000","514,000,000","524,000,000","456,000,000","461,000,000","424,000,000","537,000,000","521,000,000","443,000,000","470,000,000","477,000,000","437,000,000","430,000,000","468,000,000","486,000,000","443,000,000","463,000,000","473,000,000","471,000,000","421,000,000","427,000,000","437,000,000","450,000,000","433,000,000","429,000,000","438,000,000","463,000,000","436,000,000","434,000,000","448,000,000","452,000,000","438,000,000","420,000,000","427,000,000","430,000,000","418,000,000","397,000,000","408,000,000","411,000,000","379,000,000","389,000,000","404,000,000","398,000,000","388,000,000","354,000,000","350,000,000","342,000,000","326,000,000","335,000,000","309,000,000","323,000,000","346,000,000","344,000,000","363,000,000","351,000,000","359,000,000","338,000,000","352,000,000","319,000,000","509,000,000","340,000,000","351,000,000","322,000,000","360,000,000","295,000,000","296,000,000","291,000,000","289,000,000","282,000,000","290,000,000","282,000,000","286,000,000","270,000,000","276,000,000","270,000,000","273,000,000","264,000,000","269,000,000","264,000,000","262,000,000","261,000,000","283,000,000","278,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
