name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003
TotalRevenue,"27,771,000,000","7,409,000,000","7,040,000,000","6,800,000,000","6,522,000,000","5,235,000,000","5,021,000,000","4,618,000,000","4,549,000,000","4,274,000,000","4,243,000,000","4,193,000,000","4,119,000,000","4,664,000,000","4,697,000,000","4,883,000,000","4,646,000,000","4,949,000,000","5,031,000,000","4,999,000,000","4,904,000,000","4,534,000,000","4,546,000,000","4,359,000,000","4,343,000,000","3,870,624,000","3,611,363,000","3,524,890,000","3,171,123,000","2,800,968,000","2,484,351,000","2,312,039,000","2,069,243,000","1,705,622,000","1,687,079,000","1,605,834,000","1,590,587,000","1,578,569,000","1,540,190,000","1,536,424,000","1,373,580,000","1,306,408,000","1,176,722,000","1,167,104,000","1,119,706,000","1,080,752,000","1,039,146,000","999,338,000","966,741,000","964,224,000","916,512,000","927,589,000","861,031,000","812,504,000","796,329,000","766,491,000","737,042,000","679,629,000","636,034,000","613,888,000","562,903,000","549,520,000","517,465,000","484,634,000","453,376,000","423,221,000","428,611,000","404,274,000","393,952,000","375,377,000","330,807,000","249,058,000","220,026,000","208,928,000","197,526,000","194,983,000","192,160,000"
	OperatingRevenue,"26,855,000,000","7,166,000,000","6,800,000,000","6,583,000,000","6,306,000,000","4,855,000,000","4,768,000,000","4,372,000,000","4,304,000,000","4,123,000,000","4,084,000,000","4,049,000,000","3,952,000,000","4,454,000,000","4,467,000,000","4,641,000,000","4,457,000,000","4,820,000,000","4,907,000,000","4,869,000,000","4,779,000,000","4,308,000,000","4,324,000,000","4,164,000,000","4,135,000,000","3,695,294,000","3,424,581,000","3,351,615,000","3,022,510,000","2,651,905,000","2,369,316,000","2,217,374,000","1,993,967,000","1,649,359,000","1,635,756,000","1,598,284,000","1,584,364,000","1,568,003,000","1,539,019,000","1,535,316,000","1,371,863,000","1,304,126,000","1,175,958,000","1,165,658,000","1,118,112,000","1,079,373,000","1,037,386,000","997,739,000","965,220,000","962,411,000","914,805,000","925,507,000","857,484,000","808,895,000","791,554,000","761,153,000","737,042,000","679,629,000","636,034,000","613,888,000","562,903,000","549,520,000","517,465,000","484,634,000","453,376,000","423,221,000","428,611,000","404,274,000","393,952,000","375,404,000","330,808,000","249,039,000","221,188,000","208,940,000","197,558,000","195,004,000","192,160,000"
CostOfRevenue,"24,491,000,000","6,573,000,000","6,253,000,000","6,004,000,000","5,661,000,000","4,648,000,000","4,338,000,000","3,826,000,000","3,934,000,000","3,667,000,000","3,642,000,000","3,576,000,000","3,509,000,000","3,974,000,000","4,098,000,000","4,173,000,000","4,021,000,000","4,481,000,000","4,449,000,000","4,729,000,000","4,344,000,000","4,144,000,000","4,049,000,000","3,869,000,000","3,882,000,000","3,450,599,000","3,184,976,000","3,097,614,000","2,807,811,000","2,474,954,000","2,241,451,000","2,063,471,000","1,836,198,000","1,501,007,000","1,467,049,000","1,380,894,000","1,365,524,000","1,475,712,000","1,351,575,000","1,408,190,000","1,161,482,000","1,076,912,000","993,742,000","988,574,000","944,753,000","899,279,000","873,542,000","853,867,000","822,816,000","842,371,000","792,771,000","803,206,000","737,888,000","684,781,000","669,355,000","640,829,000","626,347,000","560,839,000","525,902,000","516,865,000","476,477,000","462,820,000","430,870,000","401,715,000","383,247,000","355,656,000","366,612,000","369,490,000","333,114,000","314,903,000","276,518,000","209,048,000","184,217,000","172,860,000","161,736,000","160,593,000",
GrossProfit,"3,280,000,000","836,000,000","787,000,000","796,000,000","861,000,000","587,000,000","683,000,000","792,000,000","615,000,000","607,000,000","601,000,000","617,000,000","610,000,000","690,000,000","599,000,000","710,000,000","625,000,000","468,000,000","582,000,000","270,000,000","560,000,000","390,000,000","497,000,000","490,000,000","461,000,000","420,025,000","426,387,000","427,276,000","363,312,000","326,014,000","242,900,000","248,568,000","233,045,000","204,615,000","220,030,000","224,940,000","225,063,000","102,857,000","188,615,000","128,234,000","212,098,000","229,496,000","182,980,000","178,530,000","174,953,000","181,473,000","165,604,000","145,471,000","143,925,000","121,853,000","123,741,000","124,383,000","123,143,000","127,723,000","126,974,000","125,662,000","110,695,000","118,790,000","110,132,000","97,023,000","86,426,000","86,700,000","86,595,000","82,919,000","70,129,000","67,565,000","61,999,000","34,784,000","60,838,000","60,474,000","54,289,000","40,010,000","35,809,000","36,068,000","35,790,000","34,390,000",
OperatingExpense,"2,260,000,000","645,000,000","566,000,000","523,000,000","526,000,000","496,000,000","394,000,000","368,000,000","341,000,000","364,000,000","344,000,000","350,000,000","327,000,000","358,000,000","336,000,000","360,000,000","378,000,000","395,000,000","416,000,000","442,000,000","478,000,000","396,000,000","379,000,000","385,000,000","372,000,000","343,736,000","313,534,000","311,648,000","281,082,000","229,570,000","203,121,000","216,141,000","208,778,000","207,300,000","195,104,000","178,494,000","157,972,000","48,724,000","181,428,000","187,501,000","178,678,000","181,024,000","149,414,000","147,120,000","143,653,000","148,041,000","135,651,000","124,293,000","123,487,000","125,575,000","107,467,000","103,657,000","100,560,000","100,256,000","96,545,000","95,404,000","86,244,000","88,939,000","81,317,000","-442,908,000","69,831,000","67,242,000","66,137,000","61,178,000","55,975,000","50,926,000","51,118,000","40,618,000","36,744,000","34,186,000","29,200,000","20,576,000","19,057,000","16,857,000","18,197,000","16,796,000","-164,049,000"
	SellingGeneralAndAdministration,"2,068,000,000","579,000,000","532,000,000","484,000,000","473,000,000","450,000,000","368,000,000","345,000,000","317,000,000","343,000,000","323,000,000","328,000,000","302,000,000","335,000,000","311,000,000","335,000,000","352,000,000","367,000,000","383,000,000","405,000,000","439,000,000","359,000,000","343,000,000","351,000,000","340,000,000","315,723,000","287,691,000","286,496,000","256,090,000","204,488,000","178,879,000","193,239,000","188,087,000","187,006,000","176,233,000","161,479,000","141,407,000","153,419,000","127,500,000","131,485,000","120,223,000","124,965,000","99,610,000","96,921,000","94,436,000","100,374,000","88,660,000","78,079,000","113,426,000","115,933,000","97,635,000","94,073,000","91,508,000","91,565,000","88,030,000","87,074,000","78,092,000","80,464,000","74,235,000","67,208,000","63,388,000","61,032,000","60,504,000","56,308,000","51,213,000","45,731,000","47,005,000","37,060,000","33,546,000","31,208,000","26,642,000","18,842,000","17,458,000","14,813,000","16,599,000","15,422,000","14,709,000"
		GeneralAndAdministrativeExpense,"2,068,000,000","579,000,000","532,000,000","484,000,000","473,000,000","450,000,000","368,000,000","345,000,000","317,000,000","343,000,000","323,000,000","328,000,000","302,000,000","335,000,000","311,000,000","335,000,000","352,000,000","367,000,000","383,000,000","405,000,000","439,000,000","359,000,000","343,000,000","351,000,000","340,000,000","315,723,000","287,691,000","286,496,000","256,090,000","204,488,000","178,879,000","193,239,000","188,087,000","187,006,000","176,233,000","161,479,000","141,407,000","153,419,000",,,,,,,,,,,,,,,,,,,"78,092,000","80,464,000","74,235,000","67,208,000","63,388,000","61,032,000","60,504,000","56,308,000","51,213,000","45,731,000","47,005,000","37,060,000","33,546,000","31,208,000","26,642,000","18,842,000","17,458,000","14,813,000","16,599,000","15,422,000","14,709,000"
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"78,092,000","80,464,000","74,235,000","67,208,000","63,388,000","61,032,000","60,504,000","56,308,000","51,213,000","45,731,000","47,005,000","37,060,000","33,546,000","31,208,000","26,642,000","18,842,000","17,458,000","14,813,000","16,599,000","15,422,000","14,709,000"
			OtherGandA,"2,068,000,000","579,000,000","532,000,000","484,000,000","473,000,000","450,000,000","368,000,000","345,000,000","317,000,000","343,000,000","323,000,000","328,000,000","302,000,000","335,000,000","311,000,000","335,000,000","352,000,000","367,000,000","383,000,000","405,000,000","439,000,000","359,000,000","343,000,000","351,000,000","340,000,000","315,723,000","287,691,000","286,496,000","256,090,000","204,488,000","178,879,000","193,239,000","188,087,000","187,006,000","176,233,000","161,479,000","141,407,000","153,419,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"131,000,000","35,000,000","32,000,000","31,000,000","33,000,000","24,000,000","23,000,000","21,000,000","20,000,000","21,000,000","21,000,000","22,000,000","25,000,000","23,000,000","25,000,000","25,000,000","26,000,000","28,000,000","33,000,000","37,000,000","39,000,000","37,000,000","36,000,000","34,000,000","32,000,000","28,013,000","25,843,000","25,152,000","24,992,000","25,082,000","24,242,000","22,902,000","20,691,000","20,294,000","18,871,000","17,015,000","16,565,000","16,258,000","16,034,000","16,387,000","15,025,000","12,103,000","13,430,000","12,490,000","12,667,000","12,470,000","11,954,000","11,219,000","10,061,000","9,642,000","9,832,000","9,584,000","9,052,000","8,691,000","8,515,000","8,330,000","8,152,000","7,693,000","7,082,000","6,749,000","6,443,000","6,210,000","5,633,000","4,870,000","4,762,000","4,256,000","4,113,000","3,558,000","3,198,000","2,978,000","2,558,000","1,734,000","1,599,000","2,044,000","1,598,000","1,374,000",
