name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,09/30/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005,11/30/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987
TotalRevenue,"12,357,400,000","3,841,000,000","3,418,600,000","2,800,700,000","2,297,100,000","2,457,400,000","2,381,500,000","2,044,700,000","1,798,100,000","2,076,300,000","2,753,400,000","2,176,900,000","1,899,700,000","2,520,500,000","2,928,100,000","2,205,000,000","1,933,700,000","2,091,900,000","1,984,800,000","1,754,600,000","1,578,100,000","1,862,100,000","1,952,200,000","1,674,600,000","1,674,000,000","2,163,200,000","2,105,500,000","2,487,500,000","2,139,100,000","2,378,600,000","2,250,700,000","2,440,200,000","1,986,200,000","1,908,700,000","2,692,200,000","2,240,600,000","2,536,200,000","2,505,100,000","2,820,500,000","2,189,500,000","3,014,500,000","3,083,300,000","2,860,400,000","2,214,300,000","2,674,800,000","2,188,300,000","1,860,300,000","1,731,900,000","1,709,700,000","1,457,200,000","1,593,500,000","1,375,500,000","3,006,500,000","4,322,500,000","3,466,700,000","2,147,200,000","2,195,400,000","2,003,300,000","1,684,400,000","1,278,700,000","1,522,000,000","1,288,600,000","1,331,500,000","1,073,200,000","1,493,300,000","1,403,600,000","1,449,700,000","1,144,500,000","1,077,700,000","612,200,000","748,800,000","584,200,000","604,100,000","495,700,000","538,700,000","552,100,000","481,000,000","490,200,000","588,300,000","497,900,000","525,800,000","405,900,000","506,900,000","520,100,000","485,900,000","483,400,000","505,800,000","620,800,000","209,000,000","625,500,000","765,400,000","769,400,000","40,800,000","756,800,000","1,221,800,000","676,800,000","676,900,000","598,700,000","1,048,200,000","664,800,000","665,400,000","603,600,000","955,100,000","717,000,000","549,600,000","484,900,000","501,400,000","550,000,000","451,800,000","420,800,000","435,600,000","410,500,000","329,000,000","266,400,000","255,900,000","222,800,000","197,500,000","220,900,000","279,700,000","267,500,000","252,600,000","258,700,000","302,600,000","286,100,000","276,400,000","266,100,000","307,100,000","284,400,000","263,200,000","251,000,000","319,700,000","322,600,000","310,800,000","268,600,000","314,900,000","290,900,000","253,400,000","226,400,000"
	OperatingRevenue,"12,357,400,000","3,841,000,000","3,418,600,000","2,800,700,000","2,297,100,000","2,457,400,000","2,381,500,000","2,044,700,000","1,798,100,000","2,076,300,000","2,753,400,000","2,176,900,000","1,899,700,000","2,520,500,000","2,928,100,000","2,205,000,000","1,933,700,000","2,091,900,000","1,984,800,000","1,754,600,000","1,578,100,000","1,862,100,000","1,952,200,000","1,674,600,000","1,674,000,000","2,163,200,000","2,105,500,000","2,487,500,000","2,139,100,000","2,378,600,000","2,250,700,000","2,440,200,000","1,986,200,000","1,908,700,000","2,692,200,000","2,240,600,000","2,536,200,000","2,505,100,000","2,820,500,000","2,189,500,000","3,014,500,000","3,083,300,000","2,860,400,000","2,214,300,000","2,674,800,000","2,188,300,000","1,860,300,000","1,731,900,000","1,709,700,000","1,457,200,000","1,593,500,000","1,375,500,000","3,006,500,000","4,322,500,000","3,466,700,000","2,147,200,000","2,195,400,000","2,003,300,000","1,684,400,000","1,278,700,000","1,522,000,000","1,288,600,000","1,331,500,000","1,073,200,000","1,493,300,000","1,403,600,000","1,449,700,000","1,144,500,000","1,077,700,000","612,200,000","748,800,000","584,200,000","604,100,000","495,700,000","538,700,000","552,100,000","481,000,000","490,200,000","588,300,000","497,900,000","525,800,000","405,900,000","506,900,000","520,100,000","485,900,000","483,400,000","505,800,000","620,800,000","209,000,000","625,500,000","765,400,000","769,400,000","40,800,000","756,800,000","1,221,800,000","676,800,000","676,900,000","598,700,000","1,048,200,000","664,800,000","665,400,000","603,600,000","955,100,000","717,000,000","549,600,000","484,900,000","501,400,000","550,000,000","451,800,000","420,800,000","435,600,000","410,500,000","329,000,000","266,400,000","255,900,000","222,800,000","197,500,000","220,900,000","279,700,000","267,500,000","252,600,000","258,700,000","302,600,000","286,100,000","276,400,000","266,100,000","307,100,000","284,400,000","263,200,000","251,000,000","319,700,000","322,600,000","310,800,000","268,600,000","314,900,000","290,900,000","253,400,000","226,400,000"
CostOfRevenue,"9,157,100,000","2,692,400,000","2,554,100,000","2,048,400,000","1,862,200,000","2,046,000,000","2,026,400,000","1,787,700,000","1,756,700,000","1,995,600,000","2,473,500,000","1,949,700,000","1,590,200,000","2,054,300,000","2,432,600,000","1,910,400,000","1,691,600,000","1,811,800,000","1,744,000,000","1,562,300,000","1,448,500,000","1,656,200,000","1,738,900,000","1,520,600,000","1,437,300,000","1,807,700,000","1,770,200,000","1,879,600,000","1,719,900,000","1,799,500,000","1,836,000,000","1,919,100,000","1,574,600,000","1,521,800,000","1,923,600,000","1,672,200,000","1,860,300,000","1,757,800,000","1,986,700,000","1,667,700,000","2,133,300,000","2,235,100,000","1,865,200,000","1,360,700,000","1,906,500,000","1,683,600,000","1,172,700,000","1,255,400,000","1,402,700,000","1,235,000,000","1,389,400,000","1,235,200,000","2,232,800,000","2,673,900,000","2,179,000,000","1,419,300,000","1,572,300,000","1,481,500,000","1,228,200,000","1,165,600,000","1,361,500,000","1,092,300,000","1,165,300,000","1,059,200,000","1,284,100,000","1,154,800,000","1,204,100,000","1,008,000,000","1,016,500,000","621,400,000","620,500,000","505,400,000","546,900,000","451,600,000","494,900,000","516,000,000","428,800,000","424,500,000","511,900,000","429,200,000","484,700,000","385,400,000","446,300,000","410,400,000","475,800,000","368,300,000","337,100,000","411,000,000","142,800,000","445,400,000","513,400,000","492,500,000","-96,700,000","495,900,000","851,500,000","455,400,000","475,900,000","492,300,000","732,500,000","450,000,000","439,200,000","405,900,000","692,300,000","471,400,000","368,300,000","340,400,000","358,800,000","367,000,000","304,000,000","311,300,000","307,400,000","305,200,000","268,200,000","233,600,000","222,600,000","185,900,000","149,100,000","152,700,000","214,600,000","186,400,000","165,100,000","179,400,000","226,100,000","205,000,000","185,700,000","182,400,000","226,200,000","209,300,000","178,700,000","167,700,000",,,,,,,,
GrossProfit,"3,200,300,000","1,148,600,000","864,500,000","752,300,000","434,900,000","411,400,000","355,100,000","257,000,000","41,400,000","80,700,000","279,900,000","227,200,000","309,500,000","466,200,000","495,500,000","294,600,000","242,100,000","280,100,000","240,800,000","192,300,000","129,600,000","205,900,000","213,300,000","154,000,000","236,700,000","355,500,000","335,300,000","607,900,000","419,200,000","579,100,000","414,700,000","521,100,000","411,600,000","386,900,000","768,600,000","568,400,000","675,900,000","747,300,000","833,800,000","521,800,000","881,200,000","848,200,000","995,200,000","853,600,000","768,300,000","504,700,000","687,600,000","476,500,000","307,000,000","222,200,000","204,100,000","140,300,000","773,700,000","1,648,600,000","1,287,700,000","727,900,000","623,100,000","521,800,000","456,200,000","113,100,000","160,500,000","196,300,000","166,200,000","14,000,000","209,200,000","248,800,000","245,600,000","136,500,000","61,200,000","-9,200,000","128,300,000","78,800,000","57,200,000","44,100,000","43,800,000","36,100,000","52,200,000","65,700,000","76,400,000","68,700,000","41,100,000","20,500,000","60,600,000","109,700,000","10,100,000","115,100,000","168,700,000","209,800,000","66,200,000","180,100,000","252,000,000","276,900,000","137,500,000","260,900,000","370,300,000","221,400,000","201,000,000","106,400,000","315,700,000","214,800,000","226,200,000","197,700,000","262,800,000","245,600,000","181,300,000","144,500,000","142,600,000","183,000,000","147,800,000","109,500,000","128,200,000","105,300,000","60,800,000","32,800,000","33,300,000","36,900,000","48,400,000","68,200,000","65,100,000","81,100,000","87,500,000","79,300,000","76,500,000","81,100,000","90,700,000","83,700,000","80,900,000","75,100,000","84,500,000","83,300,000",,,,,,,,
OperatingExpense,"573,700,000","178,900,000","162,900,000","110,200,000","121,700,000","116,600,000","256,600,000","171,200,000","107,600,000","167,000,000","156,000,000","99,700,000","107,400,000","208,200,000","102,200,000","98,300,000","161,400,000","153,000,000","26,900,000","97,700,000","99,500,000","132,300,000","143,600,000","141,700,000","73,300,000","151,200,000","89,300,000","97,900,000","100,700,000","146,400,000","102,100,000","117,900,000","145,000,000","120,000,000","147,900,000","149,300,000","102,800,000","137,100,000","99,200,000","108,100,000","84,200,000","118,600,000","170,300,000","82,800,000","110,100,000","94,400,000","140,000,000","87,600,000","106,900,000","88,000,000","78,400,000","96,000,000","91,700,000","99,700,000","98,800,000","81,300,000","83,200,000","72,200,000","98,100,000","78,900,000","69,800,000","65,100,000","61,100,000","58,400,000","68,300,000","248,600,000","69,100,000","63,800,000","48,900,000","17,600,000","20,100,000","16,800,000","3,100,000","21,300,000","5,600,000","18,300,000","23,600,000","18,700,000","19,000,000","19,400,000","19,100,000","20,200,000","19,600,000","22,900,000","9,400,000","82,700,000","90,700,000","91,500,000","63,200,000","109,500,000","114,500,000","109,800,000","15,900,000","134,700,000","169,500,000","122,000,000","279,600,000","22,200,000","126,600,000","106,500,000","99,900,000","98,600,000","107,100,000","121,700,000","53,800,000","48,200,000","54,700,000","52,300,000","55,500,000","47,100,000","60,100,000","43,400,000","42,700,000","39,300,000","65,100,000","200,000,000","29,800,000","32,600,000","41,400,000","38,100,000","36,200,000","35,900,000","40,400,000","40,200,000","39,100,000","36,500,000","44,300,000","36,800,000","36,800,000","38,200,000",,,,,,,,
	SellingGeneralAndAdministration,"430,500,000","123,500,000","97,700,000","107,600,000","101,700,000","110,900,000","97,600,000","95,100,000","67,900,000","104,300,000","78,200,000","78,100,000","93,500,000","89,700,000","78,500,000","79,300,000","93,600,000","83,100,000","66,100,000","71,200,000","80,900,000","74,600,000","66,900,000","72,900,000","89,800,000","94,900,000","76,600,000","89,300,000","100,400,000","91,100,000","83,900,000","87,500,000","120,000,000","94,400,000","122,400,000","90,400,000","102,800,000","111,700,000","117,100,000","91,300,000","100,600,000","101,100,000","111,500,000","83,600,000","89,300,000","88,100,000","113,700,000","82,300,000","82,900,000","81,400,000","83,300,000","71,300,000","91,700,000","99,700,000","107,900,000","81,200,000","83,200,000","72,200,000","95,900,000","77,800,000","70,400,000","65,700,000","54,600,000","61,800,000","66,900,000","57,000,000","65,800,000","64,800,000","45,400,000","17,600,000","20,100,000","16,800,000","17,900,000","21,300,000","22,100,000","18,300,000","23,600,000","18,700,000","19,000,000","19,400,000","19,100,000","20,200,000","19,600,000","22,900,000","800,000","31,200,000","35,400,000","35,300,000","34,500,000","41,000,000","45,200,000","43,800,000","-41,900,000","65,400,000","93,100,000","73,800,000","237,900,000","65,100,000","69,400,000","63,200,000","58,200,000","56,400,000","63,000,000","60,100,000","21,600,000","17,500,000","20,000,000","19,300,000","21,600,000","14,300,000","20,600,000","15,800,000","15,700,000","13,900,000","51,600,000","184,000,000","13,800,000","16,200,000","24,700,000","15,900,000","13,900,000","13,600,000","19,100,000","17,200,000","15,800,000","13,000,000","16,500,000","15,200,000","15,700,000","14,900,000",,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"43,000,000","8,600,000","51,500,000","55,300,000","56,200,000","28,700,000","68,500,000","69,300,000","66,000,000","57,800,000","69,300,000","76,400,000","48,200,000","41,700,000","-42,900,000","57,200,000","43,300,000","41,700,000","42,200,000","44,100,000","61,600,000","32,200,000","30,700,000","34,700,000","33,000,000","33,900,000","32,800,000","39,500,000","27,600,000","27,000,000","25,400,000","13,500,000","16,000,000","16,000,000","16,400,000","16,700,000","22,200,000","22,300,000","22,300,000","21,300,000","23,000,000","23,300,000","23,500,000","27,800,000","21,600,000","21,100,000","23,300,000",,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"43,000,000","8,600,000","51,500,000","55,300,000","56,200,000","28,700,000","68,500,000","69,300,000","66,000,000","57,800,000","69,300,000","76,400,000","48,200,000","41,700,000","-42,900,000","57,200,000","43,300,000","41,700,000","42,200,000","44,100,000","61,600,000","32,200,000","30,700,000","34,700,000","33,000,000","33,900,000","32,800,000","39,500,000","27,600,000","27,000,000","25,400,000","13,500,000","16,000,000","16,000,000","16,400,000","16,700,000","22,200,000","22,300,000","22,300,000","21,300,000","23,000,000","23,300,000","23,500,000","27,800,000","21,600,000","21,100,000","23,300,000",,,,,,,,
	OtherOperatingExpenses,"143,200,000","55,400,000","65,200,000","2,600,000","20,000,000","5,700,000","159,000,000","76,100,000","39,700,000","62,700,000","77,800,000","21,600,000","13,900,000","118,500,000","23,700,000","19,000,000","67,800,000","69,900,000","-39,200,000","26,500,000","18,600,000","57,700,000","76,700,000","68,800,000","-16,500,000","56,300,000","12,700,000","8,600,000","300,000","55,300,000","18,200,000","30,400,000","25,000,000","25,600,000","25,500,000","58,900,000",,"25,400,000","45,900,000","16,800,000","-16,400,000","17,500,000","58,800,000","-800,000","20,800,000","6,300,000","26,300,000","5,300,000","24,000,000","6,600,000","-4,900,000","24,700,000",,,,"100,000",,,"2,200,000","1,100,000","-600,000","-600,000","6,500,000","-3,400,000","1,400,000","191,600,000",,"-1,000,000","3,500,000",,,,"-14,800,000",,"-16,500,000",,,,,,,,,"-43,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"2,626,600,000","969,700,000","701,600,000","642,100,000","313,200,000","294,800,000","98,500,000","85,800,000","-66,200,000","-86,300,000","123,900,000","127,500,000","202,100,000","258,000,000","393,300,000","196,300,000","80,700,000","127,100,000","213,900,000","94,600,000","30,100,000","73,600,000","69,700,000","12,300,000","163,400,000","204,300,000","246,000,000","510,000,000","318,500,000","432,700,000","312,600,000","403,200,000","266,600,000","266,900,000","620,700,000","419,100,000","573,100,000","610,200,000","734,600,000","413,700,000","797,000,000","729,600,000","824,900,000","770,800,000","658,200,000","410,300,000","547,600,000","388,900,000","200,100,000","134,200,000","125,700,000","44,300,000","682,000,000","1,548,900,000","1,188,900,000","646,600,000","539,900,000","449,600,000","358,100,000","34,200,000","90,700,000","131,200,000","105,100,000","-44,400,000","140,900,000","200,000","176,500,000","72,700,000","12,300,000","-26,800,000","108,200,000","62,000,000","54,100,000","22,800,000","38,200,000","17,800,000","28,600,000","47,000,000","57,400,000","49,300,000","22,000,000","300,000","41,000,000","86,800,000","700,000","32,400,000","78,000,000","118,300,000","3,000,000","70,600,000","137,500,000","167,100,000","121,600,000","126,200,000","200,800,000","99,400,000","-78,600,000","84,200,000","189,100,000","108,300,000","126,300,000","99,100,000","155,700,000","123,900,000","127,500,000","96,300,000","87,900,000","130,700,000","92,300,000","62,400,000","68,100,000","61,900,000","18,100,000","-6,500,000","-31,800,000","-163,100,000","18,600,000","35,600,000","23,700,000","43,000,000","51,300,000","43,400,000","36,100,000","40,900,000","51,600,000","47,200,000","36,600,000","38,300,000","47,700,000","45,100,000","-636,100,000","322,600,000","310,800,000","268,600,000","-562,500,000","290,900,000","253,400,000","226,400,000"
