name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002
TotalRevenue,"1,207,798,000","336,504,000","323,522,000","293,317,000","254,455,000","233,043,000","259,422,000","186,209,000","165,778,000","166,738,000","168,813,000","151,007,000","141,363,000","153,497,000","159,975,000","139,761,000","129,150,000","129,430,000","128,939,000","112,198,000","100,362,000","103,618,000","106,456,000","94,079,000","84,512,000","86,919,000","91,194,000","81,416,000","73,538,000","75,703,000","78,335,000","68,436,000","60,061,000","63,560,000","65,347,000","57,714,000","51,470,000","48,214,000","56,508,000","58,607,000","50,484,000","47,461,000","52,962,000","51,628,000","44,468,000","47,057,000","65,843,000","55,690,000","50,250,000","46,547,000","47,966,000","41,173,000","29,322,000","34,709,000","48,891,000","41,502,000","35,409,000","38,487,000","40,188,000","30,833,000","24,496,000","26,396,000","27,255,000","26,601,000","24,763,000","32,531,000","29,706,000","22,257,000","14,637,009","14,799,199","14,737,000","11,264,000","6,795,000","8,163,016","8,110,000","4,675,000","3,256,000","4,240,601","3,373,000","2,713,000","1,879,000"
	OperatingRevenue,"1,207,798,000","336,504,000","323,522,000","293,317,000","254,455,000","233,043,000","259,422,000","186,209,000","165,778,000","166,738,000","168,813,000","151,007,000","141,363,000","153,497,000","159,975,000","139,761,000","129,150,000","129,430,000","128,939,000","112,198,000","100,362,000","103,618,000","106,456,000","94,079,000","84,512,000","86,919,000","91,194,000","81,416,000","73,538,000","75,703,000","78,335,000","68,436,000","60,061,000","63,560,000","65,347,000","57,714,000","51,470,000","48,214,000","56,508,000","58,607,000","50,484,000","47,461,000","52,962,000","51,628,000","44,468,000","47,057,000","65,843,000","55,690,000","50,250,000","46,547,000","47,966,000","41,173,000","29,322,000","34,709,000","48,891,000","41,502,000","35,409,000","38,487,000","40,188,000","30,833,000","24,496,000","26,396,000","27,255,000","26,601,000","24,763,000","32,531,000","29,706,000","22,257,000","14,637,009","14,799,199","14,737,000","11,264,000","6,795,000","8,163,016","8,110,000","4,675,000","3,256,000","4,240,601","3,373,000","2,713,000","1,879,000"
CostOfRevenue,"522,339,000","142,630,000","137,211,000","129,102,000","113,396,000","104,169,000","116,382,000","83,616,000","74,331,000","74,802,000","75,655,000","67,782,000","63,357,000","68,904,000","70,957,000","62,197,000","57,655,000","58,269,000","58,083,000","50,773,000","45,520,000","47,106,000","48,531,000","43,153,000","39,002,000","40,002,000","41,754,000","37,287,000","33,855,000","34,744,000","35,872,000","31,337,000","27,964,000","29,266,000","30,053,000","26,786,000","24,085,000","22,661,000","26,495,000","27,435,000","24,074,000","22,544,000","25,148,000","25,070,000","22,163,000","23,316,000","29,857,000","23,256,000","20,954,000","19,208,000","18,868,000","16,823,000","12,431,000","14,564,000","18,201,000","15,375,000","13,044,000","13,907,000","14,662,000","11,248,000","8,963,000","9,519,000","9,382,000","9,833,000","9,373,000","11,717,000","10,596,000","8,155,000","5,535,414","5,657,029","5,832,000","4,729,000","3,273,000","3,189,345","3,544,000","2,330,000","1,866,000","2,133,070","1,910,000","1,602,000","1,186,000"
GrossProfit,"685,459,000","193,874,000","186,311,000","164,215,000","141,059,000","128,874,000","143,040,000","102,593,000","91,447,000","91,936,000","93,158,000","83,225,000","78,006,000","84,593,000","89,018,000","77,564,000","71,495,000","71,161,000","70,856,000","61,425,000","54,842,000","56,512,000","57,925,000","50,926,000","45,510,000","46,917,000","49,440,000","44,129,000","39,683,000","40,959,000","42,463,000","37,099,000","32,097,000","34,294,000","35,294,000","30,928,000","27,385,000","25,553,000","30,013,000","31,172,000","26,410,000","24,917,000","27,814,000","26,558,000","22,305,000","23,741,000","35,986,000","32,434,000","29,296,000","27,339,000","29,098,000","24,350,000","16,891,000","20,145,000","30,690,000","26,127,000","22,365,000","24,580,000","25,526,000","19,585,000","15,533,000","16,877,000","17,873,000","16,768,000","15,390,000","20,814,000","19,110,000","14,102,000","9,101,595","9,142,170","8,905,000","6,535,000","3,522,000","4,973,671","4,566,000","2,345,000","1,390,000","2,107,531","1,463,000","1,111,000","693,000"
OperatingExpense,"416,817,000","115,722,000","105,759,000","101,991,000","93,345,000","87,372,000","81,220,000","72,556,000","58,120,000","60,251,000","62,434,000","62,603,000","56,011,000","51,107,000","55,182,000","52,042,000","48,927,000","45,768,000","46,697,000","46,165,000","40,986,000","39,290,000","42,869,000","39,407,000","35,089,000","34,842,000","35,994,000","33,707,000","33,556,000","31,728,000","31,685,000","30,221,000","31,712,000","26,170,000","26,534,000","26,271,000","25,381,000","27,173,000","23,922,000","24,635,000","23,084,000","21,601,000","22,041,000","21,580,000","20,389,000","19,780,000","22,551,000","25,628,000","23,000,000","22,918,000","15,973,000","19,053,000","15,925,000","11,192,000","20,070,000","21,808,000","17,036,000","16,685,000","17,012,000","26,879,000","14,976,000","15,629,000","18,539,000","14,947,000","16,558,000","6,764,000","12,538,000","26,046,000","11,315,968","9,887,699","10,008,000","1,964,000","1,364,000","12,348,233","1,372,000","1,480,000","1,281,000","5,697,210","1,093,000","924,000","955,000"
	SellingGeneralAndAdministration,"226,190,000","61,208,000","56,291,000","57,238,000","51,453,000","45,120,000","43,503,000","40,883,000","32,164,000","33,240,000","34,692,000","35,058,000","30,553,000","28,372,000","29,552,000","28,561,000","27,318,000","24,038,000","25,255,000","25,873,000","22,092,000","21,316,000","22,397,000","21,531,000","17,768,000","18,108,000","18,722,000","17,964,000","17,518,000","16,787,000","17,006,000","16,853,000","16,109,000","13,683,000","13,891,000","13,793,000","13,258,000","13,930,000","11,955,000","12,167,000","11,966,000","10,198,000","10,249,000","10,343,000","10,303,000","9,524,000","11,260,000","13,843,000","11,960,000","13,286,000","9,438,000","9,321,000","7,808,000","8,056,000","9,560,000","8,912,000","8,728,000","8,150,000","8,071,000","7,119,000","6,197,000","6,591,000","6,877,000","6,699,000","7,427,000","15,295,000","8,388,000","10,127,000","8,912,073","7,619,979","7,915,000",,,,,,,,,,
	ResearchAndDevelopment,"190,627,000","54,514,000","49,468,000","44,753,000","41,892,000","42,252,000","37,717,000","31,673,000","25,956,000","27,011,000","27,742,000","27,545,000","25,458,000","22,735,000","25,630,000","23,481,000","21,609,000","21,730,000","21,442,000","20,292,000","18,894,000","17,974,000","20,472,000","17,876,000","17,321,000","16,734,000","17,272,000","15,743,000","16,038,000","14,941,000","14,679,000","13,368,000","15,603,000","12,487,000","12,643,000","12,478,000","12,123,000","13,243,000","11,967,000","12,468,000","11,118,000","11,403,000","11,792,000","11,237,000","10,086,000","10,256,000","11,291,000","11,785,000","11,040,000","10,366,000","10,080,000","9,732,000","8,117,000","9,256,000","9,420,000","8,602,000","7,572,000","7,493,000","7,489,000","6,428,000","5,932,000","5,910,000","5,897,000","5,427,000","5,067,000","3,469,000","4,150,000","3,919,000","2,403,895","2,267,720","2,093,000","1,964,000","1,364,000","1,361,482","1,372,000","1,480,000","1,281,000","1,487,264","1,093,000","924,000","955,000"
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-229,000",,,,,,,,,,,,"-3,545,000",,,,"1,090,000","4,294,000","736,000","1,042,000","1,452,000","13,332,000","2,847,000","3,128,000","5,765,000","2,821,000","4,064,000",,,"12,000,000",,,,,,,,,,,,,
OperatingIncome,"268,642,000","78,152,000","80,552,000","62,224,000","47,714,000","41,502,000","61,820,000","30,037,000","33,327,000","31,685,000","30,724,000","20,622,000","21,995,000","33,486,000","33,836,000","25,522,000","22,568,000","25,393,000","24,159,000","15,260,000","13,856,000","17,222,000","15,056,000","11,519,000","10,421,000","12,075,000","13,446,000","10,422,000","6,127,000","9,231,000","10,778,000","6,878,000","385,000","8,124,000","8,760,000","4,657,000","2,004,000","-1,620,000","6,091,000","6,537,000","3,326,000","3,316,000","5,773,000","4,978,000","1,916,000","3,961,000","13,435,000","6,806,000","6,296,000","4,421,000","13,125,000","5,297,000","966,000","8,953,000","10,620,000","4,319,000","5,329,000","7,895,000","8,514,000","-7,294,000","557,000","1,248,000","-666,000","1,821,000","-1,168,000","14,050,000","6,572,000","-11,944,000","-2,214,373","-745,529","-1,103,000","4,571,000","2,158,000","-7,374,562","3,194,000","865,000","109,000","-3,589,679","370,000","187,000","-262,000"
NetNonOperatingInterestIncomeExpense,"11,637,000","3,535,000","3,050,000","2,770,000","2,282,000","2,254,000","2,311,000","2,388,000","2,374,000","2,098,000","1,850,000","1,661,000","1,696,000","1,715,000","1,583,000","1,563,000","1,460,000","1,415,000","1,346,000","1,327,000","1,264,000","568,000","780,000","597,000","543,000","550,000","-6,000","235,000","642,000","406,000","202,000","295,000","190,000","-57,000","-59,000","218,000","-10,000","-10,000","156,000","359,000","106,000","461,000","3,000","24,000","183,000","394,000","81,000","334,000","347,000","575,000","85,000","96,000","291,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
