name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017
TotalRevenue,"18,471,000,000","7,211,000,000","4,969,000,000","4,354,000,000","1,937,000,000","570,745,000","157,910,000","66,351,000","8,389,000","14,055,000","17,046,000","13,083,000","16,025,000","35,421,000","41,757,000","28,851,000","29,039,000","91,904,000"
	OperatingRevenue,"18,471,000,000","7,211,000,000","4,969,000,000","4,354,000,000","1,937,000,000","570,745,000","157,910,000","66,351,000","8,389,000","14,055,000","17,046,000","13,083,000","16,025,000","35,421,000","41,757,000","28,851,000","29,039,000","91,904,000"
CostOfRevenue,"2,617,000,000","952,000,000","722,000,000","750,000,000","193,000,000","7,933,000",,,,,,,,,,,,
GrossProfit,"15,854,000,000","6,259,000,000","4,247,000,000","3,604,000,000","1,744,000,000","562,812,000",,,,,,,,,,,,
OperatingExpense,"2,558,000,000","849,000,000","689,000,000","542,000,000","478,000,000","837,850,000","393,027,000","188,478,000","139,251,000","143,149,000","147,903,000","157,019,000","157,858,000","188,452,000","127,575,000","125,866,000","106,441,000","133,732,000"
	SellingGeneralAndAdministration,"567,000,000","201,000,000","168,000,000","121,000,000","77,000,000","78,990,000","48,541,000","36,622,000","24,114,000","25,626,000","28,188,000","28,523,000","27,283,000","38,023,000","18,525,000","21,387,000","16,317,000","15,905,000"
		GeneralAndAdministrativeExpense,"114,616,000",,,,,,"48,541,000","36,622,000","24,114,000","25,626,000","28,188,000","28,523,000","27,283,000","38,023,000","18,525,000","21,387,000","16,317,000","15,905,000"
			OtherGandA,"114,616,000",,,,,,"48,541,000","36,622,000","24,114,000","25,626,000","28,188,000","28,523,000","27,283,000","38,023,000","18,525,000","21,387,000","16,317,000","15,905,000"
	ResearchAndDevelopment,"1,991,000,000","648,000,000","521,000,000","421,000,000","401,000,000","758,860,000","344,486,000","151,856,000","115,137,000","117,523,000","119,715,000","128,496,000","130,575,000","150,429,000","109,050,000","104,479,000","90,124,000","117,827,000"
OperatingIncome,"13,296,000,000","5,410,000,000","3,558,000,000","3,062,000,000","1,266,000,000","-275,038,000","-235,117,000","-122,127,000","-130,862,000","-129,094,000","-130,857,000","-143,936,000","-141,833,000","-153,031,000","-85,818,000","-97,015,000","-77,402,000","-41,828,000"
NetNonOperatingInterestIncomeExpense,"0","1,000,000","0","-2,000,000","1,000,000","692,000","2,737,000","5,214,000","6,186,000","5,989,000","7,709,000","8,781,000","9,439,000","8,894,000","5,000,000","6,376,000","5,182,000","3,783,000"
	InterestIncomeNonOperating,"18,000,000","7,000,000","4,000,000","3,000,000","4,000,000","4,200,000","5,571,000","7,092,000","7,852,000","7,984,000","9,252,000","10,322,000","10,972,000","8,894,000","6,519,000","6,401,000","5,209,000","3,783,000"
	InterestExpenseNonOperating,"18,000,000","6,000,000","4,000,000","5,000,000","3,000,000","3,508,000","2,834,000","1,878,000","1,666,000","1,995,000","1,543,000","1,541,000","1,533,000",,"1,519,000","25,000","27,000",
OtherIncomeExpense,"-11,000,000","-1,000,000","-6,000,000","3,000,000","-7,000,000","3,334,000","-392,000","348,000","512,000","-180,000","-224,000","-223,000","-287,000","2,879,000","487,000","196,000","-156,000","-70,000"
	GainOnSaleOfSecurity,"1,000,000","-1,000,000",,"2,000,000",,"199,000","211,000","570,000","321,000","230,000","79,000","17,000","-3,000",,"771,000","533,000","58,000",
	OtherNonOperatingIncomeExpenses,"-12,000,000","0","-6,000,000","1,000,000","-7,000,000","3,135,000","-603,000","-222,000","191,000","-410,000","-303,000","-240,000","-284,000","2,879,000","-284,000","-337,000","-214,000","-70,000"
PretaxIncome,"13,285,000,000","5,410,000,000","3,552,000,000","3,063,000,000","1,260,000,000","-271,012,000","-232,772,000","-116,565,000","-124,164,000","-123,285,000","-123,372,000","-135,378,000","-132,681,000","-141,258,000","-80,331,000","-90,443,000","-72,376,000","-38,115,000"
TaxProvision,"1,083,000,000","542,000,000","219,000,000","283,000,000","39,000,000","1,473,000","864,000","148,000","66,000","-169,000","-178,000","-324,000","-24,000","168,000","0","158,000","0","-171,000"
NetIncomeCommonStockholders,"12,202,000,000","4,868,000,000","3,333,000,000","2,780,000,000","1,221,000,000","-272,485,000","-233,636,000","-116,713,000","-124,230,000","-123,116,000","-123,194,000","-135,054,000","-132,657,000","-144,099,000","-87,819,000","-94,082,000","-75,857,000","-41,426,000"
	NetIncome,"12,202,000,000","4,868,000,000","3,333,000,000","2,780,000,000","1,221,000,000","-272,485,000","-233,636,000","-116,713,000","-124,230,000","-123,116,000","-123,194,000","-135,054,000","-132,657,000","-141,426,000","-80,331,000","-90,601,000","-72,376,000","-37,944,000"
		NetIncomeIncludingNoncontrollingInterests,"12,202,000,000","4,868,000,000","3,333,000,000","2,780,000,000","1,221,000,000","-272,485,000","-233,636,000","-116,713,000","-124,230,000","-123,116,000","-123,194,000","-135,054,000","-132,657,000","-141,426,000","-80,331,000","-90,601,000","-72,376,000","-37,944,000"
			NetIncomeContinuousOperations,"12,202,000,000","4,868,000,000","3,333,000,000","2,780,000,000","1,221,000,000","-272,485,000","-233,636,000","-116,713,000","-124,230,000","-123,116,000","-123,194,000","-135,054,000","-132,657,000","-141,426,000","-80,331,000","-90,601,000","-72,376,000","-37,944,000"
	PreferredStockDividends,,,,,,,,,,,,,,"2,673,000","3,361,000","3,481,000","3,481,000","3,482,000"
	OtherunderPreferredStockDividend,,,,,,,,,,,,,,"0","4,127,000",,,"0"
DilutedNIAvailtoComStockholders,"12,202,000,000","4,868,000,000","3,333,000,000","2,780,000,000","1,221,000,000","-272,485,000","-233,636,000","-116,713,000","-124,230,000","-123,116,000","-123,194,000","-135,054,000","-132,657,000","-144,099,000","-87,819,000","-94,082,000","-75,857,000","-41,426,000"
BasicEPS,,"12.03","8.27","6.93","3.05","-0.69","-0.59","-0.31","-0.35","-0.37","-0.37","-0.409","-0.399","-0.43","-0.271","-0.317","-0.256",
DilutedEPS,,"11.29","7.7","6.46","2.84","-0.69","-0.59","-0.31","-0.35","-0.37","-0.37","-0.409","-0.399","-0.43","-0.271","-0.317","-0.256",
BasicAverageShares,,"405,000,000","404,000,000","402,000,000","400,000,000","396,697,168","394,682,744","380,531,488","353,105,021","334,392,128","330,769,341","329,958,172","328,853,340","328,798,904","324,411,226","296,680,997","296,680,997",
DilutedAverageShares,,"431,000,000","434,000,000","431,000,000","430,000,000","396,697,168","394,682,744","380,531,488","353,105,021","334,392,128","330,769,341","329,958,172","328,853,340","328,798,904","324,411,226","296,680,997","296,680,997",
TotalOperatingIncomeAsReported,"13,296,000,000","5,410,000,000","3,558,000,000","3,062,000,000","1,266,000,000","-275,038,000","-235,117,000","-122,127,000","-130,862,000","-129,094,000","-130,857,000","-143,936,000","-141,833,000","-153,031,000","-85,818,000","-97,015,000","-77,402,000","-41,828,000"
TotalExpenses,"5,175,000,000","1,801,000,000","1,411,000,000","1,292,000,000","671,000,000","845,783,000","393,027,000","188,478,000","139,251,000","143,149,000","147,903,000","157,019,000","157,858,000","188,452,000","127,575,000","125,866,000","106,441,000","133,732,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"12,202,000,000","4,868,000,000","3,333,000,000","2,780,000,000","1,221,000,000","-272,485,000","-233,636,000","-116,713,000","-124,230,000","-123,116,000","-123,194,000","-135,054,000","-132,657,000","-141,426,000","-80,331,000","-90,601,000","-72,376,000","-37,944,000"
NormalizedIncome,"12,201,081,000","4,868,899,815.157","3,333,000,000","2,778,180,000","1,221,000,000","-272,630,270","-233,790,030","-117,129,100","-124,464,330","-123,345,684.714","-123,272,886.02","-135,070,959.314","-132,654,000.543","-141,426,000","-81,102,000","-90,990,090","-72,434,000","-37,944,000"
InterestIncome,"18,000,000","7,000,000","4,000,000","3,000,000","4,000,000","4,200,000","5,571,000","7,092,000","7,852,000","7,984,000","9,252,000","10,322,000","10,972,000","8,894,000","6,519,000","6,401,000","5,209,000","3,783,000"
InterestExpense,"18,000,000","6,000,000","4,000,000","5,000,000","3,000,000","3,508,000","2,834,000","1,878,000","1,666,000","1,995,000","1,543,000","1,541,000","1,533,000",,"1,519,000","25,000","27,000",
