name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"184,903,000,000","51,728,000,000","45,317,000,000","46,152,000,000","41,706,000,000","43,076,000,000","37,154,000,000","38,033,000,000","35,021,000,000","36,906,000,000","33,055,000,000","33,717,000,000","30,571,000,000","32,471,000,000","29,084,000,000","30,085,000,000","26,819,000,000","28,918,000,000","24,538,000,000","23,317,000,000","22,090,000,000","24,090,000,000","20,453,000,000","20,614,000,000","20,531,000,000","23,796,000,000","20,379,000,000","22,180,000,000","21,729,000,000","26,470,000,000","23,201,000,000","23,382,000,000","20,403,000,000","24,519,000,000","18,529,000,000","19,896,000,000","20,489,000,000","21,456,000,000","16,008,000,000","18,059,000,000","17,407,000,000","20,885,000,000","17,372,000,000","17,367,000,000","16,428,000,000","19,953,000,000","16,195,000,000","16,039,000,000","14,503,000,000","19,022,000,000","12,920,000,000","13,099,000,000","13,648,000,000","16,629,000,000","15,061,000,000","15,837,000,000","14,454,000,000","16,367,000,000","13,762,000,000","13,371,000,000","14,398,000,000","12,542,000,000","10,811,000,000","11,804,000,000","10,900,000,000","11,837,000,000","9,741,000,000","10,161,000,000","9,620,000,000","10,818,000,000","9,189,000,000","9,292,000,000","9,175,000,000","10,153,000,000","8,215,000,000","8,065,000,000","7,835,000,000","8,541,000,000","7,746,000,000","7,253,000,000","7,245,000,000","7,741,000,000","6,126,000,000","6,455,000,000","6,456,000,000","6,585,000,000","5,800,000,000","5,804,000,000","5,656,000,000","6,112,000,000","5,384,000,000","6,525,000,000","4,331,000,000","4,938,000,000","3,953,000,000","3,995,000,000","3,774,000,000","3,585,000,000","3,130,000,000","3,175,000,000","3,208,000,000","2,680,000,000","2,295,000,000","2,255,000,000","2,205,000,000","2,195,000,000","2,016,000,000","1,621,000,000","1,587,000,000","1,482,000,000","1,247,000,000","1,293,000,000","1,244,000,000","1,129,000,000","983,000,000","1,039,000,000","958,000,000","938,000,000","818,000,000","815,400,000","680,900,000","681,900,000","580,500,000","526,600,000","486,900,000","460,500,000","369,400,000","336,900,000","310,900,000","300,400,000","235,200,000","220,200,000","197,000,000","209,800,000","176,400,000","170,400,000","161,800,000","155,900,000","102,600,000","99,800,000","98,400,000","81,000,000","66,800,000","61,900,000","50,500,000","42,600,000","42,600,000"
	OperatingRevenue,"184,903,000,000","51,728,000,000","45,317,000,000","46,152,000,000","41,706,000,000","43,076,000,000","37,154,000,000","38,033,000,000","35,021,000,000","36,906,000,000","33,055,000,000","33,717,000,000","30,571,000,000","32,471,000,000","29,084,000,000","30,085,000,000","26,819,000,000","28,918,000,000","24,538,000,000","23,317,000,000","22,090,000,000","24,090,000,000","20,453,000,000","20,614,000,000","20,531,000,000","23,796,000,000","20,379,000,000","22,180,000,000","21,729,000,000","26,470,000,000","23,201,000,000","23,382,000,000","20,403,000,000","24,519,000,000","18,529,000,000","19,896,000,000","20,489,000,000","21,456,000,000","16,008,000,000","18,059,000,000","17,407,000,000","20,885,000,000","17,372,000,000","17,367,000,000","16,428,000,000","19,953,000,000","16,195,000,000","16,039,000,000","14,503,000,000","19,022,000,000","12,920,000,000","13,099,000,000","13,648,000,000","16,629,000,000","15,061,000,000","15,837,000,000","14,454,000,000","16,367,000,000","13,762,000,000","13,371,000,000","14,398,000,000","12,542,000,000","10,811,000,000","11,804,000,000","10,900,000,000","11,837,000,000","9,741,000,000","10,161,000,000","9,620,000,000","10,818,000,000","9,189,000,000","9,292,000,000","9,175,000,000","10,153,000,000","8,215,000,000","8,065,000,000","7,835,000,000","8,541,000,000","7,746,000,000","7,253,000,000","7,245,000,000","7,741,000,000","6,126,000,000","6,455,000,000","6,456,000,000","6,585,000,000","5,800,000,000","5,804,000,000","5,656,000,000","6,112,000,000","5,384,000,000","6,525,000,000","4,331,000,000","4,938,000,000","3,953,000,000","3,995,000,000","3,774,000,000","3,585,000,000","3,130,000,000","3,175,000,000","3,208,000,000","2,680,000,000","2,295,000,000","2,255,000,000","2,205,000,000","2,195,000,000","2,016,000,000","1,621,000,000","1,587,000,000","1,482,000,000","1,247,000,000","1,293,000,000","1,244,000,000","1,129,000,000","983,000,000","1,039,000,000","958,000,000","938,000,000","818,000,000","815,400,000","680,900,000","681,900,000","580,500,000","526,600,000","486,900,000","460,500,000","369,400,000","336,900,000","310,900,000","300,400,000","235,200,000","220,200,000","197,000,000","209,800,000","176,400,000","170,400,000","161,800,000","155,900,000","102,600,000","99,800,000","98,400,000","81,000,000","66,800,000","61,900,000","50,500,000","42,600,000","42,600,000"
CostOfRevenue,"57,642,000,000","16,960,000,000","13,646,000,000","13,991,000,000","13,045,000,000","14,194,000,000","11,002,000,000","12,339,000,000","10,975,000,000","12,358,000,000","10,406,000,000","10,412,000,000","10,170,000,000","12,423,000,000","9,905,000,000","9,742,000,000","9,269,000,000","11,064,000,000","8,278,000,000","8,456,000,000","8,060,000,000","9,901,000,000","7,844,000,000","7,979,000,000","7,722,000,000","9,872,000,000","7,207,000,000","7,468,000,000","7,161,000,000","10,136,000,000","8,273,000,000","7,595,000,000","5,941,000,000","8,284,000,000","5,114,000,000","5,602,000,000","4,787,000,000","5,692,000,000","4,168,000,000","4,163,000,000","3,952,000,000","5,638,000,000","3,777,000,000","3,708,000,000","3,897,000,000","4,833,000,000","3,139,000,000","3,170,000,000","2,755,000,000","3,628,000,000","2,842,000,000","2,586,000,000","2,814,000,000","3,907,000,000","2,848,000,000","2,866,000,000","2,514,000,000","3,543,000,000","2,675,000,000","3,237,000,000","2,140,000,000","3,620,000,000","1,696,000,000","2,130,000,000","2,028,000,000","2,239,000,000","1,253,000,000","1,410,000,000","1,399,000,000","1,922,000,000","1,469,000,000","1,481,000,000","1,411,000,000","2,344,000,000","1,480,000,000","1,238,000,000","1,215,000,000","2,034,000,000","1,199,000,000","1,368,000,000","1,395,000,000","1,544,000,000","884,000,000","1,717,000,000","469,000,000","660,000,000","609,000,000","1,074,000,000","477,000,000","431,000,000","272,000,000","1,228,000,000","192,000,000","256,000,000","128,000,000","66,000,000","38,000,000","44,000,000","25,000,000","99,000,000","189,000,000","152,000,000","88,000,000","97,000,000","106,000,000","252,000,000","253,000,000","168,000,000","165,000,000","156,000,000","119,000,000","135,000,000","135,000,000","138,000,000","118,000,000","141,000,000","123,700,000","121,000,000","97,000,000","97,400,000","82,600,000","90,300,000","83,800,000","69,300,000","76,400,000","78,100,000","63,000,000","56,200,000","54,100,000","54,800,000","41,300,000",,,,,,,,,,,,,,,,
GrossProfit,"127,261,000,000","34,768,000,000","31,671,000,000","32,161,000,000","28,661,000,000","28,882,000,000","26,152,000,000","25,694,000,000","24,046,000,000","24,548,000,000","22,649,000,000","23,305,000,000","20,401,000,000","20,048,000,000","19,179,000,000","20,343,000,000","17,550,000,000","17,854,000,000","16,260,000,000","14,861,000,000","14,030,000,000","14,189,000,000","12,609,000,000","12,635,000,000","12,809,000,000","13,924,000,000","13,172,000,000","14,712,000,000","14,568,000,000","16,334,000,000","14,928,000,000","15,787,000,000","14,462,000,000","16,235,000,000","13,415,000,000","14,294,000,000","15,702,000,000","15,764,000,000","11,840,000,000","13,896,000,000","13,455,000,000","15,247,000,000","13,595,000,000","13,659,000,000","12,531,000,000","15,120,000,000","13,056,000,000","12,869,000,000","11,748,000,000","15,394,000,000","10,078,000,000","10,513,000,000","10,834,000,000","12,722,000,000","12,213,000,000","12,971,000,000","11,940,000,000","12,824,000,000","11,087,000,000","10,134,000,000","12,258,000,000","8,922,000,000","9,115,000,000","9,674,000,000","8,872,000,000","9,598,000,000","8,488,000,000","8,751,000,000","8,221,000,000","8,896,000,000","7,720,000,000","7,811,000,000","7,764,000,000","7,809,000,000","6,735,000,000","6,827,000,000","6,620,000,000","6,507,000,000","6,547,000,000","5,885,000,000","5,850,000,000","6,197,000,000","5,242,000,000","4,738,000,000","5,987,000,000","5,925,000,000","5,191,000,000","4,730,000,000","5,179,000,000","5,681,000,000","5,112,000,000","5,297,000,000","4,139,000,000","4,682,000,000","3,825,000,000","3,929,000,000","3,736,000,000","3,541,000,000","3,105,000,000","3,076,000,000","3,019,000,000","2,528,000,000","2,207,000,000","2,158,000,000","2,099,000,000","1,943,000,000","1,763,000,000","1,453,000,000","1,422,000,000","1,326,000,000","1,128,000,000","1,158,000,000","1,109,000,000","991,000,000","865,000,000","898,000,000","834,300,000","817,000,000","721,000,000","718,000,000","598,300,000","591,600,000","496,700,000","457,300,000","410,500,000","382,400,000","306,400,000","280,700,000","256,800,000","245,600,000","193,900,000",,,,,,,,,,,,,,,,
OperatingExpense,"48,633,000,000","12,521,000,000","11,433,000,000","13,066,000,000","11,613,000,000","10,985,000,000","10,276,000,000","12,287,000,000","11,071,000,000","10,657,000,000","9,963,000,000","10,900,000,000","10,060,000,000","9,790,000,000","9,224,000,000","9,964,000,000","9,258,000,000","9,175,000,000","8,552,000,000","9,225,000,000","8,436,000,000","8,012,000,000","7,384,000,000","8,445,000,000","7,526,000,000","7,898,000,000","7,379,000,000","8,327,000,000","7,784,000,000","8,315,000,000","7,944,000,000","9,178,000,000","7,488,000,000","8,266,000,000","7,081,000,000","8,221,000,000","8,090,000,000","7,993,000,000","6,532,000,000","7,511,000,000","7,081,000,000","7,253,000,000","6,392,000,000","7,488,000,000","6,822,000,000","6,955,000,000","5,940,000,000","6,880,000,000","6,575,000,000","6,881,000,000","5,596,000,000","6,526,000,000","6,396,000,000","6,783,000,000","6,214,000,000","7,287,000,000","7,531,000,000","6,343,000,000","5,169,000,000","6,145,000,000","5,669,000,000","5,450,000,000","4,641,000,000","5,793,000,000","4,984,000,000","4,941,000,000","4,442,000,000","5,762,000,000","4,892,000,000","4,147,000,000","4,226,000,000","4,678,000,000","6,486,000,000","6,334,000,000","3,587,000,000","4,634,000,000","2,905,000,000","3,248,000,000","2,497,000,000","3,011,000,000","2,552,000,000","3,356,000,000","2,345,000,000","1,987,000,000","2,989,000,000","2,731,000,000","2,414,000,000","2,101,000,000","2,483,000,000","2,769,000,000","2,320,000,000","2,339,000,000","1,909,000,000","1,933,000,000","1,719,000,000","2,006,000,000","1,809,000,000","1,878,000,000","1,678,000,000","1,497,000,000","1,451,000,000","1,447,000,000","1,305,000,000","1,348,000,000","1,325,000,000","1,157,000,000","1,055,000,000","921,000,000","873,000,000","806,000,000","691,000,000","670,000,000","629,000,000","576,000,000","522,000,000","525,000,000","496,300,000","491,000,000","432,000,000","422,000,000","347,300,000","345,500,000","293,800,000","263,300,000","237,000,000","223,100,000","183,400,000","170,200,000","150,400,000","138,600,000","124,500,000",,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"26,385,000,000","6,763,000,000","5,834,000,000","7,379,000,000","6,409,000,000","6,086,000,000","5,350,000,000","7,073,000,000","6,184,000,000","6,054,000,000","5,398,000,000","6,387,000,000","5,744,000,000","5,720,000,000","5,247,000,000","6,031,000,000","5,543,000,000","5,671,000,000","4,978,000,000","5,711,000,000","5,081,000,000","4,950,000,000","4,278,000,000","5,299,000,000","4,546,000,000","4,998,000,000","4,417,000,000","5,233,000,000","4,800,000,000","5,412,000,000","4,879,000,000","6,055,000,000","4,745,000,000","5,518,000,000","4,314,000,000","5,438,000,000","5,450,000,000","5,465,000,000","4,072,000,000","4,917,000,000","4,564,000,000","4,882,000,000","4,063,000,000","5,095,000,000","4,553,000,000","4,770,000,000","3,744,000,000","4,530,000,000","4,355,000,000","4,802,000,000","3,531,000,000","4,591,000,000","3,894,000,000","4,493,000,000","3,931,000,000","4,880,000,000","5,496,000,000","4,458,000,000","3,332,000,000","4,197,000,000","3,919,000,000","3,813,000,000","2,855,000,000","3,932,000,000","3,367,000,000","3,350,000,000","2,927,000,000","4,071,000,000","3,384,000,000","2,710,000,000","2,678,000,000","3,019,000,000","4,948,000,000","3,363,000,000","1,976,000,000","3,298,000,000","1,794,000,000","2,130,000,000","1,403,000,000","1,827,000,000","1,486,000,000","2,312,000,000","1,332,000,000","1,595,000,000","1,437,000,000","1,502,000,000","1,208,000,000","1,353,000,000","1,218,000,000","1,533,000,000","1,046,000,000","762,000,000","1,140,000,000","1,089,000,000","929,000,000","1,047,000,000","933,000,000","982,000,000","883,000,000","838,000,000","851,000,000","818,000,000","711,000,000","751,000,000","772,000,000","766,000,000","684,000,000","591,000,000","584,000,000","541,000,000","446,000,000","424,000,000","400,000,000","529,000,000","481,000,000","486,000,000","459,000,000","455,000,000","394,000,000","382,700,000","319,800,000","320,700,000","273,100,000","235,100,000","217,900,000","207,600,000","170,400,000","156,400,000","138,400,000","127,600,000","115,000,000",,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"5,520,000,000","1,384,000,000","1,287,000,000","1,522,000,000","1,327,000,000","1,139,000,000","1,119,000,000","1,656,000,000","1,273,000,000","1,121,000,000","1,061,000,000","1,425,000,000","1,179,000,000","1,132,000,000","1,149,000,000","1,271,000,000","1,208,000,000","1,109,000,000","1,166,000,000","1,355,000,000","1,202,000,000","879,000,000","1,045,000,000","1,301,000,000","1,140,000,000","1,038,000,000","1,084,000,000","1,272,000,000","1,091,000,000","1,097,000,000","1,151,000,000","1,373,000,000","1,203,000,000","1,235,000,000","1,010,000,000","1,210,000,000","1,656,000,000","1,156,000,000","1,127,000,000","1,136,000,000","1,150,000,000","1,120,000,000","1,163,000,000","1,179,000,000","1,160,000,000","945,000,000","938,000,000","928,000,000","1,152,000,000","1,183,000,000","741,000,000","1,399,000,000","913,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","59,000,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"5,520,000,000","1,384,000,000","1,287,000,000","1,522,000,000","1,327,000,000","1,139,000,000","1,119,000,000","1,656,000,000","1,273,000,000","1,121,000,000","1,061,000,000","1,425,000,000","1,179,000,000","1,132,000,000","1,149,000,000","1,271,000,000","1,208,000,000","1,109,000,000","1,166,000,000","1,355,000,000","1,202,000,000","879,000,000","1,045,000,000","1,301,000,000","1,140,000,000","1,038,000,000","1,084,000,000","1,272,000,000","1,091,000,000","1,097,000,000","1,151,000,000","1,373,000,000","1,203,000,000","1,235,000,000","1,010,000,000","1,210,000,000","1,656,000,000","1,156,000,000","1,127,000,000","1,136,000,000","1,150,000,000","1,120,000,000","1,163,000,000","1,179,000,000","1,160,000,000","945,000,000","938,000,000","987,000,000","1,152,000,000","1,124,000,000","741,000,000","1,069,000,000","913,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"20,865,000,000","5,379,000,000","4,547,000,000","5,857,000,000","5,082,000,000","4,947,000,000","4,231,000,000","5,417,000,000","4,911,000,000","4,933,000,000","4,337,000,000","4,962,000,000","4,565,000,000","4,588,000,000","4,098,000,000","4,760,000,000","4,335,000,000","4,562,000,000","3,812,000,000","4,356,000,000","3,879,000,000","4,071,000,000","3,233,000,000","3,998,000,000","3,406,000,000","3,960,000,000","3,333,000,000","3,961,000,000","3,709,000,000","4,315,000,000","3,728,000,000","4,682,000,000","3,542,000,000","4,283,000,000","3,304,000,000","4,228,000,000","3,794,000,000","4,309,000,000","2,945,000,000","3,781,000,000","3,414,000,000","3,762,000,000","2,900,000,000","3,916,000,000","3,393,000,000","3,825,000,000","2,806,000,000","3,602,000,000","3,203,000,000","3,619,000,000","2,790,000,000","3,192,000,000","2,981,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
