name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"8,171,000,000","2,320,000,000","2,107,000,000","1,971,000,000","1,773,000,000","2,273,000,000","1,868,000,000","1,618,000,000","1,655,000,000","2,376,000,000","1,994,000,000","1,860,000,000","1,657,000,000","2,254,000,000","1,862,000,000","1,760,000,000","1,468,000,000","1,957,000,000","1,645,000,000","1,497,000,000","1,281,000,000","1,883,000,000","1,532,000,000","1,430,000,000","1,193,000,000","1,682,000,000","1,422,000,000","1,368,000,000","1,223,000,000","1,823,000,000","1,436,000,000","1,393,000,000","1,801,000,000","2,504,000,000","2,112,000,000","2,107,000,000","1,973,000,000","2,441,000,000","2,153,000,000","2,148,000,000","1,956,000,000","2,234,000,000","2,105,000,000","2,055,000,000","1,884,000,000","5,663,000,000","4,890,000,000","5,414,000,000","5,044,000,000","5,723,000,000","5,453,000,000","5,497,000,000","5,371,000,000","7,136,000,000","7,480,000,000","8,082,000,000","7,448,000,000","9,646,000,000","8,811,000,000","8,732,000,000","9,433,000,000","11,792,000,000","10,603,000,000","10,876,000,000","10,013,000,000","10,433,000,000","9,424,000,000","8,825,000,000","8,161,000,000","5,438,000,000","8,624,000,000","8,700,000,000","8,561,000,000","8,023,000,000","6,829,000,000","6,163,000,000","6,043,000,000","7,546,000,000","6,371,000,000","6,741,000,000","6,021,000,000","7,324,000,000","7,406,000,000","7,522,000,000","7,752,000,000","10,064,000,000","9,493,000,000","9,255,000,000","8,768,000,000","8,498,000,000","7,688,000,000","7,513,000,000","7,232,000,000","8,337,000,000","7,152,000,000","7,023,000,000","6,886,000,000","8,278,000,000","7,353,000,000","7,521,000,000","6,642,000,000","7,685,000,000","6,498,000,000","6,835,000,000","6,955,000,000","7,298,000,000","6,851,000,000","6,877,000,000","6,011,000,000","6,453,000,000","5,660,000,000","5,439,000,000","4,693,000,000","4,993,000,000","4,408,000,000","3,936,000,000","3,626,000,000","3,711,000,000","3,396,000,000","3,141,000,000","3,055,000,000","3,039,000,000","2,745,000,000","2,814,000,000","2,743,000,000","2,934,000,000","2,703,000,000","2,715,000,000","2,533,000,000","2,652,000,000","2,408,000,000","2,385,000,000","2,175,000,000","2,211,000,000","2,000,000,000","2,089,000,000","1,950,000,000","1,850,000,000","1,672,000,000","1,639,000,000","1,547,000,000","1,619,000,000","1,431,000,000","1,499,000,000","1,339,000,000","1,448,000,000","1,301,000,000"
	OperatingRevenue,"8,171,000,000","2,320,000,000","2,107,000,000","1,971,000,000","1,773,000,000","2,273,000,000","1,868,000,000","1,618,000,000","1,655,000,000","2,376,000,000","1,994,000,000","1,860,000,000","1,657,000,000","2,254,000,000","1,862,000,000","1,760,000,000","1,468,000,000","1,957,000,000","1,645,000,000","1,497,000,000","1,281,000,000","1,883,000,000","1,532,000,000","1,430,000,000","1,193,000,000","1,682,000,000","1,422,000,000","1,368,000,000","1,223,000,000","1,823,000,000","1,436,000,000","1,393,000,000","1,801,000,000","2,504,000,000","2,112,000,000","2,107,000,000","1,973,000,000","2,441,000,000","2,153,000,000","2,148,000,000","1,956,000,000","2,234,000,000","2,105,000,000","2,055,000,000","1,884,000,000","5,663,000,000","4,890,000,000","5,414,000,000","5,044,000,000","5,723,000,000","5,453,000,000","5,497,000,000","5,371,000,000","7,136,000,000","7,480,000,000","8,082,000,000","7,448,000,000","9,646,000,000","8,811,000,000","8,732,000,000","9,433,000,000","11,792,000,000","10,603,000,000","10,876,000,000","10,013,000,000","10,433,000,000","9,424,000,000","8,825,000,000","8,161,000,000","5,438,000,000","8,624,000,000","8,700,000,000","8,561,000,000","8,023,000,000","6,829,000,000","6,163,000,000","6,043,000,000","7,546,000,000","6,371,000,000","6,741,000,000","6,021,000,000","7,324,000,000","7,406,000,000","7,522,000,000","7,752,000,000","10,064,000,000","9,493,000,000","9,255,000,000","8,768,000,000","8,498,000,000","7,688,000,000","7,513,000,000","7,232,000,000","8,337,000,000","7,152,000,000","7,023,000,000","6,886,000,000","8,278,000,000","7,353,000,000","7,521,000,000","6,642,000,000","7,685,000,000","6,498,000,000","6,835,000,000","6,955,000,000","7,298,000,000","6,851,000,000","6,877,000,000","6,011,000,000","6,453,000,000","5,660,000,000","5,439,000,000","4,693,000,000","4,993,000,000","4,408,000,000","3,936,000,000","3,626,000,000","3,711,000,000","3,396,000,000","3,141,000,000","3,055,000,000","3,039,000,000","2,745,000,000","2,814,000,000","2,743,000,000","2,934,000,000","2,703,000,000","2,715,000,000","2,533,000,000","2,652,000,000","2,408,000,000","2,385,000,000","2,175,000,000","2,211,000,000","2,000,000,000","2,089,000,000","1,950,000,000","1,850,000,000","1,672,000,000","1,639,000,000","1,547,000,000","1,619,000,000","1,431,000,000","1,499,000,000","1,339,000,000","1,448,000,000","1,301,000,000"
CostOfRevenue,"4,131,000,000","1,137,000,000","1,062,000,000","1,019,000,000","913,000,000","1,127,000,000","959,000,000","852,000,000","868,000,000","1,156,000,000","987,000,000","929,000,000","884,000,000","1,166,000,000","961,000,000","938,000,000","799,000,000","987,000,000","851,000,000","807,000,000","711,000,000","955,000,000","770,000,000","754,000,000","691,000,000","844,000,000","737,000,000","720,000,000","675,000,000","911,000,000","751,000,000","737,000,000","956,000,000","1,291,000,000","1,069,000,000","1,078,000,000","1,018,000,000","1,213,000,000","1,066,000,000","1,088,000,000","983,000,000","1,089,000,000","1,045,000,000","1,016,000,000","942,000,000","3,630,000,000","3,110,000,000","3,412,000,000","3,258,000,000","3,680,000,000","3,645,000,000","3,787,000,000","3,875,000,000","5,014,000,000","5,677,000,000","5,757,000,000","5,303,000,000","7,106,000,000","6,306,000,000","6,279,000,000","6,979,000,000","8,724,000,000","7,229,000,000","7,517,000,000","6,993,000,000","7,231,000,000","6,396,000,000","5,948,000,000","5,491,000,000","4,101,000,000","5,501,000,000","5,531,000,000","5,693,000,000","5,372,000,000","4,507,000,000","4,155,000,000","4,067,000,000","5,046,000,000","4,126,000,000","4,518,000,000","4,248,000,000","5,035,000,000","5,256,000,000","5,434,000,000","5,478,000,000","6,790,000,000","6,130,000,000","5,513,000,000","5,195,000,000","5,603,000,000","4,917,000,000","4,388,000,000","4,250,000,000","5,895,000,000","5,153,000,000","5,015,000,000","4,812,000,000","5,604,000,000","4,986,000,000","5,019,000,000","4,384,000,000","5,190,000,000","4,489,000,000","4,585,000,000","4,718,000,000","4,885,000,000","4,388,000,000","4,394,000,000","3,878,000,000","3,934,000,000","3,539,000,000","3,379,000,000","2,908,000,000","3,024,000,000","2,712,000,000","2,380,000,000","2,235,000,000","2,338,000,000","2,185,000,000","2,009,000,000","1,947,000,000","1,914,000,000","1,798,000,000","1,777,000,000","1,756,000,000","1,839,000,000","1,723,000,000","1,691,000,000","1,629,000,000",,,,,,,,,,,,,,,,,,
GrossProfit,"4,040,000,000","1,183,000,000","1,045,000,000","952,000,000","860,000,000","1,146,000,000","909,000,000","766,000,000","787,000,000","1,220,000,000","1,007,000,000","931,000,000","773,000,000","1,088,000,000","901,000,000","822,000,000","669,000,000","970,000,000","794,000,000","690,000,000","570,000,000","928,000,000","762,000,000","676,000,000","502,000,000","838,000,000","685,000,000","648,000,000","548,000,000","912,000,000","685,000,000","656,000,000","845,000,000","1,213,000,000","1,043,000,000","1,029,000,000","955,000,000","1,228,000,000","1,087,000,000","1,060,000,000","973,000,000","1,145,000,000","1,060,000,000","1,039,000,000","942,000,000","2,033,000,000","1,780,000,000","2,002,000,000","1,786,000,000","2,043,000,000","1,808,000,000","1,710,000,000","1,496,000,000","2,122,000,000","1,803,000,000","2,325,000,000","2,145,000,000","2,540,000,000","2,505,000,000","2,453,000,000","2,454,000,000","3,068,000,000","3,374,000,000","3,359,000,000","3,020,000,000","3,202,000,000","3,028,000,000","2,877,000,000","2,670,000,000","1,337,000,000","3,123,000,000","3,169,000,000","2,868,000,000","2,651,000,000","2,322,000,000","2,008,000,000","1,976,000,000","2,500,000,000","2,245,000,000","2,223,000,000","1,773,000,000","2,289,000,000","2,150,000,000","2,088,000,000","2,274,000,000","3,274,000,000","3,363,000,000","3,742,000,000","3,573,000,000","2,895,000,000","2,771,000,000","3,125,000,000","2,982,000,000","2,442,000,000","1,999,000,000","2,008,000,000","2,074,000,000","2,674,000,000","2,367,000,000","2,502,000,000","2,258,000,000","2,495,000,000","2,009,000,000","2,250,000,000","2,237,000,000","2,413,000,000","2,463,000,000","2,483,000,000","2,133,000,000","2,519,000,000","2,121,000,000","2,060,000,000","1,785,000,000","1,969,000,000","1,696,000,000","1,556,000,000","1,391,000,000","1,373,000,000","1,211,000,000","1,132,000,000","1,108,000,000","1,125,000,000","947,000,000","1,037,000,000","987,000,000","1,095,000,000","980,000,000","1,024,000,000","904,000,000",,,,,,,,,,,,,,,,,,
OperatingExpense,"2,323,000,000","621,000,000","590,000,000","570,000,000","541,000,000","580,000,000","542,000,000","509,000,000","562,000,000","604,000,000","583,000,000","573,000,000","539,000,000","549,000,000","584,000,000","531,000,000","472,000,000","448,000,000","428,000,000","417,000,000","403,000,000","450,000,000","415,000,000","416,000,000","382,000,000","406,000,000","414,000,000","413,000,000","417,000,000","2,354,000,000","465,000,000","485,000,000","675,000,000","748,000,000","699,000,000","744,000,000","728,000,000","828,000,000","747,000,000","765,000,000","726,000,000","747,000,000","747,000,000","763,000,000","772,000,000","1,797,000,000","1,447,000,000","1,639,000,000","1,685,000,000","2,071,000,000","1,680,000,000","1,661,000,000","1,945,000,000","3,613,000,000","2,224,000,000","2,281,000,000","2,340,000,000","2,490,000,000","2,456,000,000","2,535,000,000","2,640,000,000","2,473,000,000","2,314,000,000","1,837,000,000","2,126,000,000","1,385,000,000","1,928,000,000","1,895,000,000","1,805,000,000","610,000,000","2,359,000,000","2,345,000,000","2,066,000,000","2,110,000,000","2,015,000,000","1,879,000,000","1,783,000,000","1,956,000,000","1,893,000,000","2,994,000,000","1,937,000,000","2,501,000,000","2,404,000,000","2,664,000,000","3,051,000,000","3,245,000,000","2,531,000,000","3,268,000,000","2,886,000,000","2,597,000,000","2,604,000,000","2,779,000,000","2,696,000,000","2,152,000,000","1,898,000,000","1,872,000,000","1,779,000,000","2,147,000,000","1,927,000,000","2,053,000,000","1,727,000,000","2,084,000,000","1,650,000,000","1,702,000,000","1,595,000,000","1,726,000,000","1,627,000,000","1,687,000,000","1,521,000,000","1,689,000,000","1,485,000,000","1,436,000,000","1,296,000,000","1,429,000,000","1,272,000,000","1,190,000,000","1,055,000,000","1,075,000,000","994,000,000","898,000,000","900,000,000","919,000,000","802,000,000","840,000,000","793,000,000","935,000,000","803,000,000","768,000,000","698,000,000",,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"1,353,000,000","368,000,000","351,000,000","331,000,000","303,000,000","342,000,000","313,000,000","297,000,000","341,000,000","368,000,000","359,000,000","351,000,000","327,000,000","336,000,000","323,000,000","316,000,000","279,000,000","254,000,000","248,000,000","242,000,000","232,000,000","278,000,000","247,000,000","240,000,000","234,000,000","252,000,000","259,000,000","254,000,000","256,000,000","282,000,000","287,000,000","308,000,000","427,000,000","469,000,000","438,000,000","470,000,000","460,000,000","509,000,000","485,000,000","496,000,000","472,000,000","487,000,000","475,000,000","492,000,000","468,000,000","944,000,000","810,000,000","896,000,000","876,000,000","847,000,000","843,000,000","822,000,000","869,000,000","988,000,000","1,044,000,000","1,115,000,000","1,183,000,000","1,273,000,000","1,210,000,000","1,296,000,000","1,313,000,000","1,034,000,000","1,174,000,000","1,195,000,000","1,116,000,000","750,000,000","1,071,000,000","1,026,000,000","1,001,000,000","469,000,000","1,275,000,000","1,321,000,000","1,144,000,000","1,161,000,000","1,078,000,000","937,000,000","897,000,000","1,003,000,000","1,017,000,000","2,050,000,000","1,042,000,000","870,000,000","834,000,000","989,000,000","1,252,000,000","1,467,000,000","768,000,000","1,598,000,000","1,308,000,000","1,046,000,000","1,196,000,000","1,403,000,000","1,400,000,000","1,546,000,000","1,359,000,000","1,351,000,000","1,237,000,000","1,540,000,000","1,332,000,000","1,481,000,000","1,162,000,000","1,476,000,000","1,041,000,000","1,126,000,000","1,072,000,000","1,212,000,000","1,131,000,000","1,209,000,000","1,090,000,000","1,215,000,000","1,106,000,000","1,074,000,000","986,000,000","1,100,000,000","974,000,000","905,000,000","797,000,000","777,000,000","730,000,000","651,000,000","680,000,000","641,000,000","576,000,000","625,000,000","626,000,000","694,000,000","605,000,000","579,000,000","536,000,000",,,,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"1,353,000,000",,,,,"342,000,000","313,000,000","297,000,000","341,000,000","368,000,000","359,000,000","351,000,000","327,000,000","336,000,000","323,000,000","316,000,000","279,000,000","254,000,000","248,000,000","242,000,000","232,000,000","278,000,000","247,000,000","240,000,000","234,000,000","252,000,000","259,000,000","254,000,000","256,000,000","282,000,000","287,000,000","308,000,000","427,000,000","469,000,000","438,000,000","470,000,000","460,000,000","510,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,,"20,000,000","28,000,000","17,000,000","17,000,000","16,000,000","17,000,000","18,000,000","20,000,000","20,000,000",,,,,,,,,"0","0",,,"1,906,000,000","11,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"1,353,000,000",,,,,"342,000,000","313,000,000","297,000,000","341,000,000","368,000,000","359,000,000","351,000,000","327,000,000","336,000,000","323,000,000","316,000,000","279,000,000","254,000,000","248,000,000","242,000,000","232,000,000","278,000,000","247,000,000","240,000,000","234,000,000","252,000,000","259,000,000","254,000,000","256,000,000","282,000,000","287,000,000","308,000,000","427,000,000","469,000,000","438,000,000","470,000,000","460,000,000","510,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"734,000,000","189,000,000","183,000,000","181,000,000","180,000,000","181,000,000","175,000,000","161,000,000","168,000,000","182,000,000","172,000,000","170,000,000","162,000,000","165,000,000","158,000,000","162,000,000","152,000,000","155,000,000","141,000,000","138,000,000","135,000,000","142,000,000","137,000,000","138,000,000","135,000,000","152,000,000","153,000,000","156,000,000","159,000,000","165,000,000","166,000,000","176,000,000","243,000,000","273,000,000","253,000,000","268,000,000","262,000,000","290,000,000","262,000,000","269,000,000","254,000,000","260,000,000","272,000,000","271,000,000","249,000,000","641,000,000","637,000,000","762,000,000","757,000,000","793,000,000","768,000,000","775,000,000","847,000,000","1,008,000,000","999,000,000","1,048,000,000","1,054,000,000","1,097,000,000","1,100,000,000","1,115,000,000","1,117,000,000","1,117,000,000","1,027,000,000","1,016,000,000","980,000,000","1,161,000,000","857,000,000","851,000,000","811,000,000","104,000,000","999,000,000","990,000,000","967,000,000","932,000,000","941,000,000","951,000,000","947,000,000","957,000,000","961,000,000","944,000,000","892,000,000","1,023,000,000","1,037,000,000","1,086,000,000","1,172,000,000","1,144,000,000","1,171,000,000","1,107,000,000","1,015,000,000","1,001,000,000","882,000,000","811,000,000","744,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
