name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009
TotalRevenue,"647,986,000","487,437,000","153,081,000","4,368,000","3,100,000","9,579,000","6,518,000","16,929,000","1,246,882,000","1,480,618,000","1,913,851,000","1,664,277,000","1,403,630,000","1,381,193,000","1,858,356,000","1,522,174,000","1,293,403,000","1,249,553,000","1,651,738,000","1,344,103,000","1,150,781,000","1,125,137,000","1,484,736,000","1,186,835,000","1,077,632,000","1,036,523,000","1,284,910,000","1,085,433,000","938,182,000","788,909,000","907,017,000","765,927,000","664,028,000","600,345,000","797,885,000","644,433,000","527,631,000","503,171,000","674,411,000","583,234,000","515,430,000","488,594,000","666,634,000","568,586,000","495,510,000","483,606,000","634,105,000","477,915,000","416,502,000","401,656,000","550,676,000","478,417,000","424,455,000"
	OperatingRevenue,"647,986,000","487,437,000","153,081,000","4,368,000","3,100,000","9,579,000","6,518,000","16,929,000","1,246,882,000","1,480,618,000","1,913,851,000","1,664,277,000","1,403,630,000","1,381,193,000","1,858,356,000","1,522,174,000","1,293,403,000","1,249,553,000","1,651,738,000","1,344,103,000","1,150,781,000","1,125,137,000","1,484,736,000","1,186,835,000","1,077,632,000","1,036,523,000","1,284,910,000","1,085,433,000","938,182,000","788,909,000","907,017,000","765,927,000","664,028,000","600,345,000","797,885,000","644,433,000","527,631,000","503,171,000","674,411,000","583,234,000","515,430,000","488,594,000","666,634,000","568,586,000","495,510,000","483,606,000","634,105,000","477,915,000","416,502,000","401,656,000","550,676,000","478,417,000","424,455,000"
CostOfRevenue,"1,608,037,000","717,699,000","439,756,000","249,727,000","200,855,000","206,992,000","190,157,000","301,652,000","994,260,000","887,422,000","990,764,000","958,424,000","826,651,000","817,258,000","928,944,000","862,783,000","768,091,000","753,439,000","838,165,000","752,242,000","719,798,000","695,110,000","784,734,000","705,900,000","664,481,000","657,748,000","717,722,000","656,279,000","623,700,000","518,620,000","511,298,000","470,796,000","445,910,000","417,789,000","456,102,000","421,079,000","362,689,000","344,594,000","394,071,000","387,741,000","352,027,000","343,530,000","397,200,000","382,907,000","344,239,000","356,506,000","375,234,000","321,394,000","294,164,000","301,765,000","344,831,000","332,608,000","310,250,000"
GrossProfit,"-960,051,000","-230,262,000","-286,675,000","-245,359,000","-197,755,000","-197,413,000","-183,639,000","-284,723,000","252,622,000","593,196,000","923,087,000","705,853,000","576,979,000","563,935,000","929,412,000","659,391,000","525,312,000","496,114,000","813,573,000","591,861,000","430,983,000","430,027,000","700,002,000","480,935,000","413,151,000","378,775,000","567,188,000","429,154,000","314,482,000","270,289,000","395,719,000","295,131,000","218,118,000","182,556,000","341,783,000","223,354,000","164,942,000","158,577,000","280,340,000","195,493,000","163,403,000","145,064,000","269,434,000","185,679,000","151,271,000","127,100,000","258,871,000","156,521,000","122,338,000","99,891,000","205,845,000","145,809,000","114,205,000"
OperatingExpense,"1,592,297,000","456,610,000","402,431,000","359,745,000","373,511,000","349,467,000","334,144,000","310,688,000","468,886,000","393,820,000","411,363,000","397,172,000","418,683,000","354,355,000","379,136,000","367,239,000","358,259,000","318,920,000","336,753,000","316,790,000","311,249,000","276,477,000","286,388,000","253,917,000","281,869,000","260,853,000","260,356,000","211,771,000","254,133,000","223,847,000","160,897,000","146,543,000","145,029,000","121,126,000","133,703,000","127,965,000","133,954,000","109,072,000","106,202,000","108,487,000","116,959,000","102,675,000","106,725,000","109,477,000","116,459,000","110,555,000","121,296,000","100,682,000","102,056,000","100,886,000","92,414,000","99,789,000","101,287,000"
	SellingGeneralAndAdministration,"891,452,000","273,632,000","229,142,000","185,483,000","203,195,000","186,564,000","156,656,000","131,436,000","270,689,000","229,859,000","255,148,000","240,901,000","248,942,000","208,943,000","235,436,000","226,535,000","227,015,000","185,841,000","202,221,000","193,649,000","192,044,000","161,462,000","174,813,000","149,307,000","180,574,000","143,120,000","150,558,000","107,164,000","154,157,000","139,585,000","97,111,000","83,084,000","83,389,000","64,232,000","77,606,000","74,111,000","85,206,000","60,435,000","57,779,000","61,807,000","71,162,000","57,974,000","60,208,000","62,967,000","70,202,000","63,658,000","74,755,000","61,786,000","64,199,000","62,517,000","54,202,000","61,654,000","63,303,000"
		SellingAndMarketingExpense,,,,,,,,,,"229,859,000","255,148,000","240,901,000","248,942,000","208,943,000","235,436,000","226,535,000","227,015,000","185,841,000","202,221,000","193,649,000","192,044,000","161,462,000","174,813,000","149,307,000","180,574,000","143,120,000","150,558,000","107,164,000","154,157,000","139,585,000","97,111,000","83,084,000","83,389,000","64,232,000","77,606,000","74,111,000","85,206,000","60,435,000","57,779,000",,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"700,845,000","182,978,000","173,289,000","174,262,000","170,316,000","162,903,000","177,488,000","179,252,000","198,197,000","163,961,000","156,215,000","156,271,000","169,741,000","145,412,000","143,700,000","140,704,000","131,244,000","133,079,000","134,532,000","123,141,000","119,205,000","115,015,000","111,575,000","104,610,000","101,295,000","117,733,000","109,798,000","104,607,000","99,976,000","84,262,000","63,786,000","63,459,000","61,640,000","56,894,000","56,097,000","53,854,000","48,748,000","48,637,000","48,423,000","46,680,000","45,797,000","44,701,000","46,517,000","46,510,000","46,257,000","46,897,000","46,541,000","38,896,000","37,857,000","38,369,000","38,212,000","38,135,000","37,984,000"
		DepreciationAndAmortizationInIncomeStatement,"700,845,000","182,978,000","173,289,000","174,262,000","170,316,000","162,903,000","177,488,000","179,252,000","198,197,000","163,961,000","156,215,000","156,271,000","169,741,000","145,412,000","143,700,000","140,704,000","131,244,000","133,079,000","134,532,000","123,141,000","119,205,000","115,015,000","111,575,000","104,610,000","101,295,000","117,733,000","109,798,000","104,607,000","99,976,000","84,262,000","63,786,000","63,459,000","61,640,000","56,894,000","56,097,000","53,854,000","48,748,000","48,637,000","48,423,000","46,680,000","45,797,000","44,701,000","46,517,000","46,510,000","46,257,000","46,897,000","46,541,000","38,896,000","37,857,000","38,369,000","38,212,000","38,135,000","37,984,000"
OperatingIncome,"-2,552,348,000","-686,872,000","-689,106,000","-605,104,000","-571,266,000","-546,880,000","-517,783,000","-595,411,000","-216,264,000","199,376,000","511,724,000","308,681,000","158,296,000","209,580,000","550,276,000","292,152,000","167,053,000","177,194,000","476,820,000","275,071,000","119,734,000","153,550,000","413,614,000","227,018,000","131,282,000","117,922,000","306,832,000","217,383,000","60,349,000","46,442,000","234,822,000","148,588,000","73,089,000","61,430,000","208,080,000","95,389,000","30,988,000","49,505,000","174,138,000","87,006,000","46,444,000","42,389,000","162,709,000","76,202,000","34,812,000","16,545,000","137,575,000","55,839,000","20,282,000","-995,000","113,431,000","46,020,000","12,918,000"
