name,ttm,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992,04/30/1992,01/31/1992,10/31/1991,07/31/1991,04/30/1991,01/31/1991,10/31/1990,07/31/1990,04/30/1990,01/31/1990,10/31/1989,07/31/1989,04/30/1989,01/31/1989,10/31/1988,07/31/1988,04/30/1988,01/31/1988,10/31/1987,07/31/1987,04/30/1987,01/31/1987,10/31/1986,07/31/1986,04/30/1986,01/31/1986,10/31/1985
TotalRevenue,"2,444,809,000","609,166,000","599,247,000","646,858,000","589,538,000","526,566,000","558,525,000","538,181,000","529,478,000","494,916,000","585,451,000","559,746,000","551,119,000","497,910,000","569,295,000","581,243,000","553,706,000","550,424,000","573,938,000","589,438,000","496,137,000","407,470,000","509,283,000","489,899,000","437,592,000","372,220,000","446,200,000","462,731,000","400,727,000","379,008,000","468,590,000","458,550,000","417,461,000","359,420,000","410,818,000","402,960,000","382,100,000","347,043,000","438,677,000","379,872,000","315,193,000","275,836,000","331,018,000","312,255,000","318,924,000","270,962,000","290,182,000","279,121,000","251,659,000","220,589,000","237,444,000","206,273,000","188,840,000","186,608,000","297,662,000","288,362,000","294,116,000","244,689,000","290,768,000","257,713,000","241,293,000","203,875,000","236,974,000","225,965,000","231,830,000","197,452,000","239,803,000","201,570,000","207,623,000","190,166,000","228,353,000","197,949,000","196,602,000","170,640,000","189,073,000","166,272,000","166,679,000","145,323,000","179,036,000","160,237,000","163,526,000","144,957,000","187,925,000","175,333,000","192,825,000","175,333,000","216,929,000","184,104,000","186,647,000","152,900,000","194,300,000","174,400,000","174,800,000","157,100,000","186,700,000","167,200,000","167,800,000","139,200,000","184,400,000","158,900,000","156,100,000","137,300,000","179,500,000","146,700,000","151,300,000","131,900,000","159,700,000","155,200,000","143,100,000","123,500,000","147,100,000","133,400,000","121,500,000","104,700,000","128,700,000","123,300,000","109,300,000","100,300,000","120,500,000","105,600,000","106,200,000","93,400,000","106,100,000","99,200,000","93,700,000","89,000,000","96,100,000","82,700,000","88,600,000","77,500,000","72,900,000","70,800,000","73,500,000","65,000,000","63,800,000","64,400,000","62,900,000","53,900,000","53,800,000","51,500,000","55,000,000","44,900,000","48,700,000","42,000,000","41,800,000","36,300,000","37,300,000"
	OperatingRevenue,"2,444,809,000","609,166,000","599,247,000","646,858,000","589,538,000","526,566,000","558,525,000","538,181,000","529,478,000","494,916,000","585,451,000","559,746,000","551,119,000","497,910,000","569,295,000","581,243,000","553,706,000","550,424,000","573,938,000","589,438,000","496,137,000","407,470,000","509,283,000","489,899,000","437,592,000","372,220,000","446,200,000","462,731,000","400,727,000","379,008,000","468,590,000","458,550,000","417,461,000","359,420,000","410,818,000","402,960,000","382,100,000","347,043,000","438,677,000","379,872,000","315,193,000","275,836,000","331,018,000","312,255,000","318,924,000","270,962,000","290,182,000","279,121,000","251,659,000","220,589,000","237,444,000","206,273,000","188,840,000","186,608,000","297,662,000","288,362,000","294,116,000","244,689,000","290,768,000","257,713,000","241,293,000","203,875,000","236,974,000","225,965,000","231,830,000","197,452,000","239,803,000","201,570,000","207,623,000","190,166,000","228,353,000","197,949,000","196,602,000","170,640,000","189,073,000","166,272,000","166,679,000","145,323,000","179,036,000","160,237,000","163,526,000","144,957,000","187,925,000","175,333,000","192,825,000","175,333,000","216,929,000","184,104,000","186,647,000","152,900,000","194,300,000","174,400,000","174,800,000","157,100,000","186,700,000","167,200,000","167,800,000","139,200,000","184,400,000","158,900,000","156,100,000","137,300,000","179,500,000","146,700,000","151,300,000","131,900,000","159,700,000","155,200,000","143,100,000","123,500,000","147,100,000","133,400,000","121,500,000","104,700,000","128,700,000","123,300,000","109,300,000","100,300,000","120,500,000","105,600,000","106,200,000","93,400,000","106,100,000","99,200,000","93,700,000","89,000,000","96,100,000","82,700,000","88,600,000","77,500,000","72,900,000","70,800,000","73,500,000","65,000,000","63,800,000","64,400,000","62,900,000","53,900,000","53,800,000","51,500,000","55,000,000","44,900,000","48,700,000","42,000,000","41,800,000","36,300,000","37,300,000"
CostOfRevenue,"1,070,555,000","269,032,000","268,097,000","281,587,000","251,839,000","236,606,000","261,657,000","257,373,000","239,880,000","231,722,000","266,476,000","257,123,000","249,590,000","228,934,000","261,557,000","260,847,000","246,878,000","249,421,000","261,851,000","263,173,000","220,625,000","182,332,000","234,316,000","216,679,000","189,187,000","175,313,000","211,339,000","214,239,000","178,837,000","170,287,000","211,337,000","201,039,000","181,909,000","164,638,000","183,924,000","177,877,000","165,162,000","149,814,000","197,604,000","156,658,000","125,537,000","106,490,000","134,559,000","124,205,000","121,172,000","104,791,000","119,911,000","113,320,000","97,792,000","88,914,000","100,375,000","84,536,000","85,957,000","79,371,000","135,398,000","125,923,000","128,243,000","104,830,000","131,166,000","113,005,000","109,419,000","86,214,000","95,603,000","98,338,000","102,205,000","83,654,000","107,857,000","87,748,000","92,068,000","83,625,000","106,735,000","85,835,000","83,976,000","77,767,000","87,169,000","74,749,000","73,582,000","66,066,000","95,232,000","74,463,000","75,644,000","65,203,000","90,449,000","83,661,000","85,706,000","77,313,000","91,724,000","74,068,000","77,284,000","59,200,000","59,600,000","78,700,000","77,900,000","72,600,000","62,900,000","73,200,000","81,900,000","60,600,000","57,200,000","70,100,000","68,300,000","55,500,000","54,900,000","61,300,000","61,200,000","54,200,000","47,200,000","66,300,000","59,400,000","52,100,000","45,600,000","56,700,000","50,800,000","41,400,000","36,900,000","52,700,000","44,600,000","40,300,000","32,700,000","41,500,000","41,100,000","36,500,000","27,200,000","40,100,000","39,600,000","37,200,000","31,000,000","37,200,000","40,800,000","33,500,000","22,900,000","30,400,000",,,,,,,,,,,,,,,
GrossProfit,"1,374,254,000","340,134,000","331,150,000","365,271,000","337,699,000","289,960,000","296,868,000","280,808,000","289,598,000","263,194,000","318,975,000","302,623,000","301,529,000","268,976,000","307,738,000","320,396,000","306,828,000","301,003,000","312,087,000","326,265,000","275,512,000","225,138,000","274,967,000","273,220,000","248,405,000","196,907,000","234,861,000","248,492,000","221,890,000","208,721,000","257,253,000","257,511,000","235,552,000","194,782,000","226,894,000","225,083,000","216,938,000","197,229,000","241,073,000","223,214,000","189,656,000","169,346,000","196,459,000","188,050,000","197,752,000","166,171,000","170,271,000","165,801,000","153,867,000","131,675,000","137,069,000","121,737,000","102,883,000","107,237,000","162,264,000","162,439,000","165,873,000","139,859,000","159,602,000","144,708,000","131,874,000","117,661,000","141,371,000","127,627,000","129,625,000","113,798,000","131,946,000","113,822,000","115,555,000","106,541,000","121,618,000","112,114,000","112,626,000","92,873,000","101,904,000","91,523,000","93,097,000","79,257,000","83,804,000","85,774,000","87,882,000","79,754,000","97,476,000","91,672,000","107,119,000","98,020,000","125,205,000","110,036,000","109,363,000","93,700,000","134,700,000","95,700,000","96,900,000","84,500,000","123,800,000","94,000,000","85,900,000","78,600,000","127,200,000","88,800,000","87,800,000","81,800,000","124,600,000","85,400,000","90,100,000","77,700,000","112,500,000","88,900,000","83,700,000","71,400,000","101,500,000","76,700,000","70,700,000","63,300,000","91,800,000","70,600,000","64,700,000","60,000,000","87,800,000","64,100,000","65,100,000","56,900,000","78,900,000","59,100,000","54,100,000","51,800,000","65,100,000","45,500,000","47,800,000","44,000,000","50,000,000","40,400,000",,,,,,,,,,,,,,,
OperatingExpense,"712,292,000","184,274,000","179,715,000","176,995,000","171,308,000","180,935,000","172,129,000","168,753,000","164,569,000","188,101,000","179,315,000","172,347,000","172,633,000","184,695,000","193,185,000","184,820,000","180,123,000","183,280,000","184,861,000","172,799,000","171,981,000","149,220,000","153,329,000","149,534,000","146,501,000","144,929,000","147,802,000","145,642,000","145,476,000","145,903,000","151,296,000","143,056,000","142,718,000","140,923,000","139,928,000","131,544,000","134,618,000","135,079,000","137,619,000","124,555,000","111,063,000","112,048,000","114,124,000","109,394,000","105,324,000","100,647,000","96,413,000","97,759,000","95,706,000","94,874,000","88,364,000","83,582,000","79,250,000","94,162,000","108,524,000","110,902,000","111,682,000","103,368,000","110,941,000","103,516,000","97,442,000","89,395,000","89,385,000","93,609,000","92,642,000","85,601,000","90,235,000","85,794,000","87,377,000","82,791,000","86,140,000","83,261,000","84,499,000","74,733,000","77,258,000","73,727,000","76,053,000","68,141,000","76,101,000","69,051,000","70,180,000","66,364,000","76,077,000","81,036,000","84,750,000","79,658,000","88,085,000","83,846,000","83,859,000","82,100,000","109,100,000","74,500,000","76,000,000","72,200,000","96,100,000","71,400,000","73,900,000","69,700,000","101,700,000","70,200,000","73,400,000","66,200,000","95,500,000","66,700,000","68,500,000","62,900,000","86,900,000","65,400,000","62,800,000","57,400,000","78,100,000","55,400,000","53,300,000","51,000,000","70,200,000","51,400,000","49,800,000","48,300,000","68,200,000","46,700,000","47,400,000","44,300,000","60,300,000","43,600,000","41,000,000","40,700,000","50,500,000","34,200,000","35,000,000","33,100,000","38,400,000","27,400,000",,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"712,292,000","184,274,000","179,715,000","176,995,000","171,308,000","180,935,000","172,129,000","168,753,000","164,569,000","188,101,000","179,315,000","172,347,000","172,633,000","184,695,000","193,185,000","184,820,000","180,123,000","183,280,000","184,861,000","172,799,000","171,981,000","149,220,000","153,329,000","149,534,000","146,501,000","144,929,000","147,802,000","145,642,000","145,476,000","145,903,000","151,296,000","143,056,000","142,718,000","140,923,000","139,928,000","131,544,000","134,618,000","135,079,000","137,619,000","124,555,000","111,063,000","112,048,000","114,124,000","109,394,000","105,324,000","100,647,000","96,413,000","97,759,000","95,706,000","94,874,000","88,364,000","83,582,000","79,250,000","86,098,000","108,524,000","110,902,000","111,682,000","103,368,000","110,941,000","103,516,000","97,442,000","89,395,000","92,116,000","93,053,000","92,642,000","85,601,000","89,360,000","85,794,000","87,377,000","82,791,000","86,140,000","83,261,000","84,499,000","74,733,000","77,258,000","73,727,000","76,053,000","68,141,000","76,101,000","69,051,000","70,180,000","66,364,000","72,065,000","77,022,000","80,724,000","75,532,000","80,885,000","75,615,000","76,490,000","74,600,000","79,700,000","74,500,000","76,000,000","72,200,000","71,100,000","71,400,000","73,900,000","69,700,000","76,400,000","70,200,000","73,400,000","66,200,000","72,000,000","66,700,000","68,500,000","62,900,000","66,300,000","65,400,000","62,800,000","57,400,000","59,700,000","55,400,000","53,300,000","51,000,000","53,100,000","51,400,000","49,800,000","48,300,000","51,500,000","46,700,000","47,400,000","44,300,000","45,600,000","43,600,000","41,000,000","40,700,000","38,200,000","34,200,000","35,000,000","33,100,000","30,000,000","27,400,000",,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,012,000","4,014,000","4,026,000","4,000,000","7,200,000","8,231,000","7,369,000","7,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,012,000","4,014,000","4,026,000","4,000,000","7,200,000","8,231,000","7,369,000","7,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,012,000","4,014,000","4,026,000","4,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,012,000","4,014,000","4,026,000","4,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
