name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"17,069,000,000","5,046,000,000","4,370,000,000","3,927,000,000","3,726,000,000","4,395,000,000","4,785,000,000","4,204,000,000","4,613,000,000","4,588,000,000","5,572,000,000","4,970,000,000","4,075,000,000","4,376,000,000","4,418,000,000","4,069,000,000","3,863,000,000","4,010,000,000","4,808,000,000","4,404,000,000","3,972,000,000","3,698,000,000","4,805,000,000","3,817,000,000","3,835,000,000","4,069,000,000","4,954,000,000","4,358,000,000","4,104,000,000","4,664,000,000","4,654,000,000","4,029,000,000","3,674,000,000","3,630,000,000","4,394,000,000","3,833,000,000","3,279,000,000","3,375,000,000","3,843,000,000","3,667,000,000","3,371,000,000","3,865,000,000","4,382,000,000","3,961,000,000","3,134,000,000","3,413,000,000","4,691,000,000","3,591,000,000","3,622,000,000","3,655,000,000","4,473,000,000","3,811,000,000","3,705,000,000","4,003,000,000","5,387,000,000","3,585,000,000","3,434,000,000","3,684,000,000","4,575,000,000","3,929,000,000","3,075,000,000","3,623,000,000","4,694,000,000","3,809,000,000","3,584,000,000","3,164,000,000","3,504,000,000","2,741,000,000","2,437,000,000","2,589,000,000","2,983,000,000","2,619,000,000","2,331,000,000","2,025,000,000","2,974,000,000","2,459,000,000","2,173,000,000","2,060,000,000","2,353,000,000","2,248,000,000","1,843,000,000","1,839,000,000","2,529,000,000","2,166,000,000","1,941,000,000","1,857,000,000","2,087,000,000","1,670,000,000","1,468,000,000","1,520,000,000","1,892,000,000","1,614,000,000","1,412,000,000","1,631,000,000","1,999,000,000","1,692,000,000","1,338,000,000","1,477,700,000","1,859,000,000","1,587,000,000","1,445,200,000","1,435,400,000","1,769,600,000","1,474,100,000","1,357,700,000","1,361,400,000","1,587,000,000","1,466,700,000","1,177,400,000","1,287,800,000","1,512,900,000","1,443,100,000","1,178,900,000","1,231,600,000","1,602,700,000","1,349,900,000","1,132,400,000","1,271,200,000","1,569,100,000","1,262,000,000","1,093,400,000","1,181,200,000","1,518,300,000","1,386,700,000","1,163,100,000","1,581,700,000","1,774,500,000","1,575,300,000","1,357,500,000","1,471,400,000","1,812,500,000","1,530,100,000","1,365,800,000","2,222,500,000","1,384,800,000","1,174,100,000","1,072,100,000","1,100,100,000","1,308,400,000","1,062,300,000","968,300,000","979,100,000","1,170,300,000","999,100,000","943,000,000","1,032,300,000","1,263,000,000"
	OperatingRevenue,"17,069,000,000","5,046,000,000","4,370,000,000","3,927,000,000","3,726,000,000","4,395,000,000","4,785,000,000","4,204,000,000","4,613,000,000","4,588,000,000","5,572,000,000","4,970,000,000","4,075,000,000","4,376,000,000","4,418,000,000","4,069,000,000","3,863,000,000","4,010,000,000","4,808,000,000","4,404,000,000","3,972,000,000","3,698,000,000","4,805,000,000","3,817,000,000","3,835,000,000","4,069,000,000","4,954,000,000","4,358,000,000","4,104,000,000","4,664,000,000","4,654,000,000","4,029,000,000","3,674,000,000","3,630,000,000","4,394,000,000","3,833,000,000","3,279,000,000","3,375,000,000","3,843,000,000","3,667,000,000","3,371,000,000","3,865,000,000","4,382,000,000","3,961,000,000","3,134,000,000","3,413,000,000","4,691,000,000","3,591,000,000","3,622,000,000","3,655,000,000","4,473,000,000","3,811,000,000","3,705,000,000","4,003,000,000","5,387,000,000","3,585,000,000","3,434,000,000","3,684,000,000","4,575,000,000","3,929,000,000","3,075,000,000","3,623,000,000","4,694,000,000","3,809,000,000","3,584,000,000","3,164,000,000","3,504,000,000","2,741,000,000","2,437,000,000","2,589,000,000","2,983,000,000","2,619,000,000","2,331,000,000","2,025,000,000","2,974,000,000","2,459,000,000","2,173,000,000","2,060,000,000","2,353,000,000","2,248,000,000","1,843,000,000","1,839,000,000","2,529,000,000","2,166,000,000","1,941,000,000","1,857,000,000","2,087,000,000","1,670,000,000","1,468,000,000","1,520,000,000","1,892,000,000","1,614,000,000","1,412,000,000","1,631,000,000","1,999,000,000","1,692,000,000","1,338,000,000","1,477,700,000","1,859,000,000","1,587,000,000","1,445,200,000","1,435,400,000","1,769,600,000","1,474,100,000","1,357,700,000","1,361,400,000","1,587,000,000","1,466,700,000","1,177,400,000","1,287,800,000","1,512,900,000","1,443,100,000","1,178,900,000","1,231,600,000","1,602,700,000","1,349,900,000","1,132,400,000","1,271,200,000","1,569,100,000","1,262,000,000","1,093,400,000","1,181,200,000","1,518,300,000","1,386,700,000","1,163,100,000","1,581,700,000","1,774,500,000","1,575,300,000","1,357,500,000","1,471,400,000","1,812,500,000","1,530,100,000","1,365,800,000","2,222,500,000","1,384,800,000","1,174,100,000","1,072,100,000","1,100,100,000","1,308,400,000","1,062,300,000","968,300,000","979,100,000","1,170,300,000","999,100,000","943,000,000","1,032,300,000","1,263,000,000"
CostOfRevenue,"8,480,000,000","2,323,000,000","2,293,000,000","1,969,000,000","1,895,000,000","1,971,000,000","2,033,000,000","1,635,000,000","1,651,000,000","2,119,000,000","2,129,000,000","1,974,000,000","1,782,000,000","1,806,000,000","1,917,000,000","1,743,000,000","1,596,000,000","1,905,000,000","1,945,000,000","1,854,000,000","1,694,000,000","1,852,000,000","2,050,000,000","1,803,000,000","1,727,000,000","2,092,000,000","2,291,000,000","2,116,000,000","2,098,000,000","2,118,000,000","2,338,000,000","2,141,000,000","2,153,000,000","2,048,000,000","2,256,000,000","2,026,000,000","1,821,000,000","4,333,000,000","1,526,000,000","1,236,000,000","1,182,000,000","1,384,000,000","1,911,000,000","1,557,000,000","1,404,000,000","1,447,000,000","1,991,000,000","1,455,000,000","1,349,000,000","1,632,000,000","2,164,000,000","1,797,000,000","1,811,000,000","1,994,000,000","2,728,000,000","1,964,000,000","1,726,000,000","1,971,000,000","2,443,000,000","2,106,000,000","1,672,000,000","2,060,000,000","2,656,000,000","2,174,000,000","2,053,000,000","1,713,000,000","1,826,000,000","1,393,000,000","1,238,000,000","1,328,000,000","1,488,000,000","1,243,000,000","1,159,000,000","803,000,000","1,532,000,000","1,182,000,000","1,021,000,000","928,000,000","1,082,000,000","1,089,000,000","804,000,000","783,000,000","1,242,000,000","1,054,000,000","951,000,000","876,000,000","845,000,000","605,000,000","542,000,000","577,000,000","693,000,000","588,000,000","506,000,000","592,000,000","659,000,000","558,000,000","436,000,000","477,500,000","673,600,000","560,300,000","543,600,000","552,300,000","628,500,000","500,200,000","449,700,000","437,500,000","480,900,000","458,400,000","344,900,000","406,600,000","470,300,000","473,600,000","364,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"8,589,000,000","2,723,000,000","2,077,000,000","1,958,000,000","1,831,000,000","2,424,000,000","2,752,000,000","2,569,000,000","2,962,000,000","2,469,000,000","3,443,000,000","2,996,000,000","2,293,000,000","2,570,000,000","2,501,000,000","2,326,000,000","2,267,000,000","2,105,000,000","2,863,000,000","2,550,000,000","2,278,000,000","1,846,000,000","2,755,000,000","2,014,000,000","2,108,000,000","1,977,000,000","2,663,000,000","2,242,000,000","2,006,000,000","2,546,000,000","2,316,000,000","1,888,000,000","1,521,000,000","1,582,000,000","2,138,000,000","1,807,000,000","1,458,000,000","-958,000,000","2,317,000,000","2,431,000,000","2,189,000,000","2,481,000,000","2,471,000,000","2,404,000,000","1,730,000,000","1,966,000,000","2,700,000,000","2,136,000,000","2,273,000,000","2,023,000,000","2,309,000,000","2,014,000,000","1,894,000,000","2,009,000,000","2,659,000,000","1,621,000,000","1,708,000,000","1,713,000,000","2,132,000,000","1,823,000,000","1,403,000,000","1,563,000,000","2,038,000,000","1,635,000,000","1,531,000,000","1,451,000,000","1,678,000,000","1,348,000,000","1,199,000,000","1,261,000,000","1,495,000,000","1,376,000,000","1,172,000,000","1,222,000,000","1,442,000,000","1,277,000,000","1,152,000,000","1,132,000,000","1,271,000,000","1,159,000,000","1,039,000,000","1,056,000,000","1,287,000,000","1,112,000,000","990,000,000","981,000,000","1,242,000,000","1,065,000,000","926,000,000","943,000,000","1,199,000,000","1,026,000,000","906,000,000","1,039,000,000","1,340,000,000","1,134,000,000","902,000,000","1,000,200,000","1,185,400,000","1,026,700,000","901,600,000","883,100,000","1,141,100,000","973,900,000","908,000,000","923,900,000","1,106,100,000","1,008,300,000","832,500,000","881,200,000","1,042,600,000","969,500,000","814,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"5,583,000,000","1,355,000,000","1,674,000,000","1,407,000,000","1,147,000,000","1,346,000,000","1,711,000,000","1,380,000,000","1,232,000,000","1,263,000,000","1,834,000,000","1,585,000,000","1,142,000,000","1,424,000,000","1,503,000,000","1,180,000,000","1,214,000,000","97,000,000","1,446,000,000","1,237,000,000","936,000,000","1,336,000,000","1,333,000,000","826,000,000","845,000,000","1,072,000,000","1,155,000,000","1,071,000,000","862,000,000","995,000,000","1,146,000,000","931,000,000","768,000,000","929,000,000","941,000,000","814,000,000","698,000,000","-1,686,000,000","1,568,000,000","1,409,000,000","1,346,000,000","1,349,000,000","1,560,000,000","1,446,000,000","1,302,000,000","1,496,000,000","1,575,000,000","1,427,000,000","1,334,000,000","1,466,000,000","1,460,000,000","1,409,000,000","1,311,000,000","1,303,000,000","1,323,000,000","1,308,000,000","1,265,000,000","1,292,000,000","1,232,000,000","1,159,000,000","1,105,000,000","1,239,000,000","1,171,000,000","1,197,000,000","1,058,000,000","1,099,000,000","1,119,000,000","1,002,000,000","965,000,000","1,007,000,000","972,000,000","919,000,000","911,000,000","962,000,000","892,000,000","863,000,000","844,000,000","884,000,000","1,004,000,000","750,000,000","783,000,000","819,000,000","747,000,000","732,000,000","750,000,000","835,000,000","731,000,000","718,000,000","689,000,000","729,000,000","729,000,000","891,000,000","549,000,000","852,000,000","812,000,000","817,000,000","684,000,000","783,100,000","721,200,000","705,400,000","676,400,000","694,200,000","682,000,000","674,700,000","684,700,000","735,500,000","658,200,000","696,100,000","583,700,000","685,000,000","614,500,000","680,600,000","578,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"3,924,000,000","964,000,000","1,230,000,000","981,000,000","749,000,000","944,000,000","1,279,000,000","981,000,000","848,000,000","969,000,000","1,295,000,000","1,181,000,000","772,000,000","1,092,000,000","1,131,000,000","831,000,000","857,000,000","-219,000,000","1,070,000,000","886,000,000","619,000,000","815,000,000","983,000,000","742,000,000","537,000,000","749,000,000","798,000,000","737,000,000","547,000,000","692,000,000","782,000,000","614,000,000","463,000,000","640,000,000","605,000,000","500,000,000","419,000,000","397,000,000","467,000,000","335,000,000","320,000,000","331,000,000","496,000,000","408,000,000","331,000,000","477,000,000","531,000,000","386,000,000","414,000,000","488,000,000","433,000,000","435,000,000","409,000,000","417,000,000","348,000,000","359,000,000","344,000,000","361,000,000","329,000,000","327,000,000","318,000,000","344,000,000","341,000,000","331,000,000","318,000,000","368,000,000","387,000,000","358,000,000","326,000,000","301,000,000","298,000,000","298,000,000","301,000,000","297,000,000","282,000,000","267,000,000","259,000,000","234,000,000","225,000,000","230,000,000","264,000,000","251,000,000","246,000,000","245,000,000","240,000,000","269,000,000","237,000,000","266,000,000","259,000,000","272,000,000","245,000,000","244,000,000","279,000,000","373,000,000","314,000,000","348,000,000","249,000,000","264,400,000","266,200,000","262,500,000","267,900,000","203,100,000","257,800,000","231,900,000","267,700,000","242,100,000","212,700,000","262,800,000","200,300,000","180,500,000","206,200,000","170,200,000","167,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"3,924,000,000","964,000,000","1,230,000,000","981,000,000","749,000,000","944,000,000","1,279,000,000","981,000,000","848,000,000","969,000,000","1,295,000,000","1,181,000,000","772,000,000","1,092,000,000","1,131,000,000","831,000,000","857,000,000","-219,000,000","1,070,000,000","886,000,000","619,000,000","815,000,000","983,000,000","742,000,000","537,000,000","749,000,000","798,000,000","737,000,000","547,000,000","692,000,000","782,000,000","614,000,000","463,000,000","640,000,000","605,000,000","500,000,000","419,000,000","397,000,000","467,000,000","335,000,000","320,000,000","331,000,000","496,000,000","408,000,000","331,000,000","477,000,000","531,000,000","386,000,000","414,000,000","488,000,000","433,000,000","435,000,000","409,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			DepreciationIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"430,000,000","428,000,000","390,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,000,000","7,000,000","19,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,000,000","7,000,000","19,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
