name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"12,222,000,000","3,390,000,000","2,895,000,000","3,065,000,000","2,872,000,000","3,381,000,000","3,170,000,000","2,365,000,000","2,581,000,000","2,967,000,000","2,713,000,000","2,257,000,000","1,803,000,000","2,048,000,000","1,726,000,000","1,662,000,000","1,817,000,000","1,935,000,000","1,879,000,000","1,875,000,000","1,659,000,000","1,789,000,000","1,791,000,000","2,038,000,000","2,032,000,000","1,816,000,000","2,033,000,000","1,908,000,000","1,972,000,000","2,017,000,000","1,746,000,000","1,765,000,000","1,764,000,000","2,169,000,000","1,983,000,000","1,993,000,000","2,177,000,000","2,476,000,000","2,480,000,000","2,229,000,000","2,683,000,000","2,765,000,000","2,744,000,000","2,384,000,000","2,465,000,000","2,548,000,000","2,597,000,000","2,153,000,000","2,242,000,000","2,518,000,000","2,049,000,000","1,602,000,000","1,552,000,000","1,342,000,000","1,392,000,000","1,522,000,000","1,943,000,000","1,322,000,000","1,646,000,000","1,302,000,000","1,256,000,000","1,460,000,000","1,102,000,000","1,310,000,000","1,148,000,000","1,283,000,000","1,164,000,000","1,006,000,000","961,000,000","1,230,042,000","1,162,695,000","1,009,171,000","1,135,439,000","821,317,000","896,992,000","747,222,000","864,645,000","815,041,000","728,346,000","636,979,000","491,598,000","445,145,000","424,397,000","362,361,000","427,525,000","490,745,000","362,031,000","355,387,000","358,510,000","428,000,000","328,000,000","315,800,000","327,100,000","352,000,000","349,900,000","374,000,000","378,100,000","412,200,000","383,800,000","421,800,000","262,100,000","206,500,000","226,000,000","181,200,000","154,700,000","184,400,000","172,300,000","145,100,000","151,700,000","147,800,000","156,800,000","139,300,000","149,800,000","160,800,000","178,100,000","157,300,000","138,100,000","140,900,000","155,800,000","158,700,000","157,700,000","155,900,000","148,400,000","167,200,000","151,300,000","163,300,000","170,100,000","184,600,000","165,500,000","79,700,000","195,700,000","174,500,000","132,200,000","157,500,000","137,200,000","113,000,000","105,800,000","128,500,000","128,500,000","128,500,000","128,500,000","-220,100,000","200,900,000","205,400,000","194,600,000","178,300,000","165,900,000"
	OperatingRevenue,"12,222,000,000","3,390,000,000","2,895,000,000","3,065,000,000","2,872,000,000","3,381,000,000","3,170,000,000","2,365,000,000","2,581,000,000","2,967,000,000","2,713,000,000","2,257,000,000","1,803,000,000","2,048,000,000","1,726,000,000","1,662,000,000","1,817,000,000","1,935,000,000","1,879,000,000","1,875,000,000","1,659,000,000","1,789,000,000","1,791,000,000","2,038,000,000","2,032,000,000","1,816,000,000","2,033,000,000","1,908,000,000","1,972,000,000","2,017,000,000","1,746,000,000","1,765,000,000","1,764,000,000","2,169,000,000","1,983,000,000","1,993,000,000","2,177,000,000","2,476,000,000","2,480,000,000","2,229,000,000","2,683,000,000","2,765,000,000","2,744,000,000","2,384,000,000","2,465,000,000","2,548,000,000","2,597,000,000","2,153,000,000","2,242,000,000","2,518,000,000","2,049,000,000","1,602,000,000","1,552,000,000","1,342,000,000","1,392,000,000","1,522,000,000","1,943,000,000","1,322,000,000","1,646,000,000","1,302,000,000","1,256,000,000","1,460,000,000","1,102,000,000","1,310,000,000","1,148,000,000","1,283,000,000","1,164,000,000","1,006,000,000","961,000,000","1,230,042,000","1,162,695,000","1,009,171,000","1,122,277,000","806,090,000","881,160,000","747,222,000","733,989,000","785,931,000","712,168,000","636,979,000","491,598,000","445,145,000","424,397,000","362,361,000","427,525,000","479,006,000","362,031,000","355,387,000","358,510,000","428,000,000","328,000,000","315,800,000","327,100,000","352,000,000","349,900,000","374,000,000","378,100,000","412,200,000","383,800,000","421,800,000","262,100,000","206,500,000","226,000,000","181,200,000","154,700,000","184,400,000","172,300,000","145,100,000","151,700,000","147,800,000","156,800,000","139,300,000","149,800,000","160,800,000","178,100,000","157,300,000","138,100,000","140,900,000","155,800,000","158,700,000","157,700,000","155,900,000","148,400,000","167,200,000","151,300,000","163,300,000","170,100,000","184,600,000","165,500,000","79,700,000","195,700,000","174,500,000","132,200,000","157,500,000","137,200,000","113,000,000","105,800,000","128,500,000","128,500,000","128,500,000","128,500,000","-220,100,000","200,900,000","205,400,000","194,600,000","178,300,000","165,900,000"
CostOfRevenue,"7,758,000,000","2,179,000,000","1,937,000,000","1,842,000,000","1,800,000,000","1,970,000,000","1,861,000,000","1,586,000,000","1,897,000,000","2,072,000,000","1,940,000,000","1,853,000,000","1,290,000,000","1,440,000,000","1,294,000,000","1,244,000,000","1,330,000,000","1,374,000,000","1,380,000,000","1,307,000,000","1,226,000,000","1,364,000,000","1,318,000,000","1,373,000,000","1,403,000,000","1,484,000,000","1,464,000,000","1,295,000,000","1,308,000,000","1,436,000,000","1,503,000,000","1,366,000,000","1,381,000,000","1,834,000,000","1,335,000,000","2,068,000,000","1,311,000,000","2,163,000,000","1,088,000,000","1,002,000,000","1,017,000,000","1,120,000,000","1,112,000,000","917,000,000","940,000,000","685,000,000","970,000,000","911,000,000","918,000,000","889,000,000","820,000,000","747,000,000","794,000,000","828,000,000","871,000,000","818,000,000","791,000,000","542,000,000","785,000,000","807,000,000","844,000,000","786,000,000","632,000,000","681,000,000","599,000,000","762,000,000","643,000,000","598,000,000","577,000,000","780,834,000","582,649,000","557,582,000","574,574,000","505,092,000","462,864,000","436,127,000","406,683,000","514,571,000","432,467,000","393,542,000","339,168,000","335,037,000","283,269,000","260,402,000","259,680,000","357,478,000","187,696,000","180,580,000","182,768,000","194,200,000","187,900,000","195,100,000","193,700,000","270,000,000","195,400,000","191,100,000","197,700,000","167,800,000","181,300,000","211,700,000","112,200,000","130,400,000","134,200,000","113,400,000","98,100,000","105,500,000","92,300,000","89,700,000","83,200,000","87,600,000","83,000,000","101,800,000","82,900,000","79,800,000","97,100,000","82,800,000","77,300,000","82,800,000","83,600,000","83,500,000","73,500,000","81,000,000","70,000,000","81,200,000","73,600,000","98,400,000","81,100,000","94,300,000","83,100,000","37,500,000","107,000,000","97,600,000",,,,,,,,,,,,,,,
GrossProfit,"4,464,000,000","1,211,000,000","958,000,000","1,223,000,000","1,072,000,000","1,411,000,000","1,309,000,000","779,000,000","684,000,000","895,000,000","773,000,000","404,000,000","513,000,000","608,000,000","432,000,000","418,000,000","487,000,000","561,000,000","499,000,000","568,000,000","433,000,000","425,000,000","473,000,000","665,000,000","629,000,000","332,000,000","569,000,000","613,000,000","664,000,000","581,000,000","243,000,000","399,000,000","383,000,000","335,000,000","648,000,000","-75,000,000","866,000,000","313,000,000","1,392,000,000","1,227,000,000","1,666,000,000","1,645,000,000","1,632,000,000","1,467,000,000","1,525,000,000","1,863,000,000","1,627,000,000","1,242,000,000","1,324,000,000","1,629,000,000","1,229,000,000","855,000,000","758,000,000","514,000,000","521,000,000","704,000,000","1,152,000,000","780,000,000","861,000,000","495,000,000","412,000,000","674,000,000","470,000,000","629,000,000","549,000,000","521,000,000","521,000,000","408,000,000","384,000,000","449,208,000","580,046,000","451,589,000","560,865,000","316,225,000","434,128,000","311,095,000","457,962,000","300,470,000","295,879,000","243,437,000","152,430,000","110,108,000","141,128,000","101,959,000","167,845,000","133,267,000","174,335,000","174,807,000","175,742,000","233,800,000","140,100,000","120,700,000","133,400,000","82,000,000","154,500,000","182,900,000","180,400,000","244,400,000","202,500,000","210,100,000","149,900,000","76,100,000","91,800,000","67,800,000","56,600,000","78,900,000","80,000,000","55,400,000","68,500,000","60,200,000","73,800,000","37,500,000","66,900,000","81,000,000","81,000,000","74,500,000","60,800,000","58,100,000","72,200,000","75,200,000","84,200,000","74,900,000","78,400,000","86,000,000","77,700,000","64,900,000","89,000,000","90,300,000","82,400,000","42,200,000","88,700,000","76,900,000",,,,,,,,,,,,,,,
OperatingExpense,"2,476,000,000","1,803,000,000","284,000,000","212,000,000","177,000,000","420,000,000","219,000,000","289,000,000","194,000,000","319,000,000","277,000,000","255,000,000","157,000,000","231,000,000","175,000,000","190,000,000","161,000,000","228,000,000","176,000,000","185,000,000","147,000,000","236,000,000","162,000,000","171,000,000","140,000,000","378,000,000","163,000,000","184,000,000","152,000,000","257,000,000","172,000,000","184,000,000","172,000,000","214,000,000","251,000,000","229,000,000","218,000,000","-598,000,000","612,000,000","509,000,000","491,000,000","587,000,000","454,000,000","562,000,000","504,000,000","595,000,000","401,000,000","405,000,000","417,000,000","449,000,000","340,000,000","382,000,000","348,000,000","612,000,000","281,000,000","260,000,000","280,000,000","500,000,000","242,000,000","242,000,000","269,000,000","200,000,000","238,000,000","218,000,000","200,000,000","224,000,000","210,000,000","204,000,000","217,000,000","70,284,000","244,355,000","260,310,000","251,783,000","103,606,000","211,043,000","200,876,000","178,475,000","158,478,000","238,626,000","141,477,000","165,638,000","121,919,000","124,699,000","120,025,000","114,582,000","145,137,000","137,880,000","124,217,000","110,194,000","119,500,000","110,300,000","91,300,000","85,600,000","655,600,000","115,000,000","120,200,000","115,500,000","170,000,000","106,400,000","274,000,000","91,800,000","69,100,000","64,500,000","57,500,000","54,400,000","92,700,000","57,800,000","73,900,000","47,100,000","96,900,000","54,200,000","50,300,000","45,300,000","66,400,000","51,800,000","47,700,000","47,000,000","46,600,000","51,600,000","47,900,000","40,300,000","40,800,000","46,300,000","51,100,000","39,500,000","52,300,000","41,200,000","37,700,000","36,000,000","21,000,000","43,300,000","39,700,000",,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"259,000,000","69,000,000","61,000,000","64,000,000","65,000,000","64,000,000","68,000,000","72,000,000","65,000,000","89,000,000","84,000,000","81,000,000","59,000,000","63,000,000","59,000,000","63,000,000","59,000,000","66,000,000","58,000,000","58,000,000","55,000,000","55,000,000","63,000,000","64,000,000","57,000,000","45,000,000","43,000,000","51,000,000","44,000,000","48,000,000","45,000,000","48,000,000","45,000,000","45,000,000","48,000,000","54,000,000","56,000,000","-71,000,000","90,000,000","73,000,000","70,000,000","22,000,000","77,000,000","114,000,000","45,000,000","1,000,000","63,000,000","56,000,000","58,000,000","50,000,000","47,000,000","48,000,000","48,000,000","8,000,000","47,000,000","37,000,000","68,000,000","345,000,000","50,000,000","36,000,000","59,000,000","-18,000,000","66,000,000","37,000,000","37,000,000","39,000,000","32,000,000","32,000,000","31,000,000","35,899,000","22,298,000","38,928,000","33,085,000","43,344,000","28,954,000","31,292,000","26,410,000","66,079,000","29,742,000","27,652,000","20,443,000","32,468,000","12,388,000","13,665,000","14,479,000","77,804,000","15,849,000","12,898,000","11,989,000","72,400,000","12,600,000","12,700,000","12,600,000","626,100,000","11,700,000","12,300,000","14,500,000","15,900,000","16,200,000","181,600,000","29,400,000","35,800,000","31,100,000","27,900,000","25,900,000","62,400,000","29,800,000","50,100,000","22,400,000","74,100,000","30,000,000","29,100,000","22,400,000","39,600,000","24,600,000","19,900,000","18,800,000","21,800,000","26,500,000","22,600,000","16,600,000","18,800,000","22,700,000","25,400,000","16,800,000","23,800,000","21,800,000","19,000,000","17,800,000","7,900,000","21,600,000","20,900,000",,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"259,000,000","69,000,000","61,000,000","64,000,000","65,000,000","64,000,000","68,000,000","72,000,000","65,000,000","89,000,000","84,000,000","81,000,000","59,000,000","63,000,000","59,000,000","63,000,000","59,000,000","66,000,000","58,000,000","58,000,000","55,000,000","55,000,000","63,000,000","64,000,000","57,000,000","45,000,000","43,000,000","51,000,000","44,000,000","48,000,000","45,000,000","48,000,000","45,000,000","45,000,000","48,000,000","54,000,000","56,000,000","-71,000,000","90,000,000","73,000,000","70,000,000",,,"114,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,"0",,,"7,000,000","83,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"259,000,000","69,000,000","61,000,000","64,000,000","65,000,000","64,000,000","68,000,000","72,000,000","65,000,000","89,000,000","84,000,000","81,000,000","59,000,000","63,000,000","59,000,000","63,000,000","59,000,000","66,000,000","58,000,000","58,000,000","55,000,000","55,000,000","63,000,000","64,000,000","57,000,000","45,000,000","43,000,000","51,000,000","44,000,000","48,000,000","45,000,000","48,000,000","45,000,000","45,000,000","48,000,000","54,000,000","56,000,000","-71,000,000","90,000,000","73,000,000","70,000,000",,,"114,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"154,000,000","46,000,000","40,000,000","37,000,000","31,000,000","30,000,000","39,000,000","26,000,000","27,000,000","48,000,000","43,000,000","32,000,000","27,000,000","46,000,000","37,000,000","36,000,000","34,000,000","44,000,000","41,000,000","32,000,000","26,000,000","29,000,000","34,000,000","44,000,000","28,000,000","40,000,000","32,000,000","33,000,000","28,000,000","41,000,000","36,000,000","42,000,000","42,000,000","57,000,000","67,000,000","46,000,000","52,000,000","21,000,000","92,000,000","82,000,000","102,000,000","80,000,000","99,000,000","109,000,000","68,000,000","67,000,000","46,000,000","57,000,000","46,000,000","35,000,000","27,000,000","42,000,000","31,000,000","52,000,000","45,000,000","39,000,000","30,000,000","17,000,000","16,000,000","13,000,000","18,000,000","26,000,000","19,000,000","28,000,000","21,000,000","23,000,000","18,000,000","14,000,000","18,000,000",,"54,093,000","48,226,000","36,674,000",,"30,646,000","30,247,000","21,472,000",,"25,356,000","18,788,000","11,757,000",,"12,843,000","15,305,000","15,315,000",,"17,504,000","17,234,000","13,541,000",,"14,300,000","14,400,000","11,500,000",,"18,500,000","16,600,000","16,100,000","30,100,000","19,900,000","26,300,000","22,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
