name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"35,667,000,000","8,639,000,000","8,720,000,000","9,151,000,000","9,157,000,000","10,212,000,000","9,083,000,000","8,884,000,000","8,620,000,000","8,721,000,000","8,475,000,000","8,456,000,000","8,189,000,000","8,156,000,000","8,085,000,000","7,119,000,000","6,735,000,000","6,634,000,000","6,527,000,000","6,375,000,000","6,267,000,000","6,397,000,000","6,155,000,000","6,000,000,000","5,956,000,000","5,694,000,000","5,979,000,000","5,896,000,000","5,957,000,000","6,108,000,000","5,984,000,000","6,039,000,000","5,848,000,000","6,157,000,000","6,106,000,000","6,294,000,000","6,104,000,000","6,476,000,000","6,270,000,000","6,274,000,000","6,198,000,000","6,506,000,000","6,612,000,000","6,560,000,000","6,734,000,000","8,607,000,000","8,714,000,000","8,826,000,000","8,610,000,000","7,752,000,000","8,726,000,000","8,957,000,000","8,320,000,000","9,154,000,000","8,381,000,000","8,628,000,000","7,724,000,000","8,824,000,000","7,928,000,000","7,929,000,000","7,344,000,000","8,021,000,000","7,433,000,000","7,601,000,000","7,184,000,000","7,860,000,000","7,446,000,000","7,962,000,000","7,453,000,000","7,846,000,000","7,408,000,000","7,374,000,000","7,105,000,000","7,094,000,000","6,619,000,000","6,627,000,000","5,866,000,000","4,830,000,000","4,214,000,000","4,396,000,000","4,086,000,000","4,304,000,000","3,605,000,000","3,663,000,000","1,986,000,000","2,229,000,000","1,731,000,000","1,856,000,000","2,080,000,000","2,506,000,000","2,122,000,000","2,274,000,000","2,093,000,000","2,536,000,000","2,213,000,000","2,139,000,000","2,014,000,000","2,510,000,000","2,297,000,000","2,087,000,000","1,964,000,000","2,282,000,000","2,043,000,000","2,143,000,000","1,603,000,000","1,812,000,000","1,630,000,000","1,759,000,000","1,617,000,000","1,880,000,000","1,927,000,000","1,686,000,000","1,218,000,000","1,256,000,000","1,220,000,000","1,312,000,000","1,275,000,000","1,514,100,000","1,293,600,000","1,441,800,000","1,300,500,000","1,567,300,000","1,555,100,000","1,325,000,000","1,246,800,000","1,521,100,000","1,277,400,000","1,414,100,000","853,900,000","1,325,000,000","1,245,600,000","1,397,100,000","1,280,700,000","1,726,000,000","1,356,500,000","1,345,700,000","1,368,900,000","1,766,500,000","1,459,000,000","1,420,000,000","1,400,000,000","1,658,400,000","1,260,000,000","1,400,000,000","1,300,000,000","1,531,400,000","1,213,300,000"
	OperatingRevenue,"35,667,000,000","8,639,000,000","8,720,000,000","9,151,000,000","9,157,000,000","10,212,000,000","9,083,000,000","8,884,000,000","8,620,000,000","8,721,000,000","8,475,000,000","8,456,000,000","8,189,000,000","8,156,000,000","8,085,000,000","7,119,000,000","6,735,000,000","6,634,000,000","6,527,000,000","6,375,000,000","6,267,000,000","6,397,000,000","6,155,000,000","6,000,000,000","5,956,000,000","5,694,000,000","5,979,000,000","5,896,000,000","5,957,000,000","6,108,000,000","5,984,000,000","6,039,000,000","5,848,000,000","6,157,000,000","6,106,000,000","6,294,000,000","6,104,000,000","6,476,000,000","6,270,000,000","6,274,000,000","6,198,000,000","6,506,000,000","6,612,000,000","6,560,000,000","6,734,000,000","8,607,000,000","8,714,000,000","8,826,000,000","8,610,000,000","7,752,000,000","8,726,000,000","8,957,000,000","8,320,000,000","9,154,000,000","8,381,000,000","8,628,000,000","7,724,000,000","8,824,000,000","7,928,000,000","7,929,000,000","7,344,000,000","8,021,000,000","7,433,000,000","7,601,000,000","7,184,000,000","7,860,000,000","7,446,000,000","7,962,000,000","7,453,000,000","7,846,000,000","7,408,000,000","7,374,000,000","7,105,000,000","7,094,000,000","6,619,000,000","6,627,000,000","5,866,000,000","4,830,000,000","4,214,000,000","4,396,000,000","4,086,000,000","4,304,000,000","3,605,000,000","3,663,000,000","1,986,000,000","2,229,000,000","1,731,000,000","1,856,000,000","2,080,000,000","2,506,000,000","2,122,000,000","2,274,000,000","2,093,000,000","2,536,000,000","2,213,000,000","2,139,000,000","2,014,000,000","2,510,000,000","2,297,000,000","2,087,000,000","1,964,000,000","2,282,000,000","2,043,000,000","2,143,000,000","1,603,000,000","1,812,000,000","1,630,000,000","1,759,000,000","1,617,000,000","1,880,000,000","1,927,000,000","1,686,000,000","1,218,000,000","1,256,000,000","1,220,000,000","1,312,000,000","1,275,000,000","1,514,100,000","1,293,600,000","1,441,800,000","1,300,500,000","1,567,300,000","1,555,100,000","1,325,000,000","1,246,800,000","1,521,100,000","1,277,400,000","1,414,100,000","853,900,000","1,325,000,000","1,245,600,000","1,397,100,000","1,280,700,000","1,726,000,000","1,356,500,000","1,345,700,000","1,368,900,000","1,766,500,000","1,459,000,000","1,420,000,000","1,400,000,000","1,658,400,000","1,260,000,000","1,400,000,000","1,300,000,000","1,531,400,000","1,213,300,000"
CostOfRevenue,"28,399,000,000","7,088,000,000","6,786,000,000","7,108,000,000","7,417,000,000","8,122,000,000","7,243,000,000","7,058,000,000","6,898,000,000","6,615,000,000","6,748,000,000","6,726,000,000","6,493,000,000","6,487,000,000","6,090,000,000","5,557,000,000","5,170,000,000","5,221,000,000","5,016,000,000","4,854,000,000","4,758,000,000","4,920,000,000","4,667,000,000","4,583,000,000","4,561,000,000","4,378,000,000","4,522,000,000","4,442,000,000","4,542,000,000","4,653,000,000","4,635,000,000","4,629,000,000","4,461,000,000","4,828,000,000","4,761,000,000","4,906,000,000","4,787,000,000","4,915,000,000","4,962,000,000","4,920,000,000","4,841,000,000","5,070,000,000","5,198,000,000","5,163,000,000","5,355,000,000","7,004,000,000","7,188,000,000","7,340,000,000","7,077,000,000","6,381,000,000","7,303,000,000","7,530,000,000","6,916,000,000","7,326,000,000","6,825,000,000","7,025,000,000","6,522,000,000","7,182,000,000","6,330,000,000","6,361,000,000","5,948,000,000","6,593,000,000","6,100,000,000","6,155,000,000","5,894,000,000","6,421,000,000","6,332,000,000","6,641,000,000","6,196,000,000","6,558,000,000","6,227,000,000","6,282,000,000","6,042,000,000","6,094,000,000","5,580,000,000","5,685,000,000","4,963,000,000","3,947,000,000","3,440,000,000","3,587,000,000","3,386,000,000","3,563,000,000","3,089,000,000","3,019,000,000","1,548,000,000","1,447,000,000","1,191,000,000","1,220,000,000","1,426,000,000","1,779,000,000","1,491,000,000","1,674,000,000","1,519,000,000","1,729,000,000","1,667,000,000","1,615,000,000","1,450,000,000","1,596,000,000","1,770,000,000","1,526,000,000","1,483,000,000","1,559,000,000","1,504,000,000","1,531,000,000","1,203,000,000","1,316,000,000","1,205,000,000","1,285,000,000","1,233,000,000","1,485,000,000","1,473,000,000","1,274,000,000","978,000,000","1,101,000,000","940,000,000","1,064,000,000","1,043,000,000","1,281,000,000","1,172,400,000","1,191,900,000","1,062,300,000","1,249,700,000","1,303,200,000","1,075,400,000","1,011,700,000","1,276,300,000","1,043,000,000","1,177,400,000","761,100,000",,,,,,,,,,,,,,,,,,
GrossProfit,"7,268,000,000","1,551,000,000","1,934,000,000","2,043,000,000","1,740,000,000","2,090,000,000","1,840,000,000","1,826,000,000","1,722,000,000","2,106,000,000","1,727,000,000","1,730,000,000","1,696,000,000","1,669,000,000","1,995,000,000","1,562,000,000","1,565,000,000","1,413,000,000","1,511,000,000","1,521,000,000","1,509,000,000","1,477,000,000","1,488,000,000","1,417,000,000","1,395,000,000","1,316,000,000","1,457,000,000","1,454,000,000","1,415,000,000","1,455,000,000","1,349,000,000","1,410,000,000","1,387,000,000","1,329,000,000","1,345,000,000","1,388,000,000","1,317,000,000","1,561,000,000","1,308,000,000","1,354,000,000","1,357,000,000","1,436,000,000","1,414,000,000","1,397,000,000","1,379,000,000","1,603,000,000","1,526,000,000","1,486,000,000","1,533,000,000","1,371,000,000","1,423,000,000","1,427,000,000","1,404,000,000","1,828,000,000","1,556,000,000","1,603,000,000","1,202,000,000","1,642,000,000","1,598,000,000","1,568,000,000","1,396,000,000","1,428,000,000","1,333,000,000","1,446,000,000","1,290,000,000","1,439,000,000","1,114,000,000","1,321,000,000","1,257,000,000","1,288,000,000","1,181,000,000","1,092,000,000","1,063,000,000","1,000,000,000","1,039,000,000","942,000,000","903,000,000","883,000,000","774,000,000","809,000,000","700,000,000","741,000,000","516,000,000","644,000,000","438,000,000","782,000,000","540,000,000","636,000,000","654,000,000","727,000,000","631,000,000","600,000,000","574,000,000","807,000,000","546,000,000","524,000,000","564,000,000","914,000,000","527,000,000","561,000,000","481,000,000","723,000,000","539,000,000","612,000,000","400,000,000","496,000,000","425,000,000","474,000,000","384,000,000","395,000,000","454,000,000","412,000,000","240,000,000","155,000,000","280,000,000","248,000,000","232,000,000","233,100,000","121,200,000","249,900,000","238,200,000","317,600,000","251,900,000","249,600,000","235,100,000","244,800,000","234,400,000","236,700,000","92,800,000",,,,,,,,,,,,,,,,,,
OperatingExpense,"3,597,000,000","809,000,000","891,000,000","999,000,000","898,000,000","938,000,000","855,000,000","832,000,000","788,000,000","970,000,000","776,000,000","784,000,000","760,000,000","744,000,000","817,000,000","739,000,000","711,000,000","646,000,000","666,000,000","666,000,000","677,000,000","646,000,000","662,000,000","620,000,000","656,000,000","627,000,000","663,000,000","641,000,000","635,000,000","693,000,000","580,000,000","590,000,000","542,000,000","561,000,000","555,000,000","582,000,000","558,000,000","737,000,000","572,000,000","580,000,000","561,000,000","637,000,000","589,000,000","556,000,000","568,000,000","815,000,000","725,000,000","770,000,000","768,000,000","851,000,000","768,000,000","774,000,000","749,000,000","3,980,000,000","785,000,000","797,000,000","738,000,000","882,000,000","791,000,000","824,000,000","715,000,000","806,000,000","787,000,000","764,000,000","695,000,000","905,000,000","681,000,000","705,000,000","662,000,000","716,000,000","643,000,000","609,000,000","629,000,000","612,000,000","608,000,000","551,000,000","575,000,000","472,000,000","461,000,000","453,000,000","387,000,000","427,000,000","291,000,000","369,000,000","248,000,000","530,000,000","298,000,000","319,000,000","340,000,000","474,000,000","369,000,000","362,000,000","358,000,000","704,000,000","308,000,000","316,000,000","537,000,000","668,000,000","322,000,000","340,000,000","299,000,000","577,000,000","374,000,000","404,000,000","261,000,000","375,000,000","294,000,000","307,000,000","267,000,000","517,000,000","349,000,000","279,000,000","157,000,000","195,000,000","197,000,000","155,000,000","149,000,000","134,400,000","160,300,000","160,700,000","158,000,000","220,700,000","152,100,000","173,300,000","156,600,000","160,400,000","147,300,000","170,000,000","54,400,000",,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"3,597,000,000","809,000,000","891,000,000","999,000,000","898,000,000","938,000,000","855,000,000","832,000,000","788,000,000","970,000,000","776,000,000","784,000,000","760,000,000","744,000,000","817,000,000","739,000,000","711,000,000","646,000,000","666,000,000","666,000,000","677,000,000","646,000,000","662,000,000","620,000,000","656,000,000","627,000,000","663,000,000","641,000,000","635,000,000","693,000,000","580,000,000","590,000,000","542,000,000","561,000,000","555,000,000","582,000,000","558,000,000","737,000,000","572,000,000","580,000,000","561,000,000","637,000,000","589,000,000","556,000,000","568,000,000","815,000,000","725,000,000","770,000,000","768,000,000","851,000,000","768,000,000","774,000,000","749,000,000","920,000,000","785,000,000","797,000,000","738,000,000","882,000,000","791,000,000","824,000,000","715,000,000","806,000,000","787,000,000","764,000,000","695,000,000","905,000,000","681,000,000","705,000,000","662,000,000","751,000,000","643,000,000","609,000,000","629,000,000","612,000,000","608,000,000","551,000,000","575,000,000","472,000,000","461,000,000","453,000,000","387,000,000","427,000,000","291,000,000","369,000,000","248,000,000","430,000,000","211,000,000","220,000,000","245,000,000","373,000,000","274,000,000","259,000,000","268,000,000","600,000,000","206,000,000","221,000,000","445,000,000","553,000,000","222,000,000","230,000,000","206,000,000","483,000,000","272,000,000","304,000,000","191,000,000","300,000,000","230,000,000","232,000,000","201,000,000","449,000,000","267,000,000","203,000,000","116,000,000","131,000,000","119,000,000","117,000,000","118,000,000","92,900,000","119,400,000","122,900,000","119,800,000","177,100,000","107,800,000","131,500,000","115,000,000","112,800,000","100,800,000","123,900,000","26,900,000",,,,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"3,597,000,000","809,000,000","891,000,000","999,000,000","898,000,000","938,000,000","855,000,000","832,000,000","788,000,000","970,000,000","776,000,000","784,000,000","760,000,000","744,000,000","817,000,000","739,000,000","711,000,000","646,000,000","666,000,000","666,000,000","677,000,000","646,000,000","662,000,000","620,000,000","656,000,000","627,000,000","663,000,000","641,000,000","635,000,000","693,000,000","580,000,000","590,000,000","542,000,000","561,000,000","555,000,000","582,000,000","558,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"3,597,000,000","809,000,000","891,000,000","999,000,000","898,000,000","938,000,000","855,000,000","832,000,000","788,000,000","970,000,000","776,000,000","784,000,000","760,000,000","744,000,000","817,000,000","739,000,000","711,000,000","646,000,000","666,000,000","666,000,000","677,000,000","646,000,000","662,000,000","620,000,000","656,000,000","627,000,000","663,000,000","641,000,000","635,000,000","693,000,000","580,000,000","590,000,000","542,000,000","561,000,000","555,000,000","582,000,000","558,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100,000,000","87,000,000","99,000,000","95,000,000","101,000,000","95,000,000","103,000,000","90,000,000","104,000,000","102,000,000","95,000,000","92,000,000","115,000,000","100,000,000","110,000,000","93,000,000","94,000,000","102,000,000","100,000,000","70,000,000","75,000,000","64,000,000","75,000,000","66,000,000","68,000,000","82,000,000","76,000,000","41,000,000","64,000,000","78,000,000","38,000,000","31,000,000","41,500,000","40,900,000","37,800,000","38,200,000","43,600,000","44,300,000","41,800,000","41,600,000","47,600,000","46,500,000","46,100,000","27,500,000",,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100,000,000","87,000,000","99,000,000","95,000,000","101,000,000","95,000,000","103,000,000","90,000,000","104,000,000","102,000,000","95,000,000","92,000,000","115,000,000","100,000,000","110,000,000","93,000,000","94,000,000","102,000,000","100,000,000","70,000,000","75,000,000","64,000,000","75,000,000","66,000,000","68,000,000","82,000,000","76,000,000","41,000,000","64,000,000","78,000,000","38,000,000","31,000,000","41,500,000","40,900,000","37,800,000","38,200,000","43,600,000","44,300,000","41,800,000","41,600,000","47,600,000","46,500,000","46,100,000","27,500,000",,,,,,,,,,,,,,,,,,
