name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999
TotalRevenue,"26,989,000,000","7,046,000,000","6,609,000,000","5,243,000,000","8,091,000,000","2,027,000,000","2,809,000,000","2,238,000,000","2,019,000,000","2,195,000,000","2,996,000,000","2,465,000,000","2,165,000,000","1,683,000,000","3,061,000,000","2,922,000,000","2,421,000,000","2,497,000,000","3,049,000,000","2,701,000,000","2,759,000,000","2,532,000,000","3,952,000,000","2,638,000,000","3,229,000,000","3,020,000,000","4,431,000,000","3,397,000,000","3,826,000,000","4,192,000,000","4,569,000,000","3,621,000,000","3,486,000,000","2,795,000,000","3,490,000,000","2,929,000,000","2,081,000,000","2,063,000,000","2,331,000,000","2,166,000,000","1,862,000,000","2,132,000,000","2,674,000,000","2,278,000,000","1,995,000,000","1,816,000,000","2,685,000,000","2,133,000,000","2,215,000,000","2,141,000,000","2,916,000,000","2,237,000,000","1,658,000,000","1,577,000,000","2,690,000,000","1,316,000,000","1,302,000,000","1,345,000,000","1,786,000,000","1,548,000,000","1,310,000,000","1,144,000,000","2,000,000,000","1,423,000,000","1,144,000,000","765,172,000","765,316,000","584,567,000","601,142,000","580,873,000","606,663,000","573,674,000","621,167,000","348,060,000","671,281,000","535,530,000","579,269,000","353,110,000","755,371,000","719,188,000","658,826,000","870,906,000","852,170,000","661,302,000","624,262,000","688,152,000","624,798,000","522,009,000","323,027,000","216,437,000","170,408,000","66,659,000"
	OperatingRevenue,"26,989,000,000","7,046,000,000","6,609,000,000","5,243,000,000","8,091,000,000","2,027,000,000","2,809,000,000","2,238,000,000","2,019,000,000","2,195,000,000","2,996,000,000","2,465,000,000","2,165,000,000","1,683,000,000","3,061,000,000","2,922,000,000","2,421,000,000","2,497,000,000","3,049,000,000","2,701,000,000","2,759,000,000","2,532,000,000","3,952,000,000","2,638,000,000","3,229,000,000","3,020,000,000","4,431,000,000","3,397,000,000","3,826,000,000","4,192,000,000","4,569,000,000","3,621,000,000","3,486,000,000","2,795,000,000","3,490,000,000","2,929,000,000","2,081,000,000","2,063,000,000","2,331,000,000","2,166,000,000","1,862,000,000","2,132,000,000","2,674,000,000","2,278,000,000","1,995,000,000","1,816,000,000","2,685,000,000","2,133,000,000","2,215,000,000","2,141,000,000","2,916,000,000","2,237,000,000","1,658,000,000","1,577,000,000","2,690,000,000","1,316,000,000","1,302,000,000","1,345,000,000","1,786,000,000","1,548,000,000","1,310,000,000","1,144,000,000","2,000,000,000","1,423,000,000","1,144,000,000","765,172,000","765,316,000","584,567,000","601,142,000","580,873,000","606,663,000","573,674,000","621,167,000","348,060,000","671,281,000","535,530,000","579,269,000","353,110,000","755,371,000","719,188,000","658,826,000","870,906,000","852,170,000","661,302,000","624,262,000","688,152,000","624,798,000","522,009,000","323,027,000","216,437,000","170,408,000","66,659,000"
CostOfRevenue,"20,482,000,000","6,986,000,000","3,692,000,000","2,957,000,000","6,864,000,000","1,615,000,000","2,034,000,000","1,434,000,000","1,457,000,000","1,654,000,000","2,153,000,000","1,845,000,000","1,651,000,000","1,378,000,000","2,307,000,000","2,051,000,000","1,558,000,000","1,684,000,000","2,156,000,000","1,837,000,000","2,125,000,000","1,817,000,000","2,793,000,000","1,756,000,000","2,189,000,000","2,225,000,000","3,034,000,000","2,434,000,000","3,062,000,000","2,951,000,000","3,278,000,000","2,817,000,000","2,733,000,000","1,942,000,000","2,355,000,000","2,059,000,000","1,765,000,000","1,469,000,000","1,726,000,000","1,319,000,000","1,573,000,000","1,690,000,000","2,053,000,000","1,608,000,000","1,324,000,000","1,270,000,000","1,835,000,000","1,329,000,000","1,639,000,000","1,422,000,000","1,893,000,000","1,242,000,000","766,000,000",,,,,,,,,,,,,,,,,,,,,"367,209,000","401,290,000","401,084,000","395,696,000","218,857,000","508,986,000","485,142,000","474,090,000","427,202,000","525,288,000","479,282,000","423,859,000","449,202,000","319,438,000","305,908,000","214,923,000","121,689,000","79,147,000","41,124,000"
GrossProfit,"6,507,000,000","60,000,000","2,917,000,000","2,286,000,000","1,227,000,000","412,000,000","775,000,000","804,000,000","562,000,000","541,000,000","843,000,000","620,000,000","514,000,000","305,000,000","754,000,000","871,000,000","863,000,000","813,000,000","893,000,000","864,000,000","634,000,000","715,000,000","1,159,000,000","882,000,000","1,040,000,000","795,000,000","1,397,000,000","963,000,000","764,000,000","1,241,000,000","1,291,000,000","804,000,000","753,000,000","853,000,000","1,135,000,000","870,000,000","316,000,000","594,000,000","605,000,000","847,000,000","289,000,000","442,000,000","621,000,000","670,000,000","671,000,000","546,000,000","850,000,000","804,000,000","576,000,000","719,000,000","1,023,000,000","995,000,000","892,000,000",,"2,690,000,000",,,,,"1,548,000,000",,"1,144,000,000",,,,"765,172,000",,"584,567,000",,,,,"621,167,000","-19,149,000","269,991,000","134,446,000","183,573,000","134,253,000","246,385,000","234,046,000","184,736,000","443,704,000","326,882,000","182,020,000","200,403,000","238,950,000","305,360,000","216,101,000","108,104,000","94,748,000","91,261,000","25,535,000"
OperatingExpense,"2,776,000,000","519,000,000","581,000,000","401,000,000","1,258,000,000","382,000,000","353,000,000","320,000,000","321,000,000","326,000,000","302,000,000","298,000,000","281,000,000","261,000,000","325,000,000","454,000,000","439,000,000","495,000,000","499,000,000","501,000,000","589,000,000","710,000,000","662,000,000","592,000,000","594,000,000","768,000,000","752,000,000","728,000,000","692,000,000","746,000,000","655,000,000","675,000,000","580,000,000","589,000,000","574,000,000","538,000,000","543,000,000","450,000,000","519,000,000","450,000,000","459,000,000","433,000,000","418,000,000","401,000,000","357,000,000","394,000,000","396,000,000","360,000,000","341,000,000","405,000,000","412,000,000","353,000,000","277,000,000","-2,538,000,000","1,241,000,000","1,259,000,000","1,052,000,000","-2,328,000,000","1,232,000,000","1,110,000,000","1,054,000,000","1,044,000,000","1,285,000,000","993,000,000","929,000,000","602,654,000","766,100,000","538,062,000","551,240,000","585,134,000","527,665,000","457,415,000","495,745,000","-565,568,000","505,473,000","254,043,000","183,358,000","-112,139,000","3,167,748,000","181,268,000","134,718,000","127,005,000","128,644,000","90,255,000","92,283,000","110,151,000","78,151,000","61,973,000","45,167,000","43,987,000","33,313,000","22,579,000"
	SellingGeneralAndAdministration,"1,293,000,000","320,000,000","318,000,000","308,000,000","330,000,000","263,000,000","253,000,000","208,000,000","209,000,000","212,000,000","210,000,000","211,000,000","194,000,000","208,000,000","212,000,000","211,000,000","191,000,000","210,000,000","213,000,000","223,000,000","272,000,000","299,000,000","282,000,000","265,000,000","255,000,000","334,000,000","332,000,000","291,000,000","263,000,000","290,000,000","258,000,000","268,000,000","226,000,000","233,000,000","229,000,000","213,000,000","229,000,000","193,000,000","271,000,000","207,000,000","221,000,000","189,000,000","169,000,000","167,000,000","143,000,000","157,000,000","172,000,000","139,000,000","130,000,000","167,000,000","188,000,000","131,000,000","95,000,000","57,000,000","88,000,000","87,000,000","75,000,000","-35,000,000","128,000,000","107,000,000","109,000,000","96,000,000","79,000,000","83,000,000","61,000,000","41,708,000","48,925,000","53,164,000","49,894,000","74,795,000","54,307,000","45,837,000","37,339,000","64,027,000","36,609,000","41,814,000","50,814,000","74,082,000","66,799,000",,,,,,,,,,"25,180,000",,,
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,,,,,,"2,000,000","1,000,000","2,000,000","3,000,000","2,000,000","1,000,000","2,000,000","2,000,000","2,000,000","1,000,000","16,000,000","13,000,000","18,000,000","14,000,000","18,000,000","17,000,000","23,000,000","23,000,000","18,000,000","26,000,000","41,000,000","38,000,000","41,000,000","34,000,000","29,000,000","22,000,000","21,000,000","19,000,000","21,000,000","27,000,000","20,000,000","16,000,000","10,000,000","9,000,000","9,000,000","8,000,000","13,000,000","11,000,000","12,000,000","9,000,000","19,000,000","14,000,000","13,000,000","9,000,000","14,000,000","12,000,000","9,000,000","13,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"785,000,000","216,000,000","199,000,000","53,000,000","317,000,000","117,000,000","99,000,000","110,000,000","109,000,000","112,000,000","91,000,000","85,000,000","85,000,000","51,000,000","112,000,000","227,000,000","235,000,000","267,000,000","272,000,000","260,000,000","300,000,000","388,000,000","357,000,000","309,000,000","313,000,000","393,000,000","382,000,000","396,000,000","395,000,000","427,000,000","375,000,000","386,000,000","335,000,000","335,000,000","318,000,000","305,000,000","298,000,000","247,000,000","239,000,000","234,000,000","230,000,000","231,000,000","238,000,000","222,000,000","205,000,000","218,000,000","210,000,000","208,000,000","202,000,000","224,000,000","212,000,000","213,000,000","169,000,000","171,000,000","156,000,000","161,000,000","161,000,000","175,000,000","161,000,000","161,000,000","161,000,000","150,000,000","148,000,000","178,000,000","125,000,000","49,683,000","48,802,000","47,749,000","48,424,000","49,748,000","51,373,000","53,168,000","58,637,000","55,878,000","64,476,000","73,645,000","70,194,000","48,448,000","74,530,000","78,436,000","66,611,000","70,092,000","58,709,000","45,600,000","38,092,000","35,677,000","36,424,000","30,865,000","19,987,000","13,338,000","12,663,000","6,291,000"
		DepreciationAndAmortizationInIncomeStatement,"785,000,000","216,000,000","199,000,000","53,000,000","317,000,000","117,000,000","99,000,000","110,000,000","109,000,000","112,000,000","91,000,000","85,000,000","85,000,000","51,000,000","112,000,000","227,000,000","235,000,000","267,000,000","272,000,000","260,000,000","300,000,000","388,000,000","357,000,000","309,000,000","313,000,000","393,000,000","382,000,000","396,000,000","395,000,000","427,000,000","375,000,000","386,000,000","335,000,000","335,000,000","318,000,000","305,000,000","298,000,000","247,000,000","239,000,000","234,000,000","230,000,000","231,000,000","238,000,000","222,000,000","205,000,000","218,000,000","210,000,000","208,000,000","202,000,000","224,000,000","212,000,000","213,000,000","169,000,000",,,,,,,,,,,,,,,,,,,,,"55,878,000","64,476,000","73,645,000","70,194,000","48,448,000","74,530,000","78,436,000","66,611,000","70,092,000","58,709,000","45,600,000","38,092,000","35,677,000","36,424,000","30,865,000","19,987,000","13,338,000","12,663,000","6,291,000"
