name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"11,142,000,000","2,852,000,000","2,852,000,000","2,799,000,000","2,639,000,000","2,573,000,000","2,506,000,000","2,085,000,000","2,625,000,000","2,690,000,000","2,841,000,000","2,925,000,000","2,840,000,000","2,896,000,000","2,947,000,000","2,898,000,000","2,717,000,000","2,669,000,000","2,670,000,000","2,637,000,000","2,575,000,000","2,490,000,000","2,524,000,000","2,454,000,000","2,420,000,000","2,518,000,000","2,713,000,000","2,713,000,000","2,567,000,000","2,870,000,000","3,023,000,000","3,042,000,000","2,689,000,000","2,881,000,000","2,824,000,000","2,802,000,000","2,738,000,000","2,684,000,000","2,693,000,000","2,874,000,000","2,789,000,000","2,797,000,000","2,889,000,000","2,866,000,000","2,620,000,000","2,392,000,000","2,456,000,000","2,430,000,000","2,238,000,000","2,106,000,000","2,063,000,000","1,857,000,000","1,943,000,000","2,502,000,000","2,894,000,000","2,765,000,000","2,500,000,000","2,454,000,000","2,353,000,000","2,378,000,000","2,247,000,000","2,319,000,000","2,393,000,000","2,392,000,000","2,303,000,000","2,257,000,000","2,155,000,000","2,154,000,000","1,961,000,000","1,949,000,000","1,857,000,000","1,813,000,000","1,693,000,000","1,676,000,000","1,598,000,000","1,633,000,000","1,561,000,000","1,581,000,000","1,598,000,000","1,593,000,000","1,498,000,000","1,530,000,000","1,508,000,000","1,592,000,000","1,540,000,000","1,569,000,000","1,517,000,000","1,578,000,000","1,495,000,000","1,471,000,000","1,500,000,000","1,194,000,000","1,030,000,000","1,028,000,000","1,048,000,000","1,079,000,000","1,066,000,000","341,900,000","1,327,400,000","1,304,000,000","1,249,700,000","1,179,900,000","1,211,300,000","1,217,300,000","1,161,500,000","1,155,200,000","1,183,900,000","1,190,200,000","1,138,700,000","1,171,900,000","1,171,200,000","1,161,400,000","1,076,800,000","1,085,300,000","1,088,900,000","1,170,400,000","1,115,500,000","1,173,300,000","1,188,200,000","1,146,900,000","1,098,200,000","1,104,900,000","1,167,600,000","1,113,500,000","1,065,300,000","1,124,300,000","1,175,000,000","1,179,400,000","1,138,300,000","1,107,900,000","1,142,000,000","1,174,200,000","1,111,800,000","1,159,200,000","1,162,500,000","1,110,000,000","1,033,700,000","1,059,700,000","1,030,400,000","1,043,200,000","979,500,000","1,039,500,000","1,004,900,000","1,050,000,000","857,200,000","1,017,400,000","1,034,500,000"
	OperatingRevenue,"11,142,000,000","2,852,000,000","2,852,000,000","2,799,000,000","2,639,000,000","2,573,000,000","2,506,000,000","2,085,000,000","2,625,000,000","2,690,000,000","2,841,000,000","2,925,000,000","2,840,000,000","2,896,000,000","2,947,000,000","2,898,000,000","2,717,000,000","2,669,000,000","2,670,000,000","2,637,000,000","2,575,000,000","2,490,000,000","2,524,000,000","2,454,000,000","2,420,000,000","2,518,000,000","2,713,000,000","2,713,000,000","2,567,000,000","2,870,000,000","3,023,000,000","3,042,000,000","2,689,000,000","2,881,000,000","2,824,000,000","2,802,000,000","2,738,000,000","2,684,000,000","2,693,000,000","2,874,000,000","2,789,000,000","2,797,000,000","2,889,000,000","2,866,000,000","2,620,000,000","2,392,000,000","2,456,000,000","2,430,000,000","2,238,000,000","2,106,000,000","2,063,000,000","1,857,000,000","1,943,000,000","2,502,000,000","2,894,000,000","2,765,000,000","2,500,000,000","2,454,000,000","2,353,000,000","2,378,000,000","2,247,000,000","2,319,000,000","2,393,000,000","2,392,000,000","2,303,000,000","2,257,000,000","2,155,000,000","2,154,000,000","1,961,000,000","1,949,000,000","1,857,000,000","1,813,000,000","1,693,000,000","1,676,000,000","1,598,000,000","1,633,000,000","1,561,000,000","1,581,000,000","1,598,000,000","1,593,000,000","1,498,000,000","1,530,000,000","1,508,000,000","1,592,000,000","1,540,000,000","1,569,000,000","1,517,000,000","1,578,000,000","1,495,000,000","1,471,000,000","1,500,000,000","1,194,000,000","1,030,000,000","1,028,000,000","1,048,000,000","1,079,000,000","1,066,000,000","341,900,000","1,327,400,000","1,304,000,000","1,249,700,000","1,179,900,000","1,211,300,000","1,217,300,000","1,161,500,000","1,155,200,000","1,183,900,000","1,190,200,000","1,138,700,000","1,171,900,000","1,171,200,000","1,161,400,000","1,076,800,000","1,085,300,000","1,088,900,000","1,170,400,000","1,115,500,000","1,173,300,000","1,188,200,000","1,146,900,000","1,098,200,000","1,104,900,000","1,167,600,000","1,113,500,000","1,065,300,000","1,124,300,000","1,175,000,000","1,179,400,000","1,138,300,000","1,107,900,000","1,142,000,000","1,174,200,000","1,111,800,000","1,159,200,000","1,162,500,000","1,110,000,000","1,033,700,000","1,059,700,000","1,030,400,000","1,043,200,000","979,500,000","1,039,500,000","1,004,900,000","1,050,000,000","857,200,000","1,017,400,000","1,034,500,000"
CostOfRevenue,"6,398,000,000","1,651,000,000","1,617,000,000","1,596,000,000","1,534,000,000","1,504,000,000","1,555,000,000","1,386,000,000","1,578,000,000","1,671,000,000","1,702,000,000","1,750,000,000","1,771,000,000","1,847,000,000","1,820,000,000","1,773,000,000","1,766,000,000","1,572,000,000","1,680,000,000","1,636,000,000","1,684,000,000","1,605,000,000","1,618,000,000","1,573,000,000","1,583,000,000","1,736,000,000","1,766,000,000","1,781,000,000","1,837,000,000","1,864,000,000","1,907,000,000","1,899,000,000","1,801,000,000","2,225,000,000","1,775,000,000","1,753,000,000","1,930,000,000","4,436,000,000","1,008,000,000","987,000,000","1,034,000,000","1,042,000,000","998,000,000","1,039,000,000","1,044,000,000","884,000,000","826,000,000","823,000,000","780,000,000","731,000,000","693,000,000","631,000,000","714,000,000","874,000,000","1,091,000,000","1,105,000,000","1,019,000,000","1,165,000,000","796,000,000","791,000,000","768,000,000","828,000,000","839,000,000","858,000,000","819,000,000","802,000,000","772,000,000","710,000,000","734,000,000","690,000,000","698,000,000","794,000,000","775,000,000","536,000,000","733,000,000","773,000,000","784,000,000","141,000,000","769,000,000","748,000,000","724,000,000","71,000,000","769,000,000","786,000,000","794,000,000","161,000,000","799,000,000","779,000,000","683,000,000","314,000,000","797,000,000","513,000,000","307,000,000","-654,000,000","305,000,000","309,000,000","309,000,000","-517,900,000","287,900,000","285,100,000","294,800,000","286,100,000","270,700,000","279,500,000","271,900,000","256,000,000","254,100,000","273,500,000","272,900,000","284,000,000","268,800,000","280,700,000","266,400,000","370,100,000","384,800,000","493,700,000","436,000,000","492,200,000","477,300,000","437,000,000","422,200,000","1,402,400,000","741,600,000","722,800,000","721,500,000","740,100,000","771,100,000","761,200,000","751,700,000","727,900,000","744,000,000","748,900,000",,,,,,,,,,,,,,,
GrossProfit,"4,744,000,000","1,201,000,000","1,235,000,000","1,203,000,000","1,105,000,000","1,069,000,000","951,000,000","699,000,000","1,047,000,000","1,019,000,000","1,139,000,000","1,175,000,000","1,069,000,000","1,049,000,000","1,127,000,000","1,125,000,000","951,000,000","1,097,000,000","990,000,000","1,001,000,000","891,000,000","885,000,000","906,000,000","881,000,000","837,000,000","782,000,000","947,000,000","932,000,000","730,000,000","1,006,000,000","1,116,000,000","1,143,000,000","888,000,000","656,000,000","1,049,000,000","1,049,000,000","808,000,000","-1,752,000,000","1,685,000,000","1,887,000,000","1,755,000,000","1,755,000,000","1,891,000,000","1,827,000,000","1,576,000,000","1,508,000,000","1,630,000,000","1,607,000,000","1,458,000,000","1,375,000,000","1,370,000,000","1,226,000,000","1,229,000,000","1,628,000,000","1,803,000,000","1,660,000,000","1,481,000,000","1,289,000,000","1,557,000,000","1,587,000,000","1,479,000,000","1,491,000,000","1,554,000,000","1,534,000,000","1,484,000,000","1,455,000,000","1,383,000,000","1,444,000,000","1,227,000,000","1,259,000,000","1,159,000,000","1,019,000,000","918,000,000","1,140,000,000","865,000,000","860,000,000","777,000,000","1,440,000,000","829,000,000","845,000,000","774,000,000","1,459,000,000","739,000,000","806,000,000","746,000,000","1,408,000,000","718,000,000","799,000,000","812,000,000","1,157,000,000","703,000,000","681,000,000","723,000,000","1,682,000,000","743,000,000","770,000,000","757,000,000","859,800,000","1,039,500,000","1,018,900,000","954,900,000","893,800,000","940,600,000","937,800,000","889,600,000","899,200,000","929,800,000","916,700,000","865,800,000","887,900,000","902,400,000","880,700,000","810,400,000","715,200,000","704,100,000","676,700,000","679,500,000","681,100,000","710,900,000","709,900,000","676,000,000","-297,500,000","426,000,000","390,700,000","343,800,000","384,200,000","403,900,000","418,200,000","386,600,000","380,000,000","398,000,000","425,300,000",,,,,,,,,,,,,,,
OperatingExpense,"30,000,000","-58,000,000","43,000,000","-7,000,000","52,000,000","-44,000,000","52,000,000","49,000,000","52,000,000","-52,000,000","95,000,000","60,000,000","54,000,000","-135,000,000","61,000,000","61,000,000","69,000,000","67,000,000","40,000,000","78,000,000","78,000,000","110,000,000","50,000,000","79,000,000","81,000,000","107,000,000","98,000,000","92,000,000","88,000,000","101,000,000","83,000,000","82,000,000","221,000,000","-299,000,000","200,000,000","213,000,000","82,000,000","-2,580,000,000","954,000,000","953,000,000","1,010,000,000","955,000,000","953,000,000","952,000,000","976,000,000","866,000,000","884,000,000","874,000,000","903,000,000","826,000,000","808,000,000","758,000,000","846,000,000","815,000,000","909,000,000","861,000,000","903,000,000","341,000,000","942,000,000","989,000,000","1,055,000,000","1,047,000,000","999,000,000","1,049,000,000","1,103,000,000","1,019,000,000","1,035,000,000","994,000,000","1,050,000,000","1,008,000,000","910,000,000","1,527,000,000","1,489,000,000","-714,000,000","1,436,000,000","1,484,000,000","1,488,000,000","-1,192,000,000","1,444,000,000","1,411,000,000","1,409,000,000","-1,312,000,000","1,408,000,000","1,456,000,000","1,477,000,000","-1,269,000,000","1,458,000,000","1,458,000,000","1,499,000,000","575,000,000","962,000,000","690,000,000","595,000,000","1,362,000,000","564,000,000","557,000,000","607,000,000","1,169,400,000","557,700,000","540,400,000","561,400,000","1,384,000,000","539,500,000","553,800,000","582,200,000","1,392,900,000","557,100,000","551,800,000","569,600,000","1,378,000,000","540,800,000","550,700,000","540,400,000","464,600,000","478,700,000","485,900,000","485,900,000","473,700,000","474,500,000","479,900,000","463,300,000","189,600,000","183,800,000","186,000,000","191,600,000","220,900,000","190,200,000","190,700,000","183,000,000","183,800,000","197,500,000","192,400,000",,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"-102,000,000",,,,,,,,,,"48,000,000","50,000,000","49,000,000","45,000,000","46,000,000","38,000,000","47,000,000","-2,000,000","39,000,000","35,000,000","40,000,000","49,000,000","36,000,000","32,000,000","33,000,000","49,000,000","27,000,000","26,000,000","36,000,000","4,000,000","35,000,000","42,000,000",,,,,"35,000,000","-2,117,000,000","724,000,000","724,000,000","786,000,000","734,000,000","736,000,000","739,000,000","765,000,000","659,000,000","680,000,000","670,000,000","699,000,000","613,000,000","598,000,000","551,000,000","639,000,000","609,000,000","708,000,000","662,000,000","705,000,000","361,000,000","685,000,000","721,000,000","785,000,000","792,000,000","754,000,000","798,000,000","859,000,000","762,000,000","778,000,000","735,000,000","795,000,000","713,000,000","711,000,000","742,000,000","727,000,000","866,000,000","724,000,000","731,000,000","735,000,000","281,000,000","703,000,000","674,000,000","706,000,000","259,000,000","655,000,000","688,000,000","698,000,000","278,000,000","692,000,000","708,000,000","719,000,000","384,000,000","787,000,000","522,000,000","438,000,000","405,000,000","412,000,000","409,000,000","456,000,000","416,000,000","413,300,000","401,800,000","419,900,000","388,000,000","397,700,000","413,100,000","446,700,000","447,800,000","421,100,000","414,200,000","439,700,000","401,800,000","413,200,000","416,700,000","409,600,000","366,900,000","379,800,000","380,800,000","382,100,000","371,900,000","375,400,000","382,200,000","365,300,000","93,600,000","88,700,000","90,300,000","96,700,000","125,800,000","97,200,000","97,700,000","91,100,000","91,600,000","112,000,000","109,000,000",,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"-102,000,000",,,,,,,,,,"48,000,000","50,000,000","49,000,000","45,000,000","46,000,000","38,000,000","47,000,000","-2,000,000","39,000,000","35,000,000","40,000,000","49,000,000","36,000,000","32,000,000","33,000,000","49,000,000","27,000,000","26,000,000","36,000,000","4,000,000","35,000,000","42,000,000",,,,,"35,000,000","-2,117,000,000","724,000,000","724,000,000","786,000,000","734,000,000","736,000,000","739,000,000","765,000,000","659,000,000","680,000,000","670,000,000","699,000,000","613,000,000","598,000,000","551,000,000","639,000,000","609,000,000","708,000,000","662,000,000","705,000,000","361,000,000","685,000,000","721,000,000","785,000,000","792,000,000","754,000,000","798,000,000","859,000,000","762,000,000","778,000,000","735,000,000","795,000,000","713,000,000","711,000,000","742,000,000","727,000,000","866,000,000","724,000,000","731,000,000","735,000,000","281,000,000","703,000,000","674,000,000","706,000,000","259,000,000","655,000,000","688,000,000","698,000,000","278,000,000","692,000,000","708,000,000","719,000,000","384,000,000","787,000,000","522,000,000","438,000,000","405,000,000","412,000,000","409,000,000","456,000,000","416,000,000","413,300,000","401,800,000","419,900,000","388,000,000","397,700,000","413,100,000","446,700,000","447,800,000","421,100,000","414,200,000","439,700,000","401,800,000","413,200,000","416,700,000","409,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,"-102,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"724,000,000","724,000,000","786,000,000","734,000,000","736,000,000","739,000,000","765,000,000","659,000,000","680,000,000","670,000,000","699,000,000","613,000,000","598,000,000","551,000,000","639,000,000","609,000,000","708,000,000","662,000,000","-705,000,000","-623,000,000","-619,000,000","-629,000,000","-681,000,000","-655,000,000","-624,000,000","-637,000,000","-721,000,000","-636,000,000","-629,000,000","-624,000,000","-604,000,000","-592,000,000","-570,000,000","-565,000,000","-545,000,000","-683,000,000","-531,000,000","-535,000,000","-526,000,000","-513,000,000","-489,000,000","-497,000,000","-523,000,000","-515,000,000","-478,000,000","-502,000,000","-519,000,000","-556,000,000","-507,000,000","-516,000,000","-655,000,000","-500,000,000","-574,000,000","-413,000,000","-368,000,000","-361,000,000","-370,000,000","-365,000,000","-396,000,000","-340,000,000","-351,500,000","-351,600,000","-361,900,000","-328,800,000","-341,300,000","-351,300,000","-377,300,000","-388,400,000","-359,700,000","-356,600,000","-375,300,000","-337,600,000","-340,400,000","-341,700,000","-351,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			RentAndLandingFees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-33,000,000","-30,000,000","-31,000,000","-32,000,000","-32,000,000","-31,000,000","-31,000,000","-35,000,000","-37,000,000","-79,000,000","-101,000,000","-102,000,000","-105,000,000","-105,000,000","-102,000,000","-107,000,000",,"-100,000,000","-103,000,000","-113,000,000",,"-113,000,000","-106,000,000","-105,000,000",,"-119,000,000","-124,000,000",,,"-141,000,000","-51,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			InsuranceAndClaims,,,,,,,,,,,"48,000,000","50,000,000","49,000,000","45,000,000","46,000,000","38,000,000","47,000,000","-2,000,000","39,000,000","35,000,000","40,000,000","29,000,000","36,000,000","32,000,000","33,000,000","49,000,000","27,000,000","26,000,000","36,000,000","4,000,000","35,000,000","42,000,000",,,,,"35,000,000",,,,,,,,,,,,,,,,,,,,,,"-33,000,000","-46,000,000","-52,000,000","-52,000,000","-50,000,000","-65,000,000","-53,000,000","-47,000,000","-59,000,000","-40,000,000","-78,000,000","-42,000,000","-31,000,000","-38,000,000","-40,000,000","-39,000,000","-44,000,000","-47,000,000","-51,000,000","-42,000,000","-57,000,000","-37,000,000","-35,000,000","-34,000,000","-32,000,000","-40,000,000","-37,000,000","-43,000,000","-33,000,000","-34,000,000","-32,000,000","-38,000,000","-36,000,000","-29,000,000","-35,000,000","-22,000,000","-21,000,000","-22,000,000","-30,000,000","-38,000,000","-30,900,000","-25,100,000","-29,000,000","-29,600,000","-28,200,000","-30,900,000","-34,700,000","-29,700,000","-30,700,000","-28,800,000","-32,200,000","-32,100,000","-36,400,000","-37,500,000","-29,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
