name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"6,464,500,000","1,667,000,000","1,633,800,000","1,580,300,000","1,583,400,000","1,521,900,000","1,485,100,000","1,506,100,000","1,587,700,000","1,547,700,000","1,537,900,000","1,506,600,000","1,480,900,000","1,503,800,000","1,474,300,000","1,506,100,000","1,476,000,000","1,424,500,000","1,345,200,000","1,321,200,000","1,284,400,000","1,233,900,000","1,213,700,000","1,201,100,000","1,190,000,000","1,156,700,000","1,155,500,000","1,156,000,000","1,134,500,000","1,130,100,000","1,078,900,000","1,081,700,000","1,040,500,000","1,012,600,000","1,047,200,000","1,020,500,000","976,400,000","969,700,000","972,500,000","988,500,000","965,400,000","955,600,000","971,500,000","944,800,000","897,900,000","896,100,000","889,500,000","964,200,000","897,900,000","1,049,700,000","917,700,000","1,035,200,000","893,600,000","964,700,000","926,200,000","1,081,400,000","1,133,400,000","956,000,000","873,700,000","869,000,000","808,200,000","758,700,000","733,500,000","776,200,000","727,700,000","675,600,000","670,100,000","672,700,000","606,800,000","589,000,000","546,400,000","571,600,000","565,000,000","530,300,000","525,700,000","538,100,000","513,800,000","510,300,000","520,400,000","551,700,000","540,900,000","538,200,000","538,800,000","560,700,000","537,600,000","535,400,000","534,700,000","533,700,000","501,800,000","478,700,000","434,700,000","428,900,000","411,700,000","411,000,000","382,700,000","384,900,000","370,200,000","360,600,000","364,300,000","332,400,000","314,800,000","301,300,000","293,100,000","290,700,000","281,100,000","266,300,000","262,800,000","256,500,000","250,100,000","239,200,000","237,600,000","260,100,000","231,100,000","224,700,000","222,400,000","217,400,000","217,200,000","214,100,000","204,800,000","202,400,000","199,300,000","179,600,000","171,100,000","173,900,000","170,100,000","163,900,000","157,000,000","150,800,000","146,900,000","148,800,000","141,600,000","142,600,000","135,200,000",,,,,,,,,,,,,,
	OperatingRevenue,"6,464,500,000","1,667,000,000","1,633,800,000","1,580,300,000","1,583,400,000","1,521,900,000","1,485,100,000","1,506,100,000","1,587,700,000","1,547,700,000","1,537,900,000","1,506,600,000","1,480,900,000","1,503,800,000","1,474,300,000","1,506,100,000","1,476,000,000","1,424,500,000","1,345,200,000","1,321,200,000","1,284,400,000","1,233,900,000","1,213,700,000","1,201,100,000","1,190,000,000","1,156,700,000","1,155,500,000","1,156,000,000","1,134,500,000","1,130,100,000","1,078,900,000","1,081,700,000","1,040,500,000","1,012,600,000","1,047,200,000","1,020,500,000","976,400,000","969,700,000","972,500,000","988,500,000","965,400,000","955,600,000","971,500,000","944,800,000","897,900,000","896,100,000","889,500,000","964,200,000","897,900,000","1,049,700,000","917,700,000","1,035,200,000","893,600,000","964,700,000","926,200,000","1,081,400,000","1,133,400,000","956,000,000","873,700,000","869,000,000","808,200,000","758,700,000","733,500,000","776,200,000","727,700,000","675,600,000","670,100,000","672,700,000","606,800,000","589,000,000","546,400,000","571,600,000","565,000,000","530,300,000","525,700,000","538,100,000","513,800,000","510,300,000","520,400,000","551,700,000","540,900,000","538,200,000","538,800,000","560,700,000","537,600,000","535,400,000","534,700,000","533,700,000","501,800,000","478,700,000","434,700,000","428,900,000","411,700,000","411,000,000","382,700,000","384,900,000","370,200,000","360,600,000","364,300,000","332,400,000","314,800,000","301,300,000","293,100,000","290,700,000","281,100,000","266,300,000","262,800,000","256,500,000","250,100,000","239,200,000","237,600,000","260,100,000","231,100,000","224,700,000","222,400,000","217,400,000","217,200,000","214,100,000","204,800,000","202,400,000","199,300,000","179,600,000","171,100,000","173,900,000","170,100,000","163,900,000","157,000,000","150,800,000","146,900,000","148,800,000","141,600,000","142,600,000","135,200,000",,,,,,,,,,,,,,
PretaxIncome,"2,010,100,000","509,600,000","518,100,000","486,500,000","495,900,000","373,400,000","389,900,000","403,200,000","461,100,000","476,400,000","508,600,000","506,900,000","452,200,000","485,900,000","481,000,000","507,200,000","483,700,000","435,600,000","416,600,000","390,800,000","390,900,000","389,500,000","373,700,000","394,700,000","359,200,000","350,400,000","353,200,000","411,400,000","350,000,000","345,800,000","304,200,000","270,700,000","269,500,000","245,700,000","301,500,000","285,800,000","242,500,000","223,200,000","266,100,000","266,200,000","236,800,000","171,400,000","252,800,000","229,500,000","230,000,000","214,400,000","237,400,000","299,800,000","238,200,000","279,100,000","258,500,000","472,500,000","245,100,000","522,300,000","-252,800,000","428,100,000","578,100,000","167,700,000","301,100,000","309,700,000","282,300,000","242,100,000","250,500,000","281,200,000","250,400,000","218,900,000","226,000,000","231,100,000","211,800,000","199,000,000","168,600,000","194,400,000","192,500,000","197,900,000","173,300,000","118,100,000","138,800,000","141,900,000","143,200,000","190,800,000","193,100,000","153,300,000","190,200,000","197,400,000","191,000,000","188,100,000","184,800,000","185,500,000","171,700,000","161,400,000","158,100,000","152,200,000","144,800,000","140,600,000","137,900,000","134,200,000","130,000,000","124,000,000","124,600,000","114,900,000","108,400,000","100,900,000","99,300,000","95,100,000","92,100,000","87,000,000","85,300,000","77,100,000","71,300,000","53,300,000","70,400,000","71,600,000","66,200,000","60,600,000","59,700,000","56,500,000","57,200,000","53,600,000","53,100,000","51,000,000","48,800,000","41,400,000","39,600,000","42,100,000","40,500,000","35,900,000","38,200,000","34,600,000","31,000,000","34,900,000","28,300,000","32,300,000","29,400,000",,,,,,,,,,,,,,
TaxProvision,"464,800,000","103,200,000","122,400,000","118,400,000","120,800,000","132,500,000","95,400,000","89,900,000","100,500,000","105,300,000","124,000,000","117,500,000","105,100,000","76,000,000","106,500,000","116,800,000","102,100,000","79,000,000","118,200,000","122,900,000","114,800,000","123,000,000","116,100,000","134,000,000","117,400,000","111,100,000","118,600,000","142,200,000","119,300,000","101,800,000","99,700,000","88,800,000","88,100,000","76,000,000","95,000,000","94,700,000","78,500,000","55,500,000","87,300,000","86,600,000","75,600,000","41,200,000","82,400,000","77,500,000","79,000,000","57,300,000","81,800,000","100,200,000","81,000,000","78,800,000","70,600,000","158,300,000","83,300,000","180,000,000","-104,500,000","212,500,000","192,900,000","42,700,000","92,800,000","102,800,000","95,600,000","71,300,000","86,800,000","113,300,000","87,400,000","71,300,000","78,300,000","81,100,000","72,700,000","66,900,000","53,900,000","63,600,000","65,300,000","67,400,000","58,500,000","36,700,000","44,100,000","45,600,000","46,800,000","64,000,000","65,500,000","50,900,000","63,600,000","66,100,000","63,800,000","62,600,000","61,500,000","62,500,000","58,400,000","55,400,000","53,900,000","52,500,000","49,700,000","49,000,000","47,700,000","47,000,000","45,100,000","42,700,000","43,600,000","39,500,000","36,700,000","33,500,000","32,800,000","31,700,000","30,600,000","27,500,000","27,200,000","24,000,000","22,000,000","13,200,000","22,400,000","22,900,000","20,800,000","17,300,000","16,900,000","14,900,000","17,000,000","15,100,000","15,000,000","13,900,000","13,000,000","8,300,000","8,400,000","10,000,000","9,500,000","5,300,000","7,800,000","6,100,000","5,100,000","2,500,000","1,800,000","3,400,000","4,000,000",,,,,,,,,,,,,,
NetIncomeCommonStockholders,"1,490,600,000","388,800,000","379,500,000","360,200,000","355,200,000","234,700,000","275,000,000","305,100,000","326,200,000","361,000,000","362,700,000","379,700,000","325,500,000","398,200,000","353,100,000","379,500,000","359,100,000","345,200,000","276,700,000","257,600,000","250,900,000","255,700,000","246,900,000","250,200,000","231,800,000","229,600,000","225,000,000","259,300,000","221,100,000","230,700,000","201,000,000","178,800,000","178,500,000","166,900,000","203,000,000","187,900,000","161,500,000","157,700,000","178,800,000","179,600,000","161,200,000","123,100,000","170,400,000","152,000,000","151,000,000","151,500,000","155,600,000","199,600,000","157,200,000","195,000,000","187,900,000","226,100,000","138,800,000","330,300,000","-148,300,000","215,600,000","385,200,000","125,000,000","208,300,000","206,900,000","186,700,000","170,800,000","163,700,000","167,900,000","163,000,000","147,600,000","147,700,000","150,000,000","139,100,000","132,600,000","114,700,000","130,800,000","127,500,000","129,700,000","113,800,000","66,300,000","94,300,000","95,800,000","95,800,000","126,200,000","127,100,000","101,700,000","125,700,000","130,200,000","125,800,000","124,900,000","121,800,000","121,600,000","112,000,000","104,700,000","102,900,000","98,600,000","94,000,000","90,300,000","89,000,000","86,000,000","83,600,000","80,000,000","79,700,000","74,200,000","70,500,000","66,200,000","65,300,000","62,200,000","60,200,000","57,400,000","56,000,000","50,700,000","47,200,000","38,000,000","46,200,000","46,900,000","43,800,000","41,700,000","41,200,000","40,100,000","38,600,000","31,700,000","38,100,000","37,100,000","35,800,000","31,700,000","29,800,000","30,600,000","29,300,000","28,400,000","28,500,000","27,400,000","24,900,000","30,900,000","24,600,000","26,900,000","23,400,000",,,,,,,,,,,,,,
	NetIncome,"1,545,300,000","406,400,000","395,700,000","368,100,000","375,100,000","240,900,000","294,500,000","313,300,000","360,600,000","371,100,000","384,600,000","389,400,000","347,100,000","409,900,000","374,500,000","390,400,000","381,600,000","356,600,000","298,400,000","267,900,000","276,100,000","266,500,000","257,600,000","260,700,000","241,800,000","239,300,000","234,600,000","269,200,000","230,700,000","244,000,000","204,500,000","181,900,000","181,400,000","169,700,000","206,500,000","191,100,000","164,000,000","167,700,000","178,800,000","179,600,000","161,200,000","130,200,000","170,400,000","152,000,000","151,000,000","157,100,000","155,600,000","199,600,000","157,200,000","200,300,000","187,900,000","314,200,000","161,800,000","342,300,000","-148,300,000","215,600,000","385,200,000","125,000,000","208,300,000","206,900,000","186,700,000","170,800,000","163,700,000","167,900,000","163,000,000","147,600,000","147,700,000","150,000,000","139,100,000","132,600,000","114,700,000","130,800,000","127,500,000","129,700,000","113,800,000","66,600,000","94,700,000","96,300,000","96,400,000","126,800,000","127,600,000","102,400,000","126,600,000","131,300,000","127,200,000","125,500,000","123,300,000","123,000,000","113,300,000","106,000,000","104,200,000","99,700,000","95,100,000","91,600,000","90,200,000","87,200,000","84,900,000","81,300,000","81,000,000","75,400,000","71,700,000","67,400,000","66,500,000","63,400,000","61,500,000","59,500,000","58,100,000","53,100,000","49,300,000","40,100,000","48,000,000","48,700,000","45,400,000","43,300,000","42,800,000","41,600,000","40,200,000","38,500,000","38,100,000","37,100,000","35,800,000","33,100,000","31,200,000","32,100,000","31,000,000","30,600,000","30,400,000","28,500,000","25,900,000","32,400,000","26,500,000","28,900,000","25,400,000",,,,,,,,,,,,,,
		NetIncomeIncludingNoncontrollingInterests,"1,545,300,000","406,400,000","395,700,000","368,100,000","375,100,000","240,900,000","294,500,000","313,300,000","360,600,000","371,100,000","384,600,000","389,400,000","347,100,000","409,900,000","374,500,000","390,400,000","381,600,000","356,600,000","298,400,000","267,900,000","276,100,000","266,500,000","257,600,000","260,700,000","241,800,000","239,300,000","234,600,000","269,200,000","230,700,000","244,000,000","204,500,000","181,900,000","181,400,000","169,700,000","206,500,000","191,100,000","164,000,000","167,700,000","178,800,000","179,600,000","161,200,000","130,200,000","170,400,000","152,000,000","151,000,000","157,100,000","155,600,000","199,600,000","157,200,000","200,300,000","187,900,000","314,200,000","161,800,000","342,300,000","-148,300,000","215,600,000","385,200,000","125,000,000","208,300,000","206,900,000","186,700,000","170,800,000","163,700,000","167,900,000","163,000,000","147,600,000","147,700,000","150,000,000","139,100,000","132,600,000","114,700,000","130,800,000","127,500,000","129,700,000","113,800,000","66,600,000","94,700,000","96,300,000","96,400,000","126,800,000","127,600,000","102,400,000","126,600,000","131,300,000","127,200,000","125,500,000","123,300,000","123,000,000","113,300,000","106,000,000","104,200,000","99,700,000","95,100,000","91,600,000","90,200,000","87,200,000","84,900,000","81,300,000","81,000,000","75,400,000","71,700,000","67,400,000","66,500,000","63,400,000","61,500,000","59,500,000","58,100,000","53,100,000","49,300,000","40,100,000","48,000,000","48,700,000","45,400,000","43,300,000","42,800,000","41,600,000","40,200,000","38,500,000","38,100,000","37,100,000","35,800,000","33,100,000","31,200,000","32,100,000","31,000,000","30,600,000","30,400,000","28,500,000","25,900,000","32,400,000","26,500,000","28,900,000","25,400,000","42,000,000","25,500,000","22,000,000","19,800,000","-35,200,000","18,300,000","-62,900,000","14,700,000","14,700,000","13,900,000","12,000,000","11,700,000","11,300,000","10,200,000"
			NetIncomeContinuousOperations,"1,545,300,000","406,400,000","395,700,000","368,100,000","375,100,000","240,900,000","294,500,000","313,300,000","360,600,000","371,100,000","384,600,000","389,400,000","347,100,000","409,900,000","374,500,000","390,400,000","381,600,000","356,600,000","298,400,000","267,900,000","276,100,000","266,500,000","257,600,000","260,700,000","241,800,000","239,300,000","234,600,000","269,200,000","230,700,000","244,000,000","204,500,000","181,900,000","181,400,000","169,700,000","206,500,000","191,100,000","164,000,000","167,700,000","178,800,000","179,600,000","161,200,000","130,200,000","170,400,000","152,000,000","151,000,000","157,100,000","155,600,000","199,600,000","157,200,000","200,300,000","187,900,000","314,200,000","161,800,000","342,300,000","-148,300,000","215,600,000","385,200,000","125,000,000","208,300,000","206,900,000","186,700,000","170,800,000","163,700,000","167,900,000","163,000,000","147,600,000","147,700,000","150,000,000","139,100,000","132,100,000","114,700,000","130,800,000","127,200,000","130,500,000","114,800,000","81,400,000","94,700,000","96,300,000","96,400,000","126,800,000","127,600,000","102,400,000","126,600,000","131,300,000","127,200,000","125,500,000","123,300,000","123,000,000","113,300,000","106,000,000","104,200,000","99,700,000","95,100,000","91,600,000","90,200,000","87,200,000","84,900,000","81,300,000","81,000,000","75,400,000","71,700,000","67,400,000","66,500,000","63,400,000","61,500,000","59,500,000","58,100,000","53,100,000","49,300,000","40,100,000","48,000,000","48,700,000","45,400,000","43,300,000","42,800,000","41,600,000","40,200,000","38,500,000","38,100,000","37,100,000","35,800,000","33,100,000","31,200,000","32,100,000","31,000,000","30,600,000","30,400,000","28,500,000","25,900,000","32,400,000","26,500,000","28,900,000","25,400,000","42,000,000","25,500,000","22,000,000","19,800,000","-35,200,000","18,300,000","-62,900,000","14,700,000","14,700,000","13,900,000","12,000,000","11,700,000","11,300,000","10,200,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"500,000",,,"300,000","-800,000","-1,000,000","-14,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	PreferredStockDividends,"41,800,000","4,700,000","16,200,000","4,700,000","16,200,000","4,700,000","16,200,000","4,800,000","30,500,000","5,800,000","17,400,000","5,900,000","17,300,000","5,900,000","17,300,000","5,900,000","17,300,000","5,900,000","17,300,000","5,900,000","20,700,000","5,800,000","5,900,000","5,800,000","5,900,000","5,900,000","5,800,000","5,800,000","5,900,000","9,500,000",,,,,,,,,,,,,,,,,,,,,,,"23,000,000","12,000,000",,,,,,,,,,,,,,,,,,,,"0",,"300,000","400,000","500,000","600,000","600,000","500,000","700,000","900,000","1,100,000","1,400,000","600,000","1,500,000","1,400,000","1,300,000","1,300,000","1,300,000","1,100,000","1,100,000","1,300,000","1,200,000","1,200,000","1,300,000","1,300,000","1,300,000","1,200,000","1,200,000","1,200,000","1,200,000","1,200,000","1,300,000","2,100,000","2,100,000","2,400,000","2,100,000","2,100,000","1,800,000","1,800,000","1,600,000","1,600,000","1,600,000","1,500,000","1,600,000",,,,,"1,400,000","1,400,000","1,500,000","1,700,000","2,200,000","1,900,000","1,100,000","1,000,000","1,500,000","1,900,000","2,000,000","2,000,000",,,,,,,,,,,,,,
