name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"36,483,939,000","10,364,412,000","10,313,223,000","8,789,164,000","7,017,140,000","5,260,055,000","4,927,960,000","4,327,306,000","5,624,337,000","5,131,746,000","5,464,502,000","5,895,986,000","6,096,624,000","6,295,884,000","6,742,202,000","6,460,774,000","5,568,419,000","5,092,328,000","5,170,117,000","5,174,769,000","4,815,179,000","3,956,538,000","4,290,236,000","4,245,772,000","3,715,576,000","3,456,713,000","4,225,514,000","4,357,609,000","4,399,440,000","5,003,753,000","5,701,869,000","5,291,075,000","5,108,444,000","4,894,750,000","4,940,936,000","4,665,588,000","4,550,772,000","4,451,274,000","4,801,206,000","5,104,199,000","5,072,594,000","4,829,677,000","5,252,144,000","5,107,809,000","4,833,934,000","3,853,750,000","4,140,069,000","4,195,966,000","3,654,842,000","2,937,944,000","3,120,005,000","2,478,028,000","2,654,319,000","4,150,936,000","7,447,520,000","7,090,599,000","4,974,269,000","4,396,760,000","4,259,221,000","4,168,110,000","3,768,885,000","3,468,590,000","3,931,233,000","3,806,350,000","3,545,097,000","3,207,464,000","3,025,911,000","3,145,003,000","3,322,621,000","3,088,998,000","3,239,592,000","2,761,822,000","2,286,416,000","1,661,080,252","1,604,011,344","1,520,460,884","1,480,270,987","1,466,293,136","1,165,641,454","1,141,677,480","1,028,164,467","979,567,947","1,053,088,039","1,078,574,872","1,028,017,720","1,009,477,761","1,163,088,140","1,213,945,302","1,199,634,778","1,091,600,000","1,026,700,000","997,200,000","893,800,000","873,000,000","1,011,000,000","1,128,400,000","1,138,900,000","1,037,300,000","1,101,600,000","1,035,100,000","1,010,500,000","922,300,000","937,400,000","911,100,000","876,100,000","879,600,000","860,500,000","880,200,000","841,700,000","799,400,000","786,400,000","740,100,000","649,700,000","611,700,000","587,300,000","564,900,000","489,800,000","418,100,000","423,600,000","389,100,000","388,400,000","370,900,000","372,400,000","371,700,000","350,500,000","366,700,000","387,100,000","379,600,000","348,200,000","315,900,000","307,000,000","336,200,000","309,900,000","274,500,000","268,800,000","272,900,000","245,200,000","232,800,000","221,900,000","209,500,000","186,800,000","173,400,000","195,700,000","197,100,000","189,000,000","193,100,000","202,700,000"
	OperatingRevenue,"36,483,939,000","10,364,412,000","10,313,223,000","8,789,164,000","7,017,140,000","5,260,055,000","4,927,960,000","4,327,306,000","5,624,337,000","5,131,746,000","5,464,502,000","5,895,986,000","6,096,624,000","6,295,884,000","6,742,202,000","6,460,774,000","5,568,419,000","5,092,328,000","5,170,117,000","5,174,769,000","4,815,179,000","3,956,538,000","4,290,236,000","4,245,772,000","3,715,576,000","3,456,713,000","4,225,514,000","4,357,609,000","4,399,440,000","5,003,753,000","5,701,869,000","5,291,075,000","5,108,444,000","4,894,750,000","4,940,936,000","4,665,588,000","4,550,772,000","4,451,274,000","4,801,206,000","5,104,199,000","5,072,594,000","4,829,677,000","5,252,144,000","5,107,809,000","4,833,934,000","3,853,750,000","4,140,069,000","4,195,966,000","3,654,842,000","2,937,944,000","3,120,005,000","2,478,028,000","2,654,319,000","4,150,936,000","7,447,520,000","7,090,599,000","4,974,269,000","4,396,760,000","4,259,221,000","4,168,110,000","3,768,885,000","3,468,590,000","3,931,233,000","3,806,350,000","3,545,097,000","3,207,464,000","3,025,911,000","3,145,003,000","3,322,621,000","3,088,998,000","3,239,592,000","2,761,822,000","2,286,416,000","1,661,080,252","1,604,011,344","1,520,460,884","1,480,270,987","1,466,293,136","1,165,641,454","1,141,677,480","1,028,164,467","979,567,947","1,053,088,039","1,078,574,872","1,028,017,720","1,009,477,761","1,163,088,140","1,213,945,302","1,199,634,778","1,091,600,000","1,026,700,000","997,200,000","893,800,000","873,000,000","1,011,000,000","1,128,400,000","1,138,900,000","1,037,300,000","1,101,600,000","1,035,100,000","1,010,500,000","922,300,000","937,400,000","911,100,000","876,100,000","879,600,000","860,500,000","880,200,000","841,700,000","799,400,000","786,400,000","740,100,000","649,700,000","611,700,000","587,300,000","564,900,000","489,800,000","418,100,000","423,600,000","389,100,000","388,400,000","370,900,000","372,400,000","371,700,000","350,500,000","366,700,000","387,100,000","379,600,000","348,200,000","315,900,000","307,000,000","336,200,000","309,900,000","274,500,000","268,800,000","272,900,000","245,200,000","232,800,000","221,900,000","209,500,000","186,800,000","173,400,000","195,700,000","197,100,000","189,000,000","193,100,000","202,700,000"
CostOfRevenue,"25,458,525,000","6,841,211,000","6,906,950,000","6,315,661,000","5,394,703,000","4,541,527,000","4,425,765,000","3,949,347,000","4,995,069,000","4,696,558,000","4,891,991,000","5,120,492,000","5,200,732,000","5,183,622,000","5,452,052,000","5,294,184,000","4,842,013,000","4,571,760,000","4,591,153,000","4,465,144,000","4,054,929,000","3,408,175,000","3,665,900,000","3,679,512,000","3,428,628,000","3,073,875,000","3,701,678,000","3,971,303,000","4,111,158,000","4,489,882,000","5,102,283,000","4,875,208,000","4,731,242,000","4,509,009,000","4,532,393,000","4,352,463,000","4,247,556,000","4,066,926,000","4,452,473,000","4,704,269,000","4,692,067,000","4,461,568,000","4,776,283,000","4,441,591,000","4,395,525,000","3,721,207,000","3,949,779,000","3,887,929,000","3,442,047,000","2,716,824,000","3,000,851,000","2,539,904,000","2,778,324,000","3,670,629,000","5,990,407,000","5,879,655,000","4,071,592,000","3,618,164,000","3,449,260,000","3,403,905,000","2,991,598,000","2,651,525,000","2,926,581,000","2,925,975,000","2,768,142,000","2,509,400,000","2,435,276,000","2,520,092,000","2,620,628,000","2,445,069,000","2,433,518,000","2,233,916,000","2,016,369,000","1,603,119,456","1,532,857,367","1,454,145,488","1,406,424,888","1,349,837,046","1,043,424,047","1,036,218,894","957,016,353","919,791,304","978,176,197","978,563,139","943,772,386","1,050,194,578","941,346,754","970,739,610","963,197,598","835,900,000","810,600,000","820,200,000","757,200,000","671,900,000","809,700,000","916,500,000","940,600,000","826,900,000","882,000,000","830,000,000","821,100,000","712,600,000","769,400,000","750,600,000","724,400,000","683,400,000","688,500,000","692,800,000","661,600,000","603,200,000","608,200,000","590,900,000","531,800,000","502,800,000","476,000,000","460,400,000","404,300,000","334,300,000","345,400,000","318,800,000","321,100,000","300,300,000","307,800,000","311,000,000","290,200,000","299,500,000","313,900,000","309,600,000","285,000,000","257,900,000","251,000,000","271,500,000",,,,,,,,,,,,,,,
GrossProfit,"11,025,414,000","3,523,201,000","3,406,273,000","2,473,503,000","1,622,437,000","718,528,000","502,195,000","377,959,000","629,268,000","435,188,000","572,511,000","775,494,000","895,892,000","1,112,262,000","1,290,150,000","1,166,590,000","726,406,000","520,568,000","578,964,000","709,625,000","760,250,000","548,363,000","624,336,000","566,260,000","286,948,000","382,838,000","523,836,000","386,306,000","288,282,000","513,871,000","599,586,000","415,867,000","377,202,000","385,741,000","408,543,000","313,125,000","303,216,000","384,348,000","348,733,000","399,930,000","380,527,000","368,109,000","475,861,000","666,218,000","438,409,000","132,543,000","190,290,000","308,037,000","212,795,000","221,120,000","119,154,000","-61,876,000","-124,005,000","480,307,000","1,457,113,000","1,210,944,000","902,677,000","778,596,000","809,961,000","764,205,000","777,287,000","817,065,000","1,004,652,000","880,375,000","776,955,000","698,064,000","590,635,000","624,911,000","701,993,000","643,929,000","806,074,000","527,906,000","270,047,000","57,960,796","71,153,977","66,315,396","73,846,099","116,456,090","122,217,407","105,458,586","71,148,114","59,776,643","74,911,842","100,011,733","84,245,334","-40,716,817","221,741,386","243,205,692","236,437,180","255,700,000","216,100,000","177,000,000","136,600,000","201,100,000","201,300,000","211,900,000","198,300,000","210,400,000","219,600,000","205,100,000","189,400,000","209,700,000","168,000,000","160,500,000","151,700,000","196,200,000","172,000,000","187,400,000","180,100,000","196,200,000","178,200,000","149,200,000","117,900,000","108,900,000","111,300,000","104,500,000","85,500,000","83,800,000","78,200,000","70,300,000","67,300,000","70,600,000","64,600,000","60,700,000","60,300,000","67,200,000","73,200,000","70,000,000","63,200,000","58,000,000","56,000,000","64,700,000",,,,,,,,,,,,,,,
OperatingExpense,"1,706,609,000","502,070,000","526,345,000","387,070,000","291,124,000","154,119,000","165,513,000","142,017,000","153,392,000","162,228,000","159,301,000","208,980,000","180,739,000","209,300,000","234,081,000","234,381,000","182,960,000","168,102,000","172,792,000","170,211,000","176,426,000","156,082,000","169,223,000","161,711,000","109,745,000","81,497,000","124,339,000","128,592,000","124,561,000","127,347,000","152,604,000","132,813,000","133,434,000","117,403,000","125,126,000","123,150,000","116,225,000","111,768,000","116,653,000","112,686,000","107,119,000","93,860,000","151,453,000","145,747,000","129,588,000","-123,447,000","164,238,000","115,142,000","92,594,000","92,605,000","105,913,000","106,925,000","125,376,000","145,343,000","215,755,000","220,172,000","169,714,000","147,159,000","145,470,000","148,925,000","136,210,000","142,207,000","160,464,000","146,602,000","154,100,000","147,382,000","118,130,000","102,619,000","125,429,000","96,052,000","131,573,000","110,006,000","77,399,000","34,742,869","44,497,217","45,938,117","40,190,832","49,434,738","47,673,315","41,206,520","37,273,774","16,764,027","41,575,307","45,540,252","34,679,902","-160,554,242","115,338,157","115,523,833","112,867,809","109,100,000","111,300,000","97,900,000","93,100,000","103,000,000","100,400,000","99,900,000","97,800,000","92,000,000","94,700,000","90,300,000","87,100,000","78,700,000","78,100,000","74,600,000","71,200,000","77,400,000","74,900,000","78,100,000","74,100,000","66,900,000","75,200,000","68,600,000","60,300,000","50,100,000","54,900,000","54,400,000","50,500,000","44,000,000","45,800,000","42,800,000","42,000,000","39,200,000","41,200,000","40,600,000","39,600,000","37,300,000","40,600,000","39,800,000","37,800,000","31,600,000","37,300,000","38,700,000",,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"1,706,609,000","502,070,000","526,345,000","387,070,000","291,124,000","154,119,000","165,513,000","142,017,000","153,392,000","162,228,000","159,301,000","208,980,000","180,739,000","209,300,000","234,081,000","234,381,000","182,960,000","168,102,000","172,792,000","170,211,000","176,426,000","156,082,000","169,223,000","161,711,000","109,745,000","81,497,000","124,339,000","128,592,000","124,561,000","127,347,000","152,604,000","132,813,000","133,434,000","117,403,000","125,126,000","123,150,000","116,225,000","120,861,000","114,392,000","112,528,000","107,119,000","108,050,000","140,206,000","147,014,000","125,378,000","102,145,000","88,866,000","107,770,000","92,594,000","10,264,000","105,913,000","106,925,000","125,376,000","145,343,000","215,755,000","220,172,000","169,714,000","147,159,000","145,470,000","148,925,000","136,210,000","142,207,000","160,464,000","146,602,000","154,100,000","147,382,000","118,130,000","102,619,000","125,429,000","96,052,000","131,573,000","110,006,000","77,399,000","34,742,869","44,497,217","45,938,117","40,190,832","49,434,738","47,673,315","41,206,520","37,273,774","16,764,027","41,575,307","45,540,252","34,679,902","41,716,987","47,950,645","49,192,519","44,315,406","44,100,000","45,600,000","33,700,000","31,400,000","28,400,000","40,600,000","40,100,000","38,900,000","32,600,000","40,500,000","38,100,000","34,100,000","27,000,000","32,500,000","31,900,000","29,000,000","27,600,000","33,500,000","35,800,000","33,700,000","22,400,000","35,600,000","30,500,000","24,800,000","18,700,000","24,700,000","23,100,000","21,100,000","18,800,000","21,200,000","19,300,000","17,500,000","17,500,000","17,500,000","16,800,000","15,200,000","16,500,000","19,100,000","18,300,000","16,600,000","17,200,000","17,400,000","17,500,000",,,,,,,,,,,,,,,
		SellingAndMarketingExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"92,594,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"67,387,512","66,331,314","68,552,403","65,000,000","65,700,000","64,200,000","61,700,000","74,600,000","59,800,000","59,800,000","58,900,000","59,400,000","54,200,000","52,200,000","53,000,000","51,700,000","45,600,000","42,700,000","42,200,000","49,800,000","41,400,000","42,300,000","40,400,000","44,500,000","39,600,000","38,100,000","35,500,000","31,400,000","30,200,000","31,300,000","29,400,000","25,200,000","24,600,000","23,500,000","24,500,000","21,700,000","23,700,000","23,800,000","24,400,000","20,800,000","21,500,000","21,500,000","21,200,000","14,400,000","19,900,000","21,200,000",,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"67,387,512","66,331,314","68,552,403","65,000,000","65,700,000","64,200,000","61,700,000","74,600,000","59,800,000","59,800,000","58,900,000","59,400,000","54,200,000","52,200,000","53,000,000","51,700,000","45,600,000","42,700,000","42,200,000","49,800,000","41,400,000","42,300,000","40,400,000","44,500,000","39,600,000","38,100,000","35,500,000","31,400,000","30,200,000","31,300,000","29,400,000","25,200,000","24,600,000","23,500,000","24,500,000","21,700,000","23,700,000","23,800,000","24,400,000","20,800,000","21,500,000","21,500,000","21,200,000","14,400,000","19,900,000","21,200,000",,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,261,000","158,000","6,674,000",,"11,247,000","-1,267,000","4,210,000",,"75,372,000","7,372,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
