name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,11/30/1999,08/31/1999,05/31/1999,02/28/1999,11/30/1998,08/31/1998,05/31/1998,02/28/1998,11/30/1997,08/31/1997,05/31/1997,02/28/1997,11/30/1996,08/31/1996,05/31/1996,02/29/1996,11/30/1995,08/31/1995,05/31/1995,02/28/1995,11/30/1994,08/31/1994,05/31/1994,02/28/1994,11/30/1993,08/31/1993,05/31/1993,02/28/1993,11/30/1992,08/31/1992,05/31/1992,02/29/1992,11/30/1991,08/31/1991,05/31/1991,02/28/1991,11/30/1990,08/31/1990,05/31/1990,02/28/1990,11/30/1989,08/31/1989,05/31/1989,02/28/1989,11/30/1988,08/31/1988,05/31/1988,02/29/1988,11/30/1987,08/31/1987,05/31/1987,02/28/1987,11/30/1986,08/31/1986,05/31/1986,02/28/1986,11/30/1985,08/31/1985
TotalRevenue,"16,540,309,000","5,420,491,000","4,536,175,000","3,388,964,000","3,194,679,000","2,570,577,000","2,174,264,000","1,660,729,000","2,136,672,000","2,663,606,000","2,263,228,000","2,457,575,000","2,779,958,000","3,136,700,000","3,393,890,000","2,960,529,000","3,102,077,000","3,792,158,000","2,906,366,000","2,725,772,000","2,749,611,000","2,654,461,000","2,357,907,000","2,134,107,000","1,774,459,000","1,930,902,000","1,898,946,000","2,128,052,000","1,805,306,000","2,844,768,000","3,120,145,000","3,066,882,000","3,163,296,000","4,140,111,000","3,571,925,000","3,349,236,000","3,541,445,000","3,659,924,000","3,028,775,000","2,529,260,000","3,414,600,000","3,829,239,000","3,595,191,000","3,514,476,000","3,866,888,000","3,356,249,000","2,942,703,000","2,807,131,000","3,923,967,000","3,729,461,000","2,364,736,000","2,227,627,000","2,789,827,000","2,843,245,000","4,239,246,000","4,172,866,000","4,902,076,000","3,984,968,000","2,809,997,000","2,871,304,000","3,799,006,000","3,067,680,000","2,640,877,000","2,431,907,000","3,918,322,000","4,696,193,000","3,192,206,000","2,121,120,000","2,752,863,000","2,598,604,000","1,726,762,000","632,139,000","1,030,575,000","849,028,000","568,270,000","466,539,000","1,085,221,000","555,611,000","465,393,000","1,171,444,000","1,465,658,000","1,317,127,000","1,127,189,000","1,402,399,000","2,956,256,000","2,672,468,000","1,754,790,000","1,387,130,000","823,949,000","533,482,000","457,092,000","418,080,000","592,664,000","387,471,000","355,140,000","444,048,000","722,054,000","314,160,000","207,900,000","231,600,000","473,700,000","248,800,000","231,400,000","289,700,000","464,700,000","238,500,000","191,800,000","304,500,000","287,300,000","166,300,000","129,300,000","190,500,000","295,400,000","177,200,000","128,200,000","187,500,000","313,900,000","159,500,000","107,100,000","150,500,000","264,600,000","154,800,000","122,000,000","146,500,000","279,800,000","141,100,000","105,100,000","155,100,000","266,400,000","141,400,000","104,700,000","143,400,000","242,000,000","128,200,000","7,600,000","133,700,000","230,100,000","111,100,000","88,900,000","123,700,000","230,900,000","143,500,000","108,200,000","166,100,000","289,600,000","172,900,000","174,200,000"
	OperatingRevenue,"16,540,309,000","5,420,491,000","4,536,175,000","3,388,964,000","3,194,679,000","2,570,577,000","2,174,264,000","1,660,729,000","2,136,672,000","2,663,606,000","2,263,228,000","2,457,575,000","2,779,958,000","3,136,700,000","3,393,890,000","2,960,529,000","3,102,077,000","3,792,158,000","2,906,366,000","2,725,772,000","2,749,611,000","2,654,461,000","2,357,907,000","2,134,107,000","1,774,459,000","1,930,902,000","1,898,946,000","2,128,052,000","1,805,306,000","2,844,768,000","3,120,145,000","3,066,882,000","3,163,296,000","4,140,111,000","3,571,925,000","3,349,236,000","3,541,445,000","3,659,924,000","3,028,775,000","2,529,260,000","3,414,600,000","3,829,239,000","3,595,191,000","3,514,476,000","3,866,888,000","3,356,249,000","2,942,703,000","2,807,131,000","3,923,967,000","3,729,461,000","2,364,736,000","2,227,627,000","2,789,827,000","2,843,245,000","4,239,246,000","4,172,866,000","4,902,076,000","3,984,968,000","2,809,997,000","2,871,304,000","3,799,006,000","3,067,680,000","2,640,877,000","2,431,907,000","3,918,322,000","4,696,193,000","3,192,206,000","2,121,120,000","2,752,863,000","2,598,604,000","1,726,762,000","632,139,000","1,030,575,000","849,028,000","568,270,000","466,539,000","1,085,221,000","555,611,000","465,393,000","1,171,444,000","1,465,658,000","1,317,127,000","1,127,189,000","1,402,399,000","2,956,256,000","2,672,468,000","1,754,790,000","1,387,130,000","823,949,000","533,482,000","457,092,000","418,080,000","592,664,000","387,471,000","355,140,000","444,048,000","722,054,000","314,160,000","207,900,000","231,600,000","473,700,000","248,800,000","231,400,000","289,700,000","464,700,000","238,500,000","191,800,000","304,500,000","287,300,000","166,300,000","129,300,000","190,500,000","295,400,000","177,200,000","128,200,000","187,500,000","313,900,000","159,500,000","107,100,000","150,500,000","264,600,000","154,800,000","122,000,000","146,500,000","279,800,000","141,100,000","105,100,000","155,100,000","266,400,000","141,400,000","104,700,000","143,400,000","242,000,000","128,200,000","7,600,000","133,700,000","230,100,000","111,100,000","88,900,000","123,700,000","230,900,000","143,500,000","108,200,000","166,100,000","289,600,000","172,900,000","174,200,000"
CostOfRevenue,"12,878,356,000","4,472,157,000","3,603,669,000","2,523,900,000","2,278,630,000","1,779,734,000","1,418,919,000","1,080,874,000","1,409,281,000","1,917,324,000","1,535,958,000","1,740,758,000","2,070,535,000","2,428,748,000","2,668,148,000","2,282,106,000","2,472,263,000","3,177,533,000","2,331,714,000","2,191,871,000","2,243,262,000","2,120,780,000","1,850,143,000","1,626,570,000","1,290,216,000","1,426,665,000","1,449,108,000","1,690,080,000","1,429,819,000","2,361,828,000","2,657,792,000","2,643,529,000","2,720,083,000","3,596,491,000","3,105,004,000","2,987,702,000","3,008,214,000","3,391,448,000","2,474,803,000","1,980,298,000","2,771,013,000","3,138,070,000","3,061,198,000","2,992,828,000","3,233,339,000","2,812,474,000","2,491,333,000","2,349,054,000","3,304,648,000","3,149,206,000","1,912,882,000","1,795,201,000","2,238,416,000","2,369,484,000","3,784,220,000","3,752,038,000","4,316,164,000","3,447,569,000","2,469,837,000","2,504,795,000","3,234,379,000","2,596,571,000","2,291,891,000","2,030,258,000","3,343,173,000","4,300,915,000","2,849,705,000","1,857,789,000","2,353,298,000","2,223,270,000","1,480,662,000","402,087,000","637,816,000","542,320,000","373,888,000","234,103,000","675,563,000","367,640,000","240,195,000","916,525,000","1,158,086,000","1,122,914,000","923,940,000","1,208,355,000","2,688,661,000","2,466,454,000","1,578,981,000","1,020,233,000","558,296,000","338,994,000","293,627,000","259,273,000","363,288,000","239,836,000","248,399,000","287,633,000","474,704,000","209,273,000","81,300,000","138,000,000","344,100,000","147,400,000","151,200,000","181,400,000","323,800,000","151,300,000","112,100,000","210,100,000","163,500,000","82,200,000","56,800,000","108,500,000","179,900,000","87,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"3,661,953,000","948,334,000","932,506,000","865,064,000","916,049,000","790,843,000","755,345,000","579,855,000","727,391,000","746,282,000","727,270,000","716,817,000","709,423,000","707,952,000","725,742,000","678,423,000","629,814,000","614,625,000","574,652,000","533,901,000","506,349,000","533,681,000","507,764,000","507,537,000","484,243,000","504,237,000","449,838,000","437,972,000","375,487,000","482,940,000","462,353,000","423,353,000","443,213,000","543,620,000","466,921,000","361,534,000","533,231,000","268,476,000","553,972,000","548,962,000","643,587,000","691,169,000","533,993,000","521,648,000","633,549,000","543,775,000","451,370,000","458,077,000","619,319,000","580,255,000","451,854,000","432,426,000","551,411,000","473,761,000","455,026,000","420,828,000","585,912,000","537,399,000","340,160,000","366,509,000","564,627,000","471,109,000","348,986,000","401,649,000","575,149,000","395,278,000","342,501,000","263,331,000","399,565,000","375,334,000","246,100,000","230,052,000","392,759,000","306,708,000","194,382,000","232,436,000","409,658,000","187,971,000","225,198,000","254,919,000","307,572,000","194,213,000","203,249,000","194,044,000","267,595,000","206,014,000","175,809,000","366,897,000","265,653,000","194,488,000","163,465,000","158,807,000","229,376,000","147,635,000","106,741,000","156,415,000","247,350,000","104,887,000","126,600,000","93,600,000","129,600,000","101,400,000","80,200,000","108,300,000","140,900,000","87,200,000","79,700,000","94,400,000","123,800,000","84,100,000","72,500,000","82,000,000","115,500,000","90,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"1,067,088,000","296,115,000","265,117,000","254,259,000","251,597,000","249,771,000","204,929,000","224,464,000","207,040,000","259,275,000","245,135,000","237,713,000","240,741,000","236,340,000","230,371,000","230,153,000","210,204,000","216,809,000","207,050,000","217,805,000","191,922,000","204,179,000","184,151,000","191,839,000","177,015,000","184,786,000","164,177,000","165,350,000","179,018,000","181,259,000","172,495,000","172,022,000","149,111,000","260,538,000","236,862,000","233,630,000","259,423,000","-24,977,000","310,639,000","315,849,000","307,467,000","328,881,000","285,043,000","304,519,000","303,003,000","306,258,000","280,592,000","279,091,000","281,201,000","308,760,000","276,896,000","281,384,000","259,072,000","256,068,000","264,157,000","247,812,000","252,802,000","281,688,000","237,449,000","230,395,000","238,529,000","268,523,000","229,451,000","247,168,000","263,601,000","222,217,000","219,287,000","194,700,000","199,974,000","193,541,000","186,597,000","176,446,000","197,651,000","186,910,000","162,562,000","170,427,000","177,221,000","113,022,000","155,934,000","170,602,000","164,624,000","169,702,000","147,024,000","122,102,000","125,217,000","105,851,000","126,728,000","289,265,000","158,596,000","148,411,000","144,184,000","113,641,000","104,239,000","112,643,000","113,577,000","106,365,000","116,101,000","76,401,000","128,000,000","63,700,000","58,400,000","72,700,000","82,000,000","80,400,000","69,400,000","64,400,000","75,700,000","71,200,000","68,000,000","62,200,000","70,900,000","65,400,000","63,700,000","68,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"81,434,000","84,586,000","83,409,000","77,959,000","75,986,000","78,824,000","79,391,000","76,717,000","77,234,000","75,510,000","77,856,000","73,298,000","72,318,000","71,249,000","72,126,000","64,498,000","60,249,000","59,701,000","59,479,000","59,506,000","56,364,000","55,644,000","56,450,000","56,654,000","55,468,000","67,094,000","69,426,000","48,342,000","48,142,000","52,165,000","51,496,000","48,452,000","47,307,000","46,226,000","46,740,000","40,620,000","40,105,000","39,709,000","40,427,000","17,899,000","44,732,000","44,976,000","40,236,000","43,177,000","39,322,000","37,856,000","36,955,000","35,795,000","36,068,000","37,161,000","34,327,000","32,547,000","33,162,000","33,607,000","31,797,000","31,138,000","30,901,000","26,799,000","27,265,000","17,194,000","18,800,000","19,700,000","19,000,000","17,000,000","16,500,000","29,800,000","13,200,000","13,500,000","9,200,000","13,800,000","14,400,000","13,000,000","14,900,000","12,500,000","13,000,000","13,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"81,434,000","84,586,000","83,409,000","77,959,000","75,986,000","78,824,000","79,391,000","76,717,000","77,234,000","75,510,000","77,856,000","73,298,000","72,318,000","71,249,000","72,126,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherTaxes,"166,668,000","40,536,000","39,753,000","41,940,000","44,439,000","27,377,000","31,381,000","34,326,000","31,944,000","27,899,000","26,830,000","30,937,000","33,490,000","22,659,000","24,124,000","28,116,000","29,023,000","22,298,000","24,641,000","24,304,000","27,153,000","24,320,000","18,487,000","24,172,000","21,870,000","21,217,000","17,198,000","24,481,000","24,687,000","15,573,000","19,087,000","18,699,000","22,385,000","24,328,000","27,843,000","30,337,000","35,820,000","21,420,000","23,157,000","27,137,000","31,177,000","17,631,000","22,122,000","25,898,000","29,006,000","23,572,000","19,465,000","25,103,000","23,073,000","25,608,000","24,900,000","25,261,000","25,227,000","16,236,000","24,068,000","16,680,000","25,331,000","23,618,000","20,733,000","17,925,000","23,659,000","20,321,000","19,482,000","19,901,000","26,190,000","16,403,000","18,114,000","17,648,000","19,400,000","14,333,000","15,290,000","16,574,000","20,535,000","16,170,000","16,024,000","16,598,000","24,351,000","9,567,000","14,594,000","15,528,000","15,322,000","15,624,000","15,209,000","14,978,000","16,065,000","13,709,000","15,239,000","12,116,000","12,239,000","11,043,000","10,676,000","9,494,000","10,171,000","9,374,000","8,041,000","9,768,000","9,963,000","5,445,000","5,500,000","6,000,000","5,900,000","5,100,000","5,500,000","5,400,000","5,800,000","4,800,000","4,700,000","5,200,000","5,600,000","4,900,000","4,900,000","4,800,000","4,900,000","4,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"206,048,000","204,126,000","192,881,000",,"186,935,000","199,797,000","194,606,000",,"167,767,000","178,478,000","180,272,000","209,854,000","179,678,000","184,874,000","161,719,000","175,334,000","179,840,000","171,431,000","167,992,000","198,564,000","160,352,000","156,826,000","158,420,000","191,548,000","154,501,000","160,173,000","167,985,000","157,472,000","153,031,000","124,887,000","129,078,000","130,756,000","124,000,000","113,646,000","130,376,000","130,120,000","106,433,000","114,120,000","112,443,000","85,556,000","96,608,000","110,098,000","109,066,000","110,901,000","92,493,000","69,268,000","72,197,000","56,347,000","75,421,000","239,988,000","112,030,000","104,821,000","100,346,000","70,540,000","62,271,000","72,131,000","74,635,000","69,798,000","78,873,000","53,762,000","103,700,000","38,000,000","33,500,000","50,600,000","60,000,000","45,200,000","50,400,000","46,100,000","61,800,000","52,200,000","48,000,000","44,300,000","51,100,000","48,100,000","45,800,000","51,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"2,594,865,000","652,219,000","667,389,000","610,805,000","664,452,000","541,072,000","550,416,000","355,391,000","520,351,000","487,007,000","482,135,000","479,104,000","468,682,000","471,612,000","495,371,000","448,270,000","419,610,000","397,816,000","367,602,000","316,096,000","314,427,000","329,502,000","323,613,000","315,698,000","307,228,000","319,451,000","285,661,000","272,622,000","196,469,000","301,681,000","289,858,000","251,331,000","294,102,000","283,082,000","230,059,000","127,904,000","273,808,000","293,453,000","243,333,000","233,113,000","336,120,000","362,288,000","248,950,000","217,129,000","330,546,000","237,517,000","170,778,000","178,986,000","338,118,000","271,495,000","174,958,000","151,042,000","292,339,000","217,693,000","190,869,000","173,016,000","333,110,000","255,711,000","102,711,000","136,114,000","326,098,000","202,586,000","119,535,000","154,481,000","311,548,000","173,061,000","123,214,000","68,631,000","199,591,000","181,793,000","59,503,000","53,606,000","195,108,000","119,798,000","31,820,000","62,009,000","232,437,000","74,949,000","69,264,000","84,317,000","142,948,000","24,511,000","56,225,000","71,942,000","142,378,000","100,163,000","49,081,000","77,632,000","107,057,000","46,077,000","19,281,000","45,166,000","125,137,000","34,992,000","-6,836,000","50,050,000","131,249,000","28,486,000","-1,400,000","29,900,000","71,200,000","28,700,000","-1,800,000","27,900,000","71,500,000","22,800,000","4,000,000","23,200,000","55,800,000","21,900,000","1,600,000","16,600,000","51,800,000","21,400,000","128,200,000","187,500,000","313,900,000","159,500,000","107,100,000","150,500,000","264,600,000","154,800,000","122,000,000","146,500,000","279,800,000","141,100,000","105,100,000","155,100,000","266,400,000","141,400,000","104,700,000","143,400,000","242,000,000","128,200,000","7,600,000","133,700,000","230,100,000","111,100,000","88,900,000","123,700,000","230,900,000","143,500,000","108,200,000","166,100,000","289,600,000","172,900,000","174,200,000"
