name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"14,289,400,000","3,855,800,000","3,435,000,000","3,571,600,000","3,426,900,000","3,757,000,000","3,206,500,000","2,800,700,000","3,406,900,000","4,141,200,000","3,623,800,000","3,719,800,000","3,468,900,000","4,086,700,000","3,714,300,000","3,859,600,000","3,629,600,000","4,176,500,000","3,719,500,000","3,790,100,000","3,587,400,000","4,241,800,000","3,791,100,000","3,884,900,000","3,499,100,000","4,153,300,000","3,706,600,000","3,805,300,000","3,469,200,000","4,195,100,000","3,749,600,000","3,870,900,000","3,502,200,000","4,058,100,000","3,490,500,000","3,637,000,000","3,398,900,000","3,944,600,000","3,406,600,000","3,561,000,000","3,307,300,000","3,852,900,000","3,380,900,000","3,487,400,000","3,151,300,000","3,586,800,000","2,994,600,000","3,041,200,000","2,920,000,000","3,265,800,000","2,837,600,000","2,870,700,000","2,746,600,000","3,371,400,000","3,316,200,000","3,476,900,000","3,195,400,000","3,625,900,000","3,101,400,000","3,126,100,000","2,840,600,000","3,216,200,000","2,774,300,000","2,823,400,000","2,562,900,000","2,939,400,000","2,522,900,000","2,615,800,000","2,403,000,000","2,789,100,000","2,319,000,000","2,407,800,000","2,231,400,000","2,506,048,000","2,028,603,000","2,149,508,000","1,937,245,000","2,118,845,000","1,768,459,000","1,916,569,000","1,732,426,000","1,970,473,000","1,571,012,000","1,746,788,000","1,601,134,000","1,802,447,000","1,452,523,000","1,520,245,000","1,379,015,000","1,502,400,000","1,210,900,000","1,270,400,000","1,146,900,000","1,197,900,000","981,600,000","1,051,500,000","861,000,000","895,000,000","746,800,000","786,300,000","696,600,000","751,900,000","631,800,000","666,500,000","567,000,000","650,500,000","537,700,000","526,000,000","459,900,000","532,200,000","422,300,000","425,200,000","376,500,000","456,100,000","339,500,000","381,800,000","321,200,000","401,000,000","327,800,000","347,600,000","308,900,000","376,300,000","275,400,000","301,800,000","282,800,000","323,800,000","281,600,000","298,500,000","274,300,000","292,600,000","246,600,000","232,000,000","216,400,000","248,000,000","204,800,000","223,600,000","205,000,000","248,400,000","185,600,000","200,300,000","177,200,000","211,700,000","178,500,000","60,800,000","54,800,000","64,600,000","49,400,000"
	OperatingRevenue,"14,289,400,000","3,855,800,000","3,435,000,000","3,571,600,000","3,426,900,000","3,757,000,000","3,206,500,000","2,800,700,000","3,406,900,000","4,141,200,000","3,623,800,000","3,719,800,000","3,468,900,000","4,086,700,000","3,714,300,000","3,859,600,000","3,629,600,000","4,176,500,000","3,719,500,000","3,790,100,000","3,587,400,000","4,241,800,000","3,791,100,000","3,884,900,000","3,499,100,000","4,153,300,000","3,706,600,000","3,805,300,000","3,469,200,000","4,195,100,000","3,749,600,000","3,870,900,000","3,502,200,000","4,058,100,000","3,490,500,000","3,637,000,000","3,398,900,000","3,944,600,000","3,406,600,000","3,561,000,000","3,307,300,000","3,852,900,000","3,380,900,000","3,487,400,000","3,151,300,000","3,586,800,000","2,994,600,000","3,041,200,000","2,920,000,000","3,265,800,000","2,837,600,000","2,870,700,000","2,746,600,000","3,371,400,000","3,316,200,000","3,476,900,000","3,195,400,000","3,625,900,000","3,101,400,000","3,126,100,000","2,840,600,000","3,216,200,000","2,774,300,000","2,823,400,000","2,562,900,000","2,939,400,000","2,522,900,000","2,615,800,000","2,403,000,000","2,789,100,000","2,319,000,000","2,407,800,000","2,231,400,000","2,506,048,000","2,028,603,000","2,149,508,000","1,937,245,000","2,118,845,000","1,768,459,000","1,916,569,000","1,732,426,000","1,970,473,000","1,571,012,000","1,746,788,000","1,601,134,000","1,802,447,000","1,452,523,000","1,520,245,000","1,379,015,000","1,502,400,000","1,210,900,000","1,270,400,000","1,146,900,000","1,197,900,000","981,600,000","1,051,500,000","861,000,000","895,000,000","746,800,000","786,300,000","696,600,000","751,900,000","631,800,000","666,500,000","567,000,000","650,500,000","537,700,000","526,000,000","459,900,000","532,200,000","422,300,000","425,200,000","376,500,000","456,100,000","339,500,000","381,800,000","321,200,000","401,000,000","327,800,000","347,600,000","308,900,000","376,300,000","275,400,000","301,800,000","282,800,000","323,800,000","281,600,000","298,500,000","274,300,000","292,600,000","246,600,000","232,000,000","216,400,000","248,000,000","204,800,000","223,600,000","205,000,000","248,400,000","185,600,000","200,300,000","177,200,000","211,700,000","178,500,000","60,800,000","54,800,000","64,600,000","49,400,000"
CostOfRevenue,"11,499,700,000","3,069,300,000","2,747,300,000","2,846,500,000","2,836,600,000","2,987,200,000","2,560,200,000","2,599,000,000","2,842,900,000","3,341,100,000","2,995,400,000","2,980,600,000","2,876,800,000","3,279,100,000","3,032,600,000","3,092,500,000","3,033,100,000","3,365,300,000","3,087,200,000","3,033,100,000","2,996,200,000","3,446,500,000","3,160,800,000","3,139,200,000","2,924,700,000","3,118,800,000","2,832,600,000","2,789,700,000","2,620,800,000","3,119,300,000","2,813,200,000","2,794,600,000","2,622,800,000","3,012,900,000","2,579,200,000","2,598,800,000","2,533,600,000","2,889,200,000","2,515,800,000","2,541,300,000","2,434,400,000","2,854,800,000","2,504,700,000","2,472,800,000","2,418,300,000","2,687,700,000","2,210,800,000","2,153,400,000","2,162,400,000","2,375,100,000","2,049,900,000","2,011,800,000","2,013,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-58,653,000","-57,338,000","-57,043,000","-52,636,000","-74,700,000","-29,000,000","-47,000,000","-45,000,000","-44,000,000","-42,200,000","-41,000,000","-27,200,000","-34,900,000","-29,800,000","-29,400,000","-26,000,000","-30,000,000","-24,500,000","-24,700,000","-20,500,000","-22,200,000","-28,500,000","-15,300,000","-18,800,000","-20,500,000","-22,900,000","-12,500,000","-16,400,000","-22,400,000","-13,400,000","100,500,000","89,200,000","100,400,000","95,300,000","97,300,000","85,200,000","97,800,000","78,100,000","83,900,000","73,200,000","82,000,000","80,300,000","82,100,000","75,400,000","325,300,000","78,500,000",,,,,,,,,,,,,,,,
GrossProfit,"2,789,700,000","786,500,000","687,700,000","725,100,000","590,300,000","769,800,000","646,300,000","201,700,000","564,000,000","800,100,000","628,400,000","739,200,000","592,100,000","807,600,000","681,700,000","767,100,000","596,500,000","811,200,000","632,300,000","757,000,000","591,200,000","795,300,000","630,300,000","745,700,000","574,400,000","1,034,500,000","874,000,000","1,015,600,000","848,400,000","1,075,800,000","936,400,000","1,076,300,000","879,400,000","1,045,200,000","911,300,000","1,038,200,000","865,300,000","1,055,400,000","890,800,000","1,019,700,000","872,900,000","998,100,000","876,200,000","1,014,600,000","733,000,000","899,100,000","783,800,000","887,800,000","757,600,000","890,700,000","787,700,000","858,900,000","732,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,861,100,000","1,509,861,000","1,577,288,000","1,431,651,000","1,577,100,000","1,239,900,000","1,317,400,000","1,191,900,000","1,241,900,000","1,023,800,000","1,092,500,000","888,200,000","929,900,000","776,600,000","815,700,000","722,600,000","781,900,000","656,300,000","691,200,000","587,500,000","672,700,000","566,200,000","541,300,000","478,700,000","552,700,000","445,200,000","437,700,000","392,900,000","478,500,000","352,900,000","281,300,000","232,000,000","300,600,000","232,500,000","250,300,000","223,700,000","278,500,000","197,300,000","217,900,000","209,600,000","241,800,000","201,300,000","216,400,000","198,900,000","-32,700,000","168,100,000",,,,,,,,,,,,,,,,
OperatingExpense,"591,800,000","164,000,000","146,100,000","156,700,000","124,900,000","155,100,000","144,900,000","139,200,000","143,800,000","153,700,000","155,100,000","165,500,000","163,200,000","180,400,000","179,400,000","184,800,000","174,800,000","191,100,000","168,100,000","191,500,000","181,300,000","193,400,000","177,200,000","183,900,000","182,300,000","459,000,000","445,700,000","477,000,000","470,700,000","505,200,000","502,800,000","526,100,000","489,700,000","480,800,000","503,800,000","515,200,000","493,600,000","507,400,000","503,500,000","513,300,000","510,400,000","510,700,000","502,800,000","526,500,000","410,900,000","459,500,000","469,700,000","472,400,000","466,600,000","491,100,000","492,900,000","460,800,000","450,400,000","2,923,000,000","2,942,800,000","2,960,100,000","2,844,600,000","3,094,100,000","2,751,200,000","2,664,500,000","2,525,100,000","2,742,000,000","2,466,900,000","2,406,000,000","2,278,500,000","2,513,300,000","2,248,400,000","2,233,800,000","2,145,700,000","2,394,200,000","2,071,600,000","2,064,100,000","2,002,100,000","2,135,784,000","1,794,192,000","1,812,863,000","1,713,891,000","1,785,470,000","1,557,068,000","1,586,079,000","1,503,567,000","1,666,889,000","1,388,802,000","1,455,682,000","1,409,850,000","1,582,668,000","1,327,607,000","1,323,571,000","1,267,964,000","1,345,200,000","1,092,700,000","1,106,900,000","1,057,300,000","1,066,800,000","912,900,000","917,700,000","789,000,000","803,100,000","696,800,000","692,900,000","648,600,000","677,200,000","596,700,000","590,000,000","527,900,000","584,900,000","520,400,000","460,600,000","430,900,000","485,900,000","410,100,000","372,800,000","355,100,000","423,400,000","326,800,000","224,700,000","200,700,000","252,600,000","202,300,000","205,000,000","200,600,000","234,800,000","172,000,000","179,100,000","182,100,000","204,900,000","179,400,000","173,900,000","173,400,000","-69,900,000","154,600,000",,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"379,700,000","109,800,000","95,000,000","103,200,000","71,600,000","101,300,000","90,200,000","82,100,000","86,800,000","97,500,000","97,200,000","107,700,000","103,600,000","119,100,000","113,500,000","117,400,000","105,400,000","121,400,000","99,500,000","120,400,000","108,600,000","120,800,000","104,100,000","110,900,000","108,100,000","459,000,000","445,700,000","477,000,000","470,700,000","505,200,000","502,800,000","526,100,000","489,700,000","480,800,000","503,800,000","515,200,000","493,600,000","507,400,000","503,500,000","513,300,000","510,400,000","510,700,000","502,800,000","526,500,000","410,900,000","459,500,000","469,700,000","472,400,000","466,600,000","491,100,000","492,900,000","460,800,000","450,400,000","2,923,000,000","2,942,800,000","2,960,100,000","2,844,600,000","3,094,100,000","2,751,200,000","2,664,500,000","2,525,100,000","2,742,000,000","2,466,900,000","2,406,000,000","2,278,500,000","2,513,300,000","2,248,400,000","2,233,800,000","2,145,700,000","2,394,200,000","2,071,600,000","2,064,100,000","2,002,100,000","2,135,784,000","1,794,192,000","1,812,863,000","1,713,891,000","1,785,470,000","1,557,068,000","1,586,079,000","1,503,567,000","1,666,889,000","1,388,802,000","1,455,682,000","1,409,850,000","1,524,015,000","1,270,269,000","1,266,528,000","1,215,328,000","1,270,500,000","1,063,700,000","1,059,900,000","1,012,300,000","1,022,800,000","870,600,000","876,700,000","761,800,000","768,200,000","667,000,000","663,500,000","622,600,000","647,200,000","572,200,000","565,300,000","507,400,000","562,700,000","491,900,000","445,300,000","412,100,000","465,400,000","387,200,000","360,300,000","338,700,000","401,000,000","313,400,000","211,600,000","189,000,000","238,900,000","190,300,000","193,200,000","189,100,000","222,800,000","161,600,000","168,500,000","168,900,000","191,500,000","167,600,000","163,200,000","162,900,000","-82,000,000","146,700,000",,,,,,,,,,,,,,,,
	ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"212,100,000","54,200,000","51,100,000","53,500,000","53,300,000","53,800,000","54,700,000","57,100,000","57,000,000","56,200,000","57,900,000","57,800,000","59,600,000","61,300,000","65,900,000","67,400,000","69,400,000","69,700,000","68,600,000","71,100,000","72,700,000","72,600,000","73,100,000","73,000,000","74,200,000",,,,,"30,000,000",,,,,,"25,300,000","25,400,000",,"27,300,000","24,000,000",,,"23,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"58,653,000","57,338,000","57,043,000","52,636,000","74,700,000","29,000,000","47,000,000","45,000,000","44,000,000","42,200,000","41,000,000","27,200,000","34,900,000","29,800,000","29,400,000","26,000,000","30,000,000","24,500,000","24,700,000","20,500,000","22,200,000","28,500,000","15,300,000","18,800,000","20,500,000","22,900,000","12,500,000","16,400,000","22,400,000","13,400,000","13,100,000","11,700,000","13,700,000","12,000,000","11,800,000","11,500,000","12,000,000","10,400,000","10,600,000","13,200,000","13,400,000","11,800,000","10,700,000","10,500,000","12,100,000","7,900,000",,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"212,100,000","54,200,000","51,100,000","53,500,000","53,300,000","53,800,000","54,700,000","57,100,000","57,000,000","56,200,000","57,900,000","57,800,000","59,600,000","61,300,000","65,900,000","67,400,000","69,400,000","69,700,000","68,600,000","71,100,000","72,700,000","72,600,000","73,100,000","73,000,000","74,200,000",,,,,"30,000,000",,,,,,"25,300,000","25,400,000",,"27,300,000","24,000,000",,,"23,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"58,653,000","57,338,000","57,043,000","52,636,000","74,700,000","29,000,000","47,000,000","45,000,000","44,000,000","42,200,000","41,000,000","27,200,000","34,900,000","29,800,000","29,400,000","26,000,000","30,000,000","24,500,000","24,700,000","20,500,000","22,200,000","28,500,000","15,300,000","18,800,000","20,500,000","22,900,000","12,500,000","16,400,000","22,400,000","13,400,000","13,100,000","11,700,000","13,700,000","12,000,000","11,800,000","11,500,000","12,000,000","10,400,000","10,600,000","13,200,000","13,400,000","11,800,000","10,700,000","10,500,000","12,100,000","7,900,000",,,,,,,,,,,,,,,,
			Amortization,,,,,,,,,,,,,,,,,,,,,,,,,"28,300,000",,,,,"30,000,000",,,,,,"25,300,000","25,400,000",,"27,300,000","24,000,000",,,"23,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
