name,ttm,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,11/30/2016,08/31/2016,05/31/2016,02/29/2016,11/30/2015,08/31/2015,05/31/2015,02/28/2015,11/30/2014,08/31/2014,05/31/2014,02/28/2014,11/30/2013,08/31/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005,11/30/2004,08/31/2004,05/31/2004,02/29/2004,11/30/2003,08/31/2003,05/31/2003,02/28/2003,11/30/2002,08/31/2002,05/31/2002,02/28/2002,11/30/2001,08/31/2001,05/31/2001,02/28/2001,11/30/2000,08/31/2000,05/31/2000,02/29/2000,11/30/1999,08/31/1999,05/31/1999,02/28/1999,11/30/1998,08/31/1998,05/31/1998,02/28/1998,11/30/1997,08/31/1997,05/31/1997,02/28/1997,11/30/1996,08/31/1996,05/31/1996,02/29/1996,11/30/1995,08/31/1995,05/31/1995,02/28/1995,11/30/1994,08/31/1994,05/31/1994,02/28/1994,11/30/1993,08/31/1993,05/31/1993,02/28/1993,11/30/1992,08/31/1992,05/31/1992,02/29/1992,11/30/1991,08/31/1991,05/31/1991,02/28/1991,11/30/1990,08/31/1990,05/31/1990,02/28/1990,11/30/1989,08/31/1989,05/31/1989,02/28/1989,11/30/1988,08/31/1988,05/31/1988,02/29/1988,11/30/1987,08/31/1987,05/31/1987,02/28/1987,11/30/1986,08/31/1986,05/31/1986,02/28/1986,11/30/1985,08/31/1985
TotalRevenue,"41,827,000,000","10,513,000,000","10,360,000,000","9,728,000,000","11,227,000,000","10,085,000,000","9,800,000,000","9,367,000,000","10,439,000,000","9,796,000,000","9,614,000,000","9,218,000,000","11,137,000,000","9,614,000,000","9,562,000,000","9,193,000,000","11,252,000,000","9,771,000,000","9,621,000,000","9,187,000,000","10,893,000,000","9,205,000,000","9,035,000,000","8,595,000,000","10,594,000,000","9,012,000,000","8,993,000,000","8,448,000,000","10,706,000,000","9,327,000,000","9,598,000,000","8,596,000,000","11,320,000,000","9,307,000,000","9,275,000,000","8,372,000,000","10,947,000,000","8,958,000,000","9,094,000,000","8,181,000,000","10,916,000,000","9,039,000,000","8,792,000,000","8,374,000,000","10,775,000,000","8,764,000,000","8,582,000,000","7,502,000,000","9,505,000,000","6,404,000,000","5,858,000,000","5,054,000,000","6,861,000,000","5,453,000,000","5,607,000,000","5,331,000,000","7,239,000,000","5,349,000,000","5,313,000,000","4,529,000,000","5,829,000,000","4,414,000,000","4,163,000,000","3,591,000,000","4,851,000,000","3,470,000,000","3,292,000,000","2,768,000,000","3,878,000,000","2,950,000,000","2,756,000,000","2,215,000,000","3,076,000,000","2,509,000,000","2,498,000,000","2,072,000,000","2,832,000,000","2,307,000,000","2,309,000,000","2,028,000,000","2,844,277,000","2,229,343,000","2,357,335,000","2,242,045,000","3,263,884,000","2,674,367,000","2,659,546,000","2,261,875,000","3,374,310,000","2,449,418,000","2,321,883,000","1,984,517,000","2,943,278,000","2,078,919,000","2,055,944,000","1,749,110,000","2,412,553,000","1,748,757,000","1,613,727,000","1,368,829,000","1,948,031,000","1,372,612,000","1,311,373,000","1,052,300,000","1,464,074,000","1,020,239,000","967,184,000","771,803,000","1,017,900,000","722,200,000","670,300,000","556,500,000","668,100,000","482,800,000","452,200,000","398,100,000","472,600,000","370,100,000","353,200,000","306,900,000","360,200,000","289,600,000","283,900,000","244,700,000","285,900,000","269,500,000","268,700,000","203,700,000","334,400,000","236,400,000","224,600,000","175,500,000","216,000,000","153,400,000","123,700,000","90,600,000","104,200,000","76,300,000","60,300,000","41,300,000","50,400,000","34,900,000","28,400,000","17,600,000","20,900,000","16,000,000","9,300,000","9,300,000"
	OperatingRevenue,"41,827,000,000","10,513,000,000","10,360,000,000","9,728,000,000","11,227,000,000","10,085,000,000","9,800,000,000","9,367,000,000","10,439,000,000","9,796,000,000","9,614,000,000","9,218,000,000","11,137,000,000","9,614,000,000","9,562,000,000","9,193,000,000","11,252,000,000","9,771,000,000","9,621,000,000","9,187,000,000","10,893,000,000","9,205,000,000","9,035,000,000","8,595,000,000","10,594,000,000","9,012,000,000","8,993,000,000","8,448,000,000","10,706,000,000","9,327,000,000","9,598,000,000","8,596,000,000","11,320,000,000","9,307,000,000","9,275,000,000","8,372,000,000","10,947,000,000","8,958,000,000","9,094,000,000","8,181,000,000","10,916,000,000","9,039,000,000","8,792,000,000","8,374,000,000","10,775,000,000","8,764,000,000","8,582,000,000","7,502,000,000","9,505,000,000","6,404,000,000","5,858,000,000","5,054,000,000","6,861,000,000","5,453,000,000","5,607,000,000","5,331,000,000","7,239,000,000","5,349,000,000","5,313,000,000","4,529,000,000","5,829,000,000","4,414,000,000","4,163,000,000","3,591,000,000","4,851,000,000","3,470,000,000","3,292,000,000","2,768,000,000","3,878,000,000","2,950,000,000","2,756,000,000","2,215,000,000","3,076,000,000","2,509,000,000","2,498,000,000","2,072,000,000","2,832,000,000","2,307,000,000","2,309,000,000","2,028,000,000","2,844,277,000","2,229,343,000","2,357,335,000","2,242,045,000","3,263,884,000","2,674,367,000","2,659,546,000","2,261,875,000","3,374,310,000","2,449,418,000","2,321,883,000","1,984,517,000","2,943,278,000","2,078,919,000","2,055,944,000","1,749,110,000","2,412,553,000","1,748,757,000","1,613,727,000","1,368,829,000","1,948,031,000","1,372,612,000","1,311,373,000","1,052,300,000","1,464,074,000","1,020,239,000","967,184,000","771,803,000","1,017,900,000","722,200,000","670,300,000","556,500,000","668,100,000","482,800,000","452,200,000","398,100,000","472,600,000","370,100,000","353,200,000","306,900,000","360,200,000","289,600,000","283,900,000","244,700,000","285,900,000","269,500,000","268,700,000","203,700,000","334,400,000","236,400,000","224,600,000","175,500,000","216,000,000","153,400,000","123,700,000","90,600,000","104,200,000","76,300,000","60,300,000","41,300,000","50,400,000","34,900,000","28,400,000","17,600,000","20,900,000","16,000,000","9,300,000","9,300,000"
CostOfRevenue,"8,602,000,000","2,218,000,000","2,159,000,000","2,103,000,000","2,122,000,000","1,915,000,000","1,939,000,000","1,880,000,000","1,969,000,000","1,964,000,000","2,048,000,000","1,957,000,000","2,063,000,000","1,976,000,000","2,001,000,000","1,953,000,000","2,179,000,000","2,002,000,000","1,965,000,000","1,933,000,000","2,003,000,000","1,892,000,000","1,797,000,000","1,776,000,000","1,936,000,000","1,839,000,000","1,853,000,000","1,850,000,000","2,053,000,000","1,900,000,000","1,899,000,000","1,681,000,000","2,207,000,000","1,676,000,000","1,719,000,000","1,633,000,000","1,828,000,000","1,716,000,000","1,794,000,000","1,775,000,000","2,006,000,000","1,908,000,000","1,956,000,000","1,988,000,000","2,169,000,000","2,012,000,000","2,157,000,000","2,062,000,000","2,242,000,000","1,419,000,000","832,000,000","782,000,000","1,179,000,000","1,111,000,000","1,196,000,000","1,308,000,000","1,341,000,000","1,243,000,000","1,238,000,000","1,159,000,000","1,159,000,000","1,030,000,000","1,025,000,000","980,000,000","964,000,000","790,000,000","757,000,000","723,000,000","790,000,000","716,000,000","590,000,000","555,000,000","980,000,000","439,000,000","455,000,000","563,000,000","580,000,000","574,000,000","599,000,000","589,000,000","638,822,000","547,467,000","609,838,000","609,873,000","718,550,000","708,614,000","694,998,000","673,878,000","725,498,000","707,261,000","753,170,000","756,750,000","812,988,000","792,023,000","779,847,000","679,290,000","670,411,000","586,398,000","548,631,000","468,167,000","435,435,000","401,441,000","377,483,000","336,107,000","322,239,000","286,843,000","255,422,000","231,509,000","192,700,000","159,500,000","153,100,000","125,900,000","126,200,000","100,700,000","90,900,000","76,900,000","55,600,000","64,400,000","64,500,000","59,000,000","61,000,000","57,600,000","52,200,000","45,000,000","50,200,000","52,300,000","51,700,000","41,600,000","39,100,000","32,000,000",,,,,,,,,,,,,,,,,,
GrossProfit,"33,225,000,000","8,295,000,000","8,201,000,000","7,625,000,000","9,105,000,000","8,170,000,000","7,861,000,000","7,487,000,000","8,470,000,000","7,832,000,000","7,566,000,000","7,261,000,000","9,074,000,000","7,638,000,000","7,561,000,000","7,240,000,000","9,073,000,000","7,769,000,000","7,656,000,000","7,254,000,000","8,890,000,000","7,313,000,000","7,238,000,000","6,819,000,000","8,658,000,000","7,173,000,000","7,140,000,000","6,598,000,000","8,653,000,000","7,427,000,000","7,699,000,000","6,915,000,000","9,113,000,000","7,631,000,000","7,556,000,000","6,739,000,000","9,119,000,000","7,242,000,000","7,300,000,000","6,406,000,000","8,910,000,000","7,131,000,000","6,836,000,000","6,386,000,000","8,606,000,000","6,752,000,000","6,425,000,000","5,440,000,000","7,263,000,000","4,985,000,000","5,026,000,000","4,272,000,000","5,682,000,000","4,342,000,000","4,411,000,000","4,023,000,000","5,898,000,000","4,106,000,000","4,075,000,000","3,370,000,000","4,670,000,000","3,384,000,000","3,138,000,000","2,611,000,000","3,887,000,000","2,680,000,000","2,535,000,000","2,045,000,000","3,088,000,000","2,234,000,000","2,166,000,000","1,660,000,000","2,096,000,000","2,070,000,000","2,043,000,000","1,509,000,000","2,252,000,000","1,733,000,000","1,710,000,000","1,439,000,000","2,205,455,000","1,681,876,000","1,747,497,000","1,632,172,000","2,545,334,000","1,965,753,000","1,964,548,000","1,587,997,000","2,648,812,000","1,742,157,000","1,568,713,000","1,227,767,000","2,130,290,000","1,286,896,000","1,276,097,000","1,069,820,000","1,742,142,000","1,162,359,000","1,065,096,000","900,662,000","1,512,596,000","971,171,000","933,890,000","716,193,000","1,141,835,000","733,396,000","711,762,000","540,294,000","825,200,000","562,700,000","517,200,000","430,600,000","541,900,000","382,100,000","361,300,000","321,200,000","417,000,000","305,700,000","288,700,000","247,900,000","299,200,000","232,000,000","231,700,000","199,700,000","235,700,000","217,200,000","217,000,000","162,100,000","295,300,000","204,400,000",,,,,,,,,,,,,,,,,,
OperatingExpense,"22,061,000,000","4,447,000,000","8,990,000,000","4,155,000,000","4,568,000,000","4,213,000,000","4,106,000,000","4,083,000,000","4,081,000,000","4,237,000,000","4,329,000,000","4,281,000,000","4,634,000,000","4,200,000,000","4,299,000,000","4,358,000,000","4,591,000,000","4,265,000,000","4,278,000,000","4,297,000,000","4,680,000,000","4,163,000,000","4,075,000,000","4,065,000,000","4,518,000,000","4,020,000,000","4,097,000,000","3,830,000,000","4,433,000,000","3,988,000,000","4,126,000,000","3,858,000,000","4,147,000,000","4,031,000,000","4,077,000,000","3,800,000,000","4,342,000,000","3,834,000,000","3,819,000,000","3,640,000,000","4,244,000,000","3,712,000,000","3,668,000,000","3,583,000,000","4,122,000,000","3,643,000,000","3,419,000,000","3,311,000,000","3,704,000,000","2,802,000,000","2,724,000,000","2,478,000,000","2,707,000,000","2,360,000,000","2,398,000,000","2,439,000,000","2,805,000,000","2,263,000,000","2,265,000,000","2,106,000,000","2,318,000,000","1,934,000,000","1,806,000,000","1,611,000,000","1,968,000,000","1,517,000,000","1,419,000,000","1,294,000,000","1,536,000,000","1,306,000,000","1,035,000,000","945,000,000","689,000,000","1,143,000,000","1,128,000,000","893,000,000","981,000,000","937,000,000","916,000,000","859,000,000","978,916,000","903,137,000","927,553,000","886,394,000","1,250,408,000","1,087,630,000","1,018,547,000","929,956,000","1,260,301,000","972,436,000","992,648,000","881,904,000","1,323,992,000","880,217,000","894,030,000","791,983,000","1,137,197,000","844,086,000","793,090,000","684,632,000","952,801,000","674,244,000","659,702,000","547,318,000","735,689,000","513,454,000","507,150,000","415,172,000","555,800,000","407,900,000","379,300,000","343,100,000","372,600,000","278,200,000","269,400,000","266,400,000","287,600,000","262,000,000","237,000,000","231,900,000","251,900,000","202,200,000","203,800,000","191,200,000","216,700,000","188,400,000","200,000,000","209,200,000","210,700,000","163,400,000",,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"9,146,000,000","2,339,000,000","2,273,000,000","2,152,000,000","2,382,000,000","2,245,000,000","2,160,000,000","2,149,000,000","2,237,000,000","2,337,000,000","2,391,000,000","2,310,000,000","2,648,000,000","2,367,000,000","2,400,000,000","2,360,000,000","2,632,000,000","2,373,000,000","2,403,000,000","2,312,000,000","2,631,000,000","2,245,000,000","2,263,000,000","2,234,000,000","2,629,000,000","2,193,000,000","2,230,000,000","1,988,000,000","2,490,000,000","2,091,000,000","2,169,000,000","1,982,000,000","2,231,000,000","2,179,000,000","2,227,000,000","1,968,000,000","2,482,000,000","2,062,000,000","2,036,000,000","1,820,000,000","2,378,000,000","1,961,000,000","1,974,000,000","1,941,000,000","2,353,000,000","1,904,000,000","1,686,000,000","1,605,000,000","2,037,000,000","1,477,000,000","1,316,000,000","1,387,000,000","1,540,000,000","1,246,000,000","1,320,000,000","1,318,000,000","1,726,000,000","1,289,000,000","1,301,000,000","1,169,000,000","1,464,000,000","1,142,000,000","1,085,000,000","907,000,000","1,246,000,000","902,000,000","825,000,000","771,000,000","957,000,000","814,000,000","708,000,000","633,000,000","362,000,000","815,000,000","805,000,000","595,000,000","683,000,000","636,000,000","621,000,000","573,000,000","696,930,000","619,906,000","670,069,000","633,095,000","930,579,000","786,175,000","752,267,000","678,929,000","990,072,000","716,884,000","744,488,000","645,963,000","1,080,685,000","670,419,000","693,352,000","604,360,000","945,044,000","659,980,000","609,873,000","524,965,000","788,361,000","535,717,000","524,402,000","430,129,000","617,114,000","420,649,000","413,878,000","330,731,000","429,400,000","303,300,000","287,600,000","257,300,000","287,100,000","203,000,000","244,100,000","243,100,000","268,600,000","242,600,000","216,900,000","211,200,000","235,200,000","187,100,000","186,900,000","174,100,000","196,100,000","171,400,000","183,100,000","193,000,000","195,300,000","153,800,000",,,,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"1,258,000,000","335,000,000","319,000,000","298,000,000","305,000,000","330,000,000","324,000,000","295,000,000","278,000,000","288,000,000","323,000,000","292,000,000","330,000,000","316,000,000","299,000,000","321,000,000","307,000,000","340,000,000","321,000,000","320,000,000","317,000,000","241,000,000","303,000,000","315,000,000","323,000,000","290,000,000","285,000,000","257,000,000","278,000,000","252,000,000","272,000,000","276,000,000","265,000,000","251,000,000","262,000,000","260,000,000","274,000,000","260,000,000","263,000,000","275,000,000","278,000,000","261,000,000","277,000,000","311,000,000","256,000,000","286,000,000","156,000,000","272,000,000","292,000,000","236,000,000","183,000,000","427,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,"66,000,000","49,000,000","19,000,000","40,000,000","41,000,000","36,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"1,258,000,000","335,000,000","319,000,000","298,000,000","305,000,000","330,000,000","324,000,000","295,000,000","278,000,000","288,000,000","323,000,000","292,000,000","330,000,000","316,000,000","299,000,000","321,000,000","307,000,000","340,000,000","321,000,000","320,000,000","317,000,000","241,000,000","303,000,000","315,000,000","323,000,000","290,000,000","285,000,000","257,000,000","278,000,000","252,000,000","272,000,000","276,000,000","265,000,000","251,000,000","262,000,000","260,000,000","274,000,000","260,000,000","263,000,000","275,000,000","278,000,000","261,000,000","277,000,000","311,000,000","256,000,000","286,000,000","156,000,000","272,000,000","292,000,000","236,000,000","183,000,000","427,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"7,888,000,000","2,004,000,000","1,954,000,000","1,854,000,000","2,077,000,000","1,915,000,000","1,836,000,000","1,854,000,000","1,959,000,000","2,049,000,000","2,068,000,000","2,018,000,000","2,318,000,000","2,051,000,000","2,101,000,000","2,039,000,000","2,325,000,000","2,033,000,000","2,082,000,000","1,992,000,000","2,314,000,000","2,004,000,000","1,960,000,000","1,919,000,000","2,306,000,000","1,903,000,000","1,945,000,000","1,731,000,000","2,212,000,000","1,839,000,000","1,897,000,000","1,706,000,000","1,966,000,000","1,928,000,000","1,965,000,000","1,708,000,000","2,208,000,000","1,802,000,000","1,773,000,000","1,545,000,000","2,100,000,000","1,700,000,000","1,697,000,000","1,630,000,000","2,097,000,000","1,618,000,000","1,530,000,000","1,333,000,000","1,745,000,000","1,241,000,000","1,133,000,000","960,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
