name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"25,956,000,000","7,913,000,000","6,792,000,000","5,958,000,000","5,293,000,000","4,160,000,000","4,108,000,000","2,928,000,000","6,410,000,000","6,282,000,000","5,687,000,000","4,420,000,000","4,004,000,000","4,762,000,000","5,216,000,000","4,083,000,000","3,763,000,000","3,492,000,000","2,999,000,000","3,060,000,000","2,957,000,000","2,788,000,000","2,648,000,000","2,531,000,000","2,123,000,000","2,806,000,000","3,116,000,000","3,469,000,000","3,089,000,000","953,000,000","5,996,000,000","6,275,000,000","6,088,000,000","6,172,000,000","6,449,000,000","5,962,000,000","5,872,000,000","6,171,000,000","5,965,000,000","5,768,000,000","6,268,000,000","6,049,000,000","6,006,000,000","6,173,000,000","5,726,000,000","4,728,000,000","4,902,000,000","4,795,000,000","4,793,000,000","4,580,000,000","4,126,000,000","3,722,000,000","3,103,000,000","4,284,000,000","7,060,000,000","7,116,000,000","6,020,000,000","6,746,000,000","4,841,000,000","4,411,000,000","4,108,000,000","4,415,000,000","4,603,000,000","4,689,000,000","4,627,000,000","4,391,000,000","4,834,000,000","3,694,000,000","3,340,000,000","2,929,000,000","3,067,000,000","2,750,000,000","2,603,000,000","2,267,000,000","2,349,000,000","2,305,000,000","2,405,000,000","1,985,000,000","1,963,000,000","3,175,000,000","2,525,000,000","2,240,000,000","3,313,000,000","3,908,000,000","4,524,000,000","4,133,000,000","3,805,000,000","3,128,000,000","2,508,000,000","2,506,000,000","2,113,000,000","1,647,000,000","1,344,000,000","1,692,000,000","1,661,000,000","1,543,000,000","1,700,000,000","-106,000,000","2,644,000,000","2,717,000,000","2,761,000,000","2,792,000,000","2,786,000,000","2,457,000,000","2,524,000,000","2,473,000,000","2,557,000,000","2,679,000,000","2,714,000,000","2,564,000,000","2,404,000,000","2,162,000,000","2,106,000,000","2,020,000,000","1,916,000,000","2,011,000,000","2,169,000,000","1,896,000,000","2,268,000,000","2,176,000,000","2,154,000,000","2,609,000,000","2,330,000,000","5,056,000,000","5,303,000,000","6,063,000,000","5,350,000,000","5,122,000,000","5,159,000,000","5,049,000,000","4,826,000,000","5,050,000,000","5,143,000,000","5,284,000,000","4,913,000,000","4,744,000,000","4,476,000,000","4,389,000,000","4,222,000,000","4,328,000,000","4,157,000,000","4,168,900,000","3,717,200,000","3,827,200,000","3,630,800,000","3,775,900,000","3,383,100,000"
	OperatingRevenue,"25,956,000,000","7,913,000,000","6,792,000,000","5,958,000,000","5,293,000,000","4,160,000,000","4,108,000,000","2,928,000,000","6,410,000,000","6,282,000,000","5,687,000,000","4,420,000,000","4,004,000,000","4,762,000,000","5,216,000,000","4,083,000,000","3,763,000,000","3,492,000,000","2,999,000,000","3,060,000,000","2,957,000,000","2,788,000,000","2,648,000,000","2,531,000,000","2,123,000,000","2,806,000,000","3,116,000,000","3,469,000,000","3,089,000,000","953,000,000","5,996,000,000","6,275,000,000","6,088,000,000","6,172,000,000","6,449,000,000","5,962,000,000","5,872,000,000","6,171,000,000","5,965,000,000","5,768,000,000","6,268,000,000","6,049,000,000","6,006,000,000","6,173,000,000","5,726,000,000","4,617,000,000","4,896,000,000","4,761,000,000","4,771,000,000","4,539,000,000","4,104,000,000","3,687,000,000","3,073,000,000","4,021,000,000","7,060,000,000","7,116,000,000","6,020,000,000","5,517,000,000","4,841,000,000","4,411,000,000","4,108,000,000","4,144,000,000","4,522,000,000","4,599,000,000","4,570,000,000","4,330,000,000","4,057,000,000","3,518,000,000","3,303,000,000","3,005,000,000","3,033,000,000","2,750,000,000","2,580,000,000","2,370,000,000","2,319,000,000","2,266,000,000","2,371,000,000","1,985,000,000","1,963,000,000","3,141,000,000","2,525,000,000","2,380,000,000","3,285,000,000","3,845,000,000","4,475,000,000","4,133,000,000","3,805,000,000","3,128,000,000","2,508,000,000","2,506,000,000","2,113,000,000","1,647,000,000","1,344,000,000","1,692,000,000","1,661,000,000","1,543,000,000","1,700,000,000","-106,000,000","2,644,000,000","2,717,000,000","2,761,000,000","2,792,000,000","2,786,000,000","2,457,000,000","2,524,000,000","2,473,000,000","2,557,000,000","2,679,000,000","2,714,000,000","2,564,000,000","2,404,000,000","2,162,000,000","2,106,000,000","2,020,000,000","1,916,000,000","2,011,000,000","2,169,000,000","1,896,000,000","2,268,000,000","2,176,000,000","2,154,000,000","2,609,000,000","2,330,000,000","5,056,000,000","5,303,000,000","6,063,000,000","5,350,000,000","5,122,000,000","5,159,000,000","5,049,000,000","4,826,000,000","5,050,000,000","5,143,000,000","5,284,000,000","4,913,000,000","4,744,000,000","4,476,000,000","4,389,000,000","4,222,000,000","4,328,000,000","4,157,000,000","4,168,900,000","3,717,200,000","3,827,200,000","3,630,800,000","3,775,900,000","3,383,100,000"
CostOfRevenue,"18,106,000,000","4,621,000,000","4,424,000,000","4,610,000,000","4,451,000,000","3,844,000,000","3,865,000,000","3,908,000,000","4,851,000,000","4,720,000,000","4,067,000,000","2,848,000,000","2,683,000,000","3,040,000,000","2,809,000,000","2,412,000,000","2,284,000,000","2,401,000,000","2,352,000,000","2,475,000,000","2,368,000,000","2,376,000,000","2,384,000,000","2,314,000,000","2,383,000,000","2,630,000,000","2,536,000,000","2,596,000,000","2,586,000,000","1,184,000,000","3,385,000,000","3,297,000,000","3,198,000,000","3,378,000,000","3,214,000,000","3,180,000,000","3,137,000,000","3,169,000,000","3,176,000,000","3,060,000,000","2,950,000,000","-740,000,000","2,879,000,000","2,720,000,000","2,526,000,000","-1,156,000,000","2,527,000,000","2,505,000,000","2,498,000,000","-794,000,000","2,186,000,000","2,113,000,000","2,122,000,000","-430,000,000","2,905,000,000","2,739,000,000","2,536,000,000","175,000,000","2,423,000,000","2,298,000,000","2,180,000,000","213,000,000","2,172,000,000","2,184,000,000","2,060,000,000","878,000,000","1,833,000,000","1,739,000,000","1,579,000,000","234,000,000","1,527,000,000","1,507,000,000","1,460,000,000","189,000,000","1,319,000,000","1,293,000,000","1,326,000,000","209,000,000","1,154,000,000","2,398,000,000","2,017,000,000","1,086,000,000","2,508,000,000","2,768,000,000","3,310,000,000","3,013,000,000","2,545,000,000","1,957,000,000","1,542,000,000","1,690,000,000","1,413,000,000","1,113,000,000","894,000,000","1,304,000,000","1,198,000,000","979,000,000","1,058,000,000","-326,000,000","1,797,000,000","1,864,000,000","1,833,000,000","1,847,000,000","1,926,000,000","1,638,000,000","1,650,000,000","1,818,000,000","1,728,000,000","1,752,000,000","1,807,000,000","1,864,000,000","1,730,000,000","1,612,000,000","1,632,000,000","1,562,000,000","1,420,000,000","1,477,000,000","1,599,000,000","1,389,000,000","1,727,000,000","1,670,000,000","1,608,000,000","1,976,000,000","1,809,000,000","4,393,000,000","4,464,000,000","5,036,000,000","4,523,000,000","4,377,000,000","4,288,000,000","4,159,000,000","3,944,000,000",,,,,,,,,,,,,,,,
GrossProfit,"7,850,000,000","3,292,000,000","2,368,000,000","1,348,000,000","842,000,000","316,000,000","243,000,000","-980,000,000","1,559,000,000","1,562,000,000","1,620,000,000","1,572,000,000","1,321,000,000","1,722,000,000","2,407,000,000","1,671,000,000","1,479,000,000","1,091,000,000","647,000,000","585,000,000","589,000,000","412,000,000","264,000,000","217,000,000","-260,000,000","176,000,000","580,000,000","873,000,000","503,000,000","-231,000,000","2,611,000,000","2,978,000,000","2,890,000,000","2,794,000,000","3,235,000,000","2,782,000,000","2,735,000,000","3,002,000,000","2,789,000,000","2,708,000,000","3,318,000,000","6,789,000,000","3,127,000,000","3,453,000,000","3,200,000,000","5,884,000,000","2,375,000,000","2,290,000,000","2,295,000,000","5,374,000,000","1,940,000,000","1,609,000,000","981,000,000","4,714,000,000","4,155,000,000","4,377,000,000","3,484,000,000","6,571,000,000","2,418,000,000","2,113,000,000","1,928,000,000","4,202,000,000","2,431,000,000","2,505,000,000","2,567,000,000","3,513,000,000","3,001,000,000","1,955,000,000","1,761,000,000","2,695,000,000","1,540,000,000","1,243,000,000","1,143,000,000","2,078,000,000","1,030,000,000","1,012,000,000","1,079,000,000","1,776,000,000","809,000,000","777,000,000","508,000,000","1,154,000,000","805,000,000","1,140,000,000","1,214,000,000","1,120,000,000","1,260,000,000","1,171,000,000","966,000,000","816,000,000","700,000,000","534,000,000","450,000,000","388,000,000","463,000,000","564,000,000","642,000,000","220,000,000","847,000,000","853,000,000","928,000,000","945,000,000","860,000,000","819,000,000","874,000,000","655,000,000","829,000,000","927,000,000","907,000,000","700,000,000","674,000,000","550,000,000","474,000,000","458,000,000","496,000,000","534,000,000","570,000,000","507,000,000","541,000,000","506,000,000","546,000,000","633,000,000","521,000,000","663,000,000","839,000,000","1,027,000,000","827,000,000","745,000,000","871,000,000","890,000,000","882,000,000",,,,,,,,,,,,,,,,
OperatingExpense,"3,185,000,000","952,000,000","816,000,000","755,000,000","662,000,000","733,000,000","606,000,000","440,000,000","674,000,000","1,288,000,000","866,000,000","581,000,000","525,000,000","629,000,000","565,000,000","538,000,000","430,000,000","593,000,000","436,000,000","437,000,000","351,000,000","488,000,000","386,000,000","439,000,000","356,000,000","383,000,000","376,000,000","464,000,000","426,000,000","121,000,000","685,000,000","751,000,000","646,000,000","695,000,000","713,000,000","769,000,000","629,000,000","688,000,000","635,000,000","598,000,000","706,000,000","4,256,000,000","433,000,000","612,000,000","676,000,000","3,688,000,000","411,000,000","436,000,000","498,000,000","3,604,000,000","474,000,000","472,000,000","375,000,000","3,385,000,000","391,000,000","506,000,000","404,000,000","2,847,000,000","415,000,000","394,000,000","395,000,000","2,397,000,000","356,000,000","356,000,000","383,000,000","1,790,000,000","553,000,000","324,000,000","285,000,000","1,662,000,000","243,000,000","239,000,000","226,000,000","1,429,000,000","216,000,000","263,000,000","187,000,000","1,193,000,000","207,000,000","222,000,000","154,000,000","1,111,000,000","159,000,000","178,000,000","247,000,000","198,000,000","530,000,000","525,000,000","339,000,000","376,000,000","366,000,000","363,000,000","369,000,000","341,000,000","383,000,000","463,000,000","408,000,000","481,000,000","520,000,000","483,000,000","487,000,000","594,000,000","595,000,000","538,000,000","474,000,000","537,000,000","489,000,000","588,000,000","483,000,000","550,000,000","481,000,000","443,000,000","411,000,000","423,000,000","447,000,000","412,000,000","406,000,000","578,000,000","424,000,000","425,000,000","391,000,000","463,000,000","540,000,000","468,000,000","474,000,000","750,000,000","514,000,000","523,000,000","514,000,000","661,000,000","649,000,000",,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"863,000,000","280,000,000","240,000,000","177,000,000","166,000,000","209,000,000","166,000,000","225,000,000","260,000,000","337,000,000","242,000,000","163,000,000","140,000,000","473,000,000","431,000,000","402,000,000","307,000,000","448,000,000","352,000,000","352,000,000","272,000,000","404,000,000","316,000,000","338,000,000","272,000,000","320,000,000","292,000,000","347,000,000","311,000,000","176,000,000","441,000,000","498,000,000","388,000,000","454,000,000","459,000,000","495,000,000","393,000,000","439,000,000","394,000,000","335,000,000","434,000,000","452,000,000","242,000,000","388,000,000","441,000,000","424,000,000","288,000,000","309,000,000","375,000,000","374,000,000","369,000,000","362,000,000","270,000,000","-16,000,000","391,000,000","506,000,000","404,000,000","468,000,000","415,000,000","394,000,000","395,000,000","355,000,000","356,000,000","356,000,000","383,000,000","305,000,000","553,000,000","324,000,000","285,000,000","359,000,000","243,000,000","239,000,000","226,000,000","252,000,000","216,000,000","263,000,000","187,000,000","181,000,000","207,000,000","222,000,000","154,000,000","140,000,000","159,000,000","178,000,000","247,000,000","-16,000,000","262,000,000","291,000,000","154,000,000","157,000,000","168,000,000","160,000,000","172,000,000","137,000,000","181,000,000","242,000,000","178,000,000","362,000,000","294,000,000","237,000,000","245,000,000","353,000,000","359,000,000","311,000,000","250,000,000","292,000,000","254,000,000","353,000,000","245,000,000","313,000,000","252,000,000","219,000,000","204,000,000","187,000,000","219,000,000","190,000,000","185,000,000","297,000,000","217,000,000","224,000,000","192,000,000","155,000,000","365,000,000","229,000,000","241,000,000","410,000,000","256,000,000","268,000,000","261,000,000","292,000,000","389,000,000",,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"214,000,000","268,000,000","234,000,000","185,000,000","219,000,000","198,000,000","203,000,000","197,000,000","204,000,000","202,000,000","221,000,000","230,000,000","119,000,000","226,000,000","246,000,000","242,000,000","241,000,000","236,000,000","227,000,000","224,000,000","245,000,000","235,000,000","235,000,000","238,000,000","237,000,000","229,000,000","224,000,000","207,000,000","236,000,000","228,000,000","222,000,000","221,000,000","281,000,000","207,000,000","201,000,000","199,000,000","308,000,000","175,000,000","239,000,000","233,000,000","340,000,000","258,000,000","255,000,000","253,000,000","369,000,000","260,000,000",,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"214,000,000","268,000,000","234,000,000","185,000,000","219,000,000","198,000,000","203,000,000","197,000,000","204,000,000","202,000,000","221,000,000","230,000,000","119,000,000","226,000,000","246,000,000","242,000,000","241,000,000","236,000,000","227,000,000","224,000,000","245,000,000","235,000,000","235,000,000","238,000,000","237,000,000","229,000,000","224,000,000","207,000,000","236,000,000","228,000,000","222,000,000","221,000,000","281,000,000","207,000,000","201,000,000","199,000,000","308,000,000","175,000,000","239,000,000","233,000,000","340,000,000","258,000,000","255,000,000","253,000,000","369,000,000","260,000,000",,,,,,,,,,,,,,,,
	OtherTaxes,"1,005,000,000","262,000,000","289,000,000","244,000,000","210,000,000","149,000,000","180,000,000","68,000,000","182,000,000","275,000,000","198,000,000","123,000,000","111,000,000","106,000,000","110,000,000","115,000,000","108,000,000","90,000,000","76,000,000","77,000,000","68,000,000","67,000,000","61,000,000","74,000,000","75,000,000","50,000,000","79,000,000","107,000,000","107,000,000","-43,000,000","191,000,000","199,000,000","203,000,000","181,000,000","186,000,000","196,000,000","186,000,000","167,000,000","172,000,000","167,000,000","174,000,000","140,000,000","152,000,000","162,000,000","151,000,000","117,000,000","117,000,000","127,000,000","123,000,000","113,000,000","105,000,000","110,000,000","105,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
