name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994
TotalRevenue,"2,080,463,000","681,502,000","491,875,000","464,282,000","442,804,000","418,076,000","404,572,000","414,636,000","414,341,000","397,529,000","374,247,000","365,450,000","354,365,000","342,576,000","338,081,000","328,886,000","318,295,000","310,653,000","306,920,000","300,170,000","298,025,000","287,843,000","277,174,000","271,039,000","267,116,000","263,668,000","258,889,000","253,860,000","246,867,000","247,573,000","235,713,000","228,646,000","221,572,000","227,977,000","199,304,000","184,319,000","171,695,000","125,578,000","120,237,000","115,643,000","114,723,000","113,427,000","107,296,000","102,626,000","97,756,000","91,786,000","87,173,000","83,466,000","83,265,000","81,397,000","81,961,000","81,638,000","82,894,000","82,668,000","82,535,000","82,432,000","83,423,000","80,616,000","74,089,000","70,693,000","71,301,000","69,108,000","59,307,000","56,504,000","55,315,000","53,385,000","49,166,000","47,473,000","46,743,000","45,329,000","44,112,000","44,540,000","42,396,000","46,824,000","37,590,000","36,505,000","35,682,000","37,152,000","36,055,000","33,901,000","33,659,000","33,773,000","31,007,000","29,926,000","31,565,000","31,629,000","29,885,000","28,441,000","28,355,000","27,510,000","28,100,000","24,900,000","23,900,000","23,132,000","21,800,000","20,600,000","19,500,000","18,397,000","17,400,000","16,300,000","15,600,000","14,457,000","14,100,000","13,800,000","14,400,000","14,255,000","13,100,000","12,300,000","11,900,000","12,300,000","12,200,000"
	OperatingRevenue,"2,064,958,000","679,000,000","486,337,000","460,256,000","439,365,000","415,306,000","401,869,000","410,201,000","412,157,000","394,217,000","372,312,000","364,252,000","354,037,000","329,405,000","324,773,000","313,870,000","306,548,000","298,899,000","293,455,000","288,049,000","285,821,000","275,224,000","265,332,000","260,056,000","256,801,000","252,734,000","247,578,000","241,431,000","235,122,000","230,635,000","226,832,000","221,868,000","214,122,000","204,013,000","195,429,000","182,354,000","170,304,000","123,809,000","120,237,000","115,643,000","114,723,000","113,427,000","107,296,000","102,626,000","97,756,000","91,786,000","87,173,000","83,466,000","83,265,000","81,397,000","81,961,000","81,638,000","82,894,000","82,668,000","82,535,000","82,432,000","83,423,000","80,616,000","74,089,000","70,693,000","71,301,000","69,108,000","59,307,000","56,504,000","55,315,000","53,385,000","49,166,000","47,473,000","46,743,000","45,329,000","44,112,000","44,540,000","42,396,000","46,824,000","37,590,000","36,505,000","35,682,000","37,152,000","36,055,000","35,237,000","33,999,000","33,773,000","31,007,000","30,090,000","31,565,000","29,798,000","30,116,000","29,379,000","28,355,000","27,510,000","28,100,000","24,900,000","23,900,000","23,700,000","21,800,000","20,600,000","19,500,000","18,397,000","17,400,000","16,300,000","15,600,000","16,000,000","14,100,000","13,800,000","14,400,000","14,300,000","13,100,000","12,300,000","11,900,000","12,300,000","12,200,000"
CostOfRevenue,"133,605,000","43,710,000","29,662,000","31,734,000","28,499,000","27,135,000","25,410,000","26,452,000","25,606,000","25,253,000","20,354,000","21,342,000","21,636,000","17,732,000","15,806,000","16,236,000","16,552,000","16,652,000","17,267,000","16,486,000","19,075,000","17,411,000","15,678,000","14,671,000","15,105,000","12,897,000","13,542,000","14,937,000","13,976,000","20,397,000","12,770,000","10,127,000","10,577,000","26,103,000","5,898,000","3,283,000","3,772,000","769,000","1,951,000","2,090,000","2,536,000","2,334,000","1,698,000","1,656,000","1,983,000","1,977,000","1,763,000","1,684,000","2,176,000","6,914,000","0","1,884,000","2,233,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"1,946,858,000","637,792,000","462,213,000","432,548,000","414,305,000","390,941,000","379,162,000","388,184,000","388,735,000","372,276,000","353,893,000","344,108,000","332,729,000","324,844,000","322,275,000","312,650,000","301,743,000","294,001,000","289,653,000","283,684,000","278,950,000","270,432,000","261,496,000","256,368,000","252,011,000","250,771,000","245,347,000","238,923,000","232,891,000","227,176,000","222,943,000","218,519,000","210,995,000","201,874,000","193,406,000","181,036,000","167,923,000","124,809,000","118,286,000","113,553,000","112,187,000","111,093,000","105,598,000","100,970,000","95,773,000","89,809,000","85,410,000","81,782,000","81,089,000","74,483,000","81,961,000","79,754,000","80,661,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"994,815,000","363,751,000","222,645,000","209,638,000","198,781,000","191,715,000","185,598,000","187,391,000","185,549,000","172,924,000","165,884,000","169,011,000","152,625,000","171,889,000","153,299,000","151,953,000","146,787,000","142,252,000","141,450,000","138,870,000","134,662,000","131,310,000","126,020,000","124,327,000","120,251,000","118,706,000","115,199,000","113,710,000","110,899,000","112,123,000","106,285,000","104,481,000","102,856,000","101,485,000","97,497,000","89,773,000","81,421,000","51,538,000","47,141,000","44,748,000","44,418,000","42,162,000","39,012,000","36,988,000","34,680,000","29,787,000","30,600,000","30,451,000","30,243,000","22,032,000","29,538,000","28,275,000","29,204,000","30,009,000","30,052,000","30,151,000","30,165,000","27,848,000","27,023,000","25,673,000","24,346,000","22,583,000","19,607,000","20,072,000","45,262,000","17,786,000","16,679,000","16,171,000","34,067,000","31,988,000","31,563,000","14,457,000","13,875,000","-4,366,000","18,473,000","18,450,000","17,640,000","11,469,000","11,490,000","10,989,000","10,814,000","-9,559,000","16,627,000","16,614,000","19,043,000","-11,699,000","17,765,000","16,516,000","16,767,000","55,142,000","-7,200,000","-6,700,000","-6,500,000","61,628,000","-6,100,000","-5,800,000","-5,600,000","41,083,000","-5,200,000","-4,900,000","-5,000,000","39,989,000","-4,400,000","-4,400,000","-4,800,000","40,473,000","-4,700,000","-5,100,000","-4,800,000","-1,600,000","-14,700,000"
	SellingGeneralAndAdministration,"96,980,000","30,522,000","23,813,000","21,849,000","20,796,000","16,674,000","16,514,000","19,063,000","20,964,000","16,330,000","16,460,000","18,585,000","15,108,000","34,178,000","16,332,000","17,954,000","15,684,000","15,219,000","13,881,000","15,781,000","13,565,000","13,559,000","12,103,000","13,985,000","12,318,000","12,967,000","10,861,000","12,609,000","12,862,000","15,586,000","11,025,000","11,587,000","12,886,000","16,511,000","16,628,000","12,075,000","11,613,000","10,223,000","9,335,000","9,273,000","9,168,000","7,953,000","7,143,000","7,987,000","7,870,000","5,785,000","6,165,000","6,650,000","6,711,000","5,084,000","4,906,000","5,006,000","5,950,000","5,054,000","5,097,000","5,924,000","5,544,000","5,475,000","6,290,000","5,838,000","5,091,000","4,856,000","4,083,000","4,355,000","4,245,000","3,494,000","4,166,000","3,706,000","4,056,000","3,496,000","3,202,000","3,260,000","3,162,000","3,091,000","2,637,000","2,707,000","2,747,000","2,404,000","2,313,000","2,348,000","2,389,000","2,016,000","1,914,000","1,866,000","2,040,000","1,481,000","1,863,000","1,735,000","1,684,000","1,768,000","1,800,000","1,800,000","1,600,000","1,880,000","1,700,000","1,700,000","1,500,000","1,537,000","1,300,000","1,300,000","1,300,000","1,281,000","1,300,000","1,300,000","1,300,000","1,721,000","1,300,000","800,000","900,000",,"2,700,000"
		GeneralAndAdministrativeExpense,"96,980,000","30,522,000","23,813,000","21,849,000","20,796,000","16,674,000","16,514,000","19,063,000","20,964,000","16,330,000","16,460,000","18,585,000","15,108,000","34,178,000","16,332,000","17,954,000","15,684,000","15,219,000","13,881,000","15,781,000","13,565,000","13,559,000","12,103,000","13,985,000","12,318,000","12,967,000","10,861,000","12,609,000","12,862,000","15,586,000","11,025,000","11,587,000","12,886,000","16,511,000","16,628,000","12,075,000","11,613,000",,"2,384,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,389,000",,"1,914,000","1,866,000","2,040,000",,"1,863,000","1,735,000","1,684,000",,"1,800,000","1,800,000","1,600,000",,"1,700,000","1,700,000","1,500,000",,"1,300,000","1,300,000","1,300,000",,"1,300,000","1,300,000","1,300,000",,"1,300,000","800,000","900,000",,"2,700,000"
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"798,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,389,000",,"1,914,000","1,866,000","2,040,000",,"1,863,000","1,735,000","1,684,000",,"1,800,000","1,800,000","1,600,000",,"1,700,000","1,700,000","1,500,000",,"1,300,000","1,300,000","1,300,000",,"1,300,000","1,300,000","1,300,000",,"1,300,000","800,000","900,000",,"2,700,000"
			OtherGandA,"96,980,000","30,522,000","23,813,000","21,849,000","20,796,000","16,674,000","16,514,000","19,063,000","20,964,000","16,330,000","16,460,000","18,585,000","15,108,000","34,178,000","16,332,000","17,954,000","15,684,000","15,219,000","13,881,000","15,781,000","13,565,000","13,559,000","12,103,000","13,985,000","12,318,000","12,967,000","10,861,000","12,609,000","12,862,000","15,586,000","11,025,000","11,587,000","12,886,000","16,511,000","16,628,000","12,075,000","11,613,000",,"1,586,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"897,835,000","333,229,000","198,832,000","187,789,000","177,985,000","175,041,000","169,084,000","168,328,000","164,585,000","156,594,000","149,424,000","150,426,000","137,517,000","137,711,000","136,967,000","133,999,000","131,103,000","127,033,000","127,569,000","123,089,000","121,097,000","117,751,000","113,917,000","110,342,000","107,933,000","105,739,000","104,338,000","101,101,000","98,037,000","96,537,000","95,260,000","92,894,000","89,970,000","84,974,000","80,869,000","77,698,000","69,808,000","41,315,000","37,806,000","35,475,000","35,250,000","34,209,000","31,869,000","29,001,000","26,810,000","24,892,000","24,100,000","23,524,000","23,255,000","22,667,000","22,930,000","22,961,000","22,951,000","22,934,000","22,869,000","22,916,000","22,960,000","21,060,000","19,564,000","18,518,000","18,125,000","16,531,000","14,641,000","14,801,000","13,551,000","13,145,000","11,290,000","11,243,000","10,817,000","10,259,000","10,283,000","10,205,000","9,789,000","9,046,000","8,272,000","8,265,000","8,073,000","8,025,000","7,920,000","7,421,000","7,474,000","7,523,000","7,234,000","7,158,000","7,210,000","8,498,000","6,913,000","6,844,000","6,748,000",,,,,,,,,,,,,,,,,,,,,,
