name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,03/31/1995,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986
TotalRevenue,"28,586,000,000","8,000,000,000","6,610,000,000","6,564,000,000","7,412,000,000","6,225,000,000","6,116,000,000","6,275,000,000","6,669,000,000","16,541,000,000","3,295,000,000","3,809,000,000","4,167,000,000","4,024,000,000","3,263,000,000","3,466,000,000","3,761,000,000","3,921,000,000","3,171,000,000","3,257,000,000","3,343,000,000","2,634,000,000","3,396,000,000","3,287,000,000","3,849,000,000","3,910,000,000","3,257,000,000","3,219,000,000","3,500,000,000","3,681,000,000","3,367,000,000","3,188,000,000","3,856,000,000","3,911,000,000","3,634,000,000","3,699,000,000","4,040,000,000","3,271,000,000","3,418,000,000","3,476,000,000","3,924,000,000","3,784,000,000","3,365,000,000","3,586,000,000","3,510,000,000","3,900,400,000","3,297,000,000","3,331,000,000","3,530,900,000","3,498,400,000","3,350,000,000","3,006,300,000","3,159,900,000","3,526,900,000","3,375,700,000","3,393,700,000","3,654,100,000","3,758,800,000","3,281,400,000","3,374,900,000","3,657,800,000","3,882,900,000","3,378,800,000","3,483,100,000","3,581,800,000","-2,785,100,000","5,942,900,000","5,876,100,000","5,576,700,000","6,296,400,000","5,484,600,000","6,841,800,000","6,772,400,000","7,516,400,000","6,599,800,000","6,418,300,000","6,050,800,000","6,777,500,000","6,306,500,000","5,849,500,000","5,672,200,000","6,039,900,000","5,713,800,000","5,716,900,000","5,752,200,000","6,143,400,000","5,962,000,000","4,912,500,000","3,025,800,000","3,572,400,000","3,332,000,000","3,003,300,000","2,951,100,000","3,342,400,000","3,288,800,000","2,779,300,000","2,685,600,000","3,610,100,000","3,647,400,000","3,030,900,000","2,917,700,000","3,409,400,000","3,266,400,000","2,785,000,000","2,623,400,000",,"385,600,000","345,500,000","363,900,000","341,100,000","355,400,000","311,500,000","298,400,000","293,100,000","252,700,000","252,700,000","252,700,000","252,600,000","229,800,000","229,800,000","229,800,000","229,800,000"
	OperatingRevenue,"28,586,000,000","8,000,000,000","6,610,000,000","6,564,000,000","7,412,000,000","6,225,000,000","6,116,000,000","6,275,000,000","6,669,000,000","16,541,000,000","3,295,000,000","3,809,000,000","4,167,000,000","4,024,000,000","3,263,000,000","3,583,000,000","3,761,000,000","3,921,000,000","3,171,000,000","3,257,000,000","3,343,000,000","2,634,000,000","3,396,000,000","3,287,000,000","3,849,000,000","3,910,000,000","3,257,000,000","3,219,000,000","3,500,000,000","3,681,000,000","3,367,000,000","3,188,000,000","3,856,000,000","3,911,000,000","3,634,000,000","3,699,000,000","4,040,000,000","3,271,000,000","3,418,000,000","3,476,000,000","3,924,000,000","3,784,000,000","3,365,000,000","3,586,000,000","3,510,000,000","3,900,400,000","3,297,000,000","3,331,000,000","3,530,900,000","3,498,400,000","3,350,000,000","3,006,300,000","3,159,900,000","3,526,900,000","3,375,700,000","3,393,700,000","3,654,100,000","3,758,800,000","3,281,400,000","3,374,900,000","3,657,800,000","3,882,900,000","3,378,800,000","3,483,100,000","3,581,800,000","-2,785,100,000","5,942,900,000","5,876,100,000","5,576,700,000","6,296,400,000","5,484,600,000","6,841,800,000","6,772,400,000","7,516,400,000","6,599,800,000","6,418,300,000","6,050,800,000","6,777,500,000","6,306,500,000","5,849,500,000","5,672,200,000","6,039,900,000","5,713,800,000","5,716,900,000","5,752,200,000","6,143,400,000","5,962,000,000","4,912,500,000","3,025,800,000","3,572,400,000","3,332,000,000","3,003,300,000","2,951,100,000","3,342,400,000","3,288,800,000","2,779,300,000","2,685,600,000","3,610,100,000","3,647,400,000","3,030,900,000","2,917,700,000","3,409,400,000","3,266,400,000","2,785,000,000","2,623,400,000",,"385,600,000","345,500,000","363,900,000","341,100,000","355,400,000","311,500,000","298,400,000","293,100,000","252,700,000","252,700,000","252,700,000","252,600,000","229,800,000","229,800,000","229,800,000","229,800,000"
CostOfRevenue,"17,744,000,000","5,452,000,000","4,064,000,000","3,865,000,000","4,363,000,000","3,808,000,000","3,634,000,000","3,485,000,000","4,065,000,000","9,888,000,000","2,078,000,000","2,509,000,000","2,748,000,000","2,605,000,000","1,922,000,000","2,184,000,000","2,400,000,000","2,498,000,000","1,862,000,000","2,004,000,000","2,074,000,000","1,842,000,000","1,897,000,000","1,861,000,000","2,356,000,000","2,433,000,000","1,842,000,000","1,907,000,000","2,142,000,000","2,234,000,000","1,936,000,000","1,798,000,000","2,284,000,000","2,303,000,000","1,972,000,000","2,064,000,000","2,474,000,000","1,788,000,000","1,841,000,000","1,877,000,000","2,461,000,000","2,251,000,000","1,810,000,000","2,030,000,000","2,276,000,000","2,427,700,000","1,916,000,000","2,077,700,000","2,563,500,000","2,269,900,000","2,132,300,000","1,984,400,000","2,313,100,000","2,251,900,000","2,050,200,000","1,962,300,000","2,386,300,000","2,236,500,000","1,855,000,000","1,842,000,000","2,395,800,000","2,301,200,000","1,921,900,000","1,910,100,000","2,297,000,000","-734,200,000","3,167,600,000","3,145,500,000","3,189,800,000","3,695,700,000","2,897,900,000","3,851,800,000","4,289,600,000","4,744,500,000","3,920,100,000","3,715,900,000","3,873,200,000","4,141,800,000","3,712,300,000","3,369,800,000","3,641,200,000","3,969,200,000","3,574,600,000","3,114,800,000","3,478,400,000","3,493,400,000","3,352,500,000","2,866,100,000","1,980,500,000","2,331,000,000","2,119,300,000","1,935,400,000","1,952,100,000","2,364,100,000","2,145,400,000","2,265,700,000","1,761,700,000","2,371,900,000","2,274,400,000","2,249,300,000","1,967,700,000","2,280,400,000","1,968,400,000","1,742,200,000","1,642,100,000",,,,,,,,,,,,,,,,,
GrossProfit,"10,842,000,000","2,548,000,000","2,546,000,000","2,699,000,000","3,049,000,000","2,417,000,000","2,482,000,000","2,790,000,000","2,604,000,000","6,653,000,000","1,217,000,000","1,300,000,000","1,419,000,000","1,419,000,000","1,341,000,000","1,282,000,000","1,361,000,000","1,423,000,000","1,309,000,000","1,253,000,000","1,269,000,000","792,000,000","1,499,000,000","1,426,000,000","1,493,000,000","1,477,000,000","1,415,000,000","1,312,000,000","1,358,000,000","1,447,000,000","1,431,000,000","1,390,000,000","1,572,000,000","1,608,000,000","1,662,000,000","1,635,000,000","1,566,000,000","1,483,000,000","1,577,000,000","1,599,000,000","1,463,000,000","1,533,000,000","1,555,000,000","1,556,000,000","1,234,000,000","1,472,700,000","1,381,000,000","1,253,300,000","967,400,000","1,228,500,000","1,217,700,000","1,021,900,000","846,800,000","1,275,000,000","1,325,500,000","1,431,400,000","1,267,800,000","1,522,300,000","1,426,400,000","1,532,900,000","1,262,000,000","1,581,700,000","1,456,900,000","1,573,000,000","1,284,800,000","-2,050,900,000","2,775,300,000","2,730,600,000","2,386,900,000","2,600,700,000","2,586,700,000","2,990,000,000","2,482,800,000","2,771,900,000","2,679,700,000","2,702,400,000","2,177,600,000","2,635,700,000","2,594,200,000","2,479,700,000","2,031,000,000","2,070,700,000","2,139,200,000","2,602,100,000","2,273,800,000","2,650,000,000","2,609,500,000","2,046,400,000","1,045,300,000","1,241,400,000","1,212,700,000","1,067,900,000","999,000,000","978,300,000","1,143,400,000","513,600,000","923,900,000","1,238,200,000","1,373,000,000","781,600,000","950,000,000","1,129,000,000","1,298,000,000","1,042,800,000","981,300,000",,,,,,,,,,,,,,,,,
OperatingExpense,"6,831,000,000","2,103,000,000","1,631,000,000","1,564,000,000","1,533,000,000","1,280,000,000","1,489,000,000","1,346,000,000","1,454,000,000","4,230,000,000","636,000,000","598,000,000","626,000,000","667,000,000","605,000,000","588,000,000","580,000,000","1,017,000,000","602,000,000","584,000,000","565,000,000","485,000,000","701,000,000","693,000,000","672,000,000","730,000,000","662,000,000","671,000,000","656,000,000","740,000,000","685,000,000","660,000,000","754,000,000","795,000,000","834,000,000","797,000,000","766,000,000","663,000,000","806,000,000","830,000,000","810,000,000","832,000,000","852,000,000","822,000,000","797,000,000","841,400,000","763,000,000","816,600,000","756,900,000","793,500,000","767,800,000","770,900,000","739,300,000","-13,287,900,000","14,937,700,000","791,800,000","698,700,000","817,500,000","780,600,000","783,000,000","740,700,000","900,200,000","810,500,000","822,700,000","773,600,000","8,742,900,000","1,368,900,000","1,303,900,000","1,261,100,000","19,339,600,000","1,242,200,000","1,542,900,000","1,303,300,000","2,827,900,000","1,300,200,000","1,386,900,000","1,190,800,000","1,370,500,000","1,306,000,000","1,301,900,000","1,165,500,000","1,674,300,000","1,945,500,000","2,016,300,000","1,870,100,000","2,749,700,000","1,849,600,000","1,626,100,000","790,300,000","875,100,000","821,200,000","785,600,000","721,500,000","682,000,000","736,100,000","739,000,000","650,500,000","964,500,000","930,900,000","918,400,000","776,200,000","790,100,000","804,300,000","767,900,000","725,600,000",,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"6,441,000,000","2,002,000,000","1,536,000,000","1,469,000,000","1,434,000,000","1,399,000,000","1,391,000,000","1,222,000,000","1,341,000,000","3,945,000,000","584,000,000","545,000,000","573,000,000","612,000,000","549,000,000","532,000,000","524,000,000","979,000,000","547,000,000","528,000,000","510,000,000","448,000,000","640,000,000","630,000,000","617,000,000","665,000,000","597,000,000","605,000,000","588,000,000","669,000,000","617,000,000","589,000,000","642,000,000","681,000,000","721,000,000","683,000,000","650,000,000","578,000,000","679,000,000","698,000,000","679,000,000","696,000,000","718,000,000","683,000,000","658,000,000","702,600,000","624,000,000","673,100,000","616,100,000","646,100,000","620,400,000","625,700,000","597,000,000","678,600,000","680,800,000","668,400,000","580,900,000","698,300,000","668,800,000","673,500,000","625,500,000","721,600,000","701,000,000","714,100,000","650,500,000","-687,500,000","1,181,500,000","1,121,200,000","1,067,700,000","1,128,500,000","1,043,500,000","1,277,200,000","1,051,800,000","1,235,000,000","1,049,600,000","1,140,500,000","949,600,000","1,130,900,000","1,068,100,000","1,063,200,000","936,100,000","891,600,000","1,162,300,000","1,240,400,000","1,124,900,000","1,288,200,000","1,169,300,000","1,075,100,000","561,100,000","646,200,000","602,500,000","585,600,000","524,400,000","592,700,000","543,600,000","503,400,000","421,200,000","740,300,000","693,500,000","654,900,000","558,000,000","590,300,000","604,200,000","570,500,000","533,100,000",,,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"6,441,000,000","2,002,000,000","1,536,000,000","1,469,000,000","1,434,000,000","1,399,000,000","1,391,000,000",,,"3,945,000,000","584,000,000","545,000,000","573,000,000","612,000,000","549,000,000","532,000,000","524,000,000","979,000,000","547,000,000","528,000,000","510,000,000","448,000,000","640,000,000","630,000,000","617,000,000","665,000,000","597,000,000","605,000,000","588,000,000","669,000,000","617,000,000","589,000,000","642,000,000","681,000,000","721,000,000","683,000,000","650,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,"43,000,000","11,000,000","10,000,000","10,000,000","12,000,000","15,000,000","18,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"6,398,000,000","1,991,000,000","1,526,000,000","1,459,000,000","1,422,000,000","1,384,000,000","1,373,000,000",,,"3,945,000,000","584,000,000","545,000,000","573,000,000","612,000,000","549,000,000","532,000,000","524,000,000","627,000,000","547,000,000","528,000,000","510,000,000","237,000,000","640,000,000","630,000,000","617,000,000","665,000,000","597,000,000","605,000,000","588,000,000","669,000,000","617,000,000","589,000,000","642,000,000","681,000,000","721,000,000","683,000,000","650,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"390,000,000","101,000,000","95,000,000","95,000,000","99,000,000","95,000,000","98,000,000","124,000,000","113,000,000","285,000,000","52,000,000","53,000,000","53,000,000","55,000,000","56,000,000","56,000,000","56,000,000","57,000,000","55,000,000","56,000,000","55,000,000","37,000,000","61,000,000","63,000,000","64,000,000","65,000,000","65,000,000","66,000,000","68,000,000","71,000,000","68,000,000","71,000,000","112,000,000","114,000,000","113,000,000","114,000,000","116,000,000","85,000,000","127,000,000","132,000,000","131,000,000","136,000,000","134,000,000","139,000,000","139,000,000","138,800,000","139,000,000","143,500,000","140,800,000","147,400,000","147,400,000","145,200,000","142,300,000","150,700,000","139,700,000","123,400,000","117,800,000","119,200,000","111,800,000","109,500,000","115,200,000","113,400,000","109,500,000","108,600,000","123,100,000","-54,000,000","187,400,000","182,700,000","193,400,000","214,000,000","198,700,000","265,700,000","251,500,000","261,600,000","250,600,000","246,400,000","241,200,000","239,600,000","237,900,000","238,700,000","229,400,000","782,700,000","783,200,000","775,900,000","745,200,000","763,000,000","680,300,000","551,000,000","229,200,000","228,900,000","218,700,000","200,000,000","197,100,000","89,300,000","192,500,000","235,600,000","229,300,000","224,200,000","237,400,000","263,500,000","218,200,000","199,800,000","200,100,000","197,400,000","192,500,000",,,,,,,,,,,,,,,,,
