name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013
TotalRevenue,"1,055,524,000","284,986,000","256,194,000","242,146,000","272,198,000","220,947,000","196,532,000","181,587,000","242,368,000","193,409,000","175,006,000","169,313,000","199,943,000","150,332,000","133,288,000","128,800,000","153,916,000","114,025,000","101,287,000","98,227,000","119,508,000","87,810,000","77,325,000","73,880,000","90,126,000","65,118,000","55,340,000","48,973,000","55,222,000","44,040,000","36,598,000","33,306,000","36,985,000","30,280,000","25,830,000","23,914,000","27,577,000"
	OperatingRevenue,"1,055,524,000","284,986,000","256,194,000","242,146,000","272,198,000","220,947,000","196,532,000","181,587,000","242,368,000","193,409,000","175,006,000","169,313,000","199,943,000","150,332,000","133,288,000","128,800,000","153,916,000","114,025,000","101,287,000","98,227,000","119,508,000","87,810,000","77,325,000","73,880,000","90,126,000","65,118,000","55,340,000","48,973,000","55,222,000","44,040,000","36,598,000","33,306,000","36,985,000","30,280,000","25,830,000","23,914,000","27,577,000"
CostOfRevenue,"161,886,000","46,523,000","42,680,000","36,410,000","36,273,000","33,030,000","30,912,000","29,558,000","30,046,000","28,798,000","26,392,000","25,239,000","29,318,000","24,102,000","22,125,000","20,931,000","23,605,000","19,180,000","17,826,000","17,876,000","17,146,000","15,482,000","14,748,000","11,865,000","11,971,000","10,262,000","8,909,000","8,021,000","8,281,000","7,595,000","6,436,000","6,365,000","6,922,000","5,938,000","5,340,000","4,768,000","4,845,000"
GrossProfit,"893,638,000","238,463,000","213,514,000","205,736,000","235,925,000","187,917,000","165,620,000","152,029,000","212,322,000","164,611,000","148,614,000","144,074,000","170,625,000","126,230,000","111,163,000","107,869,000","130,311,000","94,845,000","83,461,000","80,351,000","102,362,000","72,328,000","62,577,000","62,015,000","78,155,000","54,856,000","46,431,000","40,952,000","46,941,000","36,445,000","30,162,000","26,941,000","30,063,000","24,342,000","20,490,000","19,146,000","22,732,000"
OperatingExpense,"640,071,000","169,837,000","170,209,000","158,646,000","141,379,000","151,670,000","131,584,000","125,453,000","123,058,000","104,317,000","98,058,000","91,188,000","108,137,000","82,817,000","74,918,000","64,832,000","79,291,000","75,411,000","72,024,000","71,262,000","63,697,000","59,647,000","61,995,000","46,011,000","49,451,000","48,622,000","39,576,000","30,144,000","36,403,000","31,658,000","25,484,000","23,847,000","26,922,000","25,596,000","18,651,000","15,953,000","17,193,000"
	SellingGeneralAndAdministration,"485,834,000","125,115,000","129,725,000","122,042,000","108,952,000","119,201,000","102,662,000","96,901,000","95,152,000","80,154,000","72,788,000","69,035,000","84,843,000","65,604,000","59,231,000","50,642,000","65,009,000","65,249,000","61,509,000","60,727,000","54,674,000","50,719,000","53,731,000","39,986,000","43,868,000","44,560,000","35,770,000","26,837,000","33,213,000","28,995,000","23,266,000","21,838,000","24,949,000","23,801,000","17,154,000","14,756,000","15,854,000"
		GeneralAndAdministrativeExpense,"209,840,000","49,606,000","59,980,000","54,063,000","46,191,000","56,713,000","40,516,000","40,837,000","40,134,000","29,148,000","25,728,000","27,460,000","45,198,000","22,905,000","22,048,000","18,995,000","32,657,000","21,197,000","25,967,000","26,657,000","17,826,000","14,163,000","24,457,000","15,220,000","15,206,000","13,750,000","11,996,000","10,096,000","11,984,000","9,685,000","8,410,000","8,138,000","9,268,000","10,033,000","6,815,000","6,040,000","5,996,000"
			OtherGandA,"209,840,000","49,606,000","59,980,000","54,063,000","46,191,000","56,713,000","40,516,000","40,837,000","40,134,000","29,148,000","25,728,000","27,460,000","45,198,000","22,905,000","22,048,000","18,995,000","32,657,000","21,197,000","25,967,000","26,657,000","17,826,000","14,163,000","24,457,000","15,220,000","15,206,000","13,750,000","11,996,000","10,096,000","11,984,000","9,685,000","8,410,000","8,138,000","9,268,000","10,033,000","6,815,000","6,040,000","5,996,000"
		SellingAndMarketingExpense,"275,994,000","75,509,000","69,745,000","67,979,000","62,761,000","62,488,000","62,146,000","56,064,000","55,018,000","51,006,000","47,060,000","41,575,000","39,645,000","42,699,000","37,183,000","31,647,000","32,352,000","44,052,000","35,542,000","34,070,000","36,848,000","36,556,000","29,274,000","24,766,000","28,662,000","30,810,000","23,774,000","16,741,000","21,229,000","19,310,000","14,856,000","13,700,000","15,681,000","13,768,000","10,339,000","8,716,000","9,858,000"
	ResearchAndDevelopment,"118,426,000","34,414,000","31,077,000","28,224,000","24,711,000","25,073,000","21,772,000","21,778,000","21,621,000","18,211,000","19,605,000","16,775,000","18,489,000","12,740,000","11,526,000","10,731,000","11,250,000","7,426,000","8,112,000","8,095,000","6,797,000","6,672,000","6,232,000","4,202,000","3,860,000","2,504,000","2,349,000","1,907,000","1,867,000","1,447,000","1,059,000","937,000","882,000","829,000","538,000","324,000","455,000"
	DepreciationAmortizationDepletionIncomeStatement,"35,811,000","10,308,000","9,407,000","8,380,000","7,716,000","7,396,000","7,150,000","6,774,000","6,285,000","5,952,000","5,665,000","5,378,000","4,805,000","4,473,000","4,161,000","3,459,000","3,032,000","2,736,000","2,403,000","2,440,000","2,226,000","2,256,000","2,032,000","1,823,000","1,723,000","1,558,000","1,457,000","1,400,000","1,323,000","1,216,000","1,159,000","1,072,000","1,091,000","966,000","959,000","873,000","884,000"
		DepreciationAndAmortizationInIncomeStatement,"35,811,000","10,308,000","9,407,000","8,380,000","7,716,000","7,396,000","7,150,000","6,774,000","6,285,000","5,952,000","5,665,000","5,378,000","4,805,000","4,473,000","4,161,000","3,459,000","3,032,000","2,736,000","2,403,000","2,440,000","2,226,000","2,256,000","2,032,000","1,823,000","1,723,000","1,558,000","1,457,000","1,400,000","1,323,000","1,216,000","1,159,000","1,072,000","1,091,000","966,000","959,000","873,000","884,000"
OperatingIncome,"253,567,000","68,626,000","43,305,000","47,090,000","94,546,000","36,247,000","34,036,000","26,576,000","89,264,000","60,294,000","50,556,000","52,886,000","62,488,000","43,413,000","36,245,000","43,037,000","51,020,000","19,434,000","11,437,000","9,089,000","38,665,000","12,681,000","582,000","16,004,000","28,704,000","6,234,000","6,855,000","10,808,000","10,538,000","4,787,000","4,678,000","3,094,000","3,141,000","-1,254,000","1,839,000","3,193,000","5,539,000"
NetNonOperatingInterestIncomeExpense,"0","0","0","0","0","0","0","-3,000","-16,000","-146,000","-260,000","-258,000","-276,000","-348,000","-384,000","-34,000","0","-153,000","-220,000","-281,000","-257,000","-303,000","-252,000","-170,000","-311,000","-360,000","-343,000","-392,000","-332,000","-342,000","-338,000","-674,000","-2,067,000","4,124,000","-2,329,000","-2,326,000","-2,274,000"
	InterestExpenseNonOperating,"0","0","0","0","0","0","0","3,000","16,000","146,000","260,000","258,000","276,000","348,000","384,000","34,000","0","153,000","220,000","281,000","257,000","303,000","252,000","170,000","311,000","360,000","343,000","392,000","332,000","342,000","338,000","674,000","2,067,000","-4,124,000","2,329,000","2,326,000","2,274,000"
OtherIncomeExpense,"2,395,000","1,376,000","244,000","146,000","629,000","354,000","246,000","162,000","-930,000","971,000","195,000","-263,000","-100,000","-366,000","583,000","515,000","1,030,000","-1,429,000","118,000","149,000","95,000","371,000","-213,000","116,000","34,000","367,000","98,000","19,000","33,000","26,000","39,000","-3,457,000","769,000","1,059,000","-133,000","-338,000","611,000"
	SpecialIncomeCharges,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0",,"0","0","-4,044,000",,,"0","0",
		OtherSpecialCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"4,044,000",,,,,
	OtherNonOperatingIncomeExpenses,"2,395,000","1,376,000","244,000","146,000","629,000","354,000","246,000","162,000","-930,000","971,000","195,000","-263,000","-100,000","-366,000","583,000","515,000","1,030,000","-1,429,000","118,000","149,000","95,000","371,000","-213,000","116,000","34,000","367,000","98,000","19,000","33,000","26,000","39,000","587,000","769,000","1,059,000","-133,000","-338,000","611,000"
PretaxIncome,"255,962,000","70,002,000","43,549,000","47,236,000","95,175,000","36,601,000","34,282,000","26,735,000","88,318,000","61,119,000","50,491,000","52,365,000","62,112,000","42,699,000","36,444,000","43,518,000","52,050,000","17,852,000","11,335,000","8,957,000","38,503,000","12,749,000","117,000","15,950,000","28,427,000","6,241,000","6,610,000","10,435,000","10,239,000","4,471,000","4,379,000","-1,037,000","1,843,000","3,929,000","-623,000","529,000","3,876,000"
TaxProvision,"60,002,000","21,315,000","13,170,000","-5,042,000","30,559,000","12,234,000","6,800,000","-1,854,000","25,303,000","15,739,000","11,339,000","3,603,000","14,830,000","11,285,000","7,675,000","7,796,000","10,890,000","4,947,000","-2,732,000","-5,264,000","12,889,000","4,116,000","-6,081,000","5,529,000","9,839,000","1,084,000","2,763,000","4,489,000","4,244,000","1,965,000","1,689,000","-444,000","783,000",,"-199,000","169,000","1,241,000"
NetIncomeCommonStockholders,"195,960,000","48,687,000","30,379,000","52,278,000","64,616,000","24,367,000","27,482,000","28,576,000","62,988,000","45,361,000","39,134,000","48,708,000","47,227,000","31,389,000","28,733,000","35,639,000","41,160,000","12,883,000","14,028,000","14,172,000","25,421,000","8,571,000","6,151,000","10,292,000","18,356,000","5,092,000","3,798,000","5,946,000","5,995,000","2,506,000","2,690,000","-593,000","1,060,000","-1,327,000","-424,000","360,000","2,635,000"
