name,ttm,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,11/30/2016,08/31/2016,05/31/2016,02/29/2016,11/30/2015,08/31/2015,05/31/2015,02/28/2015,11/30/2014,08/31/2014,05/31/2014,02/28/2014,11/30/2013,08/31/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005,11/30/2004,08/31/2004,05/31/2004,02/29/2004,11/30/2003,08/31/2003,05/31/2003,02/28/2003,11/30/2002,08/31/2002,05/31/2002,02/28/2002,11/30/2001,08/31/2001,05/31/2001,02/28/2001,11/30/2000,08/31/2000,05/31/2000,02/29/2000,11/30/1999,08/31/1999,05/31/1999,02/28/1999,11/30/1998,08/31/1998,05/31/1998,02/28/1998,11/30/1997,08/31/1997,05/31/1997,02/28/1997,11/30/1996,08/31/1996,05/31/1996,02/29/1996,11/30/1995,08/31/1995,05/31/1995,02/28/1995,11/30/1994,08/31/1994,05/31/1994,02/28/1994,11/30/1993,08/31/1993,05/31/1993,02/28/1993,11/30/1992,08/31/1992,05/31/1992,02/29/1992,11/30/1991,08/31/1991,05/31/1991,02/28/1991,11/30/1990,08/31/1990,05/31/1990,02/28/1990,11/30/1989,08/31/1989,05/31/1989,02/28/1989,11/30/1988,08/31/1988,05/31/1988,02/29/1988,11/30/1987,08/31/1987,05/31/1987,02/28/1987,11/30/1986,08/31/1986,05/31/1986,02/28/1986,11/30/1985,08/31/1985
TotalRevenue,"4,496,600,000","1,276,000,000","1,108,500,000","1,082,900,000","1,029,200,000","1,111,700,000","983,700,000","932,200,000","915,100,000","1,142,700,000","990,700,000","992,000,000","980,400,000","1,070,400,000","858,900,000","862,800,000","871,100,000","866,500,000","826,500,000","816,800,000","798,600,000","795,800,000","771,400,000","785,500,000","753,900,000","752,600,000","722,400,000","723,000,000","692,200,000","704,300,000","676,300,000","666,800,000","664,000,000","636,500,000","610,500,000","607,900,000","585,300,000","593,300,000","559,400,000","578,200,000","584,300,000","558,500,000","535,000,000","552,000,000","510,400,000","519,600,000","500,000,000","506,200,000","482,484,000","493,790,000","483,024,000","486,491,000","420,479,000","528,581,000","524,160,000","534,085,000","519,228,000","532,172,000","507,793,000","507,130,000","487,348,000","485,287,000","454,955,000","459,374,000","440,480,000","430,586,000","399,815,000","403,715,000","379,022,000","373,861,000","347,285,000","344,975,000","330,389,000","342,606,000","312,099,000","309,253,000","236,758,000","287,789,000","268,807,000","252,675,000","244,308,000","242,800,000","232,988,000","234,814,000","228,620,000","229,256,000","208,098,000","203,883,000","197,219,000","192,200,000","172,400,000","166,400,000","304,900,000","306,700,000","282,000,000","281,800,000","268,200,000","271,400,000","235,200,000","218,600,000","203,600,000","195,600,000","169,500,000","166,000,000","86,000,000","84,900,000","78,200,000","76,200,000","71,900,000","68,600,000","63,800,000","62,900,000","58,900,000","57,600,000","54,300,000","53,300,000","50,300,000","48,600,000","45,700,000","45,300,000","42,400,000","41,700,000","39,200,000","38,000,000","35,300,000","35,300,000","33,500,000","33,100,000","31,200,000","31,000,000","29,500,000","28,500,000","26,600,000","25,800,000","24,000,000","24,900,000","21,500,000","20,700,000","19,200,000","18,000,000","17,000,000","16,600,000","15,300,000","15,000,000","13,800,000","13,200,000","12,100,000","11,700,000"
	OperatingRevenue,"4,439,100,000","1,261,600,000","1,094,400,000","1,068,400,000","1,014,700,000","1,096,600,000","968,900,000","917,300,000","889,800,000","1,121,500,000","970,800,000","971,500,000","958,200,000","1,047,400,000","840,600,000","845,700,000","853,400,000","848,400,000","812,500,000","803,100,000","784,600,000","782,600,000","760,000,000","773,500,000","741,600,000","740,700,000","711,300,000","712,200,000","681,400,000","693,600,000","665,900,000","656,600,000","653,800,000","626,000,000","600,500,000","597,900,000","575,300,000","582,400,000","559,400,000","568,100,000","540,700,000","558,500,000","535,000,000","552,000,000","510,400,000","519,600,000","500,000,000","506,200,000","482,484,000","493,790,000","483,024,000","486,491,000","480,859,000","512,196,000","504,383,000","509,867,000","487,837,000","494,845,000","477,039,000","474,815,000","450,511,000","447,568,000","425,246,000","429,543,000","408,471,000","401,883,000","379,028,000","384,415,000","358,501,000","357,094,000","334,876,000","334,203,000","318,528,000","328,088,000","297,559,000","295,918,000","276,653,000","274,303,000","255,675,000","239,398,000","293,261,000","227,964,000","217,509,000","216,176,000","228,620,000","229,256,000","208,098,000","203,883,000","197,219,000","192,200,000","172,400,000","166,400,000","304,900,000","306,700,000","282,000,000","281,800,000","268,200,000","271,400,000","235,200,000","218,600,000","203,600,000","195,600,000","169,500,000","166,000,000","86,000,000","84,900,000","78,200,000","76,200,000","71,900,000","68,600,000","63,800,000","62,900,000","58,900,000","57,600,000","54,300,000","53,300,000","50,300,000","48,600,000","45,700,000","45,300,000","42,400,000","41,700,000","39,200,000","38,000,000","35,300,000","35,300,000","33,500,000","33,100,000","31,200,000","31,000,000","29,500,000","28,500,000","26,600,000","25,800,000","24,000,000","24,900,000","21,500,000","20,700,000","19,200,000","18,000,000","17,000,000","16,600,000","15,300,000","15,000,000","13,800,000","13,200,000","12,100,000","11,700,000"
CostOfRevenue,"1,312,100,000","352,200,000","331,600,000","312,500,000","315,800,000","328,400,000","319,900,000","307,100,000","291,700,000","340,300,000","323,400,000","325,400,000","322,100,000","325,300,000","264,900,000","265,500,000","266,300,000","270,700,000","248,700,000","232,100,000","231,400,000","236,800,000","226,300,000","225,100,000","220,300,000","225,900,000","205,200,000","205,700,000","203,600,000","211,000,000","199,100,000","194,300,000","223,000,000","177,100,000","167,700,000","164,700,000","170,700,000","172,100,000","164,300,000","164,200,000","171,500,000","177,100,000","165,200,000","167,000,000","167,800,000","166,600,000","159,000,000","160,200,000","163,083,000","164,508,000","162,648,000","163,346,000","166,872,000","174,503,000","170,675,000","168,468,000","167,973,000","170,995,000","162,452,000","159,315,000","157,982,000","158,543,000","150,870,000","148,084,000","145,998,000","145,486,000","135,350,000","133,421,000","83,198,000","86,035,000","79,928,000","80,346,000","78,091,000","79,239,000","74,435,000","71,671,000","69,293,000","68,794,000","63,618,000","55,944,000","55,471,000","56,739,000","54,731,000","53,756,000","81,481,000","44,573,000","37,680,000","36,618,000","37,197,000","36,800,000","32,500,000","30,600,000","177,400,000","180,800,000","168,100,000","170,900,000","157,100,000","173,800,000","143,300,000","129,900,000","116,200,000","116,100,000","98,600,000","97,600,000","21,500,000","22,400,000","20,200,000","18,900,000","18,200,000","18,600,000","15,700,000","15,100,000","14,800,000","15,400,000","13,300,000","13,400,000","13,000,000","13,900,000","11,800,000","11,300,000","10,700,000","12,300,000","10,400,000","10,000,000","10,200,000","11,700,000","9,800,000","9,700,000","9,700,000","10,900,000","9,000,000","8,200,000",,,,,,,,,,,,,,,,
GrossProfit,"3,184,500,000","923,800,000","776,900,000","770,400,000","713,400,000","783,300,000","663,800,000","625,100,000","623,400,000","802,400,000","667,300,000","666,600,000","658,300,000","745,100,000","594,000,000","597,300,000","604,800,000","595,800,000","577,800,000","584,700,000","567,200,000","559,000,000","545,100,000","560,400,000","533,600,000","526,700,000","517,200,000","517,300,000","488,600,000","493,300,000","477,200,000","472,500,000","441,000,000","459,400,000","442,800,000","443,200,000","414,600,000","421,200,000","395,100,000","414,000,000","412,800,000","381,400,000","369,800,000","385,000,000","342,600,000","353,000,000","341,000,000","346,000,000","319,401,000","329,282,000","320,376,000","323,145,000","253,607,000","354,078,000","353,485,000","365,617,000","351,255,000","361,177,000","345,341,000","347,815,000","329,366,000","326,744,000","304,085,000","311,290,000","294,482,000","285,100,000","264,465,000","270,294,000","295,824,000","287,826,000","267,357,000","264,629,000","252,298,000","263,367,000","237,664,000","237,582,000","167,465,000","218,995,000","205,189,000","196,731,000","188,837,000","186,061,000","178,257,000","181,058,000","147,139,000","184,683,000","170,418,000","167,265,000","160,022,000","155,400,000","139,900,000","135,800,000","127,500,000","125,900,000","113,900,000","110,900,000","111,100,000","97,600,000","91,900,000","88,700,000","87,400,000","79,500,000","70,900,000","68,400,000","64,500,000","62,500,000","58,000,000","57,300,000","53,700,000","50,000,000","48,100,000","47,800,000","44,100,000","42,200,000","41,000,000","39,900,000","37,300,000","34,700,000","33,900,000","34,000,000","31,700,000","29,400,000","28,800,000","28,000,000","25,100,000","23,600,000","23,700,000","23,400,000","21,500,000","20,100,000","20,500,000","20,300,000",,,,,,,,,,,,,,,,
OperatingExpense,"1,384,700,000","361,000,000","336,600,000","327,500,000","359,600,000","314,700,000","309,500,000","341,100,000","323,800,000","332,300,000","325,600,000","317,500,000","343,800,000","315,800,000","286,800,000","277,000,000","287,000,000","303,300,000","245,600,000","239,700,000","268,300,000","252,400,000","234,000,000","237,400,000","257,300,000","246,700,000","223,000,000","221,200,000","237,000,000","229,000,000","207,000,000","205,000,000","212,700,000","208,700,000","194,200,000","188,100,000","202,800,000","196,200,000","175,100,000","176,000,000","184,100,000","182,000,000","162,600,000","166,400,000","172,100,000","165,800,000","149,100,000","157,300,000","159,514,000","175,062,000","140,863,000","147,001,000","154,747,000","156,677,000","141,585,000","144,032,000","153,451,000","150,778,000","135,865,000","137,227,000","169,484,000","153,760,000","121,757,000","124,936,000","126,756,000","124,500,000","105,860,000","107,474,000","152,997,000","152,444,000","140,459,000","135,961,000","165,349,000","146,894,000","122,849,000","122,504,000","69,514,000","117,576,000","105,995,000","94,254,000","97,205,000","98,844,000","87,174,000","87,296,000","59,570,000","97,801,000","86,993,000","88,439,000","90,129,000","87,500,000","77,400,000","77,100,000","75,100,000","77,400,000","68,900,000","69,300,000","74,300,000","62,700,000","59,300,000","58,300,000","61,200,000","54,400,000","47,600,000","46,300,000","45,500,000","46,300,000","41,600,000","41,500,000","40,400,000","38,100,000","35,100,000","35,000,000","34,700,000","33,600,000","31,300,000","30,800,000","30,600,000","28,900,000","27,000,000","26,900,000","26,900,000","25,300,000","23,500,000","23,300,000","22,500,000","21,000,000","19,600,000","19,200,000","19,100,000","18,400,000","16,400,000","16,400,000",,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"1,384,700,000","361,000,000","336,600,000","327,500,000","359,600,000","314,700,000","309,500,000","341,100,000","323,800,000","332,300,000","325,600,000","317,500,000","343,800,000","315,800,000","286,800,000","277,000,000","287,000,000","303,300,000","245,600,000","239,700,000","268,300,000","252,400,000","234,000,000","237,400,000","257,300,000","246,700,000","223,000,000","221,200,000","237,000,000","229,000,000","207,000,000","205,000,000","212,700,000","208,700,000","194,200,000","188,100,000","202,800,000","196,200,000","175,100,000","176,000,000","184,100,000","182,000,000","162,600,000","166,400,000","172,100,000","165,800,000","149,100,000","157,300,000","159,514,000","175,062,000","140,863,000","147,001,000","154,747,000","156,677,000","141,585,000","144,032,000","153,451,000","150,778,000","135,865,000","137,227,000","169,484,000","153,760,000","121,757,000","124,936,000","126,936,000","124,500,000","105,860,000","107,474,000","152,997,000","152,444,000","140,459,000","135,961,000","165,349,000","146,894,000","122,849,000","122,504,000","122,564,000","117,576,000","105,995,000","94,254,000","97,205,000","98,844,000","87,174,000","87,296,000","88,097,000","87,998,000","77,578,000","79,130,000","80,545,000","78,300,000","68,500,000","68,300,000","66,000,000","68,900,000","61,100,000","61,800,000","60,600,000","61,700,000","52,700,000","52,300,000","50,500,000","51,100,000","43,900,000","42,600,000","42,100,000","42,900,000","38,000,000","38,000,000","37,400,000","35,400,000","32,400,000","32,400,000","32,000,000","31,000,000","28,200,000","28,000,000","27,900,000","26,200,000","24,300,000","24,300,000","24,100,000","23,000,000","21,300,000","20,800,000","20,100,000","19,000,000","17,600,000","17,100,000","17,000,000","16,600,000","14,700,000","14,700,000",,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,803,000","9,415,000","9,309,000","9,584,000","9,200,000","8,900,000","8,800,000","9,100,000","8,500,000","7,800,000","7,500,000","13,700,000","1,000,000","6,600,000","6,000,000","10,700,000","3,300,000","3,700,000","3,700,000","3,400,000","3,400,000","3,600,000","3,500,000","3,000,000","2,700,000","2,700,000","2,600,000","2,700,000","2,600,000","3,100,000","2,800,000","2,700,000","2,700,000","2,700,000","2,600,000","2,800,000","2,300,000","2,200,000","2,500,000","2,400,000","2,000,000","2,000,000","2,100,000","2,100,000","1,800,000","1,700,000","1,700,000",,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,803,000","9,415,000","9,309,000","9,584,000","9,200,000","8,900,000","8,800,000","9,100,000","8,500,000","7,800,000","7,500,000","13,700,000","1,000,000","6,600,000","6,000,000","10,700,000","3,300,000","3,700,000","3,700,000","3,400,000","3,400,000","3,600,000","3,500,000","3,000,000","2,700,000","2,700,000","2,600,000","2,700,000","2,600,000","3,100,000","2,800,000","2,700,000","2,700,000","2,700,000","2,600,000","2,800,000","2,300,000","2,200,000","2,500,000","2,400,000","2,000,000","2,000,000","2,100,000","2,100,000","1,800,000","1,700,000","1,700,000",,,,,,,,,,,,,,,,
OperatingIncome,"1,799,800,000","562,800,000","440,300,000","442,900,000","353,800,000","468,600,000","354,300,000","284,000,000","299,600,000","470,100,000","341,700,000","349,100,000","314,500,000","429,300,000","307,200,000","320,300,000","317,800,000","292,500,000","332,200,000","345,000,000","298,900,000","306,600,000","311,100,000","323,000,000","276,300,000","280,000,000","294,200,000","296,100,000","251,600,000","264,300,000","270,200,000","267,500,000","228,300,000","250,700,000","248,600,000","255,100,000","211,800,000","225,000,000","220,000,000","238,000,000","228,700,000","199,400,000","207,200,000","218,600,000","170,500,000","187,200,000","191,900,000","188,700,000","159,887,000","154,220,000","179,513,000","176,144,000","98,860,000","197,401,000","211,900,000","221,585,000","197,804,000","210,399,000","209,476,000","210,588,000","159,882,000","172,984,000","182,328,000","186,354,000","167,726,000","160,600,000","158,605,000","162,820,000","142,827,000","135,382,000","126,898,000","128,668,000","86,949,000","116,473,000","114,815,000","115,078,000","97,951,000","101,419,000","99,194,000","102,477,000","91,632,000","87,217,000","91,083,000","93,762,000","87,569,000","86,882,000","83,425,000","78,826,000","69,893,000","67,900,000","62,500,000","58,700,000","52,400,000","48,500,000","45,000,000","41,600,000","36,800,000","34,900,000","32,600,000","30,400,000","26,200,000","25,100,000","23,300,000","22,100,000","19,000,000","16,200,000","16,400,000","15,800,000","13,300,000","11,900,000","13,000,000","12,800,000","9,400,000","8,600,000","9,700,000","9,100,000","6,700,000","5,800,000","6,900,000","7,100,000","4,800,000","4,100,000","5,300,000","4,700,000","2,600,000","2,600,000","4,100,000","4,200,000","2,400,000","1,700,000","4,100,000","3,900,000","-60,400,000","25,800,000","24,000,000","24,900,000","-47,100,000","20,700,000","19,200,000","18,000,000","-36,800,000","16,600,000","15,300,000","15,000,000","-29,200,000","13,200,000","12,100,000","11,700,000"
NetNonOperatingInterestIncomeExpense,"-34,500,000","-8,500,000","-8,900,000","-9,000,000","-8,100,000","-8,500,000","-8,500,000","-8,400,000","-7,700,000","-6,200,000","-6,800,000","-5,800,000","-5,000,000","-3,600,000","2,000,000","2,300,000","2,500,000","2,000,000","1,400,000","2,100,000","2,100,000","1,800,000","1,800,000","1,700,000","1,900,000","1,900,000","1,800,000","1,700,000","1,900,000","1,900,000","1,700,000","1,600,000","1,600,000","1,700,000","1,300,000","1,200,000",,,"10,000,000",,,"11,000,000","10,700,000","11,100,000","12,300,000","11,700,000","12,000,000","12,100,000","13,727,000","14,029,000","13,552,000","13,723,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
