name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"23,522,300,000","6,686,100,000","5,146,800,000","5,843,900,000","5,845,500,000","5,568,600,000","4,936,000,000","3,062,200,000","5,161,700,000","6,117,200,000","6,367,000,000","6,627,900,000","6,487,600,000","6,279,700,000","5,756,800,000","5,805,200,000","5,654,000,000","5,454,600,000","5,059,700,000","4,704,200,000","4,237,900,000","4,070,700,000","4,249,400,000","4,413,200,000","4,300,000,000","4,355,300,000","4,847,200,000","5,079,900,000","4,832,700,000","5,119,100,000","4,928,400,000","4,569,600,000","4,379,900,000","4,598,900,000","4,300,100,000","4,300,500,000","3,924,300,000","4,333,900,000","3,704,700,000","4,345,700,000","4,666,200,000","4,744,100,000","4,150,600,000","3,855,300,000","3,182,100,000","2,950,800,000","2,440,700,000","2,359,100,000","2,120,700,000","2,132,000,000","1,878,500,000","1,720,100,000","1,985,200,000","2,916,700,000","4,004,900,000","4,112,500,000","3,938,400,000","3,759,300,000","3,761,700,000","3,716,200,000","3,984,500,000","4,229,000,000","4,205,400,000","4,168,000,000","3,851,700,000","3,635,000,000","3,541,000,000","3,555,400,000","3,326,000,000","3,190,400,000","2,917,800,000","2,786,800,000","2,501,300,000","2,207,400,000","2,058,500,000","2,012,200,000","1,916,800,000","1,919,000,000","1,996,300,000","1,801,800,000","1,501,500,000","1,536,200,000","1,501,100,000","1,532,900,000","1,537,800,000","1,671,900,000","1,775,300,000","2,140,900,000","2,331,300,000","2,327,300,000","2,270,100,000","2,270,500,000","2,153,100,000","2,203,900,000","1,938,700,000","1,923,700,000","1,819,500,000","1,873,200,000","1,709,100,000","1,658,100,000","1,511,500,000","1,276,000,000","1,113,600,000","1,100,500,000","1,094,600,000","1,165,800,000","1,212,100,000","1,268,400,000","1,183,600,000","1,170,000,000","1,167,900,000","1,120,300,000","1,031,900,000","938,100,000","925,400,000","877,500,000","761,400,000","771,200,000","722,800,000","612,400,000","628,800,000","640,200,000","616,600,000","551,000,000","524,100,000","727,100,000","664,900,000","679,800,000","706,300,000","861,800,000","882,300,000","898,500,000","830,300,000","842,200,000","803,500,000","752,200,000","714,300,000","693,400,000","636,000,000","605,400,000","513,400,000","497,200,000","433,200,000","426,900,000","438,300,000","491,700,000","429,200,000"
	OperatingRevenue,"23,522,300,000","6,686,100,000","5,146,800,000","5,843,900,000","5,845,500,000","5,568,600,000","4,936,000,000","3,062,200,000","5,161,700,000","6,117,200,000","6,367,000,000","6,627,900,000","6,487,600,000","6,279,700,000","5,756,800,000","5,805,200,000","5,654,000,000","5,454,600,000","5,059,700,000","4,704,200,000","4,237,900,000","4,070,700,000","4,249,400,000","4,413,200,000","4,300,000,000","4,355,300,000","4,847,200,000","5,079,900,000","4,832,700,000","5,119,100,000","4,928,400,000","4,569,600,000","4,379,900,000","4,598,900,000","4,300,100,000","4,300,500,000","3,924,300,000","4,333,900,000","3,704,700,000","4,345,700,000","4,666,200,000","4,744,100,000","4,150,600,000","3,855,300,000","3,182,100,000","2,950,800,000","2,440,700,000","2,359,100,000","2,120,700,000","2,132,000,000","1,878,500,000","1,720,100,000","1,985,200,000","2,916,700,000","4,004,900,000","4,112,500,000","3,938,400,000","3,759,300,000","3,761,700,000","3,716,200,000","3,984,500,000","4,229,000,000","4,205,400,000","4,168,000,000","3,851,700,000","3,635,000,000","3,541,000,000","3,555,400,000","3,326,000,000","3,190,400,000","2,917,800,000","2,786,800,000","2,501,300,000","2,207,400,000","2,058,500,000","2,012,200,000","1,916,800,000","1,919,000,000","1,996,300,000","1,801,800,000","1,501,500,000","1,536,200,000","1,501,100,000","1,523,300,000","1,528,200,000","1,671,900,000","1,775,300,000","2,140,900,000","2,331,300,000","2,327,300,000","2,270,100,000","2,270,500,000","2,153,100,000","2,203,900,000","1,938,700,000","1,923,700,000","1,819,500,000","1,873,200,000","1,709,100,000","1,658,100,000","1,511,500,000","1,276,000,000","1,113,600,000","1,100,500,000","1,094,600,000","1,165,800,000","1,212,100,000","1,268,400,000","1,183,600,000","1,170,000,000","1,167,900,000","1,120,300,000","1,031,900,000","938,100,000","925,400,000","877,500,000","761,400,000","771,200,000","722,800,000","612,400,000","628,800,000","640,200,000","616,600,000","551,000,000","524,100,000","727,100,000","664,900,000","679,800,000","706,300,000","861,800,000","882,300,000","898,500,000","830,300,000","842,200,000","803,500,000","752,200,000","714,300,000","693,400,000","636,000,000","605,400,000","513,400,000","497,200,000","433,200,000","426,900,000","438,300,000","491,700,000","429,200,000"
CostOfRevenue,"19,632,600,000","5,667,500,000","4,291,700,000","4,827,200,000","4,804,200,000","4,654,800,000","4,102,200,000","2,555,100,000","4,312,500,000","4,835,800,000","5,206,000,000","5,439,800,000","5,270,500,000","5,139,500,000","4,702,600,000","4,693,000,000","4,576,800,000","4,449,300,000","4,085,100,000","3,792,600,000","3,416,300,000","3,275,300,000","3,403,700,000","3,522,000,000","3,443,900,000","3,499,500,000","3,880,500,000","4,090,800,000","3,939,300,000","4,307,400,000","4,038,900,000","3,753,100,000","3,632,100,000","3,765,400,000","3,529,000,000","3,534,000,000","3,228,200,000","3,405,800,000","3,108,500,000","3,632,500,000","3,919,900,000","3,994,400,000","3,484,000,000","3,231,100,000","2,632,300,000","2,456,900,000","2,019,200,000","1,954,900,000","1,767,800,000","1,783,000,000","1,646,500,000","1,492,800,000","1,561,100,000","2,341,900,000","3,113,500,000","3,202,200,000","3,079,300,000","2,775,500,000","2,998,400,000","2,970,700,000","3,338,900,000","3,955,700,000","3,364,900,000","3,353,900,000","3,226,800,000","2,931,900,000","2,842,500,000","2,876,400,000","2,689,700,000","2,591,000,000","2,378,900,000","2,255,200,000","2,043,500,000","1,801,700,000","1,695,900,000","1,656,400,000","1,577,100,000","1,567,500,000","1,623,900,000","1,500,000,000","1,255,800,000","1,274,500,000","1,255,900,000","1,275,200,000","1,267,000,000","1,473,800,000","1,462,100,000","1,758,200,000","1,898,300,000","1,713,400,000","1,823,700,000","1,842,600,000","1,755,800,000","1,698,100,000","1,571,600,000","1,559,000,000","1,478,400,000","1,413,500,000","1,402,100,000","1,366,700,000","1,255,000,000","955,400,000","908,400,000","897,400,000","895,000,000","867,000,000","992,300,000","1,040,300,000","978,700,000","864,100,000","971,400,000","934,900,000","866,200,000","687,700,000","776,000,000","744,200,000","668,300,000","629,800,000","599,800,000","499,300,000","520,800,000","519,500,000","494,000,000","442,300,000","430,300,000","582,200,000","540,700,000","543,200,000","561,900,000","683,500,000","700,000,000","721,600,000",,,,,,,,,,,,,,,
GrossProfit,"3,889,700,000","1,018,600,000","855,100,000","1,016,700,000","1,041,300,000","913,800,000","833,800,000","507,100,000","849,200,000","1,281,400,000","1,161,000,000","1,188,100,000","1,217,100,000","1,140,200,000","1,054,200,000","1,112,200,000","1,077,200,000","1,005,300,000","974,600,000","911,600,000","821,600,000","795,400,000","845,700,000","891,200,000","856,100,000","855,800,000","966,700,000","989,100,000","893,400,000","811,700,000","889,500,000","816,500,000","747,800,000","833,500,000","771,100,000","766,500,000","696,100,000","928,100,000","596,200,000","713,200,000","746,300,000","749,700,000","666,600,000","624,200,000","549,800,000","493,900,000","421,500,000","404,200,000","352,900,000","349,000,000","232,000,000","227,300,000","424,100,000","574,800,000","891,400,000","910,300,000","859,100,000","983,800,000","763,300,000","745,500,000","645,600,000","273,300,000","840,500,000","814,100,000","624,900,000","703,100,000","698,500,000","679,000,000","636,300,000","599,400,000","538,900,000","531,600,000","457,800,000","405,700,000","362,600,000","355,800,000","339,700,000","351,500,000","372,400,000","301,800,000","245,700,000","261,700,000","245,200,000","257,700,000","270,800,000","198,100,000","313,200,000","382,700,000","433,000,000","613,900,000","446,400,000","427,900,000","397,300,000","505,800,000","367,100,000","364,700,000","341,100,000","459,700,000","307,000,000","291,400,000","256,500,000","320,600,000","205,200,000","203,100,000","199,600,000","298,800,000","219,800,000","228,100,000","204,900,000","305,900,000","196,500,000","185,400,000","165,700,000","250,400,000","149,400,000","133,300,000","93,100,000","141,400,000","123,000,000","113,100,000","108,000,000","120,700,000","122,600,000","108,700,000","93,800,000","144,900,000","124,200,000","136,600,000","144,400,000","178,300,000","182,300,000","176,900,000",,,,,,,,,,,,,,,
OperatingExpense,"1,599,200,000","402,600,000","384,600,000","401,900,000","410,100,000","406,200,000","363,300,000","351,600,000","414,900,000","624,000,000","416,100,000","405,300,000","427,300,000","426,000,000","409,200,000","423,600,000","436,500,000","408,000,000","398,600,000","379,800,000","383,100,000","376,100,000","357,700,000","358,500,000","348,700,000","360,700,000","343,500,000","340,900,000","332,300,000","237,800,000","339,300,000","341,900,000","345,700,000","354,500,000","335,100,000","342,000,000","363,900,000","359,700,000","333,200,000","346,900,000","348,500,000","348,300,000","340,800,000","341,100,000","322,500,000","316,800,000","299,200,000","306,500,000","310,100,000","317,300,000","287,900,000","286,900,000","187,000,000","125,600,000","269,500,000","248,200,000","255,500,000","386,800,000","161,000,000","157,700,000","152,300,000","160,000,000","142,200,000","145,400,000","139,400,000","145,500,000","138,800,000","136,000,000","134,900,000","133,000,000","119,700,000","116,200,000","119,600,000","110,300,000","108,600,000","113,100,000","114,500,000","116,200,000","114,100,000","123,500,000","123,400,000","133,100,000","129,200,000","129,800,000","132,300,000","24,600,000","119,000,000","125,700,000","133,200,000","309,500,000","172,700,000","160,300,000","167,800,000","283,100,000","174,900,000","165,100,000","157,100,000","276,700,000","146,500,000","145,100,000","138,000,000","204,500,000","96,600,000","95,200,000","112,600,000","173,700,000","95,800,000","97,300,000","100,800,000","198,400,000","87,400,000","82,100,000","78,100,000","170,600,000","76,200,000","70,500,000","77,300,000","90,400,000","84,100,000","86,400,000","85,400,000","87,300,000","89,600,000","88,900,000","90,000,000","109,400,000","85,800,000","91,100,000","89,500,000","87,800,000","90,100,000","85,700,000",,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"676,800,000","182,700,000","168,600,000","164,400,000","161,100,000","165,500,000","131,700,000","120,200,000","164,000,000","183,200,000","172,600,000","173,300,000","169,400,000","166,200,000","153,500,000","156,800,000","168,200,000","143,700,000","140,700,000","134,100,000","136,500,000","139,300,000","130,800,000","135,300,000","134,800,000","145,400,000","131,000,000","132,100,000","133,000,000","140,100,000","136,700,000","139,600,000","145,000,000","147,600,000","134,700,000","136,000,000","141,200,000","138,600,000","136,500,000","146,600,000","149,900,000","143,500,000","137,100,000","133,200,000","133,100,000","129,900,000","116,200,000","119,800,000","115,600,000","116,200,000","108,500,000","100,500,000","109,700,000","45,500,000","181,400,000","157,500,000","172,600,000","131,300,000","161,000,000","157,700,000","152,300,000","160,000,000","142,200,000","145,400,000","139,400,000","145,500,000","138,800,000","136,000,000","134,900,000","133,000,000","119,700,000","116,200,000","119,600,000","110,300,000","108,600,000","113,100,000","114,500,000","116,200,000","114,100,000","123,500,000","123,400,000","133,100,000","129,200,000","129,800,000","132,300,000","119,700,000","119,000,000","125,700,000","133,200,000","162,600,000","172,700,000","160,300,000","167,800,000","159,200,000","174,900,000","165,100,000","157,100,000","164,700,000","146,500,000","145,100,000","138,000,000","123,400,000","96,600,000","95,200,000","112,600,000","101,300,000","95,800,000","97,300,000","100,800,000","135,200,000","87,400,000","82,100,000","78,100,000","113,900,000","76,200,000","70,500,000","77,300,000","78,400,000","72,100,000","74,700,000","73,900,000","75,000,000","77,300,000","76,900,000","77,300,000","94,600,000","72,900,000","78,900,000","77,600,000","74,700,000","76,500,000","72,700,000",,,,,,,,,,,,,,,
	ResearchAndDevelopment,"324,100,000","87,100,000","72,500,000","84,400,000","80,100,000","71,700,000","64,700,000","66,500,000","71,000,000","83,600,000","82,200,000","82,500,000","78,300,000","80,500,000","72,900,000","76,700,000","76,000,000","70,600,000","67,000,000","66,100,000","61,000,000","67,600,000","59,200,000","60,800,000","59,600,000","66,700,000","57,600,000","59,300,000","56,200,000","62,500,000","50,500,000","49,900,000","52,700,000","60,900,000","56,600,000","61,800,000","72,100,000","66,400,000","66,800,000","73,800,000","72,300,000","72,300,000","70,000,000","77,500,000","68,400,000","65,400,000","59,900,000","58,400,000","54,800,000","50,700,000","43,400,000","52,800,000","52,300,000","80,100,000","88,100,000","90,700,000","82,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"597,800,000","135,500,000","143,500,000","153,600,000","165,200,000","167,800,000","163,800,000","157,400,000","162,900,000","353,600,000","155,700,000","145,500,000","177,400,000","177,600,000","178,500,000","185,500,000","186,400,000","188,800,000","186,200,000","172,800,000","179,700,000","165,300,000","162,600,000","156,400,000","150,900,000","144,900,000","152,500,000","145,900,000","140,400,000","32,300,000","147,300,000","148,400,000","144,300,000","148,500,000","140,200,000","138,900,000","144,100,000","149,900,000","127,200,000","121,500,000","118,800,000","123,300,000","123,000,000","119,400,000","110,500,000","116,100,000","109,400,000","108,100,000","118,000,000","126,700,000","109,400,000","104,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,000,000","12,000,000","11,700,000","11,500,000","12,300,000","12,300,000","12,000,000","12,700,000","14,800,000","12,900,000","12,200,000","11,900,000","13,100,000","13,600,000","13,000,000",,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"597,800,000","135,500,000","143,500,000","153,600,000","165,200,000","167,800,000","163,800,000","157,400,000","162,900,000","353,600,000","155,700,000","145,500,000","177,400,000","177,600,000","178,500,000","185,500,000","186,400,000","188,800,000","186,200,000","172,800,000","179,700,000","165,300,000","162,600,000","156,400,000","150,900,000","144,900,000","152,500,000","145,900,000","140,400,000","32,300,000","147,300,000","148,400,000","144,300,000","148,500,000","140,200,000","138,900,000","144,100,000","149,900,000","127,200,000","121,500,000","118,800,000","123,300,000","123,000,000","119,400,000","110,500,000","116,100,000","109,400,000","108,100,000","118,000,000","126,700,000","109,400,000","104,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,000,000","12,000,000","11,700,000","11,500,000","12,300,000","12,300,000","12,000,000","12,700,000","14,800,000","12,900,000","12,200,000","11,900,000","13,100,000","13,600,000","13,000,000",,,,,,,,,,,,,,,
			DepreciationIncomeStatement,"597,800,000","135,500,000","143,500,000","153,600,000","165,200,000","167,800,000","163,800,000","157,400,000","162,900,000",,"155,700,000","145,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"127,200,000","121,500,000","118,800,000","123,300,000","123,000,000","119,400,000","110,500,000","116,100,000","109,400,000","108,100,000","118,000,000","126,700,000","109,400,000","104,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
