name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"1,896,184,000","483,205,000","481,465,000","476,238,000","455,276,000","-126,454,000","597,739,000","588,440,000","585,150,000","531,691,000","537,971,000","491,567,000","436,154,000","441,919,000","456,022,000","469,551,000","479,197,000","443,259,000","454,023,000","458,928,000","492,168,000","172,238,000","654,270,000","662,176,000","640,782,000","668,036,000","657,953,000","607,532,000","610,791,000","603,528,000","596,638,000","536,121,000","529,992,000","536,586,000","543,958,000","516,284,000","516,269,000","507,516,000","475,482,000","464,439,000","459,011,000","460,303,000","444,672,000","488,706,000","331,705,000","341,073,000","317,149,000","303,019,000","295,914,000","383,427,000","255,329,000","267,336,000","251,615,000","258,385,000","269,938,000","251,372,000","252,177,000","217,661,000","284,249,000","242,747,000","250,448,000","205,299,000","139,597,000","140,082,000","141,695,000","126,236,000","124,392,000","118,542,000","108,396,000","113,783,000","111,226,000","107,186,000","98,092,000","108,242,000","102,957,000","98,405,000","92,056,000","97,124,000","92,672,000","89,259,000","80,769,000","85,508,000","84,137,000","84,450,000","78,365,000","83,178,000","82,281,000","82,096,000","82,252,000","60,893,000","62,400,000","52,000,000","49,600,000","38,349,000","48,400,000","38,500,000","36,300,000","31,503,000","32,300,000","31,800,000","33,000,000","30,993,000","29,800,000","30,600,000","29,000,000","26,796,000","26,200,000","25,800,000","26,800,000","25,596,000","24,500,000","25,400,000","23,600,000","24,800,000","22,400,000","22,600,000","22,700,000","21,600,000","20,800,000","21,000,000","20,300,000","18,600,000","19,400,000","21,000,000","20,300,000","18,900,000","18,300,000","17,600,000","17,300,000","16,800,000","15,800,000","14,900,000","11,200,000","14,700,000","13,000,000","14,900,000","10,600,000","10,500,000","10,100,000","9,600,000","9,500,000","9,400,000","7,500,000","6,400,000","5,500,000","3,400,000","5,500,000"
	OperatingRevenue,"1,896,184,000","483,205,000","481,465,000","476,238,000","455,276,000","-126,454,000","597,739,000","588,440,000","585,150,000","531,691,000","537,971,000","491,567,000","436,154,000","558,903,000","414,996,000","430,767,000","442,023,000","406,557,000","417,163,000","423,669,000","458,493,000","138,820,000","619,075,000","628,165,000","608,954,000","635,406,000","624,415,000","575,698,000","580,435,000","574,238,000","566,868,000","508,567,000","504,109,000","510,831,000","517,508,000","490,639,000","491,623,000","410,963,000","475,482,000","464,439,000","459,011,000","460,303,000","444,672,000","488,706,000","331,705,000","341,073,000","317,149,000","303,019,000","260,648,000","259,281,000","255,329,000","267,336,000","251,615,000","363,886,000","235,155,000","217,073,000","214,754,000","203,762,000","285,491,000","254,190,000","251,662,000","205,299,000","139,597,000","140,082,000","141,695,000","126,236,000","124,392,000","118,542,000","108,396,000","113,783,000","111,226,000","107,186,000","98,092,000","108,242,000","102,957,000","98,405,000","92,056,000","97,124,000","92,672,000","89,259,000","80,769,000","86,445,000","84,674,000","84,982,000","77,591,000","90,800,000","82,702,000","85,125,000","82,252,000","71,200,000","62,400,000","52,000,000","49,600,000","38,349,000","48,400,000","38,500,000","36,300,000","33,500,000","32,300,000","31,800,000","33,000,000","31,000,000","29,800,000","30,600,000","29,000,000","26,800,000","26,200,000","25,800,000","26,800,000","25,600,000","24,500,000","25,400,000","23,600,000","24,800,000","22,400,000","22,600,000","22,700,000","21,600,000","20,800,000","21,000,000","20,300,000","18,600,000","19,400,000","21,000,000","20,300,000","18,900,000","18,300,000","17,600,000","17,300,000","16,800,000","15,800,000","14,900,000","11,200,000","14,700,000","13,000,000","14,900,000","10,600,000","10,500,000","10,100,000","9,600,000","9,500,000","9,400,000","7,500,000","6,400,000","5,500,000","3,400,000","5,500,000"
CostOfRevenue,"773,279,000","199,247,000","202,139,000","190,132,000","181,761,000","-223,605,000","314,292,000","315,841,000","376,013,000","248,381,000","248,069,000","213,993,000","168,927,000","177,413,000","181,207,000","173,866,000","172,552,000","198,669,000","155,338,000","153,163,000","159,081,000","192,572,000","188,747,000","180,125,000","176,955,000","172,487,000","173,515,000","136,342,000","132,031,000","130,430,000","99,599,000","78,867,000","75,707,000","73,300,000","76,569,000","74,814,000","73,605,000","73,915,000","72,667,000","70,087,000","67,349,000","69,033,000","57,672,000","46,621,000","46,846,000","58,248,000","60,461,000","45,451,000","46,117,000","46,086,000","46,173,000","45,205,000","47,676,000","46,126,000","49,846,000","47,580,000","51,428,000","52,886,000","52,582,000","38,949,000","42,401,000","32,400,000","20,105,000","19,118,000","17,564,000","16,861,000","13,387,000","15,419,000","13,344,000","13,904,000","10,581,000","10,192,000",,"11,855,000","9,331,000","8,700,000",,"9,216,000","8,619,000","7,500,000",,"7,947,000","7,598,000","7,321,000",,"7,085,000","7,201,000","6,753,000",,,,,,,,,,,,,,,,,,,,,,,,"600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"1,122,905,000","283,958,000","279,326,000","286,106,000","273,515,000","97,151,000","283,447,000","272,599,000","209,137,000","283,310,000","289,902,000","277,574,000","267,227,000","264,506,000","274,815,000","295,685,000","306,645,000","244,590,000","298,685,000","305,765,000","333,087,000","-20,334,000","465,523,000","482,051,000","463,827,000","495,549,000","484,438,000","471,190,000","478,760,000","473,098,000","497,039,000","457,254,000","454,285,000","463,286,000","467,389,000","441,470,000","442,664,000","433,601,000","402,815,000","394,352,000","391,662,000","391,270,000","387,000,000","442,085,000","284,859,000","282,825,000","256,688,000","257,568,000","249,797,000","337,341,000","209,156,000","222,131,000","203,939,000","212,259,000","220,092,000","203,792,000","200,749,000","164,775,000","231,667,000","203,798,000","208,047,000","172,899,000","119,492,000","120,964,000","124,131,000","109,375,000","111,005,000","103,123,000","95,052,000","99,879,000","100,645,000","96,994,000",,"96,387,000","93,626,000","89,705,000",,"87,908,000","84,053,000","81,759,000",,"77,561,000","76,539,000","77,129,000",,"76,093,000","75,080,000","75,343,000",,,,,,,,,,,,,,,,,,,,,,,,"24,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"782,589,000","204,157,000","200,445,000","195,547,000","182,440,000","38,062,000","195,291,000","202,208,000","211,625,000","212,319,000","194,914,000","192,416,000","153,306,000","152,269,000","155,701,000","165,806,000","172,425,000","158,318,000","154,111,000","152,037,000","159,032,000","163,058,000","177,661,000","164,179,000","166,821,000","163,026,000","155,238,000","149,248,000","139,295,000","123,264,000","147,929,000","142,195,000","128,782,000","125,035,000","150,282,000","134,759,000","125,461,000","124,304,000","108,129,000","102,736,000","108,343,000","106,484,000","108,204,000","124,924,000","113,372,000","107,853,000","97,924,000","98,438,000","103,071,000","94,116,000","207,134,000","100,538,000","99,528,000","99,485,000","95,200,000","97,148,000","99,814,000","94,420,000","90,811,000","78,726,000","84,626,000","72,684,000","40,517,000","44,983,000","39,421,000","36,947,000","34,932,000","36,080,000","31,068,000","36,809,000","32,545,000","29,470,000","80,977,000","29,045,000","25,045,000","25,268,000","55,794,000","34,647,000","23,638,000","23,125,000","47,144,000","21,289,000","32,443,000","21,610,000","50,230,000","21,793,000","22,731,000","20,667,000","49,262,000","109,144,000","-17,600,000","-17,400,000","-16,400,000","74,389,000","-12,300,000","-10,800,000","-10,100,000","86,657,000","-8,400,000","-8,200,000","-8,000,000","78,376,000","-7,500,000","-7,500,000","-7,100,000","64,501,000","-6,100,000","-6,500,000","-6,600,000","64,334,000","-6,200,000","5,600,000","-6,400,000","-8,300,000","-5,300,000","-6,500,000","-6,400,000","-6,700,000","-5,900,000","-6,200,000","-6,100,000","-11,200,000","-5,600,000","-6,100,000","-5,600,000","-5,400,000","-4,900,000","-4,500,000","-4,700,000","-4,700,000","-5,900,000","-3,900,000",,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"98,303,000","26,043,000","23,270,000","24,088,000","24,902,000","25,507,000","21,661,000","23,720,000","22,349,000","21,521,000","22,970,000","27,120,000","21,355,000","21,510,000","23,503,000","22,514,000","29,175,000","21,485,000","23,523,000","21,286,000","22,478,000","20,532,000","34,787,000","22,793,000","25,499,000","21,870,000","20,534,000","28,845,000","24,773,000","6,765,000","24,954,000","29,062,000","21,394,000","19,153,000","45,423,000","24,073,000","20,744,000","25,098,000","19,443,000","14,812,000","20,102,000","19,678,000","19,648,000","34,872,000","21,952,000","18,009,000","19,590,000","20,526,000","24,924,000","16,851,000","124,833,000","20,932,000","18,991,000","18,773,000","17,541,000","18,840,000","20,538,000","15,487,000","16,558,000","18,292,000","20,593,000","22,152,000","8,280,000","8,434,000","8,742,000","8,620,000","7,301,000","8,827,000","7,297,000","10,681,000","9,657,000","8,394,000","7,302,000","8,311,000","5,507,000","5,680,000","5,242,000","5,595,000","4,253,000","4,477,000","4,199,000","3,253,000","3,221,000","3,509,000","3,256,000","3,257,000","3,270,000","3,220,000","3,519,000",,,,,,,,,,,,,,,,,,,,,,,"1,200,000",,,"500,000",,,,,,,,"1,300,000","1,900,000","2,000,000","2,300,000","1,800,000","2,000,000","1,900,000","1,600,000","1,600,000","2,000,000",,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"98,303,000","26,043,000","23,270,000","24,088,000","24,902,000","25,507,000","21,661,000","23,720,000","22,349,000","21,521,000","22,970,000","27,120,000","21,355,000","21,510,000","23,503,000","22,514,000","29,175,000","21,485,000","23,523,000","21,286,000","22,478,000","20,532,000","34,787,000","22,793,000","25,499,000","21,870,000","20,534,000","28,845,000","24,773,000","6,765,000","24,954,000","29,062,000","21,394,000","19,153,000","45,423,000","24,073,000","20,744,000","25,120,000",,,,,,,,,,,,"16,851,000","124,833,000",,,,,,,"15,487,000","16,558,000","18,292,000","20,593,000","22,152,000","8,280,000","8,434,000","8,742,000","8,620,000","7,301,000","8,827,000","7,297,000","10,681,000","9,657,000","8,394,000","7,302,000",,"5,507,000","5,680,000","5,242,000",,"4,253,000","4,477,000",,,"3,221,000","3,509,000",,,"3,270,000","3,220,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"500,000",,,,,,,,"1,300,000","1,900,000","2,000,000","2,300,000","1,800,000","2,000,000","1,900,000","1,600,000","1,600,000","2,000,000",,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,487,000","16,558,000","18,292,000","20,593,000","22,152,000","8,280,000","8,434,000","8,742,000","8,620,000","7,301,000","8,827,000","7,297,000","10,681,000","9,657,000","8,394,000","7,302,000",,"5,507,000","5,680,000","5,242,000",,"4,253,000","4,477,000",,,"3,221,000","3,509,000",,,"3,270,000","3,220,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"500,000",,,,,,,,"1,300,000","1,900,000","2,000,000","2,300,000","1,800,000","2,000,000","1,900,000","1,600,000","1,600,000","2,000,000",,,,,,,,,,,,,,,
			InsuranceAndClaims,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","101,973,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"98,303,000","26,043,000","23,270,000","24,088,000","24,902,000","25,507,000","21,661,000","23,720,000","22,349,000","21,521,000","22,970,000","27,120,000","21,355,000","21,510,000","23,503,000","22,514,000","29,175,000","21,485,000","23,523,000","21,286,000","22,478,000","20,532,000","34,787,000","22,793,000","25,499,000","21,870,000","20,534,000","28,845,000","24,773,000","6,765,000","24,954,000","29,062,000","21,394,000","19,153,000","45,423,000","24,073,000","20,744,000","25,120,000",,,,,,,,,,,,"16,851,000","22,860,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
