name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"79,474,000,000","25,248,000,000","20,189,000,000","19,217,000,000","14,820,000,000","22,455,000,000","18,091,000,000","15,945,000,000","13,881,000,000","20,640,000,000","17,188,000,000","16,449,000,000","12,884,000,000","19,524,000,000","16,485,000,000","16,090,000,000","12,562,000,000","19,526,000,000","16,240,000,000","15,710,000,000","12,049,000,000","19,515,000,000","16,027,000,000","15,395,000,000","11,862,000,000","18,585,000,000","16,331,000,000","15,923,000,000","12,217,000,000","19,948,000,000","17,218,000,000","16,894,000,000","12,623,000,000","20,118,000,000","16,909,000,000","16,807,000,000","12,581,000,000","19,954,000,000","16,652,000,000","16,458,000,000","12,428,000,000","20,158,000,000","17,582,000,000","16,827,000,000","11,937,000,000","18,155,000,000","15,514,000,000","14,801,000,000","9,368,000,000","13,297,000,000","11,080,000,000","10,592,000,000","8,263,000,000","12,729,000,000","11,244,000,000","10,945,000,000","8,333,000,000","12,346,000,000","10,171,000,000","9,607,000,000","7,350,000,000","10,383,000,000","8,950,000,000","8,599,000,000","7,205,000,000","10,096,000,000","8,184,000,000","7,697,000,000","6,585,000,000","8,803,000,000","7,257,000,000","7,070,000,000","6,131,000,000","8,073,000,000","6,830,000,000","6,538,000,000","5,530,000,000","7,457,000,000","6,376,000,000","6,178,000,000","5,101,000,000","7,986,000,000","6,906,000,000","5,281,000,000","4,539,000,000","6,410,000,000","4,909,000,000","4,928,000,000","4,191,000,000","5,680,000,000","4,591,000,000","4,982,000,000","5,114,000,000","7,193,000,000","5,544,000,000","5,258,000,000","4,353,000,000","6,256,000,000","5,362,000,000","7,707,000,000","6,702,000,000","9,533,000,000","7,867,000,000","7,691,000,000","6,554,000,000","9,251,300,000","7,693,100,000","7,285,800,000","6,190,800,000","9,122,500,000","7,064,000,000","6,557,000,000","5,728,900,000","7,722,400,000","6,316,400,000","5,890,300,000","5,091,600,000","6,542,500,000","5,640,000,000","5,210,800,000","4,576,700,000","5,929,800,000","4,881,300,000","4,679,800,000","4,117,000,000","5,444,600,000","4,475,600,000","4,204,700,000","3,677,700,000","4,789,800,000","3,901,600,000","3,592,700,000","2,958,300,000","4,183,600,000","3,241,400,000","3,012,500,000","2,569,500,000","3,466,100,000","2,939,100,000","2,787,500,000","2,292,500,000","3,120,000,000","2,399,400,000","2,051,200,000","1,720,200,000","2,420,500,000","2,071,800,000"
	OperatingRevenue,"79,474,000,000","25,248,000,000","20,189,000,000","19,217,000,000","14,820,000,000","22,455,000,000","18,091,000,000","15,945,000,000","13,881,000,000","20,640,000,000","17,188,000,000","16,449,000,000","12,884,000,000","19,524,000,000","16,485,000,000","16,090,000,000","12,562,000,000","19,526,000,000","16,240,000,000","15,710,000,000","12,049,000,000","19,515,000,000","16,027,000,000","15,395,000,000","11,862,000,000","18,585,000,000","16,331,000,000","15,923,000,000","12,217,000,000","19,948,000,000","17,218,000,000","16,894,000,000","12,623,000,000","20,118,000,000","16,909,000,000","16,807,000,000","12,581,000,000","19,954,000,000","16,652,000,000","16,458,000,000","12,428,000,000","20,158,000,000","17,582,000,000","16,827,000,000","11,937,000,000","18,155,000,000","15,514,000,000","14,801,000,000","9,368,000,000","13,297,000,000","11,080,000,000","10,592,000,000","8,263,000,000","12,729,000,000","11,244,000,000","10,945,000,000","8,333,000,000","12,346,000,000","10,171,000,000","9,607,000,000","7,350,000,000","10,383,000,000","8,950,000,000","8,599,000,000","7,205,000,000","10,096,000,000","8,184,000,000","7,697,000,000","6,585,000,000","8,803,000,000","7,257,000,000","7,070,000,000","6,131,000,000","8,073,000,000","6,830,000,000","6,538,000,000","5,530,000,000","7,457,000,000","6,376,000,000","6,178,000,000","5,101,000,000","7,986,000,000","6,906,000,000","5,281,000,000","4,539,000,000","6,410,000,000","4,909,000,000","4,928,000,000","4,191,000,000","5,680,000,000","4,591,000,000","4,982,000,000","5,114,000,000","7,193,000,000","5,544,000,000","5,258,000,000","4,353,000,000","6,256,000,000","5,362,000,000","7,707,000,000","6,702,000,000","9,533,000,000","7,867,000,000","7,691,000,000","6,554,000,000","9,251,300,000","7,693,100,000","7,285,800,000","6,190,800,000","9,122,500,000","7,064,000,000","6,557,000,000","5,728,900,000","7,722,400,000","6,316,400,000","5,890,300,000","5,091,600,000","6,542,500,000","5,640,000,000","5,210,800,000","4,576,700,000","5,929,800,000","4,881,300,000","4,679,800,000","4,117,000,000","5,444,600,000","4,475,600,000","4,204,700,000","3,677,700,000","4,789,800,000","3,901,600,000","3,592,700,000","2,958,300,000","4,183,600,000","3,241,400,000","3,012,500,000","2,569,500,000","3,466,100,000","2,939,100,000","2,787,500,000","2,292,500,000","3,120,000,000","2,399,400,000","2,051,200,000","1,720,200,000","2,420,500,000","2,071,800,000"
CostOfRevenue,"37,075,000,000","12,130,000,000","9,394,000,000","8,880,000,000","6,671,000,000","10,426,000,000","8,156,000,000","7,088,000,000","6,127,000,000","9,346,000,000","7,694,000,000","7,404,000,000","5,688,000,000","8,936,000,000","7,527,000,000","7,263,000,000","5,655,000,000","9,077,000,000","7,366,000,000","7,056,000,000","5,286,000,000","8,944,000,000","7,284,000,000","6,830,000,000","5,151,000,000","8,380,000,000","7,395,000,000","7,167,000,000","5,442,000,000","9,364,000,000","7,995,000,000","7,778,000,000","5,747,000,000","9,565,000,000","7,946,000,000","7,898,000,000","5,834,000,000","9,654,000,000","7,833,000,000","7,915,000,000","5,889,000,000","9,731,000,000","8,452,000,000","7,963,000,000","5,447,000,000","8,359,000,000","7,008,000,000","6,745,000,000","4,463,000,000","6,293,000,000","5,181,000,000","4,881,000,000","3,744,000,000","6,171,000,000","5,268,000,000","5,078,000,000","3,834,000,000","5,784,000,000","4,627,000,000","4,342,000,000","3,285,000,000","4,744,000,000","4,030,000,000","3,809,000,000","3,179,000,000","3,921,000,000","3,733,000,000","3,504,000,000","3,018,000,000","4,082,000,000","3,300,000,000","3,213,000,000","2,811,000,000","3,737,000,000","3,116,000,000","2,992,000,000","2,534,000,000","3,460,000,000","2,907,000,000","2,812,000,000","2,318,000,000","3,212,000,000","2,728,000,000","2,031,000,000","1,791,000,000","2,234,000,000","1,673,000,000","1,707,000,000","1,507,000,000","1,990,000,000","1,634,000,000","1,822,000,000","1,903,000,000","2,793,000,000","2,060,000,000","1,917,000,000","1,548,000,000","2,256,000,000","2,226,000,000","3,322,000,000","2,957,000,000","4,215,000,000","3,478,000,000","3,373,000,000","2,899,000,000","3,821,700,000","3,465,200,000","3,223,400,000","2,635,700,000","4,001,200,000","3,083,900,000","2,861,400,000","2,504,600,000","3,310,800,000","2,751,000,000","2,548,000,000","2,216,100,000","2,760,000,000","1,872,300,000","2,245,100,000","1,936,000,000","2,495,000,000","2,122,100,000","2,009,700,000","1,745,300,000","2,355,400,000","1,966,300,000","1,805,500,000","1,605,800,000","2,112,900,000","1,738,400,000","1,576,800,000",,,,,,,,,,,,,,,
GrossProfit,"42,399,000,000","13,118,000,000","10,795,000,000","10,337,000,000","8,149,000,000","12,029,000,000","9,935,000,000","8,857,000,000","7,754,000,000","11,294,000,000","9,494,000,000","9,045,000,000","7,196,000,000","10,588,000,000","8,958,000,000","8,827,000,000","6,907,000,000","10,449,000,000","8,874,000,000","8,654,000,000","6,763,000,000","10,571,000,000","8,743,000,000","8,565,000,000","6,711,000,000","10,205,000,000","8,936,000,000","8,756,000,000","6,775,000,000","10,584,000,000","9,223,000,000","9,116,000,000","6,876,000,000","10,553,000,000","8,963,000,000","8,909,000,000","6,747,000,000","10,300,000,000","8,819,000,000","8,543,000,000","6,539,000,000","10,427,000,000","9,130,000,000","8,864,000,000","6,490,000,000","9,796,000,000","8,506,000,000","8,056,000,000","4,905,000,000","7,004,000,000","5,899,000,000","5,711,000,000","4,519,000,000","6,558,000,000","5,976,000,000","5,867,000,000","4,499,000,000","6,562,000,000","5,544,000,000","5,265,000,000","4,065,000,000","5,639,000,000","4,920,000,000","4,790,000,000","4,026,000,000","6,175,000,000","4,451,000,000","4,193,000,000","3,567,000,000","4,721,000,000","3,957,000,000","3,857,000,000","3,320,000,000","4,336,000,000","3,714,000,000","3,546,000,000","2,996,000,000","3,997,000,000","3,469,000,000","3,366,000,000","2,783,000,000","4,774,000,000","4,178,000,000","3,250,000,000","2,748,000,000","4,176,000,000","3,236,000,000","3,221,000,000","2,684,000,000","3,690,000,000","2,957,000,000","3,160,000,000","3,211,000,000","4,400,000,000","3,484,000,000","3,341,000,000","2,805,000,000","4,000,000,000","3,136,000,000","4,385,000,000","3,745,000,000","5,318,000,000","4,389,000,000","4,318,000,000","3,655,000,000","5,429,600,000","4,227,900,000","4,062,400,000","3,555,100,000","5,121,300,000","3,980,100,000","3,695,600,000","3,224,300,000","4,411,600,000","3,565,400,000","3,342,300,000","2,875,500,000","3,782,500,000","3,767,700,000","2,965,700,000","2,640,700,000","3,434,800,000","2,759,200,000","2,670,100,000","2,371,700,000","3,089,200,000","2,509,300,000","2,399,200,000","2,071,900,000","2,676,900,000","2,163,200,000","2,015,900,000",,,,,,,,,,,,,,,
OperatingExpense,"31,237,000,000","10,556,000,000","7,636,000,000","7,208,000,000","5,837,000,000","9,203,000,000","6,924,000,000","6,538,000,000","5,830,000,000","8,595,000,000","6,639,000,000","6,316,000,000","5,188,000,000","8,157,000,000","6,114,000,000","5,799,000,000","5,100,000,000","7,856,000,000","5,881,000,000","5,664,000,000","4,830,000,000","8,190,000,000","5,922,000,000","5,601,000,000","5,092,000,000","7,965,000,000","6,161,000,000","5,856,000,000","4,978,000,000","8,553,000,000","6,376,000,000","6,220,000,000","5,069,000,000","8,155,000,000","6,183,000,000","6,040,000,000","5,089,000,000","8,087,000,000","6,019,000,000","6,166,000,000","4,817,000,000","8,180,000,000","6,224,000,000","6,110,000,000","4,764,000,000","7,565,000,000","5,706,000,000","5,595,000,000","4,065,000,000","4,970,000,000","3,667,000,000","3,521,000,000","2,931,000,000","5,345,000,000","3,992,000,000","3,682,000,000","2,946,000,000","4,832,000,000","3,482,000,000","3,306,000,000","2,646,000,000","4,126,000,000","3,104,000,000","3,028,000,000","2,678,000,000","4,736,000,000","2,771,000,000","2,637,000,000","2,320,000,000","3,372,000,000","2,445,000,000","2,436,000,000","2,193,000,000","3,350,000,000","2,252,000,000","2,154,000,000","1,849,000,000","2,688,000,000","2,116,000,000","2,057,000,000","1,800,000,000","3,613,000,000","2,955,000,000","2,341,000,000","2,007,000,000","3,241,000,000","2,410,000,000","2,412,000,000","2,029,000,000","2,926,000,000","2,219,000,000","2,439,000,000","2,551,000,000","3,785,000,000","2,595,000,000","2,563,000,000","2,215,000,000","2,994,000,000","2,207,000,000","3,326,000,000","2,979,000,000","4,202,000,000","3,829,000,000","3,332,000,000","2,949,000,000","4,971,600,000","3,197,300,000","3,193,100,000","2,926,000,000","4,217,300,000","3,018,400,000","2,910,600,000","2,673,800,000","3,613,100,000","2,713,800,000","2,591,900,000","2,369,500,000","3,233,800,000","2,962,300,000","2,267,700,000","2,112,800,000","2,796,300,000","2,176,300,000","2,032,200,000","1,899,400,000","2,361,200,000","1,945,700,000","1,840,100,000","1,677,900,000","2,229,500,000","1,633,200,000","1,518,600,000",,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"31,237,000,000","10,556,000,000","7,636,000,000","7,208,000,000","5,837,000,000","9,203,000,000","6,924,000,000","6,538,000,000","5,830,000,000","8,595,000,000","6,639,000,000","6,316,000,000","5,188,000,000","8,157,000,000","6,114,000,000","5,799,000,000","5,100,000,000","7,901,000,000","5,865,000,000","5,648,000,000","4,817,000,000","8,169,000,000","5,904,000,000","5,584,000,000","5,078,000,000","7,943,000,000","6,143,000,000","5,837,000,000","4,962,000,000","8,526,000,000","6,354,000,000","6,198,000,000","5,048,000,000","8,120,000,000","6,158,000,000","6,013,000,000","5,066,000,000","8,050,000,000","5,992,000,000","6,136,000,000","4,792,000,000","8,150,000,000","6,186,000,000","6,070,000,000","4,739,000,000","7,526,000,000","5,676,000,000","5,563,000,000","4,049,000,000","4,949,000,000","3,649,000,000","3,507,000,000","2,921,000,000","5,324,000,000","3,979,000,000","3,664,000,000","2,934,000,000","4,811,000,000","3,467,000,000","3,295,000,000","2,635,000,000","4,072,000,000","3,063,000,000","2,992,000,000","2,647,000,000","4,689,000,000","2,734,000,000","2,600,000,000","2,291,000,000","3,325,000,000","2,410,000,000","2,403,000,000","2,161,000,000","3,304,000,000","2,218,000,000","2,119,000,000","1,819,000,000","2,647,000,000","2,081,000,000","2,023,000,000","1,772,000,000","3,561,000,000","2,916,000,000","2,305,000,000","1,972,000,000","2,923,000,000","2,186,000,000","2,196,000,000","1,827,000,000","2,620,000,000","2,025,000,000","2,208,000,000","2,250,000,000","3,343,000,000","2,326,000,000","2,286,000,000","1,969,000,000","2,634,000,000","2,209,000,000","2,940,000,000","2,617,000,000","3,660,000,000","3,419,000,000","2,939,000,000","2,575,000,000","4,445,700,000","2,839,700,000","2,792,100,000","2,470,500,000","3,707,300,000","2,648,200,000","2,561,400,000","2,326,700,000","3,105,100,000","2,401,700,000","2,286,700,000","2,070,900,000","2,831,600,000","2,149,600,000","2,006,200,000","1,852,900,000","2,443,800,000","1,949,000,000","1,807,200,000","1,680,800,000","2,081,600,000","1,744,200,000","1,641,600,000","1,480,700,000","1,966,700,000","1,446,100,000","1,357,500,000",,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,"16,000,000","16,000,000","13,000,000","21,000,000","18,000,000","17,000,000","14,000,000","22,000,000","18,000,000","19,000,000","16,000,000","27,000,000","22,000,000","22,000,000","21,000,000","35,000,000","25,000,000","27,000,000","23,000,000","37,000,000","27,000,000","30,000,000","25,000,000","30,000,000","38,000,000","40,000,000","25,000,000","39,000,000","30,000,000","32,000,000","16,000,000","21,000,000","18,000,000","14,000,000","10,000,000","21,000,000","13,000,000","18,000,000","12,000,000","21,000,000","15,000,000","11,000,000","11,000,000","54,000,000","41,000,000","36,000,000","31,000,000","47,000,000","37,000,000","37,000,000","29,000,000","47,000,000","35,000,000","33,000,000","32,000,000","46,000,000","34,000,000","35,000,000","30,000,000","41,000,000","35,000,000","34,000,000","28,000,000","52,000,000","39,000,000","36,000,000","35,000,000","318,000,000","224,000,000","216,000,000","202,000,000","306,000,000","194,000,000","231,000,000","301,000,000","442,000,000","269,000,000","277,000,000","246,000,000","360,000,000","-2,000,000","386,000,000","362,000,000","542,000,000","410,000,000","393,000,000","374,000,000","525,900,000","357,600,000","401,000,000","455,500,000","510,000,000","370,200,000","349,200,000","347,100,000","508,000,000","312,100,000","305,200,000","298,600,000","402,200,000","812,700,000","261,500,000","259,900,000","352,500,000","227,300,000","225,000,000","218,600,000","279,600,000","201,500,000","198,500,000","197,200,000","262,800,000","187,100,000","161,100,000",,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,"16,000,000","16,000,000","13,000,000","21,000,000","18,000,000","17,000,000","14,000,000","22,000,000","18,000,000","19,000,000","16,000,000","27,000,000","22,000,000","22,000,000","21,000,000","35,000,000","25,000,000","27,000,000","23,000,000","37,000,000","27,000,000","30,000,000","25,000,000","30,000,000","38,000,000","40,000,000","25,000,000","39,000,000","30,000,000","32,000,000","16,000,000","21,000,000","18,000,000","14,000,000","10,000,000","21,000,000","13,000,000","18,000,000","12,000,000","21,000,000","15,000,000","11,000,000","11,000,000","54,000,000","41,000,000","36,000,000","31,000,000","47,000,000","37,000,000","37,000,000","29,000,000","47,000,000","35,000,000","33,000,000","32,000,000","46,000,000","34,000,000","35,000,000","30,000,000","41,000,000","35,000,000","34,000,000","28,000,000","52,000,000","39,000,000","36,000,000","35,000,000","318,000,000","224,000,000","216,000,000","202,000,000","306,000,000","194,000,000","231,000,000","301,000,000","442,000,000","269,000,000","277,000,000","246,000,000","360,000,000","-2,000,000","386,000,000","362,000,000","542,000,000","410,000,000","393,000,000","374,000,000","525,900,000","357,600,000","401,000,000","455,500,000","510,000,000","370,200,000","349,200,000","347,100,000","508,000,000","312,100,000","305,200,000","298,600,000","402,200,000","812,700,000","261,500,000","259,900,000","352,500,000","227,300,000","225,000,000","218,600,000","279,600,000","201,500,000","198,500,000","197,200,000","262,800,000","187,100,000","161,100,000",,,,,,,,,,,,,,,
			Amortization,,,,,,,,,,,,,,,,,,,"16,000,000","16,000,000","13,000,000","21,000,000","18,000,000","17,000,000","14,000,000","22,000,000","18,000,000","19,000,000","16,000,000","27,000,000","22,000,000","22,000,000","21,000,000","35,000,000","25,000,000","27,000,000","23,000,000","37,000,000","27,000,000","30,000,000","25,000,000","30,000,000","38,000,000","40,000,000","25,000,000","39,000,000","30,000,000","32,000,000","16,000,000","21,000,000","18,000,000","14,000,000","10,000,000","21,000,000","13,000,000","18,000,000","12,000,000","21,000,000","15,000,000","11,000,000","11,000,000","54,000,000","41,000,000","36,000,000","31,000,000","47,000,000","37,000,000","37,000,000","29,000,000","47,000,000","35,000,000","33,000,000","32,000,000","46,000,000","34,000,000","35,000,000","30,000,000","41,000,000","35,000,000","34,000,000","28,000,000","52,000,000","39,000,000","36,000,000","35,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,,,,,,,"16,000,000","16,000,000","13,000,000","21,000,000","18,000,000","17,000,000","14,000,000","22,000,000","18,000,000","19,000,000","16,000,000","27,000,000","22,000,000","22,000,000","21,000,000","35,000,000","25,000,000","27,000,000","23,000,000","37,000,000","27,000,000","30,000,000","25,000,000","30,000,000","38,000,000","40,000,000","25,000,000","39,000,000","30,000,000","32,000,000","16,000,000","21,000,000","18,000,000","14,000,000","10,000,000","21,000,000","13,000,000","18,000,000","12,000,000","21,000,000","15,000,000","11,000,000","11,000,000","54,000,000","41,000,000","36,000,000","31,000,000","47,000,000","37,000,000","37,000,000","29,000,000","47,000,000","35,000,000","33,000,000","32,000,000","46,000,000","34,000,000","35,000,000","30,000,000","41,000,000","35,000,000","34,000,000","28,000,000","52,000,000","39,000,000","36,000,000","35,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
