name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,11/30/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001
TotalRevenue,"14,262,700,000","4,091,100,000","3,423,700,000","3,539,400,000","3,208,500,000","3,765,100,000","3,310,700,000","3,114,600,000","4,551,300,000","4,047,200,000","4,458,400,000","3,972,600,000","3,743,900,000","3,770,600,000","4,348,100,000","3,234,900,000","2,883,600,000","3,237,700,000","4,627,800,000","3,178,300,000","3,049,400,000","3,513,800,000","2,818,000,000","3,025,700,000","3,036,600,000","2,807,000,000","3,240,900,000","3,259,200,000","2,657,300,000","2,908,000,000","2,484,300,000","2,606,700,000","2,478,600,000","2,672,600,000",,"2,239,600,000","2,210,600,000","2,166,700,000","2,295,900,000","2,704,700,000","2,118,600,000","2,095,900,000","2,059,000,000","2,088,800,000","2,342,000,000","2,219,800,000","2,372,500,000","2,288,500,000","2,233,600,000","2,264,000,000","2,232,400,000","2,270,300,000","2,157,800,000","2,188,600,000","2,279,200,000","2,497,800,000","2,658,200,000","2,500,700,000","2,564,500,000","2,849,500,000","2,831,600,000","2,660,900,000","2,591,500,000","2,438,900,000","2,448,400,000","2,391,700,000","2,445,200,000","2,218,400,000","2,200,700,000","2,144,600,000","2,238,700,000","2,088,600,000","1,979,700,000","2,257,100,000","2,428,900,000","2,266,100,000","2,412,400,000","2,296,800,000","2,263,300,000","1,995,900,000","2,380,000,000","2,273,000,000","2,040,300,000","2,456,500,000"
	OperatingRevenue,"14,262,700,000","4,091,100,000","3,423,700,000","3,539,400,000","3,208,500,000","3,765,100,000","3,310,700,000","3,114,600,000","4,551,300,000","4,047,200,000","4,458,400,000","3,972,600,000","3,743,900,000","3,770,600,000","4,348,100,000","3,234,900,000","2,883,600,000","3,237,700,000","4,627,800,000","3,178,300,000","3,049,400,000","3,513,800,000","2,818,000,000","3,025,700,000","3,036,600,000","2,807,000,000","3,240,900,000","3,259,200,000","2,657,300,000","2,908,000,000","2,484,300,000","2,606,700,000","2,478,600,000","2,672,600,000",,"2,239,600,000","2,210,600,000","2,166,700,000","2,295,900,000","2,704,700,000","2,118,600,000","2,095,900,000","2,059,000,000","2,088,800,000","2,342,000,000","2,219,800,000","2,372,500,000","2,288,500,000","2,233,600,000","2,264,000,000","2,232,400,000","2,270,300,000","2,157,800,000","2,188,600,000","2,279,200,000","2,497,800,000","2,658,200,000","2,500,700,000","2,564,500,000","2,849,500,000","2,831,600,000","2,660,900,000","2,591,500,000","2,438,900,000","2,448,400,000","2,391,700,000","2,445,200,000","2,218,400,000","2,200,700,000","2,144,600,000","2,238,700,000","2,088,600,000","1,979,700,000","2,257,100,000","2,428,900,000","2,266,100,000","2,412,400,000","2,296,800,000","2,263,300,000","1,995,900,000","2,380,000,000","2,273,000,000","2,040,300,000","2,456,500,000"
NetNonOperatingInterestIncomeExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,"-41,300,000","-37,500,000","-32,600,000","-33,000,000","-33,000,000","-33,100,000",,"-35,400,000",,"-34,900,000","-36,100,000","-36,000,000","-39,900,000","-31,200,000","-1,300,000","-31,100,000",,"-1,600,000",,,,"-30,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,,,,,,,,,,,,,,,,,,,,,,,,,,,"41,300,000","37,500,000","32,600,000","33,000,000","33,000,000","33,100,000",,"35,400,000",,"34,900,000","36,100,000","36,000,000","39,900,000","31,200,000","1,300,000","31,100,000",,"1,600,000",,,,"30,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"563,500,000","554,800,000","567,600,000",,"550,700,000","515,200,000","473,500,000",,"599,000,000","622,500,000","613,400,000","680,800,000","738,500,000","622,900,000","630,100,000","548,400,000","454,000,000","451,300,000","448,800,000","437,400,000","423,300,000","405,300,000","417,200,000","411,600,000","363,600,000","364,200,000","561,100,000","570,100,000","525,100,000","689,000,000","632,000,000","604,100,000","516,600,000","479,400,000","476,000,000","505,200,000","453,200,000"
	SpecialIncomeCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"2,083,600,000","609,000,000","428,100,000","432,600,000","613,900,000","591,600,000","275,100,000","498,600,000","328,200,000","371,300,000","345,700,000","450,300,000","526,000,000","242,900,000","569,100,000","515,400,000","457,000,000","314,800,000","1,157,800,000","365,600,000","414,000,000","381,300,000","370,700,000","399,900,000","439,800,000","309,000,000","369,200,000","294,500,000","458,100,000","317,200,000","393,800,000","407,500,000","376,400,000","309,900,000",,"320,300,000","265,600,000","228,200,000","265,900,000","181,400,000","235,000,000","277,100,000","193,600,000","138,200,000","372,300,000","283,500,000","263,700,000","163,500,000","157,800,000","256,300,000","169,500,000","248,300,000","197,900,000","130,100,000","-60,500,000","96,100,000","206,000,000","212,000,000","-30,000,000","331,500,000","412,500,000","334,200,000","327,100,000","331,500,000","296,500,000","373,600,000","275,400,000","286,400,000","283,200,000","280,500,000","275,400,000","235,300,000","163,100,000","265,400,000","162,200,000","284,200,000","285,100,000","222,200,000","122,500,000","45,000,000","154,000,000","356,600,000","8,700,000","148,600,000"
TaxProvision,"326,200,000","103,800,000","63,800,000","61,000,000","97,600,000","100,100,000","39,200,000","82,500,000","43,200,000","56,000,000","61,100,000","58,200,000","73,900,000","11,200,000","109,100,000","55,900,000","54,500,000","-528,100,000","344,600,000","50,800,000","60,400,000","43,100,000","43,300,000","72,900,000","70,600,000","50,700,000","68,300,000","29,600,000","29,000,000","36,900,000","141,000,000","88,300,000","52,300,000","59,500,000",,"61,200,000","29,000,000","38,200,000","35,500,000","-9,900,000","50,900,000","58,200,000","21,700,000","71,900,000","82,400,000","60,400,000","45,600,000","12,200,000","13,600,000","52,700,000","14,600,000","44,100,000","33,900,000","7,500,000","-61,300,000","-2,200,000","29,400,000","29,600,000","-52,200,000","91,000,000","100,400,000","68,900,000","65,300,000","72,300,000","77,700,000","79,700,000","31,300,000","67,100,000","59,400,000","75,000,000","59,800,000","40,700,000","34,200,000","66,100,000","-600,000","78,100,000","82,500,000","65,800,000","-94,700,000","2,400,000","33,800,000","110,600,000","-9,900,000","32,800,000"
EarningsFromEquityInterestNetOfTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-8,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,
NetIncomeCommonStockholders,"1,710,600,000","471,800,000","359,900,000","361,800,000","517,100,000","472,600,000","236,000,000","398,300,000","288,900,000","300,900,000","277,100,000","386,300,000","429,900,000","236,500,000","456,300,000","456,600,000","397,100,000","841,800,000","810,200,000","309,500,000","348,900,000","318,000,000","308,200,000","322,300,000","368,000,000","253,600,000","300,400,000","241,100,000","414,200,000","270,400,000","240,700,000","306,300,000","293,700,000","233,400,000",,"245,700,000","222,300,000","178,300,000","218,600,000","179,700,000","173,100,000","201,500,000","164,000,000","63,700,000","258,000,000","196,300,000","199,300,000","142,200,000","134,000,000","190,800,000","141,900,000","184,700,000","150,300,000","112,800,000","-7,500,000","90,100,000","168,300,000","174,200,000","34,100,000","232,300,000","303,800,000","257,100,000","284,100,000","251,000,000","210,500,000","285,700,000","246,900,000","210,000,000","238,900,000","205,500,000","213,500,000","298,800,000","119,700,000","193,600,000","172,100,000","216,300,000","202,200,000","155,700,000","215,400,000","-158,400,000","120,200,000","-34,900,000","18,600,000","115,800,000"
