name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"47,676,500,000","12,485,100,000","11,852,600,000","11,899,200,000","11,439,600,000","11,410,300,000","10,942,500,000","10,967,200,000","9,318,100,000","10,734,800,000","9,524,600,000","9,444,500,000","9,293,800,000","8,028,800,000","8,490,000,000","8,011,800,000","7,424,100,000","7,115,100,000","6,786,000,000","6,599,100,000","6,315,900,000","6,122,100,000","5,930,200,000","5,812,400,000","5,552,700,000","5,394,500,000","5,269,800,000","5,277,600,000","4,890,000,000","5,171,300,000","4,767,000,000","4,735,500,000","4,703,500,000","4,614,500,000","4,520,400,000","4,589,200,000","4,432,300,000","4,548,700,000","4,345,600,000","4,114,100,000","4,061,900,000","3,930,900,000","3,811,100,000","3,872,700,000","3,893,500,000","3,835,200,000","3,763,100,000","3,686,300,000","3,665,900,000","3,900,600,000","3,611,300,000","3,583,500,000","3,468,200,000","3,507,500,000","2,210,100,000","3,536,600,000","3,585,900,000","3,614,500,000","3,709,600,000","3,675,900,000","3,686,800,000","3,693,800,000","3,723,800,000","3,707,900,000","3,660,900,000","3,599,000,000","3,622,500,000","3,590,100,000","3,491,800,000","3,695,900,000","3,438,500,000","3,367,400,000","3,280,300,000","3,170,400,000","3,080,600,000","2,921,000,000","2,720,000,000","2,548,400,000","2,418,600,000","2,258,800,000","2,068,600,000","1,991,700,000","1,860,100,000","1,862,600,000","1,773,800,000","1,764,700,000","1,752,000,000","1,652,800,000","1,601,500,000","1,604,300,000","1,585,200,000","1,524,700,000","1,410,000,000","1,339,100,000","1,363,300,000","1,335,100,000","1,254,900,000","1,319,500,000","1,203,300,000","1,118,800,000","966,500,000","937,400,000","893,900,000","848,100,000","799,000,000","782,900,000","775,700,000","759,500,000","693,800,000","664,800,000","634,100,000","594,000,000","522,400,000","509,700,000","515,600,000","494,400,000","435,100,000","432,300,000","412,500,000","507,000,000","387,000,000","379,200,000","387,400,000","373,600,000","352,900,000","-898,800,000","348,000,000","345,900,000","341,600,000","335,400,000","354,800,000","353,600,000","348,900,000","435,500,000","312,100,000","307,900,000","289,200,000","296,300,000","259,400,000","234,800,000","209,400,000","242,400,000","177,300,000","162,600,000","149,600,000","173,300,000","124,600,000"
	OperatingRevenue,"47,676,500,000","12,485,100,000","11,852,600,000","11,899,200,000","11,439,600,000","11,410,300,000","10,942,500,000","10,967,200,000","9,318,100,000","10,734,800,000","9,524,600,000","9,444,500,000","9,293,800,000","8,028,800,000","8,490,000,000","8,011,800,000","7,424,100,000","7,115,100,000","6,786,000,000","6,599,100,000","6,315,900,000","6,122,100,000","5,930,200,000","5,812,400,000","5,552,700,000","5,394,500,000","5,269,800,000","5,277,600,000","4,890,000,000","5,171,300,000","4,767,000,000","4,735,500,000","4,703,500,000","4,614,500,000","4,520,400,000","4,589,200,000","4,432,300,000","4,548,700,000","4,345,600,000","4,114,100,000","4,061,900,000","3,930,900,000","3,811,100,000","3,872,700,000","3,893,500,000","3,835,200,000","3,763,100,000","3,686,300,000","3,665,900,000","3,900,600,000","3,611,300,000","3,583,500,000","3,468,200,000","3,507,500,000","2,210,100,000","3,536,600,000","3,585,900,000","3,614,500,000","3,709,600,000","3,675,900,000","3,686,800,000","3,693,800,000","3,723,800,000","3,707,900,000","3,660,900,000","3,599,000,000","3,622,500,000","3,590,100,000","3,491,800,000","3,695,900,000","3,438,500,000","3,367,400,000","3,280,300,000","3,170,400,000","3,080,600,000","2,921,000,000","2,720,000,000","2,548,400,000","2,418,600,000","2,258,800,000","2,068,600,000","1,991,700,000","1,860,100,000","1,862,600,000","1,773,800,000","1,764,700,000","1,752,000,000","1,652,800,000","1,601,500,000","1,604,300,000","1,585,200,000","1,524,700,000","1,410,000,000","1,339,100,000","1,363,300,000","1,335,100,000","1,254,900,000","1,319,500,000","1,203,300,000","1,118,800,000","966,500,000","937,400,000","893,900,000","848,100,000","799,000,000","782,900,000","775,700,000","759,500,000","693,800,000","664,800,000","634,100,000","594,000,000","522,400,000","509,700,000","515,600,000","494,400,000","435,100,000","432,300,000","412,500,000","507,000,000","387,000,000","379,200,000","387,400,000","373,600,000","352,900,000","-898,800,000","348,000,000","345,900,000","341,600,000","335,400,000","354,800,000","353,600,000","348,900,000","435,500,000","312,100,000","307,900,000","289,200,000","296,300,000","259,400,000","234,800,000","209,400,000","242,400,000","177,300,000","162,600,000","149,600,000","173,300,000","124,600,000"
NetNonOperatingInterestIncomeExpense,"-218,600,000","-51,600,000","-54,200,000","-56,400,000","-56,400,000","-56,200,000","-56,400,000","-56,400,000","-48,000,000","-47,400,000","-47,500,000","-47,400,000","-47,400,000","-46,000,000","-42,000,000","-41,700,000","-36,800,000","-35,500,000","-37,400,000","-43,400,000","-36,800,000","-37,100,000","-35,300,000","-34,300,000","-34,200,000","-34,100,000","-34,500,000","-34,900,000","-32,500,000","-29,900,000","-30,700,000","-29,600,000","-26,700,000","-26,800,000","-30,400,000","-30,400,000","-30,600,000","-30,600,000","-30,600,000","-30,700,000","-31,900,000","-36,300,000","-33,400,000","-31,500,000","-31,500,000","-31,300,000","-31,900,000","-35,100,000","-35,200,000","-35,300,000","-35,300,000","-34,700,000","-33,700,000","-33,900,000","-34,200,000","-34,300,000","-34,300,000","-34,500,000","-34,700,000","-20,500,000","-18,900,000","-18,900,000","-18,500,000","-19,400,000","-20,500,000","-20,400,000","-20,700,000","-20,700,000","-20,800,000","-20,500,000","-20,100,000","-19,700,000","-20,500,000","-23,700,000","-24,000,000","-23,700,000","-24,100,000","-20,800,000","-17,600,000","-18,100,000","-18,100,000","-14,200,000","-12,900,000","-12,800,000","-12,300,000","-18,100,000","-19,800,000","-20,000,000","-19,900,000","-19,800,000","-19,700,000","-20,100,000","-16,800,000","-15,100,000","-14,700,000","-15,200,000","-16,100,000","-16,200,000","-16,200,000","-16,100,000","-16,100,000","-16,100,000","-16,100,000","-15,000,000","-14,300,000","-14,300,000","-14,300,000","-14,200,000","-14,300,000","-14,200,000","-13,800,000","-13,800,000","-13,500,000","-11,300,000","-9,100,000","-9,500,000","-9,800,000","-10,600,000","-11,200,000","-11,200,000","-11,400,000","-12,100,000","-11,800,000","-11,800,000","-12,100,000","-11,600,000","-12,700,000","-12,100,000","-12,000,000","-12,300,000","-12,200,000","-12,400,000","-12,400,000",,,,,,,,,,,,,,
	InterestExpenseNonOperating,"218,600,000","51,600,000","54,200,000","56,400,000","56,400,000","56,200,000","56,400,000","56,400,000","48,000,000","47,400,000","47,500,000","47,400,000","47,400,000","46,000,000","42,000,000","41,700,000","36,800,000","35,500,000","37,400,000","43,400,000","36,800,000","37,100,000","35,300,000","34,300,000","34,200,000","34,100,000","34,500,000","34,900,000","32,500,000","29,900,000","30,700,000","29,600,000","26,700,000","26,800,000","30,400,000","30,400,000","30,600,000","30,600,000","30,600,000","30,700,000","31,900,000","36,300,000","33,400,000","31,500,000","31,500,000","31,300,000","31,900,000","35,100,000","35,200,000","35,300,000","35,300,000","34,700,000","33,700,000","33,900,000","34,200,000","34,300,000","34,300,000","34,500,000","34,700,000","20,500,000","18,900,000","18,900,000","18,500,000","19,400,000","20,500,000","20,400,000","20,700,000","20,700,000","20,800,000","20,500,000","20,100,000","19,700,000","20,500,000","23,700,000","24,000,000","23,700,000","24,100,000","20,800,000","17,600,000","18,100,000","18,100,000","14,200,000","12,900,000","12,800,000","12,300,000","18,100,000","19,800,000","20,000,000","19,900,000","19,800,000","19,700,000","20,100,000","16,800,000","15,100,000","14,700,000","15,200,000","16,100,000","16,200,000","16,200,000","16,100,000","16,100,000","16,100,000","16,100,000","15,000,000","14,300,000","14,300,000","14,300,000","14,200,000","14,300,000","14,200,000","13,800,000","13,800,000","13,500,000","11,300,000","9,100,000","9,500,000","9,800,000","10,600,000","11,200,000","11,200,000","11,400,000","12,100,000","11,800,000","11,800,000","12,100,000","11,600,000","12,700,000","12,100,000","12,000,000","12,300,000","12,200,000","12,400,000","12,400,000",,,,,,,,,,,,,,
OtherIncomeExpense,,,,,,"57,000,000","58,800,000","59,000,000","51,600,000","50,900,000","51,500,000","50,000,000","42,600,000","38,900,000","42,500,000","42,900,000","34,200,000","32,300,000","33,300,000","32,700,000","28,500,000","25,600,000","26,200,000","26,500,000","25,000,000","22,700,000","23,100,000","23,300,000","17,200,000","17,200,000","15,000,000","14,000,000","9,800,000","9,300,000","11,300,000","10,600,000","8,400,000","7,800,000","9,900,000","10,200,000","8,200,000",,"5,600,000","6,000,000","5,200,000",,"4,800,000","5,000,000","4,200,000","4,600,000","4,500,000","4,100,000","3,500,000","3,700,000","3,800,000","4,200,000","36,600,000","4,800,000","5,400,000","5,900,000","29,500,000","6,800,000","7,300,000","7,900,000","8,900,000","9,000,000","9,700,000","10,300,000","11,200,000","11,900,000","12,100,000","12,100,000","12,400,000","12,100,000","41,600,000","10,500,000","8,800,000","8,500,000","9,200,000","8,800,000","7,800,000","7,100,000","6,800,000","5,900,000","4,900,000","5,300,000","5,000,000","5,000,000","5,200,000","-281,300,000","126,000,000","120,100,000","87,900,000","-260,000,000","81,600,000","107,400,000","109,200,000","-261,200,000","125,300,000","109,000,000","72,200,000","-150,800,000","66,400,000","63,600,000","67,000,000","-179,100,000","66,400,000","82,100,000","69,500,000","-121,000,000","61,800,000","57,400,000","43,700,000","-186,000,000","83,700,000","83,100,000","62,900,000","51,300,000","51,600,000","154,400,000","55,500,000","53,500,000","53,900,000","50,800,000","48,000,000",,"44,500,000","48,700,000","50,100,000","40,900,000","54,600,000","55,600,000","45,100,000",,,,,,,,,,,,,,
	SpecialIncomeCharges,,,,,,,,,,,,,,,,,,,"0","0","200,000","0","0","1,600,000",,"0","-900,000",,,"0","-4,800,000",,,"0","-4,300,000","0","0","11,300,000","-3,400,000","-4,800,000","-4,900,000","10,600,000","-4,100,000","-3,500,000","-3,100,000","3,000,000","6,100,000",,"-3,600,000","-3,000,000","-2,900,000","-2,600,000",,,,"-2,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,,,,,,,,,,,,"-200,000","0",,"-1,600,000",,"0","900,000",,,"0","4,800,000",,,"0","4,300,000",,,"-11,300,000","3,400,000","4,800,000","4,900,000","-10,600,000","4,100,000",,"1,700,000",,"-6,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"4,210,000,000","1,203,900,000","139,000,000","999,200,000","1,867,900,000","2,106,200,000","1,923,500,000","2,268,800,000","874,700,000","1,338,900,000","1,010,300,000","1,243,600,000","1,567,500,000","242,200,000","1,130,500,000","880,100,000","910,800,000","691,400,000","251,400,000","554,600,000","641,500,000","537,500,000","258,500,000","287,300,000","387,400,000","514,100,000","429,000,000","525,300,000","443,200,000","546,400,000","441,800,000","437,400,000","481,800,000","425,600,000","345,000,000","486,300,000","463,100,000","353,500,000","412,400,000","167,700,000","384,100,000","375,400,000","208,500,000","357,700,000","545,400,000","426,200,000","387,200,000","312,900,000","438,900,000","454,300,000","372,000,000","353,900,000","376,700,000","218,900,000","-1,080,900,000","302,500,000","337,200,000","330,800,000","422,600,000","406,900,000","532,700,000","590,700,000","603,100,000","591,900,000","647,500,000","409,700,000","447,800,000","586,700,000","614,700,000","617,700,000","579,400,000","575,000,000","678,700,000","526,500,000","475,100,000","424,800,000","433,300,000","219,500,000","263,700,000","236,900,000","261,300,000","176,800,000","138,200,000","149,200,000","123,400,000","65,900,000","81,100,000","-33,400,000","-81,800,000","412,200,000","0","0","0","661,100,000","0","0","0","578,500,000","0","0","0","441,700,000","0","0","0","345,900,000","0","0","0","379,800,000","0","0","0","373,100,000","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,
TaxProvision,"859,100,000","241,600,000","20,500,000","209,100,000","387,900,000","421,900,000","392,700,000","478,400,000","175,600,000","264,300,000","166,700,000","264,600,000","484,700,000","-17,600,000","200,300,000","178,900,000","181,000,000","111,100,000","36,600,000","181,900,000","211,200,000","139,400,000","53,000,000","92,400,000","128,700,000","164,200,000","142,500,000","156,800,000","147,600,000","176,200,000","145,700,000","144,000,000","160,500,000","125,800,000","112,600,000","161,700,000","154,500,000","104,400,000","135,400,000","49,100,000","126,500,000","118,700,000","57,800,000","112,500,000","182,500,000","127,000,000","125,600,000","101,000,000","143,300,000","149,300,000","102,100,000","103,800,000","144,200,000","59,600,000","-396,700,000","87,000,000","97,800,000","94,700,000","123,400,000","123,200,000","169,200,000","189,800,000","193,500,000","191,500,000","210,900,000","128,100,000","142,500,000","192,400,000","202,000,000","204,200,000","190,500,000","188,700,000","218,700,000","168,700,000","155,300,000","138,500,000","141,800,000","67,300,000","85,200,000","76,500,000","85,100,000","52,100,000","41,800,000","45,500,000","36,800,000","17,900,000","22,300,000","-19,300,000","-35,200,000","-7,000,000","30,200,000","48,600,000","45,200,000","30,600,000","62,500,000","55,500,000","55,800,000","46,700,000","53,500,000","46,700,000","31,600,000","39,900,000","32,600,000","31,700,000","23,800,000","25,900,000","25,000,000","23,700,000","20,800,000","43,700,000","25,000,000","21,200,000","15,600,000","18,500,000","34,200,000","32,700,000","20,400,000","4,200,000","16,400,000","13,100,000","5,300,000",,"4,200,000","-6,000,000","3,300,000","-21,100,000","-1,400,000","8,500,000","6,100,000","-4,300,000","2,300,000","6,300,000","3,800,000",,,,,,,,,,,,,,
