name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"13,926,882,000","4,358,558,000","3,479,050,000","3,359,484,000","2,729,791,000","3,192,364,000","2,954,957,000","2,593,781,000","2,294,980,000","3,016,913,000","2,710,365,000","2,488,985,000","1,996,693,000","2,999,150,000","2,649,366,000","2,569,722,000","1,970,093,000","2,793,556,000","2,130,019,000","2,020,846,000","1,628,828,000","2,493,079,000","1,942,905,000","1,799,914,000","1,432,578,000","2,061,628,000","1,506,747,000","1,280,291,000","1,133,298,000","1,822,558,000","1,594,725,000","1,286,187,000","1,118,894,000","1,655,339,000","1,582,078,000","1,279,422,000","1,162,756,000","1,566,966,000","1,302,591,000","1,069,405,000","881,036,000","1,262,345,000","1,141,931,000","927,212,000","805,202,000","1,185,270,000","1,057,764,000","1,305,898,000","1,020,358,000","1,730,823,000","1,091,094,000","678,580,000","587,420,000","1,650,285,000","1,564,589,000","1,625,765,000","1,448,819,000","2,898,617,000","2,471,798,000","2,021,246,000","1,871,433,000","4,388,906,000","3,563,959,000","3,358,967,000","2,962,576,000","5,007,467,000","3,841,503,000","3,290,971,000","2,554,594,000","4,186,462,000","2,967,086,000","2,518,920,000","2,038,748,000","3,138,348,000","2,399,803,000","1,958,185,000","1,552,590,000","2,548,009,000","1,859,506,000","1,685,563,000","1,378,741,000","2,002,120,000","1,481,935,000","1,023,326,000","832,112,000","1,346,765,000","1,053,883,000","982,584,000","775,819,000","1,240,600,000","973,100,000","834,200,000","682,500,000","906,900,000","759,300,000","679,700,000","520,600,000","846,100,000","669,900,000","576,300,000","431,700,000","738,300,000","625,200,000","588,400,000","432,500,000","667,400,000","543,300,000","485,500,000","332,900,000","534,800,000","452,600,000","427,900,000","340,600,000","480,600,000","431,600,000","405,000,000","315,600,000","439,400,000","357,300,000","316,100,000","257,100,000","353,800,000","309,200,000","296,600,000","254,200,000","322,300,000","299,600,000","282,400,000","247,700,000","284,300,000","290,700,000","289,200,000","274,000,000","390,300,000","297,700,000","274,700,000","216,500,000","234,700,000","189,700,000","200,900,000","160,100,000","266,500,000","233,600,000","201,800,000","135,100,000","231,500,000","188,700,000"
	OperatingRevenue,"13,926,882,000","4,358,558,000","3,479,050,000","3,359,484,000","2,729,791,000","3,192,364,000","2,954,957,000","2,593,781,000","2,294,980,000","3,016,913,000","2,710,365,000","2,488,985,000","1,996,693,000","2,999,150,000","2,649,366,000","2,569,722,000","1,970,093,000","2,793,556,000","2,130,019,000","2,020,846,000","1,628,828,000","2,493,079,000","1,942,905,000","1,799,914,000","1,432,578,000","2,061,628,000","1,506,747,000","1,280,291,000","1,133,298,000","1,822,558,000","1,594,725,000","1,286,187,000","1,118,894,000","1,655,339,000","1,582,078,000","1,279,422,000","1,162,756,000","1,566,966,000","1,302,591,000","1,069,405,000","881,036,000","1,262,345,000","1,141,931,000","927,212,000","805,202,000","1,185,270,000","1,057,764,000","1,305,898,000","1,020,358,000","1,730,823,000","1,091,094,000","678,580,000","587,420,000","1,650,285,000","1,564,589,000","1,625,765,000","1,448,819,000","2,898,617,000","2,471,798,000","2,021,246,000","1,871,433,000","4,388,328,000","3,563,385,000","3,358,522,000","2,962,576,000","5,007,467,000","3,841,503,000","3,290,971,000","2,554,594,000","4,186,462,000","2,967,086,000","2,518,920,000","2,038,748,000","3,138,348,000","2,399,803,000","1,958,185,000","1,552,590,000","2,548,009,000","1,859,506,000","1,685,563,000","1,378,741,000","2,002,120,000","1,481,935,000","1,023,326,000","832,112,000","1,346,765,000","1,053,883,000","982,584,000","775,819,000","1,240,600,000","973,100,000","834,200,000","682,500,000","906,900,000","759,300,000","679,700,000","520,600,000","846,100,000","669,900,000","576,300,000","431,700,000","738,300,000","625,200,000","588,400,000","432,500,000","667,400,000","543,300,000","485,500,000","332,900,000","534,800,000","452,600,000","427,900,000","340,600,000","480,600,000","431,600,000","405,000,000","315,600,000","439,400,000","357,300,000","316,100,000","257,100,000","353,800,000","309,200,000","296,600,000","254,200,000","322,300,000","299,600,000","282,400,000","247,700,000","284,300,000","290,700,000","289,200,000","274,000,000","390,300,000","297,700,000","274,700,000","216,500,000","234,700,000","189,700,000","200,900,000","160,100,000","266,500,000","233,600,000","201,800,000","135,100,000","231,500,000","188,700,000"
CostOfRevenue,"10,144,460,000","3,164,022,000","2,533,392,000","2,447,101,000","1,999,945,000","2,383,423,000","2,195,050,000","1,934,628,000","1,744,828,000","2,315,521,000","2,068,486,000","1,905,270,000","1,526,290,000","2,370,246,000","2,008,433,000","1,932,540,000","1,503,701,000","2,180,569,000","1,619,032,000","1,666,014,000","1,249,273,000","1,682,150,000","1,523,945,000","1,405,092,000","1,117,476,000","1,555,598,000","1,146,777,000","979,359,000","877,064,000","1,398,131,000","1,221,531,000","981,638,000","836,936,000","1,273,380,000","1,253,314,000","1,034,563,000","946,076,000","1,333,610,000","1,065,343,000","897,317,000","767,572,000","1,138,261,000","964,131,000","832,518,000","706,433,000","1,158,980,000","981,087,000","1,151,791,000","884,204,000","1,838,357,000","1,135,669,000","766,327,000","925,738,000","1,888,917,000","1,662,401,000","1,644,608,000","1,948,668,000","2,946,197,000","2,839,149,000","2,404,757,000","1,686,564,000","4,296,215,000","3,257,832,000","2,961,432,000","2,565,625,000","4,100,524,000","3,243,482,000","2,830,367,000","2,221,219,000","3,453,220,000","2,565,221,000","2,226,571,000","1,833,347,000","2,620,533,000","2,151,697,000","1,765,827,000","1,422,091,000","2,160,487,000","1,675,702,000","1,540,585,000","1,269,892,000","1,750,235,000","1,347,659,000","924,784,000","770,504,000","1,204,011,000","955,079,000","902,828,000","733,262,000","1,127,000,000","895,300,000","773,400,000","641,600,000","844,000,000","707,200,000","641,100,000","503,200,000","815,300,000","638,100,000","552,400,000","429,400,000","698,100,000","595,600,000","559,100,000","422,300,000","627,500,000","514,000,000","466,900,000","332,400,000","496,200,000","422,900,000","399,900,000","320,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"3,782,422,000","1,194,536,000","945,658,000","912,383,000","729,846,000","808,941,000","759,907,000","659,153,000","550,152,000","701,392,000","641,879,000","583,715,000","470,403,000","628,904,000","640,933,000","637,182,000","466,392,000","612,987,000","510,987,000","354,832,000","379,555,000","810,929,000","418,960,000","394,822,000","315,102,000","506,030,000","359,970,000","300,932,000","256,234,000","424,427,000","373,194,000","304,549,000","281,958,000","381,959,000","328,764,000","244,859,000","216,680,000","233,356,000","237,248,000","172,088,000","113,464,000","124,084,000","177,800,000","94,694,000","98,769,000","26,290,000","76,677,000","154,107,000","136,154,000","-107,534,000","-44,575,000","-87,747,000","-338,318,000","-238,632,000","-97,812,000","-18,843,000","-499,849,000","-47,580,000","-367,351,000","-383,511,000","184,869,000","92,691,000","306,127,000","397,535,000","396,951,000","906,943,000","598,021,000","460,604,000","333,375,000","733,242,000","401,865,000","292,349,000","205,401,000","517,815,000","248,106,000","192,358,000","130,499,000","387,522,000","183,804,000","144,978,000","108,849,000","251,885,000","134,276,000","98,542,000","61,608,000","142,754,000","98,804,000","79,756,000","42,557,000","113,600,000","77,800,000","60,800,000","40,900,000","62,900,000","52,100,000","38,600,000","17,400,000","30,800,000","31,800,000","23,900,000","2,300,000","40,200,000","29,600,000","29,300,000","10,200,000","39,900,000","29,300,000","18,600,000","500,000","38,600,000","29,700,000","28,000,000","20,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"1,225,200,000","347,151,000","324,118,000","277,254,000","276,678,000","284,699,000","276,298,000","201,903,000","268,226,000","265,146,000","274,225,000","262,990,000","256,177,000","295,767,000","256,207,000","229,506,000","244,343,000","205,057,000","240,945,000","219,661,000","239,718,000","394,245,000","186,458,000","195,783,000","194,465,000","142,212,000","162,586,000","133,344,000","164,537,000","149,249,000","150,394,000","233,042,000","148,162,000","152,981,000","141,912,000","153,806,000","132,901,000","145,041,000","128,466,000","127,461,000","126,589,000","89,551,000","137,960,000","138,380,000","142,446,000","150,738,000","425,643,000","157,415,000","161,306,000","202,074,000","221,538,000","122,263,000","123,407,000","228,993,000","194,092,000","194,612,000","196,953,000","323,933,000","674,987,000","367,947,000","326,441,000",,,,"12,350,000",,,,,,,,,,,,,,,,,,,,,"4,528,000","2,171,000","3,905,000","3,626,000","4,900,000","2,500,000","3,000,000","3,100,000","800,000","2,400,000","100,000","1,700,000","2,600,000","1,600,000","3,300,000","300,000","1,200,000","2,200,000","1,700,000","1,600,000","500,000","2,100,000","2,500,000","1,200,000","9,100,000","200,000","2,000,000","1,900,000","488,800,000","346,900,000","314,700,000","268,000,000","378,400,000","303,900,000","267,300,000","214,700,000","298,200,000","258,400,000","250,500,000","215,900,000","294,400,000","248,200,000","228,400,000","188,200,000",,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"1,208,698,000","344,220,000","320,506,000","272,286,000","271,686,000","279,657,000","271,257,000","196,858,000","263,669,000","261,546,000","270,625,000","259,440,000","252,727,000","292,317,000","252,757,000","226,056,000","240,893,000","201,607,000","237,495,000","216,211,000","236,268,000","390,795,000","183,008,000","192,333,000","191,015,000","138,987,000","159,361,000","130,119,000","161,312,000","146,024,000","147,136,000","229,767,000","144,887,000","149,706,000","138,637,000","150,531,000","129,626,000","141,766,000","125,191,000","124,186,000","123,314,000","117,147,000","121,610,000","138,380,000","142,446,000","150,738,000","425,643,000","157,415,000","161,306,000","202,074,000","221,538,000","122,263,000","123,407,000","228,993,000","194,092,000","194,612,000","196,953,000","323,933,000","674,987,000","367,947,000","326,441,000",,,,"12,350,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"16,502,000","2,931,000","3,612,000","4,968,000","4,992,000","5,042,000","5,041,000","5,045,000","4,557,000","3,600,000","3,600,000","3,550,000","3,450,000","3,450,000","3,450,000","3,450,000","3,450,000","3,450,000","3,450,000","3,450,000","3,450,000","3,450,000","3,450,000","3,450,000","3,450,000","3,225,000","3,225,000","3,225,000","3,225,000","3,225,000","3,258,000","3,275,000","3,275,000","3,275,000","3,275,000","3,275,000","3,275,000","3,275,000","3,275,000","3,275,000","3,275,000",,"3,275,000",,,,"10,574,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,528,000","2,171,000","3,905,000","3,626,000","4,900,000","2,500,000","3,000,000","3,100,000","800,000","2,400,000","100,000","1,700,000","2,600,000","1,600,000","3,300,000","300,000","1,200,000","2,200,000","1,700,000","1,600,000","500,000","2,100,000","2,500,000","1,200,000","9,100,000","200,000","2,000,000","1,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"16,502,000","2,931,000","3,612,000","4,968,000","4,992,000","5,042,000","5,041,000","5,045,000","4,557,000","3,600,000","3,600,000","3,550,000","3,450,000","3,450,000","3,450,000","3,450,000","3,450,000","3,450,000","3,450,000","3,450,000","3,450,000","3,450,000","3,450,000","3,450,000","3,450,000","3,225,000","3,225,000","3,225,000","3,225,000","3,225,000","3,258,000","3,275,000","3,275,000","3,275,000","3,275,000","3,275,000","3,275,000","3,275,000","3,275,000","3,275,000","3,275,000",,"3,275,000",,,,"10,574,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,528,000","2,171,000","3,905,000","3,626,000","4,900,000","2,500,000","3,000,000","3,100,000","800,000","2,400,000","100,000","1,700,000","2,600,000","1,600,000","3,300,000","300,000","1,200,000","2,200,000","1,700,000","1,600,000","500,000","2,100,000","2,500,000","1,200,000","9,100,000","200,000","2,000,000","1,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			Amortization,"16,502,000","2,931,000","3,612,000","4,968,000","4,992,000","5,042,000","5,041,000","5,045,000","4,557,000","3,600,000","3,600,000","3,550,000","3,450,000","3,450,000","3,450,000","3,450,000","3,450,000","3,450,000","3,450,000","3,450,000","3,450,000","3,450,000","3,450,000","3,450,000","3,450,000","3,225,000","3,225,000","3,225,000","3,225,000","3,225,000","3,258,000","3,275,000","3,275,000","3,275,000","3,275,000","3,275,000","3,275,000","3,275,000","3,275,000","3,275,000","3,275,000",,"3,275,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,"16,502,000","2,931,000","3,612,000","4,968,000","4,992,000","5,042,000","5,041,000","5,045,000","4,557,000","3,600,000","3,600,000","3,550,000","3,450,000","3,450,000","3,450,000","3,450,000","3,450,000","3,450,000","3,450,000","3,450,000","3,450,000","3,450,000","3,450,000","3,450,000","3,450,000","3,225,000","3,225,000","3,225,000","3,225,000","3,225,000","3,258,000","3,275,000","3,275,000","3,275,000","3,275,000","3,275,000","3,275,000","3,275,000","3,275,000","3,275,000","3,275,000",,"3,275,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
