name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"15,292,584,000","3,824,580,000","3,762,809,000","3,958,869,000","3,746,326,000","3,411,905,000","3,230,540,000","3,160,603,000","3,702,432,000","3,497,974,000","3,334,511,000","3,681,467,000","3,687,518,000","3,472,045,000","3,479,294,000","3,817,477,000","3,749,591,000","3,370,673,000","3,364,651,000","3,496,238,000","3,119,139,000","2,670,804,000","2,743,131,000","2,957,150,000","2,828,665,000","2,705,590,000","2,869,348,000","3,144,508,000","3,162,311,000","3,134,993,000","3,269,932,000","3,525,415,000","3,358,406,000","3,106,006,000","3,226,144,000","3,428,233,000","3,307,041,000","3,065,495,000","3,214,935,000","3,411,666,000","3,393,563,000","3,106,832,000","3,233,881,000","3,409,830,000","3,240,103,000","2,866,664,000","2,829,273,000","2,786,470,000","2,614,823,000","2,354,708,000","2,237,165,000","2,210,958,000","2,344,713,000","2,688,656,000","3,064,688,000","3,346,752,000","3,182,537,000","2,829,060,000","2,787,256,000","2,874,365,000","2,780,969,000","2,511,152,000","2,551,573,000","2,616,732,000","2,498,068,000","2,157,537,000","2,113,551,000","2,210,532,000","2,141,708,000","1,942,887,000","1,947,192,000","1,992,927,000","1,906,041,000","1,621,021,000","1,586,918,000","1,660,661,000","1,646,844,000","1,517,201,000","1,585,904,000","1,657,593,000","1,578,332,000","1,437,330,000","1,475,867,000","1,507,960,000","1,534,202,000","1,460,076,000","1,477,366,000","1,480,178,000","1,393,659,000","1,239,200,000","1,242,300,000","1,285,300,000","1,255,800,000","1,199,000,000","1,218,700,000","1,238,300,000","1,196,500,000","1,114,900,000","1,083,200,000","1,115,100,000","1,047,100,000","969,600,000","959,300,000","991,600,000","931,400,000","824,400,000","839,100,000","884,000,000","879,700,000","738,200,000","712,500,000","699,300,000","677,400,000","592,200,000","607,400,000","685,200,000","607,200,000","588,700,000","608,200,000","624,500,000","606,100,000","571,500,000","573,700,000","604,700,000","603,700,000","616,800,000","615,600,000","649,100,000","636,500,000","594,600,000","610,600,000","657,900,000","654,000,000","612,600,000","595,700,000","614,500,000","574,500,000","528,600,000","498,500,000","516,000,000","470,600,000","445,700,000","444,300,000","520,200,000","442,000,000","398,000,000","367,300,000"
	OperatingRevenue,"15,292,584,000","3,824,580,000","3,762,809,000","3,958,869,000","3,746,326,000","3,411,905,000","3,230,540,000","3,160,603,000","3,702,432,000","3,497,974,000","3,334,511,000","3,681,467,000","3,687,518,000","3,472,045,000","3,479,294,000","3,817,477,000","3,749,591,000","3,370,673,000","3,364,651,000","3,496,238,000","3,119,139,000","2,670,804,000","2,743,131,000","2,957,150,000","2,828,665,000","2,705,590,000","2,869,348,000","3,144,508,000","3,162,311,000","3,134,993,000","3,269,932,000","3,525,415,000","3,358,406,000","3,106,006,000","3,226,144,000","3,428,233,000","3,307,041,000","3,065,495,000","3,214,935,000","3,411,666,000","3,393,563,000","3,106,832,000","3,233,881,000","3,409,830,000","3,240,103,000","2,866,664,000","2,829,273,000","2,786,470,000","2,614,823,000","2,354,708,000","2,237,165,000","2,210,958,000","2,344,713,000","2,688,656,000","3,064,688,000","3,346,752,000","3,182,537,000","2,829,060,000","2,787,256,000","2,874,365,000","2,780,969,000","2,511,152,000","2,551,573,000","2,616,732,000","2,498,068,000","2,157,537,000","2,113,551,000","2,210,532,000","2,141,708,000","1,942,887,000","1,947,192,000","1,992,927,000","1,906,041,000","1,621,021,000","1,586,918,000","1,660,661,000","1,646,844,000","1,517,201,000","1,585,904,000","1,657,593,000","1,578,332,000","1,437,330,000","1,475,867,000","1,507,960,000","1,534,202,000","1,460,076,000","1,477,366,000","1,480,178,000","1,393,659,000","1,239,200,000","1,242,300,000","1,285,300,000","1,255,800,000","1,199,000,000","1,218,700,000","1,238,300,000","1,196,500,000","1,114,900,000","1,083,200,000","1,115,100,000","1,047,100,000","969,600,000","959,300,000","991,600,000","931,400,000","824,400,000","839,100,000","884,000,000","879,700,000","738,200,000","712,500,000","699,300,000","677,400,000","592,200,000","607,400,000","685,200,000","607,200,000","588,700,000","608,200,000","624,500,000","606,100,000","571,500,000","573,700,000","604,700,000","603,700,000","616,800,000","615,600,000","649,100,000","636,500,000","594,600,000","610,600,000","657,900,000","654,000,000","612,600,000","595,700,000","614,500,000","574,500,000","528,600,000","498,500,000","516,000,000","470,600,000","445,700,000","444,300,000","520,200,000","442,000,000","398,000,000","367,300,000"
CostOfRevenue,"11,023,688,000","2,764,725,000","2,713,897,000","2,831,034,000","2,714,773,000","2,519,545,000","2,384,328,000","2,357,319,000","2,766,693,000","2,682,765,000","2,479,741,000","2,739,578,000","2,766,744,000","2,602,339,000","2,594,823,000","2,835,885,000","2,825,008,000","2,569,070,000","2,532,878,000","2,654,682,000","2,383,790,000","2,044,484,000","2,106,006,000","2,272,455,000","2,209,401,000","2,140,624,000","2,200,904,000","2,420,780,000","2,373,016,000","2,401,584,000","2,459,865,000","2,685,954,000","2,605,893,000","2,419,971,000","2,476,409,000","2,618,067,000","2,569,189,000","2,421,972,000","2,477,447,000","2,572,258,000","2,590,315,000","2,381,322,000","2,414,442,000","2,590,772,000","2,463,083,000","2,195,728,000","2,137,874,000","2,114,190,000","2,062,451,000","1,869,481,000","1,800,945,000","1,814,069,000","1,908,607,000","2,121,450,000","2,337,222,000","2,575,422,000","2,447,216,000","2,194,137,000","2,122,297,000","2,223,756,000","2,163,828,000","1,938,007,000","1,947,358,000","2,053,991,000","1,952,191,000","1,705,683,000","1,655,753,000","1,738,471,000","1,712,884,000","1,546,357,000","1,528,278,000","1,567,483,000","1,544,150,000","1,331,644,000","1,298,776,000","1,382,628,000","1,368,430,000","1,258,827,000","1,299,890,000","1,405,807,000","1,309,245,000","1,203,893,000","1,197,625,000","1,372,899,000","1,192,726,000","1,078,699,000","1,083,832,000","1,085,115,000","1,024,089,000","917,500,000","923,400,000","941,800,000","939,900,000","888,000,000","897,700,000","904,700,000","867,200,000","814,800,000","781,500,000","798,300,000","757,100,000","717,200,000","710,600,000","722,900,000","673,600,000","607,500,000","610,900,000","628,300,000","636,200,000","542,800,000","521,100,000","508,400,000","509,600,000","456,600,000","465,700,000","512,800,000","451,000,000","448,700,000","465,000,000","470,700,000","466,200,000","443,000,000","439,000,000","478,600,000","463,500,000","468,000,000","463,300,000","478,400,000","478,800,000","443,800,000","456,200,000",,,,,,,,,,,,,,,,
GrossProfit,"4,268,896,000","1,059,855,000","1,048,912,000","1,127,835,000","1,031,553,000","892,360,000","846,212,000","803,284,000","935,739,000","815,209,000","854,770,000","941,889,000","920,774,000","869,706,000","884,471,000","981,592,000","924,583,000","801,603,000","831,773,000","841,556,000","735,349,000","626,320,000","637,125,000","684,695,000","619,264,000","564,966,000","668,444,000","723,728,000","789,295,000","733,409,000","810,067,000","839,461,000","752,513,000","686,035,000","749,735,000","810,166,000","737,852,000","643,523,000","737,488,000","839,408,000","803,248,000","725,510,000","819,439,000","819,058,000","777,020,000","670,936,000","691,399,000","672,280,000","552,372,000","485,227,000","436,220,000","396,889,000","436,106,000","567,206,000","727,466,000","771,330,000","735,321,000","634,923,000","664,959,000","650,609,000","617,141,000","573,145,000","604,215,000","562,741,000","545,877,000","451,854,000","457,798,000","472,061,000","428,824,000","396,530,000","418,914,000","425,444,000","361,891,000","289,377,000","288,142,000","278,033,000","278,414,000","258,374,000","286,014,000","251,786,000","269,087,000","233,437,000","278,242,000","135,061,000","341,476,000","381,377,000","393,534,000","395,063,000","369,570,000","321,700,000","318,900,000","343,500,000","315,900,000","311,000,000","321,000,000","333,600,000","329,300,000","300,100,000","301,700,000","316,800,000","290,000,000","252,400,000","248,700,000","268,700,000","257,800,000","216,900,000","228,200,000","255,700,000","243,500,000","195,400,000","191,400,000","190,900,000","167,800,000","135,600,000","141,700,000","172,400,000","156,200,000","140,000,000","143,200,000","153,800,000","139,900,000","128,500,000","134,700,000","126,100,000","140,200,000","148,800,000","152,300,000","170,700,000","157,700,000","150,800,000","154,400,000",,,,,,,,,,,,,,,,
OperatingExpense,"1,589,354,000","380,710,000","407,765,000","414,048,000","386,831,000","356,572,000","369,851,000","352,793,000","413,460,000","491,121,000","399,179,000","391,493,000","360,865,000","397,259,000","394,322,000","422,423,000","420,595,000","412,462,000","401,672,000","402,352,000","392,036,000","336,578,000","322,969,000","338,572,000","335,908,000","314,666,000","370,214,000","391,796,000","372,306,000","379,804,000","400,840,000","421,185,000","407,241,000","398,636,000","406,930,000","413,061,000","379,690,000","381,100,000","381,122,000","386,681,000","377,479,000","368,690,000","386,466,000","413,441,000","375,069,000","345,679,000","333,584,000","349,328,000","316,069,000","309,840,000","301,843,000","302,521,000","317,992,000","337,183,000","332,683,000","373,138,000","347,022,000","318,961,000","324,961,000","333,434,000","308,562,000","292,855,000","292,010,000","277,087,000","276,700,000","245,845,000","237,014,000","235,926,000","218,207,000","220,846,000","203,298,000","228,446,000","201,464,000","190,090,000","180,204,000","185,290,000","182,378,000","177,142,000","176,255,000","184,423,000","171,764,000","164,883,000","165,415,000","34,131,000","180,241,000","235,718,000","229,873,000","205,749,000","191,298,000","194,000,000","191,300,000","186,900,000","185,500,000","196,600,000","183,800,000","180,000,000","183,600,000","180,400,000","170,900,000","163,800,000","159,200,000","163,600,000","158,300,000","158,400,000","140,800,000","135,200,000","132,400,000","142,600,000","129,700,000","121,300,000","110,900,000","145,400,000","118,200,000","103,600,000","102,800,000","128,700,000","121,100,000","105,200,000","106,200,000","99,700,000","98,200,000","96,700,000","95,100,000","110,900,000","97,700,000","101,700,000","97,700,000","99,000,000","94,100,000","94,600,000","100,900,000",,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"1,589,354,000","380,710,000","407,765,000","414,048,000","386,831,000","356,572,000","369,851,000","352,793,000","413,460,000","491,121,000","399,179,000","391,493,000","360,865,000","397,259,000","394,322,000","422,423,000","420,595,000","412,462,000","401,672,000","402,352,000","392,036,000","336,578,000","322,969,000","338,572,000","335,908,000","314,666,000","370,214,000","391,796,000","372,306,000","379,804,000","400,840,000","421,185,000","407,241,000","398,636,000","406,930,000","413,061,000","379,690,000","381,100,000","381,122,000","386,681,000","377,479,000","368,690,000","386,466,000","413,441,000","375,069,000","345,679,000","333,584,000","349,328,000","316,069,000","309,840,000","301,843,000","302,521,000","317,992,000","337,183,000","332,683,000","373,138,000","347,022,000","318,961,000","324,961,000","333,434,000","308,562,000","292,855,000","292,010,000","277,087,000","276,700,000","245,845,000","237,014,000","235,926,000","218,207,000","220,846,000","203,298,000","228,446,000","201,464,000","190,090,000","180,204,000","185,290,000","182,378,000","177,142,000","176,255,000","184,423,000","171,764,000","164,883,000","165,415,000","188,346,000","159,580,000","169,596,000","162,441,000","156,347,000","141,254,000","140,200,000","138,100,000","138,900,000","136,300,000","141,400,000","134,200,000","135,400,000","138,500,000","133,000,000","125,300,000","125,500,000","115,700,000","119,500,000","114,400,000","120,000,000","106,500,000","101,200,000","97,700,000","113,000,000","98,900,000","91,200,000","81,500,000","117,600,000","89,800,000","75,100,000","74,400,000","97,800,000","79,400,000","75,000,000","77,500,000","73,500,000","71,300,000","69,800,000","68,200,000","86,500,000","71,500,000","74,800,000","71,200,000","73,700,000","70,600,000","70,200,000","76,600,000",,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,661,000","66,122,000","67,432,000","49,402,000","50,044,000","53,800,000","53,200,000","48,000,000","49,200,000","55,200,000","49,600,000","44,600,000","45,100,000","47,400,000","45,600,000","38,300,000","43,500,000","44,100,000","43,900,000","38,400,000","34,300,000","34,000,000","34,700,000","29,600,000","30,800,000","30,100,000","29,400,000","27,800,000","28,400,000","28,500,000","28,400,000","30,900,000","41,700,000","30,200,000","28,700,000","26,200,000","26,900,000","26,900,000","26,900,000","24,400,000","26,200,000","26,900,000","26,500,000","25,300,000","23,500,000","24,400,000","24,300,000",,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,661,000","66,122,000","67,432,000","49,402,000","50,044,000","53,800,000","53,200,000","48,000,000","49,200,000","55,200,000","49,600,000","44,600,000","45,100,000","47,400,000","45,600,000","38,300,000","43,500,000","44,100,000","43,900,000","38,400,000","34,300,000","34,000,000","34,700,000","29,600,000","30,800,000","30,100,000","29,400,000","27,800,000","28,400,000","28,500,000","28,400,000","30,900,000","41,700,000","30,200,000","28,700,000","26,200,000","26,900,000","26,900,000","26,900,000","24,400,000","26,200,000","26,900,000","26,500,000","25,300,000","23,500,000","24,400,000","24,300,000",,,,,,,,,,,,,,,,
OperatingIncome,"2,679,542,000","679,145,000","641,147,000","713,787,000","644,722,000","535,788,000","476,361,000","450,491,000","522,279,000","324,088,000","455,591,000","550,396,000","559,909,000","472,447,000","490,149,000","559,169,000","503,988,000","389,141,000","430,101,000","439,204,000","343,313,000","289,742,000","314,156,000","346,123,000","283,356,000","250,300,000","298,230,000","331,932,000","416,989,000","353,605,000","409,227,000","418,276,000","345,272,000","287,399,000","342,805,000","397,105,000","358,162,000","262,423,000","356,366,000","452,727,000","425,769,000","356,820,000","432,973,000","405,617,000","401,951,000","325,257,000","357,815,000","322,952,000","236,303,000","175,387,000","134,377,000","94,368,000","118,114,000","230,023,000","394,783,000","398,192,000","388,299,000","315,962,000","339,998,000","317,175,000","308,579,000","280,290,000","312,205,000","285,654,000","269,177,000","206,009,000","220,784,000","236,135,000","210,617,000","175,684,000","215,616,000","196,998,000","160,427,000","99,287,000","107,938,000","92,743,000","96,036,000","81,232,000","109,759,000","67,363,000","97,323,000","68,554,000","112,827,000","100,930,000","161,235,000","145,659,000","163,661,000","189,314,000","178,272,000","127,700,000","127,600,000","156,600,000","130,400,000","114,400,000","137,200,000","153,600,000","145,700,000","119,700,000","130,800,000","153,000,000","130,800,000","88,800,000","90,400,000","110,300,000","117,000,000","81,700,000","95,800,000","113,100,000","113,800,000","74,100,000","80,500,000","45,500,000","49,600,000","32,000,000","38,900,000","43,700,000","35,100,000","34,800,000","37,000,000","54,100,000","41,700,000","31,800,000","39,600,000","15,200,000","42,500,000","47,100,000","54,600,000","71,700,000","63,600,000","56,200,000","53,500,000","-1,636,900,000","654,000,000","612,600,000","595,700,000","-1,435,700,000","574,500,000","528,600,000","498,500,000","-1,181,900,000","470,600,000","445,700,000","444,300,000","-1,033,200,000","442,000,000","398,000,000","367,300,000"
NetNonOperatingInterestIncomeExpense,"-234,798,000","-60,360,000","-59,350,000","-58,258,000","-58,830,000","-62,990,000","-63,958,000","-43,549,000","-80,765,000","-82,891,000","-69,956,000","-50,072,000","-48,209,000","-47,518,000","-44,339,000","-53,040,000","-54,145,000","-53,133,000","-53,555,000","-52,787,000","-42,057,000","-33,444,000","-34,148,000","-32,715,000","-33,745,000","-34,297,000","-35,760,000","-34,797,000","-35,003,000","-27,645,000","-20,961,000","-20,163,000","-20,594,000","-20,851,000","-20,958,000","-20,777,000","-23,050,000","-24,216,000","-23,509,000","-23,487,000","-22,313,000","-23,769,000","-23,221,000","-24,821,000","-24,619,000","-25,631,000","-24,633,000","-26,896,000","-25,951,000","-25,029,000","-25,723,000","-25,275,000","-28,393,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
