name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999
TotalRevenue,"7,730,300,000","2,043,200,000","2,000,100,000","1,879,900,000","1,807,200,000","1,714,200,000","1,693,700,000","1,541,600,000","1,708,700,000","1,720,000,000","1,750,700,000","1,759,900,000","1,733,700,000","1,746,500,000","1,809,900,000","1,767,500,000","1,690,600,000","1,684,300,000","1,640,100,000","1,584,000,000","1,536,500,000","1,476,600,000","1,484,000,000","1,417,400,000","1,401,000,000","1,390,900,000","1,470,800,000","1,454,300,000","1,425,700,000","1,433,947,000","1,518,940,000","1,468,388,000","1,431,325,000","1,264,431,000","845,440,000","800,230,000","755,207,000","736,579,000","723,473,000","712,468,000","671,357,000","654,306,000","670,824,000","665,481,000","629,500,000","626,651,000","642,764,000","615,459,000","550,732,000","532,257,000","553,573,000","549,381,000","512,378,000","546,051,000","620,785,000","616,183,000","577,474,000","580,178,000","591,041,000","585,628,000","559,159,000","553,054,000","575,041,000","551,095,000","507,856,000","472,651,000","512,187,000","519,325,000","489,437,000","492,650,000","498,753,000","467,393,000","431,267,000","431,197,000","444,599,000","436,470,000","423,268,000","418,192,000","455,570,000","447,390,000","414,706,000","413,112,000","455,214,000","466,964,000","454,666,000","524,865,000","468,177,000","472,700,000","456,127,000","445,800,000","272,200,000","272,200,000","272,200,000"
	OperatingRevenue,"7,730,300,000","2,043,200,000","2,000,100,000","1,879,900,000","1,807,200,000","1,714,200,000","1,693,700,000","1,541,600,000","1,708,700,000","1,720,000,000","1,750,700,000","1,759,900,000","1,733,700,000","1,746,500,000","1,809,900,000","1,767,500,000","1,690,600,000","1,684,300,000","1,640,100,000","1,584,000,000","1,536,500,000","1,476,600,000","1,484,000,000","1,417,400,000","1,401,000,000","1,390,900,000","1,470,800,000","1,454,300,000","1,425,700,000","1,433,947,000","1,518,940,000","1,468,388,000","1,431,325,000","1,264,431,000","845,440,000","800,230,000","755,207,000","736,579,000","723,473,000","712,468,000","671,357,000","654,306,000","670,824,000","665,481,000","629,500,000","626,651,000","642,764,000","615,459,000","550,732,000","532,257,000","553,573,000","549,381,000","512,378,000","546,051,000","620,785,000","616,183,000","577,474,000","580,178,000","591,041,000","585,628,000","559,159,000","553,054,000","575,041,000","551,095,000","507,856,000","472,651,000","512,187,000","519,325,000","489,437,000","492,650,000","498,753,000","467,393,000","431,267,000","431,197,000","444,599,000","436,470,000","423,268,000","418,192,000","455,570,000","447,390,000","414,706,000","413,112,000","455,214,000","466,964,000","454,666,000","524,865,000","468,177,000","472,700,000","456,127,000","445,800,000","272,200,000","272,200,000","272,200,000"
CostOfRevenue,"5,857,300,000","1,533,300,000","1,489,400,000","1,431,100,000","1,403,500,000","1,380,900,000","1,348,300,000","1,215,800,000","1,343,700,000","1,336,700,000","1,339,300,000","1,332,000,000","1,312,300,000","1,321,100,000","1,366,700,000","1,346,900,000","1,334,500,000","1,312,600,000","1,242,800,000","1,219,400,000","1,198,000,000","1,149,500,000","1,154,500,000","1,097,300,000","1,102,400,000","1,105,800,000","1,142,500,000","1,130,600,000","1,148,700,000","1,136,992,000","1,198,607,000","1,157,580,000","1,129,921,000","1,005,612,000","619,626,000","608,107,000","572,776,000","562,629,000","560,921,000","554,360,000","526,338,000","520,149,000","533,077,000","528,580,000","496,359,000","479,367,000","476,312,000","483,794,000","463,933,000","444,719,000","443,041,000","430,882,000","402,370,000","431,890,000","488,890,000","488,960,000","459,395,000","447,862,000","451,483,000","445,518,000","446,172,000","429,581,000","440,353,000","438,957,000","434,278,000","415,533,000","431,686,000","423,410,000","416,171,000","407,707,000","399,022,000","394,569,000","391,051,000","363,746,000","365,747,000","357,544,000","350,630,000","336,347,000","368,953,000","363,700,000","340,294,000","323,376,000","346,372,000","354,783,000","347,488,000","359,243,000","293,754,000","308,494,000","312,643,000",,,,
GrossProfit,"1,873,000,000","509,900,000","510,700,000","448,800,000","403,700,000","333,300,000","345,400,000","325,800,000","365,000,000","383,300,000","411,400,000","427,900,000","421,400,000","425,400,000","443,200,000","420,600,000","356,100,000","371,700,000","397,300,000","364,600,000","338,500,000","327,100,000","329,500,000","320,100,000","298,600,000","285,100,000","328,300,000","323,700,000","277,000,000","296,955,000","320,333,000","310,808,000","301,404,000","258,819,000","225,814,000","192,123,000","182,431,000","173,950,000","162,552,000","158,108,000","145,019,000","134,157,000","137,747,000","136,901,000","133,141,000","147,284,000","166,452,000","131,665,000","86,799,000","87,538,000","110,532,000","-118,499,000","110,008,000","114,161,000","131,895,000","127,223,000","118,079,000","132,316,000","139,558,000","140,110,000","112,987,000","123,473,000","134,688,000","112,138,000","73,578,000","57,118,000","80,501,000","95,915,000","73,266,000","84,943,000","99,731,000","72,824,000","40,216,000","67,451,000","78,852,000","78,926,000","72,638,000","81,845,000","86,617,000","83,690,000","74,412,000","89,736,000","108,842,000","112,181,000","107,178,000","165,622,000","174,423,000","164,206,000","143,484,000",,,,
OperatingExpense,"576,800,000","141,100,000","144,500,000","146,300,000","145,000,000","130,300,000","127,100,000","136,300,000","145,900,000","137,000,000","136,900,000","143,700,000","140,000,000","129,700,000","134,200,000","137,700,000","134,900,000","133,700,000","130,200,000","130,200,000","128,400,000","125,100,000","116,900,000","114,800,000","113,900,000","105,400,000","112,700,000","121,900,000","113,700,000","110,493,000","119,645,000","122,848,000","116,514,000","99,741,000","77,612,000","74,025,000","75,224,000","-31,758,000","70,480,000","74,250,000","119,591,000","66,350,000","66,567,000","69,042,000","67,238,000","67,291,000","66,925,000","63,919,000","62,418,000","58,344,000","61,338,000","62,477,000","60,401,000","62,373,000","63,190,000","63,050,000","60,933,000","57,274,000","58,068,000","59,866,000","56,291,000","54,626,000","57,897,000","54,332,000","48,880,000","43,205,000","50,371,000","50,275,000","46,823,000","24,239,000","47,531,000","42,912,000","42,541,000","33,769,000","49,325,000","45,611,000","42,485,000","43,601,000","42,973,000","47,130,000","41,242,000","-220,262,000","43,478,000","42,627,000","41,218,000","78,727,000","75,690,000","74,869,000","73,610,000",,,,
	SellingGeneralAndAdministration,"576,800,000","141,100,000","144,500,000","146,300,000","145,000,000","130,300,000","127,100,000","136,300,000","145,900,000","137,000,000","136,900,000","143,700,000","140,000,000","129,700,000","134,200,000","137,700,000","134,900,000","133,700,000","130,200,000","130,200,000","128,400,000","125,100,000","116,900,000","114,800,000","113,900,000","105,400,000","112,700,000","121,900,000","117,300,000","110,493,000","119,645,000","122,848,000","116,514,000","99,741,000","77,612,000","74,025,000","75,224,000","71,928,000","68,519,000","70,604,000","68,830,000","65,087,000","65,338,000","64,544,000","63,505,000","60,897,000","62,746,000","60,039,000","56,907,000","55,624,000","57,446,000","58,212,000","56,743,000","58,988,000","60,520,000","57,499,000","57,280,000","56,049,000","55,991,000","57,569,000","54,847,000","53,683,000","54,975,000","51,883,000","48,880,000","46,531,000","50,371,000","50,275,000","46,823,000","47,840,000","47,531,000","42,912,000","42,541,000","42,188,000","46,681,000","42,507,000","42,485,000","43,601,000","42,973,000","44,929,000","41,712,000","40,100,000","40,942,000","42,135,000","40,999,000","42,054,000","38,512,000","38,006,000","36,108,000",,,,
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"77,612,000","74,025,000","75,224,000","72,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"77,612,000","74,025,000","75,224,000","72,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36,673,000","37,178,000","36,863,000","37,502,000",,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36,673,000","37,178,000","36,863,000","37,502,000",,,,
