name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"5,067,169,000","1,364,325,000","1,166,684,000","1,228,471,000","1,307,689,000","1,354,606,000","964,025,000","811,718,000","652,396,000","805,496,000","706,923,000","722,517,000","648,737,000","756,349,000","674,313,000","703,362,000","643,972,000","641,630,000","554,275,000","546,962,000","514,115,000","456,112,000","548,054,000","572,667,000","538,684,000","608,116,000","563,436,000","563,906,000","526,901,000","608,390,000","542,049,000","556,170,000","531,904,000","593,280,000","524,277,000","543,297,000","505,378,000","572,921,000","509,604,000","521,790,000","510,890,000","540,192,000","453,740,000","479,491,000","447,864,000","469,970,000","419,143,000","497,839,000","465,092,000","508,988,000","437,065,000","434,575,000","431,574,000","421,369,000","505,117,000","528,636,000","482,343,000","511,473,000","435,668,000","437,290,000","402,900,000","426,986,000","386,917,000","377,001,000","355,454,000","381,561,000","361,901,000","425,546,000","416,252,000","478,606,000","403,403,000","412,614,000","393,451,000","432,564,000","367,085,000","377,124,000","358,449,000","409,581,000","366,011,000","335,671,000","305,078,000","361,218,000","302,131,000","390,810,000","425,697,000","462,413,000","431,863,000","398,705,000","402,286,000","427,200,000","388,400,000","304,300,000","357,500,000","352,200,000","343,500,000","356,300,000","355,900,000","386,800,000","358,400,000","368,700,000","347,000,000","369,900,000","354,700,000","355,900,000","346,800,000","377,500,000","361,600,000","342,300,000","338,200,000","340,100,000","336,900,000","646,000,000","676,500,000","640,700,000","746,200,000","662,100,000","648,900,000","689,200,000","749,000,000","695,800,000","654,800,000","640,100,000","745,900,000","665,700,000","636,800,000","614,100,000","687,000,000","612,200,000","561,000,000","422,500,000","426,100,000","410,700,000","390,900,000","386,200,000","348,500,000","339,100,000","332,600,000","316,200,000","319,200,000","303,800,000","296,600,000","283,200,000","288,000,000","286,500,000","287,300,000","307,700,000","290,400,000"
	OperatingRevenue,"5,067,169,000","1,364,325,000","1,166,684,000","1,228,471,000","1,307,689,000","1,354,606,000","964,025,000","811,718,000","652,396,000","805,496,000","706,923,000","722,517,000","648,737,000","756,349,000","674,313,000","703,362,000","643,972,000","641,630,000","554,275,000","546,962,000","514,115,000","456,112,000","548,054,000","572,667,000","538,684,000","608,116,000","563,436,000","563,906,000","526,901,000","608,390,000","542,049,000","556,170,000","531,904,000","593,280,000","524,277,000","543,297,000","505,378,000","572,921,000","509,604,000","521,790,000","510,890,000","540,192,000","453,740,000","479,491,000","447,864,000","469,970,000","419,143,000","497,839,000","465,092,000","508,988,000","437,065,000","434,575,000","431,574,000","421,369,000","505,117,000","528,636,000","482,343,000","511,473,000","435,668,000","437,290,000","402,900,000","426,986,000","386,917,000","377,001,000","355,454,000","381,561,000","361,901,000","425,546,000","416,252,000","478,606,000","403,403,000","412,614,000","393,451,000","432,564,000","367,085,000","377,124,000","358,449,000","409,581,000","366,011,000","335,671,000","305,078,000","361,218,000","302,131,000","390,810,000","425,697,000","462,413,000","431,863,000","398,705,000","402,286,000","427,200,000","388,400,000","304,300,000","357,500,000","352,200,000","343,500,000","356,300,000","355,900,000","386,800,000","358,400,000","368,700,000","347,000,000","369,900,000","354,700,000","355,900,000","346,800,000","377,500,000","361,600,000","342,300,000","338,200,000","340,100,000","336,900,000","646,000,000","676,500,000","640,700,000","746,200,000","662,100,000","648,900,000","689,200,000","749,000,000","695,800,000","654,800,000","640,100,000","745,900,000","665,700,000","636,800,000","614,100,000","687,000,000","612,200,000","561,000,000","422,500,000","426,100,000","410,700,000","390,900,000","386,200,000","348,500,000","339,100,000","332,600,000","316,200,000","319,200,000","303,800,000","296,600,000","283,200,000","288,000,000","286,500,000","287,300,000","307,700,000","290,400,000"
CostOfRevenue,"2,215,869,000","615,201,000","534,848,000","543,277,000","522,543,000","527,541,000","436,580,000","364,374,000","344,373,000","407,315,000","364,648,000","374,724,000","340,931,000","380,099,000","341,986,000","363,222,000","351,750,000","334,535,000","285,453,000","289,459,000","274,504,000","218,938,000","287,255,000","307,384,000","288,587,000","326,105,000","308,833,000","311,394,000","291,527,000","330,788,000","298,740,000","308,186,000","296,384,000","317,002,000","290,765,000","300,998,000","280,493,000","311,263,000","278,864,000","282,996,000","278,876,000","298,386,000","254,193,000","270,486,000","247,643,000","261,641,000","233,360,000","285,035,000","266,460,000","292,192,000","249,495,000","247,102,000","243,619,000","219,641,000","293,957,000","308,996,000","284,766,000","297,902,000","257,167,000","263,312,000","244,210,000","248,132,000","230,976,000","225,412,000","213,767,000","238,278,000","204,510,000","254,571,000","246,919,000","277,386,000","243,270,000","246,473,000","241,513,000","247,904,000","214,545,000","224,540,000","219,280,000","241,083,000","219,256,000","187,663,000","197,584,000","198,270,000","163,112,000","215,887,000","246,804,000","241,636,000","230,487,000","218,545,000","227,759,000","227,800,000","228,100,000","182,500,000","249,400,000","232,700,000","248,600,000","257,400,000","252,600,000","267,600,000","255,100,000","268,500,000","248,900,000","258,300,000","251,300,000","250,900,000","247,300,000","262,100,000","264,400,000","241,600,000","244,400,000","210,500,000","254,900,000","548,700,000","586,900,000","536,200,000","652,800,000","562,600,000","553,100,000","580,400,000","649,700,000","593,200,000","564,000,000","536,500,000","652,000,000","571,600,000","546,400,000","523,600,000","605,600,000","529,800,000","481,800,000","338,500,000","355,000,000","335,200,000",,,,,,,,,,,,,,,
GrossProfit,"2,851,300,000","749,124,000","631,836,000","685,194,000","785,146,000","827,065,000","527,445,000","447,344,000","308,023,000","398,181,000","342,275,000","347,793,000","307,806,000","376,250,000","332,327,000","340,140,000","292,222,000","307,095,000","268,822,000","257,503,000","239,611,000","237,174,000","260,799,000","265,283,000","250,097,000","282,011,000","254,603,000","252,512,000","235,374,000","277,602,000","243,309,000","247,984,000","235,520,000","276,278,000","233,512,000","242,299,000","224,885,000","261,658,000","230,740,000","238,794,000","232,014,000","241,806,000","199,547,000","209,005,000","200,221,000","208,329,000","185,783,000","212,804,000","198,632,000","216,796,000","187,570,000","187,473,000","187,955,000","201,728,000","211,160,000","219,640,000","197,577,000","213,571,000","178,501,000","173,978,000","158,690,000","178,854,000","155,941,000","151,589,000","141,687,000","143,283,000","157,391,000","170,975,000","169,333,000","201,220,000","160,133,000","166,141,000","151,938,000","184,660,000","152,540,000","152,584,000","139,169,000","168,498,000","146,755,000","148,008,000","107,494,000","162,948,000","139,019,000","174,923,000","178,893,000","220,777,000","201,376,000","180,160,000","174,527,000","199,400,000","160,300,000","121,800,000","108,100,000","119,500,000","94,900,000","98,900,000","103,300,000","119,200,000","103,300,000","100,200,000","98,100,000","111,600,000","103,400,000","105,000,000","99,500,000","115,400,000","97,200,000","100,700,000","93,800,000","129,600,000","82,000,000","97,300,000","89,600,000","104,500,000","93,400,000","99,500,000","95,800,000","108,800,000","99,300,000","102,600,000","90,800,000","103,600,000","93,900,000","94,100,000","90,400,000","90,500,000","81,400,000","82,400,000","79,200,000","84,000,000","71,100,000","75,500,000",,,,,,,,,,,,,,,
OperatingExpense,"1,502,490,000","435,566,000","407,655,000","347,643,000","311,626,000","319,873,000","275,380,000","270,547,000","257,483,000","258,373,000","249,547,000","249,897,000","246,837,000","262,509,000","245,617,000","252,076,000","245,709,000","209,938,000","185,746,000","181,506,000","178,381,000","175,864,000","178,968,000","189,001,000","181,330,000","188,535,000","178,823,000","179,425,000","177,993,000","247,614,000","173,441,000","177,605,000","182,653,000","174,651,000","175,190,000","183,358,000","185,674,000","214,246,000","177,850,000","183,804,000","189,473,000","248,600,000","165,339,000","168,175,000","160,879,000","150,878,000","144,366,000","160,333,000","159,183,000","159,266,000","148,767,000","149,530,000","154,387,000","138,194,000","158,644,000","172,912,000","161,195,000","155,655,000","134,097,000","121,327,000","129,606,000","130,002,000","119,426,000","116,186,000","112,695,000","84,751,000","116,689,000","128,370,000","133,545,000","137,006,000","117,242,000","126,991,000","123,241,000","131,142,000","118,444,000","125,289,000","120,346,000","131,697,000","130,061,000","135,811,000","133,163,000","144,202,000","108,219,000","122,324,000","126,706,000","170,958,000","149,507,000","136,411,000","135,935,000","143,300,000","138,500,000","105,400,000","82,300,000","82,600,000","74,700,000","80,800,000","84,500,000","86,200,000","82,900,000","82,200,000","81,700,000","88,400,000","80,200,000","83,600,000","79,600,000","87,900,000","78,000,000","80,200,000","78,100,000","39,700,000","137,900,000","71,800,000","67,700,000","69,600,000","68,300,000","68,100,000","66,400,000","78,500,000","67,100,000","69,100,000","63,600,000","67,200,000","60,600,000","63,700,000","65,300,000","58,600,000","54,900,000","56,000,000","56,400,000","54,100,000","50,100,000","49,700,000",,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"1,227,521,000","355,245,000","339,047,000","281,819,000","251,410,000","263,050,000","225,249,000","221,026,000","208,569,000","210,737,000","204,171,000","201,553,000","198,857,000","210,539,000","196,769,000","204,880,000","199,725,000","172,271,000","150,859,000","147,944,000","145,093,000","153,553,000","145,793,000","153,994,000","147,545,000","158,505,000","147,728,000","146,742,000","145,873,000","216,648,000","142,997,000","147,253,000","153,204,000","141,949,000","143,649,000","148,755,000","151,497,000","180,708,000","145,442,000","149,735,000","156,849,000","217,495,000","135,105,000","140,010,000","134,562,000","125,266,000","120,552,000","133,294,000","132,094,000","130,892,000","121,431,000","123,962,000","128,414,000","116,666,000","131,118,000","143,022,000","132,077,000","126,884,000","106,406,000","109,357,000","101,765,000","99,677,000","94,664,000","92,655,000","89,853,000","87,008,000","87,722,000","97,673,000","102,555,000","105,147,000","89,042,000","97,650,000","95,870,000","104,362,000","91,686,000","97,477,000","92,879,000","87,051,000","109,556,000","113,795,000","109,399,000","122,350,000","89,421,000","106,421,000","106,737,000","121,134,000","105,963,000","96,203,000","95,679,000","108,200,000","95,700,000","71,200,000","57,000,000","53,800,000","52,400,000","58,800,000","61,300,000","63,400,000","60,600,000","59,800,000","59,700,000","77,300,000","68,700,000","74,400,000","70,500,000","76,600,000","68,500,000","70,300,000","69,400,000","29,500,000","129,000,000","62,900,000","58,900,000","60,700,000","58,200,000","58,600,000","57,100,000","69,300,000","58,600,000","59,200,000","55,000,000","58,900,000","52,300,000","55,300,000","56,600,000","50,900,000","47,400,000","48,500,000","49,200,000","47,800,000","43,700,000","43,400,000",,,,,,,,,,,,,,,
	ResearchAndDevelopment,"274,969,000","80,321,000","68,608,000","65,824,000","60,216,000","56,823,000","50,131,000","49,521,000","48,914,000","47,636,000","45,376,000","48,344,000","47,980,000","51,970,000","48,848,000","47,196,000","45,984,000","37,667,000","34,887,000","33,562,000","33,288,000","22,311,000","33,175,000","35,007,000","33,785,000","30,030,000","31,095,000","32,683,000","32,120,000","30,966,000","30,444,000","30,352,000","29,449,000","32,702,000","31,541,000","34,603,000","34,177,000","33,538,000","32,408,000","34,069,000","32,624,000","31,105,000","30,234,000","28,165,000","26,317,000","25,612,000","23,814,000","27,039,000","27,089,000","28,374,000","27,336,000","25,568,000","25,973,000","21,528,000","27,526,000","29,890,000","29,118,000","28,771,000","27,691,000","27,316,000","27,841,000","27,079,000","24,762,000","25,036,000","22,842,000","20,697,000","21,808,000","22,900,000","23,658,000","23,625,000","21,359,000","22,264,000","20,628,000","20,308,000","20,108,000","21,877,000","20,852,000","21,536,000","20,505,000","22,016,000","22,264,000","21,852,000","18,798,000","20,364,000","23,856,000","22,303,000","21,155,000","21,359,000","21,300,000","21,200,000","20,300,000","16,300,000","13,500,000","13,600,000","10,400,000","10,900,000","11,000,000","11,100,000","10,700,000","11,900,000","11,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,159,000","7,400,000","7,332,000","7,163,000","7,140,000","7,077,000","7,106,000","7,089,000","7,019,000","7,043,000","7,195,000",,,,,,,,,"27,521,000","22,389,000","18,849,000","18,956,000","13,900,000","22,500,000","17,900,000","11,800,000","15,200,000","11,900,000","11,100,000","12,200,000","11,700,000","11,600,000","10,500,000","10,800,000","11,100,000","11,500,000","9,200,000","9,100,000","11,300,000","9,500,000","9,900,000","8,700,000","10,200,000","8,900,000","8,900,000","8,800,000","8,900,000","10,100,000","9,500,000","9,300,000","9,200,000","8,500,000","9,900,000","8,600,000","8,300,000","8,300,000","8,400,000","8,700,000","7,700,000","7,500,000","7,500,000","7,200,000","6,300,000","6,400,000","6,300,000",,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,159,000","7,400,000","7,332,000","7,163,000","7,140,000","7,077,000","7,106,000","7,089,000","7,019,000","7,043,000","7,195,000",,,,,,,,,"27,521,000","22,389,000","18,849,000","18,956,000","13,900,000","22,500,000","17,900,000","11,800,000","15,200,000","11,900,000","11,100,000","12,200,000","11,700,000","11,600,000","10,500,000","10,800,000","11,100,000","11,500,000","9,200,000","9,100,000","11,300,000","9,500,000","9,900,000","8,700,000","10,200,000","8,900,000","8,900,000","8,800,000","8,900,000","10,100,000","9,500,000","9,300,000","9,200,000","8,500,000","9,900,000","8,600,000","8,300,000","8,300,000","8,400,000","8,700,000","7,700,000","7,500,000","7,500,000","7,200,000","6,300,000","6,400,000","6,300,000",,,,,,,,,,,,,,,
			Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,159,000","7,400,000","7,332,000","7,163,000","7,140,000","7,077,000","7,106,000","7,089,000","7,019,000","7,043,000","7,195,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
