name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"3,764,800,000","988,600,000","969,200,000","941,100,000","865,900,000","796,000,000","798,500,000","713,300,000","710,000,000","755,200,000","713,600,000","799,500,000","688,900,000","740,500,000","711,400,000","780,600,000","1,269,700,000","1,260,900,000","1,226,800,000","1,265,300,000","1,183,500,000","1,188,100,000","1,210,700,000","1,733,300,000","1,575,500,000","1,760,700,000","1,552,100,000","1,661,200,000","1,475,000,000","1,802,500,000","1,758,400,000","1,910,800,000","1,725,200,000","1,916,700,000","1,824,800,000","1,963,700,000","1,774,000,000","1,750,932,000","865,512,000","941,525,000","858,177,000","865,692,000","890,546,000","910,175,000","790,273,000","753,858,000","773,735,000","796,167,000","707,013,000","702,251,000","662,665,000","693,712,000","633,840,000","737,648,000","864,167,000","909,757,000","840,404,000","830,224,000","837,834,000","922,645,000","807,995,000","743,038,000","778,020,000","862,022,000","771,389,000","732,113,000","716,308,000","788,523,000","709,635,000","651,476,000","607,767,000","813,873,000","767,141,000","682,846,000","685,014,000","718,989,000","637,516,000","640,303,000","629,301,000","708,116,000","613,435,000","595,926,000","646,559,000","702,076,000","671,383,000","543,196,000","715,926,000","776,613,000","712,278,000","785,100,000","604,900,000","507,200,000","470,500,000","524,100,000","476,800,000","471,800,000","465,000,000","523,600,000","482,100,000","422,300,000","411,100,000","426,900,000","411,000,000","362,900,000","366,300,000","377,500,000","353,300,000","338,200,000","459,300,000","441,900,000","426,100,000","391,900,000","389,300,000","340,600,000","345,500,000","320,300,000","321,800,000","320,900,000","328,200,000","296,700,000","292,800,000","295,600,000","300,600,000","283,800,000","289,100,000","293,900,000","300,700,000","294,900,000","286,400,000","284,800,000","300,100,000","303,900,000","274,800,000","221,100,000","203,900,000","203,900,000","194,300,000","196,600,000","198,500,000","196,300,000","197,800,000","191,100,000","163,200,000","133,700,000","135,900,000","126,800,000","129,100,000"
	OperatingRevenue,"3,764,800,000","988,600,000","969,200,000","941,100,000","865,900,000","796,000,000","798,500,000","713,300,000","710,000,000","755,200,000","713,600,000","799,500,000","688,900,000","740,500,000","711,400,000","780,600,000","1,269,700,000","1,260,900,000","1,226,800,000","1,265,300,000","1,183,500,000","1,188,100,000","1,210,700,000","1,733,300,000","1,575,500,000","1,760,700,000","1,552,100,000","1,661,200,000","1,475,000,000","1,802,500,000","1,758,400,000","1,910,800,000","1,725,200,000","1,916,700,000","1,824,800,000","1,963,700,000","1,774,000,000","1,750,932,000","865,512,000","941,525,000","858,177,000","865,692,000","890,546,000","910,175,000","790,273,000","753,858,000","773,735,000","796,167,000","707,013,000","702,251,000","662,665,000","693,712,000","633,840,000","737,648,000","864,167,000","909,757,000","840,404,000","830,224,000","837,834,000","922,645,000","807,995,000","743,038,000","778,020,000","862,022,000","771,389,000","732,113,000","716,308,000","788,523,000","709,635,000","651,476,000","607,767,000","813,873,000","767,141,000","682,846,000","685,014,000","718,989,000","637,516,000","640,303,000","629,301,000","708,116,000","613,435,000","595,926,000","646,559,000","702,076,000","671,383,000","543,196,000","715,926,000","776,613,000","712,278,000","785,100,000","604,900,000","507,200,000","470,500,000","524,100,000","476,800,000","471,800,000","465,000,000","523,600,000","482,100,000","422,300,000","411,100,000","426,900,000","411,000,000","362,900,000","366,300,000","377,500,000","353,300,000","338,200,000","459,300,000","441,900,000","426,100,000","391,900,000","389,300,000","340,600,000","345,500,000","320,300,000","321,800,000","320,900,000","328,200,000","296,700,000","292,800,000","295,600,000","300,600,000","283,800,000","289,100,000","293,900,000","300,700,000","294,900,000","286,400,000","284,800,000","300,100,000","303,900,000","274,800,000","221,100,000","203,900,000","203,900,000","194,300,000","196,600,000","198,500,000","196,300,000","197,800,000","191,100,000","163,200,000","133,700,000","135,900,000","126,800,000","129,100,000"
CostOfRevenue,"2,445,600,000","660,400,000","634,400,000","600,100,000","550,700,000","512,500,000","521,100,000","468,200,000","458,400,000","481,000,000","458,600,000","512,800,000","453,300,000","472,500,000","467,600,000","498,000,000","807,700,000","792,600,000","771,500,000","782,100,000","761,200,000","748,000,000","769,800,000","1,134,100,000","1,040,100,000","1,191,400,000","1,012,000,000","1,095,000,000","964,800,000","1,174,600,000","1,133,700,000","1,251,900,000","1,146,900,000","1,272,600,000","1,187,200,000","1,296,300,000","1,250,000,000","1,352,264,000","587,435,000","629,397,000","577,458,000","600,827,000","618,484,000","622,439,000","541,214,000","521,630,000","537,193,000","547,999,000","493,311,000","489,794,000","455,698,000","497,233,000","464,608,000","507,804,000","608,854,000","631,695,000","589,073,000","572,589,000","591,667,000","639,200,000","570,592,000","534,472,000","565,533,000","599,333,000","548,881,000","524,304,000","515,467,000","553,290,000","505,497,000","468,274,000","437,983,000","590,412,000","565,483,000","509,594,000","518,007,000","535,501,000","482,225,000","486,556,000","480,332,000","532,136,000","466,052,000","442,222,000","487,033,000","531,294,000","507,396,000","453,343,000","510,033,000","523,519,000","465,593,000","518,200,000","395,800,000","328,200,000","302,100,000","339,200,000","314,100,000","307,000,000","301,600,000","356,100,000","323,200,000","275,900,000","267,900,000","280,000,000","280,100,000","241,500,000","237,000,000","256,100,000","246,400,000","230,500,000","331,700,000","318,500,000","305,900,000","278,700,000","273,100,000","243,100,000","247,300,000","231,400,000","232,100,000","226,300,000","236,700,000","215,600,000","210,100,000","206,800,000","215,800,000","205,200,000","211,800,000","213,300,000","220,400,000","219,100,000","212,600,000",,,,,,,,,,,,,,,,,,
GrossProfit,"1,319,200,000","328,200,000","334,800,000","341,000,000","315,200,000","283,500,000","277,400,000","245,100,000","251,600,000","274,200,000","255,000,000","286,700,000","235,600,000","268,000,000","243,800,000","282,600,000","462,000,000","468,300,000","455,300,000","483,200,000","422,300,000","440,100,000","440,900,000","599,200,000","535,400,000","569,300,000","540,100,000","566,200,000","510,200,000","627,900,000","624,700,000","658,900,000","578,300,000","644,100,000","637,600,000","667,400,000","524,000,000","398,668,000","278,077,000","312,128,000","280,719,000","264,865,000","272,062,000","287,736,000","249,059,000","232,228,000","236,542,000","248,168,000","213,702,000","212,457,000","206,967,000","196,479,000","169,232,000","229,844,000","255,313,000","278,062,000","251,331,000","257,635,000","246,167,000","283,445,000","237,403,000","208,566,000","212,487,000","262,689,000","222,508,000","207,809,000","200,841,000","235,233,000","204,138,000","183,202,000","169,784,000","223,461,000","201,658,000","173,252,000","167,007,000","183,488,000","155,291,000","153,747,000","148,969,000","175,980,000","147,383,000","153,704,000","159,526,000","170,782,000","163,987,000","89,853,000","205,893,000","253,094,000","246,685,000","266,900,000","209,100,000","179,000,000","168,400,000","184,900,000","162,700,000","164,800,000","163,400,000","167,500,000","158,900,000","146,400,000","143,200,000","146,900,000","130,900,000","121,400,000","129,300,000","121,400,000","106,900,000","107,700,000","127,600,000","123,400,000","120,200,000","113,200,000","116,200,000","97,500,000","98,200,000","88,900,000","89,700,000","94,600,000","91,500,000","81,100,000","82,700,000","88,800,000","84,800,000","78,600,000","77,300,000","80,600,000","80,300,000","75,800,000","73,800,000",,,,,,,,,,,,,,,,,,
OperatingExpense,"682,300,000","177,500,000","167,500,000","179,200,000","158,100,000","162,000,000","149,300,000","134,000,000","150,900,000","151,900,000","146,200,000","152,900,000","168,000,000","155,000,000","135,400,000","160,000,000","309,700,000","330,900,000","263,100,000","270,400,000","283,900,000","278,300,000","258,100,000","382,300,000","364,800,000","406,500,000","360,100,000","348,300,000","339,000,000","451,900,000","357,300,000","431,200,000","398,400,000","399,300,000","397,600,000","441,500,000","450,000,000","637,490,000","224,400,000","194,336,000","195,767,000","184,330,000","179,159,000","178,314,000","162,882,000","152,623,000","145,719,000","148,042,000","150,101,000","159,965,000","140,285,000","132,919,000","132,018,000","180,630,000","171,663,000","183,060,000","154,512,000","165,634,000","155,191,000","168,600,000","157,250,000","148,404,000","152,194,000","154,714,000","143,952,000","153,363,000","120,065,000","123,756,000","127,765,000","121,152,000","105,685,000","126,915,000","128,622,000","109,963,000","99,262,000","107,156,000","103,103,000","99,896,000","87,147,000","101,388,000","101,656,000","120,227,000","108,342,000","110,433,000","111,131,000","54,729,000","166,757,000","175,377,000","171,843,000","175,200,000","146,500,000","127,400,000","122,000,000","126,900,000","116,100,000","120,100,000","119,400,000","116,400,000","116,100,000","107,900,000","105,800,000","105,100,000","95,300,000","88,500,000","96,700,000","89,200,000","78,800,000","81,100,000","95,900,000","87,100,000","91,600,000","86,900,000","89,800,000","68,600,000","70,400,000","67,500,000","67,800,000","63,700,000","67,500,000","62,600,000","63,700,000","62,700,000","62,300,000","59,600,000","60,700,000","58,700,000","58,600,000","58,800,000","59,500,000",,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"596,400,000","156,000,000","145,600,000","158,200,000","136,600,000","141,900,000","130,000,000","116,700,000","131,900,000","134,200,000","126,400,000","132,200,000","147,300,000","135,300,000","116,300,000","140,900,000","279,600,000","302,200,000","234,700,000","241,700,000","253,900,000","251,100,000","228,400,000","348,400,000","331,600,000","375,600,000","330,200,000","319,300,000","309,200,000","422,800,000","328,800,000","400,300,000","368,400,000","370,600,000","366,100,000","409,400,000","416,000,000","605,316,000","204,665,000","173,445,000","175,010,000","164,267,000","159,068,000","158,432,000","144,760,000","136,542,000","128,854,000","131,043,000","132,890,000","145,346,000","125,578,000","119,104,000","117,275,000","167,051,000","154,972,000","146,311,000","138,646,000","151,028,000","140,745,000","153,792,000","142,300,000","134,366,000","137,923,000","139,831,000","129,089,000","140,428,000","108,917,000","113,224,000","116,338,000","111,220,000","96,882,000","115,086,000","116,695,000","98,405,000","88,267,000","95,932,000","92,982,000","89,276,000","78,243,000","92,367,000","93,292,000","111,850,000","100,537,000","103,183,000","103,392,000","29,789,000","135,009,000","140,321,000","143,364,000","120,000,000","123,600,000","108,400,000","103,400,000","87,500,000","101,000,000","101,700,000","100,900,000","78,700,000","99,500,000","90,400,000","88,500,000","74,500,000","80,400,000","73,600,000","82,100,000","62,700,000","69,800,000","72,300,000","77,900,000","63,400,000","72,500,000","71,200,000","72,100,000","55,900,000","57,900,000","54,800,000","55,000,000","52,300,000","55,300,000","50,200,000","51,300,000","51,000,000","50,600,000","47,800,000","48,700,000","48,700,000","47,400,000","47,700,000","48,000,000",,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"85,900,000","21,500,000","21,900,000","21,000,000","21,500,000","20,100,000","19,300,000","17,300,000","19,000,000","17,700,000","19,800,000","20,700,000","20,700,000","19,700,000","19,100,000","19,100,000","30,100,000","28,700,000","28,400,000","28,700,000","30,000,000","27,200,000","29,700,000","33,900,000","33,200,000","30,900,000","29,900,000","29,000,000","29,800,000","29,100,000","28,500,000","30,900,000","30,000,000","28,700,000","31,500,000","32,100,000","34,000,000","32,174,000","19,735,000","20,891,000","20,757,000","20,063,000","20,091,000","19,882,000","18,122,000","16,081,000","16,865,000","16,999,000","17,211,000","14,619,000","14,707,000","13,815,000","14,743,000","13,579,000","16,691,000","16,314,000","15,866,000","14,606,000","14,446,000","14,808,000","14,950,000","14,038,000","14,271,000","14,883,000","14,863,000","12,935,000","11,148,000","10,532,000","11,427,000","9,932,000","8,803,000","11,829,000","11,927,000","11,558,000","10,995,000","11,224,000","10,121,000","10,620,000","8,904,000","9,021,000","8,364,000","8,377,000","7,805,000","7,250,000","7,739,000","4,074,000","8,252,000","8,869,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,866,000","23,496,000","26,187,000","28,479,000","28,100,000","22,900,000","19,000,000","18,600,000","16,400,000","15,100,000","18,400,000","18,500,000","16,400,000","16,600,000","17,500,000","17,300,000","15,100,000","14,900,000","14,900,000","14,600,000","13,100,000","9,000,000","8,800,000","18,000,000","11,600,000","19,100,000","15,700,000","17,700,000","12,700,000","12,500,000","12,700,000","12,800,000","11,400,000","12,200,000","12,400,000","12,400,000","11,700,000","11,700,000","11,800,000","12,000,000","10,000,000","11,200,000","11,100,000","11,500,000",,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,866,000","23,496,000","26,187,000","28,479,000","28,100,000","22,900,000","19,000,000","18,600,000","16,400,000","15,100,000","18,400,000","18,500,000","16,400,000","16,600,000","17,500,000","17,300,000","15,100,000","14,900,000","14,900,000","14,600,000","13,100,000","9,000,000","8,800,000","18,000,000","11,600,000","19,100,000","15,700,000","17,700,000","12,700,000","12,500,000","12,700,000","12,800,000","11,400,000","12,200,000","12,400,000","12,400,000","11,700,000","11,700,000","11,800,000","12,000,000","10,000,000","11,200,000","11,100,000","11,500,000",,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"20,435,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
