name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"3,803,835,000","798,857,000","1,308,254,000","1,000,249,000","696,475,000","740,961,000","1,254,501,000","929,590,000","661,930,000","670,391,000","1,190,787,000","869,501,000","740,530,000","756,376,000","1,268,034,000","974,123,000","692,714,000","759,659,000","1,183,322,000","944,587,000","677,728,000","739,199,000","1,166,922,000","915,394,000","677,167,000","734,430,000","1,199,146,000","890,648,000","671,219,000","726,450,000","1,172,667,000","906,264,000","686,251,000","699,762,000","1,152,392,000","915,822,000","686,652,000","693,122,000","1,109,475,000","878,576,000","620,631,000","667,892,000","1,124,841,000","799,799,000","659,575,000","683,611,000","1,139,085,000","820,594,000","633,591,000","687,846,000","1,143,077,000","840,055,000","629,393,000","624,170,000","1,079,975,000","926,193,000","736,738,000","759,116,000","1,205,934,000","863,435,000","695,135,000","730,072,000","1,076,442,000","925,028,000","670,206,000","691,672,000","955,583,000","755,836,000","615,087,000","734,718,000","886,779,000","722,686,000","574,369,000","509,837,000","946,570,000","757,483,000","603,962,000","644,436,000","872,951,000","714,938,000","620,957,000","744,703,000","1,574,029,000","1,293,812,000","938,829,000","838,154,000","1,607,356,000","756,548,000","488,117,000","546,500,000","894,200,000","544,100,000","438,700,000","486,300,000","759,000,000","470,600,000","414,600,000","443,900,000","663,700,000","489,000,000","398,500,000","405,000,000","598,800,000","452,900,000","361,300,000","371,700,000","558,800,000","393,200,000","346,100,000","294,000,000","583,900,000","433,000,000","374,600,000","395,100,000","534,600,000","413,700,000","375,100,000","403,100,000","526,300,000","412,900,000","347,300,000","305,100,000","474,700,000","362,500,000","332,300,000","348,100,000","474,600,000","418,400,000","355,500,000","311,900,000","463,300,000","375,800,000","356,900,000","341,500,000","463,400,000","329,800,000","307,300,000","303,500,000","392,800,000","326,800,000","290,300,000","288,200,000","391,700,000","295,500,000","274,500,000","286,100,000","368,100,000"
	OperatingRevenue,"3,803,835,000","798,857,000","1,308,254,000","1,000,249,000","696,475,000","740,961,000","1,254,501,000","929,590,000","661,930,000","670,391,000","1,190,787,000","869,501,000","740,530,000","756,376,000","1,268,034,000","974,123,000","692,714,000","759,659,000","1,183,322,000","944,587,000","677,728,000","739,199,000","1,166,922,000","915,394,000","677,167,000","734,430,000","1,199,146,000","890,648,000","671,219,000","726,450,000","1,172,667,000","906,264,000","686,251,000","699,762,000","1,152,392,000","915,822,000","686,652,000","693,122,000","1,109,475,000","878,576,000","620,631,000","667,892,000","1,124,841,000","799,799,000","659,575,000","683,611,000","1,139,085,000","820,594,000","633,591,000","687,846,000","1,143,077,000","840,055,000","629,393,000","624,170,000","1,079,975,000","926,193,000","736,738,000","759,116,000","1,205,934,000","863,435,000","695,135,000","730,072,000","1,076,442,000","925,028,000","670,206,000","691,672,000","955,583,000","755,836,000","615,087,000","734,718,000","886,779,000","722,686,000","574,369,000","509,837,000","946,570,000","757,483,000","603,962,000","644,436,000","872,951,000","714,938,000","620,957,000","744,703,000","1,574,029,000","1,293,812,000","938,829,000","838,154,000","1,607,356,000","756,548,000","488,117,000","546,500,000","894,200,000","544,100,000","438,700,000","486,300,000","759,000,000","470,600,000","414,600,000","443,900,000","663,700,000","489,000,000","398,500,000","405,000,000","598,800,000","452,900,000","361,300,000","371,700,000","558,800,000","393,200,000","346,100,000","294,000,000","583,900,000","433,000,000","374,600,000","395,100,000","534,600,000","413,700,000","375,100,000","403,100,000","526,300,000","412,900,000","347,300,000","305,100,000","474,700,000","362,500,000","332,300,000","348,100,000","474,600,000","418,400,000","355,500,000","311,900,000","463,300,000","375,800,000","356,900,000","341,500,000","463,400,000","329,800,000","307,300,000","303,500,000","392,800,000","326,800,000","290,300,000","288,200,000","391,700,000","295,500,000","274,500,000","286,100,000","368,100,000"
CostOfRevenue,"2,106,618,000","518,973,000","659,838,000","499,525,000","428,282,000","494,574,000","590,142,000","457,774,000","409,839,000","454,422,000","583,444,000","469,765,000","476,222,000","488,103,000","636,481,000","525,484,000","462,792,000","469,975,000","534,774,000","468,624,000","432,371,000","451,534,000","553,688,000","517,127,000","464,480,000","454,756,000","584,296,000","492,442,000","438,181,000","517,331,000","605,779,000","502,076,000","462,668,000","475,347,000","584,276,000","506,884,000","453,929,000","1,095,633,000","302,894,000","264,723,000","216,309,000","215,512,000","337,896,000","244,049,000","212,007,000","225,571,000","353,904,000","251,800,000","229,430,000","283,478,000","408,406,000","315,392,000","277,669,000","355,625,000","429,482,000","372,806,000","320,900,000","327,890,000","501,102,000","344,870,000","261,297,000","288,000,000","395,056,000","336,660,000","231,570,000","230,353,000","290,464,000","218,183,000","179,064,000","237,910,000","309,533,000","245,762,000","156,375,000","-19,760,000","391,819,000","271,806,000","218,316,000","160,345,000","300,845,000","234,517,000","221,036,000","339,601,000","949,436,000","858,757,000","516,424,000","439,565,000","1,079,436,000","289,785,000","125,997,000","167,700,000","396,600,000","132,500,000","99,200,000","115,300,000","252,700,000","95,600,000","73,900,000","93,300,000","158,500,000","99,300,000","85,500,000","81,400,000","108,000,000","79,800,000","56,300,000","60,000,000","92,300,000","62,600,000","54,900,000","60,700,000","95,600,000","76,400,000","68,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"1,697,217,000","279,884,000","648,416,000","500,724,000","268,193,000","246,387,000","664,359,000","471,816,000","252,091,000","215,969,000","607,343,000","399,736,000","264,308,000","268,273,000","631,553,000","448,639,000","229,922,000","289,684,000","648,548,000","475,963,000","245,357,000","287,665,000","613,234,000","398,267,000","212,687,000","279,674,000","614,850,000","398,206,000","233,038,000","209,119,000","566,888,000","404,188,000","223,583,000","224,415,000","568,116,000","408,938,000","232,723,000","-402,511,000","806,581,000","613,853,000","404,322,000","452,380,000","786,945,000","555,750,000","447,568,000","458,040,000","785,181,000","568,794,000","404,161,000","404,368,000","734,671,000","524,663,000","351,724,000","268,545,000","650,493,000","553,387,000","415,838,000","431,226,000","704,832,000","518,565,000","433,838,000","442,072,000","681,386,000","588,368,000","438,636,000","461,319,000","665,119,000","537,653,000","436,023,000","496,808,000","577,246,000","476,924,000","417,994,000","529,597,000","554,751,000","485,677,000","385,646,000","484,091,000","572,106,000","480,421,000","399,921,000","405,102,000","624,593,000","435,055,000","422,405,000","398,589,000","527,920,000","466,763,000","362,120,000","378,800,000","497,600,000","411,600,000","339,500,000","371,000,000","506,300,000","375,000,000","340,700,000","350,600,000","505,200,000","389,700,000","313,000,000","323,600,000","490,800,000","373,100,000","305,000,000","311,700,000","466,500,000","330,600,000","291,200,000","233,300,000","488,300,000","356,600,000","306,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"891,907,000","229,867,000","219,043,000","222,338,000","220,659,000","215,539,000","209,351,000","209,942,000","211,669,000","203,972,000","204,053,000","203,147,000","204,224,000","201,389,000","198,246,000","206,477,000","198,588,000","199,074,000","182,466,000","171,734,000","171,851,000","164,849,000","161,976,000","166,519,000","162,525,000","169,840,000","169,739,000","166,233,000","165,354,000","148,935,000","145,113,000","150,075,000","148,413,000","140,515,000","152,428,000","149,126,000","145,800,000","-503,800,000","358,611,000","359,364,000","356,315,000","373,665,000","351,928,000","358,758,000","410,427,000","398,722,000","381,556,000","365,521,000","351,415,000","367,734,000","353,167,000","366,928,000","348,047,000","250,666,000","368,259,000","374,512,000","377,040,000","405,964,000","354,809,000","359,879,000","365,849,000","382,002,000","370,946,000","397,171,000","381,473,000","378,532,000","503,006,000","359,026,000","350,767,000","406,063,000","366,410,000","355,764,000","334,623,000","448,130,000","355,901,000","353,195,000","316,391,000","467,213,000","359,081,000","314,928,000","281,459,000","304,032,000","325,987,000","296,167,000","286,342,000","276,043,000","271,919,000","265,610,000","265,849,000","280,800,000","257,500,000","262,600,000","247,600,000","269,100,000","254,500,000","252,400,000","249,700,000","268,800,000","261,800,000","239,600,000","230,600,000","284,200,000","244,900,000","220,900,000","198,300,000","233,100,000","205,500,000","203,400,000","195,400,000","150,600,000","242,800,000","239,300,000","218,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"650,875,000","170,782,000","163,523,000","158,750,000","157,820,000","155,121,000","152,696,000","152,482,000","154,079,000","145,398,000","149,450,000","147,374,000","148,707,000","146,122,000","145,971,000","145,436,000","144,825,000","146,840,000","133,912,000","125,739,000","127,627,000","122,852,000","120,428,000","123,073,000","119,476,000","125,109,000","125,625,000","122,739,000","120,949,000","106,776,000","103,660,000","105,150,000","101,772,000","98,298,000","107,388,000","106,292,000","103,730,000","103,268,000","100,353,000","100,606,000","100,109,000","107,504,000","106,350,000","106,617,000","106,601,000","106,691,000","104,194,000","103,017,000","101,536,000","102,076,000","102,273,000","100,063,000","99,921,000","98,399,000","98,568,000","97,784,000","95,607,000","95,921,000","95,059,000","92,835,000","89,621,000","91,336,000","90,390,000","89,297,000","87,621,000","85,622,000","87,123,000","85,142,000","94,231,000","98,186,000","97,349,000","104,241,000","101,504,000","114,672,000","110,997,000","107,076,000","105,398,000","114,074,000","108,812,000","102,087,000","99,913,000","109,061,000","107,932,000","106,129,000","104,781,000","100,803,000","98,628,000","97,941,000","97,038,000","103,300,000","103,700,000","104,800,000","105,200,000","105,500,000","103,700,000","102,000,000","101,400,000","101,100,000","99,700,000","100,700,000","100,300,000","99,200,000","101,000,000","67,100,000","67,500,000","68,100,000","71,000,000","68,500,000","68,700,000","72,100,000","69,800,000","64,800,000","65,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"650,875,000","170,782,000","163,523,000","158,750,000","157,820,000","155,121,000","152,696,000","152,482,000","154,079,000","145,398,000","149,450,000","147,374,000","148,707,000","146,122,000","145,971,000","145,436,000","144,825,000","146,840,000","133,912,000","125,739,000","127,627,000","122,852,000","120,428,000","123,073,000","119,476,000","125,109,000","125,625,000","122,739,000","120,949,000","106,776,000","103,660,000","105,150,000","101,772,000","98,298,000","107,388,000","106,292,000","103,730,000","103,268,000","100,353,000","100,606,000","100,109,000","107,504,000","106,350,000","106,617,000","106,601,000","106,691,000","104,194,000","103,017,000","101,536,000","102,076,000","102,273,000","100,063,000","99,921,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherTaxes,"234,639,000","58,053,000","57,608,000","59,495,000","59,483,000","56,321,000","54,978,000","56,768,000","56,768,000","54,590,000","53,809,000","55,090,000","55,090,000","54,267,000","51,375,000","53,607,000","53,600,000","51,053,000","45,169,000","44,289,000","43,836,000","40,597,000","41,284,000","42,117,000","42,501,000","42,323,000","43,241,000","43,032,000","43,216,000","41,596,000","40,850,000","44,004,000","45,845,000","40,076,000","43,256,000","40,814,000","40,021,000","39,052,000","36,507,000","41,289,000","42,475,000","35,406,000","34,223,000","40,155,000","37,624,000","34,398,000","37,528,000","31,684,000","31,827,000","22,537,000","34,111,000","32,887,000","34,128,000","30,510,000","28,423,000","33,251,000","33,152,000","23,802,000","34,940,000","34,757,000","34,719,000","28,425,000","31,697,000","32,700,000","35,573,000","28,512,000","34,325,000","34,638,000","35,190,000","27,705,000","31,649,000","32,532,000","30,330,000","25,419,000","28,206,000","28,149,000","28,496,000","26,805,000","26,757,000","27,632,000","26,758,000","20,967,000","29,336,000","25,462,000","25,303,000","23,137,000","25,641,000","25,610,000","25,392,000","12,100,000","25,500,000","29,600,000","29,400,000","26,200,000","30,400,000","29,900,000","30,300,000","30,400,000","30,600,000","30,300,000","30,200,000","27,400,000","25,000,000","35,500,000","34,200,000","35,700,000","35,500,000","35,400,000","35,700,000","-34,600,000","65,500,000","57,300,000","53,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,"6,393,000","1,032,000","-2,088,000","4,093,000","3,356,000","4,097,000","1,677,000","692,000","822,000","3,984,000","794,000","683,000","427,000","1,000,000","900,000","7,434,000","163,000","1,181,000","3,385,000","1,706,000","388,000","1,400,000","264,000","1,329,000","548,000","2,408,000","873,000","462,000","1,189,000","563,000","603,000","921,000","796,000","2,141,000","1,784,000","2,020,000","2,049,000","1,508,000","1,022,000","1,233,000","3,068,000","2,123,000","1,320,000","1,396,000","9,716,000","257,633,000","239,834,000","230,820,000","218,052,000","243,121,000","216,783,000","233,978,000","213,998,000","121,757,000","241,268,000","243,477,000","248,281,000","286,241,000","224,810,000","232,287,000","241,509,000","262,241,000","248,859,000","275,174,000","258,279,000","264,398,000","381,558,000","239,246,000","221,346,000","280,172,000","237,412,000","218,991,000","202,789,000","308,039,000","216,698,000","217,970,000","182,497,000","326,334,000","223,512,000","185,209,000","154,788,000","174,004,000","188,719,000","164,576,000","156,258,000","152,103,000","147,650,000","142,059,000","143,419,000","165,400,000","128,300,000","128,200,000","113,000,000","137,400,000","120,400,000","120,500,000","118,000,000","137,300,000","131,500,000","108,600,000","100,100,000","157,600,000","118,900,000","118,300,000","96,600,000","129,300,000","99,000,000","99,500,000","91,000,000","113,100,000","107,500,000","117,200,000","99,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"805,310,000","50,017,000","429,373,000","278,386,000","47,534,000","30,848,000","455,008,000","261,874,000","40,422,000","11,997,000","403,290,000","196,589,000","60,084,000","66,884,000","433,307,000","242,162,000","31,334,000","90,610,000","466,082,000","304,229,000","73,506,000","122,816,000","451,258,000","231,748,000","50,162,000","109,834,000","445,111,000","231,973,000","67,684,000","60,184,000","421,775,000","254,113,000","75,170,000","83,900,000","415,688,000","259,812,000","86,923,000","101,289,000","447,970,000","254,489,000","48,007,000","78,715,000","435,017,000","196,992,000","37,141,000","59,318,000","403,625,000","203,273,000","52,746,000","36,634,000","381,504,000","157,735,000","3,677,000","17,879,000","282,234,000","178,875,000","38,798,000","25,262,000","350,023,000","158,686,000","67,989,000","60,070,000","310,440,000","191,197,000","57,163,000","82,787,000","162,113,000","178,627,000","85,256,000","90,745,000","210,836,000","121,160,000","83,371,000","81,467,000","198,850,000","132,482,000","69,255,000","16,878,000","213,025,000","165,493,000","118,462,000","101,070,000","298,606,000","138,888,000","136,063,000","122,546,000","256,001,000","201,153,000","96,271,000","98,000,000","240,100,000","149,000,000","91,900,000","101,900,000","251,800,000","122,600,000","91,000,000","81,800,000","243,400,000","150,100,000","82,400,000","39,400,000","245,900,000","152,200,000","106,700,000","78,600,000","261,000,000","127,200,000","95,800,000","82,700,000","245,500,000","117,300,000","88,500,000","395,100,000","534,600,000","413,700,000","375,100,000","403,100,000","526,300,000","412,900,000","347,300,000","305,100,000","474,700,000","362,500,000","332,300,000","348,100,000","474,600,000","418,400,000","355,500,000","311,900,000","463,300,000","375,800,000","356,900,000","341,500,000","463,400,000","329,800,000","307,300,000","303,500,000","392,800,000","326,800,000","290,300,000","288,200,000","391,700,000","295,500,000","274,500,000","286,100,000","368,100,000"
