name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994
TotalRevenue,"5,295,584,000","1,035,557,000","1,411,448,000","1,787,833,000","1,060,745,000","839,261,000","1,139,229,000","1,280,846,000","677,288,000","582,234,000","898,500,000","1,121,328,000","597,456,000","543,082,000","811,311,000","1,057,804,000","585,900,000","510,183,000","743,401,000","988,163,000","546,441,000","445,235,000","691,429,000","918,889,000","515,250,000","415,075,000","645,779,000","851,855,000","450,430,000","376,442,000","615,536,000","848,240,000","406,344,000","340,789,000","578,157,000","790,392,000","370,362,000","306,818,000","528,027,000","757,175,000","361,954,000","270,422,000","503,584,000","706,423,000","312,889,000","241,426,000","455,020,000","647,467,000","269,833,000","231,032,000","430,054,000","602,082,000","276,626,000","258,966,000","493,530,000","692,972,000","338,215,000","300,755,000","527,434,000","726,472,000","373,706,000","318,486,000","537,017,000","705,703,000","348,556,000","299,791,000","423,729,000","563,978,000","265,161,000","209,937,000","362,091,000","504,177,000","234,648,000","189,949,000","337,611,000","431,885,000","196,388,000","159,005,000","288,799,000","364,088,000","171,354,000","132,041,000","236,368,000","332,130,000","155,514,000","104,699,000","190,474,000","253,957,000","120,631,000","82,400,000","163,300,000","225,100,000","98,900,000","71,300,000","133,900,000","178,500,000","74,000,000","48,200,000","98,500,000","124,800,000","63,600,000","46,400,000","62,300,000","85,900,000","41,100,000","21,400,000","47,200,000","66,700,000","25,800,000","10,300,000","28,600,000","44,900,000","18,100,000"
	OperatingRevenue,"5,295,584,000","1,035,557,000","1,411,448,000","1,787,833,000","1,060,745,000","839,261,000","1,139,229,000","1,280,846,000","677,288,000","582,234,000","898,500,000","1,121,328,000","597,456,000","543,082,000","811,311,000","1,057,804,000","585,900,000","510,183,000","743,401,000","988,163,000","546,441,000","445,235,000","691,429,000","918,889,000","515,250,000","415,075,000","645,779,000","851,855,000","450,430,000","376,442,000","615,536,000","848,240,000","406,344,000","340,789,000","578,157,000","790,392,000","370,362,000","306,818,000","528,027,000","757,175,000","361,954,000","270,422,000","503,584,000","706,423,000","312,889,000","241,426,000","455,020,000","647,467,000","269,833,000","231,032,000","430,054,000","602,082,000","276,626,000","258,966,000","493,530,000","692,972,000","338,215,000","300,755,000","527,434,000","726,472,000","373,706,000","318,486,000","537,017,000","705,703,000","348,556,000","299,791,000","423,729,000","563,978,000","265,161,000","209,937,000","362,091,000","504,177,000","234,648,000","189,949,000","337,611,000","431,885,000","196,388,000","159,005,000","288,799,000","364,088,000","171,354,000","132,040,000","236,368,000","332,130,000","155,514,000","104,699,000","190,474,000","253,957,000","120,631,000","82,400,000","163,300,000","225,100,000","98,900,000","71,300,000","133,900,000","178,500,000","74,000,000","48,200,000","98,500,000","124,800,000","63,600,000","46,400,000","62,300,000","85,900,000","41,100,000","21,400,000","47,200,000","66,700,000","25,800,000","10,300,000","28,600,000","44,900,000","18,100,000"
CostOfRevenue,"3,678,492,000","713,181,000","969,549,000","1,236,148,000","759,614,000","600,166,000","810,531,000","907,365,000","487,659,000","420,184,000","640,569,000","791,014,000","422,825,000","382,641,000","576,308,000","749,149,000","419,827,000","364,785,000","526,795,000","698,499,000","392,820,000","317,458,000","491,878,000","648,153,000","372,227,000","296,780,000","461,491,000","603,595,000","325,629,000","270,422,000","439,292,000","601,264,000","292,244,000","244,996,000","415,600,000","562,226,000","265,601,000","217,880,000","376,526,000","534,770,000","257,391,000","189,587,000","355,678,000","494,984,000","221,479,000","167,859,000","324,151,000","456,933,000","193,541,000","163,963,000","306,660,000","424,014,000","195,433,000","183,644,000","351,730,000","490,220,000","242,861,000","221,319,000","387,631,000","518,550,000","270,221,000","235,581,000","387,022,000","496,703,000","250,508,000","216,580,000","309,124,000","401,297,000","193,210,000","153,533,000","257,908,000","358,962,000","169,616,000","140,352,000","245,454,000","311,023,000","143,865,000","118,739,000","213,730,000","267,393,000","127,852,000","98,347,000","174,083,000","243,827,000","118,002,000","77,603,000","144,883,000","190,872,000","92,109,000","63,500,000","124,700,000","170,500,000","76,200,000","55,200,000","103,800,000","136,600,000","58,000,000","37,400,000","77,000,000","96,600,000","49,600,000","36,300,000","48,800,000","65,800,000","31,900,000",,,,,,,,
GrossProfit,"1,617,092,000","322,376,000","441,899,000","551,685,000","301,131,000","239,095,000","328,698,000","373,481,000","189,629,000","162,050,000","257,931,000","330,314,000","174,631,000","160,441,000","235,003,000","308,655,000","166,073,000","145,398,000","216,606,000","289,664,000","153,621,000","127,777,000","199,551,000","270,736,000","143,023,000","118,295,000","184,288,000","248,260,000","124,801,000","106,020,000","176,244,000","246,976,000","114,100,000","95,793,000","162,557,000","228,166,000","104,761,000","88,938,000","151,501,000","222,405,000","104,563,000","80,835,000","147,906,000","211,439,000","91,410,000","73,567,000","130,869,000","190,534,000","76,292,000","67,069,000","123,394,000","178,068,000","81,193,000","75,322,000","141,800,000","202,752,000","95,354,000","79,436,000","139,803,000","207,922,000","103,485,000","82,905,000","149,995,000","209,000,000","98,048,000","83,211,000","114,605,000","162,681,000","71,951,000","56,404,000","104,183,000","145,215,000","65,032,000","49,597,000","92,157,000","120,862,000","52,523,000","40,266,000","75,069,000","96,695,000","43,502,000","33,694,000","62,285,000","88,303,000","37,512,000","27,096,000","45,591,000","63,085,000","28,522,000","18,900,000","38,600,000","54,600,000","22,700,000","16,100,000","30,100,000","41,900,000","16,000,000","10,800,000","21,500,000","28,200,000","14,000,000","10,100,000","13,500,000","20,100,000","9,200,000",,,,,,,,
OperatingExpense,"786,808,000","195,585,000","206,023,000","213,099,000","172,100,000","164,745,000","180,465,000","167,624,000","147,097,000","136,252,000","153,391,000","157,791,000","136,245,000","134,472,000","142,666,000","146,613,000","132,532,000","128,139,000","134,678,000","135,478,000","122,623,000","118,034,000","125,385,000","128,316,000","113,493,000","112,316,000","118,776,000","119,128,000","109,202,000","106,752,000","117,787,000","124,477,000","105,454,000","102,607,000","109,182,000","116,173,000","97,829,000","99,235,000","103,544,000","114,271,000","98,542,000","95,178,000","106,993,000","113,518,000","90,834,000","90,350,000","93,822,000","101,665,000","84,180,000","88,845,000","91,252,000","96,348,000","84,839,000","90,650,000","103,183,000","112,762,000","93,157,000","92,232,000","100,298,000","109,489,000","94,853,000","86,975,000","96,903,000","105,662,000","83,026,000","79,443,000","72,212,000","79,886,000","60,650,000","60,020,000","67,234,000","72,626,000","57,360,000","53,499,000","60,937,000","63,673,000","49,003,000","44,732,000","50,622,000","48,320,000","39,171,000","36,830,000","40,518,000","45,754,000","34,530,000","30,953,000","28,852,000","30,180,000","26,065,000","23,300,000","25,200,000","27,500,000","21,100,000","21,000,000","20,100,000","21,500,000","17,300,000","14,300,000","14,600,000","16,600,000","13,800,000","15,100,000","9,400,000","10,200,000","8,500,000",,,,,,,,
	SellingGeneralAndAdministration,"786,808,000","195,585,000","206,023,000","213,099,000","172,100,000","164,745,000","180,465,000","167,624,000","147,097,000","136,252,000","153,391,000","157,791,000","136,245,000","134,472,000","142,666,000","146,613,000","132,532,000","128,139,000","134,678,000","135,478,000","122,623,000","118,034,000","125,385,000","128,316,000","113,493,000","112,316,000","118,776,000","119,128,000","109,202,000","106,752,000","117,787,000","124,477,000","105,454,000","102,607,000","109,182,000","116,173,000","97,829,000","99,235,000","103,544,000","114,271,000","98,542,000","95,178,000","106,993,000","113,518,000","90,834,000","90,350,000","93,822,000","101,665,000","84,180,000","88,845,000","91,252,000","96,348,000","84,839,000","90,650,000","103,183,000","112,762,000","93,157,000","92,232,000","100,298,000","109,489,000","94,853,000","86,975,000","96,903,000","105,662,000","83,026,000","79,443,000","72,212,000","79,886,000","60,650,000","60,020,000","67,234,000","72,626,000","57,360,000","53,499,000","60,937,000","63,673,000","49,003,000","44,732,000","50,622,000","48,320,000","39,171,000","36,324,000","39,958,000","45,177,000","34,530,000","27,820,000","28,173,000","29,523,000","25,403,000","21,100,000","24,600,000","26,400,000","20,500,000","18,500,000","19,800,000","21,000,000","16,800,000","12,300,000","14,400,000","16,400,000","13,600,000","13,200,000","9,200,000","10,000,000","8,300,000",,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,647,000","953,000","955,000",,"3,133,000","679,000","657,000","662,000","2,200,000","600,000","1,100,000","600,000","2,500,000","300,000","500,000","500,000","2,000,000","200,000","200,000","200,000","1,900,000","200,000","200,000","200,000",,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,647,000","953,000","955,000",,"3,133,000","679,000","657,000","662,000","2,200,000","600,000","1,100,000","600,000","2,500,000","300,000","500,000","500,000","2,000,000","200,000","200,000","200,000","1,900,000","200,000","200,000","200,000",,,,,,,,
			Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,647,000","953,000","955,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,647,000","953,000","955,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
