name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013
TotalRevenue,"4,552,286,000","1,113,957,000","1,255,248,000","1,110,351,000","1,072,730,000","1,094,834,000","1,060,292,000","787,451,000","787,772,000","869,073,000","806,698,000","775,598,000","680,882,000","832,330,000","884,443,000","692,670,000","665,383,000","845,739,000","821,583,000","640,831,000","642,992,000","826,347,000","864,698,000","698,537,000","608,069,000","620,681,000","708,335,000","673,641,000","634,892,000","397,086,000","0","0","255,999,000","288,520,000"
	OperatingRevenue,"4,552,286,000","1,113,957,000","1,255,248,000","1,110,351,000","1,072,730,000","1,094,834,000","1,060,292,000","787,451,000","787,772,000","869,073,000","806,698,000","775,598,000","680,882,000","832,330,000","884,443,000","692,670,000","665,383,000","845,739,000","821,583,000","640,831,000","642,992,000","826,347,000","864,698,000","698,537,000","608,069,000","620,681,000","708,335,000","673,641,000","634,892,000","397,086,000","0","0","255,999,000","288,520,000"
CostOfRevenue,"2,307,982,000","565,864,000","633,695,000","564,168,000","544,255,000","557,082,000","568,742,000","461,662,000","451,991,000","500,962,000","483,116,000","481,309,000","414,309,000","493,967,000","530,929,000","455,937,000","412,743,000","508,812,000","500,561,000","404,454,000","411,396,000","515,705,000","547,899,000","422,062,000","353,869,000","389,693,000","423,487,000","394,124,000","446,006,000","206,384,000",,,"156,720,000","180,997,000"
GrossProfit,"2,244,304,000","548,093,000","621,553,000","546,183,000","528,475,000","537,752,000","491,550,000","325,789,000","335,781,000","368,111,000","323,582,000","294,289,000","266,573,000","338,363,000","353,514,000","236,733,000","252,640,000","336,927,000","321,022,000","236,377,000","231,596,000","310,642,000","316,799,000","276,475,000","254,200,000","230,988,000","284,848,000","279,517,000","188,886,000","190,702,000",,,"99,279,000","107,523,000"
OperatingExpense,"995,764,000","252,083,000","259,193,000","249,081,000","235,407,000","238,549,000","269,906,000","233,077,000","233,627,000","215,042,000","210,815,000","239,063,000","202,526,000","257,206,000","263,037,000","255,948,000","284,413,000","256,607,000","271,458,000","264,206,000","256,052,000","249,261,000","271,406,000","270,734,000","245,723,000","244,201,000","266,809,000","280,852,000","291,431,000","87,067,000","0","0","100,021,000","92,131,000"
	SellingGeneralAndAdministration,"343,914,000","82,003,000","93,489,000","90,299,000","78,123,000","93,139,000","109,372,000","86,604,000","85,111,000","81,205,000","88,274,000","88,979,000","75,033,000","125,604,000","139,507,000","135,930,000","122,898,000","126,555,000","138,867,000","139,431,000","132,738,000","130,672,000","138,583,000","143,595,000","127,083,000","126,294,000","134,994,000","145,728,000","145,033,000","29,965,000",,,"33,703,000","35,820,000"
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,,,,,,,,"30,455,000","34,559,000","24,076,000","24,404,000","29,069,000","36,083,000","36,384,000","12,026,000",,,"15,412,000","17,766,000"
			OtherGandA,,,,,,,,,,,,,,,,,,,,,,,"30,455,000","34,559,000","24,076,000","24,404,000","29,069,000","36,083,000","36,384,000","12,026,000",,,"15,412,000","17,766,000"
		SellingAndMarketingExpense,,,,,,,,,,,,,,,,,,,,,,,"108,128,000","109,036,000","103,007,000","101,890,000","105,925,000","109,645,000","108,649,000","17,939,000",,,"18,291,000","18,054,000"
	ResearchAndDevelopment,"612,176,000","154,435,000","158,377,000","152,079,000","147,285,000","136,697,000","156,342,000","130,071,000","127,029,000","122,851,000","115,614,000","118,920,000","112,846,000","109,985,000","116,748,000","110,903,000","110,795,000","106,411,000","111,398,000","116,499,000","115,670,000","111,951,000","126,078,000","117,137,000","107,268,000","105,992,000","118,293,000","117,210,000","115,476,000","48,865,000",,,"49,362,000","50,378,000"
	OtherOperatingExpenses,"39,674,000","15,645,000","7,327,000","6,703,000","9,999,000","8,713,000","4,192,000","16,402,000","21,487,000","10,986,000","6,927,000","31,164,000","14,647,000","21,617,000","6,782,000","9,115,000","50,720,000","23,641,000","21,193,000","8,276,000","7,644,000","6,638,000","6,745,000","10,002,000","11,372,000","11,915,000","13,522,000","17,914,000","30,922,000","8,237,000",,,"16,956,000","5,933,000"
OperatingIncome,"1,248,540,000","296,010,000","362,360,000","297,102,000","293,068,000","299,203,000","221,644,000","92,712,000","102,154,000","153,069,000","112,767,000","55,226,000","64,047,000","81,157,000","90,477,000","-19,215,000","-31,773,000","80,320,000","49,564,000","-27,829,000","-24,456,000","61,381,000","45,393,000","5,741,000","8,477,000","-13,213,000","18,039,000","-1,335,000","-102,545,000","103,635,000","0","0","-742,000","15,392,000"
NetNonOperatingInterestIncomeExpense,"-61,344,000","-15,328,000","-15,327,000","-15,279,000","-18,339,000","-16,986,000","-22,214,000","-17,659,000","-14,981,000","-14,026,000","-10,401,000","-8,918,000","-7,176,000","-6,748,000","-8,109,000","-10,959,000","-13,183,000","-14,123,000","-13,720,000","-11,505,000","-13,165,000","-14,231,000","-15,362,000","-14,909,000","-13,755,000","-7,149,000","-188,000","-156,000","-368,000","-9,000",,,"-1,551,000","-1,423,000"
	InterestIncomeNonOperating,,,,,,"467,000","1,272,000","1,190,000","3,954,000","2,874,000","2,292,000","2,946,000","3,183,000","2,814,000","1,580,000","3,394,000","2,978,000","2,215,000","1,058,000","766,000","509,000","233,000","192,000","278,000","685,000","519,000","472,000","392,000","187,000","188,000",,,"51,000","46,000"
	InterestExpenseNonOperating,"61,344,000","15,328,000","15,327,000","15,279,000","15,410,000","17,453,000","23,486,000","18,849,000","18,935,000","16,900,000","12,693,000","11,864,000","10,359,000","9,562,000","9,689,000","14,353,000","16,161,000","16,338,000","14,778,000","12,271,000","13,674,000","14,464,000","15,554,000","15,187,000","14,440,000","7,668,000","660,000","548,000","555,000","197,000",,,"1,602,000","1,469,000"
OtherIncomeExpense,"33,205,000","2,532,000","4,754,000","16,791,000","12,057,000","-58,701,000","648,000","21,947,000","-22,538,000","44,148,000","-300,000","-1,111,000","-6,675,000","-3,520,000","-49,532,000","-31,955,000","1,277,000","-757,000","-192,000","-934,000","333,000","-2,609,000","-311,000","-500,000","2,557,000","-639,000","381,000","4,119,000","-580,000","-195,000",,,"1,138,000","427,000"
	OtherNonOperatingIncomeExpenses,"33,205,000","2,532,000","4,754,000","16,791,000","12,057,000","-58,701,000","648,000","21,947,000","-22,538,000","44,148,000","-300,000","-1,111,000","-6,675,000","-3,520,000","-49,532,000","-31,955,000","1,277,000","-757,000","-192,000","-934,000","333,000","-2,609,000","-311,000","-500,000","2,557,000","-639,000","381,000","4,119,000","-580,000","-195,000",,,"1,138,000","427,000"
PretaxIncome,"1,220,401,000","283,214,000","351,787,000","298,614,000","286,786,000","223,516,000","200,078,000","97,000,000","64,635,000","183,191,000","102,066,000","45,197,000","50,196,000","70,889,000","32,836,000","-62,129,000","-43,679,000","65,440,000","35,652,000","-40,268,000","-37,288,000","44,541,000","29,720,000","-9,668,000","-2,721,000","-21,001,000","18,232,000","2,628,000","-103,493,000","103,431,000","0","0","-1,155,000","14,396,000"
TaxProvision,"100,586,000","66,951,000","32,598,000","12,988,000","-11,951,000","22,481,000","63,161,000","78,000","14,245,000","21,835,000","19,028,000","5,656,000","-11,321,000","1,372,000","752,000","-32,136,000","-31,178,000","98,522,000","-267,000","-9,644,000","-93,196,000","123,179,000","17,873,000","-3,993,000","21,481,000","-9,874,000","13,784,000","592,000","-109,975,000","15,568,000","0","0","-109,000","8,161,000"
NetIncomeCommonStockholders,"1,119,815,000","216,263,000","319,189,000","285,626,000","298,737,000","201,035,000","136,917,000","96,922,000","50,390,000","161,356,000","83,038,000","39,541,000","61,517,000","69,517,000","32,084,000","-29,993,000","-12,501,000","-33,082,000","35,919,000","-30,624,000","55,908,000","-78,638,000","11,847,000","-5,675,000","-24,202,000","-11,127,000","4,448,000","2,036,000","6,482,000","87,863,000","0","0","-1,046,000","6,235,000"
	NetIncome,"1,119,815,000","216,263,000","319,189,000","285,626,000","298,737,000","201,035,000","136,917,000","96,922,000","50,390,000","161,356,000","83,038,000","39,541,000","61,517,000","69,517,000","32,084,000","-29,993,000","-12,501,000","-33,082,000","35,919,000","-30,624,000","55,908,000","-78,638,000","11,847,000","-5,675,000","-24,202,000","-11,127,000","4,448,000","2,036,000","6,482,000","87,863,000","0","0","-1,046,000","6,235,000"
		NetIncomeIncludingNoncontrollingInterests,"1,119,815,000","216,263,000","319,189,000","285,626,000","298,737,000","201,035,000","136,917,000","96,922,000","50,390,000","161,356,000","83,038,000","39,541,000","61,517,000","69,517,000","32,084,000","-29,993,000","-12,501,000","-33,082,000","35,919,000","-30,624,000","55,908,000","-78,638,000","11,847,000","-5,675,000","-24,202,000","-11,127,000","4,448,000","2,036,000","6,482,000","87,863,000","0","0","-1,046,000","6,235,000"
			NetIncomeContinuousOperations,"1,119,815,000","216,263,000","319,189,000","285,626,000","298,737,000","201,035,000","136,917,000","96,922,000","50,390,000","161,356,000","83,038,000","39,541,000","61,517,000","69,517,000","32,084,000","-29,993,000","-12,501,000","-33,082,000","35,919,000","-30,624,000","55,908,000","-78,638,000","11,847,000","-5,675,000","-24,202,000","-11,127,000","4,448,000","2,036,000","6,482,000","87,863,000","0","0","-1,046,000","6,235,000"
DilutedNIAvailtoComStockholders,"1,119,815,000","216,263,000","319,189,000","285,626,000","298,737,000","201,035,000","136,917,000","96,922,000","50,390,000","161,356,000","83,038,000","39,541,000","61,517,000","69,517,000","32,084,000","-29,993,000","-12,501,000","-33,082,000","35,919,000","-30,624,000","55,908,000","-78,638,000","11,847,000","-5,675,000","-24,202,000","-11,127,000","4,448,000","2,036,000","6,482,000","87,863,000","0","0","-1,046,000","6,235,000"
BasicEPS,,"1.962","2.872","2.567","2.638","1.763","1.199","0.848","0.44","1.394","0.714","0.335","0.517","0.56","0.257","-0.239","-0.099","-0.262","0.283","-0.241","0.442","-0.62","0.093","-0.044","-0.177","-0.079","0.03","0.014","0.043","0.592","0","0",,"0.042"
DilutedEPS,,"1.95","2.84","2.51","2.6","1.74","1.18","0.83","0.43","1.36","0.7","0.33","0.5","0.55","0.25","-0.24","-0.1","-0.262","0.27","-0.241","0.43","-0.62","0.09","-0.044","-0.18","-0.08","0.03","0.01","0.04","0.592","0","0",,"0.042"
BasicAverageShares,,"108,668,000","110,461,000","111,210,000","112,557,000","113,299,000","114,111,000","114,354,000","114,625,000","115,738,000","116,294,000","117,943,000","119,063,000","124,308,000","125,046,000","125,598,000","126,322,000","126,473,000","127,137,000","127,225,000","126,464,000","126,835,484","126,995,000","127,817,000","127,386,000","137,051,000","140,976,000","149,431,000","149,059,000","148,468,717","148,468,717","148,468,717",,"148,468,717"
DilutedAverageShares,,"110,810,000","112,411,000","113,872,000","115,010,000","115,690,000","116,177,000","116,751,000","117,757,000","118,455,000","119,429,000","121,123,000","124,057,000","126,842,000","128,550,000","126,198,000","126,531,000","127,034,000","130,778,000","127,225,000","131,001,000","126,852,000","132,329,000","127,817,000","132,713,000","139,343,000","150,783,000","154,461,000","150,470,000","148,468,717","148,468,717","148,468,717",,"148,468,717"
TotalOperatingIncomeAsReported,"1,248,540,000","296,010,000","362,360,000","297,102,000","293,068,000","299,203,000","221,644,000","92,712,000","102,154,000","153,069,000","112,767,000","55,226,000","64,047,000","81,157,000","90,477,000","-19,215,000","-31,773,000","80,320,000","49,564,000","-27,829,000","-24,456,000","61,381,000","45,393,000","5,741,000","8,477,000","-13,213,000","18,039,000","-1,335,000","-102,545,000","103,635,000",,,"-742,000","15,392,000"
TotalExpenses,"3,303,746,000","817,947,000","892,888,000","813,249,000","779,662,000","795,631,000","838,648,000","694,739,000","685,618,000","716,004,000","693,931,000","720,372,000","616,835,000","751,173,000","793,966,000","711,885,000","697,156,000","765,419,000","772,019,000","668,660,000","667,448,000","764,966,000","819,305,000","692,796,000","599,592,000","633,894,000","690,296,000","674,976,000","737,437,000","293,451,000","0","0","256,741,000","273,128,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"1,119,815,000","216,263,000","319,189,000","285,626,000","298,737,000","201,035,000","136,917,000","96,922,000","50,390,000","161,356,000","83,038,000","39,541,000","61,517,000","69,517,000","32,084,000","-29,993,000","-12,501,000","-33,082,000","35,919,000","-30,624,000","55,908,000","-78,638,000","11,847,000","-5,675,000","-24,202,000","-11,127,000","4,448,000","2,036,000","6,482,000","87,863,000","0","0","-1,046,000","6,235,000"
NormalizedIncome,"1,119,815,000","216,263,000","319,189,000","285,626,000","298,737,000","201,035,000","136,917,000","96,922,000","50,390,000","161,356,000","83,038,000","39,541,000","61,517,000","69,517,000","32,084,000","-29,993,000","-12,501,000","-33,082,000","35,919,000","-30,624,000","55,908,000","-78,638,000","11,847,000","-5,675,000","-24,202,000","-11,127,000","4,448,000","2,036,000","6,482,000","87,863,000","0","0","-1,046,000","6,235,000"
InterestIncome,,,,,,"467,000","1,272,000","1,190,000","3,954,000","2,874,000","2,292,000","2,946,000","3,183,000","2,814,000","1,580,000","3,394,000","2,978,000","2,215,000","1,058,000","766,000","509,000","233,000","192,000","278,000","685,000","519,000","472,000","392,000","187,000","188,000",,,"51,000","46,000"
InterestExpense,"61,344,000","15,328,000","15,327,000","15,279,000","15,410,000","17,453,000","23,486,000","18,849,000","18,935,000","16,900,000","12,693,000","11,864,000","10,359,000","9,562,000","9,689,000","14,353,000","16,161,000","16,338,000","14,778,000","12,271,000","13,674,000","14,464,000","15,554,000","15,187,000","14,440,000","7,668,000","660,000","548,000","555,000","197,000",,,"1,602,000","1,469,000"
NetInterestIncome,"-61,344,000","-15,328,000","-15,327,000","-15,279,000","-18,339,000","-16,986,000","-22,214,000","-17,659,000","-14,981,000","-14,026,000","-10,401,000","-8,918,000","-7,176,000","-6,748,000","-8,109,000","-10,959,000","-13,183,000","-14,123,000","-13,720,000","-11,505,000","-13,165,000","-14,231,000","-15,362,000","-14,909,000","-13,755,000","-7,149,000","-188,000","-156,000","-368,000","-9,000",,,"-1,551,000","-1,423,000"
EBIT,"1,281,745,000","298,542,000","367,114,000","313,893,000","302,196,000","240,969,000","223,564,000","115,849,000","83,570,000","200,091,000","114,759,000","57,061,000","60,555,000","80,451,000","42,525,000","-47,776,000","-27,518,000","81,778,000","50,430,000","-27,997,000","-23,614,000","59,005,000","45,274,000","5,519,000","11,719,000","-13,333,000","18,892,000","3,176,000","-102,938,000","103,628,000","0","0","447,000","15,865,000"
EBITDA,"1,639,292,000"
ReconciledCostOfRevenue,"2,307,982,000","565,864,000","633,695,000","564,168,000","544,255,000","557,082,000","568,742,000","461,662,000","451,991,000","500,962,000","483,116,000","481,309,000","414,309,000","493,967,000","530,929,000","455,937,000","412,743,000","508,812,000","500,561,000","404,454,000","411,396,000","515,705,000","547,899,000","422,062,000","353,869,000","389,693,000","423,487,000","394,124,000","446,006,000","206,384,000",,,"156,720,000","180,997,000"
ReconciledDepreciation,"357,547,000","92,334,000","89,395,000","89,832,000","85,986,000","124,849,000","123,154,000","122,115,000","118,687,000","116,785,000","111,189,000","122,270,000","120,889,000","185,286,000","313,471,000","43,451,000","581,336,000","46,612,000","43,440,000","42,827,000","551,291,000","56,109,000","50,825,000","46,352,000","537,622,000","48,522,000","46,069,000","42,738,000","179,964,000",,,,"40,312,000",
NetIncomeFromContinuingOperationNetMinorityInterest,"1,119,815,000","216,263,000","319,189,000","285,626,000","298,737,000","201,035,000","136,917,000","96,922,000","50,390,000","161,356,000","83,038,000","39,541,000","61,517,000","69,517,000","32,084,000","-29,993,000","-12,501,000","-33,082,000","35,919,000","-30,624,000","55,908,000","-78,638,000","11,847,000","-5,675,000","-24,202,000","-11,127,000","4,448,000","2,036,000","6,482,000","87,863,000","0","0","-1,046,000","6,235,000"
NormalizedEBITDA,"1,639,292,000","390,876,000","456,509,000","403,725,000","388,182,000","365,818,000","346,718,000","237,964,000","202,257,000","316,876,000","225,948,000","179,331,000","181,444,000","265,737,000","355,996,000","-4,325,000","553,818,000","128,390,000","93,870,000","14,830,000","527,677,000","115,114,000","96,099,000","51,871,000","549,341,000","35,189,000","64,961,000","45,914,000","77,026,000","103,628,000","0","0","40,759,000","15,865,000"
TaxRateForCalcs,"0.082","0.236","0.093","0.043","0.27","0.101","0.316","0.001","0.22","0.119","0.186","0.125","0.27","0.019","0.023","0.27","0.27","0.4","0.4","0.239","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.225","0.4","0.151","0","0","0.094","0.35"
TaxEffectOfUnusualItems,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
