name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991
TotalRevenue,"1,532,133,000","982,247,000","456,958,000","50,914,000","42,014,000","34,138,000","-33,688,000","175,605,000","2,032,750,000","2,517,413,000","3,186,850,000","2,806,631,000","2,439,767,000","2,332,301,000","2,796,187,000","2,337,605,000","2,027,756,000","2,004,467,000","2,569,544,000","2,195,274,000","2,008,560,000","1,909,603,000","2,563,741,000","2,105,262,000","1,917,795,000","1,902,053,000","2,523,100,000","2,058,322,000","1,815,599,000","1,817,826,000","2,388,762,000","1,980,043,000","1,887,224,000","1,854,158,000","2,311,749,000","1,882,767,000","1,911,220,000","1,806,150,000","2,226,390,000","1,821,004,000","1,834,480,000","1,775,401,000","2,321,994,000","1,767,873,000","1,671,995,000","1,604,498,000","2,060,659,000","1,601,697,000","1,485,650,000","1,451,667,000","1,763,542,000","1,349,015,000","1,325,602,000","1,456,277,000","2,063,389,000","1,583,774,000","1,429,085,000","1,491,094,000","1,953,592,000","1,481,325,000","1,223,126,000","1,153,213,000","1,636,851,000","1,292,984,000","1,146,536,000","1,029,640,000","1,502,215,000","1,203,242,000","1,168,077,000","964,585,000","1,386,107,000","1,142,999,000","1,061,684,000","878,045,000","1,120,199,000","905,841,000","880,164,000","780,930,000","1,031,660,000","821,804,000","799,953,000","655,977,000","940,721,000","821,674,000","726,878,000","642,119,000","835,210,000","680,731,000","707,786,000","583,952,000","734,500,000","617,700,000","610,000,000","575,191,000","744,900,000","656,500,000","659,800,000","528,400,000","612,500,000","403,500,000","394,600,000","318,500,000","366,200,000","355,000,000","317,600,000","289,900,000","338,100,000","282,500,000","273,600,000","281,900,000","309,000,000","291,900,000","288,700,000","263,800,000","301,700,000","276,900,000","270,400,000","255,400,000","286,800,000","255,400,000","215,200,000","213,600,000","198,200,000","172,400,000","175,400,000"
	OperatingRevenue,"1,532,133,000","982,247,000","456,958,000","50,914,000","42,014,000","34,138,000","-33,688,000","175,605,000","2,032,750,000","2,517,413,000","3,186,850,000","2,806,631,000","2,439,767,000","2,332,301,000","2,796,187,000","2,337,605,000","2,027,756,000","2,004,467,000","2,569,544,000","2,195,274,000","2,008,560,000","1,909,603,000","2,563,741,000","2,105,262,000","1,917,795,000","1,902,053,000","2,523,100,000","2,058,322,000","1,815,599,000","1,817,826,000","2,388,762,000","1,980,043,000","1,887,224,000","1,854,158,000","2,311,749,000","1,882,767,000","1,911,220,000","1,806,150,000","2,226,390,000","1,821,004,000","1,834,480,000","1,775,401,000","2,321,994,000","1,767,873,000","1,671,995,000","1,604,498,000","2,060,659,000","1,601,697,000","1,485,650,000","1,451,667,000","1,763,542,000","1,349,015,000","1,325,602,000","1,456,277,000","2,063,389,000","1,583,774,000","1,429,085,000","1,491,094,000","1,953,592,000","1,481,325,000","1,223,126,000","1,153,213,000","1,636,851,000","1,292,984,000","1,146,536,000","1,029,640,000","1,502,215,000","1,203,242,000","1,168,077,000","964,585,000","1,386,107,000","1,142,999,000","1,061,684,000","878,045,000","1,120,199,000","905,841,000","880,164,000","780,930,000","1,031,660,000","821,804,000","799,953,000","655,977,000","940,721,000","821,674,000","726,878,000","642,119,000","835,210,000","680,731,000","707,786,000","584,000,000","734,500,000","617,700,000","610,000,000","575,200,000","744,900,000","656,500,000","659,800,000","528,400,000","612,500,000","403,500,000","394,600,000","318,500,000","366,200,000","355,000,000","317,600,000","289,900,000","338,100,000","282,500,000","273,600,000","281,900,000","309,000,000","291,900,000","288,700,000","263,800,000","301,700,000","276,900,000","270,400,000","255,400,000","286,800,000","255,400,000","215,200,000","213,600,000","198,200,000","172,400,000","175,400,000"
CostOfRevenue,"2,657,512,000","1,135,504,000","813,691,000","424,830,000","283,487,000","265,260,000","308,609,000","680,420,000","1,510,819,000","1,481,519,000","1,623,038,000","1,544,504,000","1,413,704,000","1,360,413,000","1,411,364,000","1,314,411,000","1,176,019,000","1,145,701,000","1,318,269,000","1,256,785,000","1,175,824,000","1,123,251,000","1,340,123,000","1,310,587,000","1,241,578,000","1,173,341,000","1,387,026,000","1,316,409,000","1,222,617,000","1,244,745,000","1,426,882,000","1,330,674,000","1,303,980,000","1,282,660,000","1,416,801,000","1,323,619,000","1,282,190,000","1,257,983,000","1,348,325,000","1,296,014,000","1,255,112,000","1,250,861,000","1,405,300,000","1,185,375,000","1,101,071,000","1,106,989,000","1,239,625,000","1,086,187,000","1,025,275,000","1,037,245,000","1,116,086,000","965,435,000","952,336,000","2,326,036,000","1,275,661,000","1,090,999,000","962,186,000","1,025,586,000","1,149,244,000","965,529,000","841,341,000","750,356,000","944,166,000","824,973,000","730,134,000","703,823,000","844,632,000","740,916,000","707,382,000","1,679,772,000","428,166,000","500,879,000","654,399,000","596,645,000","651,355,000","580,466,000","552,569,000","510,074,000","601,640,000","498,865,000","502,638,000","444,893,000","529,156,000","504,003,000","456,339,000","413,793,000","444,888,000","390,599,000","403,179,000","366,252,000","393,200,000","370,200,000","366,600,000","379,628,000","415,100,000","402,600,000","396,400,000","350,600,000","363,000,000","251,400,000","254,300,000","210,400,000","219,200,000","222,000,000","202,900,000","191,700,000","204,600,000","176,500,000","169,700,000","182,400,000","187,500,000","181,200,000","177,700,000","173,900,000","184,200,000","172,500,000","165,800,000",,,,,,,,
GrossProfit,"-1,125,379,000","-153,257,000","-356,733,000","-373,916,000","-241,473,000","-231,122,000","-342,297,000","-504,815,000","521,931,000","1,035,894,000","1,563,812,000","1,262,127,000","1,026,063,000","971,888,000","1,384,823,000","1,023,194,000","851,737,000","858,766,000","1,251,275,000","938,489,000","832,736,000","786,352,000","1,223,618,000","794,675,000","676,217,000","728,712,000","1,136,074,000","741,913,000","592,982,000","573,081,000","961,880,000","649,369,000","583,244,000","571,498,000","894,948,000","559,148,000","629,030,000","548,167,000","878,065,000","524,990,000","579,368,000","524,540,000","916,694,000","582,498,000","570,924,000","497,509,000","821,034,000","515,510,000","460,375,000","414,422,000","647,456,000","383,580,000","373,266,000","-869,759,000","787,728,000","492,775,000","466,899,000","465,508,000","804,348,000","515,796,000","381,785,000","402,857,000","692,685,000","468,011,000","416,402,000","325,817,000","657,583,000","462,326,000","460,695,000","-715,187,000","957,941,000","642,120,000","407,285,000","281,400,000","468,844,000","325,375,000","327,595,000","270,856,000","430,020,000","322,939,000","297,315,000","211,084,000","411,565,000","317,671,000","270,539,000","228,326,000","390,322,000","290,132,000","304,607,000","217,700,000","341,300,000","247,500,000","243,400,000","195,563,000","329,800,000","253,900,000","263,400,000","177,800,000","249,500,000","152,100,000","140,300,000","108,100,000","147,000,000","133,000,000","114,700,000","98,200,000","133,500,000","106,000,000","103,900,000","99,500,000","121,500,000","110,700,000","111,000,000","89,900,000","117,500,000","104,400,000","104,600,000",,,,,,,,
OperatingExpense,"2,662,954,000","836,421,000","649,329,000","608,997,000","568,207,000","573,561,000","563,918,000","621,175,000","720,220,000","736,469,000","673,020,000","688,474,000","707,232,000","607,861,000","585,090,000","566,299,000","577,591,000","551,417,000","513,787,000","518,792,000","553,214,000","487,685,000","486,758,000","507,977,000","512,785,000","478,794,000","466,802,000","480,616,000","487,300,000","451,377,000","432,110,000","453,868,000","484,042,000","453,505,000","438,495,000","445,810,000","463,398,000","444,030,000","425,928,000","428,085,000","443,993,000","418,378,000","408,952,000","414,308,000","421,390,000","375,814,000","375,532,000","371,826,000","368,623,000","332,067,000","340,615,000","328,518,000","329,013,000","-933,318,000","325,821,000","323,825,000","329,331,000","327,538,000","321,514,000","314,913,000","302,142,000","289,315,000","273,076,000","283,767,000","275,351,000","270,021,000","257,127,000","248,937,000","261,292,000","-885,330,000","668,489,000","741,861,000","901,216,000","-1,547,869,000","871,038,000","788,638,000","765,222,000","-1,398,733,000","790,063,000","691,284,000","687,541,000","-1,297,403,000","729,464,000","686,399,000","636,794,000","-1,072,882,000","599,044,000","549,535,000","568,150,000","-977,674,000","536,300,000","509,600,000","501,600,000","-1,082,772,000","561,300,000","535,000,000","540,300,000","469,800,000","495,700,000","336,100,000","333,800,000","282,900,000","292,800,000","296,200,000","268,400,000","259,000,000","272,100,000","237,800,000","231,300,000","250,600,000","248,600,000","243,600,000","243,100,000","60,200,000","65,200,000","63,900,000","65,700,000",,,,,,,,
	SellingGeneralAndAdministration,"1,370,076,000","503,055,000","323,422,000","285,558,000","258,041,000","255,533,000","246,779,000","301,418,000","395,890,000","414,707,000","352,725,000","376,874,000","414,947,000","327,693,000","325,167,000","312,923,000","337,361,000","311,059,000","273,637,000","283,855,000","317,465,000","254,482,000","257,430,000","286,357,000","302,021,000","269,464,000","256,060,000","274,148,000","286,832,000","257,995,000","239,662,000","260,988,000","290,307,000","262,883,000","249,954,000","259,626,000","274,034,000","255,494,000","243,877,000","247,571,000","264,601,000","238,445,000","231,761,000","242,258,000","248,138,000","211,936,000","213,300,000","211,795,000","211,048,000","185,655,000","196,594,000","190,593,000","189,157,000","183,918,000","191,115,000","196,548,000","204,941,000","204,493,000","199,169,000","193,195,000","186,184,000","181,183,000","163,745,000","181,744,000","173,192,000","168,709,000","156,107,000","148,962,000","161,530,000","153,673,000","141,035,000","143,321,000","150,238,000","141,877,000","129,016,000","119,457,000","123,984,000","118,823,000","102,885,000","107,271,000","102,076,000","110,332,000","123,489,000","107,469,000","112,790,000","103,461,000","96,650,000","104,273,000","108,415,000","100,317,000","92,800,000","90,900,000","87,800,000","83,714,000","94,200,000","85,000,000","96,300,000","75,900,000","85,600,000","57,100,000","53,600,000","49,200,000","50,400,000","50,600,000","44,400,000","46,000,000","46,000,000","42,100,000","43,400,000","48,600,000","41,500,000","43,200,000","45,900,000","38,200,000","43,500,000","42,500,000","44,200,000",,,,,,,,
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"361,384,000",,"462,881,000","483,731,000","555,640,000","461,825,000","405,869,000","378,652,000","453,207,000","410,477,000","375,457,000","348,148,000","409,603,000","361,061,000","375,102,000",,"376,188,000","349,873,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"170,269,000",,"-154,239,000","-151,395,000","-153,106,000","-142,300,000","-137,280,000","-131,074,000","-130,039,000","-123,427,000","-117,334,000","-127,205,000","-129,415,000",,"-127,785,000",,"-124,084,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"191,115,000",,"617,120,000","635,126,000","708,746,000","604,125,000","543,149,000","509,726,000","583,246,000","533,904,000","492,791,000","475,353,000","539,018,000","361,061,000","502,887,000",,"500,272,000","349,873,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-257,940,000","-279,238,000","-356,471,000","-268,630,000","-219,685,000","-197,469,000","-289,462,000","-228,733,000","-202,265,000","-179,439,000","-253,496,000","-212,099,000","-213,572,000",,"-235,153,000","-206,552,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
